Latvia,Variable Name,Year,Value,Symbol
204,Total water withdrawal,1997,0.3718,I
205,Total water withdrawal,2002,0.2563,X
206,Total water withdrawal,2007,0.2182,E
207,Total water withdrawal,2012,0.2602,E
208,Total water withdrawal,2014,0.1682,E
209,Fresh surface water withdrawal,2006,0.11104,I
210,Fresh surface water withdrawal,2011,0.0963,X
211,Fresh surface water withdrawal,2017,0.0976,OF
212,Fresh groundwater withdrawal,2006,0.10314,I
213,Fresh groundwater withdrawal,2011,0.2728,X
214,Fresh groundwater withdrawal,2015,0.0806,OF
215,Total freshwater withdrawal,1997,0.35996,E
216,Total freshwater withdrawal,2001,0.2675066667,E
217,Total freshwater withdrawal,2006,0.21418,I
218,Total freshwater withdrawal,2012,0.2482,E
219,Total freshwater withdrawal,2014,0.1685,E
220,Direct use of treated municipal wastewater,1997,0.01184,I
221,Direct use of treated municipal wastewater,2002,0.0119066667,I
222,Direct use of treated municipal wastewater,2007,0.0119733333,I
223,Direct use of treated municipal wastewater,2009,0.012,OF
224,Produced municipal wastewater,1997,0.2176,I
225,Produced municipal wastewater,2000,0.2194,I
226,Produced municipal wastewater,2007,0.21,OF
227,Produced municipal wastewater,2012,0.234,OF
228,Produced municipal wastewater,2017,0.1764,OF
229,Not treated municipal wastewater,1997,0.13888,I
230,Not treated municipal wastewater,2002,0.1218466667,I
231,Not treated municipal wastewater,2007,0.1048133333,I
232,Not treated municipal wastewater,2012,0.098,I
233,Not treated municipal wastewater,2017,0.098,I
234,Not treated municipal wastewater,2018,0.098,I
235,Treated municipal wastewater,1997,0.07896,I
236,Treated municipal wastewater,2002,0.0993933333,I
237,Treated municipal wastewater,2007,0.1198266667,I
238,Treated municipal wastewater,2012,0.12752,I
239,Treated municipal wastewater,2015,0.1243,OF
240,Treated municipal wastewater discharged (secondary water),1997,0.06712,I
241,Treated municipal wastewater discharged (secondary water),2002,0.0874866667,I
242,Treated municipal wastewater discharged (secondary water),2007,0.1078533333,I
243,Treated municipal wastewater discharged (secondary water),2012,0.116,I
244,Treated municipal wastewater discharged (secondary water),2017,0.116,I
245,Treated municipal wastewater discharged (secondary water),2018,0.116,I
252,SDG 6.4.2. Water Stress,1997,2.1211549794,E
253,SDG 6.4.2. Water Stress,2002,1.4407778433,E
254,SDG 6.4.2. Water Stress,2007,1.2174425457,E
255,SDG 6.4.2. Water Stress,2012,1.4625810253,E
256,SDG 6.4.2. Water Stress,2015,1.0412492634,E
257,SDG 6.4.1. Water Use Efficiency,2015,129.4870424188,I
258,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.0173331755,E
259,SDG 6.4.1. Industrial Water Use Efficiency,2015,128.2339133429,E
260,SDG 6.4.1. Services Water Use Efficiency,2015,198.7600104004,E
261,Harvested irrigated temporary crop area: Potatoes,2012,0.31,I
262,Harvested irrigated temporary crop area: Potatoes,2017,0.31,I
263,Harvested irrigated temporary crop area: Potatoes,2018,0.31,I
264,Harvested irrigated temporary crop area: Vegetables,2012,0.31,I
265,Harvested irrigated temporary crop area: Vegetables,2017,0.31,I
266,Harvested irrigated temporary crop area: Vegetables,2018,0.31,I
