Burundi,Variable Name,Year,Value,Symbol
97,"Agriculture, value added (% GDP)",1992,48.157531,X
98,"Agriculture, value added (% GDP)",1997,48.443522,X
99,"Agriculture, value added (% GDP)",2002,36.469381,X
100,"Agriculture, value added (% GDP)",2007,34.934196,X
101,"Agriculture, value added (% GDP)",2012,35.510486,X
102,"Agriculture, value added (% GDP)",2017,37.279454,X
103,"Agriculture, value added (% GDP)",2018,36.027555,X
104,Total population with access to safe drinking-water (JMP),1992,69.4,X
105,Total population with access to safe drinking-water (JMP),1997,70.9,X
106,Total population with access to safe drinking-water (JMP),2002,72.4,X
107,Total population with access to safe drinking-water (JMP),2007,73.8,X
108,Total population with access to safe drinking-water (JMP),2012,75.3,X
109,Total population with access to safe drinking-water (JMP),2017,75.9,I
110,Total population with access to safe drinking-water (JMP),2018,75.9,I
111,Long-term average annual precipitation in volume,1962,35.45542,E
112,Long-term average annual precipitation in volume,1967,35.45542,E
113,Long-term average annual precipitation in volume,1972,35.45542,E
114,Long-term average annual precipitation in volume,1977,35.45542,E
115,Long-term average annual precipitation in volume,1982,35.45542,E
116,Long-term average annual precipitation in volume,1987,35.45542,E
117,Long-term average annual precipitation in volume,1992,35.45542,E
118,Long-term average annual precipitation in volume,1997,35.45542,E
119,Long-term average annual precipitation in volume,2002,35.45542,E
120,Long-term average annual precipitation in volume,2007,35.45542,E
121,Long-term average annual precipitation in volume,2012,35.45542,E
122,Long-term average annual precipitation in volume,2017,35.45542,E
123,Long-term average annual precipitation in volume,2018,35.45542,E
124,Interannual variability (WRI),2017,1.4,I
125,Interannual variability (WRI),2018,1.4,I
126,Seasonal variability (WRI),2017,2.4,I
127,Seasonal variability (WRI),2018,2.4,I
128,Flood occurrence (WRI),2017,3.3,I
129,Flood occurrence (WRI),2018,3.3,I
130,Surface water: entering the country (total),1961,0.126,OF
131,Surface water: entering the country (total),1966,0.126,OF
132,Surface water: entering the country (total),1971,0.126,OF
133,Surface water: entering the country (total),1976,0.126,OF
134,Surface water: entering the country (total),1981,0.126,OF
135,Surface water: entering the country (total),1986,0.126,OF
136,Surface water: entering the country (total),1991,0.126,OF
137,Surface water: entering the country (total),1996,0.126,OF
138,Surface water: entering the country (total),2001,0.126,OF
139,Surface water: entering the country (total),2006,0.126,OF
141,Surface water: entering the country (total),2017,0.126,OF
153,Surface water: leaving the country to other countries (total),2017,7.6,OF
154,Groundwater: entering the country (total),1962,0.0,OF
155,Groundwater: entering the country (total),1967,0.0,OF
156,Groundwater: entering the country (total),1972,0.0,OF
157,Groundwater: entering the country (total),1977,0.0,OF
158,Groundwater: entering the country (total),1982,0.0,OF
159,Groundwater: entering the country (total),1987,0.0,OF
160,Groundwater: entering the country (total),1992,0.0,OF
161,Groundwater: entering the country (total),1997,0.0,OF
162,Groundwater: entering the country (total),2002,0.0,OF
163,Groundwater: entering the country (total),2007,0.0,OF
164,Groundwater: entering the country (total),2012,0.0,OF
165,Groundwater: entering the country (total),2017,0.0,OF
166,Groundwater: leaving the country to other countries (total),1962,0.0,OF
167,Groundwater: leaving the country to other countries (total),1967,0.0,OF
168,Groundwater: leaving the country to other countries (total),1972,0.0,OF
169,Groundwater: leaving the country to other countries (total),1977,0.0,OF
170,Groundwater: leaving the country to other countries (total),1982,0.0,OF
171,Groundwater: leaving the country to other countries (total),1987,0.0,OF
172,Groundwater: leaving the country to other countries (total),1992,0.0,OF
173,Groundwater: leaving the country to other countries (total),1997,0.0,OF
174,Groundwater: leaving the country to other countries (total),2002,0.0,OF
175,Groundwater: leaving the country to other countries (total),2007,0.0,OF
176,Groundwater: leaving the country to other countries (total),2012,0.0,OF
177,Groundwater: leaving the country to other countries (total),2017,0.0,OF
178,Dependency ratio,1962,19.7511167837,E
179,Dependency ratio,1967,19.7511167837,E
180,Dependency ratio,1972,19.7511167837,E
181,Dependency ratio,1977,19.7511167837,E
182,Dependency ratio,1982,19.7511167837,E
183,Dependency ratio,1987,19.7511167837,E
184,Dependency ratio,1992,19.7511167837,E
185,Dependency ratio,1997,19.7511167837,E
186,Dependency ratio,2002,19.7511167837,E
187,Dependency ratio,2007,19.7511167837,E
188,Dependency ratio,2012,19.7511167837,E
189,Dependency ratio,2017,19.7511167837,E
190,Dependency ratio,2018,19.7511167837,E
191,Total internal renewable water resources (IRWR),1962,10.06,E
192,Total internal renewable water resources (IRWR),1967,10.06,E
193,Total internal renewable water resources (IRWR),1972,10.06,E
194,Total internal renewable water resources (IRWR),1977,10.06,E
195,Total internal renewable water resources (IRWR),1982,10.06,E
196,Total internal renewable water resources (IRWR),1987,10.06,E
197,Total internal renewable water resources (IRWR),1992,10.06,E
198,Total internal renewable water resources (IRWR),1997,10.06,E
199,Total internal renewable water resources (IRWR),2002,10.06,E
200,Total internal renewable water resources (IRWR),2007,10.06,E
201,Total internal renewable water resources (IRWR),2012,10.06,E
202,Total internal renewable water resources (IRWR),2017,10.06,E
203,Total internal renewable water resources (IRWR),2018,10.06,E
204,Total internal renewable water resources per capita,1962,3460.2302256958,E
205,Total internal renewable water resources per capita,1967,3092.3227401299,E
206,Total internal renewable water resources per capita,1972,2818.1908335402,E
207,Total internal renewable water resources per capita,1977,2609.9736797386,E
208,Total internal renewable water resources per capita,1982,2296.9483921818,E
209,Total internal renewable water resources per capita,1987,2001.138620026,E
210,Total internal renewable water resources per capita,1992,1769.3931913539,E
211,Total internal renewable water resources per capita,1997,1643.2189450404,E
212,Total internal renewable water resources per capita,2002,1500.5713656676,E
213,Total internal renewable water resources per capita,2007,1279.5377994036,E
214,Total internal renewable water resources per capita,2012,1088.0394826383,E
215,Total internal renewable water resources per capita,2017,929.1569544673,E
216,Total internal renewable water resources per capita,2018,900.1935863623,E
217,Total renewable surface water,1962,12.536,E
218,Total renewable surface water,1967,12.536,E
219,Total renewable surface water,1972,12.536,E
220,Total renewable surface water,1977,12.536,E
221,Total renewable surface water,1982,12.536,E
222,Total renewable surface water,1987,12.536,E
223,Total renewable surface water,1992,12.536,E
224,Total renewable surface water,1997,12.536,E
225,Total renewable surface water,2002,12.536,E
226,Total renewable surface water,2007,12.536,E
227,Total renewable surface water,2012,12.536,E
228,Total renewable surface water,2017,12.536,E
229,Total renewable surface water,2018,12.536,E
230,Total renewable groundwater,1962,7.47,E
231,Total renewable groundwater,1967,7.47,E
232,Total renewable groundwater,1972,7.47,E
233,Total renewable groundwater,1977,7.47,E
234,Total renewable groundwater,1982,7.47,E
235,Total renewable groundwater,1987,7.47,E
236,Total renewable groundwater,1992,7.47,E
237,Total renewable groundwater,1997,7.47,E
238,Total renewable groundwater,2002,7.47,E
239,Total renewable groundwater,2007,7.47,E
240,Total renewable groundwater,2012,7.47,E
241,Total renewable groundwater,2017,7.47,E
242,Total renewable groundwater,2018,7.47,E
243,Water resources: total external renewable,1962,2.476,E
244,Water resources: total external renewable,1967,2.476,E
245,Water resources: total external renewable,1972,2.476,E
246,Water resources: total external renewable,1977,2.476,E
247,Water resources: total external renewable,1982,2.476,E
248,Water resources: total external renewable,1987,2.476,E
249,Water resources: total external renewable,1992,2.476,E
250,Water resources: total external renewable,1997,2.476,E
251,Water resources: total external renewable,2002,2.476,E
252,Water resources: total external renewable,2007,2.476,E
253,Water resources: total external renewable,2012,2.476,E
254,Water resources: total external renewable,2017,2.476,E
255,Water resources: total external renewable,2018,2.476,E
256,Total renewable water resources,1962,12.536,E
257,Total renewable water resources,1967,12.536,E
258,Total renewable water resources,1972,12.536,E
259,Total renewable water resources,1977,12.536,E
260,Total renewable water resources,1982,12.536,E
261,Total renewable water resources,1987,12.536,E
262,Total renewable water resources,1992,12.536,E
263,Total renewable water resources,1997,12.536,E
264,Total renewable water resources,2002,12.536,E
265,Total renewable water resources,2007,12.536,E
266,Total renewable water resources,2012,12.536,E
267,Total renewable water resources,2017,12.536,E
268,Total renewable water resources,2018,12.536,E
269,Total renewable water resources per capita,1962,4311.873370708,E
270,Total renewable water resources per capita,1967,3853.4152952553,E
271,Total renewable water resources per capita,1972,3511.8131500258,E
272,Total renewable water resources per capita,1977,3252.3489114516,E
273,Total renewable water resources per capita,1982,2862.280819522,E
274,Total renewable water resources per capita,1987,2493.6653817739,E
275,Total renewable water resources per capita,1992,2204.8820126056,E
276,Total renewable water resources per capita,1997,2047.6533494062,E
277,Total renewable water resources per capita,2002,1869.8968827047,E
278,Total renewable water resources per capita,2007,1594.4618144456,E
279,Total renewable water resources per capita,2012,1355.8313075898,E
280,Total renewable water resources per capita,2017,1157.8440935589,E
281,Total renewable water resources per capita,2018,1121.7521668626,E
282,Total agricultural water managed area,1987,76.6937142857,E
283,Total agricultural water managed area,1992,82.428,E
284,Total agricultural water managed area,1997,88.1622857143,E
285,Total agricultural water managed area,2002,104.43,E
286,Total agricultural water managed area,2007,104.43,E
287,Total agricultural water managed area,2012,104.43,E
288,Total agricultural water managed area,2017,104.43,E
289,Total agricultural water managed area,2018,104.43,E
290,Area equipped for irrigation: total,1987,13.408,E
291,Area equipped for irrigation: total,1992,10.928,E
292,Area equipped for irrigation: total,1997,8.448,E
293,Area equipped for irrigation: total,2002,21.43,I
294,Area equipped for irrigation: total,2007,21.43,I
295,Area equipped for irrigation: total,2012,21.43,I
296,Area equipped for irrigation: total,2017,21.43,I
297,Area equipped for irrigation: total,2018,21.43,I
298,% of agricultural GVA produced by irrigated agriculture,2002,1.1916810812,E
299,% of agricultural GVA produced by irrigated agriculture,2007,1.2872616287,E
300,% of agricultural GVA produced by irrigated agriculture,2012,1.1108337692,E
301,% of agricultural GVA produced by irrigated agriculture,2017,1.0395922183,E
302,% of agricultural GVA produced by irrigated agriculture,2018,1.0395922183,E
303,Ratio between rainfed and irrigated yields,1962,2.329,E
304,Ratio between rainfed and irrigated yields,1967,2.329,E
305,Ratio between rainfed and irrigated yields,1972,2.329,E
306,Ratio between rainfed and irrigated yields,1977,2.329,E
307,Ratio between rainfed and irrigated yields,1982,2.329,E
308,Ratio between rainfed and irrigated yields,1987,2.329,E
309,Ratio between rainfed and irrigated yields,1992,2.329,E
310,Ratio between rainfed and irrigated yields,1997,2.329,E
311,Ratio between rainfed and irrigated yields,2002,2.329,E
312,Ratio between rainfed and irrigated yields,2007,2.329,I
313,Ratio between rainfed and irrigated yields,2012,2.329,E
314,Ratio between rainfed and irrigated yields,2017,2.329,I
315,Ratio between rainfed and irrigated yields,2018,2.329,I
316,Agricultural water withdrawal as % of total renewable water resources,1987,0.5105296745,E
317,Agricultural water withdrawal as % of total renewable water resources,1992,0.9952874184,I
318,Agricultural water withdrawal as % of total renewable water resources,1997,1.4800451622,I
319,Agricultural water withdrawal as % of total renewable water resources,2002,1.7708998086,I
320,Agricultural water withdrawal as % of total renewable water resources,2007,1.7708998086,I
321,Agricultural water withdrawal as % of total renewable water resources,2012,1.7708998086,I
322,Agricultural water withdrawal as % of total renewable water resources,2017,1.7708998086,I
323,Agricultural water withdrawal as % of total renewable water resources,2018,1.7708998086,I
324,Agricultural water withdrawal,1987,0.064,OF
325,Agricultural water withdrawal,1992,0.1247692308,I
326,Agricultural water withdrawal,1997,0.1855384615,I
327,Agricultural water withdrawal,2002,0.222,I
328,Agricultural water withdrawal,2007,0.222,I
329,Agricultural water withdrawal,2012,0.222,I
330,Agricultural water withdrawal,2017,0.222,I
331,Agricultural water withdrawal,2018,0.222,I
332,Irrigation water requirement,2002,0.0284,I
333,Irrigation water requirement,2007,0.0284,I
334,Irrigation water requirement,2012,0.0284,I
335,Irrigation water requirement,2017,0.0284,I
336,Irrigation water requirement,2018,0.0284,I
337,Irrigation water withdrawal,2002,0.2,I
338,Irrigation water withdrawal,2007,0.2,I
339,Irrigation water withdrawal,2012,0.2,I
340,Irrigation water withdrawal,2017,0.2,I
341,Irrigation water withdrawal,2018,0.2,I
342,Municipal water withdrawal,1987,0.036,OF
343,Municipal water withdrawal,1992,0.041,I
344,Municipal water withdrawal,1997,0.046,I
345,Municipal water withdrawal,2002,0.04664,I
346,Municipal water withdrawal,2007,0.0431,I
347,Municipal water withdrawal,2012,0.0431,I
348,Municipal water withdrawal,2017,0.0431,I
349,Municipal water withdrawal,2018,0.0431,I
350,Industrial water withdrawal,1987,0.0,OF
351,Industrial water withdrawal,1992,0.0065384615,I
352,Industrial water withdrawal,1997,0.0130769231,I
353,Industrial water withdrawal,2002,0.0162,I
354,Industrial water withdrawal,2007,0.015,I
355,Industrial water withdrawal,2012,0.015,I
356,Industrial water withdrawal,2017,0.015,I
357,Industrial water withdrawal,2018,0.015,I
358,Total water withdrawal,1987,0.1,E
359,Total water withdrawal,1992,0.1723076923,I
360,Total water withdrawal,1997,0.2446153846,I
361,Total water withdrawal,2002,0.28484,E
362,Total water withdrawal,2007,0.2801,E
363,Total water withdrawal,2012,0.2801,E
364,Total water withdrawal,2017,0.2801,E
365,Total water withdrawal,2018,0.2801,E
366,Total freshwater withdrawal,1987,0.1,E
367,Total freshwater withdrawal,1992,0.1723076923,I
368,Total freshwater withdrawal,1997,0.2446153846,I
369,Total freshwater withdrawal,2002,0.28484,E
370,Total freshwater withdrawal,2007,0.2801,E
371,Total freshwater withdrawal,2012,0.2801,E
372,Total freshwater withdrawal,2017,0.2801,E
373,Total freshwater withdrawal,2018,0.2801,E
386,SDG 6.4.2. Water Stress,1987,3.6390101892,E
387,SDG 6.4.2. Water Stress,1992,6.2702944799,E
388,SDG 6.4.2. Water Stress,1997,8.9015787706,E
389,SDG 6.4.2. Water Stress,2002,10.365356623,E
390,SDG 6.4.2. Water Stress,2007,10.19286754,E
391,SDG 6.4.2. Water Stress,2012,10.19286754,E
392,SDG 6.4.2. Water Stress,2017,10.19286754,E
393,SDG 6.4.2. Water Stress,2018,10.19286754,E
394,SDG 6.4.1. Water Use Efficiency,2002,3.4723301883,I
395,SDG 6.4.1. Water Use Efficiency,2007,4.4992212408,I
396,SDG 6.4.1. Water Use Efficiency,2012,5.3692827938,I
397,SDG 6.4.1. Water Use Efficiency,2015,5.9416341883,I
398,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.0358951924,E
399,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.0420598385,E
400,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2012,0.0458591868,E
401,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.0463905997,E
402,SDG 6.4.1. Industrial Water Use Efficiency,1992,61.7683706646,E
403,SDG 6.4.1. Industrial Water Use Efficiency,1997,19.0007861433,E
404,SDG 6.4.1. Industrial Water Use Efficiency,2002,18.3487830016,E
405,SDG 6.4.1. Industrial Water Use Efficiency,2007,22.5755372718,E
406,SDG 6.4.1. Industrial Water Use Efficiency,2012,25.8840476734,E
407,SDG 6.4.1. Industrial Water Use Efficiency,2015,27.7816101333,E
408,SDG 6.4.1. Services Water Use Efficiency,1987,14.654538258,E
409,SDG 6.4.1. Services Water Use Efficiency,1992,13.1548983537,E
410,SDG 6.4.1. Services Water Use Efficiency,1997,10.0596477194,E
411,SDG 6.4.1. Services Water Use Efficiency,2002,14.6620821929,E
412,SDG 6.4.1. Services Water Use Efficiency,2007,21.1661607037,E
413,SDG 6.4.1. Services Water Use Efficiency,2012,25.6495279809,E
414,SDG 6.4.1. Services Water Use Efficiency,2015,28.7060062877,E
415,Harvested irrigated temporary crop area: Rice,2002,4.21,I
416,Harvested irrigated temporary crop area: Rice,2007,4.21,I
417,Harvested irrigated temporary crop area: Rice,2012,4.21,I
418,Harvested irrigated temporary crop area: Rice,2017,4.21,I
419,Harvested irrigated temporary crop area: Rice,2018,4.21,I
420,Harvested irrigated temporary crop area: Sugarcane,2002,1.45,I
421,Harvested irrigated temporary crop area: Sugarcane,2007,1.45,I
422,Harvested irrigated temporary crop area: Sugarcane,2012,1.45,I
423,Harvested irrigated temporary crop area: Sugarcane,2017,1.45,I
424,Harvested irrigated temporary crop area: Sugarcane,2018,1.45,I
425,Harvested irrigated temporary crop area: Vegetables,2002,0.8,I
426,Harvested irrigated temporary crop area: Vegetables,2007,0.8,I
427,Harvested irrigated temporary crop area: Vegetables,2012,0.8,I
428,Harvested irrigated temporary crop area: Vegetables,2017,0.8,I
429,Harvested irrigated temporary crop area: Vegetables,2018,0.8,I
430,Harvested irrigated permanent crop area: Coffee,1997,0.5,
431,Harvested irrigated permanent crop area: Coffee,2002,0.5,I
432,Harvested irrigated permanent crop area: Coffee,2007,0.5,I
433,Harvested irrigated permanent crop area: Coffee,2012,0.5,I
434,Harvested irrigated permanent crop area: Coffee,2017,0.5,I
435,Harvested irrigated permanent crop area: Coffee,2018,0.5,I
