Niger,Variable Name,Year,Value,Symbol
215,Total internal renewable water resources (IRWR),1967,3.5,E
216,Total internal renewable water resources (IRWR),1972,3.5,E
217,Total internal renewable water resources (IRWR),1977,3.5,E
218,Total internal renewable water resources (IRWR),1982,3.5,E
219,Total internal renewable water resources (IRWR),1987,3.5,E
220,Total internal renewable water resources (IRWR),1992,3.5,E
221,Total internal renewable water resources (IRWR),1997,3.5,E
222,Total internal renewable water resources (IRWR),2002,3.5,E
223,Total internal renewable water resources (IRWR),2007,3.5,E
224,Total internal renewable water resources (IRWR),2012,3.5,E
225,Total internal renewable water resources (IRWR),2017,3.5,E
226,Total internal renewable water resources (IRWR),2018,3.5,E
227,Total internal renewable water resources per capita,1962,975.4118188699,E
228,Total internal renewable water resources per capita,1967,844.4739554581,E
229,Total internal renewable water resources per capita,1972,734.0254564223,E
230,Total internal renewable water resources per capita,1977,637.3889053902,E
231,Total internal renewable water resources per capita,1982,551.7438811209,E
232,Total internal renewable water resources per capita,1987,477.5586329434,E
233,Total internal renewable water resources per capita,1992,408.5553831841,E
234,Total internal renewable water resources per capita,1997,343.8721636564,E
235,Total internal renewable water resources per capita,2002,287.1209910629,E
236,Total internal renewable water resources per capita,2007,238.3319649674,E
237,Total internal renewable water resources per capita,2012,196.6821408682,E
238,Total internal renewable water resources per capita,2017,162.019169923,E
239,Total internal renewable water resources per capita,2018,155.9518673721,E
240,Total renewable surface water,1962,31.55,E
241,Total renewable surface water,1967,31.55,E
242,Total renewable surface water,1972,31.55,E
243,Total renewable surface water,1977,31.55,E
244,Total renewable surface water,1982,31.55,E
245,Total renewable surface water,1987,31.55,E
246,Total renewable surface water,1992,31.55,E
247,Total renewable surface water,1997,31.55,E
248,Total renewable surface water,2002,31.55,E
249,Total renewable surface water,2007,31.55,E
250,Total renewable surface water,2012,31.55,E
251,Total renewable surface water,2017,31.55,E
252,Total renewable surface water,2018,31.55,E
253,Total renewable groundwater,1962,2.5,E
254,Total renewable groundwater,1967,2.5,E
255,Total renewable groundwater,1972,2.5,E
256,Total renewable groundwater,1977,2.5,E
257,Total renewable groundwater,1982,2.5,E
258,Total renewable groundwater,1987,2.5,E
259,Total renewable groundwater,1992,2.5,E
260,Total renewable groundwater,1997,2.5,E
261,Total renewable groundwater,2002,2.5,E
262,Total renewable groundwater,2007,2.5,E
263,Total renewable groundwater,2012,2.5,E
264,Total renewable groundwater,2017,2.5,E
265,Total renewable groundwater,2018,2.5,E
266,Total exploitable water resources,1962,5.0,OF
267,Total exploitable water resources,1967,5.0,OF
268,Total exploitable water resources,1972,5.0,OF
269,Total exploitable water resources,1977,5.0,OF
270,Total exploitable water resources,1982,5.0,OF
271,Total exploitable water resources,1987,5.0,OF
272,Total exploitable water resources,1992,5.0,OF
273,Total exploitable water resources,1997,5.0,OF
274,Total exploitable water resources,2002,5.0,OF
275,Total exploitable water resources,2007,5.0,OF
276,Total exploitable water resources,2012,5.0,OF
277,Water resources: total external renewable,1962,30.55,E
278,Water resources: total external renewable,1967,30.55,E
279,Water resources: total external renewable,1972,30.55,E
280,Water resources: total external renewable,1977,30.55,E
281,Water resources: total external renewable,1982,30.55,E
282,Water resources: total external renewable,1987,30.55,E
283,Water resources: total external renewable,1992,30.55,E
284,Water resources: total external renewable,1997,30.55,E
285,Water resources: total external renewable,2002,30.55,E
286,Water resources: total external renewable,2007,30.55,E
287,Water resources: total external renewable,2012,30.55,E
288,Water resources: total external renewable,2017,30.55,E
289,Water resources: total external renewable,2018,30.55,E
290,Total renewable water resources,1962,34.05,E
291,Total renewable water resources,1967,34.05,E
292,Total renewable water resources,1972,34.05,E
293,Total renewable water resources,1977,34.05,E
294,Total renewable water resources,1982,34.05,E
295,Total renewable water resources,1987,34.05,E
296,Total renewable water resources,1992,34.05,E
297,Total renewable water resources,1997,34.05,E
298,Total renewable water resources,2002,34.05,E
299,Total renewable water resources,2007,34.05,E
300,Total renewable water resources,2012,34.05,E
301,Total renewable water resources,2017,34.05,E
302,Total renewable water resources,2018,34.05,E
303,Total renewable water resources per capita,1962,9489.3635521489,E
304,Total renewable water resources per capita,1967,8215.5251952424,E
305,Total renewable water resources per capita,1972,7141.0190831938,E
306,Total renewable water resources per capita,1977,6200.8834938673,E
307,Total renewable water resources per capita,1982,5367.6797577624,E
308,Total renewable water resources per capita,1987,4645.9632719207,E
309,Total renewable water resources per capita,1992,3974.6602278338,E
310,Total renewable water resources per capita,1997,3345.384906429,E
311,Total renewable water resources per capita,2002,2793.2770701977,E
312,Total renewable water resources per capita,2007,2318.6295448969,E
313,Total renewable water resources per capita,2012,1913.4362561611,E
314,Total renewable water resources per capita,2017,1576.215067394,E
315,Total renewable water resources per capita,2018,1517.1888811487,E
316,Total agricultural water managed area,1987,78.48,I
317,Total agricultural water managed area,1992,80.3536363636,I
318,Total agricultural water managed area,1997,83.4763636364,I
319,Total agricultural water managed area,2002,85.474,I
320,Total agricultural water managed area,2007,96.1466666667,E
321,Total agricultural water managed area,2012,123.3766666667,E
322,Total agricultural water managed area,2017,138.39,E
323,Total agricultural water managed area,2018,138.39,E
324,Area equipped for irrigation: total,1992,68.3536363636,I
325,Area equipped for irrigation: total,1997,71.4763636364,I
326,Area equipped for irrigation: total,2002,73.474,I
327,Area equipped for irrigation: total,2007,84.1466666667,E
328,Area equipped for irrigation: total,2012,98.9766666667,E
329,Area equipped for irrigation: total,2017,101.59,E
330,Area equipped for irrigation: total,2018,101.59,E
331,% of agricultural GVA produced by irrigated agriculture,1997,0.3032939932,E
332,% of agricultural GVA produced by irrigated agriculture,2002,0.2947119659,E
333,% of agricultural GVA produced by irrigated agriculture,2007,0.2670817084,E
334,% of agricultural GVA produced by irrigated agriculture,2012,0.1983247383,E
335,% of agricultural GVA produced by irrigated agriculture,2017,0.1669873879,E
336,% of agricultural GVA produced by irrigated agriculture,2018,0.1669873879,E
337,Ratio between rainfed and irrigated yields,1962,2.206,E
338,Ratio between rainfed and irrigated yields,1967,2.206,E
339,Ratio between rainfed and irrigated yields,1972,2.206,E
340,Ratio between rainfed and irrigated yields,1977,2.206,E
341,Ratio between rainfed and irrigated yields,1982,2.206,E
342,Ratio between rainfed and irrigated yields,1987,2.206,E
343,Ratio between rainfed and irrigated yields,1992,2.206,E
344,Ratio between rainfed and irrigated yields,1997,2.206,E
345,Ratio between rainfed and irrigated yields,2002,2.206,E
346,Ratio between rainfed and irrigated yields,2007,2.206,I
347,Ratio between rainfed and irrigated yields,2012,2.206,E
348,Ratio between rainfed and irrigated yields,2017,2.206,I
349,Ratio between rainfed and irrigated yields,2018,2.206,I
350,Agricultural water withdrawal as % of total renewable water resources,1992,1.3744493392,I
351,Agricultural water withdrawal as % of total renewable water resources,1997,1.5873715125,I
352,Agricultural water withdrawal as % of total renewable water resources,2002,1.8002936858,I
353,Agricultural water withdrawal as % of total renewable water resources,2007,2.3636808615,I
354,Agricultural water withdrawal as % of total renewable water resources,2012,3.4527655409,I
355,Agricultural water withdrawal as % of total renewable water resources,2017,4.5110132159,I
356,Agricultural water withdrawal as % of total renewable water resources,2018,4.5110132159,I
357,Agricultural water withdrawal,1992,0.468,I
358,Agricultural water withdrawal,1997,0.5405,I
359,Agricultural water withdrawal,2002,0.613,I
360,Agricultural water withdrawal,2007,0.8048333333,I
361,Agricultural water withdrawal,2012,1.1756666667,I
362,Agricultural water withdrawal,2017,1.536,I
363,Agricultural water withdrawal,2018,1.536,I
364,Irrigation water requirement,1997,0.2012,E
365,Irrigation water requirement,2002,0.2012,I
366,Irrigation water requirement,2007,0.2012,I
367,Irrigation water requirement,2012,0.2012,I
368,Irrigation water requirement,2017,0.2012,I
369,Irrigation water requirement,2018,0.2012,I
370,Irrigation water withdrawal,2007,0.7695,I
371,Irrigation water withdrawal,2012,1.052,I
372,Irrigation water withdrawal,2017,1.366,OF
373,Irrigation water withdrawal,2018,1.366,I
374,Municipal water withdrawal,1992,0.1384666667,I
375,Municipal water withdrawal,1997,0.21155,I
376,Municipal water withdrawal,2002,0.271,I
377,Municipal water withdrawal,2007,0.2279142857,I
378,Municipal water withdrawal,2012,0.0617,OF
379,Municipal water withdrawal,2017,0.1789,OF
380,Municipal water withdrawal,2018,0.1789,I
381,Industrial water withdrawal,1992,0.0161333333,I
382,Industrial water withdrawal,1997,0.0238,I
383,Industrial water withdrawal,2002,0.03012,I
384,Industrial water withdrawal,2007,0.0272714286,I
385,Industrial water withdrawal,2011,0.0164142857,I
386,Industrial water withdrawal,2017,0.036,OF
387,Industrial water withdrawal,2018,0.036,I
388,Total water withdrawal,1992,0.6226,E
389,Total water withdrawal,1997,0.77585,E
390,Total water withdrawal,2002,0.91412,E
391,Total water withdrawal,2007,1.0600190476,E
392,Total water withdrawal,2012,1.2510666667,E
393,Total water withdrawal,2017,1.7509,E
394,Total water withdrawal,2018,1.7509,E
395,Fresh surface water withdrawal,1992,0.0491030588,I
396,Fresh surface water withdrawal,1997,0.0604818824,I
397,Fresh surface water withdrawal,2002,0.0718607059,I
398,Fresh surface water withdrawal,2007,0.0880728889,I
399,Fresh surface water withdrawal,2012,0.1115351111,I
400,Fresh surface water withdrawal,2017,0.139776,I
401,Fresh surface water withdrawal,2018,0.139776,I
402,Fresh groundwater withdrawal,1992,0.5646851765,I
403,Fresh groundwater withdrawal,1997,0.6955416471,I
404,Fresh groundwater withdrawal,2002,0.8263981176,I
405,Fresh groundwater withdrawal,2007,1.0128382222,I
406,Fresh groundwater withdrawal,2012,1.2826537778,I
407,Fresh groundwater withdrawal,2017,1.607424,I
408,Fresh groundwater withdrawal,2018,1.607424,I
409,Total freshwater withdrawal,1992,0.6137882353,I
410,Total freshwater withdrawal,1997,0.7560235294,I
411,Total freshwater withdrawal,2002,0.8982588235,I
412,Total freshwater withdrawal,2007,1.1009111111,I
413,Total freshwater withdrawal,2012,1.3941888889,I
414,Total freshwater withdrawal,2017,1.7472,I
415,Total freshwater withdrawal,2018,1.7472,I
417,Produced municipal wastewater,2012,0.0396,I
418,Produced municipal wastewater,2017,0.0396,I
419,Produced municipal wastewater,2018,0.0396,I
433,SDG 6.4.2. Water Stress,1992,2.6185504919,E
434,SDG 6.4.2. Water Stress,1997,3.2253563541,E
435,SDG 6.4.2. Water Stress,2002,3.8321622164,E
436,SDG 6.4.2. Water Stress,2007,4.6967197573,E
437,SDG 6.4.2. Water Stress,2012,5.9479048161,E
438,SDG 6.4.2. Water Stress,2017,7.4539249147,E
439,SDG 6.4.2. Water Stress,2018,7.4539249147,E
440,SDG 6.4.1. Water Use Efficiency,1997,3.4370072942,I
441,SDG 6.4.1. Water Use Efficiency,2002,3.0023439776,I
442,SDG 6.4.1. Water Use Efficiency,2007,3.2797853568,I
443,SDG 6.4.1. Water Use Efficiency,2015,3.417576928,E
444,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.0071102378,E
445,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.0096790633,E
446,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.007485934,E
447,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.002558732,E
448,SDG 6.4.1. Industrial Water Use Efficiency,1992,33.4807439232,E
449,SDG 6.4.1. Industrial Water Use Efficiency,1997,24.9855005203,E
450,SDG 6.4.1. Industrial Water Use Efficiency,2002,19.8140743528,E
451,SDG 6.4.1. Industrial Water Use Efficiency,2007,31.8984454312,E
452,SDG 6.4.1. Industrial Water Use Efficiency,2015,57.6861817365,E
453,SDG 6.4.1. Services Water Use Efficiency,1992,13.3053299611,E
454,SDG 6.4.1. Services Water Use Efficiency,1997,9.7759589378,E
455,SDG 6.4.1. Services Water Use Efficiency,2002,7.9032084556,E
456,SDG 6.4.1. Services Water Use Efficiency,2007,11.4108417417,E
457,SDG 6.4.1. Services Water Use Efficiency,2015,24.0873900305,E
458,Area salinized by irrigation,2002,0.35,I
459,Area salinized by irrigation,2007,0.35,I
460,Area salinized by irrigation,2012,0.35,I
461,Area salinized by irrigation,2017,0.35,I
462,Area salinized by irrigation,2018,0.35,I
463,Harvested irrigated temporary crop area: Wheat,1992,0.94,I
464,Harvested irrigated temporary crop area: Wheat,1997,0.79,OF
465,Harvested irrigated temporary crop area: Wheat,2002,0.5803571429,I
466,Harvested irrigated temporary crop area: Wheat,2007,0.3707142857,I
467,Harvested irrigated temporary crop area: Wheat,2012,0.203,I
468,Harvested irrigated temporary crop area: Wheat,2017,0.203,I
469,Harvested irrigated temporary crop area: Wheat,2018,0.203,I
470,Harvested irrigated temporary crop area: Rice,1992,24.7742857143,I
471,Harvested irrigated temporary crop area: Rice,1997,14.21,OF
472,Harvested irrigated temporary crop area: Rice,2002,13.9707142857,I
473,Harvested irrigated temporary crop area: Rice,2007,13.7314285714,I
474,Harvested irrigated temporary crop area: Rice,2012,13.54,I
475,Harvested irrigated temporary crop area: Rice,2017,13.54,I
476,Harvested irrigated temporary crop area: Rice,2018,13.54,I
477,Harvested irrigated temporary crop area: Maize,2012,0.419,I
478,Harvested irrigated temporary crop area: Maize,2017,0.419,I
479,Harvested irrigated temporary crop area: Maize,2018,0.419,I
480,Harvested irrigated temporary crop area: Millet,2012,1.194,I
481,Harvested irrigated temporary crop area: Millet,2017,1.194,I
482,Harvested irrigated temporary crop area: Millet,2018,1.194,I
483,Harvested irrigated temporary crop area: Sorghum,2012,1.543,I
484,Harvested irrigated temporary crop area: Sorghum,2017,1.543,I
485,Harvested irrigated temporary crop area: Sorghum,2018,1.543,I
486,Harvested irrigated temporary crop area: Other cereals,1997,2.215,OF
487,Harvested irrigated temporary crop area: Other cereals,2002,2.215,I
488,Harvested irrigated temporary crop area: Other cereals,2007,2.215,I
489,Harvested irrigated temporary crop area: Other cereals,2012,2.215,I
490,Harvested irrigated temporary crop area: Other cereals,2017,2.215,I
491,Harvested irrigated temporary crop area: Other cereals,2018,2.215,I
492,Harvested irrigated temporary crop area: Sweet potatoes,2012,0.064,I
493,Harvested irrigated temporary crop area: Sweet potatoes,2017,0.064,I
494,Harvested irrigated temporary crop area: Sweet potatoes,2018,0.064,I
495,Harvested irrigated temporary crop area: Cassava,2012,0.146,I
496,Harvested irrigated temporary crop area: Cassava,2017,0.146,I
497,Harvested irrigated temporary crop area: Cassava,2018,0.146,I
498,Harvested irrigated temporary crop area: Sugarcane,2012,0.053,I
499,Harvested irrigated temporary crop area: Sugarcane,2017,0.053,I
500,Harvested irrigated temporary crop area: Sugarcane,2018,0.053,I
501,Harvested irrigated temporary crop area: Leguminous crops,2012,0.01,I
502,Harvested irrigated temporary crop area: Leguminous crops,2017,0.01,I
503,Harvested irrigated temporary crop area: Leguminous crops,2018,0.01,I
504,Harvested irrigated temporary crop area: Vegetables,1997,0.419,OF
505,Harvested irrigated temporary crop area: Vegetables,2002,0.3265,I
506,Harvested irrigated temporary crop area: Vegetables,2007,0.234,I
507,Harvested irrigated temporary crop area: Vegetables,2012,0.16,I
508,Harvested irrigated temporary crop area: Vegetables,2017,0.16,I
509,Harvested irrigated temporary crop area: Vegetables,2018,0.16,I
510,Harvested irrigated temporary crop area: Cotton,1992,2.2554285714,I
511,Harvested irrigated temporary crop area: Cotton,1997,1.644,OF
512,Harvested irrigated temporary crop area: Cotton,2002,1.2050714286,I
513,Harvested irrigated temporary crop area: Cotton,2007,0.7661428571,I
514,Harvested irrigated temporary crop area: Cotton,2012,0.415,I
515,Harvested irrigated temporary crop area: Cotton,2017,0.415,I
516,Harvested irrigated temporary crop area: Cotton,2018,0.415,I
