Grenada,Variable Name,Year,Value,Symbol
61,Urban population,2007,37.17,X
62,Urban population,2012,37.835,X
63,Urban population,2017,38.994,X
64,Urban population,2018,39.297,X
65,Gross Domestic Product (GDP),1972,32322518.0,X
66,Gross Domestic Product (GDP),1977,56822253.0,X
67,Gross Domestic Product (GDP),1982,104460466.0,X
68,Gross Domestic Product (GDP),1987,177198811.0,X
69,Gross Domestic Product (GDP),1992,252206138.0,X
70,Gross Domestic Product (GDP),1997,321228881.0,X
71,Gross Domestic Product (GDP),2002,540337037.0,X
72,Gross Domestic Product (GDP),2007,758685185.0,X
73,Gross Domestic Product (GDP),2012,799881481.0,X
74,Gross Domestic Product (GDP),2017,1125685613.0,X
75,Gross Domestic Product (GDP),2018,1168696172.0,X
76,GDP per capita,1972,344.098178,X
77,GDP per capita,1977,630.070223,X
78,GDP per capita,1982,1122.132815,X
79,GDP per capita,1987,1783.042974,X
80,GDP per capita,1992,2594.766742,X
81,GDP per capita,1997,3176.646834,X
82,GDP per capita,2002,5292.233468,X
83,GDP per capita,2007,7324.205831,X
84,GDP per capita,2012,7583.180682,X
85,GDP per capita,2017,10439.931494,X
86,GDP per capita,2018,10787.400403,X
87,"Agriculture, value added (% GDP)",1972,17.20876,X
88,"Agriculture, value added (% GDP)",1977,21.601523,X
89,"Agriculture, value added (% GDP)",1982,16.596744,X
90,"Agriculture, value added (% GDP)",1987,14.468829,X
91,"Agriculture, value added (% GDP)",1992,9.295696,X
92,"Agriculture, value added (% GDP)",1997,6.637381,X
93,"Agriculture, value added (% GDP)",2002,6.290313,X
94,"Agriculture, value added (% GDP)",2007,3.556836,X
95,"Agriculture, value added (% GDP)",2012,4.832197,X
96,"Agriculture, value added (% GDP)",2017,5.37153,X
97,"Agriculture, value added (% GDP)",2018,5.264251,X
98,Total population with access to safe drinking-water (JMP),1992,96.5,X
99,Total population with access to safe drinking-water (JMP),1997,96.6,X
100,Total population with access to safe drinking-water (JMP),2002,96.6,X
101,Total population with access to safe drinking-water (JMP),2007,96.6,X
102,Total population with access to safe drinking-water (JMP),2012,96.6,X
103,Total population with access to safe drinking-water (JMP),2017,96.6,I
104,Total population with access to safe drinking-water (JMP),2018,96.6,I
105,Long-term average annual precipitation in volume,1962,0.799,E
106,Long-term average annual precipitation in volume,1967,0.799,E
107,Long-term average annual precipitation in volume,1972,0.799,E
108,Long-term average annual precipitation in volume,1977,0.799,E
109,Long-term average annual precipitation in volume,1982,0.799,E
110,Long-term average annual precipitation in volume,1987,0.799,E
111,Long-term average annual precipitation in volume,1992,0.799,E
112,Long-term average annual precipitation in volume,1997,0.799,E
113,Long-term average annual precipitation in volume,2002,0.799,E
114,Long-term average annual precipitation in volume,2007,0.799,E
115,Long-term average annual precipitation in volume,2012,0.799,E
116,Long-term average annual precipitation in volume,2017,0.799,E
117,Long-term average annual precipitation in volume,2018,0.799,E
118,Surface water: entering the country (total),1962,0.0,OF
119,Surface water: entering the country (total),1967,0.0,OF
120,Surface water: entering the country (total),1972,0.0,OF
121,Surface water: entering the country (total),1977,0.0,OF
122,Surface water: entering the country (total),1982,0.0,OF
123,Surface water: entering the country (total),1987,0.0,OF
124,Surface water: entering the country (total),1992,0.0,OF
125,Surface water: entering the country (total),1997,0.0,OF
126,Surface water: entering the country (total),2002,0.0,OF
127,Surface water: entering the country (total),2007,0.0,OF
128,Surface water: entering the country (total),2012,0.0,OF
129,Surface water: entering the country (total),2017,0.0,OF
130,Surface water: leaving the country to other countries (total),1962,0.0,OF
131,Surface water: leaving the country to other countries (total),1967,0.0,OF
132,Surface water: leaving the country to other countries (total),1972,0.0,OF
133,Surface water: leaving the country to other countries (total),1977,0.0,OF
134,Surface water: leaving the country to other countries (total),1982,0.0,OF
135,Surface water: leaving the country to other countries (total),1987,0.0,OF
136,Surface water: leaving the country to other countries (total),1992,0.0,OF
137,Surface water: leaving the country to other countries (total),1997,0.0,OF
138,Surface water: leaving the country to other countries (total),2002,0.0,OF
139,Surface water: leaving the country to other countries (total),2007,0.0,OF
140,Surface water: leaving the country to other countries (total),2012,0.0,OF
141,Surface water: leaving the country to other countries (total),2017,0.0,OF
142,Groundwater: entering the country (total),1962,0.0,OF
143,Groundwater: entering the country (total),1967,0.0,OF
144,Groundwater: entering the country (total),1972,0.0,OF
145,Groundwater: entering the country (total),1977,0.0,OF
146,Groundwater: entering the country (total),1982,0.0,OF
147,Groundwater: entering the country (total),1987,0.0,OF
148,Groundwater: entering the country (total),1992,0.0,OF
149,Groundwater: entering the country (total),1997,0.0,OF
150,Groundwater: entering the country (total),2002,0.0,OF
151,Groundwater: entering the country (total),2007,0.0,OF
152,Groundwater: entering the country (total),2012,0.0,OF
153,Groundwater: entering the country (total),2017,0.0,OF
154,Groundwater: leaving the country to other countries (total),1962,0.0,OF
155,Groundwater: leaving the country to other countries (total),1967,0.0,OF
156,Groundwater: leaving the country to other countries (total),1972,0.0,OF
157,Groundwater: leaving the country to other countries (total),1977,0.0,OF
158,Groundwater: leaving the country to other countries (total),1982,0.0,OF
159,Groundwater: leaving the country to other countries (total),1987,0.0,OF
160,Groundwater: leaving the country to other countries (total),1992,0.0,OF
161,Groundwater: leaving the country to other countries (total),1997,0.0,OF
162,Groundwater: leaving the country to other countries (total),2002,0.0,OF
163,Groundwater: leaving the country to other countries (total),2007,0.0,OF
164,Groundwater: leaving the country to other countries (total),2012,0.0,OF
165,Groundwater: leaving the country to other countries (total),2017,0.0,OF
166,Dependency ratio,1962,0.0,OF
167,Dependency ratio,1967,0.0,OF
168,Dependency ratio,1972,0.0,OF
169,Dependency ratio,1977,0.0,OF
170,Dependency ratio,1982,0.0,OF
171,Dependency ratio,1987,0.0,OF
172,Dependency ratio,1992,0.0,OF
173,Dependency ratio,1997,0.0,OF
174,Dependency ratio,2002,0.0,OF
175,Dependency ratio,2007,0.0,OF
176,Dependency ratio,2012,0.0,OF
177,Dependency ratio,2017,0.0,OF
178,Total internal renewable water resources (IRWR),2017,0.2,E
179,Total internal renewable water resources per capita,1962,2162.5362224817,E
180,Total internal renewable water resources per capita,1967,2104.8200378868,E
181,Total internal renewable water resources per capita,1972,2128.0444335678,E
182,Total internal renewable water resources per capita,1977,2216.6313852838,E
183,Total internal renewable water resources per capita,1982,2147.720195013,E
184,Total internal renewable water resources per capita,1987,2011.3439800475,E
185,Total internal renewable water resources per capita,1992,2058.3543457006,E
186,Total internal renewable water resources per capita,1997,1969.1435210255,E
187,Total internal renewable water resources per capita,2002,1929.86857595,E
188,Total internal renewable water resources per capita,2007,1901.3214183858,E
189,Total internal renewable water resources per capita,2012,1861.4001451892,E
190,Total internal renewable water resources per capita,2017,1803.8494146509,E
191,Total internal renewable water resources per capita,2018,1794.462289375,E
192,Total renewable surface water,1962,0.0,E
193,Total renewable surface water,1967,0.0,E
194,Total renewable surface water,1972,0.0,E
195,Total renewable surface water,1977,0.0,E
196,Total renewable surface water,1982,0.0,E
197,Total renewable surface water,1987,0.0,E
198,Total renewable surface water,1992,0.0,E
199,Total renewable surface water,1997,0.0,E
200,Total renewable surface water,2002,0.0,E
201,Total renewable surface water,2007,0.0,E
202,Total renewable surface water,2012,0.0,E
203,Total renewable surface water,2017,0.0,E
204,Total renewable surface water,2018,0.0,E
205,Total renewable groundwater,1962,0.0,E
206,Total renewable groundwater,1967,0.0,E
207,Total renewable groundwater,1972,0.0,E
208,Total renewable groundwater,1977,0.0,E
209,Total renewable groundwater,1982,0.0,E
210,Total renewable groundwater,1987,0.0,E
211,Total renewable groundwater,1992,0.0,E
212,Total renewable groundwater,1997,0.0,E
213,Total renewable groundwater,2002,0.0,E
214,Total renewable groundwater,2007,0.0,E
215,Total renewable groundwater,2012,0.0,E
216,Total renewable groundwater,2017,0.0,E
217,Total renewable groundwater,2018,0.0,E
218,Water resources: total external renewable,1962,0.0,E
219,Water resources: total external renewable,1967,0.0,E
220,Water resources: total external renewable,1972,0.0,E
221,Water resources: total external renewable,1977,0.0,E
222,Water resources: total external renewable,1982,0.0,E
223,Water resources: total external renewable,1987,0.0,E
224,Water resources: total external renewable,1992,0.0,E
225,Water resources: total external renewable,1997,0.0,E
226,Water resources: total external renewable,2002,0.0,E
227,Water resources: total external renewable,2007,0.0,E
228,Water resources: total external renewable,2012,0.0,E
229,Water resources: total external renewable,2017,0.0,E
230,Water resources: total external renewable,2018,0.0,E
231,Total renewable water resources,1962,0.2,E
232,Total renewable water resources,1967,0.2,E
233,Total renewable water resources,1972,0.2,E
234,Total renewable water resources,1977,0.2,E
235,Total renewable water resources,1982,0.2,E
236,Total renewable water resources,1987,0.2,E
237,Total renewable water resources,1992,0.2,E
238,Total renewable water resources,1997,0.2,E
239,Total renewable water resources,2002,0.2,E
240,Total renewable water resources,2007,0.2,E
241,Total renewable water resources,2012,0.2,E
242,Total renewable water resources,2017,0.2,E
243,Total renewable water resources per capita,1962,2162.5362224817,E
244,Total renewable water resources per capita,1967,2104.8200378868,E
245,Total renewable water resources per capita,1972,2128.0444335678,E
246,Total renewable water resources per capita,1977,2216.6313852838,E
247,Total renewable water resources per capita,1982,2147.720195013,E
248,Total renewable water resources per capita,1987,2011.3439800475,E
249,Total renewable water resources per capita,1992,2058.3543457006,E
250,Total renewable water resources per capita,1997,1969.1435210255,E
251,Total renewable water resources per capita,2002,1929.86857595,E
252,Total renewable water resources per capita,2007,1901.3214183858,E
253,Total renewable water resources per capita,2012,1861.4001451892,E
254,Total renewable water resources per capita,2017,1803.8494146509,E
255,Total renewable water resources per capita,2018,1794.462289375,E
256,Total agricultural water managed area,1997,0.219,OF
257,Total agricultural water managed area,2002,0.2853636364,I
258,Total agricultural water managed area,2007,0.3517272727,I
259,Total agricultural water managed area,2012,0.365,I
260,Total agricultural water managed area,2017,0.365,I
261,Total agricultural water managed area,2018,0.365,I
262,Area equipped for irrigation: total,1997,0.219,OF
263,Area equipped for irrigation: total,2002,0.2853636364,I
264,Area equipped for irrigation: total,2007,0.3517272727,I
265,Area equipped for irrigation: total,2012,0.365,I
266,Area equipped for irrigation: total,2017,0.365,I
267,Area equipped for irrigation: total,2018,0.365,I
268,% of agricultural GVA produced by irrigated agriculture,2012,8.9095644271,E
269,% of agricultural GVA produced by irrigated agriculture,2017,8.9095644271,E
270,% of agricultural GVA produced by irrigated agriculture,2018,8.9095644271,E
272,Ratio between rainfed and irrigated yields,1966,1.778,I
273,Ratio between rainfed and irrigated yields,1971,1.778,I
274,Ratio between rainfed and irrigated yields,1976,1.778,I
275,Ratio between rainfed and irrigated yields,1981,1.778,I
276,Ratio between rainfed and irrigated yields,1986,1.778,I
277,Ratio between rainfed and irrigated yields,1991,1.778,I
278,Ratio between rainfed and irrigated yields,1996,1.778,I
279,Ratio between rainfed and irrigated yields,2001,1.778,I
280,Ratio between rainfed and irrigated yields,2007,1.778,I
281,Ratio between rainfed and irrigated yields,2011,1.778,I
282,Ratio between rainfed and irrigated yields,2017,1.778,I
283,Ratio between rainfed and irrigated yields,2018,1.778,I
284,Agricultural water withdrawal as % of total renewable water resources,1997,1.1,E
285,Agricultural water withdrawal as % of total renewable water resources,2002,1.0852941176,I
286,Agricultural water withdrawal as % of total renewable water resources,2007,1.0705882353,I
287,Agricultural water withdrawal as % of total renewable water resources,2012,1.0558823529,I
288,Agricultural water withdrawal as % of total renewable water resources,2017,1.05,I
289,Agricultural water withdrawal as % of total renewable water resources,2018,1.05,I
291,Agricultural water withdrawal,2002,0.0021705882,I
292,Agricultural water withdrawal,2007,0.0021411765,I
293,Agricultural water withdrawal,2012,0.0021117647,I
294,Agricultural water withdrawal,2017,0.0021,I
295,Agricultural water withdrawal,2018,0.0021,I
296,Irrigation water requirement,2002,0.0006,I
297,Irrigation water requirement,2007,0.0006,I
298,Irrigation water requirement,2012,0.0006,I
299,Irrigation water requirement,2017,0.0006,I
300,Irrigation water requirement,2018,0.0006,I
301,Irrigation water withdrawal,1997,0.0022,E
302,Irrigation water withdrawal,2002,0.0021705882,I
303,Irrigation water withdrawal,2007,0.0021411765,I
304,Irrigation water withdrawal,2012,0.0021117647,I
305,Irrigation water withdrawal,2017,0.0021,I
306,Irrigation water withdrawal,2018,0.0021,I
307,Municipal water withdrawal,2017,0.012,I
308,Municipal water withdrawal,2018,0.012,I
309,Industrial water withdrawal,2017,0.0,I
310,Industrial water withdrawal,2018,0.0,I
311,Total water withdrawal,2007,0.0109111111,I
312,Total water withdrawal,2012,0.0131888889,I
313,Total water withdrawal,2017,0.0141,I
314,Total water withdrawal,2018,0.0141,I
315,Fresh surface water withdrawal,2007,0.0106888889,I
316,Fresh surface water withdrawal,2012,0.0124111111,I
317,Fresh surface water withdrawal,2017,0.0131,I
318,Fresh surface water withdrawal,2018,0.0131,I
319,Fresh groundwater withdrawal,2007,0.0002222222,I
320,Fresh groundwater withdrawal,2012,0.0007777778,I
321,Fresh groundwater withdrawal,2017,0.001,I
322,Fresh groundwater withdrawal,2018,0.001,I
323,Total freshwater withdrawal,2007,0.0109111111,I
324,Total freshwater withdrawal,2012,0.0131888889,I
325,Total freshwater withdrawal,2017,0.0141,I
326,Total freshwater withdrawal,2018,0.0141,I
327,Produced municipal wastewater,2017,0.011,I
328,Produced municipal wastewater,2018,0.011,I
329,Collected municipal wastewater,2017,0.001,I
330,Collected municipal wastewater,2018,0.001,I
331,SDG 6.4.2. Water Stress,2007,5.4555555556,I
332,SDG 6.4.2. Water Stress,2012,6.5944444444,I
333,SDG 6.4.2. Water Stress,2017,7.05,I
334,SDG 6.4.2. Water Stress,2018,7.05,I
335,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2012,1.7359350409,E
336,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,3.1421552883,E
337,SDG 6.4.1. Services Water Use Efficiency,2015,58.2030785833,E
338,Harvested irrigated temporary crop area: Vegetables,2012,0.365,I
339,Harvested irrigated temporary crop area: Vegetables,2017,0.365,I
340,Harvested irrigated temporary crop area: Vegetables,2018,0.365,I
