Micronesia (Federated States of),Variable Name,Year,Value,Symbol
56,Gross Domestic Product (GDP),1987,124200000.0,X
57,Gross Domestic Product (GDP),1992,189100000.0,X
58,Gross Domestic Product (GDP),1997,206731873.0,X
59,Gross Domestic Product (GDP),2002,241473786.0,X
60,Gross Domestic Product (GDP),2006,253372000.0,X
61,GDP per capita,1972,427.298212,X
62,GDP per capita,1977,758.915241,X
63,GDP per capita,1982,1087.638837,X
64,GDP per capita,1987,1379.693401,X
65,GDP per capita,1992,1864.652461,X
66,GDP per capita,1997,1905.327764,X
67,GDP per capita,2002,2257.122963,X
68,GDP per capita,2007,2442.947144,X
69,GDP per capita,2012,3153.531782,X
70,GDP per capita,2017,3435.533995,X
71,GDP per capita,2018,3495.367468,X
72,"Agriculture, value added (% GDP)",1972,23.56561,X
73,"Agriculture, value added (% GDP)",1977,23.565604,X
74,"Agriculture, value added (% GDP)",1982,23.565364,X
75,"Agriculture, value added (% GDP)",1987,23.567416,X
76,"Agriculture, value added (% GDP)",1992,23.62166,X
77,"Agriculture, value added (% GDP)",1997,23.014376,X
78,"Agriculture, value added (% GDP)",2002,23.392863,X
79,"Agriculture, value added (% GDP)",2006,22.354877,X
80,Total population with access to safe drinking-water (JMP),1992,91.0,X
81,Total population with access to safe drinking-water (JMP),1997,90.5,X
82,Total population with access to safe drinking-water (JMP),2002,90.0,X
83,Total population with access to safe drinking-water (JMP),2007,89.5,X
84,Total population with access to safe drinking-water (JMP),2012,89.0,X
85,Total population with access to safe drinking-water (JMP),2017,89.0,I
86,Total population with access to safe drinking-water (JMP),2018,89.0,I
87,Surface water: entering the country (total),1962,0.0,OF
88,Surface water: entering the country (total),1967,0.0,OF
89,Surface water: entering the country (total),1972,0.0,OF
90,Surface water: entering the country (total),1977,0.0,OF
91,Surface water: entering the country (total),1982,0.0,OF
92,Surface water: entering the country (total),1987,0.0,OF
93,Surface water: entering the country (total),1992,0.0,OF
94,Surface water: entering the country (total),1997,0.0,OF
95,Surface water: entering the country (total),2002,0.0,OF
96,Surface water: entering the country (total),2007,0.0,OF
97,Surface water: entering the country (total),2012,0.0,OF
98,Surface water: entering the country (total),2017,0.0,OF
99,Surface water: leaving the country to other countries (total),1962,0.0,OF
100,Surface water: leaving the country to other countries (total),1967,0.0,OF
101,Surface water: leaving the country to other countries (total),1972,0.0,OF
102,Surface water: leaving the country to other countries (total),1977,0.0,OF
103,Surface water: leaving the country to other countries (total),1982,0.0,OF
104,Surface water: leaving the country to other countries (total),1987,0.0,OF
105,Surface water: leaving the country to other countries (total),1992,0.0,OF
106,Surface water: leaving the country to other countries (total),1997,0.0,OF
107,Surface water: leaving the country to other countries (total),2002,0.0,OF
108,Surface water: leaving the country to other countries (total),2007,0.0,OF
109,Surface water: leaving the country to other countries (total),2012,0.0,OF
110,Surface water: leaving the country to other countries (total),2017,0.0,OF
111,Groundwater: entering the country (total),1962,0.0,OF
112,Groundwater: entering the country (total),1967,0.0,OF
113,Groundwater: entering the country (total),1972,0.0,OF
114,Groundwater: entering the country (total),1977,0.0,OF
115,Groundwater: entering the country (total),1982,0.0,OF
116,Groundwater: entering the country (total),1987,0.0,OF
117,Groundwater: entering the country (total),1992,0.0,OF
118,Groundwater: entering the country (total),1997,0.0,OF
119,Groundwater: entering the country (total),2002,0.0,OF
120,Groundwater: entering the country (total),2007,0.0,OF
121,Groundwater: entering the country (total),2012,0.0,OF
122,Groundwater: entering the country (total),2017,0.0,OF
123,Groundwater: leaving the country to other countries (total),1962,0.0,OF
124,Groundwater: leaving the country to other countries (total),1967,0.0,OF
125,Groundwater: leaving the country to other countries (total),1972,0.0,OF
126,Groundwater: leaving the country to other countries (total),1977,0.0,OF
127,Groundwater: leaving the country to other countries (total),1982,0.0,OF
128,Groundwater: leaving the country to other countries (total),1987,0.0,OF
129,Groundwater: leaving the country to other countries (total),1992,0.0,OF
130,Groundwater: leaving the country to other countries (total),1997,0.0,OF
131,Groundwater: leaving the country to other countries (total),2002,0.0,OF
132,Groundwater: leaving the country to other countries (total),2007,0.0,OF
133,Groundwater: leaving the country to other countries (total),2012,0.0,OF
134,Groundwater: leaving the country to other countries (total),2017,0.0,OF
135,Dependency ratio,1962,0.0,OF
136,Dependency ratio,1967,0.0,OF
137,Dependency ratio,1972,0.0,OF
138,Dependency ratio,1977,0.0,OF
139,Dependency ratio,1982,0.0,OF
140,Dependency ratio,1987,0.0,OF
141,Dependency ratio,1992,0.0,OF
142,Dependency ratio,1997,0.0,OF
143,Dependency ratio,2002,0.0,OF
144,Dependency ratio,2007,0.0,OF
145,Dependency ratio,2012,0.0,OF
146,Dependency ratio,2017,0.0,OF
147,Total renewable surface water,1962,0.0,E
148,Total renewable surface water,1967,0.0,E
149,Total renewable surface water,1972,0.0,E
150,Total renewable surface water,1977,0.0,E
151,Total renewable surface water,1982,0.0,E
152,Total renewable surface water,1987,0.0,E
153,Total renewable surface water,1992,0.0,E
154,Total renewable surface water,1997,0.0,E
155,Total renewable surface water,2002,0.0,E
156,Total renewable surface water,2007,0.0,E
157,Total renewable surface water,2012,0.0,E
158,Total renewable surface water,2017,0.0,E
159,Total renewable surface water,2018,0.0,E
160,Total renewable groundwater,1962,0.0,E
161,Total renewable groundwater,1967,0.0,E
162,Total renewable groundwater,1972,0.0,E
163,Total renewable groundwater,1977,0.0,E
164,Total renewable groundwater,1982,0.0,E
165,Total renewable groundwater,1987,0.0,E
166,Total renewable groundwater,1992,0.0,E
167,Total renewable groundwater,1997,0.0,E
168,Total renewable groundwater,2002,0.0,E
169,Total renewable groundwater,2007,0.0,E
170,Total renewable groundwater,2012,0.0,E
171,Total renewable groundwater,2017,0.0,E
172,Total renewable groundwater,2018,0.0,E
173,Water resources: total external renewable,1962,0.0,E
174,Water resources: total external renewable,1967,0.0,E
175,Water resources: total external renewable,1972,0.0,E
176,Water resources: total external renewable,1977,0.0,E
177,Water resources: total external renewable,1982,0.0,E
178,Water resources: total external renewable,1987,0.0,E
179,Water resources: total external renewable,1992,0.0,E
180,Water resources: total external renewable,1997,0.0,E
181,Water resources: total external renewable,2002,0.0,E
182,Water resources: total external renewable,2007,0.0,E
183,Water resources: total external renewable,2012,0.0,E
184,Water resources: total external renewable,2017,0.0,E
185,Water resources: total external renewable,2018,0.0,E
186,Total renewable water resources,1962,0.0,E
187,Total renewable water resources,1967,0.0,E
188,Total renewable water resources,1972,0.0,E
189,Total renewable water resources,1977,0.0,E
190,Total renewable water resources,1982,0.0,E
191,Total renewable water resources,1987,0.0,E
192,Total renewable water resources,1992,0.0,E
193,Total renewable water resources,1997,0.0,E
194,Total renewable water resources,2002,0.0,E
195,Total renewable water resources,2007,0.0,E
196,Total renewable water resources,2012,0.0,E
197,Total renewable water resources,2017,0.0,E
198,Total renewable water resources,2018,0.0,E
199,Total renewable water resources per capita,1962,0.0,E
200,Total renewable water resources per capita,1967,0.0,E
201,Total renewable water resources per capita,1972,0.0,E
202,Total renewable water resources per capita,1977,0.0,E
203,Total renewable water resources per capita,1982,0.0,E
204,Total renewable water resources per capita,1987,0.0,E
205,Total renewable water resources per capita,1992,0.0,E
206,Total renewable water resources per capita,1997,0.0,E
207,Total renewable water resources per capita,2002,0.0,E
208,Total renewable water resources per capita,2007,0.0,E
209,Total renewable water resources per capita,2012,0.0,E
210,Total renewable water resources per capita,2017,0.0,E
211,Total renewable water resources per capita,2018,0.0,E
