Georgia,Variable Name,Year,Value,Symbol
82,Long-term average annual precipitation in volume,2012,71.5122,E
83,Long-term average annual precipitation in volume,2017,71.5122,E
84,Long-term average annual precipitation in volume,2018,71.5122,E
85,Interannual variability (WRI),2017,1.1,I
86,Interannual variability (WRI),2018,1.1,I
87,Seasonal variability (WRI),2017,1.9,I
88,Seasonal variability (WRI),2018,1.9,I
89,Flood occurrence (WRI),2017,3.6,I
90,Flood occurrence (WRI),2018,3.6,I
91,Surface water: entering the country (total),1992,8.35,OF
92,Surface water: entering the country (total),1997,8.35,OF
93,Surface water: entering the country (total),2002,8.35,OF
94,Surface water: entering the country (total),2007,8.35,OF
95,Surface water: entering the country (total),2012,8.35,OF
96,Surface water: entering the country (total),2017,8.35,OF
97,Surface water: leaving the country to other countries (total),1992,11.91,OF
98,Surface water: leaving the country to other countries (total),1997,11.91,OF
99,Surface water: leaving the country to other countries (total),2002,11.91,OF
100,Surface water: leaving the country to other countries (total),2007,11.91,OF
101,Surface water: leaving the country to other countries (total),2012,11.91,OF
102,Surface water: leaving the country to other countries (total),2017,11.91,OF
103,Groundwater: entering the country (total),1992,0.0,E
104,Groundwater: entering the country (total),1997,0.0,E
105,Groundwater: entering the country (total),2002,0.0,E
106,Groundwater: entering the country (total),2007,0.0,E
107,Groundwater: entering the country (total),2012,0.0,E
108,Groundwater: entering the country (total),2017,0.0,E
109,Dependency ratio,1992,8.2109584715,E
110,Dependency ratio,1997,8.2109584715,E
111,Dependency ratio,2002,8.2109584715,E
112,Dependency ratio,2007,8.2109584715,E
113,Dependency ratio,2012,8.2109584715,E
114,Dependency ratio,2017,8.2109584715,E
115,Dependency ratio,2018,8.2109584715,E
116,Total internal renewable water resources (IRWR),1992,58.13,E
117,Total internal renewable water resources (IRWR),1997,58.13,E
118,Total internal renewable water resources (IRWR),2002,58.13,E
119,Total internal renewable water resources (IRWR),2007,58.13,E
120,Total internal renewable water resources (IRWR),2012,58.13,E
121,Total internal renewable water resources (IRWR),2017,58.13,E
122,Total internal renewable water resources (IRWR),2018,58.13,E
123,Total internal renewable water resources per capita,1992,10959.7998012417,E
124,Total internal renewable water resources per capita,1997,12342.8557839327,E
125,Total internal renewable water resources per capita,2002,13650.1187839771,E
126,Total internal renewable water resources per capita,2007,13950.5292585532,E
127,Total internal renewable water resources per capita,2012,14303.2686647445,E
128,Total internal renewable water resources per capita,2017,14500.9025333798,E
129,Total internal renewable water resources per capita,2018,14521.8192019769,E
130,Total renewable surface water,1992,62.1,E
131,Total renewable surface water,1997,62.1,E
132,Total renewable surface water,2002,62.1,E
133,Total renewable surface water,2007,62.1,E
134,Total renewable surface water,2012,62.1,E
135,Total renewable surface water,2017,62.1,E
136,Total renewable surface water,2018,62.1,E
137,Total renewable groundwater,1992,17.23,E
138,Total renewable groundwater,1997,17.23,E
139,Total renewable groundwater,2002,17.23,E
140,Total renewable groundwater,2007,17.23,E
141,Total renewable groundwater,2012,17.23,E
142,Total renewable groundwater,2017,17.23,E
143,Total renewable groundwater,2018,17.23,E
144,Water resources: total external renewable,1992,5.2,E
145,Water resources: total external renewable,1997,5.2,E
146,Water resources: total external renewable,2002,5.2,E
147,Water resources: total external renewable,2007,5.2,E
148,Water resources: total external renewable,2012,5.2,E
149,Water resources: total external renewable,2017,5.2,E
150,Water resources: total external renewable,2018,5.2,E
151,Total renewable water resources,1992,63.33,E
152,Total renewable water resources,1997,63.33,E
153,Total renewable water resources,2002,63.33,E
154,Total renewable water resources,2007,63.33,E
155,Total renewable water resources,2012,63.33,E
156,Total renewable water resources,2017,63.33,E
157,Total renewable water resources,2018,63.33,E
158,Total renewable water resources per capita,1992,11940.2050819308,E
159,Total renewable water resources per capita,1997,13446.9818819277,E
160,Total renewable water resources per capita,2002,14871.1856629841,E
161,Total renewable water resources per capita,2007,15198.4692575981,E
162,Total renewable water resources per capita,2012,15582.7628511658,E
163,Total renewable water resources per capita,2017,15798.0759924125,E
164,Total renewable water resources per capita,2018,15820.8637547084,E
165,Total agricultural water managed area,1997,469.5818181818,E
166,Total agricultural water managed area,2002,472.4909090909,E
167,Total agricultural water managed area,2007,503.71,E
168,Total agricultural water managed area,2012,503.71,E
169,Total agricultural water managed area,2015,503.71,E
170,Area equipped for irrigation: total,1997,469.5818181818,E
171,Area equipped for irrigation: total,2002,472.4909090909,E
172,Area equipped for irrigation: total,2007,503.71,E
173,Area equipped for irrigation: total,2012,503.71,E
174,Area equipped for irrigation: total,2015,503.71,E
175,% of agricultural GVA produced by irrigated agriculture,2007,33.2104686406,E
176,% of agricultural GVA produced by irrigated agriculture,2018,31.0038033731,E
178,Ratio between rainfed and irrigated yields,1996,1.778,I
179,Ratio between rainfed and irrigated yields,2001,1.778,I
180,Ratio between rainfed and irrigated yields,2007,1.778,I
181,Ratio between rainfed and irrigated yields,2011,1.778,I
182,Ratio between rainfed and irrigated yields,2017,1.778,I
183,Ratio between rainfed and irrigated yields,2018,1.778,I
184,Agricultural water withdrawal as % of total renewable water resources,1992,3.0179483131,E
185,Agricultural water withdrawal as % of total renewable water resources,1997,2.4979209432,E
186,Agricultural water withdrawal as % of total renewable water resources,2002,1.9778935733,E
187,Agricultural water withdrawal as % of total renewable water resources,2007,1.6720028258,E
188,Agricultural water withdrawal as % of total renewable water resources,2008,1.675065663,E
189,Agricultural water withdrawal as % of total renewable water resources,2018,0.7229433128,E
190,Agricultural water withdrawal,1992,1.9112666667,I
191,Agricultural water withdrawal,1997,1.5819333333,I
192,Agricultural water withdrawal,2002,1.2526,I
193,Agricultural water withdrawal,2007,1.0588793896,I
194,Agricultural water withdrawal,2008,1.0608190844,I
195,Irrigation water requirement,2007,0.248,E
196,Irrigation water requirement,2012,0.248,I
197,Irrigation water requirement,2017,0.248,I
198,Irrigation water requirement,2018,0.248,I
199,Irrigation water withdrawal,2007,0.8013461538,I
200,Irrigation water withdrawal,2012,0.6372115385,I
201,Irrigation water withdrawal,2017,0.4730769231,I
202,Municipal water withdrawal,1992,0.6496,I
203,Municipal water withdrawal,1997,0.4536,I
204,Municipal water withdrawal,2002,0.3448,I
205,Municipal water withdrawal,2007,0.3593164185,I
206,Municipal water withdrawal,2008,0.3599746277,I
207,Industrial water withdrawal,1992,0.59664,I
208,Industrial water withdrawal,1997,0.34574,I
209,Industrial water withdrawal,2002,0.27712,I
210,Industrial water withdrawal,2007,0.4014708586,I
211,Industrial water withdrawal,2008,0.4022062879,I
212,Total water withdrawal,1992,3.1575066667,E
213,Total water withdrawal,1997,2.3812733333,E
214,Total water withdrawal,2002,1.87452,E
215,Total water withdrawal,2007,1.8196666667,I
216,Total water withdrawal,2008,1.823,OF
217,Fresh surface water withdrawal,2007,1.2014015444,I
218,Fresh surface water withdrawal,2008,1.2036023166,I
219,Fresh groundwater withdrawal,2007,0.6182651223,I
220,Fresh groundwater withdrawal,2008,0.6193976834,I
221,Total freshwater withdrawal,1992,3.1575066667,E
222,Total freshwater withdrawal,1997,2.3812733333,E
223,Total freshwater withdrawal,2002,1.87452,E
224,Total freshwater withdrawal,2007,1.8196666667,I
225,Total freshwater withdrawal,2008,1.823,E
227,Treated municipal wastewater,2005,0.009,OF
234,SDG 6.4.2. Water Stress,1992,10.2850380022,E
235,SDG 6.4.2. Water Stress,1997,7.7565906623,E
236,SDG 6.4.2. Water Stress,2002,6.1059283388,E
237,SDG 6.4.2. Water Stress,2007,5.9272529859,E
238,SDG 6.4.2. Water Stress,2008,5.9381107492,E
239,SDG 6.4.2. Water Stress,2018,4.2056026059,E
240,SDG 6.4.1. Water Use Efficiency,2007,4.8582568019,I
241,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.3749382272,E
242,SDG 6.4.1. Industrial Water Use Efficiency,1992,2.4581847633,E
243,SDG 6.4.1. Industrial Water Use Efficiency,1997,2.7268596329,E
244,SDG 6.4.1. Industrial Water Use Efficiency,2002,3.8657335591,E
245,SDG 6.4.1. Industrial Water Use Efficiency,2007,4.1371531817,E
246,SDG 6.4.1. Services Water Use Efficiency,1992,2.812836054,E
247,SDG 6.4.1. Services Water Use Efficiency,1997,7.098043417,E
248,SDG 6.4.1. Services Water Use Efficiency,2002,12.4499480217,E
249,SDG 6.4.1. Services Water Use Efficiency,2007,18.8759734065,E
250,Area salinized by irrigation,2002,113.6,OF
251,Area salinized by irrigation,2007,113.6,I
252,Area salinized by irrigation,2012,113.6,I
253,Area salinized by irrigation,2017,113.6,I
254,Area salinized by irrigation,2018,113.6,I
255,Harvested irrigated temporary crop area: Wheat,2012,15.98,I
256,Harvested irrigated temporary crop area: Wheat,2017,15.98,I
257,Harvested irrigated temporary crop area: Wheat,2018,15.98,I
258,Harvested irrigated temporary crop area: Barley,2012,5.15,I
259,Harvested irrigated temporary crop area: Barley,2017,5.15,I
260,Harvested irrigated temporary crop area: Barley,2018,5.15,I
261,Harvested irrigated temporary crop area: Maize,2012,6.17,I
262,Harvested irrigated temporary crop area: Maize,2017,6.17,I
263,Harvested irrigated temporary crop area: Maize,2018,6.17,I
264,Harvested irrigated temporary crop area: Potatoes,2012,9.25,I
265,Harvested irrigated temporary crop area: Potatoes,2017,9.25,I
266,Harvested irrigated temporary crop area: Potatoes,2018,9.25,I
267,Harvested irrigated temporary crop area: Leguminous crops,2012,2.57,I
268,Harvested irrigated temporary crop area: Leguminous crops,2017,2.57,I
269,Harvested irrigated temporary crop area: Leguminous crops,2018,2.57,I
270,Harvested irrigated temporary crop area: Vegetables,2012,10.29,I
271,Harvested irrigated temporary crop area: Vegetables,2017,10.29,I
272,Harvested irrigated temporary crop area: Vegetables,2018,10.29,I
273,Harvested irrigated permanent crop area: Citrus,2012,3.6,I
274,Harvested irrigated permanent crop area: Citrus,2017,3.6,I
275,Harvested irrigated permanent crop area: Citrus,2018,3.6,I
276,Harvested irrigated permanent crop area: Tea,2012,3.1,I
277,Harvested irrigated permanent crop area: Tea,2017,3.1,I
278,Harvested irrigated permanent crop area: Tea,2018,3.1,I
279,Harvested irrigated temporary crop area: Fodder,2012,33.94,I
280,Harvested irrigated temporary crop area: Fodder,2017,33.94,I
281,Harvested irrigated temporary crop area: Fodder,2018,33.94,I
282,Harvested irrigated temporary crop area: Sunflower,2012,5.15,I
283,Harvested irrigated temporary crop area: Sunflower,2017,5.15,I
284,Harvested irrigated temporary crop area: Sunflower,2018,5.15,I
285,Harvested irrigated permanent crop area: Other crops,2012,30.86,I
286,Harvested irrigated permanent crop area: Other crops,2017,30.86,I
287,Harvested irrigated permanent crop area: Other crops,2018,30.86,I
