Cuba,Variable Name,Year,Value,Symbol
133,Long-term average annual precipitation in volume,1982,146.70315,E
134,Long-term average annual precipitation in volume,1987,146.70315,E
135,Long-term average annual precipitation in volume,1992,146.70315,E
136,Long-term average annual precipitation in volume,1997,146.70315,E
137,Long-term average annual precipitation in volume,2002,146.70315,E
138,Long-term average annual precipitation in volume,2007,146.70315,E
139,Long-term average annual precipitation in volume,2012,146.6898,E
140,Long-term average annual precipitation in volume,2017,146.6898,E
141,Long-term average annual precipitation in volume,2018,146.6898,E
142,Interannual variability (WRI),2017,2.3,I
143,Interannual variability (WRI),2018,2.3,I
144,Seasonal variability (WRI),2017,2.3,I
145,Seasonal variability (WRI),2018,2.3,I
146,Flood occurrence (WRI),2017,3.0,I
147,Flood occurrence (WRI),2018,3.0,I
148,Surface water: entering the country (total),1962,0.0,OF
149,Surface water: entering the country (total),1967,0.0,OF
150,Surface water: entering the country (total),1972,0.0,OF
151,Surface water: entering the country (total),1977,0.0,OF
152,Surface water: entering the country (total),1982,0.0,OF
153,Surface water: entering the country (total),1987,0.0,OF
154,Surface water: entering the country (total),1992,0.0,OF
155,Surface water: entering the country (total),1997,0.0,OF
156,Surface water: entering the country (total),2002,0.0,OF
157,Surface water: entering the country (total),2007,0.0,OF
158,Surface water: entering the country (total),2012,0.0,OF
159,Surface water: entering the country (total),2017,0.0,OF
160,Surface water: leaving the country to other countries (total),1962,0.0,OF
161,Surface water: leaving the country to other countries (total),1967,0.0,OF
162,Surface water: leaving the country to other countries (total),1972,0.0,OF
163,Surface water: leaving the country to other countries (total),1977,0.0,OF
164,Surface water: leaving the country to other countries (total),1982,0.0,OF
165,Surface water: leaving the country to other countries (total),1987,0.0,OF
166,Surface water: leaving the country to other countries (total),1992,0.0,OF
167,Surface water: leaving the country to other countries (total),1997,0.0,OF
168,Surface water: leaving the country to other countries (total),2002,0.0,OF
169,Surface water: leaving the country to other countries (total),2007,0.0,OF
170,Surface water: leaving the country to other countries (total),2012,0.0,OF
171,Surface water: leaving the country to other countries (total),2017,0.0,OF
172,Groundwater: entering the country (total),1962,0.0,OF
173,Groundwater: entering the country (total),1967,0.0,OF
174,Groundwater: entering the country (total),1972,0.0,OF
175,Groundwater: entering the country (total),1977,0.0,OF
176,Groundwater: entering the country (total),1982,0.0,OF
177,Groundwater: entering the country (total),1987,0.0,OF
178,Groundwater: entering the country (total),1992,0.0,OF
179,Groundwater: entering the country (total),1997,0.0,OF
180,Groundwater: entering the country (total),2002,0.0,OF
181,Groundwater: entering the country (total),2007,0.0,OF
182,Groundwater: entering the country (total),2012,0.0,OF
183,Groundwater: entering the country (total),2017,0.0,OF
184,Groundwater: leaving the country to other countries (total),1962,0.0,OF
185,Groundwater: leaving the country to other countries (total),1967,0.0,OF
186,Groundwater: leaving the country to other countries (total),1972,0.0,OF
187,Groundwater: leaving the country to other countries (total),1977,0.0,OF
188,Groundwater: leaving the country to other countries (total),1982,0.0,OF
189,Groundwater: leaving the country to other countries (total),1987,0.0,OF
190,Groundwater: leaving the country to other countries (total),1992,0.0,OF
191,Groundwater: leaving the country to other countries (total),1997,0.0,OF
192,Groundwater: leaving the country to other countries (total),2002,0.0,OF
193,Groundwater: leaving the country to other countries (total),2007,0.0,OF
194,Groundwater: leaving the country to other countries (total),2012,0.0,OF
195,Groundwater: leaving the country to other countries (total),2017,0.0,OF
196,Dependency ratio,1962,0.0,E
197,Dependency ratio,1967,0.0,E
198,Dependency ratio,1972,0.0,E
199,Dependency ratio,1977,0.0,E
200,Dependency ratio,1982,0.0,E
201,Dependency ratio,1987,0.0,E
202,Dependency ratio,1992,0.0,E
203,Dependency ratio,1997,0.0,E
204,Dependency ratio,2002,0.0,E
205,Dependency ratio,2007,0.0,E
206,Dependency ratio,2012,0.0,E
207,Dependency ratio,2017,0.0,E
208,Dependency ratio,2018,0.0,E
209,Total internal renewable water resources (IRWR),1962,38.12,E
210,Total internal renewable water resources (IRWR),1967,38.12,E
211,Total internal renewable water resources (IRWR),1972,38.12,E
212,Total internal renewable water resources (IRWR),1977,38.12,E
213,Total internal renewable water resources (IRWR),1982,38.12,E
214,Total internal renewable water resources (IRWR),1987,38.12,E
215,Total internal renewable water resources (IRWR),1992,38.12,E
216,Total internal renewable water resources (IRWR),1997,38.12,E
217,Total internal renewable water resources (IRWR),2002,38.12,E
218,Total internal renewable water resources (IRWR),2007,38.12,E
219,Total internal renewable water resources (IRWR),2012,38.12,E
220,Total internal renewable water resources (IRWR),2017,38.12,E
221,Total internal renewable water resources (IRWR),2018,38.12,E
222,Total internal renewable water resources per capita,1962,5114.3483499116,E
223,Total internal renewable water resources per capita,1967,4611.4502357743,E
224,Total internal renewable water resources per capita,1972,4223.6612561625,E
225,Total internal renewable water resources per capita,1977,3951.8389839171,E
226,Total internal renewable water resources per capita,1982,3834.8877606217,E
227,Total internal renewable water resources per capita,1987,3705.7765103737,E
228,Total internal renewable water resources per capita,1992,3550.5426546193,E
229,Total internal renewable water resources per capita,1997,3468.6924121534,E
230,Total internal renewable water resources per capita,2002,3403.6774895932,E
231,Total internal renewable water resources per capita,2007,3388.1065372858,E
232,Total internal renewable water resources per capita,2012,3386.306105016,E
233,Total internal renewable water resources per capita,2017,3361.7731819042,E
234,Total internal renewable water resources per capita,2018,3362.1052635292,E
235,Total renewable surface water,1962,31.64,E
236,Total renewable surface water,1967,31.64,E
237,Total renewable surface water,1972,31.64,E
238,Total renewable surface water,1977,31.64,E
239,Total renewable surface water,1982,31.64,E
240,Total renewable surface water,1987,31.64,E
241,Total renewable surface water,1992,31.64,E
242,Total renewable surface water,1997,31.64,E
243,Total renewable surface water,2002,31.64,E
244,Total renewable surface water,2007,31.64,E
245,Total renewable surface water,2012,31.64,E
246,Total renewable surface water,2017,31.64,E
247,Total renewable surface water,2018,31.64,E
248,Total renewable groundwater,1962,6.48,E
249,Total renewable groundwater,1967,6.48,E
250,Total renewable groundwater,1972,6.48,E
251,Total renewable groundwater,1977,6.48,E
252,Total renewable groundwater,1982,6.48,E
253,Total renewable groundwater,1987,6.48,E
254,Total renewable groundwater,1992,6.48,E
255,Total renewable groundwater,1997,6.48,E
256,Total renewable groundwater,2002,6.48,E
257,Total renewable groundwater,2007,6.48,E
258,Total renewable groundwater,2012,6.48,E
259,Total renewable groundwater,2017,6.48,E
260,Total renewable groundwater,2018,6.48,E
261,Total exploitable water resources,1962,24.0,E
262,Total exploitable water resources,1967,24.0,E
263,Total exploitable water resources,1972,24.0,E
264,Total exploitable water resources,1977,24.0,E
265,Total exploitable water resources,1982,24.0,E
266,Total exploitable water resources,1987,24.0,E
267,Total exploitable water resources,1992,24.0,E
268,Total exploitable water resources,1997,24.0,E
269,Total exploitable water resources,2002,24.0,E
270,Total exploitable water resources,2007,24.0,E
271,Total exploitable water resources,2012,24.0,E
272,Total exploitable water resources,2017,24.0,E
273,Total exploitable water resources,2018,24.0,E
274,Water resources: total external renewable,1962,0.0,E
275,Water resources: total external renewable,1967,0.0,E
276,Water resources: total external renewable,1972,0.0,E
277,Water resources: total external renewable,1977,0.0,E
278,Water resources: total external renewable,1982,0.0,E
279,Water resources: total external renewable,1987,0.0,E
280,Water resources: total external renewable,1992,0.0,E
281,Water resources: total external renewable,1997,0.0,E
282,Water resources: total external renewable,2002,0.0,E
283,Water resources: total external renewable,2007,0.0,E
284,Water resources: total external renewable,2012,0.0,E
285,Water resources: total external renewable,2017,0.0,E
286,Water resources: total external renewable,2018,0.0,E
287,Total renewable water resources,1962,38.12,E
288,Total renewable water resources,1967,38.12,E
289,Total renewable water resources,1972,38.12,E
290,Total renewable water resources,1977,38.12,E
291,Total renewable water resources,1982,38.12,E
292,Total renewable water resources,1987,38.12,E
293,Total renewable water resources,1992,38.12,E
294,Total renewable water resources,1997,38.12,E
295,Total renewable water resources,2002,38.12,E
296,Total renewable water resources,2007,38.12,E
297,Total renewable water resources,2012,38.12,E
298,Total renewable water resources,2017,38.12,E
299,Total renewable water resources,2018,38.12,E
300,Total renewable water resources per capita,1962,5114.3483499116,E
301,Total renewable water resources per capita,1967,4611.4502357743,E
302,Total renewable water resources per capita,1972,4223.6612561625,E
303,Total renewable water resources per capita,1977,3951.8389839171,E
304,Total renewable water resources per capita,1982,3834.8877606217,E
305,Total renewable water resources per capita,1987,3705.7765103737,E
306,Total renewable water resources per capita,1992,3550.5426546193,E
307,Total renewable water resources per capita,1997,3468.6924121534,E
308,Total renewable water resources per capita,2002,3403.6774895932,E
309,Total renewable water resources per capita,2007,3388.1065372858,E
310,Total renewable water resources per capita,2012,3386.306105016,E
311,Total renewable water resources per capita,2017,3361.7731819042,E
312,Total renewable water resources per capita,2018,3362.1052635292,E
313,Total agricultural water managed area,1967,386.6882352941,I
314,Total agricultural water managed area,1972,530.6294117647,I
315,Total agricultural water managed area,1977,674.5705882353,I
316,Total agricultural water managed area,1982,818.5117647059,I
317,Total agricultural water managed area,1987,830.5828571429,E
318,Total agricultural water managed area,1992,809.6864285714,E
319,Total agricultural water managed area,1997,870.31,E
320,Total agricultural water managed area,2002,764.8907692308,E
321,Total agricultural water managed area,2007,659.4715384615,E
322,Total agricultural water managed area,2012,639.09,E
323,Total agricultural water managed area,2017,639.09,E
324,Total agricultural water managed area,2018,639.09,E
325,Area equipped for irrigation: total,1967,386.6882352941,I
326,Area equipped for irrigation: total,1972,530.6294117647,I
327,Area equipped for irrigation: total,1977,674.5705882353,I
328,Area equipped for irrigation: total,1982,818.5117647059,I
329,Area equipped for irrigation: total,1987,830.5828571429,E
330,Area equipped for irrigation: total,1992,809.6864285714,E
331,Area equipped for irrigation: total,1997,870.31,E
332,Area equipped for irrigation: total,2002,764.8907692308,E
333,Area equipped for irrigation: total,2007,659.4715384615,E
334,Area equipped for irrigation: total,2012,639.09,E
335,Area equipped for irrigation: total,2017,639.09,E
336,Area equipped for irrigation: total,2018,639.09,E
337,% of agricultural GVA produced by irrigated agriculture,2002,16.202407878,E
338,% of agricultural GVA produced by irrigated agriculture,2007,9.5896650743,E
339,% of agricultural GVA produced by irrigated agriculture,2012,26.3993022987,E
340,% of agricultural GVA produced by irrigated agriculture,2017,26.3568706991,E
341,% of agricultural GVA produced by irrigated agriculture,2018,26.3568706991,E
342,Ratio between rainfed and irrigated yields,1962,2.234,E
343,Ratio between rainfed and irrigated yields,1967,2.234,E
344,Ratio between rainfed and irrigated yields,1972,2.234,E
345,Ratio between rainfed and irrigated yields,1977,2.234,E
346,Ratio between rainfed and irrigated yields,1982,2.234,E
347,Ratio between rainfed and irrigated yields,1987,2.234,E
348,Ratio between rainfed and irrigated yields,1992,2.234,E
349,Ratio between rainfed and irrigated yields,1997,2.234,E
350,Ratio between rainfed and irrigated yields,2002,2.234,E
351,Ratio between rainfed and irrigated yields,2007,2.234,I
352,Ratio between rainfed and irrigated yields,2012,2.234,E
353,Ratio between rainfed and irrigated yields,2017,2.234,I
354,Ratio between rainfed and irrigated yields,2018,2.234,I
355,Agricultural water withdrawal as % of total renewable water resources,1997,7.0571401316,I
356,Agricultural water withdrawal as % of total renewable water resources,2002,7.2157302299,I
357,Agricultural water withdrawal as % of total renewable water resources,2007,6.4952780693,E
358,Agricultural water withdrawal as % of total renewable water resources,2012,11.0239594264,I
359,Agricultural water withdrawal as % of total renewable water resources,2017,11.8546694648,I
360,Agricultural water withdrawal as % of total renewable water resources,2018,11.8546694648,I
361,Agricultural water withdrawal,1997,2.6901818182,I
362,Agricultural water withdrawal,2002,2.7506363636,I
363,Agricultural water withdrawal,2007,2.476,OF
364,Agricultural water withdrawal,2012,4.2023333333,I
365,Agricultural water withdrawal,2017,4.519,I
366,Agricultural water withdrawal,2018,4.519,I
367,Irrigation water requirement,2007,0.6854,E
368,Irrigation water requirement,2012,0.6854,I
369,Irrigation water requirement,2017,0.6854,I
370,Irrigation water requirement,2018,0.6854,I
371,Municipal water withdrawal,1977,0.8341,I
372,Municipal water withdrawal,1982,1.09685,I
373,Municipal water withdrawal,1987,1.3596,I
374,Municipal water withdrawal,1992,1.62235,I
375,Municipal water withdrawal,1997,1.7666666667,I
376,Municipal water withdrawal,2002,1.7333333333,I
377,Municipal water withdrawal,2006,1.7066666667,I
378,Municipal water withdrawal,2012,1.7,I
379,Municipal water withdrawal,2017,1.7,I
380,Municipal water withdrawal,2018,1.7,I
381,Industrial water withdrawal,1977,0.2223,I
382,Industrial water withdrawal,1982,0.37305,I
383,Industrial water withdrawal,1987,0.5238,I
384,Industrial water withdrawal,1992,0.67455,I
385,Industrial water withdrawal,1997,0.7642833333,I
386,Industrial water withdrawal,2002,0.7624916667,I
387,Industrial water withdrawal,2006,0.7610583333,I
388,Industrial water withdrawal,2012,0.74345,I
389,Industrial water withdrawal,2017,0.74,I
390,Industrial water withdrawal,2018,0.74,I
391,Total water withdrawal,1997,5.2211318182,E
392,Total water withdrawal,2002,5.2464613636,E
393,Total water withdrawal,2007,4.9367,E
394,Total water withdrawal,2012,6.6457833333,E
395,Total water withdrawal,2017,6.959,I
396,Total water withdrawal,2018,6.959,I
397,Fresh surface water withdrawal,2017,4.314,I
398,Fresh surface water withdrawal,2018,4.314,I
399,Fresh groundwater withdrawal,2017,2.644,I
400,Fresh groundwater withdrawal,2018,2.644,I
401,Total freshwater withdrawal,1997,5.2211318182,E
402,Total freshwater withdrawal,2002,5.2460613636,E
403,Total freshwater withdrawal,2007,4.9363,E
404,Total freshwater withdrawal,2012,6.6453833333,E
405,Total freshwater withdrawal,2017,6.958,I
406,Total freshwater withdrawal,2018,6.958,I
407,Desalinated water produced,2002,0.0004,I
408,Desalinated water produced,2007,0.0004,I
409,Desalinated water produced,2012,0.0004,I
410,Desalinated water produced,2017,0.0004,I
411,Desalinated water produced,2018,0.0004,I
412,Produced municipal wastewater,1997,0.5651875,I
413,Produced municipal wastewater,2002,0.6705,I
414,Produced municipal wastewater,2007,0.7758125,I
415,Produced municipal wastewater,2012,0.839,I
416,Produced municipal wastewater,2017,0.839,I
417,Produced municipal wastewater,2018,0.839,I
418,Collected municipal wastewater,2007,0.622,OF
419,Collected municipal wastewater,2012,0.725,OF
420,Collected municipal wastewater,2017,0.725,I
421,Collected municipal wastewater,2018,0.725,I
422,Not treated municipal wastewater,1997,0.393,I
423,Not treated municipal wastewater,2002,0.393,I
424,Not treated municipal wastewater,2007,0.393,I
425,Not treated municipal wastewater,2012,0.393,I
426,Not treated municipal wastewater,2017,0.393,I
427,Not treated municipal wastewater,2018,0.393,I
428,Treated municipal wastewater,1997,0.1373846154,I
429,Treated municipal wastewater,2002,0.1846923077,I
430,Treated municipal wastewater,2007,0.232,OF
431,Treated municipal wastewater,2012,0.223,I
432,Treated municipal wastewater,2017,0.223,I
433,Treated municipal wastewater,2018,0.223,I
446,SDG 6.4.2. Water Stress,1997,17.9636394914,E
447,SDG 6.4.2. Water Stress,2002,18.0494111943,E
448,SDG 6.4.2. Water Stress,2007,16.9836573198,E
449,SDG 6.4.2. Water Stress,2012,22.8638683411,E
450,SDG 6.4.2. Water Stress,2017,23.9394460692,E
451,SDG 6.4.2. Water Stress,2018,23.9394460692,E
452,SDG 6.4.1. Water Use Efficiency,2002,8.5794877553,I
453,SDG 6.4.1. Water Use Efficiency,2007,13.5607428633,I
454,SDG 6.4.1. Water Use Efficiency,2012,11.6224755621,I
455,SDG 6.4.1. Water Use Efficiency,2015,12.0468702492,I
456,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.1675859599,E
457,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.1062828396,E
458,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2012,0.1945187655,E
459,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.1971787559,E
460,SDG 6.4.1. Industrial Water Use Efficiency,1977,31.984562704,E
461,SDG 6.4.1. Industrial Water Use Efficiency,1982,25.372208357,E
462,SDG 6.4.1. Industrial Water Use Efficiency,1987,19.3950909746,E
463,SDG 6.4.1. Industrial Water Use Efficiency,1992,12.9340745173,E
464,SDG 6.4.1. Industrial Water Use Efficiency,1997,13.6999021373,E
465,SDG 6.4.1. Industrial Water Use Efficiency,2002,13.8149487442,E
466,SDG 6.4.1. Industrial Water Use Efficiency,2007,19.0024802059,E
467,SDG 6.4.1. Industrial Water Use Efficiency,2012,23.588949217,E
468,SDG 6.4.1. Industrial Water Use Efficiency,2015,24.5461307851,E
469,SDG 6.4.1. Services Water Use Efficiency,1977,32.2084300488,E
470,SDG 6.4.1. Services Water Use Efficiency,1982,32.7702054422,E
471,SDG 6.4.1. Services Water Use Efficiency,1987,30.3242653915,E
472,SDG 6.4.1. Services Water Use Efficiency,1992,19.5077948453,E
473,SDG 6.4.1. Services Water Use Efficiency,1997,15.0918350589,E
474,SDG 6.4.1. Services Water Use Efficiency,2002,19.6253075191,E
475,SDG 6.4.1. Services Water Use Efficiency,2007,30.7217507585,E
476,SDG 6.4.1. Services Water Use Efficiency,2012,34.6387161147,E
477,SDG 6.4.1. Services Water Use Efficiency,2015,38.1052838147,E
478,Area salinized by irrigation,2002,400.0,I
479,Area salinized by irrigation,2007,400.0,I
480,Area salinized by irrigation,2012,400.0,I
481,Area salinized by irrigation,2017,400.0,I
482,Area salinized by irrigation,2018,400.0,I
483,Harvested irrigated temporary crop area: Rice,2011,168.8,I
484,Harvested irrigated temporary crop area: Rice,2017,202.7,I
485,Harvested irrigated temporary crop area: Rice,2018,202.7,I
486,Harvested irrigated temporary crop area: Maize,2011,16.58,I
487,Harvested irrigated temporary crop area: Maize,2017,18.2,I
488,Harvested irrigated temporary crop area: Maize,2018,18.2,I
489,Harvested irrigated temporary crop area: Potatoes,2017,5.6,I
490,Harvested irrigated temporary crop area: Potatoes,2018,5.6,I
491,Harvested irrigated temporary crop area: Other roots and tubers,2017,34.9,I
492,Harvested irrigated temporary crop area: Other roots and tubers,2018,34.9,I
493,Harvested irrigated permanent crop area: Plantains,2017,6.6,I
494,Harvested irrigated permanent crop area: Plantains,2018,6.6,I
495,Harvested irrigated temporary crop area: Sugarcane,2011,70.48,I
496,Harvested irrigated temporary crop area: Sugarcane,2017,62.6,I
497,Harvested irrigated temporary crop area: Sugarcane,2018,62.6,I
498,Harvested irrigated temporary crop area: Leguminous crops,2017,66.5,I
499,Harvested irrigated temporary crop area: Leguminous crops,2018,66.5,I
500,Harvested irrigated temporary crop area: Vegetables,2011,11.28,I
501,Harvested irrigated temporary crop area: Vegetables,2017,13.6,I
502,Harvested irrigated temporary crop area: Vegetables,2018,13.6,I
503,Harvested irrigated permanent crop area: Bananas,2017,18.5,I
504,Harvested irrigated permanent crop area: Bananas,2018,18.5,I
505,Harvested irrigated permanent crop area: Citrus,2011,17.6,I
506,Harvested irrigated permanent crop area: Citrus,2017,18.8,I
507,Harvested irrigated permanent crop area: Citrus,2018,18.8,I
508,Harvested irrigated temporary crop area: Tobacco,2011,14.04,I
509,Harvested irrigated temporary crop area: Tobacco,2017,16.1,I
510,Harvested irrigated temporary crop area: Tobacco,2018,16.1,I
511,Harvested irrigated temporary crop area: Soybeans,2017,3.5,I
512,Harvested irrigated temporary crop area: Soybeans,2018,3.5,I
513,Harvested irrigated permanent crop area: Other crops,2011,4.04,I
514,Harvested irrigated permanent crop area: Other crops,2017,1.3,I
515,Harvested irrigated permanent crop area: Other crops,2018,1.3,I
