Israel,Variable Name,Year,Value,Symbol
235,Total exploitable water resources,1982,1.636,E
236,Total exploitable water resources,1987,1.636,E
237,Total exploitable water resources,1992,1.636,E
238,Total exploitable water resources,1997,1.636,E
239,Total exploitable water resources,2002,1.636,E
240,Total exploitable water resources,2007,1.636,E
241,Total exploitable water resources,2012,1.636,E
242,Total exploitable water resources,2017,1.636,E
243,Total exploitable water resources,2018,1.636,E
244,Water resources: total external renewable,1962,1.03,E
245,Water resources: total external renewable,1967,1.03,E
246,Water resources: total external renewable,1972,1.03,E
247,Water resources: total external renewable,1977,1.03,E
248,Water resources: total external renewable,1982,1.03,E
249,Water resources: total external renewable,1987,1.03,E
250,Water resources: total external renewable,1992,1.03,E
251,Water resources: total external renewable,1997,1.03,E
252,Water resources: total external renewable,2002,1.03,E
253,Water resources: total external renewable,2007,1.03,E
254,Water resources: total external renewable,2012,1.03,E
255,Water resources: total external renewable,2017,1.03,E
256,Water resources: total external renewable,2018,1.03,E
257,Total renewable water resources,1962,1.78,E
258,Total renewable water resources,1967,1.78,E
259,Total renewable water resources,1972,1.78,E
260,Total renewable water resources,1977,1.78,E
261,Total renewable water resources,1982,1.78,E
262,Total renewable water resources,1987,1.78,E
263,Total renewable water resources,1992,1.78,E
264,Total renewable water resources,1997,1.78,E
265,Total renewable water resources,2002,1.78,E
266,Total renewable water resources,2007,1.78,E
267,Total renewable water resources,2012,1.78,E
268,Total renewable water resources,2017,1.78,E
269,Total renewable water resources,2018,1.78,E
270,Total renewable water resources per capita,1962,796.706112571,E
271,Total renewable water resources per capita,1967,679.6214737477,E
272,Total renewable water resources per capita,1972,594.0299324341,E
273,Total renewable water resources per capita,1977,512.6553878641,E
274,Total renewable water resources per capita,1982,463.7695659299,E
275,Total renewable water resources per capita,1987,427.1528081578,E
276,Total renewable water resources per capita,1992,374.5141835675,E
277,Total renewable water resources per capita,1997,319.7670084162,E
278,Total renewable water resources per capita,2002,288.5248325057,E
279,Total renewable water resources per capita,2007,259.962515742,E
280,Total renewable water resources per capita,2012,233.7506526633,E
281,Total renewable water resources per capita,2017,215.9185855926,E
282,Total renewable water resources per capita,2018,212.3720816139,E
283,Total agricultural water managed area,1997,194.0,E
284,Total agricultural water managed area,2002,216.1428571429,I
285,Total agricultural water managed area,2007,225.0,I
286,Total agricultural water managed area,2012,225.0,I
287,Total agricultural water managed area,2017,225.0,I
288,Total agricultural water managed area,2018,225.0,I
289,Area equipped for irrigation: total,1997,194.0,E
290,Area equipped for irrigation: total,2002,216.1428571429,I
291,Area equipped for irrigation: total,2007,225.0,I
292,Area equipped for irrigation: total,2012,225.0,I
293,Area equipped for irrigation: total,2017,225.0,I
294,Area equipped for irrigation: total,2018,225.0,I
295,% of agricultural GVA produced by irrigated agriculture,1987,64.2600007252,E
296,% of agricultural GVA produced by irrigated agriculture,1992,59.4122213464,E
297,% of agricultural GVA produced by irrigated agriculture,1997,62.3604724322,E
298,% of agricultural GVA produced by irrigated agriculture,2002,58.0542511699,E
299,% of agricultural GVA produced by irrigated agriculture,2007,63.5190297429,E
300,% of agricultural GVA produced by irrigated agriculture,2012,60.2658948218,E
301,% of agricultural GVA produced by irrigated agriculture,2017,49.1599513456,E
302,% of agricultural GVA produced by irrigated agriculture,2018,49.1366045478,E
303,Ratio between rainfed and irrigated yields,1962,1.916,E
304,Ratio between rainfed and irrigated yields,1967,1.916,E
305,Ratio between rainfed and irrigated yields,1972,1.916,E
306,Ratio between rainfed and irrigated yields,1977,1.916,E
307,Ratio between rainfed and irrigated yields,1982,1.916,E
308,Ratio between rainfed and irrigated yields,1987,1.916,E
309,Ratio between rainfed and irrigated yields,1992,1.916,E
310,Ratio between rainfed and irrigated yields,1997,1.916,E
311,Ratio between rainfed and irrigated yields,2002,1.916,E
312,Ratio between rainfed and irrigated yields,2007,1.916,I
313,Ratio between rainfed and irrigated yields,2012,1.916,E
314,Ratio between rainfed and irrigated yields,2017,1.916,I
315,Ratio between rainfed and irrigated yields,2018,1.916,I
316,Agricultural water withdrawal as % of total renewable water resources,1972,70.0112359551,I
317,Agricultural water withdrawal as % of total renewable water resources,1977,69.6179775281,I
318,Agricultural water withdrawal as % of total renewable water resources,1982,72.1083278255,E
319,Agricultural water withdrawal as % of total renewable water resources,1987,75.2371116986,E
320,Agricultural water withdrawal as % of total renewable water resources,1992,68.4357856449,E
321,Agricultural water withdrawal as % of total renewable water resources,1997,66.7435661078,E
322,Agricultural water withdrawal as % of total renewable water resources,2002,57.3595505618,E
323,Agricultural water withdrawal as % of total renewable water resources,2007,59.6179775281,I
324,Agricultural water withdrawal as % of total renewable water resources,2012,62.202247191,I
325,Agricultural water withdrawal as % of total renewable water resources,2017,70.1685393258,E
326,Agricultural water withdrawal as % of total renewable water resources,2018,65.8988764045,E
327,Agricultural water withdrawal,1972,1.2462,I
328,Agricultural water withdrawal,1977,1.2392,I
329,Agricultural water withdrawal,1982,1.2835282353,I
330,Agricultural water withdrawal,1987,1.3392205882,I
331,Agricultural water withdrawal,1992,1.2181569845,I
332,Agricultural water withdrawal,1997,1.1880354767,I
333,Agricultural water withdrawal,2002,1.021,OF
334,Agricultural water withdrawal,2007,1.0612,I
335,Agricultural water withdrawal,2012,1.1072,I
336,Agricultural water withdrawal,2016,1.253,OF
337,Irrigation water requirement,2007,0.5562,I
338,Irrigation water requirement,2012,0.5562,I
339,Irrigation water requirement,2017,0.5562,I
340,Irrigation water requirement,2018,0.5562,I
341,Municipal water withdrawal,1972,0.267,I
342,Municipal water withdrawal,1977,0.3345,I
343,Municipal water withdrawal,1982,0.3897352941,I
344,Municipal water withdrawal,1987,0.4348382353,I
345,Municipal water withdrawal,1992,0.4828549889,I
346,Municipal water withdrawal,1997,0.5552824834,I
347,Municipal water withdrawal,2002,0.688,OF
348,Municipal water withdrawal,2007,0.7005,I
349,Municipal water withdrawal,2012,0.7706,I
350,Municipal water withdrawal,2016,0.933,OF
351,Industrial water withdrawal,1972,0.078,I
352,Industrial water withdrawal,1977,0.0855,I
353,Industrial water withdrawal,1982,0.0935364706,I
354,Industrial water withdrawal,1987,0.1019411765,I
355,Industrial water withdrawal,1992,0.1061880266,I
356,Industrial water withdrawal,1997,0.1134820399,I
357,Industrial water withdrawal,2002,0.122,OF
358,Industrial water withdrawal,2007,0.1215,I
359,Industrial water withdrawal,2012,0.1232,I
360,Industrial water withdrawal,2016,0.054,OF
361,Total water withdrawal,1972,1.5912,I
362,Total water withdrawal,1977,1.6592,I
363,Total water withdrawal,1982,1.7668,I
364,Total water withdrawal,1987,1.876,I
365,Total water withdrawal,1992,1.8072,I
366,Total water withdrawal,1997,1.8568,I
367,Total water withdrawal,2002,1.831,E
368,Total water withdrawal,2007,1.8832,E
369,Total water withdrawal,2012,2.001,I
370,Total water withdrawal,2014,2.083,I
371,Fresh surface water withdrawal,1997,0.5620372749,I
372,Fresh surface water withdrawal,2002,0.5543868442,I
373,Fresh surface water withdrawal,2007,0.506834769,I
374,Fresh surface water withdrawal,2012,0.4548,I
375,Fresh surface water withdrawal,2015,0.381,OF
376,Fresh groundwater withdrawal,1997,1.0027627251,I
377,Fresh groundwater withdrawal,2002,0.9891131558,I
378,Fresh groundwater withdrawal,2007,0.872665231,I
379,Fresh groundwater withdrawal,2012,0.8072,I
380,Fresh groundwater withdrawal,2015,0.764,OF
381,Total freshwater withdrawal,1972,1.5662,E
382,Total freshwater withdrawal,1977,1.6192,E
383,Total freshwater withdrawal,1982,1.7098,E
384,Total freshwater withdrawal,1987,1.696,E
385,Total freshwater withdrawal,1992,1.5516,E
386,Total freshwater withdrawal,1997,1.5648,I
387,Total freshwater withdrawal,2002,1.5435,E
388,Total freshwater withdrawal,2007,1.3795,E
389,Total freshwater withdrawal,2012,1.2624,I
390,Total freshwater withdrawal,2015,1.146,OF
391,Desalinated water produced,1992,0.0256,I
392,Desalinated water produced,1997,0.0256,I
393,Desalinated water produced,2002,0.0256,E
394,Desalinated water produced,2007,0.14,OF
395,Desalinated water produced,2012,0.3596,I
396,Desalinated water produced,2016,0.543,OF
397,Direct use of treated municipal wastewater,1967,0.0163,OF
398,Direct use of treated municipal wastewater,1972,0.025,I
399,Direct use of treated municipal wastewater,1977,0.04,I
400,Direct use of treated municipal wastewater,1982,0.057,OF
401,Direct use of treated municipal wastewater,1987,0.18,OF
402,Direct use of treated municipal wastewater,1992,0.23,I
403,Direct use of treated municipal wastewater,1997,0.2522,I
404,Direct use of treated municipal wastewater,2002,0.2619,OF
405,Direct use of treated municipal wastewater,2007,0.37625,I
406,Direct use of treated municipal wastewater,2012,0.44,I
407,Direct use of treated municipal wastewater,2015,0.476,OF
408,Produced municipal wastewater,1966,0.1385,I
409,Produced municipal wastewater,1972,0.1895,I
410,Produced municipal wastewater,1977,0.2116666667,I
411,Produced municipal wastewater,1981,0.238,I
412,Produced municipal wastewater,1986,0.265,I
413,Produced municipal wastewater,1992,0.3506,I
414,Produced municipal wastewater,1997,0.38,I
415,Produced municipal wastewater,2002,0.4455,I
416,Produced municipal wastewater,2006,0.475,I
417,Produced municipal wastewater,2012,0.5,I
418,Produced municipal wastewater,2017,0.5,I
419,Produced municipal wastewater,2018,0.5,I
421,Not treated municipal wastewater,1966,0.088125,I
422,Not treated municipal wastewater,1972,0.1115,I
423,Not treated municipal wastewater,1977,0.095,I
424,Not treated municipal wastewater,1981,0.103,I
425,Not treated municipal wastewater,1986,0.0835,I
426,Not treated municipal wastewater,1992,0.0716,I
427,Not treated municipal wastewater,1997,0.0791,I
428,Not treated municipal wastewater,2002,0.052,I
429,Not treated municipal wastewater,2006,0.0473333333,I
430,Not treated municipal wastewater,2012,0.05,I
431,Not treated municipal wastewater,2017,0.05,I
432,Not treated municipal wastewater,2018,0.05,I
433,Treated municipal wastewater,1967,0.0535,OF
434,Treated municipal wastewater,1972,0.078,I
435,Treated municipal wastewater,1977,0.1166666667,I
436,Treated municipal wastewater,1982,0.137,OF
437,Treated municipal wastewater,1987,0.212,OF
438,Treated municipal wastewater,1992,0.279,I
439,Treated municipal wastewater,1997,0.3009,I
440,Treated municipal wastewater,2002,0.3935,I
441,Treated municipal wastewater,2007,0.45,OF
442,Treated municipal wastewater,2012,0.45,I
443,Treated municipal wastewater,2017,0.45,I
444,Treated municipal wastewater,2018,0.45,I
445,Treated municipal wastewater discharged (secondary water),1966,0.03565,I
446,Treated municipal wastewater discharged (secondary water),1972,0.053,I
447,Treated municipal wastewater discharged (secondary water),1977,0.0766666667,I
448,Treated municipal wastewater discharged (secondary water),1981,0.0805,I
449,Treated municipal wastewater discharged (secondary water),1986,0.046,I
450,Treated municipal wastewater discharged (secondary water),1992,0.049,I
451,Treated municipal wastewater discharged (secondary water),1997,0.0487,I
452,Treated municipal wastewater discharged (secondary water),2002,0.0535,I
453,Treated municipal wastewater discharged (secondary water),2007,0.032,I
454,Treated municipal wastewater discharged (secondary water),2012,0.032,I
455,Treated municipal wastewater discharged (secondary water),2017,0.032,I
456,Treated municipal wastewater discharged (secondary water),2018,0.032,I
469,SDG 6.4.2. Water Stress,1972,135.1220774739,E
470,SDG 6.4.2. Water Stress,1977,139.6945906307,E
471,SDG 6.4.2. Water Stress,1982,147.5109999137,E
472,SDG 6.4.2. Water Stress,1987,146.3204210163,E
473,SDG 6.4.2. Water Stress,1992,133.86247951,E
474,SDG 6.4.2. Water Stress,1997,135.0012941075,E
475,SDG 6.4.2. Water Stress,2002,133.1636614615,E
476,SDG 6.4.2. Water Stress,2007,119.0147528255,E
477,SDG 6.4.2. Water Stress,2012,108.912086964,E
478,SDG 6.4.2. Water Stress,2017,103.6148736088,E
479,SDG 6.4.2. Water Stress,2018,95.9365024588,E
480,SDG 6.4.1. Water Use Efficiency,1996,71.9473086442,I
481,SDG 6.4.1. Water Use Efficiency,2001,87.7953897427,I
482,SDG 6.4.1. Water Use Efficiency,2003,88.9089552387,E
483,SDG 6.4.1. Water Use Efficiency,2012,120.6612872197,E
484,SDG 6.4.1. Water Use Efficiency,2015,125.7191203268,E
485,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1996,1.2546646367,E
486,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2001,1.5215365278,E
487,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2003,1.5255712463,E
488,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2012,1.8762270821,E
489,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,1.8525038364,E
490,SDG 6.4.1. Industrial Water Use Efficiency,1996,313.5268132554,E
491,SDG 6.4.1. Industrial Water Use Efficiency,2001,300.3250191867,E
492,SDG 6.4.1. Industrial Water Use Efficiency,2003,314.3830127718,E
493,SDG 6.4.1. Industrial Water Use Efficiency,2012,430.5228992143,E
494,SDG 6.4.1. Industrial Water Use Efficiency,2015,487.2063034071,E
495,SDG 6.4.1. Services Water Use Efficiency,1996,184.6956832829,E
496,SDG 6.4.1. Services Water Use Efficiency,2001,187.0420269631,E
497,SDG 6.4.1. Services Water Use Efficiency,2003,181.9392869588,E
498,SDG 6.4.1. Services Water Use Efficiency,2012,241.7927016846,E
499,SDG 6.4.1. Services Water Use Efficiency,2015,235.0526315789,E
500,Area salinized by irrigation,1997,27.82,I
501,Area salinized by irrigation,2002,27.82,I
502,Area salinized by irrigation,2007,27.82,I
503,Area salinized by irrigation,2012,27.82,I
504,Area salinized by irrigation,2017,27.82,I
505,Area salinized by irrigation,2018,27.82,I
506,Harvested irrigated temporary crop area: Potatoes,2007,18.01,I
507,Harvested irrigated temporary crop area: Potatoes,2012,18.01,I
508,Harvested irrigated temporary crop area: Potatoes,2017,18.01,I
509,Harvested irrigated temporary crop area: Potatoes,2018,18.01,I
510,Harvested irrigated temporary crop area: Vegetables,2002,43.0933333333,I
511,Harvested irrigated temporary crop area: Vegetables,2007,53.94,I
512,Harvested irrigated temporary crop area: Vegetables,2012,53.94,I
513,Harvested irrigated temporary crop area: Vegetables,2017,53.94,I
514,Harvested irrigated temporary crop area: Vegetables,2018,53.94,I
515,Harvested irrigated permanent crop area: Citrus,2007,16.31,I
516,Harvested irrigated permanent crop area: Citrus,2012,16.31,I
517,Harvested irrigated permanent crop area: Citrus,2017,16.31,I
518,Harvested irrigated permanent crop area: Citrus,2018,16.31,I
519,Harvested irrigated temporary crop area: Flowers,2002,5.43,I
520,Harvested irrigated temporary crop area: Flowers,2007,5.43,I
521,Harvested irrigated temporary crop area: Flowers,2012,5.43,I
522,Harvested irrigated temporary crop area: Flowers,2017,5.43,I
523,Harvested irrigated temporary crop area: Flowers,2018,5.43,I
524,Harvested irrigated temporary crop area: Other crops,2002,63.3366666667,I
525,Harvested irrigated temporary crop area: Other crops,2007,41.83,I
526,Harvested irrigated temporary crop area: Other crops,2012,41.83,I
527,Harvested irrigated temporary crop area: Other crops,2017,41.83,I
528,Harvested irrigated temporary crop area: Other crops,2018,41.83,I
529,Harvested irrigated permanent crop area: Other crops,2002,73.06,I
530,Harvested irrigated permanent crop area: Other crops,2007,73.06,I
531,Harvested irrigated permanent crop area: Other crops,2012,73.06,I
532,Harvested irrigated permanent crop area: Other crops,2017,73.06,I
533,Harvested irrigated permanent crop area: Other crops,2018,73.06,I
