Papua New Guinea,Variable Name,Year,Value,Symbol
101,Long-term average annual precipitation in volume,1982,1454.24328,E
102,Long-term average annual precipitation in volume,1987,1454.24328,E
103,Long-term average annual precipitation in volume,1992,1454.24328,E
104,Long-term average annual precipitation in volume,1997,1454.24328,E
105,Long-term average annual precipitation in volume,2002,1454.24328,E
106,Long-term average annual precipitation in volume,2007,1454.24328,E
107,Long-term average annual precipitation in volume,2012,1454.24328,E
108,Long-term average annual precipitation in volume,2017,1454.24328,E
109,Long-term average annual precipitation in volume,2018,1454.24328,E
110,Interannual variability (WRI),2017,0.9,I
111,Interannual variability (WRI),2018,0.9,I
112,Seasonal variability (WRI),2017,1.0,I
113,Seasonal variability (WRI),2018,1.0,I
114,Flood occurrence (WRI),2017,1.6,I
115,Flood occurrence (WRI),2018,1.6,I
116,Surface water: entering the country (total),1962,0.0,OF
117,Surface water: entering the country (total),1967,0.0,OF
118,Surface water: entering the country (total),1972,0.0,OF
119,Surface water: entering the country (total),1977,0.0,OF
120,Surface water: entering the country (total),1982,0.0,OF
121,Surface water: entering the country (total),1987,0.0,OF
122,Surface water: entering the country (total),1992,0.0,OF
123,Surface water: entering the country (total),1997,0.0,OF
124,Surface water: entering the country (total),2002,0.0,OF
125,Surface water: entering the country (total),2007,0.0,OF
126,Surface water: entering the country (total),2012,0.0,OF
127,Surface water: entering the country (total),2017,0.0,OF
128,Surface water: leaving the country to other countries (total),1962,0.0,OF
129,Surface water: leaving the country to other countries (total),1967,0.0,OF
130,Surface water: leaving the country to other countries (total),1972,0.0,OF
131,Surface water: leaving the country to other countries (total),1977,0.0,OF
132,Surface water: leaving the country to other countries (total),1982,0.0,OF
133,Surface water: leaving the country to other countries (total),1987,0.0,OF
134,Surface water: leaving the country to other countries (total),1992,0.0,OF
135,Surface water: leaving the country to other countries (total),1997,0.0,OF
136,Surface water: leaving the country to other countries (total),2002,0.0,OF
137,Surface water: leaving the country to other countries (total),2007,0.0,OF
138,Surface water: leaving the country to other countries (total),2012,0.0,OF
139,Surface water: leaving the country to other countries (total),2017,0.0,OF
140,Groundwater: entering the country (total),1962,0.0,OF
141,Groundwater: entering the country (total),1967,0.0,OF
142,Groundwater: entering the country (total),1972,0.0,OF
143,Groundwater: entering the country (total),1977,0.0,OF
144,Groundwater: entering the country (total),1982,0.0,OF
145,Groundwater: entering the country (total),1987,0.0,OF
146,Groundwater: entering the country (total),1992,0.0,OF
147,Groundwater: entering the country (total),1997,0.0,OF
148,Groundwater: entering the country (total),2002,0.0,OF
149,Groundwater: entering the country (total),2007,0.0,OF
150,Groundwater: entering the country (total),2012,0.0,OF
151,Groundwater: entering the country (total),2017,0.0,OF
152,Dependency ratio,1962,0.0,E
153,Dependency ratio,1967,0.0,E
154,Dependency ratio,1972,0.0,E
155,Dependency ratio,1977,0.0,E
156,Dependency ratio,1982,0.0,E
157,Dependency ratio,1987,0.0,E
158,Dependency ratio,1992,0.0,E
159,Dependency ratio,1997,0.0,E
160,Dependency ratio,2002,0.0,E
161,Dependency ratio,2007,0.0,E
162,Dependency ratio,2012,0.0,E
163,Dependency ratio,2017,0.0,E
164,Dependency ratio,2018,0.0,E
165,Total internal renewable water resources (IRWR),1962,801.0,E
166,Total internal renewable water resources (IRWR),1967,801.0,E
167,Total internal renewable water resources (IRWR),1972,801.0,E
168,Total internal renewable water resources (IRWR),1977,801.0,E
169,Total internal renewable water resources (IRWR),1982,801.0,E
170,Total internal renewable water resources (IRWR),1987,801.0,E
171,Total internal renewable water resources (IRWR),1992,801.0,E
172,Total internal renewable water resources (IRWR),1997,801.0,E
173,Total internal renewable water resources (IRWR),2002,801.0,E
174,Total internal renewable water resources (IRWR),2007,801.0,E
175,Total internal renewable water resources (IRWR),2012,801.0,E
176,Total internal renewable water resources (IRWR),2017,801.0,E
177,Total internal renewable water resources (IRWR),2018,801.0,E
178,Total internal renewable water resources per capita,1962,342256.207613214,E
179,Total internal renewable water resources per capita,1967,308454.186273981,E
180,Total internal renewable water resources per capita,1972,274490.008872093,E
181,Total internal renewable water resources per capita,1977,242533.760184677,E
182,Total internal renewable water resources per capita,1982,212552.371869529,E
183,Total internal renewable water resources per capita,1987,186601.804096993,E
184,Total internal renewable water resources per capita,1992,165625.322436938,E
185,Total internal renewable water resources per capita,1997,147063.116515298,E
186,Total internal renewable water resources per capita,2002,131341.167126142,E
187,Total internal renewable water resources per capita,2007,117646.816911884,E
188,Total internal renewable water resources per capita,2012,104966.569916581,E
189,Total internal renewable water resources per capita,2017,94927.3029885153,E
190,Total internal renewable water resources per capita,2018,93071.105976385,E
191,Total renewable surface water,1962,801.0,E
192,Total renewable surface water,1967,801.0,E
193,Total renewable surface water,1972,801.0,E
194,Total renewable surface water,1977,801.0,E
195,Total renewable surface water,1982,801.0,E
196,Total renewable surface water,1987,801.0,E
197,Total renewable surface water,1992,801.0,E
198,Total renewable surface water,1997,801.0,E
199,Total renewable surface water,2002,801.0,E
200,Total renewable surface water,2007,801.0,E
201,Total renewable surface water,2012,801.0,E
202,Total renewable surface water,2017,801.0,E
203,Total renewable surface water,2018,801.0,E
204,Total renewable groundwater,1962,211.6,E
205,Total renewable groundwater,1967,211.6,E
206,Total renewable groundwater,1972,211.6,E
207,Total renewable groundwater,1977,211.6,E
208,Total renewable groundwater,1982,211.6,E
209,Total renewable groundwater,1987,211.6,E
210,Total renewable groundwater,1992,211.6,E
211,Total renewable groundwater,1997,211.6,E
212,Total renewable groundwater,2002,211.6,E
213,Total renewable groundwater,2007,211.6,E
214,Total renewable groundwater,2012,211.6,E
215,Total renewable groundwater,2017,211.6,E
216,Total renewable groundwater,2018,211.6,E
217,Water resources: total external renewable,1962,0.0,E
218,Water resources: total external renewable,1967,0.0,E
219,Water resources: total external renewable,1972,0.0,E
220,Water resources: total external renewable,1977,0.0,E
221,Water resources: total external renewable,1982,0.0,E
222,Water resources: total external renewable,1987,0.0,E
223,Water resources: total external renewable,1992,0.0,E
224,Water resources: total external renewable,1997,0.0,E
225,Water resources: total external renewable,2002,0.0,E
226,Water resources: total external renewable,2007,0.0,E
227,Water resources: total external renewable,2012,0.0,E
228,Water resources: total external renewable,2017,0.0,E
229,Water resources: total external renewable,2018,0.0,E
230,Total renewable water resources,1962,801.0,E
231,Total renewable water resources,1967,801.0,E
232,Total renewable water resources,1972,801.0,E
233,Total renewable water resources,1977,801.0,E
234,Total renewable water resources,1982,801.0,E
235,Total renewable water resources,1987,801.0,E
236,Total renewable water resources,1992,801.0,E
237,Total renewable water resources,1997,801.0,E
238,Total renewable water resources,2002,801.0,E
239,Total renewable water resources,2007,801.0,E
240,Total renewable water resources,2012,801.0,E
241,Total renewable water resources,2017,801.0,E
242,Total renewable water resources,2018,801.0,E
243,Total renewable water resources per capita,1962,342256.207613214,E
244,Total renewable water resources per capita,1967,308454.186273981,E
245,Total renewable water resources per capita,1972,274490.008872093,E
246,Total renewable water resources per capita,1977,242533.760184677,E
247,Total renewable water resources per capita,1982,212552.371869529,E
248,Total renewable water resources per capita,1987,186601.804096993,E
249,Total renewable water resources per capita,1992,165625.322436938,E
250,Total renewable water resources per capita,1997,147063.116515298,E
251,Total renewable water resources per capita,2002,131341.167126142,E
252,Total renewable water resources per capita,2007,117646.816911884,E
253,Total renewable water resources per capita,2012,104966.569916581,E
254,Total renewable water resources per capita,2017,94927.3029885153,E
255,Total renewable water resources per capita,2018,93071.105976385,E
256,Total agricultural water managed area,1997,0.0,E
257,Total agricultural water managed area,2002,0.0,I
258,Total agricultural water managed area,2007,0.0,I
259,Total agricultural water managed area,2012,0.0,I
260,Total agricultural water managed area,2017,0.0,I
261,Total agricultural water managed area,2018,0.0,I
262,Area equipped for irrigation: total,1997,0.0,E
263,Area equipped for irrigation: total,2002,0.0,I
264,Area equipped for irrigation: total,2007,0.0,I
265,Area equipped for irrigation: total,2012,0.0,I
266,Area equipped for irrigation: total,2017,0.0,I
267,Area equipped for irrigation: total,2018,0.0,I
268,Agricultural water withdrawal as % of total renewable water resources,2002,0.000151736,I
269,Agricultural water withdrawal as % of total renewable water resources,2007,0.0001248439,I
270,Agricultural water withdrawal as % of total renewable water resources,2012,0.0001248439,I
271,Agricultural water withdrawal as % of total renewable water resources,2017,0.0001248439,I
272,Agricultural water withdrawal as % of total renewable water resources,2018,0.0001248439,I
273,Agricultural water withdrawal,2002,0.001,I
274,Agricultural water withdrawal,2007,0.001,I
275,Agricultural water withdrawal,2012,0.001,I
276,Agricultural water withdrawal,2017,0.001,I
277,Agricultural water withdrawal,2018,0.001,I
278,Municipal water withdrawal,1987,0.029,OF
279,Municipal water withdrawal,1992,0.0772692308,I
280,Municipal water withdrawal,1997,0.1255384615,I
281,Municipal water withdrawal,2002,0.1821,I
282,Municipal water withdrawal,2007,0.2235,I
283,Municipal water withdrawal,2012,0.2235,I
284,Municipal water withdrawal,2017,0.2235,I
285,Municipal water withdrawal,2018,0.2235,I
286,Industrial water withdrawal,1987,0.022,OF
287,Industrial water withdrawal,1992,0.0581153846,I
288,Industrial water withdrawal,1997,0.0942307692,I
289,Industrial water withdrawal,2002,0.13658,I
290,Industrial water withdrawal,2007,0.1676,I
291,Industrial water withdrawal,2012,0.1676,I
292,Industrial water withdrawal,2017,0.1676,I
293,Industrial water withdrawal,2018,0.1676,I
294,Total water withdrawal,2002,0.31968,I
295,Total water withdrawal,2007,0.3921,I
296,Total water withdrawal,2012,0.3921,I
297,Total water withdrawal,2017,0.3921,I
298,Total water withdrawal,2018,0.3921,I
299,Total freshwater withdrawal,2002,0.31968,I
300,Total freshwater withdrawal,2007,0.3921,I
301,Total freshwater withdrawal,2012,0.3921,I
302,Total freshwater withdrawal,2017,0.3921,I
303,Total freshwater withdrawal,2018,0.3921,I
316,SDG 6.4.2. Water Stress,2002,0.1078178752,E
317,SDG 6.4.2. Water Stress,2007,0.1322428331,E
318,SDG 6.4.2. Water Stress,2012,0.1322428331,E
319,SDG 6.4.2. Water Stress,2017,0.1322428331,E
320,SDG 6.4.2. Water Stress,2018,0.1322428331,E
321,SDG 6.4.1. Industrial Water Use Efficiency,2015,37.8129561933,E
322,SDG 6.4.1. Services Water Use Efficiency,2015,50.8453899329,E
