Samoa,Variable Name,Year,Value,Symbol
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.4571,I
67,Gross Domestic Product (GDP),1972,57191669.0,X
68,Gross Domestic Product (GDP),1977,89858607.0,X
69,Gross Domestic Product (GDP),1982,111104000.0,X
70,Gross Domestic Product (GDP),1987,102395074.0,X
71,Gross Domestic Product (GDP),1992,121248600.0,X
72,Gross Domestic Product (GDP),1997,246941804.0,X
73,Gross Domestic Product (GDP),2002,271644576.0,X
74,Gross Domestic Product (GDP),2007,662004889.0,X
75,Gross Domestic Product (GDP),2012,755410841.0,X
76,Gross Domestic Product (GDP),2016,821637502.0,X
77,GDP per capita,1972,388.211246,X
78,GDP per capita,1977,586.364542,X
79,GDP per capita,1982,705.856941,X
80,GDP per capita,1987,635.935001,X
81,GDP per capita,1992,732.310202,X
82,GDP per capita,1997,1434.057331,X
83,GDP per capita,2002,1538.348054,X
84,GDP per capita,2007,3631.682572,X
85,GDP per capita,2012,3992.784343,X
86,GDP per capita,2017,4197.37637,X
87,GDP per capita,2018,4215.911916,X
88,"Agriculture, value added (% GDP)",1972,24.735926,X
89,"Agriculture, value added (% GDP)",1977,24.736108,X
90,"Agriculture, value added (% GDP)",1982,24.737489,X
91,"Agriculture, value added (% GDP)",1987,24.690491,X
92,"Agriculture, value added (% GDP)",1992,24.448902,X
93,"Agriculture, value added (% GDP)",1997,25.077221,X
94,"Agriculture, value added (% GDP)",2002,15.933975,X
95,"Agriculture, value added (% GDP)",2007,10.891143,X
96,"Agriculture, value added (% GDP)",2012,9.163471,X
97,"Agriculture, value added (% GDP)",2016,10.052856,X
98,Prevalence of undernourishment (3-year average),1992,10.7,X
99,Prevalence of undernourishment (3-year average),1997,13.8,X
100,Prevalence of undernourishment (3-year average),2002,3.5,X
101,Total population with access to safe drinking-water (JMP),1992,89.8,X
102,Total population with access to safe drinking-water (JMP),1997,92.0,X
103,Total population with access to safe drinking-water (JMP),2002,94.2,X
104,Total population with access to safe drinking-water (JMP),2007,96.3,X
105,Total population with access to safe drinking-water (JMP),2012,98.5,X
106,Total population with access to safe drinking-water (JMP),2017,99.0,I
107,Total population with access to safe drinking-water (JMP),2018,99.0,I
108,Long-term average annual precipitation in volume,1962,8.1792,E
109,Long-term average annual precipitation in volume,1967,8.1792,E
110,Long-term average annual precipitation in volume,1972,8.1792,E
111,Long-term average annual precipitation in volume,1977,8.1792,E
112,Long-term average annual precipitation in volume,1982,8.1792,E
113,Long-term average annual precipitation in volume,1987,8.1792,E
114,Long-term average annual precipitation in volume,1992,8.1792,E
115,Long-term average annual precipitation in volume,1997,8.1792,E
116,Long-term average annual precipitation in volume,2002,8.1792,E
117,Long-term average annual precipitation in volume,2007,8.1792,E
118,Long-term average annual precipitation in volume,2012,8.1792,E
119,Long-term average annual precipitation in volume,2017,8.1792,E
120,Long-term average annual precipitation in volume,2018,8.1792,E
121,Surface water: entering the country (total),1962,0.0,OF
122,Surface water: entering the country (total),1967,0.0,OF
123,Surface water: entering the country (total),1972,0.0,OF
124,Surface water: entering the country (total),1977,0.0,OF
125,Surface water: entering the country (total),1982,0.0,OF
126,Surface water: entering the country (total),1987,0.0,OF
127,Surface water: entering the country (total),1992,0.0,OF
128,Surface water: entering the country (total),1997,0.0,OF
129,Surface water: entering the country (total),2002,0.0,OF
130,Surface water: entering the country (total),2007,0.0,OF
131,Surface water: entering the country (total),2012,0.0,OF
132,Surface water: entering the country (total),2017,0.0,OF
133,Surface water: leaving the country to other countries (total),1962,0.0,OF
134,Surface water: leaving the country to other countries (total),1967,0.0,OF
135,Surface water: leaving the country to other countries (total),1972,0.0,OF
136,Surface water: leaving the country to other countries (total),1977,0.0,OF
137,Surface water: leaving the country to other countries (total),1982,0.0,OF
138,Surface water: leaving the country to other countries (total),1987,0.0,OF
139,Surface water: leaving the country to other countries (total),1992,0.0,OF
140,Surface water: leaving the country to other countries (total),1997,0.0,OF
141,Surface water: leaving the country to other countries (total),2002,0.0,OF
142,Surface water: leaving the country to other countries (total),2007,0.0,OF
143,Surface water: leaving the country to other countries (total),2012,0.0,OF
144,Surface water: leaving the country to other countries (total),2017,0.0,OF
145,Groundwater: entering the country (total),1962,0.0,OF
146,Groundwater: entering the country (total),1967,0.0,OF
147,Groundwater: entering the country (total),1972,0.0,OF
148,Groundwater: entering the country (total),1977,0.0,OF
149,Groundwater: entering the country (total),1982,0.0,OF
150,Groundwater: entering the country (total),1987,0.0,OF
151,Groundwater: entering the country (total),1992,0.0,OF
152,Groundwater: entering the country (total),1997,0.0,OF
153,Groundwater: entering the country (total),2002,0.0,OF
154,Groundwater: entering the country (total),2007,0.0,OF
155,Groundwater: entering the country (total),2012,0.0,OF
156,Groundwater: entering the country (total),2017,0.0,OF
157,Groundwater: leaving the country to other countries (total),1962,0.0,OF
158,Groundwater: leaving the country to other countries (total),1967,0.0,OF
159,Groundwater: leaving the country to other countries (total),1972,0.0,OF
160,Groundwater: leaving the country to other countries (total),1977,0.0,OF
161,Groundwater: leaving the country to other countries (total),1982,0.0,OF
162,Groundwater: leaving the country to other countries (total),1987,0.0,OF
163,Groundwater: leaving the country to other countries (total),1992,0.0,OF
164,Groundwater: leaving the country to other countries (total),1997,0.0,OF
165,Groundwater: leaving the country to other countries (total),2002,0.0,OF
166,Groundwater: leaving the country to other countries (total),2007,0.0,OF
167,Groundwater: leaving the country to other countries (total),2012,0.0,OF
168,Groundwater: leaving the country to other countries (total),2017,0.0,OF
169,Dependency ratio,1962,0.0,OF
170,Dependency ratio,1967,0.0,OF
171,Dependency ratio,1972,0.0,OF
172,Dependency ratio,1977,0.0,OF
173,Dependency ratio,1982,0.0,OF
174,Dependency ratio,1987,0.0,OF
175,Dependency ratio,1992,0.0,OF
176,Dependency ratio,1997,0.0,OF
177,Dependency ratio,2002,0.0,OF
178,Dependency ratio,2007,0.0,OF
179,Dependency ratio,2012,0.0,OF
180,Dependency ratio,2017,0.0,OF
181,Total renewable surface water,1962,0.0,E
182,Total renewable surface water,1967,0.0,E
183,Total renewable surface water,1972,0.0,E
184,Total renewable surface water,1977,0.0,E
185,Total renewable surface water,1982,0.0,E
186,Total renewable surface water,1987,0.0,E
187,Total renewable surface water,1992,0.0,E
188,Total renewable surface water,1997,0.0,E
189,Total renewable surface water,2002,0.0,E
190,Total renewable surface water,2007,0.0,E
191,Total renewable surface water,2012,0.0,E
192,Total renewable surface water,2017,0.0,E
193,Total renewable surface water,2018,0.0,E
194,Total renewable groundwater,1962,0.0,E
195,Total renewable groundwater,1967,0.0,E
196,Total renewable groundwater,1972,0.0,E
197,Total renewable groundwater,1977,0.0,E
198,Total renewable groundwater,1982,0.0,E
199,Total renewable groundwater,1987,0.0,E
200,Total renewable groundwater,1992,0.0,E
201,Total renewable groundwater,1997,0.0,E
202,Total renewable groundwater,2002,0.0,E
203,Total renewable groundwater,2007,0.0,E
204,Total renewable groundwater,2012,0.0,E
205,Total renewable groundwater,2017,0.0,E
206,Total renewable groundwater,2018,0.0,E
207,Water resources: total external renewable,1962,0.0,E
208,Water resources: total external renewable,1967,0.0,E
209,Water resources: total external renewable,1972,0.0,E
210,Water resources: total external renewable,1977,0.0,E
211,Water resources: total external renewable,1982,0.0,E
212,Water resources: total external renewable,1987,0.0,E
213,Water resources: total external renewable,1992,0.0,E
214,Water resources: total external renewable,1997,0.0,E
215,Water resources: total external renewable,2002,0.0,E
216,Water resources: total external renewable,2007,0.0,E
217,Water resources: total external renewable,2012,0.0,E
218,Water resources: total external renewable,2017,0.0,E
219,Water resources: total external renewable,2018,0.0,E
220,Total renewable water resources,1962,0.0,E
221,Total renewable water resources,1967,0.0,E
222,Total renewable water resources,1972,0.0,E
223,Total renewable water resources,1977,0.0,E
224,Total renewable water resources,1982,0.0,E
225,Total renewable water resources,1987,0.0,E
226,Total renewable water resources,1992,0.0,E
227,Total renewable water resources,1997,0.0,E
228,Total renewable water resources,2002,0.0,E
229,Total renewable water resources,2007,0.0,E
230,Total renewable water resources,2012,0.0,E
231,Total renewable water resources,2017,0.0,E
232,Total renewable water resources,2018,0.0,E
233,Total renewable water resources per capita,1962,0.0,E
234,Total renewable water resources per capita,1967,0.0,E
235,Total renewable water resources per capita,1972,0.0,E
236,Total renewable water resources per capita,1977,0.0,E
237,Total renewable water resources per capita,1982,0.0,E
238,Total renewable water resources per capita,1987,0.0,E
239,Total renewable water resources per capita,1992,0.0,E
240,Total renewable water resources per capita,1997,0.0,E
241,Total renewable water resources per capita,2002,0.0,E
242,Total renewable water resources per capita,2007,0.0,E
243,Total renewable water resources per capita,2012,0.0,E
244,Total renewable water resources per capita,2017,0.0,E
245,Total renewable water resources per capita,2018,0.0,E
