Algeria,Variable Name,Year,Value,Symbol
197,Dependency ratio,1992,3.5998971458,E
198,Dependency ratio,1997,3.5998971458,E
199,Dependency ratio,2002,3.5998971458,E
200,Dependency ratio,2007,3.5998971458,E
201,Dependency ratio,2012,3.5998971458,E
202,Dependency ratio,2017,3.5998971458,E
203,Dependency ratio,2018,3.5998971458,E
204,Total internal renewable water resources (IRWR),1962,11.247,E
205,Total internal renewable water resources (IRWR),1967,11.247,E
206,Total internal renewable water resources (IRWR),1972,11.247,E
207,Total internal renewable water resources (IRWR),1977,11.247,E
208,Total internal renewable water resources (IRWR),1982,11.247,E
209,Total internal renewable water resources (IRWR),1987,11.247,E
210,Total internal renewable water resources (IRWR),1992,11.247,E
211,Total internal renewable water resources (IRWR),1997,11.247,E
212,Total internal renewable water resources (IRWR),2002,11.247,E
213,Total internal renewable water resources (IRWR),2007,11.247,E
214,Total internal renewable water resources (IRWR),2012,11.247,E
215,Total internal renewable water resources (IRWR),2017,11.247,E
216,Total internal renewable water resources (IRWR),2018,11.247,E
217,Total internal renewable water resources per capita,1962,967.9144992508,E
218,Total internal renewable water resources per capita,1967,847.2299790599,E
219,Total internal renewable water resources per capita,1972,735.7717753315,E
220,Total internal renewable water resources per capita,1977,639.6554289326,E
221,Total internal renewable water resources per capita,1982,549.8975157657,E
222,Total internal renewable water resources per capita,1987,473.0741838534,E
223,Total internal renewable water resources per capita,1992,416.1190004886,E
224,Total internal renewable water resources per capita,1997,378.1396611281,E
225,Total internal renewable water resources per capita,2002,353.0673839477,E
226,Total internal renewable water resources per capita,2007,329.1775460816,E
227,Total internal renewable water resources per capita,2012,300.8514762841,E
228,Total internal renewable water resources per capita,2017,271.7376269441,E
229,Total internal renewable water resources per capita,2018,266.3372959738,E
230,Total renewable surface water,1962,10.15,E
231,Total renewable surface water,1967,10.15,E
232,Total renewable surface water,1972,10.15,E
233,Total renewable surface water,1977,10.15,E
234,Total renewable surface water,1982,10.15,E
235,Total renewable surface water,1987,10.15,E
236,Total renewable surface water,1992,10.15,E
237,Total renewable surface water,1997,10.15,E
238,Total renewable surface water,2002,10.15,E
239,Total renewable surface water,2007,10.15,E
240,Total renewable surface water,2012,10.15,E
241,Total renewable surface water,2017,10.15,E
242,Total renewable surface water,2018,10.15,E
243,Total renewable groundwater,1962,1.517,E
244,Total renewable groundwater,1967,1.517,E
245,Total renewable groundwater,1972,1.517,E
246,Total renewable groundwater,1977,1.517,E
247,Total renewable groundwater,1982,1.517,E
248,Total renewable groundwater,1987,1.517,E
249,Total renewable groundwater,1992,1.517,E
250,Total renewable groundwater,1997,1.517,E
251,Total renewable groundwater,2002,1.517,E
252,Total renewable groundwater,2007,1.517,E
253,Total renewable groundwater,2012,1.517,E
254,Total renewable groundwater,2017,1.517,E
255,Total renewable groundwater,2018,1.517,E
256,Total exploitable water resources,1962,7.9,E
257,Total exploitable water resources,1967,7.9,E
258,Total exploitable water resources,1972,7.9,E
259,Total exploitable water resources,1977,7.9,E
260,Total exploitable water resources,1982,7.9,E
261,Total exploitable water resources,1987,7.9,E
262,Total exploitable water resources,1992,7.9,E
263,Total exploitable water resources,1997,7.9,E
264,Total exploitable water resources,2002,7.9,E
265,Total exploitable water resources,2007,7.9,E
266,Total exploitable water resources,2012,7.9,E
267,Total exploitable water resources,2017,7.9,E
268,Total exploitable water resources,2018,7.9,E
269,Water resources: total external renewable,1962,0.42,E
270,Water resources: total external renewable,1967,0.42,E
271,Water resources: total external renewable,1972,0.42,E
272,Water resources: total external renewable,1977,0.42,E
273,Water resources: total external renewable,1982,0.42,E
274,Water resources: total external renewable,1987,0.42,E
275,Water resources: total external renewable,1992,0.42,E
276,Water resources: total external renewable,1997,0.42,E
277,Water resources: total external renewable,2002,0.42,E
278,Water resources: total external renewable,2007,0.42,E
279,Water resources: total external renewable,2012,0.42,E
280,Water resources: total external renewable,2017,0.42,E
281,Water resources: total external renewable,2018,0.42,E
282,Total renewable water resources,1962,11.667,E
283,Total renewable water resources,1967,11.667,E
284,Total renewable water resources,1972,11.667,E
285,Total renewable water resources,1977,11.667,E
286,Total renewable water resources,1982,11.667,E
287,Total renewable water resources,1987,11.667,E
288,Total renewable water resources,1992,11.667,E
289,Total renewable water resources,1997,11.667,E
290,Total renewable water resources,2002,11.667,E
291,Total renewable water resources,2007,11.667,E
292,Total renewable water resources,2012,11.667,E
293,Total renewable water resources,2017,11.667,E
294,Total renewable water resources,2018,11.667,E
295,Total renewable water resources per capita,1962,1004.0596125864,E
296,Total renewable water resources per capita,1967,878.8683351731,E
297,Total renewable water resources per capita,1972,763.2479152479,E
298,Total renewable water resources per capita,1977,663.5422681032,E
299,Total renewable water resources per capita,1982,570.4324990165,E
300,Total renewable water resources per capita,1987,490.7403310232,E
301,Total renewable water resources per capita,1992,431.658253641,E
302,Total renewable water resources per capita,1997,392.2606407381,E
303,Total renewable water resources per capita,2002,366.2520822013,E
304,Total renewable water resources per capita,2007,341.4701191548,E
305,Total renewable water resources per capita,2012,312.0862606746,E
306,Total renewable water resources per capita,2017,281.8852043706,E
307,Total renewable water resources per capita,2018,276.2832072665,E
308,Total agricultural water managed area,1992,555.5,E
309,Total agricultural water managed area,1997,563.25,I
310,Total agricultural water managed area,2002,625.6142857143,I
311,Total agricultural water managed area,2007,906.4357142857,I
312,Total agricultural water managed area,2012,1229.9,E
313,Total agricultural water managed area,2017,1365.0,E
314,Total agricultural water managed area,2018,1365.0,E
315,Area equipped for irrigation: total,1992,555.5,E
316,Area equipped for irrigation: total,1997,563.25,I
317,Area equipped for irrigation: total,2002,625.6142857143,I
318,Area equipped for irrigation: total,2007,906.4357142857,I
319,Area equipped for irrigation: total,2012,1229.9,E
320,Area equipped for irrigation: total,2017,1365.0,E
321,Area equipped for irrigation: total,2018,1365.0,E
322,% of agricultural GVA produced by irrigated agriculture,2002,12.7877497353,E
323,% of agricultural GVA produced by irrigated agriculture,2007,18.8822337383,E
324,% of agricultural GVA produced by irrigated agriculture,2012,23.1431263766,E
325,% of agricultural GVA produced by irrigated agriculture,2017,19.8996375699,E
326,% of agricultural GVA produced by irrigated agriculture,2018,19.8296664533,E
327,Ratio between rainfed and irrigated yields,1966,2.207368807,I
328,Ratio between rainfed and irrigated yields,1971,2.207368807,I
329,Ratio between rainfed and irrigated yields,1976,2.207368807,I
330,Ratio between rainfed and irrigated yields,1981,2.207368807,I
331,Ratio between rainfed and irrigated yields,1986,2.207368807,I
332,Ratio between rainfed and irrigated yields,1991,2.207368807,I
333,Ratio between rainfed and irrigated yields,1996,2.207368807,I
334,Ratio between rainfed and irrigated yields,2001,2.207368807,I
335,Ratio between rainfed and irrigated yields,2006,2.124,E
336,Ratio between rainfed and irrigated yields,2011,2.207368807,I
337,Ratio between rainfed and irrigated yields,2016,2.2072458713,I
338,Ratio between rainfed and irrigated yields,2018,2.207368807,I
339,Agricultural water withdrawal as % of total renewable water resources,1982,20.2965629553,E
340,Agricultural water withdrawal as % of total renewable water resources,1987,22.5764978143,E
341,Agricultural water withdrawal as % of total renewable water resources,1992,24.3920303576,I
342,Agricultural water withdrawal as % of total renewable water resources,1997,27.5166164084,I
343,Agricultural water withdrawal as % of total renewable water resources,2002,31.1757326414,I
344,Agricultural water withdrawal as % of total renewable water resources,2007,36.9729696035,I
345,Agricultural water withdrawal as % of total renewable water resources,2012,42.7702065655,E
346,Agricultural water withdrawal as % of total renewable water resources,2017,57.1783663324,E
347,Agricultural water withdrawal as % of total renewable water resources,2018,57.1783663324,I
348,Agricultural water withdrawal,1982,2.368,I
349,Agricultural water withdrawal,1987,2.634,I
350,Agricultural water withdrawal,1992,2.8458181818,I
351,Agricultural water withdrawal,1997,3.2103636364,I
352,Agricultural water withdrawal,2002,3.6372727273,I
353,Agricultural water withdrawal,2007,4.3136363636,I
354,Agricultural water withdrawal,2012,4.99,E
355,Agricultural water withdrawal,2017,6.671,OF
356,Agricultural water withdrawal,2018,6.671,I
357,Irrigation water requirement,2002,2.511,I
358,Irrigation water requirement,2007,2.511,I
359,Irrigation water requirement,2012,2.511,I
360,Irrigation water requirement,2017,2.511,I
361,Irrigation water requirement,2018,2.511,I
362,Irrigation water withdrawal,2002,3.502,I
363,Irrigation water withdrawal,2007,3.502,I
364,Irrigation water withdrawal,2012,3.502,I
365,Irrigation water withdrawal,2017,3.502,I
366,Irrigation water withdrawal,2018,3.502,I
367,Municipal water withdrawal,1982,0.704,I
368,Municipal water withdrawal,1987,0.91,I
369,Municipal water withdrawal,1992,1.2402,I
370,Municipal water withdrawal,1997,1.5407,I
371,Municipal water withdrawal,2002,1.9375,I
372,Municipal water withdrawal,2007,2.47875,I
373,Municipal water withdrawal,2012,3.02,E
374,Municipal water withdrawal,2017,3.6,OF
375,Municipal water withdrawal,2018,3.6,I
376,Industrial water withdrawal,1982,0.128,I
377,Industrial water withdrawal,1987,0.356,I
378,Industrial water withdrawal,1992,0.644,I
379,Industrial water withdrawal,1997,0.554,I
380,Industrial water withdrawal,2002,0.4858333333,I
381,Industrial water withdrawal,2007,0.4504166667,I
382,Industrial water withdrawal,2012,0.415,E
383,Industrial water withdrawal,2017,0.191,OF
384,Industrial water withdrawal,2018,0.191,I
385,Total water withdrawal,1972,2.2,I
386,Total water withdrawal,1977,2.7,I
387,Total water withdrawal,1982,3.2,I
388,Total water withdrawal,1987,3.9,I
389,Total water withdrawal,1992,4.7300181818,E
390,Total water withdrawal,1997,5.3050636364,E
391,Total water withdrawal,2002,6.0606060606,E
392,Total water withdrawal,2007,7.2428030303,E
393,Total water withdrawal,2012,8.425,E
394,Total water withdrawal,2017,10.462,E
395,Total water withdrawal,2018,10.462,I
396,Fresh surface water withdrawal,2012,4.8,OF
397,Fresh surface water withdrawal,2017,1.699,OF
398,Fresh surface water withdrawal,2018,1.699,I
399,Fresh groundwater withdrawal,2012,3.0,OF
400,Fresh groundwater withdrawal,2017,8.103,OF
401,Fresh groundwater withdrawal,2018,8.103,I
402,Total freshwater withdrawal,1972,2.2,I
403,Total freshwater withdrawal,1977,2.7,I
404,Total freshwater withdrawal,1982,3.2,I
405,Total freshwater withdrawal,1987,3.9,E
406,Total freshwater withdrawal,1992,4.6754181818,E
407,Total freshwater withdrawal,1997,5.2739636364,E
408,Total freshwater withdrawal,2002,6.0436060606,E
409,Total freshwater withdrawal,2007,6.9268030303,E
410,Total freshwater withdrawal,2012,7.8,E
411,Total freshwater withdrawal,2017,9.802,OF
412,Total freshwater withdrawal,2018,9.802,I
413,Desalinated water produced,1992,0.0546,I
414,Desalinated water produced,1997,0.0311,I
415,Desalinated water produced,2002,0.017,OF
416,Desalinated water produced,2007,0.316,I
417,Desalinated water produced,2012,0.615,OF
418,Desalinated water produced,2017,0.631,OF
419,Desalinated water produced,2018,0.631,I
420,Direct use of treated municipal wastewater,2017,0.05,OF
421,Direct use of treated municipal wastewater,2018,0.05,I
422,Produced municipal wastewater,1987,0.6656,I
423,Produced municipal wastewater,1992,0.6796,I
424,Produced municipal wastewater,1997,0.6936,I
425,Produced municipal wastewater,2002,0.7076,I
426,Produced municipal wastewater,2007,0.7216,I
427,Produced municipal wastewater,2012,0.82,
428,Produced municipal wastewater,2017,1.5,OF
429,Produced municipal wastewater,2018,1.5,I
430,Collected municipal wastewater,2017,0.705,I
431,Collected municipal wastewater,2018,0.705,I
432,Not treated municipal wastewater,2011,0.42675,I
433,Not treated municipal wastewater,2017,0.496,I
434,Not treated municipal wastewater,2018,0.496,I
435,Treated municipal wastewater,2011,0.237,I
436,Treated municipal wastewater,2017,0.4,OF
437,Treated municipal wastewater,2018,0.4,I
438,Not treated municipal wastewater discharged (secondary water),2012,0.219,I
439,Not treated municipal wastewater discharged (secondary water),2017,0.219,I
440,Not treated municipal wastewater discharged (secondary water),2018,0.219,I
453,SDG 6.4.2. Water Stress,1972,30.9553960884,E
454,SDG 6.4.2. Water Stress,1977,37.9907133812,E
455,SDG 6.4.2. Water Stress,1982,45.026030674,E
456,SDG 6.4.2. Water Stress,1987,54.8754748839,E
457,SDG 6.4.2. Water Stress,1992,65.7861007713,E
458,SDG 6.4.2. Water Stress,1997,74.2080151451,E
459,SDG 6.4.2. Water Stress,2002,85.0373724582,E
460,SDG 6.4.2. Water Stress,2007,97.464514286,E
461,SDG 6.4.2. Water Stress,2012,109.7509497678,E
462,SDG 6.4.2. Water Stress,2017,137.9203602082,E
463,SDG 6.4.2. Water Stress,2018,137.9203602082,E
464,SDG 6.4.1. Water Use Efficiency,2002,15.0087600728,I
465,SDG 6.4.1. Water Use Efficiency,2006,16.4538050485,I
466,SDG 6.4.1. Water Use Efficiency,2012,16.0927893206,E
467,SDG 6.4.1. Water Use Efficiency,2016,15.0057790855,E
468,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.3438415573,E
469,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2006,0.3909260342,E
470,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2012,0.6101537764,E
471,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2016,0.9147546914,E
472,SDG 6.4.1. Industrial Water Use Efficiency,1982,268.429971105,E
473,SDG 6.4.1. Industrial Water Use Efficiency,1987,92.649367499,E
474,SDG 6.4.1. Industrial Water Use Efficiency,1992,56.514461767,E
475,SDG 6.4.1. Industrial Water Use Efficiency,1997,73.2527467036,E
476,SDG 6.4.1. Industrial Water Use Efficiency,2002,103.2871769197,E
477,SDG 6.4.1. Industrial Water Use Efficiency,2006,160.122994907,E
478,SDG 6.4.1. Industrial Water Use Efficiency,2012,170.2344498076,E
479,SDG 6.4.1. Industrial Water Use Efficiency,2016,306.8790041101,E
480,SDG 6.4.1. Services Water Use Efficiency,1982,39.0480679705,E
481,SDG 6.4.1. Services Water Use Efficiency,1987,37.9828069227,E
482,SDG 6.4.1. Services Water Use Efficiency,1992,26.2500182718,E
483,SDG 6.4.1. Services Water Use Efficiency,1997,21.5494713086,E
484,SDG 6.4.1. Services Water Use Efficiency,2002,20.403191374,E
485,SDG 6.4.1. Services Water Use Efficiency,2006,17.0392913208,E
486,SDG 6.4.1. Services Water Use Efficiency,2012,20.4933066262,E
487,SDG 6.4.1. Services Water Use Efficiency,2016,25.4218232797,E
488,Harvested irrigated temporary crop area: Wheat,2002,89.3,I
489,Harvested irrigated temporary crop area: Wheat,2007,89.3,I
490,Harvested irrigated temporary crop area: Wheat,2012,89.3,I
491,Harvested irrigated temporary crop area: Wheat,2017,89.3,I
492,Harvested irrigated temporary crop area: Wheat,2018,89.3,I
493,Harvested irrigated temporary crop area: Other cereals,1987,11.3881818182,I
494,Harvested irrigated temporary crop area: Other cereals,1992,28.3290909091,I
495,Harvested irrigated temporary crop area: Other cereals,1997,45.27,I
496,Harvested irrigated temporary crop area: Other cereals,2002,62.2109090909,I
497,Harvested irrigated temporary crop area: Other cereals,2007,79.1518181818,I
498,Harvested irrigated temporary crop area: Other cereals,2012,82.54,I
499,Harvested irrigated temporary crop area: Other cereals,2017,82.54,I
500,Harvested irrigated temporary crop area: Other cereals,2018,82.54,I
501,Harvested irrigated temporary crop area: Potatoes,2002,79.0,I
502,Harvested irrigated temporary crop area: Potatoes,2007,79.0,I
503,Harvested irrigated temporary crop area: Potatoes,2012,79.0,I
504,Harvested irrigated temporary crop area: Potatoes,2017,79.0,I
505,Harvested irrigated temporary crop area: Potatoes,2018,79.0,I
506,Harvested irrigated temporary crop area: Vegetables,1987,95.2666666667,I
507,Harvested irrigated temporary crop area: Vegetables,1992,96.6,I
508,Harvested irrigated temporary crop area: Vegetables,1997,97.9333333333,I
509,Harvested irrigated temporary crop area: Vegetables,2002,123.8857142857,I
510,Harvested irrigated temporary crop area: Vegetables,2007,248.3142857143,I
511,Harvested irrigated temporary crop area: Vegetables,2012,273.2,I
512,Harvested irrigated temporary crop area: Vegetables,2017,273.2,I
513,Harvested irrigated temporary crop area: Vegetables,2018,273.2,I
514,Harvested irrigated permanent crop area: Citrus,2002,45.4114285714,I
515,Harvested irrigated permanent crop area: Citrus,2007,42.4685714286,I
516,Harvested irrigated permanent crop area: Citrus,2012,41.88,I
517,Harvested irrigated permanent crop area: Citrus,2017,41.88,I
518,Harvested irrigated permanent crop area: Citrus,2018,41.88,I
519,Harvested irrigated temporary crop area: Tobacco,2002,5.0,I
520,Harvested irrigated temporary crop area: Tobacco,2007,5.0,I
521,Harvested irrigated temporary crop area: Tobacco,2012,5.0,I
522,Harvested irrigated temporary crop area: Tobacco,2017,5.0,I
523,Harvested irrigated temporary crop area: Tobacco,2018,5.0,I
524,Harvested irrigated permanent crop area: Oil palm,2012,140.2,I
525,Harvested irrigated permanent crop area: Oil palm,2017,140.2,I
526,Harvested irrigated permanent crop area: Oil palm,2018,140.2,I
527,Harvested irrigated temporary crop area: Other crops,2002,16.3942857143,I
528,Harvested irrigated temporary crop area: Other crops,2007,23.3657142857,I
529,Harvested irrigated temporary crop area: Other crops,2012,24.76,I
530,Harvested irrigated temporary crop area: Other crops,2017,24.76,I
531,Harvested irrigated temporary crop area: Other crops,2018,24.76,I
532,Harvested irrigated permanent crop area: Other crops,1987,145.0,I
533,Harvested irrigated permanent crop area: Other crops,1992,145.0,I
534,Harvested irrigated permanent crop area: Other crops,1997,145.0,I
535,Harvested irrigated permanent crop area: Other crops,2002,145.0,I
536,Harvested irrigated permanent crop area: Other crops,2007,145.0,I
537,Harvested irrigated permanent crop area: Other crops,2012,145.0,I
538,Harvested irrigated permanent crop area: Other crops,2017,145.0,I
539,Harvested irrigated permanent crop area: Other crops,2018,145.0,I
