Albania,Variable Name,Year,Value,Symbol
164,Groundwater: entering the country (total),1992,0.0,E
165,Groundwater: entering the country (total),1997,0.0,E
166,Groundwater: entering the country (total),2002,0.0,E
167,Groundwater: entering the country (total),2007,0.0,E
168,Groundwater: entering the country (total),2012,0.0,E
169,Groundwater: entering the country (total),2017,0.0,E
170,Groundwater: leaving the country to other countries (total),1962,0.0,OF
171,Groundwater: leaving the country to other countries (total),1967,0.0,OF
172,Groundwater: leaving the country to other countries (total),1972,0.0,OF
173,Groundwater: leaving the country to other countries (total),1977,0.0,OF
174,Groundwater: leaving the country to other countries (total),1982,0.0,OF
175,Groundwater: leaving the country to other countries (total),1987,0.0,OF
176,Groundwater: leaving the country to other countries (total),1992,0.0,OF
177,Groundwater: leaving the country to other countries (total),1997,0.0,OF
178,Groundwater: leaving the country to other countries (total),2002,0.0,OF
179,Groundwater: leaving the country to other countries (total),2007,0.0,OF
180,Groundwater: leaving the country to other countries (total),2012,0.0,OF
181,Groundwater: leaving the country to other countries (total),2017,0.0,OF
182,Dependency ratio,1962,10.9271523179,E
183,Dependency ratio,1967,10.9271523179,E
184,Dependency ratio,1972,10.9271523179,E
185,Dependency ratio,1977,10.9271523179,E
186,Dependency ratio,1982,10.9271523179,E
187,Dependency ratio,1987,10.9271523179,E
188,Dependency ratio,1992,10.9271523179,E
189,Dependency ratio,1997,10.9271523179,E
190,Dependency ratio,2002,10.9271523179,E
191,Dependency ratio,2007,10.9271523179,E
192,Dependency ratio,2012,10.9271523179,E
193,Dependency ratio,2017,10.9271523179,E
194,Dependency ratio,2018,10.9271523179,E
195,Total internal renewable water resources (IRWR),1962,26.9,E
196,Total internal renewable water resources (IRWR),1967,26.9,E
197,Total internal renewable water resources (IRWR),1972,26.9,E
198,Total internal renewable water resources (IRWR),1977,26.9,E
199,Total internal renewable water resources (IRWR),1982,26.9,E
200,Total internal renewable water resources (IRWR),1987,26.9,E
201,Total internal renewable water resources (IRWR),1992,26.9,E
202,Total internal renewable water resources (IRWR),1997,26.9,E
203,Total internal renewable water resources (IRWR),2002,26.9,E
204,Total internal renewable water resources (IRWR),2007,26.9,E
205,Total internal renewable water resources (IRWR),2012,26.9,E
206,Total internal renewable water resources (IRWR),2017,26.9,E
207,Total internal renewable water resources (IRWR),2018,26.9,E
208,Total internal renewable water resources per capita,1962,15480.3572106813,E
209,Total internal renewable water resources per capita,1967,13458.4788416703,E
210,Total internal renewable water resources per capita,1972,11934.0424550233,E
211,Total internal renewable water resources per capita,1977,10680.1763618714,E
212,Total internal renewable water resources per capita,1982,9640.6268199371,E
213,Total internal renewable water resources per capita,1987,8608.2919932644,E
214,Total internal renewable water resources per capita,1992,8287.4136676396,E
215,Total internal renewable water resources per capita,1997,8678.113603927,E
216,Total internal renewable water resources per capita,2002,8604.7315787571,E
217,Total internal renewable water resources per capita,2007,8866.1891009816,E
218,Total internal renewable water resources per capita,2012,9230.993076412,E
219,Total internal renewable water resources per capita,2017,9326.7766209262,E
220,Total internal renewable water resources per capita,2018,9331.3999875119,E
221,Total renewable surface water,1962,26.35,E
222,Total renewable surface water,1967,26.35,E
223,Total renewable surface water,1972,26.35,E
224,Total renewable surface water,1977,26.35,E
225,Total renewable surface water,1982,26.35,E
226,Total renewable surface water,1987,26.35,E
227,Total renewable surface water,1992,26.35,E
228,Total renewable surface water,1997,26.35,E
229,Total renewable surface water,2002,26.35,E
230,Total renewable surface water,2007,26.35,E
231,Total renewable surface water,2012,26.35,E
232,Total renewable surface water,2017,26.35,E
233,Total renewable surface water,2018,26.35,E
234,Total renewable groundwater,1962,6.2,E
235,Total renewable groundwater,1967,6.2,E
236,Total renewable groundwater,1972,6.2,E
237,Total renewable groundwater,1977,6.2,E
238,Total renewable groundwater,1982,6.2,E
239,Total renewable groundwater,1987,6.2,E
240,Total renewable groundwater,1992,6.2,E
241,Total renewable groundwater,1997,6.2,E
242,Total renewable groundwater,2002,6.2,E
243,Total renewable groundwater,2007,6.2,E
244,Total renewable groundwater,2012,6.2,E
245,Total renewable groundwater,2017,6.2,E
246,Total renewable groundwater,2018,6.2,E
247,Total exploitable water resources,1962,13.0,OF
248,Total exploitable water resources,1967,13.0,OF
249,Total exploitable water resources,1972,13.0,OF
250,Total exploitable water resources,1977,13.0,OF
251,Total exploitable water resources,1982,13.0,OF
252,Total exploitable water resources,1987,13.0,OF
253,Total exploitable water resources,1992,13.0,OF
254,Total exploitable water resources,1997,13.0,OF
255,Total exploitable water resources,2002,13.0,OF
256,Total exploitable water resources,2007,13.0,OF
257,Total exploitable water resources,2012,13.0,OF
258,Water resources: total external renewable,1962,3.3,E
259,Water resources: total external renewable,1967,3.3,E
260,Water resources: total external renewable,1972,3.3,E
261,Water resources: total external renewable,1977,3.3,E
262,Water resources: total external renewable,1982,3.3,E
263,Water resources: total external renewable,1987,3.3,E
264,Water resources: total external renewable,1992,3.3,E
265,Water resources: total external renewable,1997,3.3,E
266,Water resources: total external renewable,2002,3.3,E
267,Water resources: total external renewable,2007,3.3,E
268,Water resources: total external renewable,2012,3.3,E
269,Water resources: total external renewable,2017,3.3,E
270,Water resources: total external renewable,2018,3.3,E
271,Total renewable water resources,1962,30.2,E
272,Total renewable water resources,1967,30.2,E
273,Total renewable water resources,1972,30.2,E
274,Total renewable water resources,1977,30.2,E
275,Total renewable water resources,1982,30.2,E
276,Total renewable water resources,1987,30.2,E
277,Total renewable water resources,1992,30.2,E
278,Total renewable water resources,1997,30.2,E
279,Total renewable water resources,2002,30.2,E
280,Total renewable water resources,2007,30.2,E
281,Total renewable water resources,2012,30.2,E
282,Total renewable water resources,2017,30.2,E
283,Total renewable water resources,2018,30.2,E
284,Total renewable water resources per capita,1962,17379.4344893151,E
285,Total renewable water resources per capita,1967,15109.5189969681,E
286,Total renewable water resources per capita,1972,13398.0699680931,E
287,Total renewable water resources per capita,1977,11990.3838709485,E
288,Total renewable water resources per capita,1982,10823.3059465465,E
289,Total renewable water resources per capita,1987,9664.3278139994,E
290,Total renewable water resources per capita,1992,9304.0852328147,E
291,Total renewable water resources per capita,1997,9742.714901063,E
292,Total renewable water resources per capita,2002,9660.3306200173,E
293,Total renewable water resources per capita,2007,9953.8628568641,E
294,Total renewable water resources per capita,2012,10363.4197363436,E
295,Total renewable water resources per capita,2017,10470.9536785119,E
296,Total renewable water resources per capita,2018,10476.1442238981,E
297,Total agricultural water managed area,1992,397.026,E
298,Total agricultural water managed area,1997,397.026,E
299,Total agricultural water managed area,2002,346.0,E
300,Total agricultural water managed area,2007,397.026,E
301,Total agricultural water managed area,2012,346.0,E
302,Total agricultural water managed area,2017,397.026,E
303,Total agricultural water managed area,2018,397.026,E
304,Area equipped for irrigation: total,1992,397.026,E
305,Area equipped for irrigation: total,1997,397.026,E
306,Area equipped for irrigation: total,2002,346.0,E
307,Area equipped for irrigation: total,2007,397.026,E
308,Area equipped for irrigation: total,2012,346.0,E
309,Area equipped for irrigation: total,2017,397.026,E
310,Area equipped for irrigation: total,2018,397.026,E
311,% of agricultural GVA produced by irrigated agriculture,2002,21.3678959253,E
312,% of agricultural GVA produced by irrigated agriculture,2007,24.249894667,E
313,% of agricultural GVA produced by irrigated agriculture,2012,42.555251839,E
314,% of agricultural GVA produced by irrigated agriculture,2017,47.5526799354,E
315,% of agricultural GVA produced by irrigated agriculture,2018,47.1263465902,E
317,Ratio between rainfed and irrigated yields,1966,1.778,I
318,Ratio between rainfed and irrigated yields,1971,1.778,I
319,Ratio between rainfed and irrigated yields,1976,1.778,I
320,Ratio between rainfed and irrigated yields,1981,1.778,I
321,Ratio between rainfed and irrigated yields,1986,1.778,I
322,Ratio between rainfed and irrigated yields,1991,1.778,I
323,Ratio between rainfed and irrigated yields,1996,1.778,I
324,Ratio between rainfed and irrigated yields,2001,1.778,I
325,Ratio between rainfed and irrigated yields,2007,1.778,I
326,Ratio between rainfed and irrigated yields,2011,1.778,I
327,Ratio between rainfed and irrigated yields,2017,1.778,I
328,Ratio between rainfed and irrigated yields,2018,1.778,I
329,Agricultural water withdrawal as % of total renewable water resources,1992,2.8741721854,I
330,Agricultural water withdrawal as % of total renewable water resources,1997,2.7350993377,I
331,Agricultural water withdrawal as % of total renewable water resources,2002,2.9112582781,I
332,Agricultural water withdrawal as % of total renewable water resources,2007,1.7589403974,I
333,Agricultural water withdrawal as % of total renewable water resources,2012,1.9841059603,I
334,Agricultural water withdrawal as % of total renewable water resources,2017,2.3145695364,E
335,Agricultural water withdrawal as % of total renewable water resources,2018,2.1622516556,E
336,Agricultural water withdrawal,1992,0.868,I
337,Agricultural water withdrawal,1997,0.826,I
338,Agricultural water withdrawal,2002,0.8792,I
339,Agricultural water withdrawal,2007,0.5312,I
340,Agricultural water withdrawal,2012,0.5992,I
341,Agricultural water withdrawal,2016,0.638,OF
342,Irrigation water requirement,2007,0.322,I
343,Irrigation water requirement,2012,0.322,I
344,Irrigation water requirement,2017,0.322,I
345,Irrigation water requirement,2018,0.322,I
346,Irrigation water withdrawal,2007,0.5220888889,I
347,Irrigation water withdrawal,2012,0.5445333333,I
348,Irrigation water withdrawal,2015,0.558,OF
349,Municipal water withdrawal,1992,0.19008,I
350,Municipal water withdrawal,1997,0.41528,I
351,Municipal water withdrawal,2002,0.55476,I
352,Municipal water withdrawal,2007,0.50504,I
353,Municipal water withdrawal,2012,0.36439,I
354,Municipal water withdrawal,2017,0.283,OF
355,Industrial water withdrawal,1992,0.12548,I
356,Industrial water withdrawal,1997,0.18918,I
357,Industrial water withdrawal,2002,0.22916,I
358,Industrial water withdrawal,2007,0.2115,I
359,Industrial water withdrawal,2012,0.16075,I
360,Industrial water withdrawal,2016,0.12015,I
361,Total water withdrawal,1992,1.18356,E
362,Total water withdrawal,1997,1.43046,E
363,Total water withdrawal,2002,1.66312,E
364,Total water withdrawal,2007,1.24774,E
365,Total water withdrawal,2012,1.12434,E
366,Total water withdrawal,2017,1.092,E
367,Fresh surface water withdrawal,2015,0.73,OF
368,Fresh groundwater withdrawal,2017,0.107,OF
369,Total freshwater withdrawal,1992,1.18356,E
370,Total freshwater withdrawal,1997,1.43046,E
371,Total freshwater withdrawal,2002,1.66312,E
372,Total freshwater withdrawal,2007,1.24774,E
373,Total freshwater withdrawal,2012,1.12434,E
374,Total freshwater withdrawal,2017,1.091,E
375,Desalinated water produced,2018,0.0,I
376,Direct use of treated municipal wastewater,2018,0.0,I
378,Produced municipal wastewater,2015,0.0498,OF
379,Treated municipal wastewater,2017,0.0205,OF
380,Treated municipal wastewater,2018,0.0205,I
393,SDG 6.4.2. Water Stress,1992,7.1127403846,E
394,SDG 6.4.2. Water Stress,1997,8.5965144231,E
395,SDG 6.4.2. Water Stress,2002,9.9947115385,E
396,SDG 6.4.2. Water Stress,2007,7.4984375,E
397,SDG 6.4.2. Water Stress,2012,6.7568509615,E
398,SDG 6.4.2. Water Stress,2017,6.5564903846,E
399,SDG 6.4.2. Water Stress,2018,5.7572115385,E
400,SDG 6.4.1. Water Use Efficiency,2002,2.9516696035,I
401,SDG 6.4.1. Water Use Efficiency,2005,4.1960537334,I
402,SDG 6.4.1. Water Use Efficiency,2009,6.4463046773,I
403,SDG 6.4.1. Water Use Efficiency,2014,7.8711821007,I
404,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.367061048,E
405,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2005,0.5737657105,E
406,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2009,1.2870305642,E
407,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,1.6161402312,E
408,SDG 6.4.1. Industrial Water Use Efficiency,1992,6.2531189799,E
409,SDG 6.4.1. Industrial Water Use Efficiency,1997,3.5279556709,E
410,SDG 6.4.1. Industrial Water Use Efficiency,2002,6.3350958212,E
411,SDG 6.4.1. Industrial Water Use Efficiency,2005,7.3547234952,E
412,SDG 6.4.1. Industrial Water Use Efficiency,2009,11.3187497511,E
413,SDG 6.4.1. Industrial Water Use Efficiency,2015,15.5868846892,E
414,SDG 6.4.1. Services Water Use Efficiency,1992,4.6752105684,E
415,SDG 6.4.1. Services Water Use Efficiency,1997,5.1006927682,E
416,SDG 6.4.1. Services Water Use Efficiency,2002,5.6502093143,E
417,SDG 6.4.1. Services Water Use Efficiency,2005,6.815279579,E
418,SDG 6.4.1. Services Water Use Efficiency,2009,10.7899188461,E
419,SDG 6.4.1. Services Water Use Efficiency,2015,20.4200160857,E
420,Area salinized by irrigation,1992,12.0,OF
421,Area salinized by irrigation,1997,9.6,I
422,Area salinized by irrigation,2002,7.2,I
423,Area salinized by irrigation,2007,4.8,I
424,Area salinized by irrigation,2012,2.4,I
425,Area salinized by irrigation,2016,0.48,I
426,Harvested irrigated temporary crop area: Wheat,2007,3.1,I
427,Harvested irrigated temporary crop area: Wheat,2012,3.1,I
428,Harvested irrigated temporary crop area: Wheat,2017,3.1,I
429,Harvested irrigated temporary crop area: Wheat,2018,3.1,I
430,Harvested irrigated temporary crop area: Maize,2007,28.5,I
431,Harvested irrigated temporary crop area: Maize,2012,28.5,I
432,Harvested irrigated temporary crop area: Maize,2017,28.5,I
433,Harvested irrigated temporary crop area: Maize,2018,28.5,I
434,Harvested irrigated temporary crop area: Other cereals,2007,4.2,I
435,Harvested irrigated temporary crop area: Other cereals,2012,4.2,I
436,Harvested irrigated temporary crop area: Other cereals,2017,4.2,I
437,Harvested irrigated temporary crop area: Other cereals,2018,4.2,I
438,Harvested irrigated temporary crop area: Potatoes,2007,2.9,I
439,Harvested irrigated temporary crop area: Potatoes,2012,2.9,I
440,Harvested irrigated temporary crop area: Potatoes,2017,2.9,I
441,Harvested irrigated temporary crop area: Potatoes,2018,2.9,I
442,Harvested irrigated temporary crop area: Leguminous crops,2007,13.1,I
443,Harvested irrigated temporary crop area: Leguminous crops,2012,13.1,I
444,Harvested irrigated temporary crop area: Leguminous crops,2017,13.1,I
445,Harvested irrigated temporary crop area: Leguminous crops,2018,13.1,I
446,Harvested irrigated temporary crop area: Vegetables,2007,19.5,I
447,Harvested irrigated temporary crop area: Vegetables,2012,19.5,I
448,Harvested irrigated temporary crop area: Vegetables,2017,19.5,I
449,Harvested irrigated temporary crop area: Vegetables,2018,19.5,I
450,Harvested irrigated temporary crop area: Fodder,2007,14.0,I
451,Harvested irrigated temporary crop area: Fodder,2012,14.0,I
452,Harvested irrigated temporary crop area: Fodder,2017,14.0,I
453,Harvested irrigated temporary crop area: Fodder,2018,14.0,I
454,Harvested irrigated temporary crop area: Other crops,2007,9.0,I
455,Harvested irrigated temporary crop area: Other crops,2012,9.0,I
456,Harvested irrigated temporary crop area: Other crops,2017,9.0,I
457,Harvested irrigated temporary crop area: Other crops,2018,9.0,I
458,Harvested irrigated permanent crop area: Other crops,2007,8.3,I
459,Harvested irrigated permanent crop area: Other crops,2012,8.3,I
460,Harvested irrigated permanent crop area: Other crops,2017,8.3,I
461,Harvested irrigated permanent crop area: Other crops,2018,8.3,I
