Angola,Variable Name,Year,Value,Symbol
119,Flood occurrence (WRI),2017,1.7,I
120,Flood occurrence (WRI),2018,1.7,I
132,Surface water: entering the country (total),2017,0.4,OF
144,Surface water: leaving the country to other countries (total),2017,122.8,OF
145,Groundwater: entering the country (total),1962,0.0,OF
146,Groundwater: entering the country (total),1967,0.0,OF
147,Groundwater: entering the country (total),1972,0.0,OF
148,Groundwater: entering the country (total),1977,0.0,OF
149,Groundwater: entering the country (total),1982,0.0,OF
150,Groundwater: entering the country (total),1987,0.0,OF
151,Groundwater: entering the country (total),1992,0.0,OF
152,Groundwater: entering the country (total),1997,0.0,OF
153,Groundwater: entering the country (total),2002,0.0,OF
154,Groundwater: entering the country (total),2007,0.0,OF
155,Groundwater: entering the country (total),2012,0.0,OF
156,Groundwater: entering the country (total),2017,0.0,OF
157,Groundwater: leaving the country to other countries (total),1962,0.0,OF
158,Groundwater: leaving the country to other countries (total),1967,0.0,OF
159,Groundwater: leaving the country to other countries (total),1972,0.0,OF
160,Groundwater: leaving the country to other countries (total),1977,0.0,OF
161,Groundwater: leaving the country to other countries (total),1982,0.0,OF
162,Groundwater: leaving the country to other countries (total),1987,0.0,OF
163,Groundwater: leaving the country to other countries (total),1992,0.0,OF
164,Groundwater: leaving the country to other countries (total),1997,0.0,OF
165,Groundwater: leaving the country to other countries (total),2002,0.0,OF
166,Groundwater: leaving the country to other countries (total),2007,0.0,OF
167,Groundwater: leaving the country to other countries (total),2012,0.0,OF
168,Groundwater: leaving the country to other countries (total),2017,0.0,OF
169,Dependency ratio,1962,0.269541779,E
170,Dependency ratio,1967,0.269541779,E
171,Dependency ratio,1972,0.269541779,E
172,Dependency ratio,1977,0.269541779,E
173,Dependency ratio,1982,0.269541779,E
174,Dependency ratio,1987,0.269541779,E
175,Dependency ratio,1992,0.269541779,E
176,Dependency ratio,1997,0.269541779,E
177,Dependency ratio,2002,0.269541779,E
178,Dependency ratio,2007,0.269541779,E
179,Dependency ratio,2012,0.269541779,E
180,Dependency ratio,2017,0.269541779,E
181,Dependency ratio,2018,0.269541779,E
182,Total internal renewable water resources (IRWR),1962,148.0,E
183,Total internal renewable water resources (IRWR),1967,148.0,E
184,Total internal renewable water resources (IRWR),1972,148.0,E
185,Total internal renewable water resources (IRWR),1977,148.0,E
186,Total internal renewable water resources (IRWR),1982,148.0,E
187,Total internal renewable water resources (IRWR),1987,148.0,E
188,Total internal renewable water resources (IRWR),1992,148.0,E
189,Total internal renewable water resources (IRWR),1997,148.0,E
190,Total internal renewable water resources (IRWR),2002,148.0,E
191,Total internal renewable water resources (IRWR),2007,148.0,E
192,Total internal renewable water resources (IRWR),2012,148.0,E
193,Total internal renewable water resources (IRWR),2017,148.0,E
194,Total internal renewable water resources (IRWR),2018,148.0,E
195,Total internal renewable water resources per capita,1962,26388.3339315283,E
196,Total internal renewable water resources per capita,1967,25631.0654054566,E
197,Total internal renewable water resources per capita,1972,23685.4874537333,E
198,Total internal renewable water resources per capita,1977,19644.9702571168,E
199,Total internal renewable water resources per capita,1982,16530.8641285833,E
200,Total internal renewable water resources per capita,1987,13845.6860864888,E
201,Total internal renewable water resources per capita,1992,11692.7961157163,E
202,Total internal renewable water resources per capita,1997,9951.8746171386,E
203,Total internal renewable water resources per capita,2002,8447.7696946194,E
204,Total internal renewable water resources per capita,2007,7079.5230869706,E
205,Total internal renewable water resources per capita,2012,5894.5518051647,E
206,Total internal renewable water resources per capita,2017,4963.6503167379,E
207,Total internal renewable water resources per capita,2018,4803.668392774,E
208,Total renewable surface water,1962,145.4,E
209,Total renewable surface water,1967,145.4,E
210,Total renewable surface water,1972,145.4,E
211,Total renewable surface water,1977,145.4,E
212,Total renewable surface water,1982,145.4,E
213,Total renewable surface water,1987,145.4,E
214,Total renewable surface water,1992,145.4,E
215,Total renewable surface water,1997,145.4,E
216,Total renewable surface water,2002,145.4,E
217,Total renewable surface water,2007,145.4,E
218,Total renewable surface water,2012,145.4,E
219,Total renewable surface water,2017,145.4,E
220,Total renewable surface water,2018,145.4,E
221,Total renewable groundwater,1962,58.0,E
222,Total renewable groundwater,1967,58.0,E
223,Total renewable groundwater,1972,58.0,E
224,Total renewable groundwater,1977,58.0,E
225,Total renewable groundwater,1982,58.0,E
226,Total renewable groundwater,1987,58.0,E
227,Total renewable groundwater,1992,58.0,E
228,Total renewable groundwater,1997,58.0,E
229,Total renewable groundwater,2002,58.0,E
230,Total renewable groundwater,2007,58.0,E
231,Total renewable groundwater,2012,58.0,E
232,Total renewable groundwater,2017,58.0,E
233,Total renewable groundwater,2018,58.0,E
234,Water resources: total external renewable,1962,0.4,E
235,Water resources: total external renewable,1967,0.4,E
236,Water resources: total external renewable,1972,0.4,E
237,Water resources: total external renewable,1977,0.4,E
238,Water resources: total external renewable,1982,0.4,E
239,Water resources: total external renewable,1987,0.4,E
240,Water resources: total external renewable,1992,0.4,E
241,Water resources: total external renewable,1997,0.4,E
242,Water resources: total external renewable,2002,0.4,E
243,Water resources: total external renewable,2007,0.4,E
244,Water resources: total external renewable,2012,0.4,E
245,Water resources: total external renewable,2017,0.4,E
246,Water resources: total external renewable,2018,0.4,E
247,Total renewable water resources,1962,148.4,E
248,Total renewable water resources,1967,148.4,E
249,Total renewable water resources,1972,148.4,E
250,Total renewable water resources,1977,148.4,E
251,Total renewable water resources,1982,148.4,E
252,Total renewable water resources,1987,148.4,E
253,Total renewable water resources,1992,148.4,E
254,Total renewable water resources,1997,148.4,E
255,Total renewable water resources,2002,148.4,E
256,Total renewable water resources,2007,148.4,E
257,Total renewable water resources,2012,148.4,E
258,Total renewable water resources,2017,148.4,E
259,Total renewable water resources,2018,148.4,E
260,Total renewable water resources per capita,1962,26459.6537529649,E
261,Total renewable water resources per capita,1967,25700.3385552011,E
262,Total renewable water resources per capita,1972,23749.5022846893,E
263,Total renewable water resources per capita,1977,19698.0647713252,E
264,Total renewable water resources per capita,1982,16575.5421397416,E
265,Total renewable water resources per capita,1987,13883.1068596955,E
266,Total renewable water resources per capita,1992,11724.3982673804,E
267,Total renewable water resources per capita,1997,9978.7715755633,E
268,Total renewable water resources per capita,2002,8470.6015046049,E
269,Total renewable water resources per capita,2007,7098.6569331516,E
270,Total renewable water resources per capita,2012,5910.4830262597,E
271,Total renewable water resources per capita,2017,4977.0655878642,E
272,Total renewable water resources per capita,2018,4816.6512803221,E
273,Total agricultural water managed area,1977,400.3686666667,E
274,Total agricultural water managed area,1982,401.2903333333,E
275,Total agricultural water managed area,1987,402.212,E
276,Total agricultural water managed area,1992,403.1336666667,E
277,Total agricultural water managed area,1997,404.0553333333,E
278,Total agricultural water managed area,2002,404.977,E
279,Total agricultural water managed area,2007,405.53,E
280,Total agricultural water managed area,2012,405.53,E
281,Total agricultural water managed area,2017,405.53,E
282,Total agricultural water managed area,2018,405.53,E
283,Area equipped for irrigation: total,1977,80.3686666667,I
284,Area equipped for irrigation: total,1982,81.2903333333,I
285,Area equipped for irrigation: total,1987,82.212,I
286,Area equipped for irrigation: total,1992,83.1336666667,I
287,Area equipped for irrigation: total,1997,84.0553333333,I
288,Area equipped for irrigation: total,2002,84.977,I
289,Area equipped for irrigation: total,2007,85.53,I
290,Area equipped for irrigation: total,2012,85.53,I
291,Area equipped for irrigation: total,2017,85.53,I
292,Area equipped for irrigation: total,2018,85.53,I
293,% of agricultural GVA produced by irrigated agriculture,1997,1.3404839434,E
294,% of agricultural GVA produced by irrigated agriculture,2002,0.8287796773,E
295,% of agricultural GVA produced by irrigated agriculture,2007,0.453909907,E
296,% of agricultural GVA produced by irrigated agriculture,2012,0.3357811826,E
297,% of agricultural GVA produced by irrigated agriculture,2017,0.3213085575,E
298,% of agricultural GVA produced by irrigated agriculture,2018,0.3213085575,E
299,Ratio between rainfed and irrigated yields,1962,1.456,E
300,Ratio between rainfed and irrigated yields,1967,1.456,E
301,Ratio between rainfed and irrigated yields,1972,1.456,E
302,Ratio between rainfed and irrigated yields,1977,1.456,E
303,Ratio between rainfed and irrigated yields,1982,1.456,E
304,Ratio between rainfed and irrigated yields,1987,1.456,E
305,Ratio between rainfed and irrigated yields,1992,1.456,E
306,Ratio between rainfed and irrigated yields,1997,1.456,E
307,Ratio between rainfed and irrigated yields,2002,1.456,E
308,Ratio between rainfed and irrigated yields,2007,1.456,I
309,Ratio between rainfed and irrigated yields,2012,1.456,E
310,Ratio between rainfed and irrigated yields,2017,1.456,I
311,Ratio between rainfed and irrigated yields,2018,1.456,I
312,Agricultural water withdrawal as % of total renewable water resources,1987,0.2459568733,E
313,Agricultural water withdrawal as % of total renewable water resources,1992,0.2057847813,I
314,Agricultural water withdrawal as % of total renewable water resources,1997,0.1656126892,I
315,Agricultural water withdrawal as % of total renewable water resources,2002,0.1244474394,I
316,Agricultural water withdrawal as % of total renewable water resources,2007,0.0988544474,I
317,Agricultural water withdrawal as % of total renewable water resources,2012,0.0988544474,I
318,Agricultural water withdrawal as % of total renewable water resources,2017,0.0988544474,I
319,Agricultural water withdrawal as % of total renewable water resources,2018,0.0988544474,I
320,Agricultural water withdrawal,1987,0.365,OF
321,Agricultural water withdrawal,1992,0.3053846154,I
322,Agricultural water withdrawal,1997,0.2457692308,I
323,Agricultural water withdrawal,2002,0.18468,I
324,Agricultural water withdrawal,2007,0.1467,I
325,Agricultural water withdrawal,2012,0.1467,I
326,Agricultural water withdrawal,2017,0.1467,I
327,Agricultural water withdrawal,2018,0.1467,I
328,Irrigation water requirement,2007,0.04,I
329,Irrigation water requirement,2012,0.04,I
330,Irrigation water requirement,2017,0.04,I
331,Irrigation water requirement,2018,0.04,I
332,Irrigation water withdrawal,2007,0.1467,I
333,Irrigation water withdrawal,2012,0.1467,I
334,Irrigation water withdrawal,2017,0.1467,I
335,Irrigation water withdrawal,2018,0.1467,I
336,Municipal water withdrawal,1987,0.067,OF
337,Municipal water withdrawal,1992,0.1358461538,I
338,Municipal water withdrawal,1997,0.2046923077,I
339,Municipal water withdrawal,2002,0.2754,I
340,Municipal water withdrawal,2007,0.3195,I
341,Municipal water withdrawal,2012,0.3195,I
342,Municipal water withdrawal,2017,0.3195,I
343,Municipal water withdrawal,2018,0.3195,I
344,Industrial water withdrawal,1987,0.048,OF
345,Industrial water withdrawal,1992,0.1005,I
346,Industrial water withdrawal,1997,0.153,I
347,Industrial water withdrawal,2002,0.20654,I
348,Industrial water withdrawal,2007,0.2396,I
349,Industrial water withdrawal,2012,0.2396,I
350,Industrial water withdrawal,2017,0.2396,I
351,Industrial water withdrawal,2018,0.2396,I
352,Total water withdrawal,1987,0.48,E
353,Total water withdrawal,1992,0.5417307692,I
354,Total water withdrawal,1997,0.6034615385,I
355,Total water withdrawal,2002,0.66662,I
356,Total water withdrawal,2007,0.7058,I
357,Total water withdrawal,2012,0.7058,I
358,Total water withdrawal,2017,0.7058,I
359,Total water withdrawal,2018,0.7058,I
360,Total freshwater withdrawal,1987,0.48,E
361,Total freshwater withdrawal,1992,0.5416923077,I
362,Total freshwater withdrawal,1997,0.6033846154,I
363,Total freshwater withdrawal,2002,0.66652,I
364,Total freshwater withdrawal,2007,0.7057,I
365,Total freshwater withdrawal,2012,0.7057,I
366,Total freshwater withdrawal,2017,0.7057,I
367,Total freshwater withdrawal,2018,0.7057,I
368,Desalinated water produced,1992,0.0001,I
369,Desalinated water produced,1997,0.0001,I
370,Desalinated water produced,2002,0.0001,I
371,Desalinated water produced,2007,0.0001,I
372,Desalinated water produced,2012,0.0001,I
373,Desalinated water produced,2017,0.0001,I
374,Desalinated water produced,2018,0.0001,I
387,SDG 6.4.2. Water Stress,1987,1.2732095491,E
388,SDG 6.4.2. Water Stress,1992,1.4368496225,E
389,SDG 6.4.2. Water Stress,1997,1.600489696,E
390,SDG 6.4.2. Water Stress,2002,1.7679575597,E
391,SDG 6.4.2. Water Stress,2007,1.8718832891,E
392,SDG 6.4.2. Water Stress,2012,1.8718832891,E
393,SDG 6.4.2. Water Stress,2017,1.8718832891,E
394,SDG 6.4.2. Water Stress,2018,1.8718832891,E
395,SDG 6.4.1. Water Use Efficiency,1997,53.5267064839,I
396,SDG 6.4.1. Water Use Efficiency,2002,66.8042720729,I
397,SDG 6.4.1. Water Use Efficiency,2007,108.3609599426,I
398,SDG 6.4.1. Water Use Efficiency,2012,143.116159043,I
399,SDG 6.4.1. Water Use Efficiency,2015,149.1888804855,I
400,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.1788828865,E
401,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.1241099383,E
402,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.1285287716,E
403,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2012,0.1453568628,E
404,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.2332786142,E
405,SDG 6.4.1. Industrial Water Use Efficiency,1997,144.3536595292,E
406,SDG 6.4.1. Industrial Water Use Efficiency,2002,127.692284131,E
407,SDG 6.4.1. Industrial Water Use Efficiency,2007,201.0141231267,E
408,SDG 6.4.1. Industrial Water Use Efficiency,2012,246.8436518492,E
409,SDG 6.4.1. Industrial Water Use Efficiency,2015,200.8897184725,E
410,SDG 6.4.1. Services Water Use Efficiency,1997,49.6903617964,E
411,SDG 6.4.1. Services Water Use Efficiency,2002,65.855406178,E
412,SDG 6.4.1. Services Water Use Efficiency,2007,88.573791723,E
413,SDG 6.4.1. Services Water Use Efficiency,2012,130.9744044372,E
414,SDG 6.4.1. Services Water Use Efficiency,2015,178.8109963318,E
415,Harvested irrigated temporary crop area: Maize,2007,4.799,I
416,Harvested irrigated temporary crop area: Maize,2012,4.799,I
417,Harvested irrigated temporary crop area: Maize,2017,4.799,I
418,Harvested irrigated temporary crop area: Maize,2018,4.799,I
419,Harvested irrigated temporary crop area: Potatoes,2007,0.203,I
420,Harvested irrigated temporary crop area: Potatoes,2012,0.203,I
421,Harvested irrigated temporary crop area: Potatoes,2017,0.203,I
422,Harvested irrigated temporary crop area: Potatoes,2018,0.203,I
423,Harvested irrigated temporary crop area: Sweet potatoes,2007,0.786,I
424,Harvested irrigated temporary crop area: Sweet potatoes,2012,0.786,I
425,Harvested irrigated temporary crop area: Sweet potatoes,2017,0.786,I
426,Harvested irrigated temporary crop area: Sweet potatoes,2018,0.786,I
427,Harvested irrigated temporary crop area: Cassava,2007,0.322,I
428,Harvested irrigated temporary crop area: Cassava,2012,0.322,I
429,Harvested irrigated temporary crop area: Cassava,2017,0.322,I
430,Harvested irrigated temporary crop area: Cassava,2018,0.322,I
431,Harvested irrigated temporary crop area: Sugarcane,1972,12.5,OF
432,Harvested irrigated temporary crop area: Sugarcane,1977,12.5,I
433,Harvested irrigated temporary crop area: Sugarcane,1982,12.5,I
434,Harvested irrigated temporary crop area: Sugarcane,1987,12.5,I
435,Harvested irrigated temporary crop area: Sugarcane,1992,12.5,I
436,Harvested irrigated temporary crop area: Sugarcane,1997,12.5,I
437,Harvested irrigated temporary crop area: Sugarcane,2002,12.5,I
438,Harvested irrigated temporary crop area: Sugarcane,2007,12.5,I
439,Harvested irrigated temporary crop area: Sugarcane,2012,12.5,I
440,Harvested irrigated temporary crop area: Sugarcane,2017,12.5,I
441,Harvested irrigated temporary crop area: Sugarcane,2018,12.5,I
442,Harvested irrigated temporary crop area: Leguminous crops,2007,1.14,I
443,Harvested irrigated temporary crop area: Leguminous crops,2012,1.14,I
444,Harvested irrigated temporary crop area: Leguminous crops,2017,1.14,I
445,Harvested irrigated temporary crop area: Leguminous crops,2018,1.14,I
446,Harvested irrigated temporary crop area: Vegetables,2007,2.695,I
447,Harvested irrigated temporary crop area: Vegetables,2012,2.695,I
448,Harvested irrigated temporary crop area: Vegetables,2017,2.695,I
449,Harvested irrigated temporary crop area: Vegetables,2018,2.695,I
450,Harvested irrigated permanent crop area: Bananas,1972,7.7,OF
451,Harvested irrigated permanent crop area: Bananas,1977,7.7,I
452,Harvested irrigated permanent crop area: Bananas,1982,7.7,I
453,Harvested irrigated permanent crop area: Bananas,1987,7.7,I
454,Harvested irrigated permanent crop area: Bananas,1992,7.7,I
455,Harvested irrigated permanent crop area: Bananas,1997,7.7,I
456,Harvested irrigated permanent crop area: Bananas,2002,7.7,I
457,Harvested irrigated permanent crop area: Bananas,2007,7.7,I
458,Harvested irrigated permanent crop area: Bananas,2012,7.7,I
459,Harvested irrigated permanent crop area: Bananas,2017,7.7,I
460,Harvested irrigated permanent crop area: Bananas,2018,7.7,I
461,Harvested irrigated permanent crop area: Citrus,1972,3.5,OF
462,Harvested irrigated permanent crop area: Citrus,1977,3.5,I
463,Harvested irrigated permanent crop area: Citrus,1982,3.5,I
464,Harvested irrigated permanent crop area: Citrus,1987,3.5,I
465,Harvested irrigated permanent crop area: Citrus,1992,3.5,I
466,Harvested irrigated permanent crop area: Citrus,1997,3.5,I
467,Harvested irrigated permanent crop area: Citrus,2002,3.5,I
468,Harvested irrigated permanent crop area: Citrus,2007,3.5,I
469,Harvested irrigated permanent crop area: Citrus,2012,3.5,I
470,Harvested irrigated permanent crop area: Citrus,2017,3.5,I
471,Harvested irrigated permanent crop area: Citrus,2018,3.5,I
472,Harvested irrigated temporary crop area: Tobacco,1972,9.1,OF
473,Harvested irrigated temporary crop area: Tobacco,1977,9.1,I
474,Harvested irrigated temporary crop area: Tobacco,1982,9.1,I
475,Harvested irrigated temporary crop area: Tobacco,1987,9.1,I
476,Harvested irrigated temporary crop area: Tobacco,1992,9.1,I
477,Harvested irrigated temporary crop area: Tobacco,1997,9.1,I
478,Harvested irrigated temporary crop area: Tobacco,2002,9.1,I
479,Harvested irrigated temporary crop area: Tobacco,2007,9.1,I
480,Harvested irrigated temporary crop area: Tobacco,2012,9.1,I
481,Harvested irrigated temporary crop area: Tobacco,2017,9.1,I
482,Harvested irrigated temporary crop area: Tobacco,2018,9.1,I
483,Harvested irrigated temporary crop area: Groundnuts,2007,0.004,I
484,Harvested irrigated temporary crop area: Groundnuts,2012,0.004,I
485,Harvested irrigated temporary crop area: Groundnuts,2017,0.004,I
486,Harvested irrigated temporary crop area: Groundnuts,2018,0.004,I
487,Harvested irrigated temporary crop area: Other crops,2007,1.573,I
488,Harvested irrigated temporary crop area: Other crops,2012,1.573,I
489,Harvested irrigated temporary crop area: Other crops,2017,1.573,I
490,Harvested irrigated temporary crop area: Other crops,2018,1.573,I
491,Harvested irrigated permanent crop area: Other crops,1977,11.2,I
492,Harvested irrigated permanent crop area: Other crops,1982,11.2,I
493,Harvested irrigated permanent crop area: Other crops,1987,11.2,I
494,Harvested irrigated permanent crop area: Other crops,1992,11.2,I
495,Harvested irrigated permanent crop area: Other crops,1997,11.2,I
496,Harvested irrigated permanent crop area: Other crops,2002,11.2,I
497,Harvested irrigated permanent crop area: Other crops,2007,11.2,I
498,Harvested irrigated permanent crop area: Other crops,2012,11.2,I
499,Harvested irrigated permanent crop area: Other crops,2017,11.2,I
500,Harvested irrigated permanent crop area: Other crops,2018,11.2,I
