Chad,Variable Name,Year,Value,Symbol
241,Total renewable groundwater,1967,11.5,E
242,Total renewable groundwater,1972,11.5,E
243,Total renewable groundwater,1977,11.5,E
244,Total renewable groundwater,1982,11.5,E
245,Total renewable groundwater,1987,11.5,E
246,Total renewable groundwater,1992,11.5,E
247,Total renewable groundwater,1997,11.5,E
248,Total renewable groundwater,2002,11.5,E
249,Total renewable groundwater,2007,11.5,E
250,Total renewable groundwater,2012,11.5,E
251,Total renewable groundwater,2017,11.5,E
252,Total renewable groundwater,2018,11.5,E
253,Water resources: total external renewable,1962,30.7,E
254,Water resources: total external renewable,1967,30.7,E
255,Water resources: total external renewable,1972,30.7,E
256,Water resources: total external renewable,1977,30.7,E
257,Water resources: total external renewable,1982,30.7,E
258,Water resources: total external renewable,1987,30.7,E
259,Water resources: total external renewable,1992,30.7,E
260,Water resources: total external renewable,1997,30.7,E
261,Water resources: total external renewable,2002,30.7,E
262,Water resources: total external renewable,2007,30.7,E
263,Water resources: total external renewable,2012,30.7,E
264,Water resources: total external renewable,2017,30.7,E
265,Water resources: total external renewable,2018,30.7,E
266,Total renewable water resources,1962,45.7,E
267,Total renewable water resources,1967,45.7,E
268,Total renewable water resources,1972,45.7,E
269,Total renewable water resources,1977,45.7,E
270,Total renewable water resources,1982,45.7,E
271,Total renewable water resources,1987,45.7,E
272,Total renewable water resources,1992,45.7,E
273,Total renewable water resources,1997,45.7,E
274,Total renewable water resources,2002,45.7,E
275,Total renewable water resources,2007,45.7,E
276,Total renewable water resources,2012,45.7,E
277,Total renewable water resources,2017,45.7,E
278,Total renewable water resources,2018,45.7,E
279,Total renewable water resources per capita,1962,14641.6355571959,E
280,Total renewable water resources per capita,1967,13304.8990851062,E
281,Total renewable water resources per capita,1972,11978.2138045638,E
282,Total renewable water resources per capita,1977,10739.6795674424,E
283,Total renewable water resources per capita,1982,9685.975174231,E
284,Total renewable water resources per capita,1987,8442.8767338149,E
285,Total renewable water resources per capita,1992,7189.2105837765,E
286,Total renewable water resources per capita,1997,6090.4967859636,E
287,Total renewable water resources per capita,2002,5066.9497062555,E
288,Total renewable water resources per capita,2007,4224.431374898,E
289,Total renewable water resources per capita,2012,3574.571266548,E
290,Total renewable water resources per capita,2017,3043.2677423675,E
291,Total renewable water resources per capita,2018,2952.6295492058,E
292,Total agricultural water managed area,1992,131.4925714286,E
293,Total agricultural water managed area,1997,154.0832857143,E
294,Total agricultural water managed area,2002,176.674,E
295,Total agricultural water managed area,2007,176.674,E
296,Total agricultural water managed area,2012,176.674,E
297,Total agricultural water managed area,2017,176.674,E
298,Total agricultural water managed area,2018,176.674,E
299,Area equipped for irrigation: total,1992,18.664,I
300,Area equipped for irrigation: total,1997,24.469,I
301,Area equipped for irrigation: total,2002,30.274,E
302,Area equipped for irrigation: total,2007,30.274,I
303,Area equipped for irrigation: total,2012,30.274,I
304,Area equipped for irrigation: total,2017,30.274,I
305,Area equipped for irrigation: total,2018,30.274,I
306,% of agricultural GVA produced by irrigated agriculture,1992,0.6826792509,E
307,% of agricultural GVA produced by irrigated agriculture,1997,0.8143910688,E
308,% of agricultural GVA produced by irrigated agriculture,2002,0.9902472506,E
309,% of agricultural GVA produced by irrigated agriculture,2007,0.9397454241,E
310,% of agricultural GVA produced by irrigated agriculture,2012,0.7888333489,E
311,% of agricultural GVA produced by irrigated agriculture,2017,0.7057150004,E
312,% of agricultural GVA produced by irrigated agriculture,2018,0.7057150004,E
313,Ratio between rainfed and irrigated yields,1962,1.382,E
314,Ratio between rainfed and irrigated yields,1967,1.382,E
315,Ratio between rainfed and irrigated yields,1972,1.382,E
316,Ratio between rainfed and irrigated yields,1977,1.382,E
317,Ratio between rainfed and irrigated yields,1982,1.382,E
318,Ratio between rainfed and irrigated yields,1987,1.382,E
319,Ratio between rainfed and irrigated yields,1992,1.382,E
320,Ratio between rainfed and irrigated yields,1997,1.382,E
321,Ratio between rainfed and irrigated yields,2002,1.382,E
322,Ratio between rainfed and irrigated yields,2007,1.382,I
323,Ratio between rainfed and irrigated yields,2012,1.382,E
324,Ratio between rainfed and irrigated yields,2017,1.382,I
325,Ratio between rainfed and irrigated yields,2018,1.382,I
326,Agricultural water withdrawal as % of total renewable water resources,1987,0.3238512035,E
327,Agricultural water withdrawal as % of total renewable water resources,1992,0.7061998541,I
328,Agricultural water withdrawal as % of total renewable water resources,1997,1.0885485047,I
329,Agricultural water withdrawal as % of total renewable water resources,2002,1.4708971554,E
330,Agricultural water withdrawal as % of total renewable water resources,2007,1.4708971554,I
331,Agricultural water withdrawal as % of total renewable water resources,2012,1.4708971554,I
332,Agricultural water withdrawal as % of total renewable water resources,2017,1.4708971554,I
333,Agricultural water withdrawal as % of total renewable water resources,2018,1.4708971554,I
334,Agricultural water withdrawal,1987,0.148,OF
335,Agricultural water withdrawal,1992,0.3227333333,I
336,Agricultural water withdrawal,1997,0.4974666667,I
337,Agricultural water withdrawal,2001,0.6372533333,I
338,Agricultural water withdrawal,2007,0.6722,I
339,Agricultural water withdrawal,2012,0.6722,I
340,Agricultural water withdrawal,2017,0.6722,I
341,Agricultural water withdrawal,2018,0.6722,I
342,Irrigation water requirement,2002,0.206,E
343,Irrigation water requirement,2007,0.206,I
344,Irrigation water requirement,2012,0.206,I
345,Irrigation water requirement,2017,0.206,I
346,Irrigation water requirement,2018,0.206,I
347,Irrigation water withdrawal,2002,0.6722,E
348,Irrigation water withdrawal,2007,0.6722,I
349,Irrigation water withdrawal,2012,0.6722,I
350,Irrigation water withdrawal,2017,0.6722,I
351,Irrigation water withdrawal,2018,0.6722,I
352,Municipal water withdrawal,1987,0.029,OF
353,Municipal water withdrawal,1992,0.0518846154,I
354,Municipal water withdrawal,1997,0.0747692308,I
355,Municipal water withdrawal,2002,0.09458,I
356,Municipal water withdrawal,2007,0.1037,I
357,Municipal water withdrawal,2012,0.1037,I
358,Municipal water withdrawal,2017,0.1037,I
359,Municipal water withdrawal,2018,0.1037,I
360,Industrial water withdrawal,1987,0.004,OF
361,Industrial water withdrawal,1992,0.0365,I
362,Industrial water withdrawal,1997,0.069,I
363,Industrial water withdrawal,2002,0.09458,I
364,Industrial water withdrawal,2007,0.1037,I
365,Industrial water withdrawal,2012,0.1037,I
366,Industrial water withdrawal,2017,0.1037,I
367,Industrial water withdrawal,2018,0.1037,I
368,Total water withdrawal,1987,0.181,E
369,Total water withdrawal,1992,0.4111179487,E
370,Total water withdrawal,1997,0.6412358974,E
371,Total water withdrawal,2002,0.86136,E
372,Total water withdrawal,2007,0.8796,I
373,Total water withdrawal,2012,0.8796,I
374,Total water withdrawal,2017,0.8796,I
375,Total water withdrawal,2018,0.8796,I
376,Total freshwater withdrawal,1987,0.181,E
377,Total freshwater withdrawal,1992,0.4111179487,E
378,Total freshwater withdrawal,1997,0.6412358974,E
379,Total freshwater withdrawal,2002,0.86136,E
380,Total freshwater withdrawal,2007,0.8796,I
381,Total freshwater withdrawal,2012,0.8796,I
382,Total freshwater withdrawal,2017,0.8796,I
383,Total freshwater withdrawal,2018,0.8796,I
396,SDG 6.4.2. Water Stress,1987,0.8837890625,E
397,SDG 6.4.2. Water Stress,1992,2.007411859,E
398,SDG 6.4.2. Water Stress,1997,3.1310346554,E
399,SDG 6.4.2. Water Stress,2002,4.205859375,E
400,SDG 6.4.2. Water Stress,2007,4.294921875,E
401,SDG 6.4.2. Water Stress,2012,4.294921875,E
402,SDG 6.4.2. Water Stress,2017,4.294921875,E
403,SDG 6.4.2. Water Stress,2018,4.294921875,E
404,SDG 6.4.1. Water Use Efficiency,1992,5.5641163792,I
405,SDG 6.4.1. Water Use Efficiency,1997,3.7923394439,I
406,SDG 6.4.1. Water Use Efficiency,2002,3.6401711055,I
407,SDG 6.4.1. Water Use Efficiency,2004,4.9347158744,I
408,SDG 6.4.1. Water Use Efficiency,2010,6.1929226896,I
409,SDG 6.4.1. Water Use Efficiency,2017,8.359339149,I
410,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1992,0.018773412,E
411,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.017840035,E
412,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.0202933195,E
413,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2004,0.0248430173,E
414,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2010,0.0393391333,E
415,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2017,0.0396892593,E
416,SDG 6.4.1. Industrial Water Use Efficiency,1987,98.7935508752,E
417,SDG 6.4.1. Industrial Water Use Efficiency,1992,12.9709487923,E
418,SDG 6.4.1. Industrial Water Use Efficiency,1997,7.5838103972,E
419,SDG 6.4.1. Industrial Water Use Efficiency,2002,7.5493918062,E
420,SDG 6.4.1. Industrial Water Use Efficiency,2004,19.4434851682,E
421,SDG 6.4.1. Industrial Water Use Efficiency,2010,29.9839257671,E
422,SDG 6.4.1. Industrial Water Use Efficiency,2017,21.4151002615,E
423,SDG 6.4.1. Services Water Use Efficiency,1987,51.5214802235,E
424,SDG 6.4.1. Services Water Use Efficiency,1992,34.8467394829,E
425,SDG 6.4.1. Services Water Use Efficiency,1997,25.4065265481,E
426,SDG 6.4.1. Services Water Use Efficiency,2002,25.4581849972,E
427,SDG 6.4.1. Services Water Use Efficiency,2004,23.2137126697,E
428,SDG 6.4.1. Services Water Use Efficiency,2010,22.2904332721,E
429,SDG 6.4.1. Services Water Use Efficiency,2017,49.2328804069,E
430,Harvested irrigated temporary crop area: Wheat,2002,2.0,E
431,Harvested irrigated temporary crop area: Wheat,2007,2.0,I
432,Harvested irrigated temporary crop area: Wheat,2012,2.0,I
433,Harvested irrigated temporary crop area: Wheat,2017,2.0,I
434,Harvested irrigated temporary crop area: Wheat,2018,2.0,I
435,Harvested irrigated temporary crop area: Rice,2002,10.0,E
436,Harvested irrigated temporary crop area: Rice,2007,10.0,I
437,Harvested irrigated temporary crop area: Rice,2012,10.0,I
438,Harvested irrigated temporary crop area: Rice,2017,10.0,I
439,Harvested irrigated temporary crop area: Rice,2018,10.0,I
440,Harvested irrigated temporary crop area: Maize,2002,6.0,E
441,Harvested irrigated temporary crop area: Maize,2007,6.0,I
442,Harvested irrigated temporary crop area: Maize,2012,6.0,I
443,Harvested irrigated temporary crop area: Maize,2017,6.0,I
444,Harvested irrigated temporary crop area: Maize,2018,6.0,I
445,Harvested irrigated temporary crop area: Millet,2002,3.0,E
446,Harvested irrigated temporary crop area: Millet,2007,3.0,I
447,Harvested irrigated temporary crop area: Millet,2012,3.0,I
448,Harvested irrigated temporary crop area: Millet,2017,3.0,I
449,Harvested irrigated temporary crop area: Millet,2018,3.0,I
450,Harvested irrigated temporary crop area: Sweet potatoes,2002,0.05,E
451,Harvested irrigated temporary crop area: Sweet potatoes,2007,0.05,I
452,Harvested irrigated temporary crop area: Sweet potatoes,2012,0.05,I
453,Harvested irrigated temporary crop area: Sweet potatoes,2017,0.05,I
454,Harvested irrigated temporary crop area: Sweet potatoes,2018,0.05,I
455,Harvested irrigated temporary crop area: Sugarcane,2002,3.754,E
456,Harvested irrigated temporary crop area: Sugarcane,2007,3.754,I
457,Harvested irrigated temporary crop area: Sugarcane,2012,3.754,I
458,Harvested irrigated temporary crop area: Sugarcane,2017,3.754,I
459,Harvested irrigated temporary crop area: Sugarcane,2018,3.754,I
460,Harvested irrigated temporary crop area: Vegetables,2002,2.0,E
461,Harvested irrigated temporary crop area: Vegetables,2007,2.0,I
462,Harvested irrigated temporary crop area: Vegetables,2012,2.0,I
463,Harvested irrigated temporary crop area: Vegetables,2017,2.0,I
464,Harvested irrigated temporary crop area: Vegetables,2018,2.0,I
