Brunei Darussalam,Variable Name,Year,Value,Symbol
101,Prevalence of undernourishment (3-year average),2018,3.2,X
102,Long-term average annual precipitation in volume,1962,15.70594,E
103,Long-term average annual precipitation in volume,1967,15.70594,E
104,Long-term average annual precipitation in volume,1972,15.70594,E
105,Long-term average annual precipitation in volume,1977,15.70594,E
106,Long-term average annual precipitation in volume,1982,15.70594,E
107,Long-term average annual precipitation in volume,1987,15.70594,E
108,Long-term average annual precipitation in volume,1992,15.70594,E
109,Long-term average annual precipitation in volume,1997,15.70594,E
110,Long-term average annual precipitation in volume,2002,15.70594,E
111,Long-term average annual precipitation in volume,2007,15.70594,E
112,Long-term average annual precipitation in volume,2012,15.70594,E
113,Long-term average annual precipitation in volume,2017,15.70594,E
114,Long-term average annual precipitation in volume,2018,15.70594,E
115,Interannual variability (WRI),2017,0.9,I
116,Interannual variability (WRI),2018,0.9,I
117,Seasonal variability (WRI),2017,1.0,I
118,Seasonal variability (WRI),2018,1.0,I
119,Flood occurrence (WRI),2017,2.3,I
120,Flood occurrence (WRI),2018,2.3,I
121,Surface water: entering the country (total),1962,0.0,OF
122,Surface water: entering the country (total),1967,0.0,OF
123,Surface water: entering the country (total),1972,0.0,OF
124,Surface water: entering the country (total),1977,0.0,OF
125,Surface water: entering the country (total),1982,0.0,OF
126,Surface water: entering the country (total),1987,0.0,OF
127,Surface water: entering the country (total),1992,0.0,OF
128,Surface water: entering the country (total),1997,0.0,OF
129,Surface water: entering the country (total),2002,0.0,OF
130,Surface water: entering the country (total),2007,0.0,OF
131,Surface water: entering the country (total),2012,0.0,OF
132,Surface water: entering the country (total),2017,0.0,OF
133,Surface water: leaving the country to other countries (total),1962,0.0,OF
134,Surface water: leaving the country to other countries (total),1967,0.0,OF
135,Surface water: leaving the country to other countries (total),1972,0.0,OF
136,Surface water: leaving the country to other countries (total),1977,0.0,OF
137,Surface water: leaving the country to other countries (total),1982,0.0,OF
138,Surface water: leaving the country to other countries (total),1987,0.0,OF
139,Surface water: leaving the country to other countries (total),1992,0.0,OF
140,Surface water: leaving the country to other countries (total),1997,0.0,OF
141,Surface water: leaving the country to other countries (total),2002,0.0,OF
142,Surface water: leaving the country to other countries (total),2007,0.0,OF
143,Surface water: leaving the country to other countries (total),2012,0.0,OF
144,Surface water: leaving the country to other countries (total),2017,0.0,OF
145,Groundwater: entering the country (total),1962,0.0,OF
146,Groundwater: entering the country (total),1967,0.0,OF
147,Groundwater: entering the country (total),1972,0.0,OF
148,Groundwater: entering the country (total),1977,0.0,OF
149,Groundwater: entering the country (total),1982,0.0,OF
150,Groundwater: entering the country (total),1987,0.0,OF
151,Groundwater: entering the country (total),1992,0.0,OF
152,Groundwater: entering the country (total),1997,0.0,OF
153,Groundwater: entering the country (total),2002,0.0,OF
154,Groundwater: entering the country (total),2007,0.0,OF
155,Groundwater: entering the country (total),2012,0.0,OF
156,Groundwater: entering the country (total),2017,0.0,OF
157,Groundwater: leaving the country to other countries (total),1962,0.0,OF
158,Groundwater: leaving the country to other countries (total),1967,0.0,OF
159,Groundwater: leaving the country to other countries (total),1972,0.0,OF
160,Groundwater: leaving the country to other countries (total),1977,0.0,OF
161,Groundwater: leaving the country to other countries (total),1982,0.0,OF
162,Groundwater: leaving the country to other countries (total),1987,0.0,OF
163,Groundwater: leaving the country to other countries (total),1992,0.0,OF
164,Groundwater: leaving the country to other countries (total),1997,0.0,OF
165,Groundwater: leaving the country to other countries (total),2002,0.0,OF
166,Groundwater: leaving the country to other countries (total),2007,0.0,OF
167,Groundwater: leaving the country to other countries (total),2012,0.0,OF
168,Groundwater: leaving the country to other countries (total),2017,0.0,OF
169,Dependency ratio,1962,0.0,E
170,Dependency ratio,1967,0.0,E
171,Dependency ratio,1972,0.0,E
172,Dependency ratio,1977,0.0,E
173,Dependency ratio,1982,0.0,E
174,Dependency ratio,1987,0.0,E
175,Dependency ratio,1992,0.0,E
176,Dependency ratio,1997,0.0,E
177,Dependency ratio,2002,0.0,E
178,Dependency ratio,2007,0.0,E
179,Dependency ratio,2012,0.0,E
180,Dependency ratio,2017,0.0,E
181,Dependency ratio,2018,0.0,E
182,Total internal renewable water resources (IRWR),1962,8.5,E
183,Total internal renewable water resources (IRWR),1967,8.5,E
184,Total internal renewable water resources (IRWR),1972,8.5,E
185,Total internal renewable water resources (IRWR),1977,8.5,E
186,Total internal renewable water resources (IRWR),1982,8.5,E
187,Total internal renewable water resources (IRWR),1987,8.5,E
188,Total internal renewable water resources (IRWR),1992,8.5,E
189,Total internal renewable water resources (IRWR),1997,8.5,E
190,Total internal renewable water resources (IRWR),2002,8.5,E
191,Total internal renewable water resources (IRWR),2007,8.5,E
192,Total internal renewable water resources (IRWR),2012,8.5,E
193,Total internal renewable water resources (IRWR),2017,8.5,E
194,Total internal renewable water resources (IRWR),2018,8.5,E
195,Total internal renewable water resources per capita,1962,94992.2329880086,E
196,Total internal renewable water resources per capita,1967,75590.4951622083,E
197,Total internal renewable water resources per capita,1972,59849.882412584,E
198,Total internal renewable water resources per capita,1977,48650.9381045594,E
199,Total internal renewable water resources per capita,1982,41249.1204231674,E
200,Total internal renewable water resources per capita,1987,35779.9825730438,E
201,Total internal renewable water resources per capita,1992,31034.1302411169,E
202,Total internal renewable water resources per capita,1997,27247.2576436572,E
203,Total internal renewable water resources per capita,2002,24511.0761227515,E
204,Total internal renewable water resources per capita,2007,22668.7824196925,E
205,Total internal renewable water resources per capita,2012,21303.845469424,E
206,Total internal renewable water resources per capita,2017,20024.8307901798,E
207,Total internal renewable water resources per capita,2018,19815.2288192688,E
208,Total renewable surface water,1962,8.5,E
209,Total renewable surface water,1967,8.5,E
210,Total renewable surface water,1972,8.5,E
211,Total renewable surface water,1977,8.5,E
212,Total renewable surface water,1982,8.5,E
213,Total renewable surface water,1987,8.5,E
214,Total renewable surface water,1992,8.5,E
215,Total renewable surface water,1997,8.5,E
216,Total renewable surface water,2002,8.5,E
217,Total renewable surface water,2007,8.5,E
218,Total renewable surface water,2012,8.5,E
219,Total renewable surface water,2017,8.5,E
220,Total renewable surface water,2018,8.5,E
221,Total renewable groundwater,1962,0.1,E
222,Total renewable groundwater,1967,0.1,E
223,Total renewable groundwater,1972,0.1,E
224,Total renewable groundwater,1977,0.1,E
225,Total renewable groundwater,1982,0.1,E
226,Total renewable groundwater,1987,0.1,E
227,Total renewable groundwater,1992,0.1,E
228,Total renewable groundwater,1997,0.1,E
229,Total renewable groundwater,2002,0.1,E
230,Total renewable groundwater,2007,0.1,E
231,Total renewable groundwater,2012,0.1,E
232,Total renewable groundwater,2017,0.1,E
233,Total renewable groundwater,2018,0.1,E
234,Water resources: total external renewable,1962,0.0,E
235,Water resources: total external renewable,1967,0.0,E
236,Water resources: total external renewable,1972,0.0,E
237,Water resources: total external renewable,1977,0.0,E
238,Water resources: total external renewable,1982,0.0,E
239,Water resources: total external renewable,1987,0.0,E
240,Water resources: total external renewable,1992,0.0,E
241,Water resources: total external renewable,1997,0.0,E
242,Water resources: total external renewable,2002,0.0,E
243,Water resources: total external renewable,2007,0.0,E
244,Water resources: total external renewable,2012,0.0,E
245,Water resources: total external renewable,2017,0.0,E
246,Water resources: total external renewable,2018,0.0,E
247,Total renewable water resources,1962,8.5,E
248,Total renewable water resources,1967,8.5,E
249,Total renewable water resources,1972,8.5,E
250,Total renewable water resources,1977,8.5,E
251,Total renewable water resources,1982,8.5,E
252,Total renewable water resources,1987,8.5,E
253,Total renewable water resources,1992,8.5,E
254,Total renewable water resources,1997,8.5,E
255,Total renewable water resources,2002,8.5,E
256,Total renewable water resources,2007,8.5,E
257,Total renewable water resources,2012,8.5,E
258,Total renewable water resources,2017,8.5,E
259,Total renewable water resources,2018,8.5,E
260,Total renewable water resources per capita,1962,94992.2329880086,E
261,Total renewable water resources per capita,1967,75590.4951622083,E
262,Total renewable water resources per capita,1972,59849.882412584,E
263,Total renewable water resources per capita,1977,48650.9381045594,E
264,Total renewable water resources per capita,1982,41249.1204231674,E
265,Total renewable water resources per capita,1987,35779.9825730438,E
266,Total renewable water resources per capita,1992,31034.1302411169,E
267,Total renewable water resources per capita,1997,27247.2576436572,E
268,Total renewable water resources per capita,2002,24511.0761227515,E
269,Total renewable water resources per capita,2007,22668.7824196925,E
270,Total renewable water resources per capita,2012,21303.845469424,E
271,Total renewable water resources per capita,2017,20024.8307901798,E
272,Total renewable water resources per capita,2018,19815.2288192688,E
273,Total agricultural water managed area,1997,1.0,I
274,Total agricultural water managed area,2002,1.0,I
275,Total agricultural water managed area,2007,1.0,I
276,Total agricultural water managed area,2012,1.0,I
277,Total agricultural water managed area,2017,1.0,I
278,Total agricultural water managed area,2018,1.0,I
279,Area equipped for irrigation: total,1997,1.0,I
280,Area equipped for irrigation: total,2002,1.0,I
281,Area equipped for irrigation: total,2007,1.0,I
282,Area equipped for irrigation: total,2012,1.0,I
283,Area equipped for irrigation: total,2017,1.0,I
284,Area equipped for irrigation: total,2018,1.0,I
285,% of agricultural GVA produced by irrigated agriculture,1997,26.2319268221,E
286,% of agricultural GVA produced by irrigated agriculture,2002,22.8593468758,E
287,% of agricultural GVA produced by irrigated agriculture,2007,20.2551834131,E
288,% of agricultural GVA produced by irrigated agriculture,2012,16.4965670811,E
290,Ratio between rainfed and irrigated yields,1966,1.778,I
291,Ratio between rainfed and irrigated yields,1971,1.778,I
292,Ratio between rainfed and irrigated yields,1976,1.778,I
293,Ratio between rainfed and irrigated yields,1981,1.778,I
294,Ratio between rainfed and irrigated yields,1986,1.778,I
295,Ratio between rainfed and irrigated yields,1991,1.778,I
296,Ratio between rainfed and irrigated yields,1996,1.778,I
297,Ratio between rainfed and irrigated yields,2001,1.778,I
298,Ratio between rainfed and irrigated yields,2007,1.778,I
299,Ratio between rainfed and irrigated yields,2011,1.778,I
300,Ratio between rainfed and irrigated yields,2017,1.778,I
301,Ratio between rainfed and irrigated yields,2018,1.778,I
302,Agricultural water withdrawal as % of total renewable water resources,1997,0.0623529412,I
303,Agricultural water withdrawal as % of total renewable water resources,2002,0.0623529412,I
304,Agricultural water withdrawal as % of total renewable water resources,2007,0.0623529412,I
305,Agricultural water withdrawal as % of total renewable water resources,2012,0.0623529412,I
306,Agricultural water withdrawal as % of total renewable water resources,2017,0.0623529412,I
307,Agricultural water withdrawal as % of total renewable water resources,2018,0.0623529412,I
308,Agricultural water withdrawal,1997,0.0053,I
309,Agricultural water withdrawal,2002,0.0053,I
310,Agricultural water withdrawal,2007,0.0053,I
311,Agricultural water withdrawal,2012,0.0053,I
312,Agricultural water withdrawal,2017,0.0053,I
313,Agricultural water withdrawal,2018,0.0053,I
314,Irrigation water requirement,1997,0.0027,I
315,Irrigation water requirement,2002,0.0027,I
316,Irrigation water requirement,2007,0.0027,I
317,Irrigation water requirement,2012,0.0027,I
318,Irrigation water requirement,2017,0.0027,I
319,Irrigation water requirement,2018,0.0027,I
320,Irrigation water withdrawal,1997,0.0053,I
321,Irrigation water withdrawal,2002,0.0053,I
322,Irrigation water withdrawal,2007,0.0053,I
323,Irrigation water withdrawal,2012,0.0053,I
324,Irrigation water withdrawal,2017,0.0053,I
325,Irrigation water withdrawal,2018,0.0053,I
326,Municipal water withdrawal,2007,0.1389,X
327,Municipal water withdrawal,2012,0.1515,I
328,Municipal water withdrawal,2017,0.1515,I
329,Municipal water withdrawal,2018,0.1515,I
330,Total water withdrawal,1992,0.0813333333,I
331,Total water withdrawal,1997,0.092,I
332,Total water withdrawal,2002,0.092,I
333,Total water withdrawal,2007,0.092,I
334,Total water withdrawal,2012,0.092,I
335,Total water withdrawal,2017,0.092,I
336,Total water withdrawal,2018,0.092,I
337,Fresh surface water withdrawal,1997,0.0915,I
338,Fresh surface water withdrawal,2002,0.0915,I
339,Fresh surface water withdrawal,2007,0.0915,I
340,Fresh surface water withdrawal,2012,0.0915,I
341,Fresh surface water withdrawal,2017,0.0915,I
342,Fresh surface water withdrawal,2018,0.0915,I
343,Fresh groundwater withdrawal,1997,0.0005,I
344,Fresh groundwater withdrawal,2002,0.0005,I
345,Fresh groundwater withdrawal,2007,0.0005,I
346,Fresh groundwater withdrawal,2012,0.0005,I
347,Fresh groundwater withdrawal,2017,0.0005,I
348,Fresh groundwater withdrawal,2018,0.0005,I
349,Total freshwater withdrawal,1992,0.0813333333,I
350,Total freshwater withdrawal,1997,0.092,I
351,Total freshwater withdrawal,2002,0.092,I
352,Total freshwater withdrawal,2007,0.092,I
353,Total freshwater withdrawal,2012,0.092,I
354,Total freshwater withdrawal,2017,0.092,I
355,Total freshwater withdrawal,2018,0.092,I
368,SDG 6.4.2. Water Stress,1992,3.0645566441,E
369,SDG 6.4.2. Water Stress,1997,3.4664657121,E
370,SDG 6.4.2. Water Stress,2002,3.4664657121,E
371,SDG 6.4.2. Water Stress,2007,3.4664657121,E
372,SDG 6.4.2. Water Stress,2012,3.4664657121,E
373,SDG 6.4.2. Water Stress,2017,3.4664657121,E
374,SDG 6.4.2. Water Stress,2018,3.4664657121,E
375,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,6.3308302896,E
376,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,5.5109307909,E
377,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2006,3.8583414357,E
378,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2009,3.4573650859,E
379,SDG 6.4.1. Services Water Use Efficiency,2006,25.5841942601,E
380,SDG 6.4.1. Services Water Use Efficiency,2009,28.9453857983,E
381,SDG 6.4.1. Services Water Use Efficiency,2017,35.2647291872,E
382,SDG 6.4.1. Services Water Use Efficiency,2018,32.3398625712,E
383,Harvested irrigated temporary crop area: Rice,1997,0.375,OF
384,Harvested irrigated temporary crop area: Rice,2002,0.375,I
385,Harvested irrigated temporary crop area: Rice,2007,0.375,I
386,Harvested irrigated temporary crop area: Rice,2012,0.375,I
387,Harvested irrigated temporary crop area: Rice,2017,0.375,I
388,Harvested irrigated temporary crop area: Rice,2018,0.375,I
