Bahrain,Variable Name,Year,Value,Symbol
292,% of agricultural GVA produced by irrigated agriculture,2007,94.8828164978,E
293,% of agricultural GVA produced by irrigated agriculture,2012,92.4258804428,E
294,% of agricultural GVA produced by irrigated agriculture,2017,92.4258804428,E
295,% of agricultural GVA produced by irrigated agriculture,2018,92.4258804428,E
297,Ratio between rainfed and irrigated yields,1966,1.778,I
298,Ratio between rainfed and irrigated yields,1971,1.778,I
299,Ratio between rainfed and irrigated yields,1976,1.778,I
300,Ratio between rainfed and irrigated yields,1981,1.778,I
301,Ratio between rainfed and irrigated yields,1986,1.778,I
302,Ratio between rainfed and irrigated yields,1991,1.778,I
303,Ratio between rainfed and irrigated yields,1996,1.778,I
304,Ratio between rainfed and irrigated yields,2001,1.778,I
305,Ratio between rainfed and irrigated yields,2007,1.778,I
306,Ratio between rainfed and irrigated yields,2011,1.778,I
307,Ratio between rainfed and irrigated yields,2017,1.778,I
308,Ratio between rainfed and irrigated yields,2018,1.778,I
309,Agricultural water withdrawal as % of total renewable water resources,1992,122.4137931034,I
310,Agricultural water withdrawal as % of total renewable water resources,1997,137.5,I
311,Agricultural water withdrawal as % of total renewable water resources,2002,140.3448275862,I
312,Agricultural water withdrawal as % of total renewable water resources,2007,129.9059561129,I
313,Agricultural water withdrawal as % of total renewable water resources,2012,120.736677116,I
314,Agricultural water withdrawal as % of total renewable water resources,2017,124.7413793103,I
315,Agricultural water withdrawal as % of total renewable water resources,2018,124.7413793103,I
316,Agricultural water withdrawal,1992,0.142,I
317,Agricultural water withdrawal,1997,0.1595,I
318,Agricultural water withdrawal,2002,0.1628,I
319,Agricultural water withdrawal,2007,0.1506909091,I
320,Agricultural water withdrawal,2012,0.1400545455,I
321,Agricultural water withdrawal,2017,0.1447,I
322,Agricultural water withdrawal,2018,0.1447,I
323,Irrigation water requirement,2002,0.04,I
324,Irrigation water requirement,2007,0.04,I
325,Irrigation water requirement,2012,0.04,I
326,Irrigation water requirement,2017,0.04,I
327,Irrigation water requirement,2018,0.04,I
328,Municipal water withdrawal,1992,0.1069076923,I
329,Municipal water withdrawal,1997,0.1391769231,I
330,Municipal water withdrawal,2002,0.1714461538,I
331,Municipal water withdrawal,2007,0.2126636364,I
332,Municipal water withdrawal,2012,0.2561181818,I
333,Municipal water withdrawal,2017,0.2756,I
334,Municipal water withdrawal,2018,0.2756,I
335,Industrial water withdrawal,1992,0.0115846154,I
336,Industrial water withdrawal,1997,0.0155461538,I
337,Industrial water withdrawal,2002,0.0195076923,I
338,Industrial water withdrawal,2007,0.0199363636,I
339,Industrial water withdrawal,2012,0.0194818182,I
340,Industrial water withdrawal,2017,0.0141,I
341,Industrial water withdrawal,2018,0.0141,I
342,Total water withdrawal,1992,0.2604923077,E
343,Total water withdrawal,1997,0.3142230769,E
344,Total water withdrawal,2002,0.3537538462,E
345,Total water withdrawal,2007,0.3832909091,I
346,Total water withdrawal,2012,0.4156545455,I
347,Total water withdrawal,2017,0.4344,I
348,Total water withdrawal,2018,0.4344,I
349,Fresh surface water withdrawal,2007,0.0,I
350,Fresh surface water withdrawal,2012,0.0,I
351,Fresh surface water withdrawal,2017,0.0,I
352,Fresh surface water withdrawal,2018,0.0,I
353,Fresh groundwater withdrawal,2007,0.2170272727,I
354,Fresh groundwater withdrawal,2012,0.1899363636,I
355,Fresh groundwater withdrawal,2017,0.1551,I
356,Fresh groundwater withdrawal,2018,0.1551,I
357,Total freshwater withdrawal,1992,0.2077673077,E
358,Total freshwater withdrawal,1997,0.2583730769,E
359,Total freshwater withdrawal,2002,0.2559121795,E
360,Total freshwater withdrawal,2007,0.2170272727,I
361,Total freshwater withdrawal,2012,0.1899363636,I
362,Total freshwater withdrawal,2017,0.1551,I
363,Total freshwater withdrawal,2018,0.1551,I
364,Desalinated water produced,1992,0.0441,I
365,Desalinated water produced,1997,0.0441,I
366,Desalinated water produced,2002,0.0829666667,I
367,Desalinated water produced,2007,0.1448727273,I
368,Desalinated water produced,2012,0.1979636364,I
369,Desalinated water produced,2017,0.2419,I
370,Desalinated water produced,2018,0.2419,I
371,Direct use of treated municipal wastewater,1992,0.008625,I
372,Direct use of treated municipal wastewater,1997,0.01175,I
373,Direct use of treated municipal wastewater,2002,0.014875,I
374,Direct use of treated municipal wastewater,2007,0.0162142857,I
375,Direct use of treated municipal wastewater,2012,0.016,OF
376,Direct use of treated municipal wastewater,2017,0.0392,I
377,Direct use of treated municipal wastewater,2018,0.0392,I
378,Produced municipal wastewater,1992,0.0514166667,I
379,Produced municipal wastewater,1997,0.084,OF
380,Produced municipal wastewater,2002,0.1079285714,I
381,Produced municipal wastewater,2007,0.1318571429,I
382,Produced municipal wastewater,2012,0.151,I
383,Produced municipal wastewater,2017,0.151,I
384,Produced municipal wastewater,2018,0.151,I
386,Collected municipal wastewater,2002,0.0765714286,I
387,Collected municipal wastewater,2007,0.0901428571,I
388,Collected municipal wastewater,2012,0.1168666667,I
389,Collected municipal wastewater,2017,0.1482,I
390,Collected municipal wastewater,2018,0.1482,I
391,Not treated municipal wastewater,2012,0.072,I
392,Not treated municipal wastewater,2017,0.072,I
393,Not treated municipal wastewater,2018,0.072,I
394,Treated municipal wastewater,1992,0.0479333333,I
395,Treated municipal wastewater,1997,0.056,OF
396,Treated municipal wastewater,2002,0.0596875,I
397,Treated municipal wastewater,2007,0.0676,I
398,Treated municipal wastewater,2012,0.076,OF
399,Treated municipal wastewater,2017,0.1482,I
400,Treated municipal wastewater,2018,0.1482,I
401,Treated municipal wastewater discharged (secondary water),1992,0.0379333333,I
402,Treated municipal wastewater discharged (secondary water),1997,0.0415272727,I
403,Treated municipal wastewater discharged (secondary water),2002,0.0440727273,I
404,Treated municipal wastewater discharged (secondary water),2007,0.0497142857,I
405,Treated municipal wastewater discharged (secondary water),2011,0.0579428571,I
406,Treated municipal wastewater discharged (secondary water),2017,0.06,I
407,Treated municipal wastewater discharged (secondary water),2018,0.06,I
408,SDG 6.4.2. Water Stress,1992,179.1097480106,E
409,SDG 6.4.2. Water Stress,1997,222.7354111406,E
410,SDG 6.4.2. Water Stress,2002,220.6139478338,E
411,SDG 6.4.2. Water Stress,2007,187.092476489,I
412,SDG 6.4.2. Water Stress,2012,163.7382445141,I
413,SDG 6.4.2. Water Stress,2017,133.7068965517,I
414,SDG 6.4.2. Water Stress,2018,133.7068965517,I
415,SDG 6.4.1. Water Use Efficiency,2015,71.8099759107,I
416,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.657174681,E
417,SDG 6.4.1. Industrial Water Use Efficiency,2015,846.5016366434,E
418,SDG 6.4.1. Services Water Use Efficiency,2015,67.2888892416,E
419,Area salinized by irrigation,1997,1.065,I
420,Area salinized by irrigation,2002,1.065,I
421,Area salinized by irrigation,2007,1.065,I
422,Area salinized by irrigation,2012,1.065,I
423,Area salinized by irrigation,2017,1.065,I
424,Area salinized by irrigation,2018,1.065,I
425,Area waterlogged by irrigation,1997,1.86,I
426,Area waterlogged by irrigation,2002,1.86,I
427,Area waterlogged by irrigation,2007,1.86,I
428,Area waterlogged by irrigation,2012,1.86,I
429,Area waterlogged by irrigation,2017,1.86,I
430,Area waterlogged by irrigation,2018,1.86,I
431,Harvested irrigated temporary crop area: Vegetables,1997,1.0275,I
432,Harvested irrigated temporary crop area: Vegetables,2002,1.015,I
433,Harvested irrigated temporary crop area: Vegetables,2007,1.015,I
434,Harvested irrigated temporary crop area: Vegetables,2012,1.015,I
435,Harvested irrigated temporary crop area: Vegetables,2017,1.015,I
436,Harvested irrigated temporary crop area: Vegetables,2018,1.015,I
437,Harvested irrigated temporary crop area: Fodder,1997,0.6165,I
438,Harvested irrigated temporary crop area: Fodder,2002,0.79,I
439,Harvested irrigated temporary crop area: Fodder,2007,0.79,I
440,Harvested irrigated temporary crop area: Fodder,2012,0.79,I
441,Harvested irrigated temporary crop area: Fodder,2017,0.79,I
442,Harvested irrigated temporary crop area: Fodder,2018,0.79,I
443,Harvested irrigated permanent crop area: Other crops,1997,1.946,I
444,Harvested irrigated permanent crop area: Other crops,2002,2.21,I
445,Harvested irrigated permanent crop area: Other crops,2007,2.21,I
446,Harvested irrigated permanent crop area: Other crops,2012,2.21,I
447,Harvested irrigated permanent crop area: Other crops,2017,2.21,I
448,Harvested irrigated permanent crop area: Other crops,2018,2.21,I
