Indonesia,Variable Name,Year,Value,Symbol
312,Ratio between rainfed and irrigated yields,1992,1.614,E
313,Ratio between rainfed and irrigated yields,1997,1.614,E
314,Ratio between rainfed and irrigated yields,2002,1.614,E
315,Ratio between rainfed and irrigated yields,2007,1.614,I
316,Ratio between rainfed and irrigated yields,2012,1.614,E
317,Ratio between rainfed and irrigated yields,2017,1.614,I
318,Ratio between rainfed and irrigated yields,2018,1.614,I
319,Agricultural water withdrawal as % of total renewable water resources,1992,3.6629514044,I
320,Agricultural water withdrawal as % of total renewable water resources,1997,4.2455045326,I
321,Agricultural water withdrawal as % of total renewable water resources,2002,5.2442519585,I
322,Agricultural water withdrawal as % of total renewable water resources,2007,6.8672908307,I
323,Agricultural water withdrawal as % of total renewable water resources,2012,8.490329703,I
324,Agricultural water withdrawal as % of total renewable water resources,2017,9.3971367712,I
325,Agricultural water withdrawal as % of total renewable water resources,2018,9.3971367712,I
326,Agricultural water withdrawal,1992,73.944,I
327,Agricultural water withdrawal,1997,85.704,I
328,Agricultural water withdrawal,2002,105.8657142857,I
329,Agricultural water withdrawal,2007,138.63,I
330,Agricultural water withdrawal,2012,171.3942857143,I
331,Agricultural water withdrawal,2017,189.7,I
332,Agricultural water withdrawal,2018,189.7,I
333,Irrigation water requirement,2007,47.42,I
334,Irrigation water requirement,2012,47.42,I
335,Irrigation water requirement,2017,47.42,I
336,Irrigation water requirement,2018,47.42,I
337,Irrigation water withdrawal,2017,177.1,I
338,Irrigation water withdrawal,2018,177.1,I
339,Municipal water withdrawal,1992,6.4092,I
340,Municipal water withdrawal,1997,10.6097,I
341,Municipal water withdrawal,2002,13.474,I
342,Municipal water withdrawal,2007,15.7736363636,I
343,Municipal water withdrawal,2012,20.2327272727,I
344,Municipal water withdrawal,2017,23.8,I
345,Municipal water withdrawal,2018,23.8,I
346,Industrial water withdrawal,1992,1.7804,I
347,Industrial water withdrawal,1997,5.2914,I
348,Industrial water withdrawal,2002,14.2988,I
349,Industrial water withdrawal,2007,21.8290909091,I
350,Industrial water withdrawal,2012,14.7768181818,I
351,Industrial water withdrawal,2017,9.135,I
352,Industrial water withdrawal,2018,9.135,I
353,Total water withdrawal,1992,82.1336,I
354,Total water withdrawal,1997,101.6051,I
355,Total water withdrawal,2002,133.6385142857,E
356,Total water withdrawal,2007,176.2327272727,E
357,Total water withdrawal,2012,206.4038311688,E
358,Total water withdrawal,2017,222.635,I
359,Total water withdrawal,2018,222.635,I
360,Fresh surface water withdrawal,2002,107.2052634193,I
361,Fresh surface water withdrawal,2007,136.0684219674,I
362,Fresh surface water withdrawal,2012,164.9315805156,I
363,Fresh surface water withdrawal,2017,188.0221073541,I
364,Fresh surface water withdrawal,2018,188.0221073541,I
365,Fresh groundwater withdrawal,2002,19.7353615807,I
366,Fresh groundwater withdrawal,2007,25.0487655326,I
367,Fresh groundwater withdrawal,2012,30.3621694844,I
368,Fresh groundwater withdrawal,2017,34.6128926459,I
369,Fresh groundwater withdrawal,2018,34.6128926459,I
370,Total freshwater withdrawal,1992,82.11504,I
371,Total freshwater withdrawal,1997,101.58619,E
372,Total freshwater withdrawal,2002,126.940625,I
373,Total freshwater withdrawal,2007,161.1171875,I
374,Total freshwater withdrawal,2012,195.29375,I
375,Total freshwater withdrawal,2017,222.635,I
376,Total freshwater withdrawal,2018,222.635,I
377,Desalinated water produced,1992,0.01876,I
378,Desalinated water produced,1997,0.01891,I
379,Desalinated water produced,2002,0.019,I
380,Desalinated water produced,2007,0.019,I
381,Desalinated water produced,2012,0.019,I
382,Desalinated water produced,2017,0.019,I
383,Desalinated water produced,2018,0.019,I
384,Produced municipal wastewater,2002,3.707,OF
385,Produced municipal wastewater,2007,7.524375,I
386,Produced municipal wastewater,2011,12.936875,I
387,Produced municipal wastewater,2017,14.29,I
388,Produced municipal wastewater,2018,14.29,I
401,SDG 6.4.2. Water Stress,1992,10.9530532213,E
402,SDG 6.4.2. Water Stress,1997,13.5503388022,E
403,SDG 6.4.2. Water Stress,2002,16.9321895425,E
404,SDG 6.4.2. Water Stress,2007,21.4908880219,E
405,SDG 6.4.2. Water Stress,2012,26.0495865013,E
406,SDG 6.4.2. Water Stress,2017,29.6965452848,E
407,SDG 6.4.2. Water Stress,2018,29.6965452848,E
408,SDG 6.4.1. Water Use Efficiency,2007,2.8922130953,I
409,SDG 6.4.1. Water Use Efficiency,2009,2.93406964,I
410,SDG 6.4.1. Water Use Efficiency,2015,3.4622734925,I
411,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.2166651347,E
412,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2009,0.2327206941,E
413,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.2460449431,E
414,SDG 6.4.1. Industrial Water Use Efficiency,1992,60.908071039,E
415,SDG 6.4.1. Industrial Water Use Efficiency,1997,32.4403582381,E
416,SDG 6.4.1. Industrial Water Use Efficiency,2002,11.7625854926,E
417,SDG 6.4.1. Industrial Water Use Efficiency,2007,10.6094263306,E
418,SDG 6.4.1. Industrial Water Use Efficiency,2009,13.7655938517,E
419,SDG 6.4.1. Industrial Water Use Efficiency,2015,31.7121465517,E
420,SDG 6.4.1. Services Water Use Efficiency,1992,23.1371701771,E
421,SDG 6.4.1. Services Water Use Efficiency,1997,19.0600620911,E
422,SDG 6.4.1. Services Water Use Efficiency,2002,14.4288306008,E
423,SDG 6.4.1. Services Water Use Efficiency,2007,15.7270128739,E
424,SDG 6.4.1. Services Water Use Efficiency,2009,14.5533873687,E
425,SDG 6.4.1. Services Water Use Efficiency,2015,16.7260327791,E
426,Area salinized by irrigation,2002,400.0,I
427,Area salinized by irrigation,2007,400.0,I
428,Area salinized by irrigation,2012,400.0,I
429,Area salinized by irrigation,2017,400.0,I
430,Area salinized by irrigation,2018,400.0,I
431,Area waterlogged by irrigation,1987,2150.0,OF
432,Area waterlogged by irrigation,1992,2150.0,I
433,Area waterlogged by irrigation,1997,2150.0,I
434,Area waterlogged by irrigation,2002,2150.0,I
435,Area waterlogged by irrigation,2007,2150.0,I
436,Area waterlogged by irrigation,2012,2150.0,I
437,Area waterlogged by irrigation,2017,2150.0,I
438,Area waterlogged by irrigation,2018,2150.0,I
439,Harvested irrigated temporary crop area: Rice,2007,10734.0,I
440,Harvested irrigated temporary crop area: Rice,2012,10734.0,I
441,Harvested irrigated temporary crop area: Rice,2017,10734.0,I
442,Harvested irrigated temporary crop area: Rice,2018,10734.0,I
443,Harvested irrigated temporary crop area: Maize,2007,1269.0,I
444,Harvested irrigated temporary crop area: Maize,2012,1269.0,I
445,Harvested irrigated temporary crop area: Maize,2017,1269.0,I
446,Harvested irrigated temporary crop area: Maize,2018,1269.0,I
447,Harvested irrigated temporary crop area: Potatoes,2007,65.42,I
448,Harvested irrigated temporary crop area: Potatoes,2012,65.42,I
449,Harvested irrigated temporary crop area: Potatoes,2017,65.42,I
450,Harvested irrigated temporary crop area: Potatoes,2018,65.42,I
451,Harvested irrigated temporary crop area: Sweet potatoes,2007,178.3,I
452,Harvested irrigated temporary crop area: Sweet potatoes,2012,178.3,I
453,Harvested irrigated temporary crop area: Sweet potatoes,2017,178.3,I
454,Harvested irrigated temporary crop area: Sweet potatoes,2018,178.3,I
455,Harvested irrigated temporary crop area: Sugarcane,2007,95.45,I
456,Harvested irrigated temporary crop area: Sugarcane,2012,95.45,I
457,Harvested irrigated temporary crop area: Sugarcane,2017,95.45,I
458,Harvested irrigated temporary crop area: Sugarcane,2018,95.45,I
459,Harvested irrigated temporary crop area: Vegetables,2007,244.4,I
460,Harvested irrigated temporary crop area: Vegetables,2012,244.4,I
461,Harvested irrigated temporary crop area: Vegetables,2017,244.4,I
462,Harvested irrigated temporary crop area: Vegetables,2018,244.4,I
463,Harvested irrigated temporary crop area: Tobacco,2007,198.2,I
464,Harvested irrigated temporary crop area: Tobacco,2012,198.2,I
465,Harvested irrigated temporary crop area: Tobacco,2017,198.2,I
466,Harvested irrigated temporary crop area: Tobacco,2018,198.2,I
467,Harvested irrigated temporary crop area: Soybeans,2007,279.9,I
468,Harvested irrigated temporary crop area: Soybeans,2012,279.9,I
469,Harvested irrigated temporary crop area: Soybeans,2017,279.9,I
470,Harvested irrigated temporary crop area: Soybeans,2018,279.9,I
471,Harvested irrigated temporary crop area: Groundnuts,2007,324.0,I
472,Harvested irrigated temporary crop area: Groundnuts,2012,324.0,I
473,Harvested irrigated temporary crop area: Groundnuts,2017,324.0,I
474,Harvested irrigated temporary crop area: Groundnuts,2018,324.0,I
