Denmark,Variable Name,Year,Value,Symbol
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.0484,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.0484,I
69,Gross Domestic Product (GDP),1962,7812968114.0,X
70,Gross Domestic Product (GDP),1967,12788479692.0,X
71,Gross Domestic Product (GDP),1972,23232439760.0,X
72,Gross Domestic Product (GDP),1977,49784350833.0,X
73,Gross Domestic Product (GDP),1982,60412544146.0,X
74,Gross Domestic Product (GDP),1987,109414086580.0,X
75,Gross Domestic Product (GDP),1992,152914779881.0,X
76,Gross Domestic Product (GDP),1997,173538660938.0,X
77,Gross Domestic Product (GDP),2002,178634839746.0,X
78,Gross Domestic Product (GDP),2007,319423321236.0,X
79,Gross Domestic Product (GDP),2012,327148899962.0,X
80,Gross Domestic Product (GDP),2016,313115896930.0,X
81,GDP per capita,1972,4655.290175,X
82,GDP per capita,1977,9767.296705,X
83,GDP per capita,1982,11791.612117,X
84,GDP per capita,1987,21381.310134,X
85,GDP per capita,1992,29567.890302,X
86,GDP per capita,1997,32881.425477,X
87,GDP per capita,2002,33247.991084,X
88,GDP per capita,2007,58395.947397,X
89,GDP per capita,2012,58308.452118,X
90,GDP per capita,2017,57454.289221,X
91,GDP per capita,2018,61809.750887,X
92,"Agriculture, value added (% GDP)",1972,4.786032,X
93,"Agriculture, value added (% GDP)",1977,4.663644,X
94,"Agriculture, value added (% GDP)",1982,4.652512,X
95,"Agriculture, value added (% GDP)",1987,3.451506,X
96,"Agriculture, value added (% GDP)",1992,2.791832,X
97,"Agriculture, value added (% GDP)",1997,2.637138,X
98,"Agriculture, value added (% GDP)",2002,1.781147,X
99,"Agriculture, value added (% GDP)",2007,1.1744,X
100,"Agriculture, value added (% GDP)",2012,1.654721,X
101,"Agriculture, value added (% GDP)",2016,0.961141,X
102,Total population with access to safe drinking-water (JMP),1992,100.0,X
103,Total population with access to safe drinking-water (JMP),1997,100.0,X
104,Total population with access to safe drinking-water (JMP),2002,100.0,X
105,Total population with access to safe drinking-water (JMP),2007,100.0,X
106,Total population with access to safe drinking-water (JMP),2012,100.0,X
107,Total population with access to safe drinking-water (JMP),2017,100.0,I
108,Total population with access to safe drinking-water (JMP),2018,100.0,I
109,Long-term average annual precipitation in volume,1962,30.29227,E
110,Long-term average annual precipitation in volume,1967,30.29227,E
111,Long-term average annual precipitation in volume,1972,30.29227,E
112,Long-term average annual precipitation in volume,1977,30.29227,E
113,Long-term average annual precipitation in volume,1982,30.29227,E
114,Long-term average annual precipitation in volume,1987,30.29227,E
115,Long-term average annual precipitation in volume,1992,30.29227,E
116,Long-term average annual precipitation in volume,1997,30.29227,E
117,Long-term average annual precipitation in volume,2002,30.29227,E
118,Long-term average annual precipitation in volume,2007,30.29227,E
119,Long-term average annual precipitation in volume,2012,30.17276,E
120,Long-term average annual precipitation in volume,2017,30.17276,E
121,Long-term average annual precipitation in volume,2018,30.17276,E
122,Interannual variability (WRI),2017,1.0,I
123,Interannual variability (WRI),2018,1.0,I
124,Seasonal variability (WRI),2017,1.3,I
125,Seasonal variability (WRI),2018,1.3,I
126,Flood occurrence (WRI),2017,0.0,I
127,Flood occurrence (WRI),2018,0.0,I
128,Surface water: entering the country (total),1961,0.0,OF
129,Surface water: entering the country (total),1966,0.0,OF
130,Surface water: entering the country (total),1971,0.0,OF
131,Surface water: entering the country (total),1976,0.0,OF
132,Surface water: entering the country (total),1981,0.0,OF
133,Surface water: entering the country (total),1986,0.0,OF
134,Surface water: entering the country (total),1991,0.0,OF
135,Surface water: entering the country (total),1996,0.0,OF
136,Surface water: entering the country (total),2001,0.0,OF
137,Surface water: entering the country (total),2006,0.0,OF
139,Surface water: entering the country (total),2017,0.0,OF
140,Surface water: leaving the country to other countries (total),1961,0.0,OF
141,Surface water: leaving the country to other countries (total),1966,0.0,OF
142,Surface water: leaving the country to other countries (total),1971,0.0,OF
143,Surface water: leaving the country to other countries (total),1976,0.0,OF
144,Surface water: leaving the country to other countries (total),1981,0.0,OF
145,Surface water: leaving the country to other countries (total),1986,0.0,OF
146,Surface water: leaving the country to other countries (total),1991,0.0,OF
147,Surface water: leaving the country to other countries (total),1996,0.0,OF
148,Surface water: leaving the country to other countries (total),2001,0.0,OF
149,Surface water: leaving the country to other countries (total),2006,0.0,OF
151,Surface water: leaving the country to other countries (total),2017,0.0,OF
152,Groundwater: entering the country (total),1962,0.0,E
153,Groundwater: entering the country (total),1967,0.0,E
154,Groundwater: entering the country (total),1972,0.0,E
155,Groundwater: entering the country (total),1977,0.0,E
156,Groundwater: entering the country (total),1982,0.0,E
157,Groundwater: entering the country (total),1987,0.0,E
158,Groundwater: entering the country (total),1992,0.0,E
159,Groundwater: entering the country (total),1997,0.0,E
160,Groundwater: entering the country (total),2002,0.0,E
161,Groundwater: entering the country (total),2007,0.0,E
162,Groundwater: entering the country (total),2012,0.0,E
163,Groundwater: entering the country (total),2017,0.0,E
164,Dependency ratio,1962,0.0,E
165,Dependency ratio,1967,0.0,E
166,Dependency ratio,1972,0.0,E
167,Dependency ratio,1977,0.0,E
168,Dependency ratio,1982,0.0,E
169,Dependency ratio,1987,0.0,E
170,Dependency ratio,1992,0.0,E
171,Dependency ratio,1997,0.0,E
172,Dependency ratio,2002,0.0,E
173,Dependency ratio,2007,0.0,E
174,Dependency ratio,2012,0.0,E
175,Dependency ratio,2017,0.0,E
176,Dependency ratio,2018,0.0,E
177,Total internal renewable water resources (IRWR),1962,6.0,E
178,Total internal renewable water resources (IRWR),1967,6.0,E
179,Total internal renewable water resources (IRWR),1972,6.0,E
180,Total internal renewable water resources (IRWR),1977,6.0,E
181,Total internal renewable water resources (IRWR),1982,6.0,E
182,Total internal renewable water resources (IRWR),1987,6.0,E
183,Total internal renewable water resources (IRWR),1992,6.0,E
184,Total internal renewable water resources (IRWR),1997,6.0,E
185,Total internal renewable water resources (IRWR),2002,6.0,E
186,Total internal renewable water resources (IRWR),2007,6.0,E
187,Total internal renewable water resources (IRWR),2012,6.0,E
188,Total internal renewable water resources (IRWR),2017,6.0,E
189,Total internal renewable water resources (IRWR),2018,6.0,E
190,Total internal renewable water resources per capita,1962,1290.5040838002,E
191,Total internal renewable water resources per capita,1967,1241.7855883332,E
192,Total internal renewable water resources per capita,1972,1202.2732582768,E
193,Total internal renewable water resources per capita,1977,1177.1526443263,E
194,Total internal renewable water resources per capita,1982,1171.1089757891,E
195,Total internal renewable water resources per capita,1987,1172.4985768798,E
196,Total internal renewable water resources per capita,1992,1160.1713186314,E
197,Total internal renewable water resources per capita,1997,1136.8564894895,E
198,Total internal renewable water resources per capita,2002,1116.7359446218,E
199,Total internal renewable water resources per capita,2007,1096.9079809379,E
200,Total internal renewable water resources per capita,2012,1069.328105507,E
201,Total internal renewable water resources per capita,2017,1046.7050249168,E
202,Total internal renewable water resources per capita,2018,1043.0925887228,E
203,Total renewable surface water,1962,3.7,E
204,Total renewable surface water,1967,3.7,E
205,Total renewable surface water,1972,3.7,E
206,Total renewable surface water,1977,3.7,E
207,Total renewable surface water,1982,3.7,E
208,Total renewable surface water,1987,3.7,E
209,Total renewable surface water,1992,3.7,E
210,Total renewable surface water,1997,3.7,E
211,Total renewable surface water,2002,3.7,E
212,Total renewable surface water,2007,3.7,E
213,Total renewable surface water,2012,3.7,E
214,Total renewable surface water,2017,3.7,E
215,Total renewable surface water,2018,3.7,E
216,Total renewable groundwater,1962,4.3,E
217,Total renewable groundwater,1967,4.3,E
218,Total renewable groundwater,1972,4.3,E
219,Total renewable groundwater,1977,4.3,E
220,Total renewable groundwater,1982,4.3,E
221,Total renewable groundwater,1987,4.3,E
222,Total renewable groundwater,1992,4.3,E
223,Total renewable groundwater,1997,4.3,E
224,Total renewable groundwater,2002,4.3,E
225,Total renewable groundwater,2007,4.3,E
226,Total renewable groundwater,2012,4.3,E
227,Total renewable groundwater,2017,4.3,E
228,Total renewable groundwater,2018,4.3,E
229,Total exploitable water resources,1962,2.0,OF
230,Total exploitable water resources,1967,2.0,OF
231,Total exploitable water resources,1972,2.0,OF
232,Total exploitable water resources,1977,2.0,OF
233,Total exploitable water resources,1982,2.0,OF
234,Total exploitable water resources,1987,2.0,OF
235,Total exploitable water resources,1992,2.0,OF
236,Total exploitable water resources,1997,2.0,OF
237,Total exploitable water resources,2002,2.0,OF
238,Total exploitable water resources,2007,2.0,OF
239,Total exploitable water resources,2012,2.0,OF
240,Water resources: total external renewable,1962,0.0,E
241,Water resources: total external renewable,1967,0.0,E
242,Water resources: total external renewable,1972,0.0,E
243,Water resources: total external renewable,1977,0.0,E
244,Water resources: total external renewable,1982,0.0,E
245,Water resources: total external renewable,1987,0.0,E
246,Water resources: total external renewable,1992,0.0,E
247,Water resources: total external renewable,1997,0.0,E
248,Water resources: total external renewable,2002,0.0,E
249,Water resources: total external renewable,2007,0.0,E
250,Water resources: total external renewable,2012,0.0,E
251,Water resources: total external renewable,2017,0.0,E
252,Water resources: total external renewable,2018,0.0,E
253,Total renewable water resources,1962,6.0,E
254,Total renewable water resources,1967,6.0,E
255,Total renewable water resources,1972,6.0,E
256,Total renewable water resources,1977,6.0,E
257,Total renewable water resources,1982,6.0,E
258,Total renewable water resources,1987,6.0,E
259,Total renewable water resources,1992,6.0,E
260,Total renewable water resources,1997,6.0,E
261,Total renewable water resources,2002,6.0,E
262,Total renewable water resources,2007,6.0,E
263,Total renewable water resources,2012,6.0,E
264,Total renewable water resources,2017,6.0,E
265,Total renewable water resources,2018,6.0,E
266,Total renewable water resources per capita,1962,1290.5040838002,E
267,Total renewable water resources per capita,1967,1241.7855883332,E
268,Total renewable water resources per capita,1972,1202.2732582768,E
269,Total renewable water resources per capita,1977,1177.1526443263,E
270,Total renewable water resources per capita,1982,1171.1089757891,E
271,Total renewable water resources per capita,1987,1172.4985768798,E
272,Total renewable water resources per capita,1992,1160.1713186314,E
273,Total renewable water resources per capita,1997,1136.8564894895,E
274,Total renewable water resources per capita,2002,1116.7359446218,E
275,Total renewable water resources per capita,2007,1096.9079809379,E
276,Total renewable water resources per capita,2012,1069.328105507,E
277,Total renewable water resources per capita,2017,1046.7050249168,E
278,Total renewable water resources per capita,2018,1043.0925887228,E
279,Total agricultural water managed area,1992,445.5,I
280,Total agricultural water managed area,1997,476.0,E
281,Total agricultural water managed area,2002,448.1666666667,I
282,Total agricultural water managed area,2003,448.8,E
283,Total agricultural water managed area,2012,452.8,I
284,Area equipped for irrigation: total,1992,445.5,I
285,Area equipped for irrigation: total,1997,476.0,E
286,Area equipped for irrigation: total,2002,448.1666666667,I
287,Area equipped for irrigation: total,2003,448.8,E
288,Area equipped for irrigation: total,2012,452.8,I
289,% of agricultural GVA produced by irrigated agriculture,2007,17.9946483233,E
290,% of agricultural GVA produced by irrigated agriculture,2012,17.2327710166,E
291,% of agricultural GVA produced by irrigated agriculture,2015,10.3943916462,E
293,Ratio between rainfed and irrigated yields,1966,1.778,I
294,Ratio between rainfed and irrigated yields,1971,1.778,I
295,Ratio between rainfed and irrigated yields,1976,1.778,I
296,Ratio between rainfed and irrigated yields,1981,1.778,I
297,Ratio between rainfed and irrigated yields,1986,1.778,I
298,Ratio between rainfed and irrigated yields,1991,1.778,I
299,Ratio between rainfed and irrigated yields,1996,1.778,I
300,Ratio between rainfed and irrigated yields,2001,1.778,I
301,Ratio between rainfed and irrigated yields,2007,1.778,I
302,Ratio between rainfed and irrigated yields,2011,1.778,I
303,Ratio between rainfed and irrigated yields,2017,1.778,I
304,Ratio between rainfed and irrigated yields,2018,1.778,I
305,Agricultural water withdrawal as % of total renewable water resources,1972,4.8666666667,I
306,Agricultural water withdrawal as % of total renewable water resources,1977,7.6666666667,I
307,Agricultural water withdrawal as % of total renewable water resources,1982,9.2666666667,I
308,Agricultural water withdrawal as % of total renewable water resources,1987,9.4788888889,I
309,Agricultural water withdrawal as % of total renewable water resources,1992,6.6166666667,I
310,Agricultural water withdrawal as % of total renewable water resources,1997,6.15,E
311,Agricultural water withdrawal as % of total renewable water resources,2002,2.7533333333,E
312,Agricultural water withdrawal as % of total renewable water resources,2007,1.9583333333,E
313,Agricultural water withdrawal as % of total renewable water resources,2012,3.105,E
314,Agricultural water withdrawal as % of total renewable water resources,2015,6.46,E
315,Agricultural water withdrawal,1972,0.292,I
316,Agricultural water withdrawal,1977,0.46,I
317,Agricultural water withdrawal,1982,0.556,I
318,Agricultural water withdrawal,1987,0.5687333333,I
319,Agricultural water withdrawal,1992,0.397,I
320,Agricultural water withdrawal,1997,0.369,X
321,Agricultural water withdrawal,2001,0.1791,I
322,Agricultural water withdrawal,2006,0.2352,X
323,Agricultural water withdrawal,2012,0.1863,X
324,Agricultural water withdrawal,2015,0.3876,OF
325,Irrigation water requirement,2012,0.0509,I
326,Irrigation water requirement,2017,0.0509,I
327,Irrigation water requirement,2018,0.0509,I
328,Irrigation water withdrawal,1972,0.099,I
329,Irrigation water withdrawal,1977,0.09,I
330,Irrigation water withdrawal,1982,0.29,I
331,Irrigation water withdrawal,1987,0.5,I
332,Irrigation water withdrawal,1992,0.3343142857,I
333,Irrigation water withdrawal,1997,0.2576,I
334,Irrigation water withdrawal,2002,0.1808857143,I
335,Irrigation water withdrawal,2006,0.1727,X
336,Irrigation water withdrawal,2012,0.097,X
337,Municipal water withdrawal,1972,0.556,I
338,Municipal water withdrawal,1977,0.7,I
339,Municipal water withdrawal,1982,0.68984,I
340,Municipal water withdrawal,1987,0.4588666667,I
341,Municipal water withdrawal,1992,0.5493,I
342,Municipal water withdrawal,1997,0.49505,I
343,Municipal water withdrawal,2002,0.4408,X
344,Municipal water withdrawal,2007,0.411,X
345,Municipal water withdrawal,2012,0.4012,X
346,Municipal water withdrawal,2014,0.3964,X
347,Industrial water withdrawal,1972,0.066,I
348,Industrial water withdrawal,1977,0.045,I
349,Industrial water withdrawal,1982,0.159,I
350,Industrial water withdrawal,1987,0.3206,I
351,Industrial water withdrawal,1992,0.1978166667,I
352,Industrial water withdrawal,1997,0.1298583333,I
353,Industrial water withdrawal,2002,0.0619,X
354,Industrial water withdrawal,2007,0.0423,X
355,Industrial water withdrawal,2012,0.128,X
356,Industrial water withdrawal,2015,0.0349,OF
357,Total water withdrawal,1972,0.914,I
358,Total water withdrawal,1977,1.205,I
359,Total water withdrawal,1982,1.405,I
360,Total water withdrawal,1987,1.3483333333,I
361,Total water withdrawal,1992,1.1441166667,E
362,Total water withdrawal,1997,0.9325,X
363,Total water withdrawal,2002,0.6679,E
364,Total water withdrawal,2007,0.5708,E
365,Total water withdrawal,2012,0.7155,E
366,Total water withdrawal,2014,0.8156333333,E
367,Fresh surface water withdrawal,1977,0.045,I
368,Fresh surface water withdrawal,1982,0.0524688797,I
369,Fresh surface water withdrawal,1987,0.0499792531,I
370,Fresh surface water withdrawal,1992,0.0310737667,I
371,Fresh surface water withdrawal,1997,0.016,X
372,Fresh surface water withdrawal,2002,0.0184,X
373,Fresh surface water withdrawal,2007,0.0034,X
374,Fresh surface water withdrawal,2012,0.1068,X
375,Fresh surface water withdrawal,2015,0.1725,OF
376,Fresh groundwater withdrawal,1972,0.896,I
377,Fresh groundwater withdrawal,1977,1.16,I
378,Fresh groundwater withdrawal,1982,1.3525311203,I
379,Fresh groundwater withdrawal,1987,1.2883540802,I
380,Fresh groundwater withdrawal,1992,1.1582857143,I
381,Fresh groundwater withdrawal,1996,0.9528571429,I
382,Fresh groundwater withdrawal,2001,0.6883,I
383,Fresh groundwater withdrawal,2006,0.5825,I
384,Fresh groundwater withdrawal,2012,0.6217,X
385,Fresh groundwater withdrawal,2015,0.6393,OF
386,Total freshwater withdrawal,1972,0.914,I
387,Total freshwater withdrawal,1977,1.205,I
388,Total freshwater withdrawal,1982,1.405,I
389,Total freshwater withdrawal,1987,1.3383333333,I
390,Total freshwater withdrawal,1992,1.189359481,E
391,Total freshwater withdrawal,1997,0.9175,E
392,Total freshwater withdrawal,2002,0.6534,E
393,Total freshwater withdrawal,2007,0.5554,E
394,Total freshwater withdrawal,2012,0.7285,X
395,Total freshwater withdrawal,2015,0.8118,OF
396,Desalinated water produced,1992,0.015,I
397,Desalinated water produced,1997,0.015,E
398,Desalinated water produced,2002,0.015,I
399,Desalinated water produced,2007,0.015,E
400,Desalinated water produced,2012,0.015,I
401,Desalinated water produced,2017,0.015,I
402,Desalinated water produced,2018,0.015,I
404,Collected municipal wastewater,2010,0.24,OF
417,SDG 6.4.2. Water Stress,1972,24.7160627366,E
418,SDG 6.4.2. Water Stress,1977,32.585181179,E
419,SDG 6.4.2. Water Stress,1982,37.9935100054,E
420,SDG 6.4.2. Water Stress,1987,36.1907337299,E
421,SDG 6.4.2. Water Stress,1992,32.1622358301,E
422,SDG 6.4.2. Water Stress,1997,24.8107084911,E
423,SDG 6.4.2. Water Stress,2002,17.6690102758,E
424,SDG 6.4.2. Water Stress,2007,15.0189291509,E
425,SDG 6.4.2. Water Stress,2012,19.6998377501,E
426,SDG 6.4.2. Water Stress,2015,21.9524067063,E
427,SDG 6.4.1. Water Use Efficiency,2006,351.9748015149,I
428,SDG 6.4.1. Water Use Efficiency,2008,362.139396248,I
429,SDG 6.4.1. Water Use Efficiency,2015,320.3485058991,I
430,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2006,2.5968439393,E
431,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2008,1.7848342899,E
432,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.7772665012,E
433,SDG 6.4.1. Industrial Water Use Efficiency,1972,523.5431324529,E
434,SDG 6.4.1. Industrial Water Use Efficiency,1977,759.8916801496,E
435,SDG 6.4.1. Industrial Water Use Efficiency,1982,215.835317597,E
436,SDG 6.4.1. Industrial Water Use Efficiency,1987,128.3594393099,E
437,SDG 6.4.1. Industrial Water Use Efficiency,1992,208.5574919515,E
438,SDG 6.4.1. Industrial Water Use Efficiency,1997,367.287403205,E
439,SDG 6.4.1. Industrial Water Use Efficiency,2002,880.3992078347,E
440,SDG 6.4.1. Industrial Water Use Efficiency,2006,1337.2968637221,E
441,SDG 6.4.1. Industrial Water Use Efficiency,2008,1578.7512488176,E
442,SDG 6.4.1. Industrial Water Use Efficiency,2015,1548.7005327507,E
443,SDG 6.4.1. Services Water Use Efficiency,1972,150.5689549745,E
444,SDG 6.4.1. Services Water Use Efficiency,1977,136.4544976097,E
445,SDG 6.4.1. Services Water Use Efficiency,1982,152.3342355712,E
446,SDG 6.4.1. Services Water Use Efficiency,1987,263.8504086136,E
447,SDG 6.4.1. Services Water Use Efficiency,1992,245.5540953669,E
448,SDG 6.4.1. Services Water Use Efficiency,1997,308.520627857,E
449,SDG 6.4.1. Services Water Use Efficiency,2002,384.701641807,E
450,SDG 6.4.1. Services Water Use Efficiency,2006,443.4156307574,E
451,SDG 6.4.1. Services Water Use Efficiency,2008,464.7784208809,E
452,Harvested irrigated temporary crop area: Wheat,2007,27.2,I
453,Harvested irrigated temporary crop area: Wheat,2012,34.0,I
454,Harvested irrigated temporary crop area: Wheat,2017,34.0,I
455,Harvested irrigated temporary crop area: Wheat,2018,34.0,I
456,Harvested irrigated temporary crop area: Barley,2012,41.1,I
457,Harvested irrigated temporary crop area: Barley,2017,41.1,I
458,Harvested irrigated temporary crop area: Barley,2018,41.1,I
459,Harvested irrigated temporary crop area: Other cereals,2012,7.2,I
460,Harvested irrigated temporary crop area: Other cereals,2017,7.2,I
461,Harvested irrigated temporary crop area: Other cereals,2018,7.2,I
462,Harvested irrigated temporary crop area: Potatoes,2007,24.11,I
463,Harvested irrigated temporary crop area: Potatoes,2012,25.0,I
464,Harvested irrigated temporary crop area: Potatoes,2017,25.0,I
465,Harvested irrigated temporary crop area: Potatoes,2018,25.0,I
466,Harvested irrigated temporary crop area: Sugar beet,2007,29.6,I
467,Harvested irrigated temporary crop area: Sugar beet,2012,37.0,I
468,Harvested irrigated temporary crop area: Sugar beet,2017,37.0,I
469,Harvested irrigated temporary crop area: Sugar beet,2018,37.0,I
470,Harvested irrigated temporary crop area: Leguminous crops,2012,24.0,I
471,Harvested irrigated temporary crop area: Leguminous crops,2017,24.0,I
472,Harvested irrigated temporary crop area: Leguminous crops,2018,24.0,I
473,Harvested irrigated temporary crop area: Vegetables,2012,6.0,I
474,Harvested irrigated temporary crop area: Vegetables,2017,6.0,I
475,Harvested irrigated temporary crop area: Vegetables,2018,6.0,I
476,Harvested irrigated permanent crop area: Citrus,2007,0.0,I
477,Harvested irrigated permanent crop area: Citrus,2012,0.0,I
478,Harvested irrigated permanent crop area: Citrus,2017,0.0,I
479,Harvested irrigated permanent crop area: Citrus,2018,0.0,I
480,Harvested irrigated temporary crop area: Fodder,2007,72.114,I
481,Harvested irrigated temporary crop area: Fodder,2012,74.8,I
482,Harvested irrigated temporary crop area: Fodder,2017,74.8,I
483,Harvested irrigated temporary crop area: Fodder,2018,74.8,I
484,Harvested irrigated temporary crop area: Soybeans,2007,0.0,I
485,Harvested irrigated temporary crop area: Soybeans,2012,0.0,I
486,Harvested irrigated temporary crop area: Soybeans,2017,0.0,I
487,Harvested irrigated temporary crop area: Soybeans,2018,0.0,I
488,Harvested irrigated temporary crop area: Sunflower,2007,0.0,I
489,Harvested irrigated temporary crop area: Sunflower,2012,0.0,I
490,Harvested irrigated temporary crop area: Sunflower,2017,0.0,I
491,Harvested irrigated temporary crop area: Sunflower,2018,0.0,I
492,Harvested irrigated temporary crop area: Other crops,2012,5.0,I
493,Harvested irrigated temporary crop area: Other crops,2017,5.0,I
494,Harvested irrigated temporary crop area: Other crops,2018,5.0,I
495,Harvested irrigated permanent crop area: Other crops,2007,0.96,I
496,Harvested irrigated permanent crop area: Other crops,2012,0.96,I
497,Harvested irrigated permanent crop area: Other crops,2017,0.96,I
498,Harvested irrigated permanent crop area: Other crops,2018,0.96,I
