Philippines,Variable Name,Year,Value,Symbol
88,GDP per capita,1997,1248.669255,X
89,GDP per capita,2002,1000.068814,X
90,GDP per capita,2007,1672.685731,X
91,GDP per capita,2012,2581.81887,X
92,GDP per capita,2017,2989.185417,X
93,GDP per capita,2018,3106.78539,X
94,"Agriculture, value added (% GDP)",1962,26.86,X
95,"Agriculture, value added (% GDP)",1967,27.37,X
96,"Agriculture, value added (% GDP)",1972,25.64957,X
97,"Agriculture, value added (% GDP)",1977,25.011971,X
98,"Agriculture, value added (% GDP)",1982,20.334991,X
99,"Agriculture, value added (% GDP)",1987,20.910825,X
100,"Agriculture, value added (% GDP)",1992,19.004807,X
101,"Agriculture, value added (% GDP)",1997,16.436785,X
102,"Agriculture, value added (% GDP)",2002,13.145587,X
103,"Agriculture, value added (% GDP)",2007,12.496736,X
104,"Agriculture, value added (% GDP)",2012,11.833706,X
105,"Agriculture, value added (% GDP)",2017,9.663523,X
106,"Agriculture, value added (% GDP)",2018,9.28435,X
107,"Agriculture, value added to GDP",1962,1181694734.0,X
108,"Agriculture, value added to GDP",1967,1863547162.0,X
109,"Agriculture, value added to GDP",1969,2515704077.0,X
110,Number of people undernourished (3-year average),1992,16700.0,X
111,Number of people undernourished (3-year average),1997,16800.0,X
112,Number of people undernourished (3-year average),2001,15900.0,X
113,Number of people undernourished (3-year average),2003,15000.0,X
114,Number of people undernourished (3-year average),2010,11800.0,X
115,Prevalence of undernourishment (3-year average),1992,26.3,X
116,Prevalence of undernourishment (3-year average),1997,23.6,X
117,Prevalence of undernourishment (3-year average),2001,20.4,X
118,Prevalence of undernourishment (3-year average),2010,12.8,X
119,Total population with access to safe drinking-water (JMP),1992,84.5,X
120,Total population with access to safe drinking-water (JMP),1997,86.1,X
121,Total population with access to safe drinking-water (JMP),2002,87.7,X
122,Total population with access to safe drinking-water (JMP),2007,89.2,X
123,Total population with access to safe drinking-water (JMP),2012,90.8,X
124,Total population with access to safe drinking-water (JMP),2017,91.8,I
125,Total population with access to safe drinking-water (JMP),2018,91.8,I
126,Population affected by water related disease,2002,866.4,I
127,Population affected by water related disease,2007,866.4,I
128,Population affected by water related disease,2012,866.4,I
129,Population affected by water related disease,2017,866.4,I
130,Population affected by water related disease,2018,866.4,I
131,Long-term average annual precipitation in volume,1962,704.4,E
132,Long-term average annual precipitation in volume,1967,704.4,E
133,Long-term average annual precipitation in volume,1972,704.4,E
134,Long-term average annual precipitation in volume,1977,704.4,E
135,Long-term average annual precipitation in volume,1982,704.4,E
136,Long-term average annual precipitation in volume,1987,704.4,E
137,Long-term average annual precipitation in volume,1992,704.4,E
138,Long-term average annual precipitation in volume,1997,704.4,E
139,Long-term average annual precipitation in volume,2002,704.4,E
140,Long-term average annual precipitation in volume,2007,704.4,E
141,Long-term average annual precipitation in volume,2012,704.4,E
142,Long-term average annual precipitation in volume,2017,704.4,E
143,Long-term average annual precipitation in volume,2018,704.4,E
144,Interannual variability (WRI),2017,1.2,I
145,Interannual variability (WRI),2018,1.2,I
146,Seasonal variability (WRI),2017,2.1,I
147,Seasonal variability (WRI),2018,2.1,I
148,Flood occurrence (WRI),2017,4.0,I
149,Flood occurrence (WRI),2018,4.0,I
150,Surface water: entering the country (total),1962,0.0,OF
151,Surface water: entering the country (total),1967,0.0,OF
152,Surface water: entering the country (total),1972,0.0,OF
153,Surface water: entering the country (total),1977,0.0,OF
154,Surface water: entering the country (total),1982,0.0,OF
155,Surface water: entering the country (total),1987,0.0,OF
156,Surface water: entering the country (total),1992,0.0,OF
157,Surface water: entering the country (total),1997,0.0,OF
158,Surface water: entering the country (total),2002,0.0,OF
159,Surface water: entering the country (total),2007,0.0,OF
160,Surface water: entering the country (total),2012,0.0,OF
161,Surface water: entering the country (total),2017,0.0,OF
162,Surface water: leaving the country to other countries (total),1962,0.0,OF
163,Surface water: leaving the country to other countries (total),1967,0.0,OF
164,Surface water: leaving the country to other countries (total),1972,0.0,OF
165,Surface water: leaving the country to other countries (total),1977,0.0,OF
166,Surface water: leaving the country to other countries (total),1982,0.0,OF
167,Surface water: leaving the country to other countries (total),1987,0.0,OF
168,Surface water: leaving the country to other countries (total),1992,0.0,OF
169,Surface water: leaving the country to other countries (total),1997,0.0,OF
170,Surface water: leaving the country to other countries (total),2002,0.0,OF
171,Surface water: leaving the country to other countries (total),2007,0.0,OF
172,Surface water: leaving the country to other countries (total),2012,0.0,OF
173,Surface water: leaving the country to other countries (total),2017,0.0,OF
174,Groundwater: entering the country (total),1962,0.0,OF
175,Groundwater: entering the country (total),1967,0.0,OF
176,Groundwater: entering the country (total),1972,0.0,OF
177,Groundwater: entering the country (total),1977,0.0,OF
178,Groundwater: entering the country (total),1982,0.0,OF
179,Groundwater: entering the country (total),1987,0.0,OF
180,Groundwater: entering the country (total),1992,0.0,OF
181,Groundwater: entering the country (total),1997,0.0,OF
182,Groundwater: entering the country (total),2002,0.0,OF
183,Groundwater: entering the country (total),2007,0.0,OF
184,Groundwater: entering the country (total),2012,0.0,OF
185,Groundwater: entering the country (total),2017,0.0,OF
186,Groundwater: leaving the country to other countries (total),1962,0.0,OF
187,Groundwater: leaving the country to other countries (total),1967,0.0,OF
188,Groundwater: leaving the country to other countries (total),1972,0.0,OF
189,Groundwater: leaving the country to other countries (total),1977,0.0,OF
190,Groundwater: leaving the country to other countries (total),1982,0.0,OF
191,Groundwater: leaving the country to other countries (total),1987,0.0,OF
192,Groundwater: leaving the country to other countries (total),1992,0.0,OF
193,Groundwater: leaving the country to other countries (total),1997,0.0,OF
194,Groundwater: leaving the country to other countries (total),2002,0.0,OF
195,Groundwater: leaving the country to other countries (total),2007,0.0,OF
196,Groundwater: leaving the country to other countries (total),2012,0.0,OF
197,Groundwater: leaving the country to other countries (total),2017,0.0,OF
198,Dependency ratio,1962,0.0,E
199,Dependency ratio,1967,0.0,E
200,Dependency ratio,1972,0.0,E
201,Dependency ratio,1977,0.0,E
202,Dependency ratio,1982,0.0,E
203,Dependency ratio,1987,0.0,E
204,Dependency ratio,1992,0.0,E
205,Dependency ratio,1997,0.0,E
206,Dependency ratio,2002,0.0,E
207,Dependency ratio,2007,0.0,E
208,Dependency ratio,2012,0.0,E
209,Dependency ratio,2017,0.0,E
210,Dependency ratio,2018,0.0,E
211,Total internal renewable water resources (IRWR),1962,479.0,E
212,Total internal renewable water resources (IRWR),1967,479.0,E
213,Total internal renewable water resources (IRWR),1972,479.0,E
214,Total internal renewable water resources (IRWR),1977,479.0,E
215,Total internal renewable water resources (IRWR),1982,479.0,E
216,Total internal renewable water resources (IRWR),1987,479.0,E
217,Total internal renewable water resources (IRWR),1992,479.0,E
218,Total internal renewable water resources (IRWR),1997,479.0,E
219,Total internal renewable water resources (IRWR),2002,479.0,E
220,Total internal renewable water resources (IRWR),2007,479.0,E
221,Total internal renewable water resources (IRWR),2012,479.0,E
222,Total internal renewable water resources (IRWR),2017,479.0,E
223,Total internal renewable water resources (IRWR),2018,479.0,E
224,Total internal renewable water resources per capita,1962,17060.0212505893,E
225,Total internal renewable water resources per capita,1967,14592.9949724543,E
226,Total internal renewable water resources per capita,1972,12630.725370692,E
227,Total internal renewable water resources per capita,1977,10978.8323528174,E
228,Total internal renewable water resources per capita,1982,9575.4874557816,E
229,Total internal renewable water resources per capita,1987,8364.7906507695,E
230,Total internal renewable water resources per capita,1992,7366.9508679437,E
231,Total internal renewable water resources per capita,1997,6558.8689847983,E
232,Total internal renewable water resources per capita,2002,5887.0335051356,E
233,Total internal renewable water resources per capita,2007,5357.6133060834,E
234,Total internal renewable water resources per capita,2012,4927.342629703,E
235,Total internal renewable water resources per capita,2017,4554.4040921178,E
236,Total internal renewable water resources per capita,2018,4491.2680653757,E
237,Total renewable surface water,1962,444.0,E
238,Total renewable surface water,1967,444.0,E
239,Total renewable surface water,1972,444.0,E
240,Total renewable surface water,1977,444.0,E
241,Total renewable surface water,1982,444.0,E
242,Total renewable surface water,1987,444.0,E
243,Total renewable surface water,1992,444.0,E
244,Total renewable surface water,1997,444.0,E
245,Total renewable surface water,2002,444.0,E
246,Total renewable surface water,2007,444.0,E
247,Total renewable surface water,2012,444.0,E
248,Total renewable surface water,2017,444.0,E
249,Total renewable surface water,2018,444.0,E
250,Total renewable groundwater,1962,180.0,E
251,Total renewable groundwater,1967,180.0,E
252,Total renewable groundwater,1972,180.0,E
253,Total renewable groundwater,1977,180.0,E
254,Total renewable groundwater,1982,180.0,E
255,Total renewable groundwater,1987,180.0,E
256,Total renewable groundwater,1992,180.0,E
257,Total renewable groundwater,1997,180.0,E
258,Total renewable groundwater,2002,180.0,E
259,Total renewable groundwater,2007,180.0,E
260,Total renewable groundwater,2012,180.0,E
261,Total renewable groundwater,2017,180.0,E
262,Total renewable groundwater,2018,180.0,E
263,Total exploitable water resources,2002,146.0,I
264,Total exploitable water resources,2007,146.0,I
265,Total exploitable water resources,2012,146.0,I
266,Total exploitable water resources,2017,146.0,I
267,Total exploitable water resources,2018,146.0,I
268,Water resources: total external renewable,1962,0.0,E
269,Water resources: total external renewable,1967,0.0,E
270,Water resources: total external renewable,1972,0.0,E
271,Water resources: total external renewable,1977,0.0,E
272,Water resources: total external renewable,1982,0.0,E
273,Water resources: total external renewable,1987,0.0,E
274,Water resources: total external renewable,1992,0.0,E
275,Water resources: total external renewable,1997,0.0,E
276,Water resources: total external renewable,2002,0.0,E
277,Water resources: total external renewable,2007,0.0,E
278,Water resources: total external renewable,2012,0.0,E
279,Water resources: total external renewable,2017,0.0,E
280,Water resources: total external renewable,2018,0.0,E
281,Total renewable water resources,1962,479.0,E
282,Total renewable water resources,1967,479.0,E
283,Total renewable water resources,1972,479.0,E
284,Total renewable water resources,1977,479.0,E
285,Total renewable water resources,1982,479.0,E
286,Total renewable water resources,1987,479.0,E
287,Total renewable water resources,1992,479.0,E
288,Total renewable water resources,1997,479.0,E
289,Total renewable water resources,2002,479.0,E
290,Total renewable water resources,2007,479.0,E
291,Total renewable water resources,2012,479.0,E
292,Total renewable water resources,2017,479.0,E
293,Total renewable water resources,2018,479.0,E
294,Total renewable water resources per capita,1962,17060.0212505893,E
295,Total renewable water resources per capita,1967,14592.9949724543,E
296,Total renewable water resources per capita,1972,12630.725370692,E
297,Total renewable water resources per capita,1977,10978.8323528174,E
298,Total renewable water resources per capita,1982,9575.4874557816,E
299,Total renewable water resources per capita,1987,8364.7906507695,E
300,Total renewable water resources per capita,1992,7366.9508679437,E
301,Total renewable water resources per capita,1997,6558.8689847983,E
302,Total renewable water resources per capita,2002,5887.0335051356,E
303,Total renewable water resources per capita,2007,5357.6133060834,E
304,Total renewable water resources per capita,2012,4927.342629703,E
305,Total renewable water resources per capita,2017,4554.4040921178,E
306,Total renewable water resources per capita,2018,4491.2680653757,E
307,Total agricultural water managed area,1982,1301.0,E
308,Total agricultural water managed area,1987,1422.0,E
309,Total agricultural water managed area,1992,1568.1466666667,E
310,Total agricultural water managed area,1997,1686.0953846154,E
311,Total agricultural water managed area,2002,1806.8646153846,E
312,Total agricultural water managed area,2007,1942.026,E
313,Total agricultural water managed area,2012,1837.29,E
314,Total agricultural water managed area,2017,1991.29,E
315,Area equipped for irrigation: total,1982,1301.0,E
316,Area equipped for irrigation: total,1987,1422.0,E
317,Area equipped for irrigation: total,1992,1528.6666666667,I
318,Area equipped for irrigation: total,1997,1646.6153846154,E
319,Area equipped for irrigation: total,2002,1767.3846153846,E
320,Area equipped for irrigation: total,2007,1838.736,I
321,Area equipped for irrigation: total,2012,1734.0,E
322,Area equipped for irrigation: total,2015,1731.0,E
323,% of agricultural GVA produced by irrigated agriculture,1997,19.8656479725,E
324,% of agricultural GVA produced by irrigated agriculture,2002,22.2593293262,E
325,% of agricultural GVA produced by irrigated agriculture,2007,32.1093161135,E
326,% of agricultural GVA produced by irrigated agriculture,2012,33.8704248553,E
327,% of agricultural GVA produced by irrigated agriculture,2017,35.7286470207,E
328,% of agricultural GVA produced by irrigated agriculture,2018,35.5906252941,E
329,Ratio between rainfed and irrigated yields,1962,1.287,E
330,Ratio between rainfed and irrigated yields,1967,1.287,E
331,Ratio between rainfed and irrigated yields,1972,1.287,E
332,Ratio between rainfed and irrigated yields,1977,1.287,E
333,Ratio between rainfed and irrigated yields,1982,1.287,E
334,Ratio between rainfed and irrigated yields,1987,1.287,E
335,Ratio between rainfed and irrigated yields,1992,1.287,E
336,Ratio between rainfed and irrigated yields,1997,1.287,E
337,Ratio between rainfed and irrigated yields,2002,1.287,E
338,Ratio between rainfed and irrigated yields,2007,1.287,I
339,Ratio between rainfed and irrigated yields,2012,1.287,E
340,Ratio between rainfed and irrigated yields,2017,1.287,I
341,Ratio between rainfed and irrigated yields,2018,1.287,I
342,Agricultural water withdrawal as % of total renewable water resources,2007,14.0271398747,E
343,Agricultural water withdrawal as % of total renewable water resources,2012,14.1774530271,E
344,Agricultural water withdrawal as % of total renewable water resources,2017,14.1899791232,E
345,Agricultural water withdrawal,2007,67.19,OF
346,Agricultural water withdrawal,2012,67.91,OF
347,Agricultural water withdrawal,2017,67.97,OF
348,Irrigation water requirement,2007,33.28,I
349,Irrigation water requirement,2012,33.28,I
350,Irrigation water requirement,2017,33.28,I
351,Irrigation water requirement,2018,33.28,I
352,Irrigation water withdrawal,2007,66.29,OF
353,Irrigation water withdrawal,2012,66.98,OF
354,Irrigation water withdrawal,2017,67.04,OF
355,Municipal water withdrawal,1997,4.7238,I
356,Municipal water withdrawal,2002,5.5533333333,I
357,Municipal water withdrawal,2007,6.958,OF
358,Municipal water withdrawal,2012,7.301,OF
359,Municipal water withdrawal,2015,8.53,OF
360,Industrial water withdrawal,1997,2.5404,I
361,Industrial water withdrawal,2002,4.424,I
362,Industrial water withdrawal,2007,7.348,OF
363,Industrial water withdrawal,2012,9.037,OF
364,Industrial water withdrawal,2017,15.85,OF
365,Total water withdrawal,2007,81.496,E
366,Total water withdrawal,2012,84.248,E
367,Total water withdrawal,2015,86.401,E
368,Fresh surface water withdrawal,2007,78.5725156547,I
369,Fresh surface water withdrawal,2012,80.9361763696,I
370,Fresh surface water withdrawal,2017,88.01,OF
371,Fresh groundwater withdrawal,2007,2.9234843453,I
372,Fresh groundwater withdrawal,2012,3.3118236304,I
373,Fresh groundwater withdrawal,2017,4.739,OF
374,Total freshwater withdrawal,2007,81.496,E
375,Total freshwater withdrawal,2012,84.248,E
376,Total freshwater withdrawal,2017,92.75,OF
377,Produced municipal wastewater,2012,1.259,I
378,Produced municipal wastewater,2017,1.259,I
379,Produced municipal wastewater,2018,1.259,I
380,Environmental Flow Requirements,1962,151.9,X
381,Environmental Flow Requirements,1967,151.9,X
382,Environmental Flow Requirements,1972,151.9,X
383,Environmental Flow Requirements,1977,151.9,X
384,Environmental Flow Requirements,1982,151.9,X
385,Environmental Flow Requirements,1987,151.9,X
386,Environmental Flow Requirements,1992,151.9,X
387,Environmental Flow Requirements,1997,151.9,X
388,Environmental Flow Requirements,2002,151.9,X
389,Environmental Flow Requirements,2007,151.9,X
390,Environmental Flow Requirements,2012,151.9,X
391,Environmental Flow Requirements,2017,151.9,X
392,SDG 6.4.2. Water Stress,2007,24.9147049832,E
393,SDG 6.4.2. Water Stress,2012,25.7560379089,E
394,SDG 6.4.2. Water Stress,2017,28.3552430449,E
395,SDG 6.4.1. Water Use Efficiency,2006,2.1080086016,E
396,SDG 6.4.1. Water Use Efficiency,2011,2.4799052425,E
397,SDG 6.4.1. Water Use Efficiency,2015,3.162662782,E
398,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2006,0.1095276635,E
399,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2011,0.1435638221,E
400,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2017,0.1695716445,E
401,SDG 6.4.1. Industrial Water Use Efficiency,1997,16.037018122,E
402,SDG 6.4.1. Industrial Water Use Efficiency,2002,10.2168138722,E
403,SDG 6.4.1. Industrial Water Use Efficiency,2007,7.7527256067,E
404,SDG 6.4.1. Industrial Water Use Efficiency,2011,7.1014578128,E
405,SDG 6.4.1. Industrial Water Use Efficiency,2017,5.7597285052,E
406,SDG 6.4.1. Industrial Water Use Efficiency,2018,6.0765439369,E
407,SDG 6.4.1. Services Water Use Efficiency,1997,14.1191161505,E
408,SDG 6.4.1. Services Water Use Efficiency,2002,14.8545621224,E
409,SDG 6.4.1. Services Water Use Efficiency,2007,16.1610241517,E
410,SDG 6.4.1. Services Water Use Efficiency,2011,18.7622792666,E
411,SDG 6.4.1. Services Water Use Efficiency,2015,21.3153575615,E
412,Area salinized by irrigation,2002,300.0,I
413,Area salinized by irrigation,2007,300.0,I
414,Area salinized by irrigation,2012,300.0,I
415,Area salinized by irrigation,2017,300.0,I
416,Area salinized by irrigation,2018,300.0,I
417,Harvested irrigated temporary crop area: Rice,1992,1443.0,OF
418,Harvested irrigated temporary crop area: Rice,1997,1792.6428571429,I
419,Harvested irrigated temporary crop area: Rice,2002,2142.2857142857,I
420,Harvested irrigated temporary crop area: Rice,2007,2422.0,I
421,Harvested irrigated temporary crop area: Rice,2012,2422.0,I
422,Harvested irrigated temporary crop area: Rice,2017,2422.0,I
423,Harvested irrigated temporary crop area: Rice,2018,2422.0,I
424,Harvested irrigated temporary crop area: Maize,2007,96.6,I
425,Harvested irrigated temporary crop area: Maize,2012,96.6,I
426,Harvested irrigated temporary crop area: Maize,2017,96.6,I
427,Harvested irrigated temporary crop area: Maize,2018,96.6,I
428,Harvested irrigated temporary crop area: Sugarcane,2007,65.0,I
429,Harvested irrigated temporary crop area: Sugarcane,2012,65.0,I
430,Harvested irrigated temporary crop area: Sugarcane,2017,65.0,I
431,Harvested irrigated temporary crop area: Sugarcane,2018,65.0,I
432,Harvested irrigated temporary crop area: Vegetables,2007,37.86,I
433,Harvested irrigated temporary crop area: Vegetables,2012,37.86,I
434,Harvested irrigated temporary crop area: Vegetables,2017,37.86,I
435,Harvested irrigated temporary crop area: Vegetables,2018,37.86,I
436,Harvested irrigated permanent crop area: Bananas,2007,14.21,I
437,Harvested irrigated permanent crop area: Bananas,2012,14.21,I
438,Harvested irrigated permanent crop area: Bananas,2017,14.21,I
439,Harvested irrigated permanent crop area: Bananas,2018,14.21,I
440,Harvested irrigated permanent crop area: Citrus,2007,1.97,I
441,Harvested irrigated permanent crop area: Citrus,2012,1.97,I
442,Harvested irrigated permanent crop area: Citrus,2017,1.97,I
443,Harvested irrigated permanent crop area: Citrus,2018,1.97,I
444,Harvested irrigated temporary crop area: Tobacco,2007,23.88,I
445,Harvested irrigated temporary crop area: Tobacco,2012,23.88,I
446,Harvested irrigated temporary crop area: Tobacco,2017,23.88,I
447,Harvested irrigated temporary crop area: Tobacco,2018,23.88,I
448,Harvested irrigated temporary crop area: Groundnuts,2007,12.4,I
449,Harvested irrigated temporary crop area: Groundnuts,2012,12.4,I
450,Harvested irrigated temporary crop area: Groundnuts,2017,12.4,I
451,Harvested irrigated temporary crop area: Groundnuts,2018,12.4,I
452,Harvested irrigated permanent crop area: Other crops,2007,22.0,I
453,Harvested irrigated permanent crop area: Other crops,2012,22.0,I
454,Harvested irrigated permanent crop area: Other crops,2017,22.0,I
455,Harvested irrigated permanent crop area: Other crops,2018,22.0,I
