Cabo Verde,Variable Name,Year,Value,Symbol
76,GDP per capita,1977,425.268047,X
77,GDP per capita,1982,538.073219,X
78,GDP per capita,1987,826.631119,X
79,GDP per capita,1992,1135.242886,X
80,GDP per capita,1997,1374.569347,X
81,GDP per capita,2002,1562.052203,X
82,GDP per capita,2007,3112.292734,X
83,GDP per capita,2012,3408.481356,X
84,GDP per capita,2017,3239.065521,X
85,GDP per capita,2018,3572.545968,X
86,"Agriculture, value added (% GDP)",1972,18.147607,X
87,"Agriculture, value added (% GDP)",1977,17.915527,X
88,"Agriculture, value added (% GDP)",1982,14.884006,X
89,"Agriculture, value added (% GDP)",1987,20.801939,X
90,"Agriculture, value added (% GDP)",1992,13.933905,X
91,"Agriculture, value added (% GDP)",1997,13.765196,X
92,"Agriculture, value added (% GDP)",2002,12.269258,X
93,"Agriculture, value added (% GDP)",2007,8.517717,X
94,"Agriculture, value added (% GDP)",2012,8.446544,X
95,"Agriculture, value added (% GDP)",2017,6.73869,X
96,Prevalence of undernourishment (3-year average),1992,16.1,X
97,Prevalence of undernourishment (3-year average),1997,17.0,X
98,Prevalence of undernourishment (3-year average),2001,17.9,X
99,Total population with access to safe drinking-water (JMP),1992,79.8,X
100,Total population with access to safe drinking-water (JMP),1997,80.5,X
101,Total population with access to safe drinking-water (JMP),2002,83.7,X
102,Total population with access to safe drinking-water (JMP),2007,86.9,X
103,Total population with access to safe drinking-water (JMP),2012,90.3,X
104,Total population with access to safe drinking-water (JMP),2017,91.7,I
105,Total population with access to safe drinking-water (JMP),2018,91.7,I
106,Long-term average annual precipitation in volume,1962,0.91884,E
107,Long-term average annual precipitation in volume,1967,0.91884,E
108,Long-term average annual precipitation in volume,1972,0.91884,E
109,Long-term average annual precipitation in volume,1977,0.91884,E
110,Long-term average annual precipitation in volume,1982,0.91884,E
111,Long-term average annual precipitation in volume,1987,0.91884,E
112,Long-term average annual precipitation in volume,1992,0.91884,E
113,Long-term average annual precipitation in volume,1997,0.91884,E
114,Long-term average annual precipitation in volume,2002,0.91884,E
115,Long-term average annual precipitation in volume,2007,0.91884,E
116,Long-term average annual precipitation in volume,2012,0.91884,E
117,Long-term average annual precipitation in volume,2017,0.91884,E
118,Long-term average annual precipitation in volume,2018,0.91884,E
119,Surface water: entering the country (total),1962,0.0,OF
120,Surface water: entering the country (total),1967,0.0,OF
121,Surface water: entering the country (total),1972,0.0,OF
122,Surface water: entering the country (total),1977,0.0,OF
123,Surface water: entering the country (total),1982,0.0,OF
124,Surface water: entering the country (total),1987,0.0,OF
125,Surface water: entering the country (total),1992,0.0,OF
126,Surface water: entering the country (total),1997,0.0,OF
127,Surface water: entering the country (total),2002,0.0,OF
128,Surface water: entering the country (total),2007,0.0,OF
129,Surface water: entering the country (total),2012,0.0,OF
130,Surface water: entering the country (total),2017,0.0,OF
131,Surface water: leaving the country to other countries (total),1962,0.0,OF
132,Surface water: leaving the country to other countries (total),1967,0.0,OF
133,Surface water: leaving the country to other countries (total),1972,0.0,OF
134,Surface water: leaving the country to other countries (total),1977,0.0,OF
135,Surface water: leaving the country to other countries (total),1982,0.0,OF
136,Surface water: leaving the country to other countries (total),1987,0.0,OF
137,Surface water: leaving the country to other countries (total),1992,0.0,OF
138,Surface water: leaving the country to other countries (total),1997,0.0,OF
139,Surface water: leaving the country to other countries (total),2002,0.0,OF
140,Surface water: leaving the country to other countries (total),2007,0.0,OF
141,Surface water: leaving the country to other countries (total),2012,0.0,OF
142,Surface water: leaving the country to other countries (total),2017,0.0,OF
143,Groundwater: entering the country (total),1962,0.0,OF
144,Groundwater: entering the country (total),1967,0.0,OF
145,Groundwater: entering the country (total),1972,0.0,OF
146,Groundwater: entering the country (total),1977,0.0,OF
147,Groundwater: entering the country (total),1982,0.0,OF
148,Groundwater: entering the country (total),1987,0.0,OF
149,Groundwater: entering the country (total),1992,0.0,OF
150,Groundwater: entering the country (total),1997,0.0,OF
151,Groundwater: entering the country (total),2002,0.0,OF
152,Groundwater: entering the country (total),2007,0.0,OF
153,Groundwater: entering the country (total),2012,0.0,OF
154,Groundwater: entering the country (total),2017,0.0,OF
155,Groundwater: leaving the country to other countries (total),1962,0.0,OF
156,Groundwater: leaving the country to other countries (total),1967,0.0,OF
157,Groundwater: leaving the country to other countries (total),1972,0.0,OF
158,Groundwater: leaving the country to other countries (total),1977,0.0,OF
159,Groundwater: leaving the country to other countries (total),1982,0.0,OF
160,Groundwater: leaving the country to other countries (total),1987,0.0,OF
161,Groundwater: leaving the country to other countries (total),1992,0.0,OF
162,Groundwater: leaving the country to other countries (total),1997,0.0,OF
163,Groundwater: leaving the country to other countries (total),2002,0.0,OF
164,Groundwater: leaving the country to other countries (total),2007,0.0,OF
165,Groundwater: leaving the country to other countries (total),2012,0.0,OF
166,Groundwater: leaving the country to other countries (total),2017,0.0,OF
167,Dependency ratio,1962,0.0,E
168,Dependency ratio,1967,0.0,E
169,Dependency ratio,1972,0.0,E
170,Dependency ratio,1977,0.0,E
171,Dependency ratio,1982,0.0,E
172,Dependency ratio,1987,0.0,E
173,Dependency ratio,1992,0.0,E
174,Dependency ratio,1997,0.0,E
175,Dependency ratio,2002,0.0,E
176,Dependency ratio,2007,0.0,E
177,Dependency ratio,2012,0.0,E
178,Dependency ratio,2017,0.0,E
179,Dependency ratio,2018,0.0,E
180,Total internal renewable water resources (IRWR),1962,0.3,E
181,Total internal renewable water resources (IRWR),1967,0.3,E
182,Total internal renewable water resources (IRWR),1972,0.3,E
183,Total internal renewable water resources (IRWR),1977,0.3,E
184,Total internal renewable water resources (IRWR),1982,0.3,E
185,Total internal renewable water resources (IRWR),1987,0.3,E
186,Total internal renewable water resources (IRWR),1992,0.3,E
187,Total internal renewable water resources (IRWR),1997,0.3,E
188,Total internal renewable water resources (IRWR),2002,0.3,E
189,Total internal renewable water resources (IRWR),2007,0.3,E
190,Total internal renewable water resources (IRWR),2012,0.3,E
191,Total internal renewable water resources (IRWR),2017,0.3,E
192,Total internal renewable water resources (IRWR),2018,0.3,E
193,Total internal renewable water resources per capita,1962,1427.6060949263,E
194,Total internal renewable water resources per capita,1967,1211.9889951399,E
195,Total internal renewable water resources per capita,1972,1103.578168281,E
196,Total internal renewable water resources per capita,1977,1097.5542832056,E
197,Total internal renewable water resources per capita,1982,1019.5273471219,E
198,Total internal renewable water resources per capita,1987,934.1865570554,E
199,Total internal renewable water resources per capita,1992,843.2722335752,E
200,Total internal renewable water resources per capita,1997,742.0985061557,E
201,Total internal renewable water resources per capita,2002,677.2758160609,E
202,Total internal renewable water resources per capita,2007,631.4991790511,E
203,Total internal renewable water resources per capita,2012,593.7830910368,E
204,Total internal renewable water resources per capita,2017,558.1416116897,E
205,Total internal renewable water resources per capita,2018,551.7068891639,E
206,Total renewable surface water,1962,0.181,E
207,Total renewable surface water,1967,0.181,E
208,Total renewable surface water,1972,0.181,E
209,Total renewable surface water,1977,0.181,E
210,Total renewable surface water,1982,0.181,E
211,Total renewable surface water,1987,0.181,E
212,Total renewable surface water,1992,0.181,E
213,Total renewable surface water,1997,0.181,E
214,Total renewable surface water,2002,0.181,E
215,Total renewable surface water,2007,0.181,E
216,Total renewable surface water,2012,0.181,E
217,Total renewable surface water,2017,0.181,E
218,Total renewable surface water,2018,0.181,E
219,Total renewable groundwater,1962,0.124,E
220,Total renewable groundwater,1967,0.124,E
221,Total renewable groundwater,1972,0.124,E
222,Total renewable groundwater,1977,0.124,E
223,Total renewable groundwater,1982,0.124,E
224,Total renewable groundwater,1987,0.124,E
225,Total renewable groundwater,1992,0.124,E
226,Total renewable groundwater,1997,0.124,E
227,Total renewable groundwater,2002,0.124,E
228,Total renewable groundwater,2007,0.124,E
229,Total renewable groundwater,2012,0.124,E
230,Total renewable groundwater,2017,0.124,E
231,Total renewable groundwater,2018,0.124,E
232,Total exploitable water resources,1962,0.065,E
233,Total exploitable water resources,1967,0.065,E
234,Total exploitable water resources,1972,0.065,E
235,Total exploitable water resources,1977,0.065,E
236,Total exploitable water resources,1982,0.065,E
237,Total exploitable water resources,1987,0.065,E
238,Total exploitable water resources,1992,0.065,E
239,Total exploitable water resources,1997,0.065,E
240,Total exploitable water resources,2002,0.065,E
241,Total exploitable water resources,2007,0.065,E
242,Total exploitable water resources,2012,0.065,E
243,Total exploitable water resources,2017,0.065,E
244,Total exploitable water resources,2018,0.065,E
245,Water resources: total external renewable,1962,0.0,E
246,Water resources: total external renewable,1967,0.0,E
247,Water resources: total external renewable,1972,0.0,E
248,Water resources: total external renewable,1977,0.0,E
249,Water resources: total external renewable,1982,0.0,E
250,Water resources: total external renewable,1987,0.0,E
251,Water resources: total external renewable,1992,0.0,E
252,Water resources: total external renewable,1997,0.0,E
253,Water resources: total external renewable,2002,0.0,E
254,Water resources: total external renewable,2007,0.0,E
255,Water resources: total external renewable,2012,0.0,E
256,Water resources: total external renewable,2017,0.0,E
257,Water resources: total external renewable,2018,0.0,E
258,Total renewable water resources,1962,0.3,E
259,Total renewable water resources,1967,0.3,E
260,Total renewable water resources,1972,0.3,E
261,Total renewable water resources,1977,0.3,E
262,Total renewable water resources,1982,0.3,E
263,Total renewable water resources,1987,0.3,E
264,Total renewable water resources,1992,0.3,E
265,Total renewable water resources,1997,0.3,E
266,Total renewable water resources,2002,0.3,E
267,Total renewable water resources,2007,0.3,E
268,Total renewable water resources,2012,0.3,E
269,Total renewable water resources,2017,0.3,E
270,Total renewable water resources,2018,0.3,E
271,Total renewable water resources per capita,1962,1427.6060949263,E
272,Total renewable water resources per capita,1967,1211.9889951399,E
273,Total renewable water resources per capita,1972,1103.578168281,E
274,Total renewable water resources per capita,1977,1097.5542832056,E
275,Total renewable water resources per capita,1982,1019.5273471219,E
276,Total renewable water resources per capita,1987,934.1865570554,E
277,Total renewable water resources per capita,1992,843.2722335752,E
278,Total renewable water resources per capita,1997,742.0985061557,E
279,Total renewable water resources per capita,2002,677.2758160609,E
280,Total renewable water resources per capita,2007,631.4991790511,E
281,Total renewable water resources per capita,2012,593.7830910368,E
282,Total renewable water resources per capita,2017,558.1416116897,E
283,Total renewable water resources per capita,2018,551.7068891639,E
284,Total agricultural water managed area,1982,2.38225,I
285,Total agricultural water managed area,1987,2.712875,I
286,Total agricultural water managed area,1992,2.7794444444,I
287,Total agricultural water managed area,1997,2.78,E
288,Total agricultural water managed area,2002,3.2771428571,I
289,Total agricultural water managed area,2007,3.476,I
290,Total agricultural water managed area,2012,3.476,I
291,Total agricultural water managed area,2017,3.476,I
292,Total agricultural water managed area,2018,3.476,I
293,Area equipped for irrigation: total,1982,2.38225,I
294,Area equipped for irrigation: total,1987,2.712875,I
295,Area equipped for irrigation: total,1992,2.7794444444,I
296,Area equipped for irrigation: total,1997,2.78,E
297,Area equipped for irrigation: total,2002,3.2771428571,I
298,Area equipped for irrigation: total,2007,3.476,I
299,Area equipped for irrigation: total,2012,3.476,I
300,Area equipped for irrigation: total,2017,3.476,I
301,Area equipped for irrigation: total,2018,3.476,I
302,% of agricultural GVA produced by irrigated agriculture,1982,7.7054610364,E
303,% of agricultural GVA produced by irrigated agriculture,1987,9.7190546722,E
304,% of agricultural GVA produced by irrigated agriculture,1992,8.6514745355,E
305,% of agricultural GVA produced by irrigated agriculture,1997,6.6872287018,E
306,% of agricultural GVA produced by irrigated agriculture,2002,7.4025593561,E
307,% of agricultural GVA produced by irrigated agriculture,2007,7.0448117551,E
308,% of agricultural GVA produced by irrigated agriculture,2012,6.1151431004,E
309,% of agricultural GVA produced by irrigated agriculture,2017,6.664847247,E
310,% of agricultural GVA produced by irrigated agriculture,2018,6.664847247,E
312,Ratio between rainfed and irrigated yields,1966,1.778,I
313,Ratio between rainfed and irrigated yields,1971,1.778,I
314,Ratio between rainfed and irrigated yields,1976,1.778,I
315,Ratio between rainfed and irrigated yields,1981,1.778,I
316,Ratio between rainfed and irrigated yields,1986,1.778,I
317,Ratio between rainfed and irrigated yields,1991,1.778,I
318,Ratio between rainfed and irrigated yields,1996,1.778,I
319,Ratio between rainfed and irrigated yields,2001,1.778,I
320,Ratio between rainfed and irrigated yields,2007,1.778,I
321,Ratio between rainfed and irrigated yields,2011,1.778,I
322,Ratio between rainfed and irrigated yields,2017,1.778,I
323,Ratio between rainfed and irrigated yields,2018,1.778,I
324,Agricultural water withdrawal as % of total renewable water resources,1992,7.2,I
325,Agricultural water withdrawal as % of total renewable water resources,1997,6.8666666667,I
326,Agricultural water withdrawal as % of total renewable water resources,2002,7.5,I
327,Agricultural water withdrawal as % of total renewable water resources,2007,8.3333333333,I
328,Agricultural water withdrawal as % of total renewable water resources,2012,8.3333333333,I
329,Agricultural water withdrawal as % of total renewable water resources,2017,8.3333333333,I
330,Agricultural water withdrawal as % of total renewable water resources,2018,8.3333333333,I
331,Agricultural water withdrawal,1992,0.0216,I
332,Agricultural water withdrawal,1997,0.0206,I
333,Agricultural water withdrawal,2002,0.0225,I
334,Agricultural water withdrawal,2007,0.025,I
335,Agricultural water withdrawal,2012,0.025,I
336,Agricultural water withdrawal,2017,0.025,I
337,Agricultural water withdrawal,2018,0.025,I
338,Irrigation water requirement,2007,0.0077,I
339,Irrigation water requirement,2012,0.0077,I
340,Irrigation water requirement,2017,0.0077,I
341,Irrigation water requirement,2018,0.0077,I
342,Irrigation water withdrawal,2007,0.025,I
343,Irrigation water withdrawal,2012,0.025,I
344,Irrigation water withdrawal,2017,0.025,I
345,Irrigation water withdrawal,2018,0.025,I
346,Municipal water withdrawal,2002,0.0016,I
347,Municipal water withdrawal,2007,0.0016,I
348,Municipal water withdrawal,2012,0.0016,I
349,Municipal water withdrawal,2017,0.0016,I
350,Municipal water withdrawal,2018,0.0016,I
351,Industrial water withdrawal,2002,0.0004,I
352,Industrial water withdrawal,2007,0.0004,I
353,Industrial water withdrawal,2012,0.0004,I
354,Industrial water withdrawal,2017,0.0004,I
355,Industrial water withdrawal,2018,0.0004,I
356,Total water withdrawal,2002,0.0245,E
357,Total water withdrawal,2007,0.027,E
358,Total water withdrawal,2012,0.027,E
359,Total water withdrawal,2017,0.027,E
360,Total water withdrawal,2018,0.027,E
361,Total freshwater withdrawal,2002,0.0228,E
362,Total freshwater withdrawal,2007,0.0253,E
363,Total freshwater withdrawal,2012,0.0253,E
364,Total freshwater withdrawal,2017,0.0253,E
365,Total freshwater withdrawal,2018,0.0253,E
366,Desalinated water produced,1992,0.0019142857,I
367,Desalinated water produced,1997,0.0017,OF
368,Desalinated water produced,2002,0.0017,I
369,Desalinated water produced,2007,0.0017,I
370,Desalinated water produced,2012,0.0017,I
371,Desalinated water produced,2017,0.0017,I
372,Desalinated water produced,2018,0.0017,I
374,Produced municipal wastewater,2012,0.0039,I
375,Produced municipal wastewater,2017,0.0039,I
376,Produced municipal wastewater,2018,0.0039,I
377,SDG 6.4.2. Water Stress,2002,7.6,E
378,SDG 6.4.2. Water Stress,2007,8.4333333333,E
379,SDG 6.4.2. Water Stress,2012,8.4333333333,E
380,SDG 6.4.2. Water Stress,2017,8.4333333333,E
381,SDG 6.4.2. Water Stress,2018,8.4333333333,E
382,SDG 6.4.1. Water Use Efficiency,2002,31.821549865,I
383,SDG 6.4.1. Water Use Efficiency,2006,37.1018517712,I
384,SDG 6.4.1. Water Use Efficiency,2016,49.1801711278,I
385,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1992,0.2702910185,E
386,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.306559345,E
387,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.4025515517,E
388,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2006,0.355033139,E
389,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2016,0.3562495843,E
390,SDG 6.4.1. Industrial Water Use Efficiency,2002,407.3241236809,E
391,SDG 6.4.1. Industrial Water Use Efficiency,2006,523.3762611723,E
392,SDG 6.4.1. Industrial Water Use Efficiency,2016,602.7339992222,E
393,SDG 6.4.1. Services Water Use Efficiency,2002,379.7755701917,E
394,SDG 6.4.1. Services Water Use Efficiency,2006,489.7022905488,E
395,SDG 6.4.1. Services Water Use Efficiency,2016,673.6654882213,E
396,Area waterlogged by irrigation,1987,0.0,I
397,Area waterlogged by irrigation,1992,0.0,I
398,Area waterlogged by irrigation,1997,0.0,I
399,Area waterlogged by irrigation,2002,0.0,I
400,Area waterlogged by irrigation,2007,0.0,I
401,Area waterlogged by irrigation,2012,0.0,I
402,Area waterlogged by irrigation,2017,0.0,I
403,Area waterlogged by irrigation,2018,0.0,I
404,Harvested irrigated temporary crop area: Maize,1987,0.1,I
405,Harvested irrigated temporary crop area: Maize,1992,0.1,I
406,Harvested irrigated temporary crop area: Maize,1997,0.1,I
407,Harvested irrigated temporary crop area: Maize,2002,0.1,I
408,Harvested irrigated temporary crop area: Maize,2007,0.1,I
409,Harvested irrigated temporary crop area: Maize,2012,0.1,I
410,Harvested irrigated temporary crop area: Maize,2017,0.1,I
411,Harvested irrigated temporary crop area: Maize,2018,0.1,I
412,Harvested irrigated temporary crop area: Potatoes,2007,0.21,I
413,Harvested irrigated temporary crop area: Potatoes,2012,0.21,I
414,Harvested irrigated temporary crop area: Potatoes,2017,0.21,I
415,Harvested irrigated temporary crop area: Potatoes,2018,0.21,I
416,Harvested irrigated temporary crop area: Other roots and tubers,1987,0.55,I
417,Harvested irrigated temporary crop area: Other roots and tubers,1992,0.4,I
418,Harvested irrigated temporary crop area: Other roots and tubers,1997,0.4,I
419,Harvested irrigated temporary crop area: Other roots and tubers,2002,0.4,I
420,Harvested irrigated temporary crop area: Other roots and tubers,2007,0.4,I
421,Harvested irrigated temporary crop area: Other roots and tubers,2012,0.4,I
422,Harvested irrigated temporary crop area: Other roots and tubers,2017,0.4,I
423,Harvested irrigated temporary crop area: Other roots and tubers,2018,0.4,I
424,Harvested irrigated temporary crop area: Sugarcane,1987,0.9948,I
425,Harvested irrigated temporary crop area: Sugarcane,1992,0.9631428571,I
426,Harvested irrigated temporary crop area: Sugarcane,1997,0.9785,I
427,Harvested irrigated temporary crop area: Sugarcane,2002,0.9938571429,I
428,Harvested irrigated temporary crop area: Sugarcane,2007,1.0,I
429,Harvested irrigated temporary crop area: Sugarcane,2012,1.0,I
430,Harvested irrigated temporary crop area: Sugarcane,2017,1.0,I
431,Harvested irrigated temporary crop area: Sugarcane,2018,1.0,I
432,Harvested irrigated temporary crop area: Vegetables,1992,0.2467142857,I
433,Harvested irrigated temporary crop area: Vegetables,1997,0.5085,I
434,Harvested irrigated temporary crop area: Vegetables,2002,0.7702857143,I
435,Harvested irrigated temporary crop area: Vegetables,2007,0.875,I
436,Harvested irrigated temporary crop area: Vegetables,2012,0.875,I
437,Harvested irrigated temporary crop area: Vegetables,2017,0.875,I
438,Harvested irrigated temporary crop area: Vegetables,2018,0.875,I
439,Harvested irrigated temporary crop area: Flowers,1987,0.29,I
440,Harvested irrigated temporary crop area: Flowers,1992,0.29,I
441,Harvested irrigated temporary crop area: Flowers,1997,0.29,I
442,Harvested irrigated temporary crop area: Flowers,2002,0.29,I
443,Harvested irrigated temporary crop area: Flowers,2007,0.29,I
444,Harvested irrigated temporary crop area: Flowers,2012,0.29,I
445,Harvested irrigated temporary crop area: Flowers,2017,0.29,I
446,Harvested irrigated temporary crop area: Flowers,2018,0.29,I
447,Harvested irrigated permanent crop area: Other crops,1987,0.2028,I
448,Harvested irrigated permanent crop area: Other crops,1992,0.147,I
449,Harvested irrigated permanent crop area: Other crops,1997,0.147,I
450,Harvested irrigated permanent crop area: Other crops,2002,0.147,I
451,Harvested irrigated permanent crop area: Other crops,2007,0.147,I
452,Harvested irrigated permanent crop area: Other crops,2012,0.147,I
453,Harvested irrigated permanent crop area: Other crops,2017,0.147,I
454,Harvested irrigated permanent crop area: Other crops,2018,0.147,I
