South Sudan,Variable Name,Year,Value,Symbol
80,Agricultural water withdrawal as % of total renewable water resources,2012,0.4848484848,E
81,Agricultural water withdrawal as % of total renewable water resources,2017,0.4848484848,E
82,Agricultural water withdrawal as % of total renewable water resources,2018,0.4848484848,E
83,Agricultural water withdrawal,2012,0.24,I
84,Agricultural water withdrawal,2017,0.24,I
85,Agricultural water withdrawal,2018,0.24,I
86,Municipal water withdrawal,2012,0.193,I
87,Municipal water withdrawal,2017,0.193,I
88,Municipal water withdrawal,2018,0.193,I
89,Industrial water withdrawal,2012,0.225,I
90,Industrial water withdrawal,2017,0.225,I
91,Industrial water withdrawal,2018,0.225,I
92,Total water withdrawal,2012,0.658,I
93,Total water withdrawal,2017,0.658,I
94,Total water withdrawal,2018,0.658,I
95,Total freshwater withdrawal,2012,0.658,I
96,Total freshwater withdrawal,2017,0.658,I
97,Total freshwater withdrawal,2018,0.658,I
100,SDG 6.4.2. Water Stress,2012,4.2260757868,E
101,SDG 6.4.2. Water Stress,2017,4.2260757868,E
102,SDG 6.4.2. Water Stress,2018,4.2260757868,E
103,SDG 6.4.1. Industrial Water Use Efficiency,2015,24.3001519378,E
104,SDG 6.4.1. Services Water Use Efficiency,2015,36.366655601,E
105,Harvested irrigated temporary crop area: Wheat,2012,4.74,I
106,Harvested irrigated temporary crop area: Wheat,2017,4.74,I
107,Harvested irrigated temporary crop area: Wheat,2018,4.74,I
108,Harvested irrigated temporary crop area: Millet,2012,0.15,I
109,Harvested irrigated temporary crop area: Millet,2017,0.15,I
110,Harvested irrigated temporary crop area: Millet,2018,0.15,I
111,Harvested irrigated temporary crop area: Sorghum,2012,12.6,I
112,Harvested irrigated temporary crop area: Sorghum,2017,12.6,I
113,Harvested irrigated temporary crop area: Sorghum,2018,12.6,I
114,Harvested irrigated temporary crop area: Other cereals,2012,1.15,I
115,Harvested irrigated temporary crop area: Other cereals,2017,1.15,I
116,Harvested irrigated temporary crop area: Other cereals,2018,1.15,I
117,Harvested irrigated temporary crop area: Potatoes,2012,0.3,I
118,Harvested irrigated temporary crop area: Potatoes,2017,0.3,I
119,Harvested irrigated temporary crop area: Potatoes,2018,0.3,I
120,Harvested irrigated temporary crop area: Other roots and tubers,2012,0.3,I
121,Harvested irrigated temporary crop area: Other roots and tubers,2017,0.3,I
122,Harvested irrigated temporary crop area: Other roots and tubers,2018,0.3,I
123,Harvested irrigated temporary crop area: Sugarcane,2012,1.31,I
124,Harvested irrigated temporary crop area: Sugarcane,2017,1.31,I
125,Harvested irrigated temporary crop area: Sugarcane,2018,1.31,I
126,Harvested irrigated temporary crop area: Vegetables,2012,1.77,I
127,Harvested irrigated temporary crop area: Vegetables,2017,1.77,I
128,Harvested irrigated temporary crop area: Vegetables,2018,1.77,I
129,Harvested irrigated temporary crop area: Cotton,2012,2.59,I
130,Harvested irrigated temporary crop area: Cotton,2017,2.59,I
131,Harvested irrigated temporary crop area: Cotton,2018,2.59,I
132,Harvested irrigated temporary crop area: Fodder,2012,2.93,I
133,Harvested irrigated temporary crop area: Fodder,2017,2.93,I
134,Harvested irrigated temporary crop area: Fodder,2018,2.93,I
135,Harvested irrigated temporary crop area: Groundnuts,2012,0.84,I
136,Harvested irrigated temporary crop area: Groundnuts,2017,0.84,I
137,Harvested irrigated temporary crop area: Groundnuts,2018,0.84,I
138,Harvested irrigated temporary crop area: Sunflower,2012,0.39,I
139,Harvested irrigated temporary crop area: Sunflower,2017,0.39,I
140,Harvested irrigated temporary crop area: Sunflower,2018,0.39,I
