Kyrgyzstan,Variable Name,Year,Value,Symbol
348,Harvested irrigated temporary crop area: Other roots and tubers,2002,7.1,I
349,Harvested irrigated temporary crop area: Other roots and tubers,2007,7.1,I
350,Harvested irrigated temporary crop area: Other roots and tubers,2012,7.1,I
351,Harvested irrigated temporary crop area: Other roots and tubers,2017,7.1,I
352,Harvested irrigated temporary crop area: Other roots and tubers,2018,7.1,I
353,Harvested irrigated temporary crop area: Sugar beet,2007,14.5,I
354,Harvested irrigated temporary crop area: Sugar beet,2012,14.5,I
355,Harvested irrigated temporary crop area: Sugar beet,2017,14.5,I
356,Harvested irrigated temporary crop area: Sugar beet,2018,14.5,I
357,Harvested irrigated temporary crop area: Leguminous crops,2007,20.8,I
358,Harvested irrigated temporary crop area: Leguminous crops,2012,20.8,I
359,Harvested irrigated temporary crop area: Leguminous crops,2017,20.8,I
360,Harvested irrigated temporary crop area: Leguminous crops,2018,20.8,I
361,Harvested irrigated temporary crop area: Vegetables,1997,20.4545454545,I
362,Harvested irrigated temporary crop area: Vegetables,2002,33.0454545455,I
363,Harvested irrigated temporary crop area: Vegetables,2007,40.6,I
364,Harvested irrigated temporary crop area: Vegetables,2012,40.6,I
365,Harvested irrigated temporary crop area: Vegetables,2017,40.6,I
366,Harvested irrigated temporary crop area: Vegetables,2018,40.6,I
367,Harvested irrigated temporary crop area: Tobacco,2007,5.6,I
368,Harvested irrigated temporary crop area: Tobacco,2012,5.6,I
369,Harvested irrigated temporary crop area: Tobacco,2017,5.6,I
370,Harvested irrigated temporary crop area: Tobacco,2018,5.6,I
371,Harvested irrigated temporary crop area: Cotton,1997,29.4272727273,I
372,Harvested irrigated temporary crop area: Cotton,2002,39.4727272727,I
373,Harvested irrigated temporary crop area: Cotton,2007,45.5,I
374,Harvested irrigated temporary crop area: Cotton,2012,45.5,I
375,Harvested irrigated temporary crop area: Cotton,2017,45.5,I
376,Harvested irrigated temporary crop area: Cotton,2018,45.5,I
377,Harvested irrigated temporary crop area: Fodder,1997,76.6654545455,I
378,Harvested irrigated temporary crop area: Fodder,2002,51.1245454545,I
379,Harvested irrigated temporary crop area: Fodder,2007,35.8,I
380,Harvested irrigated temporary crop area: Fodder,2012,35.8,I
381,Harvested irrigated temporary crop area: Fodder,2017,35.8,I
382,Harvested irrigated temporary crop area: Fodder,2018,35.8,I
383,Harvested irrigated permanent crop area: Oil palm,1997,58.4,I
384,Harvested irrigated permanent crop area: Oil palm,2002,58.4,I
385,Harvested irrigated permanent crop area: Oil palm,2007,58.4,I
386,Harvested irrigated permanent crop area: Oil palm,2012,58.4,I
387,Harvested irrigated permanent crop area: Oil palm,2017,58.4,I
388,Harvested irrigated permanent crop area: Oil palm,2018,58.4,I
389,Harvested irrigated temporary crop area: Sunflower,2007,59.2,I
390,Harvested irrigated temporary crop area: Sunflower,2012,59.2,I
391,Harvested irrigated temporary crop area: Sunflower,2017,59.2,I
392,Harvested irrigated temporary crop area: Sunflower,2018,59.2,I
393,Harvested irrigated temporary crop area: Other crops,2007,27.7,I
394,Harvested irrigated temporary crop area: Other crops,2012,27.7,I
395,Harvested irrigated temporary crop area: Other crops,2017,27.7,I
396,Harvested irrigated temporary crop area: Other crops,2018,27.7,I
397,Harvested irrigated permanent crop area: Other crops,1997,36.2,I
398,Harvested irrigated permanent crop area: Other crops,2002,36.2,I
399,Harvested irrigated permanent crop area: Other crops,2007,36.2,I
400,Harvested irrigated permanent crop area: Other crops,2012,36.2,I
401,Harvested irrigated permanent crop area: Other crops,2017,36.2,I
402,Harvested irrigated permanent crop area: Other crops,2018,36.2,I
