Madagascar,Variable Name,Year,Value,Symbol
128,Long-term average annual precipitation in volume,2012,888.5849,E
129,Long-term average annual precipitation in volume,2017,888.577335,E
130,Long-term average annual precipitation in volume,2018,888.577335,E
131,Interannual variability (WRI),2017,1.4,I
132,Interannual variability (WRI),2018,1.4,I
133,Seasonal variability (WRI),2017,3.5,I
134,Seasonal variability (WRI),2018,3.5,I
135,Flood occurrence (WRI),2017,2.6,I
136,Flood occurrence (WRI),2018,2.6,I
137,Surface water: entering the country (total),1962,0.0,OF
138,Surface water: entering the country (total),1967,0.0,OF
139,Surface water: entering the country (total),1972,0.0,OF
140,Surface water: entering the country (total),1977,0.0,OF
141,Surface water: entering the country (total),1982,0.0,OF
142,Surface water: entering the country (total),1987,0.0,OF
143,Surface water: entering the country (total),1992,0.0,OF
144,Surface water: entering the country (total),1997,0.0,OF
145,Surface water: entering the country (total),2002,0.0,OF
146,Surface water: entering the country (total),2007,0.0,OF
147,Surface water: entering the country (total),2012,0.0,OF
148,Surface water: entering the country (total),2017,0.0,OF
149,Surface water: leaving the country to other countries (total),1962,0.0,OF
150,Surface water: leaving the country to other countries (total),1967,0.0,OF
151,Surface water: leaving the country to other countries (total),1972,0.0,OF
152,Surface water: leaving the country to other countries (total),1977,0.0,OF
153,Surface water: leaving the country to other countries (total),1982,0.0,OF
154,Surface water: leaving the country to other countries (total),1987,0.0,OF
155,Surface water: leaving the country to other countries (total),1992,0.0,OF
156,Surface water: leaving the country to other countries (total),1997,0.0,OF
157,Surface water: leaving the country to other countries (total),2002,0.0,OF
158,Surface water: leaving the country to other countries (total),2007,0.0,OF
159,Surface water: leaving the country to other countries (total),2012,0.0,OF
160,Surface water: leaving the country to other countries (total),2017,0.0,OF
161,Groundwater: entering the country (total),1962,0.0,OF
162,Groundwater: entering the country (total),1967,0.0,OF
163,Groundwater: entering the country (total),1972,0.0,OF
164,Groundwater: entering the country (total),1977,0.0,OF
165,Groundwater: entering the country (total),1982,0.0,OF
166,Groundwater: entering the country (total),1987,0.0,OF
167,Groundwater: entering the country (total),1992,0.0,OF
168,Groundwater: entering the country (total),1997,0.0,OF
169,Groundwater: entering the country (total),2002,0.0,OF
170,Groundwater: entering the country (total),2007,0.0,OF
171,Groundwater: entering the country (total),2012,0.0,OF
172,Groundwater: entering the country (total),2017,0.0,OF
173,Groundwater: leaving the country to other countries (total),1962,0.0,OF
174,Groundwater: leaving the country to other countries (total),1967,0.0,OF
175,Groundwater: leaving the country to other countries (total),1972,0.0,OF
176,Groundwater: leaving the country to other countries (total),1977,0.0,OF
177,Groundwater: leaving the country to other countries (total),1982,0.0,OF
178,Groundwater: leaving the country to other countries (total),1987,0.0,OF
179,Groundwater: leaving the country to other countries (total),1992,0.0,OF
180,Groundwater: leaving the country to other countries (total),1997,0.0,OF
181,Groundwater: leaving the country to other countries (total),2002,0.0,OF
182,Groundwater: leaving the country to other countries (total),2007,0.0,OF
183,Groundwater: leaving the country to other countries (total),2012,0.0,OF
184,Groundwater: leaving the country to other countries (total),2017,0.0,OF
185,Dependency ratio,1962,0.0,E
186,Dependency ratio,1967,0.0,E
187,Dependency ratio,1972,0.0,E
188,Dependency ratio,1977,0.0,E
189,Dependency ratio,1982,0.0,E
190,Dependency ratio,1987,0.0,E
191,Dependency ratio,1992,0.0,E
192,Dependency ratio,1997,0.0,E
193,Dependency ratio,2002,0.0,E
194,Dependency ratio,2007,0.0,E
195,Dependency ratio,2012,0.0,E
196,Dependency ratio,2017,0.0,E
197,Dependency ratio,2018,0.0,E
198,Total internal renewable water resources (IRWR),1962,337.0,E
199,Total internal renewable water resources (IRWR),1967,337.0,E
200,Total internal renewable water resources (IRWR),1972,337.0,E
201,Total internal renewable water resources (IRWR),1977,337.0,E
202,Total internal renewable water resources (IRWR),1982,337.0,E
203,Total internal renewable water resources (IRWR),1987,337.0,E
204,Total internal renewable water resources (IRWR),1992,337.0,E
205,Total internal renewable water resources (IRWR),1997,337.0,E
206,Total internal renewable water resources (IRWR),2002,337.0,E
207,Total internal renewable water resources (IRWR),2007,337.0,E
208,Total internal renewable water resources (IRWR),2012,337.0,E
209,Total internal renewable water resources (IRWR),2017,337.0,E
210,Total internal renewable water resources (IRWR),2018,337.0,E
211,Total internal renewable water resources per capita,1962,62961.1977798051,E
212,Total internal renewable water resources per capita,1967,55486.7139780088,E
213,Total internal renewable water resources per capita,1972,48512.8019094178,E
214,Total internal renewable water resources per capita,1977,42134.6699067436,E
215,Total internal renewable water resources per capita,1982,36495.0500474923,E
216,Total internal renewable water resources per capita,1987,31649.8671926493,E
217,Total internal renewable water resources per capita,1992,27395.3983534797,E
218,Total internal renewable water resources per capita,1997,23487.8330933671,E
219,Total internal renewable water resources per capita,2002,20101.2614466096,E
220,Total internal renewable water resources per capita,2007,17341.1624136222,E
221,Total internal renewable water resources per capita,2012,15080.5635476824,E
222,Total internal renewable water resources per capita,2017,13179.2433409233,E
223,Total internal renewable water resources per capita,2018,12832.0761389143,E
224,Total renewable surface water,1962,332.0,E
225,Total renewable surface water,1967,332.0,E
226,Total renewable surface water,1972,332.0,E
227,Total renewable surface water,1977,332.0,E
228,Total renewable surface water,1982,332.0,E
229,Total renewable surface water,1987,332.0,E
230,Total renewable surface water,1992,332.0,E
231,Total renewable surface water,1997,332.0,E
232,Total renewable surface water,2002,332.0,E
233,Total renewable surface water,2007,332.0,E
234,Total renewable surface water,2012,332.0,E
235,Total renewable surface water,2017,332.0,E
236,Total renewable surface water,2018,332.0,E
237,Total renewable groundwater,1962,55.0,E
238,Total renewable groundwater,1967,55.0,E
239,Total renewable groundwater,1972,55.0,E
240,Total renewable groundwater,1977,55.0,E
241,Total renewable groundwater,1982,55.0,E
242,Total renewable groundwater,1987,55.0,E
243,Total renewable groundwater,1992,55.0,E
244,Total renewable groundwater,1997,55.0,E
245,Total renewable groundwater,2002,55.0,E
246,Total renewable groundwater,2007,55.0,E
247,Total renewable groundwater,2012,55.0,E
248,Total renewable groundwater,2017,55.0,E
249,Total renewable groundwater,2018,55.0,E
250,Water resources: total external renewable,1962,0.0,E
251,Water resources: total external renewable,1967,0.0,E
252,Water resources: total external renewable,1972,0.0,E
253,Water resources: total external renewable,1977,0.0,E
254,Water resources: total external renewable,1982,0.0,E
255,Water resources: total external renewable,1987,0.0,E
256,Water resources: total external renewable,1992,0.0,E
257,Water resources: total external renewable,1997,0.0,E
258,Water resources: total external renewable,2002,0.0,E
259,Water resources: total external renewable,2007,0.0,E
260,Water resources: total external renewable,2012,0.0,E
261,Water resources: total external renewable,2017,0.0,E
262,Water resources: total external renewable,2018,0.0,E
263,Total renewable water resources,1962,337.0,E
264,Total renewable water resources,1967,337.0,E
265,Total renewable water resources,1972,337.0,E
266,Total renewable water resources,1977,337.0,E
267,Total renewable water resources,1982,337.0,E
268,Total renewable water resources,1987,337.0,E
269,Total renewable water resources,1992,337.0,E
270,Total renewable water resources,1997,337.0,E
271,Total renewable water resources,2002,337.0,E
272,Total renewable water resources,2007,337.0,E
273,Total renewable water resources,2012,337.0,E
274,Total renewable water resources,2017,337.0,E
275,Total renewable water resources,2018,337.0,E
276,Total renewable water resources per capita,1962,62961.1977798051,E
277,Total renewable water resources per capita,1967,55486.7139780088,E
278,Total renewable water resources per capita,1972,48512.8019094178,E
279,Total renewable water resources per capita,1977,42134.6699067436,E
280,Total renewable water resources per capita,1982,36495.0500474923,E
281,Total renewable water resources per capita,1987,31649.8671926493,E
282,Total renewable water resources per capita,1992,27395.3983534797,E
283,Total renewable water resources per capita,1997,23487.8330933671,E
284,Total renewable water resources per capita,2002,20101.2614466096,E
285,Total renewable water resources per capita,2007,17341.1624136222,E
286,Total renewable water resources per capita,2012,15080.5635476824,E
287,Total renewable water resources per capita,2017,13179.2433409233,E
288,Total renewable water resources per capita,2018,12832.0761389143,E
289,Total agricultural water managed area,1992,1088.81,I
290,Total agricultural water managed area,1997,1093.335,I
291,Total agricultural water managed area,2002,1108.41,E
292,Total agricultural water managed area,2007,1126.95,E
293,Total agricultural water managed area,2012,1126.95,E
294,Total agricultural water managed area,2017,1126.95,E
295,Total agricultural water managed area,2018,1126.95,E
296,Area equipped for irrigation: total,2002,831.7,E
297,Area equipped for irrigation: total,2007,831.7,E
298,Area equipped for irrigation: total,2012,831.7,E
299,Area equipped for irrigation: total,2017,831.7,E
300,Area equipped for irrigation: total,2018,831.7,E
301,% of agricultural GVA produced by irrigated agriculture,2002,39.8996196567,E
302,% of agricultural GVA produced by irrigated agriculture,2007,44.5363242266,E
303,% of agricultural GVA produced by irrigated agriculture,2012,45.5143082345,E
304,% of agricultural GVA produced by irrigated agriculture,2017,45.5143082345,E
305,% of agricultural GVA produced by irrigated agriculture,2018,45.5143082345,E
306,Ratio between rainfed and irrigated yields,1962,1.999,E
307,Ratio between rainfed and irrigated yields,1967,1.999,E
308,Ratio between rainfed and irrigated yields,1972,1.999,E
309,Ratio between rainfed and irrigated yields,1977,1.999,E
310,Ratio between rainfed and irrigated yields,1982,1.999,E
311,Ratio between rainfed and irrigated yields,1987,1.999,E
312,Ratio between rainfed and irrigated yields,1992,1.999,E
313,Ratio between rainfed and irrigated yields,1997,1.999,E
314,Ratio between rainfed and irrigated yields,2002,1.999,E
315,Ratio between rainfed and irrigated yields,2007,1.999,I
316,Ratio between rainfed and irrigated yields,2012,1.999,E
317,Ratio between rainfed and irrigated yields,2017,1.999,I
318,Ratio between rainfed and irrigated yields,2018,1.999,I
319,Agricultural water withdrawal as % of total renewable water resources,1987,4.6146142433,I
320,Agricultural water withdrawal as % of total renewable water resources,1992,4.3234421365,I
321,Agricultural water withdrawal as % of total renewable water resources,1997,4.0322700297,I
322,Agricultural water withdrawal as % of total renewable water resources,2002,3.8575667656,I
323,Agricultural water withdrawal as % of total renewable water resources,2007,3.8575667656,I
324,Agricultural water withdrawal as % of total renewable water resources,2012,3.8575667656,I
325,Agricultural water withdrawal as % of total renewable water resources,2017,3.8575667656,I
326,Agricultural water withdrawal as % of total renewable water resources,2018,3.8575667656,I
327,Agricultural water withdrawal,1987,15.55125,I
328,Agricultural water withdrawal,1992,14.57,I
329,Agricultural water withdrawal,1997,13.58875,I
330,Agricultural water withdrawal,2002,13.0,I
331,Agricultural water withdrawal,2007,13.0,I
332,Agricultural water withdrawal,2012,13.0,I
333,Agricultural water withdrawal,2017,13.0,I
334,Agricultural water withdrawal,2018,13.0,I
335,Irrigation water requirement,2002,4.398,I
336,Irrigation water requirement,2007,4.398,I
337,Irrigation water requirement,2012,4.398,I
338,Irrigation water requirement,2017,4.398,I
339,Irrigation water requirement,2018,4.398,I
340,Irrigation water withdrawal,2002,13.0,I
341,Irrigation water withdrawal,2007,13.0,I
342,Irrigation water withdrawal,2012,13.0,I
343,Irrigation water withdrawal,2017,13.0,I
344,Irrigation water withdrawal,2018,13.0,I
345,Municipal water withdrawal,1987,0.1772125,I
346,Municipal water withdrawal,1992,0.2009,I
347,Municipal water withdrawal,1997,0.2245875,I
348,Municipal water withdrawal,2002,0.26152,I
349,Municipal water withdrawal,2007,0.395,I
350,Municipal water withdrawal,2012,0.395,I
351,Municipal water withdrawal,2017,0.395,I
352,Municipal water withdrawal,2018,0.395,I
353,Industrial water withdrawal,1987,0.024525,I
354,Industrial water withdrawal,1992,0.0654,I
355,Industrial water withdrawal,1997,0.106275,I
356,Industrial water withdrawal,2002,0.14324,I
357,Industrial water withdrawal,2007,0.1619,I
358,Industrial water withdrawal,2012,0.1619,I
359,Industrial water withdrawal,2017,0.1619,I
360,Industrial water withdrawal,2018,0.1619,I
361,Total water withdrawal,1987,15.7529875,I
362,Total water withdrawal,1992,14.8363,I
363,Total water withdrawal,1997,13.9196125,I
364,Total water withdrawal,2002,13.40476,I
365,Total water withdrawal,2007,13.5569,E
366,Total water withdrawal,2012,13.5569,E
367,Total water withdrawal,2017,13.5569,E
368,Total water withdrawal,2018,13.5569,E
369,Fresh groundwater withdrawal,2002,0.024,I
370,Fresh groundwater withdrawal,2007,0.024,I
371,Fresh groundwater withdrawal,2012,0.024,I
372,Fresh groundwater withdrawal,2017,0.024,I
373,Fresh groundwater withdrawal,2018,0.024,I
374,Total freshwater withdrawal,1987,15.7529875,I
375,Total freshwater withdrawal,1992,14.8363,I
376,Total freshwater withdrawal,1997,13.9196125,I
377,Total freshwater withdrawal,2002,13.40476,I
378,Total freshwater withdrawal,2005,13.4575,E
391,SDG 6.4.2. Water Stress,1987,13.182416318,E
392,SDG 6.4.2. Water Stress,1992,12.4153138075,E
393,SDG 6.4.2. Water Stress,1997,11.6482112971,E
394,SDG 6.4.2. Water Stress,2002,11.2173723849,E
395,SDG 6.4.2. Water Stress,2005,11.2615062762,E
396,SDG 6.4.1. Water Use Efficiency,2002,0.4035454218,I
397,SDG 6.4.1. Water Use Efficiency,2007,0.5641497135,I
398,SDG 6.4.1. Water Use Efficiency,2009,0.5800132705,I
399,SDG 6.4.1. Water Use Efficiency,2015,0.6801701044,I
400,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.0760585138,E
401,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.0925640709,E
402,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2009,0.1052122714,E
403,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.1020544695,E
404,SDG 6.4.1. Industrial Water Use Efficiency,1987,27.2371247201,E
405,SDG 6.4.1. Industrial Water Use Efficiency,1992,11.5235181502,E
406,SDG 6.4.1. Industrial Water Use Efficiency,1997,7.1642660038,E
407,SDG 6.4.1. Industrial Water Use Efficiency,2002,6.5588255808,E
408,SDG 6.4.1. Industrial Water Use Efficiency,2007,10.6470735223,E
409,SDG 6.4.1. Industrial Water Use Efficiency,2009,10.8108004083,E
410,SDG 6.4.1. Industrial Water Use Efficiency,2015,12.6099047869,E
411,SDG 6.4.1. Services Water Use Efficiency,1987,13.8532207679,E
412,SDG 6.4.1. Services Water Use Efficiency,1992,14.0384202508,E
413,SDG 6.4.1. Services Water Use Efficiency,1997,14.839814875,E
414,SDG 6.4.1. Services Water Use Efficiency,2002,13.3113439612,E
415,SDG 6.4.1. Services Water Use Efficiency,2007,11.9519674085,E
416,SDG 6.4.1. Services Water Use Efficiency,2009,12.0130475768,E
417,SDG 6.4.1. Services Water Use Efficiency,2015,14.8170794911,E
418,Harvested irrigated temporary crop area: Rice,1992,865.54,I
419,Harvested irrigated temporary crop area: Rice,1997,829.39,I
420,Harvested irrigated temporary crop area: Rice,2002,866.775,I
421,Harvested irrigated temporary crop area: Rice,2007,1014.4625,I
422,Harvested irrigated temporary crop area: Rice,2012,1044.0,I
423,Harvested irrigated temporary crop area: Rice,2017,1044.0,I
424,Harvested irrigated temporary crop area: Rice,2018,1044.0,I
425,Harvested irrigated temporary crop area: Sugarcane,1992,13.41,I
426,Harvested irrigated temporary crop area: Sugarcane,1997,15.685,I
427,Harvested irrigated temporary crop area: Sugarcane,2002,17.225,I
428,Harvested irrigated temporary crop area: Sugarcane,2007,17.6625,I
429,Harvested irrigated temporary crop area: Sugarcane,2012,17.75,I
430,Harvested irrigated temporary crop area: Sugarcane,2017,17.75,I
431,Harvested irrigated temporary crop area: Sugarcane,2018,17.75,I
432,Harvested irrigated temporary crop area: Cotton,1992,1.4486,I
433,Harvested irrigated temporary crop area: Cotton,1997,1.3201,I
434,Harvested irrigated temporary crop area: Cotton,2002,1.243,I
435,Harvested irrigated temporary crop area: Cotton,2007,1.243,I
436,Harvested irrigated temporary crop area: Cotton,2012,1.243,I
437,Harvested irrigated temporary crop area: Cotton,2017,1.243,I
438,Harvested irrigated temporary crop area: Cotton,2018,1.243,I
439,Harvested irrigated temporary crop area: Other crops,1992,0.5,I
440,Harvested irrigated temporary crop area: Other crops,1997,0.5,I
441,Harvested irrigated temporary crop area: Other crops,2002,0.5,I
442,Harvested irrigated temporary crop area: Other crops,2007,0.5,I
443,Harvested irrigated temporary crop area: Other crops,2012,0.5,I
444,Harvested irrigated temporary crop area: Other crops,2017,0.5,I
445,Harvested irrigated temporary crop area: Other crops,2018,0.5,I
446,Harvested irrigated permanent crop area: Other crops,1992,0.5,I
447,Harvested irrigated permanent crop area: Other crops,1997,0.5,I
448,Harvested irrigated permanent crop area: Other crops,2002,0.5,I
449,Harvested irrigated permanent crop area: Other crops,2007,0.5,I
450,Harvested irrigated permanent crop area: Other crops,2012,0.5,I
451,Harvested irrigated permanent crop area: Other crops,2017,0.5,I
452,Harvested irrigated permanent crop area: Other crops,2018,0.5,I
