State of Palestine,Variable Name,Year,Value,Symbol
130,Surface water: leaving the country to other countries (total),1972,0.017,OF
131,Surface water: leaving the country to other countries (total),1977,0.017,OF
132,Surface water: leaving the country to other countries (total),1982,0.017,OF
133,Surface water: leaving the country to other countries (total),1987,0.017,OF
134,Surface water: leaving the country to other countries (total),1992,0.017,OF
135,Surface water: leaving the country to other countries (total),1997,0.017,OF
136,Surface water: leaving the country to other countries (total),2002,0.017,OF
137,Surface water: leaving the country to other countries (total),2007,0.017,OF
138,Surface water: leaving the country to other countries (total),2012,0.017,OF
139,Surface water: leaving the country to other countries (total),2017,0.017,OF
140,Groundwater: entering the country (total),1962,0.01,
141,Groundwater: entering the country (total),1967,0.01,
142,Groundwater: entering the country (total),1972,0.01,
143,Groundwater: entering the country (total),1977,0.01,
144,Groundwater: entering the country (total),1982,0.01,
145,Groundwater: entering the country (total),1987,0.01,
146,Groundwater: entering the country (total),1992,0.01,
147,Groundwater: entering the country (total),1997,0.01,
148,Groundwater: entering the country (total),2002,0.01,
149,Groundwater: entering the country (total),2007,0.01,
150,Groundwater: entering the country (total),2012,0.01,
151,Groundwater: entering the country (total),2017,0.01,OF
152,Dependency ratio,1962,2.9868578256,E
153,Dependency ratio,1967,2.9868578256,E
154,Dependency ratio,1972,2.9868578256,E
155,Dependency ratio,1977,2.9868578256,E
156,Dependency ratio,1982,2.9868578256,E
157,Dependency ratio,1987,2.9868578256,E
158,Dependency ratio,1992,2.9868578256,E
159,Dependency ratio,1997,2.9868578256,E
160,Dependency ratio,2002,2.9868578256,E
161,Dependency ratio,2007,2.9868578256,E
162,Dependency ratio,2012,2.9868578256,E
163,Dependency ratio,2017,2.9868578256,E
164,Dependency ratio,2018,2.9868578256,E
165,Total internal renewable water resources (IRWR),1962,0.812,E
166,Total internal renewable water resources (IRWR),1967,0.812,E
167,Total internal renewable water resources (IRWR),1972,0.812,E
168,Total internal renewable water resources (IRWR),1977,0.812,E
169,Total internal renewable water resources (IRWR),1982,0.812,E
170,Total internal renewable water resources (IRWR),1987,0.812,E
171,Total internal renewable water resources (IRWR),1992,0.812,E
172,Total internal renewable water resources (IRWR),1997,0.812,E
173,Total internal renewable water resources (IRWR),2002,0.812,E
174,Total internal renewable water resources (IRWR),2007,0.812,E
175,Total internal renewable water resources (IRWR),2012,0.812,E
176,Total internal renewable water resources (IRWR),2017,0.812,E
177,Total internal renewable water resources (IRWR),2018,0.812,E
178,Total internal renewable water resources per capita,1962,719.4907564931,E
179,Total internal renewable water resources per capita,1967,696.5472871542,E
180,Total internal renewable water resources per capita,1972,686.7243165528,E
181,Total internal renewable water resources per capita,1977,579.9507041901,E
182,Total internal renewable water resources per capita,1982,507.1998011177,E
183,Total internal renewable water resources per capita,1987,431.9723367469,E
184,Total internal renewable water resources per capita,1992,354.9475403272,E
185,Total internal renewable water resources per capita,1997,282.729214354,E
186,Total internal renewable water resources per capita,2002,240.2250305015,E
187,Total internal renewable water resources per capita,2007,216.1609600528,E
188,Total internal renewable water resources per capita,2012,191.4384121174,E
189,Total internal renewable water resources per capita,2017,171.0472239899,E
190,Total internal renewable water resources per capita,2018,166.9758392952,E
191,Total renewable surface water,1962,0.087,E
192,Total renewable surface water,1967,0.087,E
193,Total renewable surface water,1972,0.087,E
194,Total renewable surface water,1977,0.087,E
195,Total renewable surface water,1982,0.087,E
196,Total renewable surface water,1987,0.087,E
197,Total renewable surface water,1992,0.087,E
198,Total renewable surface water,1997,0.087,E
199,Total renewable surface water,2002,0.087,E
200,Total renewable surface water,2007,0.087,E
201,Total renewable surface water,2012,0.087,E
202,Total renewable surface water,2017,0.087,E
203,Total renewable surface water,2018,0.087,E
204,Total renewable groundwater,1962,0.75,E
205,Total renewable groundwater,1967,0.75,E
206,Total renewable groundwater,1972,0.75,E
207,Total renewable groundwater,1977,0.75,E
208,Total renewable groundwater,1982,0.75,E
209,Total renewable groundwater,1987,0.75,E
210,Total renewable groundwater,1992,0.75,E
211,Total renewable groundwater,1997,0.75,E
212,Total renewable groundwater,2002,0.75,E
213,Total renewable groundwater,2007,0.75,E
214,Total renewable groundwater,2012,0.75,E
215,Total renewable groundwater,2017,0.75,E
216,Total renewable groundwater,2018,0.75,E
217,Total exploitable water resources,1962,0.715,E
218,Total exploitable water resources,1967,0.715,E
219,Total exploitable water resources,1972,0.715,E
220,Total exploitable water resources,1977,0.715,E
221,Total exploitable water resources,1982,0.715,E
222,Total exploitable water resources,1987,0.715,E
223,Total exploitable water resources,1992,0.715,E
224,Total exploitable water resources,1997,0.715,E
225,Total exploitable water resources,2002,0.715,E
226,Total exploitable water resources,2007,0.715,E
227,Total exploitable water resources,2012,0.715,E
228,Total exploitable water resources,2017,0.715,E
229,Total exploitable water resources,2018,0.715,E
230,Water resources: total external renewable,1962,0.025,E
231,Water resources: total external renewable,1967,0.025,E
232,Water resources: total external renewable,1972,0.025,E
233,Water resources: total external renewable,1977,0.025,E
234,Water resources: total external renewable,1982,0.025,E
235,Water resources: total external renewable,1987,0.025,E
236,Water resources: total external renewable,1992,0.025,E
237,Water resources: total external renewable,1997,0.025,E
238,Water resources: total external renewable,2002,0.025,E
239,Water resources: total external renewable,2007,0.025,E
240,Water resources: total external renewable,2012,0.025,E
241,Water resources: total external renewable,2017,0.025,E
242,Water resources: total external renewable,2018,0.025,E
243,Total renewable water resources,1962,0.837,E
244,Total renewable water resources,1967,0.837,E
245,Total renewable water resources,1972,0.837,E
246,Total renewable water resources,1977,0.837,E
247,Total renewable water resources,1982,0.837,E
248,Total renewable water resources,1987,0.837,E
249,Total renewable water resources,1992,0.837,E
250,Total renewable water resources,1997,0.837,E
251,Total renewable water resources,2002,0.837,E
252,Total renewable water resources,2007,0.837,E
253,Total renewable water resources,2012,0.837,E
254,Total renewable water resources,2017,0.837,E
255,Total renewable water resources,2018,0.837,E
256,Total renewable water resources per capita,1962,741.6425654985,E
257,Total renewable water resources per capita,1967,717.9927085567,E
258,Total renewable water resources per capita,1972,707.8673065945,E
259,Total renewable water resources per capita,1977,597.8063293192,E
260,Total renewable water resources per capita,1982,522.8155585413,E
261,Total renewable water resources per capita,1987,445.2719776566,E
262,Total renewable water resources per capita,1992,365.8757281452,E
263,Total renewable water resources per capita,1997,291.4339315447,E
264,Total renewable water resources per capita,2002,247.621121342,E
265,Total renewable water resources per capita,2007,222.8161620249,E
266,Total renewable water resources per capita,2012,197.3324518993,E
267,Total renewable water resources per capita,2017,176.3134562556,E
268,Total renewable water resources per capita,2018,172.1167210469,E
269,Total agricultural water managed area,2002,22.035,I
270,Total agricultural water managed area,2007,53.5384615385,I
271,Total agricultural water managed area,2012,90.4615384615,I
272,Total agricultural water managed area,2015,112.6153846154,I
273,Area equipped for irrigation: total,2002,22.035,I
274,Area equipped for irrigation: total,2007,53.5384615385,I
275,Area equipped for irrigation: total,2012,90.4615384615,I
276,Area equipped for irrigation: total,2015,112.6153846154,I
277,% of agricultural GVA produced by irrigated agriculture,1997,17.8926626926,E
278,% of agricultural GVA produced by irrigated agriculture,2002,33.9152692587,E
279,% of agricultural GVA produced by irrigated agriculture,2007,50.6807982896,E
280,% of agricultural GVA produced by irrigated agriculture,2012,88.8901493617,E
281,% of agricultural GVA produced by irrigated agriculture,2017,76.7971499761,E
282,% of agricultural GVA produced by irrigated agriculture,2018,78.0509218613,E
284,Ratio between rainfed and irrigated yields,1966,1.778,I
285,Ratio between rainfed and irrigated yields,1971,1.778,I
286,Ratio between rainfed and irrigated yields,1976,1.778,I
287,Ratio between rainfed and irrigated yields,1981,1.778,I
288,Ratio between rainfed and irrigated yields,1986,1.778,I
289,Ratio between rainfed and irrigated yields,1991,1.778,I
290,Ratio between rainfed and irrigated yields,1996,1.778,I
291,Ratio between rainfed and irrigated yields,2001,1.778,I
292,Ratio between rainfed and irrigated yields,2007,1.778,I
293,Ratio between rainfed and irrigated yields,2011,1.778,I
294,Ratio between rainfed and irrigated yields,2017,1.778,I
295,Ratio between rainfed and irrigated yields,2018,1.778,I
296,Agricultural water withdrawal as % of total renewable water resources,2002,20.3703703704,I
297,Agricultural water withdrawal as % of total renewable water resources,2005,22.5806451613,E
298,Agricultural water withdrawal as % of total renewable water resources,2017,19.3548387097,E
299,Agricultural water withdrawal as % of total renewable water resources,2018,20.9677419355,E
300,Agricultural water withdrawal,2002,0.1705,I
301,Agricultural water withdrawal,2005,0.189,OF
302,Agricultural water withdrawal,2017,0.162,OF
303,Irrigation water requirement,2007,0.0931,I
304,Irrigation water requirement,2012,0.0931,I
305,Irrigation water requirement,2017,0.0931,I
306,Irrigation water requirement,2018,0.0931,I
307,Municipal water withdrawal,2002,0.14084,I
308,Municipal water withdrawal,2005,0.2,OF
309,Municipal water withdrawal,2017,0.1812,OF
310,Industrial water withdrawal,2002,0.02036,I
311,Industrial water withdrawal,2005,0.029,OF
312,Industrial water withdrawal,2017,0.032,OF
313,Total water withdrawal,2002,0.3317,E
314,Total water withdrawal,2005,0.418,E
315,Total water withdrawal,2016,0.3636,OF
316,Fresh groundwater withdrawal,2017,0.2645,OF
317,Total freshwater withdrawal,2002,0.3236333333,E
318,Total freshwater withdrawal,2004,0.3808,E
319,Desalinated water produced,2017,0.004,OF
320,Direct use of treated municipal wastewater,2002,0.0080666667,I
321,Direct use of treated municipal wastewater,2007,0.00565,I
322,Direct use of treated municipal wastewater,2012,0.0032333333,I
323,Direct use of treated municipal wastewater,2017,0.013,OF
324,Direct use of treated municipal wastewater,2018,0.013,I
325,Produced municipal wastewater,2001,0.071,OF
326,Collected municipal wastewater,2017,0.122,OF
327,Treated municipal wastewater,2017,0.083,OF
340,SDG 6.4.2. Water Stress,2002,46.1607949413,E
341,SDG 6.4.2. Water Stress,2005,58.1942661532,E
342,SDG 6.4.2. Water Stress,2017,41.0783055199,E
343,SDG 6.4.1. Water Use Efficiency,2005,17.188239625,I
344,SDG 6.4.1. Water Use Efficiency,2016,35.5000873358,I
345,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2005,1.8045334795,E
346,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2016,6.142760635,E
347,SDG 6.4.1. Industrial Water Use Efficiency,2005,51.2956744058,E
348,SDG 6.4.1. Industrial Water Use Efficiency,2016,93.0084237754,E
349,SDG 6.4.1. Services Water Use Efficiency,2005,26.7802638893,E
350,SDG 6.4.1. Services Water Use Efficiency,2016,54.9040522844,E
351,Harvested irrigated temporary crop area: Vegetables,1997,12.76,OF
352,Harvested irrigated temporary crop area: Vegetables,2002,12.76,I
353,Harvested irrigated temporary crop area: Vegetables,2007,12.76,I
354,Harvested irrigated temporary crop area: Vegetables,2012,12.76,I
355,Harvested irrigated temporary crop area: Vegetables,2017,12.76,I
356,Harvested irrigated temporary crop area: Vegetables,2018,12.76,I
357,Harvested irrigated permanent crop area: Bananas,1997,0.577,OF
358,Harvested irrigated permanent crop area: Bananas,2002,0.577,I
359,Harvested irrigated permanent crop area: Bananas,2007,0.577,I
360,Harvested irrigated permanent crop area: Bananas,2012,0.577,I
361,Harvested irrigated permanent crop area: Bananas,2017,0.577,I
362,Harvested irrigated permanent crop area: Bananas,2018,0.577,I
363,Harvested irrigated permanent crop area: Citrus,1997,6.261,OF
364,Harvested irrigated permanent crop area: Citrus,2002,6.261,I
365,Harvested irrigated permanent crop area: Citrus,2007,6.261,I
366,Harvested irrigated permanent crop area: Citrus,2012,6.261,I
367,Harvested irrigated permanent crop area: Citrus,2017,6.261,I
368,Harvested irrigated permanent crop area: Citrus,2018,6.261,I
369,Harvested irrigated temporary crop area: Other crops,1997,2.839,OF
370,Harvested irrigated temporary crop area: Other crops,2002,2.839,I
371,Harvested irrigated temporary crop area: Other crops,2007,2.839,I
372,Harvested irrigated temporary crop area: Other crops,2012,2.839,I
373,Harvested irrigated temporary crop area: Other crops,2017,2.839,I
374,Harvested irrigated temporary crop area: Other crops,2018,2.839,I
375,Harvested irrigated permanent crop area: Other crops,1997,1.585,OF
376,Harvested irrigated permanent crop area: Other crops,2002,1.585,I
377,Harvested irrigated permanent crop area: Other crops,2007,1.585,I
378,Harvested irrigated permanent crop area: Other crops,2012,1.585,I
379,Harvested irrigated permanent crop area: Other crops,2017,1.585,I
380,Harvested irrigated permanent crop area: Other crops,2018,1.585,I
