Norway,Variable Name,Year,Value,Symbol
83,GDP per capita,1972,4412.733806,X
84,GDP per capita,1977,10263.264976,X
85,GDP per capita,1982,15236.405175,X
86,GDP per capita,1987,22505.726091,X
87,GDP per capita,1992,30479.311545,X
88,GDP per capita,1997,36503.85721,X
89,GDP per capita,2002,43010.094074,X
90,GDP per capita,2007,84951.119269,X
91,GDP per capita,2012,101657.143964,X
92,GDP per capita,2017,75092.402428,X
93,GDP per capita,2018,81101.658048,X
94,"Agriculture, value added (% GDP)",1972,4.587188,X
95,"Agriculture, value added (% GDP)",1977,4.434579,X
96,"Agriculture, value added (% GDP)",1982,3.418784,X
97,"Agriculture, value added (% GDP)",1987,3.196535,X
98,"Agriculture, value added (% GDP)",1992,2.627744,X
99,"Agriculture, value added (% GDP)",1997,2.061787,X
100,"Agriculture, value added (% GDP)",2002,1.520731,X
101,"Agriculture, value added (% GDP)",2007,1.239866,X
102,"Agriculture, value added (% GDP)",2012,1.127949,X
103,"Agriculture, value added (% GDP)",2017,1.976463,X
104,"Agriculture, value added (% GDP)",2018,1.883224,X
105,Total population with access to safe drinking-water (JMP),1992,100.0,X
106,Total population with access to safe drinking-water (JMP),1997,100.0,X
107,Total population with access to safe drinking-water (JMP),2002,100.0,X
108,Total population with access to safe drinking-water (JMP),2007,100.0,X
109,Total population with access to safe drinking-water (JMP),2012,100.0,X
110,Total population with access to safe drinking-water (JMP),2017,100.0,I
111,Total population with access to safe drinking-water (JMP),2018,100.0,I
112,Long-term average annual precipitation in volume,1962,544.64452,E
113,Long-term average annual precipitation in volume,1967,544.64452,E
114,Long-term average annual precipitation in volume,1972,544.64452,E
115,Long-term average annual precipitation in volume,1977,544.64452,E
116,Long-term average annual precipitation in volume,1982,544.64452,E
117,Long-term average annual precipitation in volume,1987,544.64452,E
118,Long-term average annual precipitation in volume,1992,544.64452,E
119,Long-term average annual precipitation in volume,1997,544.64452,E
120,Long-term average annual precipitation in volume,2002,544.64452,E
121,Long-term average annual precipitation in volume,2007,544.64452,E
122,Long-term average annual precipitation in volume,2012,544.64452,E
123,Long-term average annual precipitation in volume,2017,544.67719754,E
124,Long-term average annual precipitation in volume,2018,544.68353226,E
125,Interannual variability (WRI),2017,1.0,I
126,Interannual variability (WRI),2018,1.0,I
127,Seasonal variability (WRI),2017,1.6,I
128,Seasonal variability (WRI),2018,1.6,I
129,Flood occurrence (WRI),2017,1.3,I
130,Flood occurrence (WRI),2018,1.3,I
131,Surface water: entering the country (total),1962,11.0,OF
132,Surface water: entering the country (total),1967,11.0,OF
133,Surface water: entering the country (total),1972,11.0,OF
134,Surface water: entering the country (total),1977,11.0,OF
135,Surface water: entering the country (total),1982,11.0,OF
136,Surface water: entering the country (total),1987,11.0,OF
137,Surface water: entering the country (total),1992,11.0,OF
138,Surface water: entering the country (total),1997,11.0,OF
139,Surface water: entering the country (total),2002,11.0,OF
140,Surface water: entering the country (total),2007,11.0,OF
141,Surface water: entering the country (total),2012,11.0,OF
142,Surface water: entering the country (total),2017,11.0,OF
143,Surface water: leaving the country to other countries (total),1961,10.0,OF
144,Surface water: leaving the country to other countries (total),1966,10.0,OF
145,Surface water: leaving the country to other countries (total),1971,10.0,OF
146,Surface water: leaving the country to other countries (total),1976,10.0,OF
147,Surface water: leaving the country to other countries (total),1981,10.0,OF
148,Surface water: leaving the country to other countries (total),1986,10.0,OF
149,Surface water: leaving the country to other countries (total),1991,10.0,OF
150,Surface water: leaving the country to other countries (total),1996,10.0,OF
151,Surface water: leaving the country to other countries (total),2001,10.0,OF
152,Surface water: leaving the country to other countries (total),2006,10.0,OF
154,Surface water: leaving the country to other countries (total),2017,10.0,OF
155,Groundwater: entering the country (total),1962,0.0,E
156,Groundwater: entering the country (total),1967,0.0,E
157,Groundwater: entering the country (total),1972,0.0,E
158,Groundwater: entering the country (total),1977,0.0,E
159,Groundwater: entering the country (total),1982,0.0,E
160,Groundwater: entering the country (total),1987,0.0,E
161,Groundwater: entering the country (total),1992,0.0,E
162,Groundwater: entering the country (total),1997,0.0,E
163,Groundwater: entering the country (total),2002,0.0,E
164,Groundwater: entering the country (total),2007,0.0,E
165,Groundwater: entering the country (total),2012,0.0,E
166,Groundwater: entering the country (total),2017,0.0,E
167,Groundwater: leaving the country to other countries (total),1962,0.0,OF
168,Groundwater: leaving the country to other countries (total),1967,0.0,OF
169,Groundwater: leaving the country to other countries (total),1972,0.0,OF
170,Groundwater: leaving the country to other countries (total),1977,0.0,OF
171,Groundwater: leaving the country to other countries (total),1982,0.0,OF
172,Groundwater: leaving the country to other countries (total),1987,0.0,OF
173,Groundwater: leaving the country to other countries (total),1992,0.0,OF
174,Groundwater: leaving the country to other countries (total),1997,0.0,OF
175,Groundwater: leaving the country to other countries (total),2002,0.0,OF
176,Groundwater: leaving the country to other countries (total),2007,0.0,OF
177,Groundwater: leaving the country to other countries (total),2012,0.0,OF
178,Groundwater: leaving the country to other countries (total),2017,0.0,OF
179,Dependency ratio,1962,2.7989821883,E
180,Dependency ratio,1967,2.7989821883,E
181,Dependency ratio,1972,2.7989821883,E
182,Dependency ratio,1977,2.7989821883,E
183,Dependency ratio,1982,2.7989821883,E
184,Dependency ratio,1987,2.7989821883,E
185,Dependency ratio,1992,2.7989821883,E
186,Dependency ratio,1997,2.7989821883,E
187,Dependency ratio,2002,2.7989821883,E
188,Dependency ratio,2007,2.7989821883,E
189,Dependency ratio,2012,2.7989821883,E
190,Dependency ratio,2017,2.7989821883,E
191,Dependency ratio,2018,2.7989821883,E
192,Total internal renewable water resources (IRWR),1962,382.0,E
193,Total internal renewable water resources (IRWR),1967,382.0,E
194,Total internal renewable water resources (IRWR),1972,382.0,E
195,Total internal renewable water resources (IRWR),1977,382.0,E
196,Total internal renewable water resources (IRWR),1982,382.0,E
197,Total internal renewable water resources (IRWR),1987,382.0,E
198,Total internal renewable water resources (IRWR),1992,382.0,E
199,Total internal renewable water resources (IRWR),1997,382.0,E
200,Total internal renewable water resources (IRWR),2002,382.0,E
201,Total internal renewable water resources (IRWR),2007,382.0,E
202,Total internal renewable water resources (IRWR),2012,382.0,E
203,Total internal renewable water resources (IRWR),2017,382.0,E
204,Total internal renewable water resources (IRWR),2018,382.0,E
205,Total internal renewable water resources per capita,1962,104967.836426038,E
206,Total internal renewable water resources per capita,1967,100928.222595874,E
207,Total internal renewable water resources per capita,1972,97108.9743182353,E
208,Total internal renewable water resources per capita,1977,94453.2221653525,E
209,Total internal renewable water resources per capita,1982,92906.5824313653,E
210,Total internal renewable water resources per capita,1987,91235.4715870769,E
211,Total internal renewable water resources per capita,1992,88988.6348467846,E
212,Total internal renewable water resources per capita,1997,86420.2167201854,E
213,Total internal renewable water resources per capita,2002,84029.5652085924,E
214,Total internal renewable water resources per capita,2007,80942.4583877364,E
215,Total internal renewable water resources per capita,2012,76191.0992440925,E
216,Total internal renewable water resources per capita,2017,72125.4696179956,E
217,Total internal renewable water resources per capita,2018,71562.8923547976,E
218,Total renewable surface water,1962,387.0,E
219,Total renewable surface water,1967,387.0,E
220,Total renewable surface water,1972,387.0,E
221,Total renewable surface water,1977,387.0,E
222,Total renewable surface water,1982,387.0,E
223,Total renewable surface water,1987,387.0,E
224,Total renewable surface water,1992,387.0,E
225,Total renewable surface water,1997,387.0,E
226,Total renewable surface water,2002,387.0,E
227,Total renewable surface water,2007,387.0,E
228,Total renewable surface water,2012,387.0,E
229,Total renewable surface water,2017,387.0,E
230,Total renewable surface water,2018,387.0,E
231,Total renewable groundwater,1962,96.0,E
232,Total renewable groundwater,1967,96.0,E
233,Total renewable groundwater,1972,96.0,E
234,Total renewable groundwater,1977,96.0,E
235,Total renewable groundwater,1982,96.0,E
236,Total renewable groundwater,1987,96.0,E
237,Total renewable groundwater,1992,96.0,E
238,Total renewable groundwater,1997,96.0,E
239,Total renewable groundwater,2002,96.0,E
240,Total renewable groundwater,2007,96.0,E
241,Total renewable groundwater,2012,96.0,E
242,Total renewable groundwater,2017,96.0,E
243,Total renewable groundwater,2018,96.0,E
244,Total exploitable water resources,1962,275.0,E
245,Total exploitable water resources,1967,275.0,E
246,Total exploitable water resources,1972,275.0,E
247,Total exploitable water resources,1977,275.0,E
248,Total exploitable water resources,1982,275.0,E
249,Total exploitable water resources,1987,275.0,E
250,Total exploitable water resources,1992,275.0,E
251,Total exploitable water resources,1997,275.0,E
252,Total exploitable water resources,2002,275.0,E
253,Total exploitable water resources,2007,275.0,E
254,Total exploitable water resources,2012,275.0,E
255,Total exploitable water resources,2017,275.0,E
256,Total exploitable water resources,2018,275.0,E
257,Water resources: total external renewable,1962,11.0,E
258,Water resources: total external renewable,1967,11.0,E
259,Water resources: total external renewable,1972,11.0,E
260,Water resources: total external renewable,1977,11.0,E
261,Water resources: total external renewable,1982,11.0,E
262,Water resources: total external renewable,1987,11.0,E
263,Water resources: total external renewable,1992,11.0,E
264,Water resources: total external renewable,1997,11.0,E
265,Water resources: total external renewable,2002,11.0,E
266,Water resources: total external renewable,2007,11.0,E
267,Water resources: total external renewable,2012,11.0,E
268,Water resources: total external renewable,2017,11.0,E
269,Water resources: total external renewable,2018,11.0,E
270,Total renewable water resources,1962,393.0,E
271,Total renewable water resources,1967,393.0,E
272,Total renewable water resources,1972,393.0,E
273,Total renewable water resources,1977,393.0,E
274,Total renewable water resources,1982,393.0,E
275,Total renewable water resources,1987,393.0,E
276,Total renewable water resources,1992,393.0,E
277,Total renewable water resources,1997,393.0,E
278,Total renewable water resources,2002,393.0,E
279,Total renewable water resources,2007,393.0,E
280,Total renewable water resources,2012,393.0,E
281,Total renewable water resources,2017,393.0,E
282,Total renewable water resources,2018,393.0,E
283,Total renewable water resources per capita,1962,107990.470459248,E
284,Total renewable water resources per capita,1967,103834.532670624,E
285,Total renewable water resources per capita,1972,99905.306039441,E
286,Total renewable water resources per capita,1977,97173.0793481244,E
287,Total renewable water resources per capita,1982,95581.9028678705,E
288,Total renewable water resources per capita,1987,93862.6710306838,E
289,Total renewable water resources per capita,1992,91551.1348031057,E
290,Total renewable water resources per capita,1997,88908.7569922326,E
291,Total renewable water resources per capita,2002,86449.2647303058,E
292,Total renewable water resources per capita,2007,83273.2621632995,E
293,Total renewable water resources per capita,2012,78385.0837772994,E
294,Total renewable water resources per capita,2017,74202.381046786,E
295,Total renewable water resources per capita,2018,73623.6039147525,E
296,Total agricultural water managed area,1992,109.0,I
297,Total agricultural water managed area,1997,129.96,I
298,Total agricultural water managed area,2002,127.4666666667,I
299,Total agricultural water managed area,2007,114.9,E
300,Total agricultural water managed area,2012,90.3566666667,I
301,Total agricultural water managed area,2017,88.91,I
302,Total agricultural water managed area,2018,88.91,I
303,Area equipped for irrigation: total,1992,109.0,I
304,Area equipped for irrigation: total,1997,129.96,I
305,Area equipped for irrigation: total,2002,127.4666666667,I
306,Area equipped for irrigation: total,2007,114.9,E
307,Area equipped for irrigation: total,2012,90.3566666667,I
308,Area equipped for irrigation: total,2017,88.91,I
309,Area equipped for irrigation: total,2018,88.91,I
310,% of agricultural GVA produced by irrigated agriculture,2007,10.8632622002,E
311,% of agricultural GVA produced by irrigated agriculture,2012,11.3829750084,E
312,% of agricultural GVA produced by irrigated agriculture,2017,11.5414211798,E
313,% of agricultural GVA produced by irrigated agriculture,2018,11.5172664777,E
315,Ratio between rainfed and irrigated yields,1966,1.778,I
316,Ratio between rainfed and irrigated yields,1971,1.778,I
317,Ratio between rainfed and irrigated yields,1976,1.778,I
318,Ratio between rainfed and irrigated yields,1981,1.778,I
319,Ratio between rainfed and irrigated yields,1986,1.778,I
320,Ratio between rainfed and irrigated yields,1991,1.778,I
321,Ratio between rainfed and irrigated yields,1996,1.778,I
322,Ratio between rainfed and irrigated yields,2001,1.778,I
323,Ratio between rainfed and irrigated yields,2007,1.778,I
324,Ratio between rainfed and irrigated yields,2011,1.778,I
325,Ratio between rainfed and irrigated yields,2017,1.778,I
326,Ratio between rainfed and irrigated yields,2018,1.778,I
327,Agricultural water withdrawal as % of total renewable water resources,1997,0.1890839695,I
328,Agricultural water withdrawal as % of total renewable water resources,2002,0.2055979644,E
329,Agricultural water withdrawal as % of total renewable water resources,2007,0.2149872774,I
330,Agricultural water withdrawal as % of total renewable water resources,2012,0.2149872774,I
331,Agricultural water withdrawal as % of total renewable water resources,2017,0.2149872774,I
332,Agricultural water withdrawal as % of total renewable water resources,2018,0.2149872774,I
333,Agricultural water withdrawal,1997,0.7431,I
334,Agricultural water withdrawal,2002,0.808,X
335,Agricultural water withdrawal,2007,0.8449,I
336,Agricultural water withdrawal,2012,0.8449,I
337,Agricultural water withdrawal,2017,0.8449,I
338,Agricultural water withdrawal,2018,0.8449,I
339,Irrigation water requirement,2012,0.0677,I
340,Irrigation water requirement,2017,0.0677,I
341,Irrigation water requirement,2018,0.0677,I
342,Irrigation water withdrawal,1997,0.1737,I
343,Irrigation water withdrawal,2001,0.1768,X
344,Irrigation water withdrawal,2007,0.1128,I
345,Irrigation water withdrawal,2012,0.1128,I
346,Irrigation water withdrawal,2017,0.1128,I
347,Irrigation water withdrawal,2018,0.1128,I
348,Municipal water withdrawal,1992,0.7603333333,I
349,Municipal water withdrawal,1997,0.786,I
350,Municipal water withdrawal,2002,0.808,X
351,Municipal water withdrawal,2007,0.9482,X
352,Municipal water withdrawal,2012,0.816,X
353,Municipal water withdrawal,2017,0.7753,X
354,Municipal water withdrawal,2018,0.7753,I
355,Industrial water withdrawal,1997,0.867,I
356,Industrial water withdrawal,2002,0.9381428571,I
357,Industrial water withdrawal,2007,1.233,X
358,Industrial water withdrawal,2012,1.071,I
359,Industrial water withdrawal,2017,1.071,I
360,Industrial water withdrawal,2018,1.071,I
361,Total water withdrawal,1982,2.0525,I
362,Total water withdrawal,1987,2.18375,I
363,Total water withdrawal,1992,2.315,I
364,Total water withdrawal,1997,2.3961,I
365,Total water withdrawal,2002,2.5541428571,E
366,Total water withdrawal,2007,3.0261,E
367,Total water withdrawal,2012,2.7319,E
368,Total water withdrawal,2017,2.6912,E
369,Total water withdrawal,2018,2.6912,E
370,Total freshwater withdrawal,1982,2.0525,E
371,Total freshwater withdrawal,1987,2.18370625,I
372,Total freshwater withdrawal,1992,2.314925,I
373,Total freshwater withdrawal,1997,2.3960333333,I
374,Total freshwater withdrawal,2002,2.5540428571,E
375,Total freshwater withdrawal,2007,3.026,E
376,Total freshwater withdrawal,2012,2.7318,E
377,Total freshwater withdrawal,2017,2.6911,E
378,Total freshwater withdrawal,2018,2.6911,E
379,Desalinated water produced,1992,0.0001,I
380,Desalinated water produced,1997,0.0001,I
381,Desalinated water produced,2002,0.0001,I
382,Desalinated water produced,2007,0.0001,I
383,Desalinated water produced,2012,0.0001,I
384,Desalinated water produced,2017,0.0001,I
385,Desalinated water produced,2018,0.0001,I
386,Produced municipal wastewater,2012,0.93,I
387,Produced municipal wastewater,2017,0.93,I
388,Produced municipal wastewater,2018,0.93,I
389,Collected municipal wastewater,2012,0.883,I
390,Collected municipal wastewater,2017,0.883,I
391,Collected municipal wastewater,2018,0.883,I
404,SDG 6.4.2. Water Stress,1982,1.5608269962,E
405,SDG 6.4.2. Water Stress,1987,1.6606131179,E
406,SDG 6.4.2. Water Stress,1992,1.7603992395,E
407,SDG 6.4.2. Water Stress,1997,1.8220785805,E
408,SDG 6.4.2. Water Stress,2002,1.9422379142,E
409,SDG 6.4.2. Water Stress,2007,2.3011406844,E
410,SDG 6.4.2. Water Stress,2012,2.0774144487,E
411,SDG 6.4.2. Water Stress,2017,2.0464638783,E
412,SDG 6.4.2. Water Stress,2018,2.0464638783,E
413,SDG 6.4.1. Water Use Efficiency,2006,103.4798117113,I
414,SDG 6.4.1. Water Use Efficiency,2011,113.9728194185,I
415,SDG 6.4.1. Water Use Efficiency,2017,128.7703193073,I
416,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2006,0.5576491591,E
417,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2011,0.6432370061,E
418,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2017,1.0772336464,E
419,SDG 6.4.1. Industrial Water Use Efficiency,1997,92.868480212,E
420,SDG 6.4.1. Industrial Water Use Efficiency,2002,101.7717968326,E
421,SDG 6.4.1. Industrial Water Use Efficiency,2006,111.4983584393,E
422,SDG 6.4.1. Industrial Water Use Efficiency,2011,115.2194452241,E
423,SDG 6.4.1. Industrial Water Use Efficiency,2017,101.3402935521,E
424,SDG 6.4.1. Services Water Use Efficiency,1992,180.5593199794,E
425,SDG 6.4.1. Services Water Use Efficiency,1997,199.5846644163,E
426,SDG 6.4.1. Services Water Use Efficiency,2002,218.4314010225,E
427,SDG 6.4.1. Services Water Use Efficiency,2006,185.4200762886,E
428,SDG 6.4.1. Services Water Use Efficiency,2011,224.6739894766,E
429,SDG 6.4.1. Services Water Use Efficiency,2017,305.818488608,E
430,Harvested irrigated temporary crop area: Barley,2012,28.8,I
431,Harvested irrigated temporary crop area: Barley,2017,28.8,I
432,Harvested irrigated temporary crop area: Barley,2018,28.8,I
433,Harvested irrigated temporary crop area: Other cereals,2012,14.3,I
434,Harvested irrigated temporary crop area: Other cereals,2017,14.3,I
435,Harvested irrigated temporary crop area: Other cereals,2018,14.3,I
436,Harvested irrigated temporary crop area: Potatoes,2012,5.0,I
437,Harvested irrigated temporary crop area: Potatoes,2017,5.0,I
438,Harvested irrigated temporary crop area: Potatoes,2018,5.0,I
439,Harvested irrigated temporary crop area: Vegetables,2012,1.8,I
440,Harvested irrigated temporary crop area: Vegetables,2017,1.8,I
441,Harvested irrigated temporary crop area: Vegetables,2018,1.8,I
442,Harvested irrigated temporary crop area: Other crops,2012,3.3,I
443,Harvested irrigated temporary crop area: Other crops,2017,3.3,I
444,Harvested irrigated temporary crop area: Other crops,2018,3.3,I
