Burkina Faso,Variable Name,Year,Value,Symbol
74,Gross Domestic Product (GDP),1997,2781167908.0,X
75,Gross Domestic Product (GDP),1998,3187074925.0,X
76,GDP per capita,1972,113.272798,X
77,GDP per capita,1977,181.143877,X
78,GDP per capita,1982,258.17228,X
79,GDP per capita,1987,330.797953,X
80,GDP per capita,1992,410.256331,X
81,GDP per capita,1997,260.761888,X
82,GDP per capita,2002,293.283995,X
83,GDP per capita,2007,534.351684,X
84,GDP per capita,2012,758.044678,X
85,GDP per capita,2017,738.274757,X
86,GDP per capita,2018,820.166756,X
87,"Agriculture, value added (% GDP)",1962,39.49,X
88,"Agriculture, value added (% GDP)",1967,34.21,X
89,"Agriculture, value added (% GDP)",1972,26.503218,X
90,"Agriculture, value added (% GDP)",1977,26.053148,X
91,"Agriculture, value added (% GDP)",1982,24.402018,X
92,"Agriculture, value added (% GDP)",1987,22.904576,X
93,"Agriculture, value added (% GDP)",1992,23.725878,X
94,"Agriculture, value added (% GDP)",1997,27.780888,X
95,"Agriculture, value added (% GDP)",1998,30.10684,X
96,"Agriculture, value added to GDP",1962,143699514.0,X
97,"Agriculture, value added to GDP",1967,150605839.0,X
98,"Agriculture, value added to GDP",1969,153140095.0,X
99,Number of people undernourished (3-year average),1992,2400.0,X
100,Number of people undernourished (3-year average),1997,2200.0,X
101,Number of people undernourished (3-year average),2001,2900.0,X
102,Prevalence of undernourishment (3-year average),1992,26.0,X
103,Prevalence of undernourishment (3-year average),1997,20.9,X
104,Prevalence of undernourishment (3-year average),2001,25.4,X
105,Total population with access to safe drinking-water (JMP),1992,45.4,X
106,Total population with access to safe drinking-water (JMP),1997,54.3,X
107,Total population with access to safe drinking-water (JMP),2002,63.6,X
108,Total population with access to safe drinking-water (JMP),2007,72.8,X
109,Total population with access to safe drinking-water (JMP),2012,81.7,X
110,Total population with access to safe drinking-water (JMP),2017,82.3,I
111,Total population with access to safe drinking-water (JMP),2018,82.3,I
112,Population affected by water related disease,2002,1206.7,I
113,Population affected by water related disease,2007,3965.2,I
114,Population affected by water related disease,2012,6172.0,I
115,Population affected by water related disease,2017,6172.0,I
116,Population affected by water related disease,2018,6172.0,I
117,Long-term average annual precipitation in volume,1962,205.11656,E
118,Long-term average annual precipitation in volume,1967,205.11656,E
119,Long-term average annual precipitation in volume,1972,205.11656,E
120,Long-term average annual precipitation in volume,1977,205.11656,E
121,Long-term average annual precipitation in volume,1982,205.11656,E
122,Long-term average annual precipitation in volume,1987,205.11656,E
123,Long-term average annual precipitation in volume,1992,205.11656,E
124,Long-term average annual precipitation in volume,1997,205.11656,E
125,Long-term average annual precipitation in volume,2002,205.11656,E
126,Long-term average annual precipitation in volume,2007,205.11656,E
127,Long-term average annual precipitation in volume,2012,205.11656,E
128,Long-term average annual precipitation in volume,2017,205.11656,E
129,Long-term average annual precipitation in volume,2018,205.11656,E
130,Interannual variability (WRI),2017,1.5,I
131,Interannual variability (WRI),2018,1.5,I
132,Seasonal variability (WRI),2017,4.0,I
133,Seasonal variability (WRI),2018,4.0,I
134,Flood occurrence (WRI),2017,3.3,I
135,Flood occurrence (WRI),2018,3.3,I
147,Surface water: entering the country (total),2017,1.0,OF
159,Surface water: leaving the country to other countries (total),2017,15.2,OF
160,Groundwater: entering the country (total),1962,0.0,E
161,Groundwater: entering the country (total),1967,0.0,E
162,Groundwater: entering the country (total),1972,0.0,E
163,Groundwater: entering the country (total),1977,0.0,E
164,Groundwater: entering the country (total),1982,0.0,E
165,Groundwater: entering the country (total),1987,0.0,E
166,Groundwater: entering the country (total),1992,0.0,E
167,Groundwater: entering the country (total),1997,0.0,E
168,Groundwater: entering the country (total),2002,0.0,E
169,Groundwater: entering the country (total),2007,0.0,E
170,Groundwater: entering the country (total),2012,0.0,E
171,Groundwater: entering the country (total),2017,0.0,E
172,Groundwater: leaving the country to other countries (total),1962,0.0,OF
173,Groundwater: leaving the country to other countries (total),1967,0.0,OF
174,Groundwater: leaving the country to other countries (total),1972,0.0,OF
175,Groundwater: leaving the country to other countries (total),1977,0.0,OF
176,Groundwater: leaving the country to other countries (total),1982,0.0,OF
177,Groundwater: leaving the country to other countries (total),1987,0.0,OF
178,Groundwater: leaving the country to other countries (total),1992,0.0,OF
179,Groundwater: leaving the country to other countries (total),1997,0.0,OF
180,Groundwater: leaving the country to other countries (total),2002,0.0,OF
181,Groundwater: leaving the country to other countries (total),2007,0.0,OF
182,Groundwater: leaving the country to other countries (total),2012,0.0,OF
183,Groundwater: leaving the country to other countries (total),2017,0.0,OF
184,Dependency ratio,1962,7.4074074074,E
185,Dependency ratio,1967,7.4074074074,E
186,Dependency ratio,1972,7.4074074074,E
187,Dependency ratio,1977,7.4074074074,E
188,Dependency ratio,1982,7.4074074074,E
189,Dependency ratio,1987,7.4074074074,E
190,Dependency ratio,1992,7.4074074074,E
191,Dependency ratio,1997,7.4074074074,E
192,Dependency ratio,2002,7.4074074074,E
193,Dependency ratio,2007,7.4074074074,E
194,Dependency ratio,2012,7.4074074074,E
195,Dependency ratio,2017,7.4074074074,E
196,Dependency ratio,2018,7.4074074074,E
197,Total internal renewable water resources (IRWR),1962,12.5,E
198,Total internal renewable water resources (IRWR),1967,12.5,E
199,Total internal renewable water resources (IRWR),1972,12.5,E
200,Total internal renewable water resources (IRWR),1977,12.5,E
201,Total internal renewable water resources (IRWR),1982,12.5,E
202,Total internal renewable water resources (IRWR),1987,12.5,E
203,Total internal renewable water resources (IRWR),1992,12.5,E
204,Total internal renewable water resources (IRWR),1997,12.5,E
205,Total internal renewable water resources (IRWR),2002,12.5,E
206,Total internal renewable water resources (IRWR),2007,12.5,E
207,Total internal renewable water resources (IRWR),2012,12.5,E
208,Total internal renewable water resources (IRWR),2017,12.5,E
209,Total internal renewable water resources (IRWR),2018,12.5,E
210,Total internal renewable water resources per capita,1962,2519.9956615755,E
211,Total internal renewable water resources per capita,1967,2339.5013193852,E
212,Total internal renewable water resources per capita,1972,2145.8590156893,E
213,Total internal renewable water resources per capita,1977,1953.4500663001,E
214,Total internal renewable water resources per capita,1982,1746.2356398312,E
215,Total internal renewable water resources per capita,1987,1535.6127641607,E
216,Total internal renewable water resources per capita,1992,1344.5033958391,E
217,Total internal renewable water resources per capita,1997,1171.9981330538,E
218,Total internal renewable water resources per capita,2002,1016.8305797561,E
219,Total internal renewable water resources per capita,2007,877.0685925877,E
220,Total internal renewable water resources per capita,2012,754.3183367003,E
221,Total internal renewable water resources per capita,2017,651.271171914,E
222,Total internal renewable water resources per capita,2018,632.8644162413,E
223,Total renewable surface water,1962,9.0,E
224,Total renewable surface water,1967,9.0,E
225,Total renewable surface water,1972,9.0,E
226,Total renewable surface water,1977,9.0,E
227,Total renewable surface water,1982,9.0,E
228,Total renewable surface water,1987,9.0,E
229,Total renewable surface water,1992,9.0,E
230,Total renewable surface water,1997,9.0,E
231,Total renewable surface water,2002,9.0,E
232,Total renewable surface water,2007,9.0,E
233,Total renewable surface water,2012,9.0,E
234,Total renewable surface water,2017,9.0,E
235,Total renewable surface water,2018,9.0,E
236,Total renewable groundwater,1962,9.5,E
237,Total renewable groundwater,1967,9.5,E
238,Total renewable groundwater,1972,9.5,E
239,Total renewable groundwater,1977,9.5,E
240,Total renewable groundwater,1982,9.5,E
241,Total renewable groundwater,1987,9.5,E
242,Total renewable groundwater,1992,9.5,E
243,Total renewable groundwater,1997,9.5,E
244,Total renewable groundwater,2002,9.5,E
245,Total renewable groundwater,2007,9.5,E
246,Total renewable groundwater,2012,9.5,E
247,Total renewable groundwater,2017,9.5,E
248,Total renewable groundwater,2018,9.5,E
249,Total exploitable water resources,2012,4.75,E
250,Total exploitable water resources,2017,4.75,E
251,Total exploitable water resources,2018,4.75,E
252,Water resources: total external renewable,1962,1.0,E
253,Water resources: total external renewable,1967,1.0,E
254,Water resources: total external renewable,1972,1.0,E
255,Water resources: total external renewable,1977,1.0,E
256,Water resources: total external renewable,1982,1.0,E
257,Water resources: total external renewable,1987,1.0,E
258,Water resources: total external renewable,1992,1.0,E
259,Water resources: total external renewable,1997,1.0,E
260,Water resources: total external renewable,2002,1.0,E
261,Water resources: total external renewable,2007,1.0,E
262,Water resources: total external renewable,2012,1.0,E
263,Water resources: total external renewable,2017,1.0,E
264,Water resources: total external renewable,2018,1.0,E
265,Total renewable water resources,1962,13.5,E
266,Total renewable water resources,1967,13.5,E
267,Total renewable water resources,1972,13.5,E
268,Total renewable water resources,1977,13.5,E
269,Total renewable water resources,1982,13.5,E
270,Total renewable water resources,1987,13.5,E
271,Total renewable water resources,1992,13.5,E
272,Total renewable water resources,1997,13.5,E
273,Total renewable water resources,2002,13.5,E
274,Total renewable water resources,2007,13.5,E
275,Total renewable water resources,2012,13.5,E
276,Total renewable water resources,2017,13.5,E
277,Total renewable water resources,2018,13.5,E
278,Total renewable water resources per capita,1962,2721.5953145015,E
279,Total renewable water resources per capita,1967,2526.661424936,E
280,Total renewable water resources per capita,1972,2317.5277369445,E
281,Total renewable water resources per capita,1977,2109.7260716041,E
282,Total renewable water resources per capita,1982,1885.9344910177,E
283,Total renewable water resources per capita,1987,1658.4617852936,E
284,Total renewable water resources per capita,1992,1452.0636675062,E
285,Total renewable water resources per capita,1997,1265.7579836982,E
286,Total renewable water resources per capita,2002,1098.1770261366,E
287,Total renewable water resources per capita,2007,947.2340799947,E
288,Total renewable water resources per capita,2012,814.6638036363,E
289,Total renewable water resources per capita,2017,703.3728656671,E
290,Total renewable water resources per capita,2018,683.4935695406,E
291,Total agricultural water managed area,1992,45.73,E
292,Total agricultural water managed area,1997,45.4077777778,E
293,Total agricultural water managed area,2002,49.384,E
294,Total agricultural water managed area,2007,64.304,E
295,Total agricultural water managed area,2012,76.681,I
296,Total agricultural water managed area,2017,76.681,I
297,Total agricultural water managed area,2018,76.681,I
298,Area equipped for irrigation: total,1992,24.33,E
299,Area equipped for irrigation: total,1997,24.0077777778,E
300,Area equipped for irrigation: total,2002,27.883,E
301,Area equipped for irrigation: total,2007,42.298,E
302,Area equipped for irrigation: total,2012,54.271,I
303,Area equipped for irrigation: total,2017,54.271,I
304,Area equipped for irrigation: total,2018,54.271,I
305,% of agricultural GVA produced by irrigated agriculture,1992,1.7612072164,E
306,% of agricultural GVA produced by irrigated agriculture,1997,1.0757814272,E
307,% of agricultural GVA produced by irrigated agriculture,2002,0.5759396019,E
308,% of agricultural GVA produced by irrigated agriculture,2007,0.8183106631,E
309,% of agricultural GVA produced by irrigated agriculture,2012,0.8399915168,E
310,% of agricultural GVA produced by irrigated agriculture,2017,0.8399915168,E
311,% of agricultural GVA produced by irrigated agriculture,2018,0.8399915168,E
312,Ratio between rainfed and irrigated yields,1962,1.364,E
313,Ratio between rainfed and irrigated yields,1967,1.364,E
314,Ratio between rainfed and irrigated yields,1972,1.364,E
315,Ratio between rainfed and irrigated yields,1977,1.364,E
316,Ratio between rainfed and irrigated yields,1982,1.364,E
317,Ratio between rainfed and irrigated yields,1987,1.364,E
318,Ratio between rainfed and irrigated yields,1992,1.364,E
319,Ratio between rainfed and irrigated yields,1997,1.364,E
320,Ratio between rainfed and irrigated yields,2002,1.364,E
321,Ratio between rainfed and irrigated yields,2007,1.364,I
322,Ratio between rainfed and irrigated yields,2012,1.364,E
323,Ratio between rainfed and irrigated yields,2017,1.364,I
324,Ratio between rainfed and irrigated yields,2018,1.364,I
325,Agricultural water withdrawal as % of total renewable water resources,1987,1.8580740741,I
326,Agricultural water withdrawal as % of total renewable water resources,1992,2.2444444444,E
327,Agricultural water withdrawal as % of total renewable water resources,1997,2.7288065844,I
328,Agricultural water withdrawal as % of total renewable water resources,2002,3.1162962963,I
329,Agricultural water withdrawal as % of total renewable water resources,2007,3.1162962963,I
330,Agricultural water withdrawal as % of total renewable water resources,2012,3.1162962963,I
331,Agricultural water withdrawal as % of total renewable water resources,2017,3.1162962963,I
332,Agricultural water withdrawal as % of total renewable water resources,2018,3.1162962963,I
333,Agricultural water withdrawal,1987,0.25084,I
334,Agricultural water withdrawal,1992,0.303,OF
335,Agricultural water withdrawal,1997,0.3683888889,I
336,Agricultural water withdrawal,2002,0.4207,I
337,Agricultural water withdrawal,2007,0.4207,I
338,Agricultural water withdrawal,2012,0.4207,I
339,Agricultural water withdrawal,2017,0.4207,I
340,Agricultural water withdrawal,2018,0.4207,I
341,Irrigation water requirement,2002,0.1289,I
342,Irrigation water requirement,2007,0.1289,I
343,Irrigation water requirement,2012,0.1289,I
344,Irrigation water requirement,2017,0.1289,I
345,Irrigation water requirement,2018,0.1289,I
346,Irrigation water withdrawal,2002,0.4207,I
347,Irrigation water withdrawal,2007,0.4207,I
348,Irrigation water withdrawal,2012,0.4207,I
349,Irrigation water withdrawal,2017,0.4207,I
350,Irrigation water withdrawal,2018,0.4207,I
351,Municipal water withdrawal,1987,0.06372,I
352,Municipal water withdrawal,1992,0.073,OF
353,Municipal water withdrawal,1997,0.0988333333,I
354,Municipal water withdrawal,2002,0.31758,I
355,Municipal water withdrawal,2007,0.3756,I
356,Municipal water withdrawal,2012,0.3756,I
357,Municipal water withdrawal,2017,0.3756,I
358,Municipal water withdrawal,2018,0.3756,I
359,Industrial water withdrawal,1987,0.0,I
360,Industrial water withdrawal,1992,0.0,OF
361,Industrial water withdrawal,1997,0.005,I
362,Industrial water withdrawal,2002,0.01834,I
363,Industrial water withdrawal,2007,0.0217,I
364,Industrial water withdrawal,2012,0.0217,I
365,Industrial water withdrawal,2017,0.0217,I
366,Industrial water withdrawal,2018,0.0217,I
367,Total water withdrawal,1987,0.31456,I
368,Total water withdrawal,1992,0.376,E
369,Total water withdrawal,1997,0.4722222222,E
370,Total water withdrawal,2002,0.75662,E
371,Total water withdrawal,2007,0.818,I
372,Total water withdrawal,2012,0.818,I
373,Total water withdrawal,2017,0.818,I
374,Total water withdrawal,2018,0.818,I
375,Fresh groundwater withdrawal,2002,0.011,I
376,Fresh groundwater withdrawal,2007,0.011,I
377,Fresh groundwater withdrawal,2012,0.011,I
378,Fresh groundwater withdrawal,2017,0.011,I
379,Fresh groundwater withdrawal,2018,0.011,I
380,Total freshwater withdrawal,1987,0.31456,I
381,Total freshwater withdrawal,1992,0.376,E
382,Total freshwater withdrawal,1997,0.4722222222,E
383,Total freshwater withdrawal,2007,0.818,I
384,Total freshwater withdrawal,2010,0.818,I
385,Direct use of treated municipal wastewater,2012,0.0013,I
386,Direct use of treated municipal wastewater,2017,0.0013,I
387,Direct use of treated municipal wastewater,2018,0.0013,I
389,Produced municipal wastewater,2012,0.0487,I
390,Produced municipal wastewater,2017,0.0487,I
391,Produced municipal wastewater,2018,0.0487,I
392,Collected municipal wastewater,2012,0.0024,I
393,Collected municipal wastewater,2017,0.0024,I
394,Collected municipal wastewater,2018,0.0024,I
395,Treated municipal wastewater,2012,0.0014,I
396,Treated municipal wastewater,2017,0.0014,I
397,Treated municipal wastewater,2018,0.0014,I
398,SDG 6.4.2. Water Stress,1987,3.0072657744,E
399,SDG 6.4.2. Water Stress,1992,3.5946462715,E
400,SDG 6.4.2. Water Stress,1997,4.5145527937,E
401,SDG 6.4.2. Water Stress,2007,7.8202676864,E
402,SDG 6.4.2. Water Stress,2010,7.8202676864,E
403,SDG 6.4.1. Water Use Efficiency,1997,6.2799430697,I
404,SDG 6.4.1. Water Use Efficiency,2002,5.0572439133,I
405,SDG 6.4.1. Water Use Efficiency,2015,9.9184385243,I
406,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.03564631,E
407,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.0205009937,E
408,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.0534310694,E
409,SDG 6.4.1. Industrial Water Use Efficiency,1997,198.4292452604,E
410,SDG 6.4.1. Industrial Water Use Efficiency,2002,61.3227781795,E
411,SDG 6.4.1. Industrial Water Use Efficiency,2015,128.2264182949,E
412,SDG 6.4.1. Services Water Use Efficiency,1987,22.3647987308,E
413,SDG 6.4.1. Services Water Use Efficiency,1989,22.8318777454,E
414,SDG 6.4.1. Services Water Use Efficiency,1997,19.833902944,E
415,SDG 6.4.1. Services Water Use Efficiency,2002,8.4801541967,E
416,SDG 6.4.1. Services Water Use Efficiency,2015,14.1328300985,E
417,Harvested irrigated temporary crop area: Rice,1992,30.9,OF
418,Harvested irrigated temporary crop area: Rice,1997,20.185,I
419,Harvested irrigated temporary crop area: Rice,2002,9.47,OF
420,Harvested irrigated temporary crop area: Rice,2007,12.5422222222,I
421,Harvested irrigated temporary crop area: Rice,2012,15.0,I
422,Harvested irrigated temporary crop area: Rice,2017,15.0,I
423,Harvested irrigated temporary crop area: Rice,2018,15.0,I
424,Harvested irrigated temporary crop area: Maize,2002,0.566,OF
425,Harvested irrigated temporary crop area: Maize,2007,1.7682222222,I
426,Harvested irrigated temporary crop area: Maize,2012,2.73,I
427,Harvested irrigated temporary crop area: Maize,2017,2.73,I
428,Harvested irrigated temporary crop area: Maize,2018,2.73,I
429,Harvested irrigated temporary crop area: Sorghum,1992,4.0,OF
430,Harvested irrigated temporary crop area: Sorghum,1997,4.0,I
431,Harvested irrigated temporary crop area: Sorghum,2002,4.0,I
432,Harvested irrigated temporary crop area: Sorghum,2007,4.0,I
433,Harvested irrigated temporary crop area: Sorghum,2012,4.0,I
434,Harvested irrigated temporary crop area: Sorghum,2017,4.0,I
435,Harvested irrigated temporary crop area: Sorghum,2018,4.0,I
437,Harvested irrigated temporary crop area: Other cereals,2007,0.111,I
438,Harvested irrigated temporary crop area: Other cereals,2012,0.111,I
439,Harvested irrigated temporary crop area: Other cereals,2017,0.111,I
440,Harvested irrigated temporary crop area: Other cereals,2018,0.111,I
441,Harvested irrigated temporary crop area: Potatoes,1997,0.061,OF
442,Harvested irrigated temporary crop area: Potatoes,2002,0.061,E
443,Harvested irrigated temporary crop area: Potatoes,2007,0.061,I
444,Harvested irrigated temporary crop area: Potatoes,2012,0.061,I
445,Harvested irrigated temporary crop area: Potatoes,2017,0.061,I
446,Harvested irrigated temporary crop area: Potatoes,2018,0.061,I
447,Harvested irrigated temporary crop area: Other roots and tubers,2012,3.724,I
448,Harvested irrigated temporary crop area: Other roots and tubers,2017,3.724,I
449,Harvested irrigated temporary crop area: Other roots and tubers,2018,3.724,I
450,Harvested irrigated temporary crop area: Sugarcane,1992,3.9,OF
451,Harvested irrigated temporary crop area: Sugarcane,1997,3.9,OF
452,Harvested irrigated temporary crop area: Sugarcane,2002,3.9,E
453,Harvested irrigated temporary crop area: Sugarcane,2007,3.9,I
454,Harvested irrigated temporary crop area: Sugarcane,2012,3.9,I
455,Harvested irrigated temporary crop area: Sugarcane,2017,3.9,I
456,Harvested irrigated temporary crop area: Sugarcane,2018,3.9,I
457,Harvested irrigated temporary crop area: Vegetables,1992,5.48,OF
458,Harvested irrigated temporary crop area: Vegetables,1997,4.045,OF
459,Harvested irrigated temporary crop area: Vegetables,2002,4.045,E
460,Harvested irrigated temporary crop area: Vegetables,2007,7.3533333333,I
461,Harvested irrigated temporary crop area: Vegetables,2012,10.0,I
462,Harvested irrigated temporary crop area: Vegetables,2017,10.0,I
463,Harvested irrigated temporary crop area: Vegetables,2018,10.0,I
464,Harvested irrigated temporary crop area: Tobacco,1997,0.06,OF
465,Harvested irrigated temporary crop area: Tobacco,2002,0.061,E
466,Harvested irrigated temporary crop area: Tobacco,2007,0.061,I
467,Harvested irrigated temporary crop area: Tobacco,2012,0.061,I
468,Harvested irrigated temporary crop area: Tobacco,2017,0.061,I
469,Harvested irrigated temporary crop area: Tobacco,2018,0.061,I
470,Harvested irrigated temporary crop area: Other crops,1997,0.02,OF
471,Harvested irrigated temporary crop area: Other crops,2002,0.02,E
472,Harvested irrigated temporary crop area: Other crops,2007,0.02,I
473,Harvested irrigated temporary crop area: Other crops,2012,0.02,I
474,Harvested irrigated temporary crop area: Other crops,2017,0.02,I
475,Harvested irrigated temporary crop area: Other crops,2018,0.02,I
476,Harvested irrigated permanent crop area: Other crops,1992,1.45,OF
477,Harvested irrigated permanent crop area: Other crops,1997,1.45,I
478,Harvested irrigated permanent crop area: Other crops,2002,1.45,I
479,Harvested irrigated permanent crop area: Other crops,2007,1.45,I
480,Harvested irrigated permanent crop area: Other crops,2012,1.45,I
481,Harvested irrigated permanent crop area: Other crops,2017,1.45,I
482,Harvested irrigated permanent crop area: Other crops,2018,1.45,I
