Finland,Variable Name,Year,Value,Symbol
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.0747,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.0747,I
70,Gross Domestic Product (GDP),1962,6340580854.0,X
71,Gross Domestic Product (GDP),1967,9368954010.0,X
72,Gross Domestic Product (GDP),1972,14671425072.0,X
73,Gross Domestic Product (GDP),1977,33368784955.0,X
74,Gross Domestic Product (GDP),1982,52795245479.0,X
75,Gross Domestic Product (GDP),1987,91597110424.0,X
76,Gross Domestic Product (GDP),1992,112534352700.0,X
77,Gross Domestic Product (GDP),1997,126906819427.0,X
78,Gross Domestic Product (GDP),2002,139744733982.0,X
79,Gross Domestic Product (GDP),2007,256039417632.0,X
80,Gross Domestic Product (GDP),2012,258304834622.0,X
81,Gross Domestic Product (GDP),2014,274497230803.0,X
82,GDP per capita,1972,3154.350145,X
83,GDP per capita,1977,7029.547707,X
84,GDP per capita,1982,10919.163095,X
85,GDP per capita,1987,18518.035422,X
86,GDP per capita,1992,22306.447113,X
87,GDP per capita,1997,24633.749301,X
88,GDP per capita,2002,26805.051927,X
89,GDP per capita,2007,48327.433191,X
90,GDP per capita,2012,47719.525035,X
91,GDP per capita,2017,46180.40861,X
92,GDP per capita,2018,49955.341172,X
93,"Agriculture, value added (% GDP)",1972,9.82053,X
94,"Agriculture, value added (% GDP)",1977,8.583179,X
95,"Agriculture, value added (% GDP)",1982,7.770483,X
96,"Agriculture, value added (% GDP)",1987,5.280879,X
97,"Agriculture, value added (% GDP)",1992,4.278031,X
98,"Agriculture, value added (% GDP)",1997,3.423069,X
99,"Agriculture, value added (% GDP)",2002,2.672306,X
100,"Agriculture, value added (% GDP)",2007,2.380367,X
101,"Agriculture, value added (% GDP)",2012,2.314499,X
102,"Agriculture, value added (% GDP)",2014,2.398295,X
103,Total population with access to safe drinking-water (JMP),1992,100.0,X
104,Total population with access to safe drinking-water (JMP),1997,100.0,X
105,Total population with access to safe drinking-water (JMP),2002,100.0,X
106,Total population with access to safe drinking-water (JMP),2007,100.0,X
107,Total population with access to safe drinking-water (JMP),2012,100.0,X
108,Total population with access to safe drinking-water (JMP),2017,100.0,I
109,Total population with access to safe drinking-water (JMP),2018,100.0,I
110,Long-term average annual precipitation in volume,1962,181.2484,E
111,Long-term average annual precipitation in volume,1967,181.2484,E
112,Long-term average annual precipitation in volume,1972,181.2484,E
113,Long-term average annual precipitation in volume,1977,181.2484,E
114,Long-term average annual precipitation in volume,1982,181.2484,E
115,Long-term average annual precipitation in volume,1987,181.2484,E
116,Long-term average annual precipitation in volume,1992,181.2484,E
117,Long-term average annual precipitation in volume,1997,181.2484,E
118,Long-term average annual precipitation in volume,2002,181.2484,E
119,Long-term average annual precipitation in volume,2007,181.39312,E
120,Long-term average annual precipitation in volume,2012,181.39312,E
121,Long-term average annual precipitation in volume,2017,181.4092,E
122,Long-term average annual precipitation in volume,2018,181.4092,E
123,Interannual variability (WRI),2017,1.9,I
124,Interannual variability (WRI),2018,1.9,I
125,Seasonal variability (WRI),2017,1.2,I
126,Seasonal variability (WRI),2018,1.2,I
127,Flood occurrence (WRI),2017,0.2,I
128,Flood occurrence (WRI),2018,0.2,I
129,Surface water: entering the country (total),1962,3.0,OF
130,Surface water: entering the country (total),1967,3.0,OF
131,Surface water: entering the country (total),1972,3.0,OF
132,Surface water: entering the country (total),1977,3.0,OF
133,Surface water: entering the country (total),1982,3.0,OF
134,Surface water: entering the country (total),1987,3.0,OF
135,Surface water: entering the country (total),1992,3.0,OF
136,Surface water: entering the country (total),1997,3.0,OF
137,Surface water: entering the country (total),2002,3.0,OF
138,Surface water: entering the country (total),2007,3.0,OF
139,Surface water: entering the country (total),2012,3.0,OF
140,Surface water: entering the country (total),2017,3.0,OF
141,Surface water: leaving the country to other countries (total),1962,27.0,
142,Surface water: leaving the country to other countries (total),1967,27.0,
143,Surface water: leaving the country to other countries (total),1972,27.0,
144,Surface water: leaving the country to other countries (total),1977,27.0,
145,Surface water: leaving the country to other countries (total),1982,27.0,
146,Surface water: leaving the country to other countries (total),1987,27.0,
147,Surface water: leaving the country to other countries (total),1992,27.0,
148,Surface water: leaving the country to other countries (total),1997,27.0,
149,Surface water: leaving the country to other countries (total),2002,27.0,
150,Surface water: leaving the country to other countries (total),2007,27.0,
151,Surface water: leaving the country to other countries (total),2012,27.0,
152,Surface water: leaving the country to other countries (total),2017,27.0,OF
153,Groundwater: entering the country (total),1962,0.0,E
154,Groundwater: entering the country (total),1967,0.0,E
155,Groundwater: entering the country (total),1972,0.0,E
156,Groundwater: entering the country (total),1977,0.0,E
157,Groundwater: entering the country (total),1982,0.0,E
158,Groundwater: entering the country (total),1987,0.0,E
159,Groundwater: entering the country (total),1992,0.0,E
160,Groundwater: entering the country (total),1997,0.0,E
161,Groundwater: entering the country (total),2002,0.0,E
162,Groundwater: entering the country (total),2007,0.0,E
163,Groundwater: entering the country (total),2012,0.0,E
164,Groundwater: entering the country (total),2017,0.0,E
165,Dependency ratio,1962,2.7272727273,E
166,Dependency ratio,1967,2.7272727273,E
167,Dependency ratio,1972,2.7272727273,E
168,Dependency ratio,1977,2.7272727273,E
169,Dependency ratio,1982,2.7272727273,E
170,Dependency ratio,1987,2.7272727273,E
171,Dependency ratio,1992,2.7272727273,E
172,Dependency ratio,1997,2.7272727273,E
173,Dependency ratio,2002,2.7272727273,E
174,Dependency ratio,2007,2.7272727273,E
175,Dependency ratio,2012,2.7272727273,E
176,Dependency ratio,2017,2.7272727273,E
177,Dependency ratio,2018,2.7272727273,E
178,Total internal renewable water resources (IRWR),1962,107.0,E
179,Total internal renewable water resources (IRWR),1967,107.0,E
180,Total internal renewable water resources (IRWR),1972,107.0,E
181,Total internal renewable water resources (IRWR),1977,107.0,E
182,Total internal renewable water resources (IRWR),1982,107.0,E
183,Total internal renewable water resources (IRWR),1987,107.0,E
184,Total internal renewable water resources (IRWR),1992,107.0,E
185,Total internal renewable water resources (IRWR),1997,107.0,E
186,Total internal renewable water resources (IRWR),2002,107.0,E
187,Total internal renewable water resources (IRWR),2007,107.0,E
188,Total internal renewable water resources (IRWR),2012,107.0,E
189,Total internal renewable water resources (IRWR),2017,107.0,E
190,Total internal renewable water resources (IRWR),2018,107.0,E
191,Total internal renewable water resources per capita,1962,23784.0303350859,E
192,Total internal renewable water resources per capita,1967,23318.3747049245,E
193,Total internal renewable water resources per capita,1972,23004.9544501902,E
194,Total internal renewable water resources per capita,1977,22540.874821885,E
195,Total internal renewable water resources per capita,1982,22129.8421956113,E
196,Total internal renewable water resources per capita,1987,21632.0119813043,E
197,Total internal renewable water resources per capita,1992,21209.4332423178,E
198,Total internal renewable water resources per capita,1997,20769.6575102887,E
199,Total internal renewable water resources per capita,2002,20524.1680710696,E
200,Total internal renewable water resources per capita,2007,20197.2954877543,E
201,Total internal renewable water resources per capita,2012,19760.7654618756,E
202,Total internal renewable water resources per capita,2017,19414.4070504417,E
203,Total internal renewable water resources per capita,2018,19375.0162967427,E
204,Total renewable surface water,1962,109.8,E
205,Total renewable surface water,1967,109.8,E
206,Total renewable surface water,1972,109.8,E
207,Total renewable surface water,1977,109.8,E
208,Total renewable surface water,1982,109.8,E
209,Total renewable surface water,1987,109.8,E
210,Total renewable surface water,1992,109.8,E
211,Total renewable surface water,1997,109.8,E
212,Total renewable surface water,2002,109.8,E
213,Total renewable surface water,2007,109.8,E
214,Total renewable surface water,2012,109.8,E
215,Total renewable surface water,2017,109.8,E
216,Total renewable surface water,2018,109.8,E
217,Total renewable groundwater,1962,2.2,E
218,Total renewable groundwater,1967,2.2,E
219,Total renewable groundwater,1972,2.2,E
220,Total renewable groundwater,1977,2.2,E
221,Total renewable groundwater,1982,2.2,E
222,Total renewable groundwater,1987,2.2,E
223,Total renewable groundwater,1992,2.2,E
224,Total renewable groundwater,1997,2.2,E
225,Total renewable groundwater,2002,2.2,E
226,Total renewable groundwater,2007,2.2,E
227,Total renewable groundwater,2012,2.2,E
228,Total renewable groundwater,2017,2.2,E
229,Total renewable groundwater,2018,2.2,E
230,Total exploitable water resources,1962,3.0,E
231,Total exploitable water resources,1967,3.0,E
232,Total exploitable water resources,1972,3.0,E
233,Total exploitable water resources,1977,3.0,E
234,Total exploitable water resources,1982,3.0,E
235,Total exploitable water resources,1987,3.0,E
236,Total exploitable water resources,1992,3.0,E
237,Total exploitable water resources,1997,3.0,E
238,Total exploitable water resources,2002,3.0,E
239,Total exploitable water resources,2007,3.0,E
240,Total exploitable water resources,2012,3.0,E
241,Total exploitable water resources,2017,3.0,E
242,Total exploitable water resources,2018,3.0,E
243,Water resources: total external renewable,1962,3.0,E
244,Water resources: total external renewable,1967,3.0,E
245,Water resources: total external renewable,1972,3.0,E
246,Water resources: total external renewable,1977,3.0,E
247,Water resources: total external renewable,1982,3.0,E
248,Water resources: total external renewable,1987,3.0,E
249,Water resources: total external renewable,1992,3.0,E
250,Water resources: total external renewable,1997,3.0,E
251,Water resources: total external renewable,2002,3.0,E
252,Water resources: total external renewable,2007,3.0,E
253,Water resources: total external renewable,2012,3.0,E
254,Water resources: total external renewable,2017,3.0,E
255,Water resources: total external renewable,2018,3.0,E
256,Total renewable water resources,1962,110.0,E
257,Total renewable water resources,1967,110.0,E
258,Total renewable water resources,1972,110.0,E
259,Total renewable water resources,1977,110.0,E
260,Total renewable water resources,1982,110.0,E
261,Total renewable water resources,1987,110.0,E
262,Total renewable water resources,1992,110.0,E
263,Total renewable water resources,1997,110.0,E
264,Total renewable water resources,2002,110.0,E
265,Total renewable water resources,2007,110.0,E
266,Total renewable water resources,2012,110.0,E
267,Total renewable water resources,2017,110.0,E
268,Total renewable water resources,2018,110.0,E
269,Total renewable water resources per capita,1962,24450.8723070976,E
270,Total renewable water resources per capita,1967,23972.1609116046,E
271,Total renewable water resources per capita,1972,23649.9531730927,E
272,Total renewable water resources per capita,1977,23172.8619664238,E
273,Total renewable water resources per capita,1982,22750.3050609088,E
274,Total renewable water resources per capita,1987,22238.5169901259,E
275,Total renewable water resources per capita,1992,21804.0902491117,E
276,Total renewable water resources per capita,1997,21351.9843563716,E
277,Total renewable water resources per capita,2002,21099.6120356791,E
278,Total renewable water resources per capita,2007,20763.5748004951,E
279,Total renewable water resources per capita,2012,20314.8056150123,E
280,Total renewable water resources per capita,2017,19958.7362200803,E
281,Total renewable water resources per capita,2018,19918.2410527261,E
282,Total agricultural water managed area,1997,85.0,E
283,Total agricultural water managed area,2002,98.58,I
284,Total agricultural water managed area,2007,76.75,E
285,Total agricultural water managed area,2010,68.58,OF
286,Area equipped for irrigation: total,1997,85.0,E
287,Area equipped for irrigation: total,2002,98.58,I
288,Area equipped for irrigation: total,2003,103.8,E
289,Area equipped for irrigation: total,2010,68.58,OF
290,% of agricultural GVA produced by irrigated agriculture,2010,1.176152992,E
291,% of agricultural GVA produced by irrigated agriculture,2017,0.3163543453,E
293,Ratio between rainfed and irrigated yields,1966,1.778,I
294,Ratio between rainfed and irrigated yields,1971,1.778,I
295,Ratio between rainfed and irrigated yields,1976,1.778,I
296,Ratio between rainfed and irrigated yields,1981,1.778,I
297,Ratio between rainfed and irrigated yields,1986,1.778,I
298,Ratio between rainfed and irrigated yields,1991,1.778,I
299,Ratio between rainfed and irrigated yields,1996,1.778,I
300,Ratio between rainfed and irrigated yields,2001,1.778,I
301,Ratio between rainfed and irrigated yields,2007,1.778,I
302,Ratio between rainfed and irrigated yields,2011,1.778,I
303,Ratio between rainfed and irrigated yields,2017,1.778,I
304,Ratio between rainfed and irrigated yields,2018,1.778,I
305,Agricultural water withdrawal as % of total renewable water resources,1992,0.0290909091,I
306,Agricultural water withdrawal as % of total renewable water resources,1997,0.0431870913,E
307,Agricultural water withdrawal as % of total renewable water resources,2002,0.0454545455,E
308,Agricultural water withdrawal as % of total renewable water resources,2005,0.0454545455,E
309,Agricultural water withdrawal,1992,0.032,I
310,Agricultural water withdrawal,1997,0.0475058005,I
311,Agricultural water withdrawal,2001,0.05,X
312,Agricultural water withdrawal,2004,0.05,X
313,Irrigation water requirement,2012,0.028,I
314,Irrigation water requirement,2017,0.028,I
315,Irrigation water requirement,2018,0.028,I
316,Irrigation water withdrawal,1992,0.028,I
317,Irrigation water withdrawal,1997,0.04,I
318,Irrigation water withdrawal,2002,0.04,X
319,Irrigation water withdrawal,2007,0.04,I
320,Irrigation water withdrawal,2012,0.04,I
321,Irrigation water withdrawal,2017,0.04,I
322,Irrigation water withdrawal,2018,0.04,I
323,Municipal water withdrawal,1992,0.4192,I
324,Municipal water withdrawal,1997,0.3914477958,I
325,Municipal water withdrawal,2002,0.404,X
326,Municipal water withdrawal,2007,0.40752,I
327,Municipal water withdrawal,2012,0.4075,I
328,Municipal water withdrawal,2017,0.4,OF
329,Industrial water withdrawal,1992,1.9914,I
330,Industrial water withdrawal,1997,2.0180464037,I
331,Industrial water withdrawal,1999,1.9120928074,I
332,Total water withdrawal,1972,3.4,I
333,Total water withdrawal,1977,3.61,I
334,Total water withdrawal,1982,3.82,I
335,Total water withdrawal,1987,3.3388,I
336,Total water withdrawal,1992,2.4426,I
337,Total water withdrawal,1997,2.457,I
338,Total water withdrawal,1999,2.328,X
339,Total water withdrawal,2006,6.562,X
340,Fresh surface water withdrawal,1972,3.265,I
341,Fresh surface water withdrawal,1977,3.435,I
342,Fresh surface water withdrawal,1982,3.578,I
343,Fresh surface water withdrawal,1987,3.0428,I
344,Fresh surface water withdrawal,1992,2.1714,I
345,Fresh surface water withdrawal,1997,2.1705,I
346,Fresh surface water withdrawal,2002,3.8665714286,I
347,Fresh surface water withdrawal,2006,6.298,X
348,Fresh groundwater withdrawal,1972,0.135,I
349,Fresh groundwater withdrawal,1977,0.175,I
350,Fresh groundwater withdrawal,1982,0.242,I
351,Fresh groundwater withdrawal,1987,0.288,I
352,Fresh groundwater withdrawal,1992,0.2592,I
353,Fresh groundwater withdrawal,1997,0.28635,I
354,Fresh groundwater withdrawal,2002,0.2847,X
355,Fresh groundwater withdrawal,2006,0.264,X
356,Total freshwater withdrawal,1972,3.4,I
357,Total freshwater withdrawal,1977,3.61,I
358,Total freshwater withdrawal,1982,3.82,I
359,Total freshwater withdrawal,1987,3.3308,I
360,Total freshwater withdrawal,1992,2.4306,I
361,Total freshwater withdrawal,1997,2.45685,I
362,Total freshwater withdrawal,2002,4.1512714286,E
363,Total freshwater withdrawal,2006,6.562,E
364,Desalinated water produced,1982,0.0001,I
365,Desalinated water produced,1987,0.0001,I
366,Desalinated water produced,1992,0.0001,I
367,Desalinated water produced,1997,0.0001,I
368,Desalinated water produced,2002,0.0001,I
369,Desalinated water produced,2005,0.0001,E
370,Produced municipal wastewater,2017,0.4,OF
371,Collected municipal wastewater,2017,0.4,OF
372,Treated municipal wastewater,2017,0.5,OF
385,SDG 6.4.2. Water Stress,1972,8.0626037467,E
386,SDG 6.4.2. Water Stress,1977,8.5605880958,E
387,SDG 6.4.2. Water Stress,1982,9.0585724449,E
388,SDG 6.4.2. Water Stress,1987,7.898506047,E
389,SDG 6.4.2. Water Stress,1992,5.7638131373,E
390,SDG 6.4.2. Water Stress,1997,5.8260611809,E
391,SDG 6.4.2. Water Stress,2002,9.8441342864,E
392,SDG 6.4.2. Water Stress,2006,15.5608252312,E
393,SDG 6.4.1. Services Water Use Efficiency,2015,372.605,E
394,Harvested irrigated temporary crop area: Other cereals,2012,2.0,I
395,Harvested irrigated temporary crop area: Other cereals,2017,2.0,I
396,Harvested irrigated temporary crop area: Other cereals,2018,2.0,I
397,Harvested irrigated temporary crop area: Potatoes,2012,4.7,I
398,Harvested irrigated temporary crop area: Potatoes,2017,4.7,I
399,Harvested irrigated temporary crop area: Potatoes,2018,4.7,I
400,Harvested irrigated temporary crop area: Sugar beet,2012,1.4,I
401,Harvested irrigated temporary crop area: Sugar beet,2017,1.4,I
402,Harvested irrigated temporary crop area: Sugar beet,2018,1.4,I
403,Harvested irrigated temporary crop area: Vegetables,2012,3.8,I
404,Harvested irrigated temporary crop area: Vegetables,2017,3.8,I
405,Harvested irrigated temporary crop area: Vegetables,2018,3.8,I
406,Harvested irrigated permanent crop area: Other crops,2012,3.2,I
407,Harvested irrigated permanent crop area: Other crops,2017,3.2,I
408,Harvested irrigated permanent crop area: Other crops,2018,3.2,I
