Paraguay,Variable Name,Year,Value,Symbol
72,Gross Domestic Product (GDP),1982,6691466139.0,X
73,Gross Domestic Product (GDP),1987,5186388499.0,X
74,Gross Domestic Product (GDP),1992,7373926970.0,X
75,Gross Domestic Product (GDP),1997,11484007928.0,X
76,Gross Domestic Product (GDP),2002,8187342141.0,X
77,Gross Domestic Product (GDP),2007,17856369582.0,X
78,Gross Domestic Product (GDP),2012,33283228891.0,X
79,Gross Domestic Product (GDP),2017,39008900667.0,X
80,GDP per capita,1972,338.782697,X
81,GDP per capita,1977,815.326976,X
82,GDP per capita,1982,1987.533304,X
83,GDP per capita,1987,1334.827932,X
84,GDP per capita,1992,1663.515935,X
85,GDP per capita,1997,2305.866408,X
86,GDP per capita,2002,1486.280687,X
87,GDP per capita,2007,2992.94229,X
88,GDP per capita,2012,5217.445724,X
89,GDP per capita,2017,5727.088492,X
90,GDP per capita,2018,5844.278424,X
91,"Agriculture, value added (% GDP)",1972,18.92981,X
92,"Agriculture, value added (% GDP)",1977,18.736971,X
93,"Agriculture, value added (% GDP)",1982,14.207526,X
94,"Agriculture, value added (% GDP)",1987,15.021022,X
95,"Agriculture, value added (% GDP)",1992,13.455292,X
96,"Agriculture, value added (% GDP)",1997,11.682053,X
97,"Agriculture, value added (% GDP)",2002,8.85481,X
98,"Agriculture, value added (% GDP)",2007,12.342309,X
99,"Agriculture, value added (% GDP)",2012,10.093849,X
100,"Agriculture, value added (% GDP)",2017,10.28106,X
101,Number of people undernourished (3-year average),1992,900.0,X
102,Number of people undernourished (3-year average),1997,800.0,X
103,Number of people undernourished (3-year average),2002,600.0,X
104,Number of people undernourished (3-year average),2007,600.0,X
105,Number of people undernourished (3-year average),2012,500.0,X
106,Number of people undernourished (3-year average),2016,500.0,X
107,Prevalence of undernourishment (3-year average),1992,19.5,X
108,Prevalence of undernourishment (3-year average),1997,15.6,X
109,Prevalence of undernourishment (3-year average),2001,12.9,X
110,Total population with access to safe drinking-water (JMP),1992,57.4,X
111,Total population with access to safe drinking-water (JMP),1997,67.6,X
112,Total population with access to safe drinking-water (JMP),2002,77.1,X
113,Total population with access to safe drinking-water (JMP),2007,85.4,X
114,Total population with access to safe drinking-water (JMP),2012,93.4,X
115,Total population with access to safe drinking-water (JMP),2017,98.0,I
116,Total population with access to safe drinking-water (JMP),2018,98.0,I
117,Long-term average annual precipitation in volume,1962,459.6,OF
118,Long-term average annual precipitation in volume,1967,459.6,OF
119,Long-term average annual precipitation in volume,1972,459.6,OF
120,Long-term average annual precipitation in volume,1977,459.6,OF
121,Long-term average annual precipitation in volume,1982,459.6,OF
122,Long-term average annual precipitation in volume,1987,459.6,OF
123,Long-term average annual precipitation in volume,1992,459.6,OF
124,Long-term average annual precipitation in volume,1997,459.6,OF
125,Long-term average annual precipitation in volume,2002,459.6,OF
126,Long-term average annual precipitation in volume,2007,459.6,OF
127,Long-term average annual precipitation in volume,2012,459.6,OF
128,Long-term average annual precipitation in volume,2017,459.6,OF
129,Long-term average annual precipitation in volume,2018,459.62976,E
130,Interannual variability (WRI),2017,1.6,I
131,Interannual variability (WRI),2018,1.6,I
132,Seasonal variability (WRI),2017,2.1,I
133,Seasonal variability (WRI),2018,2.1,I
134,Flood occurrence (WRI),2017,3.3,I
135,Flood occurrence (WRI),2018,3.3,I
147,Surface water: entering the country (total),2017,73.27,OF
159,Surface water: leaving the country to other countries (total),2017,125.6,OF
160,Groundwater: entering the country (total),1962,0.0,OF
161,Groundwater: entering the country (total),1967,0.0,OF
162,Groundwater: entering the country (total),1972,0.0,OF
163,Groundwater: entering the country (total),1977,0.0,OF
164,Groundwater: entering the country (total),1982,0.0,OF
165,Groundwater: entering the country (total),1987,0.0,OF
166,Groundwater: entering the country (total),1992,0.0,OF
167,Groundwater: entering the country (total),1997,0.0,OF
168,Groundwater: entering the country (total),2002,0.0,OF
169,Groundwater: entering the country (total),2007,0.0,OF
170,Groundwater: entering the country (total),2012,0.0,OF
171,Groundwater: entering the country (total),2017,0.0,OF
172,Groundwater: leaving the country to other countries (total),1962,0.0,OF
173,Groundwater: leaving the country to other countries (total),1967,0.0,OF
174,Groundwater: leaving the country to other countries (total),1972,0.0,OF
175,Groundwater: leaving the country to other countries (total),1977,0.0,OF
176,Groundwater: leaving the country to other countries (total),1982,0.0,OF
177,Groundwater: leaving the country to other countries (total),1987,0.0,OF
178,Groundwater: leaving the country to other countries (total),1992,0.0,OF
179,Groundwater: leaving the country to other countries (total),1997,0.0,OF
180,Groundwater: leaving the country to other countries (total),2002,0.0,OF
181,Groundwater: leaving the country to other countries (total),2007,0.0,OF
182,Groundwater: leaving the country to other countries (total),2012,0.0,OF
183,Groundwater: leaving the country to other countries (total),2017,0.0,OF
184,Dependency ratio,1962,69.8274750496,E
185,Dependency ratio,1967,69.8274750496,E
186,Dependency ratio,1972,69.8274750496,E
187,Dependency ratio,1977,69.8274750496,E
188,Dependency ratio,1982,69.8274750496,E
189,Dependency ratio,1987,69.8274750496,E
190,Dependency ratio,1992,69.8274750496,E
191,Dependency ratio,1997,69.8274750496,E
192,Dependency ratio,2002,69.8274750496,E
193,Dependency ratio,2007,69.8274750496,E
194,Dependency ratio,2012,69.8274750496,E
195,Dependency ratio,2017,69.8274750496,E
196,Dependency ratio,2018,69.8274750496,E
197,Total internal renewable water resources (IRWR),1962,117.0,E
198,Total internal renewable water resources (IRWR),1967,117.0,E
199,Total internal renewable water resources (IRWR),1972,117.0,E
200,Total internal renewable water resources (IRWR),1977,117.0,E
201,Total internal renewable water resources (IRWR),1982,117.0,E
202,Total internal renewable water resources (IRWR),1987,117.0,E
203,Total internal renewable water resources (IRWR),1992,117.0,E
204,Total internal renewable water resources (IRWR),1997,117.0,E
205,Total internal renewable water resources (IRWR),2002,117.0,E
206,Total internal renewable water resources (IRWR),2007,117.0,E
207,Total internal renewable water resources (IRWR),2012,117.0,E
208,Total internal renewable water resources (IRWR),2017,117.0,E
209,Total internal renewable water resources (IRWR),2018,117.0,E
210,Total internal renewable water resources per capita,1962,58305.5509874568,E
211,Total internal renewable water resources per capita,1967,51073.9052504848,E
212,Total internal renewable water resources per capita,1972,45049.3116696199,E
213,Total internal renewable water resources per capita,1977,39854.045628454,E
214,Total internal renewable water resources per capita,1982,34730.7461796921,E
215,Total internal renewable water resources per capita,1987,30063.7196684049,E
216,Total internal renewable water resources per capita,1992,26321.6150403058,E
217,Total internal renewable water resources per capita,1997,23408.8953802445,E
218,Total internal renewable water resources per capita,2002,21149.819901149,E
219,Total internal renewable water resources per capita,2007,19505.113590613,E
220,Total internal renewable water resources per capita,2012,18220.0051607775,E
221,Total internal renewable water resources per capita,2017,17037.8565153273,E
222,Total internal renewable water resources per capita,2018,16819.8519105483,E
223,Total renewable surface water,1962,387.77,E
224,Total renewable surface water,1967,387.77,E
225,Total renewable surface water,1972,387.77,E
226,Total renewable surface water,1977,387.77,E
227,Total renewable surface water,1982,387.77,E
228,Total renewable surface water,1987,387.77,E
229,Total renewable surface water,1992,387.77,E
230,Total renewable surface water,1997,387.77,E
231,Total renewable surface water,2002,387.77,E
232,Total renewable surface water,2007,387.77,E
233,Total renewable surface water,2012,387.77,E
234,Total renewable surface water,2017,387.77,E
235,Total renewable surface water,2018,387.77,E
236,Total renewable groundwater,1962,41.64,E
237,Total renewable groundwater,1967,41.64,E
238,Total renewable groundwater,1972,41.64,E
239,Total renewable groundwater,1977,41.64,E
240,Total renewable groundwater,1982,41.64,E
241,Total renewable groundwater,1987,41.64,E
242,Total renewable groundwater,1992,41.64,E
243,Total renewable groundwater,1997,41.64,E
244,Total renewable groundwater,2002,41.64,E
245,Total renewable groundwater,2007,41.64,E
246,Total renewable groundwater,2012,41.64,E
247,Total renewable groundwater,2017,41.64,E
248,Total renewable groundwater,2018,41.64,E
249,Water resources: total external renewable,1962,270.77,E
250,Water resources: total external renewable,1967,270.77,E
251,Water resources: total external renewable,1972,270.77,E
252,Water resources: total external renewable,1977,270.77,E
253,Water resources: total external renewable,1982,270.77,E
254,Water resources: total external renewable,1987,270.77,E
255,Water resources: total external renewable,1992,270.77,E
256,Water resources: total external renewable,1997,270.77,E
257,Water resources: total external renewable,2002,270.77,E
258,Water resources: total external renewable,2007,270.77,E
259,Water resources: total external renewable,2012,270.77,E
260,Water resources: total external renewable,2017,270.77,E
261,Water resources: total external renewable,2018,270.77,E
262,Total renewable water resources,1962,387.77,E
263,Total renewable water resources,1967,387.77,E
264,Total renewable water resources,1972,387.77,E
265,Total renewable water resources,1977,387.77,E
266,Total renewable water resources,1982,387.77,E
267,Total renewable water resources,1987,387.77,E
268,Total renewable water resources,1992,387.77,E
269,Total renewable water resources,1997,387.77,E
270,Total renewable water resources,2002,387.77,E
271,Total renewable water resources,2007,387.77,E
272,Total renewable water resources,2012,387.77,E
273,Total renewable water resources,2017,387.77,E
274,Total renewable water resources,2018,387.77,E
275,Total renewable water resources per capita,1962,193240.542789796,E
276,Total renewable water resources per capita,1967,169272.890931457,E
277,Total renewable water resources per capita,1972,149305.74005238,E
278,Total renewable water resources per capita,1977,132087.207464492,E
279,Total renewable water resources per capita,1982,115107.191847002,E
280,Total renewable water resources per capita,1987,99639.3895369005,E
281,Total renewable water resources per capita,1992,87237.0313177725,E
282,Total renewable water resources per capita,1997,77583.4817230547,E
283,Total renewable water resources per capita,2002,70096.2877185346,E
284,Total renewable water resources per capita,2007,64645.2811712137,E
285,Total renewable water resources per capita,2012,60386.0803520915,E
286,Total renewable water resources per capita,2017,56468.116418363,E
287,Total renewable water resources per capita,2018,55745.5895329343,E
288,Total agricultural water managed area,2002,86.7714285714,I
289,Total agricultural water managed area,2007,111.4857142857,I
290,Total agricultural water managed area,2012,136.2,E
291,Total agricultural water managed area,2017,136.2,I
292,Total agricultural water managed area,2018,136.2,I
293,Area equipped for irrigation: total,2002,86.7714285714,I
294,Area equipped for irrigation: total,2007,111.4857142857,I
295,Area equipped for irrigation: total,2011,131.2571428571,I
296,Area equipped for irrigation: total,2017,136.2,I
297,Area equipped for irrigation: total,2018,136.2,I
298,% of agricultural GVA produced by irrigated agriculture,2012,7.7264493541,E
299,% of agricultural GVA produced by irrigated agriculture,2017,7.2702666094,E
300,Ratio between rainfed and irrigated yields,1962,2.649,E
301,Ratio between rainfed and irrigated yields,1967,2.649,E
302,Ratio between rainfed and irrigated yields,1972,2.649,E
303,Ratio between rainfed and irrigated yields,1977,2.649,E
304,Ratio between rainfed and irrigated yields,1982,2.649,E
305,Ratio between rainfed and irrigated yields,1987,2.649,E
306,Ratio between rainfed and irrigated yields,1992,2.649,E
307,Ratio between rainfed and irrigated yields,1997,2.649,E
308,Ratio between rainfed and irrigated yields,2002,2.649,E
309,Ratio between rainfed and irrigated yields,2007,2.649,I
310,Ratio between rainfed and irrigated yields,2012,2.649,E
311,Ratio between rainfed and irrigated yields,2017,2.649,I
312,Ratio between rainfed and irrigated yields,2018,2.649,I
313,Agricultural water withdrawal as % of total renewable water resources,1987,0.0864945715,E
314,Agricultural water withdrawal as % of total renewable water resources,1992,0.087942694,I
315,Agricultural water withdrawal as % of total renewable water resources,1997,0.0893908165,I
316,Agricultural water withdrawal as % of total renewable water resources,2002,0.156750995,I
317,Agricultural water withdrawal as % of total renewable water resources,2007,0.3229792575,I
318,Agricultural water withdrawal as % of total renewable water resources,2012,0.4892075199,E
319,Agricultural water withdrawal as % of total renewable water resources,2017,0.4892075199,I
320,Agricultural water withdrawal as % of total renewable water resources,2018,0.4892075199,I
321,Agricultural water withdrawal,1987,0.3354,OF
322,Agricultural water withdrawal,1992,0.3410153846,I
323,Agricultural water withdrawal,1997,0.3466307692,I
324,Agricultural water withdrawal,2002,0.6078333333,I
325,Agricultural water withdrawal,2007,1.2524166667,I
326,Agricultural water withdrawal,2011,1.7680833333,I
327,Agricultural water withdrawal,2017,1.897,I
328,Agricultural water withdrawal,2018,1.897,I
329,Irrigation water requirement,2017,1.6,I
330,Irrigation water requirement,2018,1.6,I
331,Municipal water withdrawal,1987,0.0645,OF
332,Municipal water withdrawal,1992,0.0781538462,I
333,Municipal water withdrawal,1997,0.0918076923,I
334,Municipal water withdrawal,2002,0.1476363636,I
335,Municipal water withdrawal,2007,0.2667272727,I
336,Municipal water withdrawal,2012,0.362,I
337,Municipal water withdrawal,2017,0.362,I
338,Municipal water withdrawal,2018,0.362,I
339,Industrial water withdrawal,1987,0.0301,OF
340,Industrial water withdrawal,1992,0.0339076923,I
341,Industrial water withdrawal,1997,0.0377153846,I
342,Industrial water withdrawal,2002,0.0685,I
343,Industrial water withdrawal,2007,0.13975,I
344,Industrial water withdrawal,2012,0.154,I
345,Industrial water withdrawal,2017,0.154,I
346,Industrial water withdrawal,2018,0.154,I
347,Total water withdrawal,1987,0.43,E
348,Total water withdrawal,1992,0.4530769231,I
349,Total water withdrawal,1997,0.4761538462,I
350,Total water withdrawal,2002,0.823969697,E
351,Total water withdrawal,2007,1.6588939394,E
352,Total water withdrawal,2012,2.413,E
353,Total water withdrawal,2017,2.413,I
354,Total water withdrawal,2018,2.413,I
355,Fresh surface water withdrawal,2017,1.969,I
356,Fresh surface water withdrawal,2018,1.969,I
357,Fresh groundwater withdrawal,2012,0.444,I
358,Fresh groundwater withdrawal,2017,0.444,I
359,Fresh groundwater withdrawal,2018,0.444,I
360,Total freshwater withdrawal,1987,0.43,E
361,Total freshwater withdrawal,1992,0.4530769231,I
362,Total freshwater withdrawal,1997,0.4761538462,I
363,Total freshwater withdrawal,2002,0.823969697,E
364,Total freshwater withdrawal,2007,1.6588939394,E
365,Total freshwater withdrawal,2012,2.413,E
366,Total freshwater withdrawal,2017,2.413,I
367,Total freshwater withdrawal,2018,2.413,I
368,Desalinated water produced,2012,8e-06,I
369,Desalinated water produced,2017,8e-06,I
370,Desalinated water produced,2018,8e-06,I
371,Produced municipal wastewater,2007,0.2048,I
372,Produced municipal wastewater,2012,0.2048,I
373,Produced municipal wastewater,2017,0.2048,I
374,Produced municipal wastewater,2018,0.2048,I
394,SDG 6.4.2. Water Stress,1987,0.3270708146,E
395,SDG 6.4.2. Water Stress,1992,0.3446238101,E
396,SDG 6.4.2. Water Stress,1997,0.3621768055,E
397,SDG 6.4.2. Water Stress,2002,0.626735907,E
398,SDG 6.4.2. Water Stress,2007,1.2618041678,E
399,SDG 6.4.2. Water Stress,2012,1.835399711,E
400,SDG 6.4.2. Water Stress,2017,1.835399711,E
401,SDG 6.4.2. Water Stress,2018,1.835399711,E
402,SDG 6.4.1. Water Use Efficiency,2016,12.9515612142,I
403,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2016,0.1550946678,E
404,SDG 6.4.1. Industrial Water Use Efficiency,1987,153.0058999794,E
405,SDG 6.4.1. Industrial Water Use Efficiency,1992,170.3871302181,E
406,SDG 6.4.1. Industrial Water Use Efficiency,1997,161.444247569,E
407,SDG 6.4.1. Industrial Water Use Efficiency,2002,80.6519994077,E
408,SDG 6.4.1. Industrial Water Use Efficiency,2007,46.0215213558,E
409,SDG 6.4.1. Industrial Water Use Efficiency,2010,47.2718207881,E
410,SDG 6.4.1. Industrial Water Use Efficiency,2016,63.133009447,E
411,SDG 6.4.1. Services Water Use Efficiency,1987,109.7432654258,E
412,SDG 6.4.1. Services Water Use Efficiency,1992,101.4744495171,E
413,SDG 6.4.1. Services Water Use Efficiency,1997,113.268253792,E
414,SDG 6.4.1. Services Water Use Efficiency,2002,96.5765517119,E
415,SDG 6.4.1. Services Water Use Efficiency,2007,55.8125900717,E
416,SDG 6.4.1. Services Water Use Efficiency,2010,48.8445009726,E
417,SDG 6.4.1. Services Water Use Efficiency,2016,58.661378923,E
418,Harvested irrigated temporary crop area: Rice,2012,80.0,OF
419,Harvested irrigated temporary crop area: Rice,2017,80.0,I
420,Harvested irrigated temporary crop area: Rice,2018,80.0,I
421,Harvested irrigated temporary crop area: Sugarcane,2012,53.13,I
422,Harvested irrigated temporary crop area: Sugarcane,2017,53.13,I
423,Harvested irrigated temporary crop area: Sugarcane,2018,53.13,I
424,Harvested irrigated temporary crop area: Vegetables,2012,2.23,I
425,Harvested irrigated temporary crop area: Vegetables,2017,2.23,I
426,Harvested irrigated temporary crop area: Vegetables,2018,2.23,I
427,Harvested irrigated permanent crop area: Other crops,2012,0.81,I
428,Harvested irrigated permanent crop area: Other crops,2017,0.81,I
429,Harvested irrigated permanent crop area: Other crops,2018,0.81,I
