Viet Nam,Variable Name,Year,Value,Symbol
152,Surface water: leaving the country to other countries (total),1962,37.15,OF
153,Surface water: leaving the country to other countries (total),1967,37.15,OF
154,Surface water: leaving the country to other countries (total),1972,37.15,OF
155,Surface water: leaving the country to other countries (total),1977,37.15,OF
156,Surface water: leaving the country to other countries (total),1982,37.15,OF
157,Surface water: leaving the country to other countries (total),1987,37.15,OF
158,Surface water: leaving the country to other countries (total),1992,37.15,OF
159,Surface water: leaving the country to other countries (total),1997,37.15,OF
160,Surface water: leaving the country to other countries (total),2002,37.15,OF
161,Surface water: leaving the country to other countries (total),2007,37.15,OF
162,Surface water: leaving the country to other countries (total),2012,37.15,OF
163,Surface water: leaving the country to other countries (total),2017,37.15,OF
164,Groundwater: entering the country (total),1962,0.0,OF
165,Groundwater: entering the country (total),1967,0.0,OF
166,Groundwater: entering the country (total),1972,0.0,OF
167,Groundwater: entering the country (total),1977,0.0,OF
168,Groundwater: entering the country (total),1982,0.0,OF
169,Groundwater: entering the country (total),1987,0.0,OF
170,Groundwater: entering the country (total),1992,0.0,OF
171,Groundwater: entering the country (total),1997,0.0,OF
172,Groundwater: entering the country (total),2002,0.0,OF
173,Groundwater: entering the country (total),2007,0.0,OF
174,Groundwater: entering the country (total),2012,0.0,OF
175,Groundwater: entering the country (total),2017,0.0,OF
176,Groundwater: leaving the country to other countries (total),1962,0.0,OF
177,Groundwater: leaving the country to other countries (total),1967,0.0,OF
178,Groundwater: leaving the country to other countries (total),1972,0.0,OF
179,Groundwater: leaving the country to other countries (total),1977,0.0,OF
180,Groundwater: leaving the country to other countries (total),1982,0.0,OF
181,Groundwater: leaving the country to other countries (total),1987,0.0,OF
182,Groundwater: leaving the country to other countries (total),1992,0.0,OF
183,Groundwater: leaving the country to other countries (total),1997,0.0,OF
184,Groundwater: leaving the country to other countries (total),2002,0.0,OF
185,Groundwater: leaving the country to other countries (total),2007,0.0,OF
186,Groundwater: leaving the country to other countries (total),2012,0.0,OF
187,Groundwater: leaving the country to other countries (total),2017,0.0,OF
188,Dependency ratio,1962,59.347147446,E
189,Dependency ratio,1967,59.347147446,E
190,Dependency ratio,1972,59.347147446,E
191,Dependency ratio,1977,59.347147446,E
192,Dependency ratio,1982,59.347147446,E
193,Dependency ratio,1987,59.347147446,E
194,Dependency ratio,1992,59.347147446,E
195,Dependency ratio,1997,59.347147446,E
196,Dependency ratio,2002,59.347147446,E
197,Dependency ratio,2007,59.347147446,E
198,Dependency ratio,2012,59.347147446,E
199,Dependency ratio,2017,59.347147446,E
200,Dependency ratio,2018,59.347147446,E
201,Total internal renewable water resources (IRWR),1962,359.42,E
202,Total internal renewable water resources (IRWR),1967,359.42,E
203,Total internal renewable water resources (IRWR),1972,359.42,E
204,Total internal renewable water resources (IRWR),1977,359.42,E
205,Total internal renewable water resources (IRWR),1982,359.42,E
206,Total internal renewable water resources (IRWR),1987,359.42,E
207,Total internal renewable water resources (IRWR),1992,359.42,E
208,Total internal renewable water resources (IRWR),1997,359.42,E
209,Total internal renewable water resources (IRWR),2002,359.42,E
210,Total internal renewable water resources (IRWR),2007,359.42,E
211,Total internal renewable water resources (IRWR),2012,359.42,E
212,Total internal renewable water resources (IRWR),2017,359.42,E
213,Total internal renewable water resources (IRWR),2018,359.42,E
214,Total internal renewable water resources per capita,1962,10362.8804402059,E
215,Total internal renewable water resources per capita,1967,8969.1429739584,E
216,Total internal renewable water resources per capita,1972,7890.9330869204,E
217,Total internal renewable water resources per capita,1977,7066.6887240995,E
218,Total internal renewable water resources per capita,1982,6326.223539543,E
219,Total internal renewable water resources per capita,1987,5642.2115158382,E
220,Total internal renewable water resources per capita,1992,5070.5749058797,E
221,Total internal renewable water resources per capita,1997,4659.7306317354,E
222,Total internal renewable water resources per capita,2002,4408.2003319163,E
223,Total internal renewable water resources per capita,2007,4207.6998472166,E
224,Total internal renewable water resources per capita,2012,4002.3640472923,E
225,Total internal renewable water resources per capita,2017,3799.339725453,E
226,Total internal renewable water resources per capita,2018,3761.7497639513,E
227,Total renewable surface water,1962,847.7,E
228,Total renewable surface water,1967,847.7,E
229,Total renewable surface water,1972,847.7,E
230,Total renewable surface water,1977,847.7,E
231,Total renewable surface water,1982,847.7,E
232,Total renewable surface water,1987,847.7,E
233,Total renewable surface water,1992,847.7,E
234,Total renewable surface water,1997,847.7,E
235,Total renewable surface water,2002,847.7,E
236,Total renewable surface water,2007,847.7,E
237,Total renewable surface water,2012,847.7,E
238,Total renewable surface water,2017,847.7,E
239,Total renewable surface water,2018,847.7,E
240,Total renewable groundwater,1962,71.42,E
241,Total renewable groundwater,1967,71.42,E
242,Total renewable groundwater,1972,71.42,E
243,Total renewable groundwater,1977,71.42,E
244,Total renewable groundwater,1982,71.42,E
245,Total renewable groundwater,1987,71.42,E
246,Total renewable groundwater,1992,71.42,E
247,Total renewable groundwater,1997,71.42,E
248,Total renewable groundwater,2002,71.42,E
249,Total renewable groundwater,2007,71.42,E
250,Total renewable groundwater,2012,71.42,E
251,Total renewable groundwater,2017,71.42,E
252,Total renewable groundwater,2018,71.42,E
253,Total exploitable water resources,2005,371.9,OF
254,Total exploitable water resources,2011,371.9,OF
255,Water resources: total external renewable,1962,524.7,E
256,Water resources: total external renewable,1967,524.7,E
257,Water resources: total external renewable,1972,524.7,E
258,Water resources: total external renewable,1977,524.7,E
259,Water resources: total external renewable,1982,524.7,E
260,Water resources: total external renewable,1987,524.7,E
261,Water resources: total external renewable,1992,524.7,E
262,Water resources: total external renewable,1997,524.7,E
263,Water resources: total external renewable,2002,524.7,E
264,Water resources: total external renewable,2007,524.7,E
265,Water resources: total external renewable,2012,524.7,E
266,Water resources: total external renewable,2017,524.7,E
267,Water resources: total external renewable,2018,524.7,E
268,Total renewable water resources,1962,884.12,E
269,Total renewable water resources,1967,884.12,E
270,Total renewable water resources,1972,884.12,E
271,Total renewable water resources,1977,884.12,E
272,Total renewable water resources,1982,884.12,E
273,Total renewable water resources,1987,884.12,E
274,Total renewable water resources,1992,884.12,E
275,Total renewable water resources,1997,884.12,E
276,Total renewable water resources,2002,884.12,E
277,Total renewable water resources,2007,884.12,E
278,Total renewable water resources,2012,884.12,E
279,Total renewable water resources,2017,884.12,E
280,Total renewable water resources,2018,884.12,E
281,Total renewable water resources per capita,1962,25491.1520082211,E
282,Total renewable water resources per capita,1967,22062.7641370433,E
283,Total renewable water resources per capita,1972,19410.5274075123,E
284,Total renewable water resources per capita,1977,17383.0082765313,E
285,Total renewable water resources per capita,1982,15561.573523401,E
286,Total renewable water resources per capita,1987,13879.0051899806,E
287,Total renewable water resources per capita,1992,12472.8637409892,E
288,Total renewable water resources per capita,1997,11462.2476382224,E
289,Total renewable water resources per capita,2002,10843.5203312388,E
290,Total renewable water resources per capita,2007,10350.3188162069,E
291,Total renewable water resources per capita,2012,9845.223141428,E
292,Total renewable water resources per capita,2017,9345.8133606019,E
293,Total renewable water resources per capita,2018,9253.3476192327,E
294,Total agricultural water managed area,1992,2950.0,I
295,Total agricultural water managed area,1997,3432.0,E
296,Total agricultural water managed area,2002,4152.0,E
297,Total agricultural water managed area,2007,4585.1,I
298,Total agricultural water managed area,2012,4585.1,I
299,Total agricultural water managed area,2017,4585.1,I
300,Total agricultural water managed area,2018,4585.1,I
301,Area equipped for irrigation: total,1992,2950.0,I
302,Area equipped for irrigation: total,1997,3432.0,E
303,Area equipped for irrigation: total,2002,4152.0,E
304,Area equipped for irrigation: total,2007,4585.1,I
305,Area equipped for irrigation: total,2012,4585.1,I
306,Area equipped for irrigation: total,2017,4585.1,I
307,Area equipped for irrigation: total,2018,4585.1,I
308,% of agricultural GVA produced by irrigated agriculture,1992,48.127419009,E
309,% of agricultural GVA produced by irrigated agriculture,1997,89.3641232609,E
310,% of agricultural GVA produced by irrigated agriculture,2002,92.9074740116,E
311,% of agricultural GVA produced by irrigated agriculture,2007,96.2397867265,E
312,% of agricultural GVA produced by irrigated agriculture,2012,92.5675727895,E
313,% of agricultural GVA produced by irrigated agriculture,2017,86.3641908881,E
314,Ratio between rainfed and irrigated yields,1962,2.031,E
315,Ratio between rainfed and irrigated yields,1967,2.031,E
316,Ratio between rainfed and irrigated yields,1972,2.031,E
317,Ratio between rainfed and irrigated yields,1977,2.031,E
318,Ratio between rainfed and irrigated yields,1982,2.031,E
319,Ratio between rainfed and irrigated yields,1987,2.031,E
320,Ratio between rainfed and irrigated yields,1992,2.031,E
321,Ratio between rainfed and irrigated yields,1997,2.031,E
322,Ratio between rainfed and irrigated yields,2002,2.031,E
323,Ratio between rainfed and irrigated yields,2007,2.031,I
324,Ratio between rainfed and irrigated yields,2012,2.031,E
325,Ratio between rainfed and irrigated yields,2017,2.031,I
326,Ratio between rainfed and irrigated yields,2018,2.031,I
327,Agricultural water withdrawal as % of total renewable water resources,1982,4.2170746053,I
328,Agricultural water withdrawal as % of total renewable water resources,1987,4.8850834728,I
329,Agricultural water withdrawal as % of total renewable water resources,1992,5.7797584038,I
330,Agricultural water withdrawal as % of total renewable water resources,1997,6.9391032891,I
331,Agricultural water withdrawal as % of total renewable water resources,2002,8.0984481745,I
332,Agricultural water withdrawal as % of total renewable water resources,2007,8.7940551056,I
333,Agricultural water withdrawal as % of total renewable water resources,2012,8.7940551056,I
334,Agricultural water withdrawal as % of total renewable water resources,2017,8.7940551056,I
335,Agricultural water withdrawal as % of total renewable water resources,2018,8.7940551056,I
336,Agricultural water withdrawal,1982,37.284,I
337,Agricultural water withdrawal,1987,43.19,I
338,Agricultural water withdrawal,1992,51.1,I
339,Agricultural water withdrawal,1997,61.35,I
340,Agricultural water withdrawal,2002,71.6,I
341,Agricultural water withdrawal,2007,77.75,I
342,Agricultural water withdrawal,2012,77.75,I
343,Agricultural water withdrawal,2017,77.75,I
344,Agricultural water withdrawal,2018,77.75,I
345,Irrigation water requirement,2007,29.24,I
346,Irrigation water requirement,2012,29.24,I
347,Irrigation water requirement,2017,29.24,I
348,Irrigation water requirement,2018,29.24,I
349,Municipal water withdrawal,1982,1.492,I
350,Municipal water withdrawal,1987,1.6568,I
351,Municipal water withdrawal,1992,1.4238,I
352,Municipal water withdrawal,1997,1.1908,I
353,Municipal water withdrawal,2002,1.113,I
354,Municipal water withdrawal,2007,1.206,I
355,Municipal water withdrawal,2012,1.206,I
356,Municipal water withdrawal,2017,1.206,I
357,Municipal water withdrawal,2018,1.206,I
358,Industrial water withdrawal,1982,2.048,I
359,Industrial water withdrawal,1987,2.9224,I
360,Industrial water withdrawal,1992,3.0534,I
361,Industrial water withdrawal,1997,3.1844,I
362,Industrial water withdrawal,2002,3.1874,I
363,Industrial water withdrawal,2007,3.074,I
364,Industrial water withdrawal,2012,3.074,I
365,Industrial water withdrawal,2017,3.074,I
366,Industrial water withdrawal,2018,3.074,I
367,Total water withdrawal,1982,40.824,I
368,Total water withdrawal,1987,47.7692,E
369,Total water withdrawal,1992,55.5772,E
370,Total water withdrawal,1997,65.7252,E
371,Total water withdrawal,2002,75.9004,E
372,Total water withdrawal,2007,82.03,I
373,Total water withdrawal,2012,82.03,I
374,Total water withdrawal,2017,82.03,I
375,Total water withdrawal,2018,82.03,I
376,Fresh surface water withdrawal,2007,80.46,I
377,Fresh surface water withdrawal,2012,80.46,I
378,Fresh surface water withdrawal,2017,80.46,I
379,Fresh surface water withdrawal,2018,80.46,I
380,Fresh groundwater withdrawal,2007,1.402,I
381,Fresh groundwater withdrawal,2012,1.402,I
382,Fresh groundwater withdrawal,2017,1.402,I
383,Fresh groundwater withdrawal,2018,1.402,I
384,Total freshwater withdrawal,1982,40.824,I
385,Total freshwater withdrawal,1987,47.7692,E
386,Total freshwater withdrawal,1992,55.5772,E
387,Total freshwater withdrawal,1997,65.7252,E
388,Total freshwater withdrawal,2002,75.9004,E
389,Total freshwater withdrawal,2007,81.862,I
390,Total freshwater withdrawal,2012,81.862,I
391,Total freshwater withdrawal,2017,81.862,I
392,Total freshwater withdrawal,2018,81.862,I
393,Direct use of treated municipal wastewater,2007,0.175,I
394,Direct use of treated municipal wastewater,2012,0.175,I
395,Direct use of treated municipal wastewater,2017,0.175,I
396,Direct use of treated municipal wastewater,2018,0.175,I
397,Produced municipal wastewater,2007,1.4875555556,I
398,Produced municipal wastewater,2011,1.8751111111,I
399,Produced municipal wastewater,2017,1.972,I
400,Produced municipal wastewater,2018,1.972,I
402,Collected municipal wastewater,2017,0.197,I
403,Collected municipal wastewater,2018,0.197,I
404,Not treated municipal wastewater,2012,1.775,OF
405,Not treated municipal wastewater,2017,1.775,I
406,Not treated municipal wastewater,2018,1.775,I
407,Treated municipal wastewater,2012,0.197,OF
408,Treated municipal wastewater,2017,0.197,I
409,Treated municipal wastewater,2018,0.197,I
422,SDG 6.4.2. Water Stress,1982,9.0414599575,E
423,SDG 6.4.2. Water Stress,1987,10.5796420978,E
424,SDG 6.4.2. Water Stress,1992,12.3089121191,E
425,SDG 6.4.2. Water Stress,1997,14.5564316088,E
426,SDG 6.4.2. Water Stress,2002,16.8099751949,E
427,SDG 6.4.2. Water Stress,2007,18.1303153792,E
428,SDG 6.4.2. Water Stress,2012,18.1303153792,E
429,SDG 6.4.2. Water Stress,2017,18.1303153792,E
430,SDG 6.4.2. Water Stress,2018,18.1303153792,E
431,SDG 6.4.1. Water Use Efficiency,1992,0.6854419758,I
432,SDG 6.4.1. Water Use Efficiency,1997,1.0359092762,I
433,SDG 6.4.1. Water Use Efficiency,2002,1.2253034898,I
434,SDG 6.4.1. Water Use Efficiency,2007,1.4809238403,I
435,SDG 6.4.1. Water Use Efficiency,2012,1.7514425983,I
436,SDG 6.4.1. Water Use Efficiency,2015,2.0653593023,I
437,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1992,0.1334964597,E
438,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.2388818195,E
439,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.2575659647,E
440,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.2824976263,E
441,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2012,0.3710162117,E
442,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.3651131405,E
443,SDG 6.4.1. Industrial Water Use Efficiency,1982,2.577181757,E
444,SDG 6.4.1. Industrial Water Use Efficiency,1987,2.3248701794,E
445,SDG 6.4.1. Industrial Water Use Efficiency,1992,3.5053490414,E
446,SDG 6.4.1. Industrial Water Use Efficiency,1997,5.8270649641,E
447,SDG 6.4.1. Industrial Water Use Efficiency,2002,9.4317072453,E
448,SDG 6.4.1. Industrial Water Use Efficiency,2007,13.8229944233,E
449,SDG 6.4.1. Industrial Water Use Efficiency,2012,15.8689229946,E
450,SDG 6.4.1. Industrial Water Use Efficiency,2015,18.0690077541,E
451,SDG 6.4.1. Services Water Use Efficiency,1982,7.3387870642,E
452,SDG 6.4.1. Services Water Use Efficiency,1987,8.8151169801,E
453,SDG 6.4.1. Services Water Use Efficiency,1992,14.4472846779,E
454,SDG 6.4.1. Services Water Use Efficiency,1997,29.2863949128,E
455,SDG 6.4.1. Services Water Use Efficiency,2002,39.9790460465,E
456,SDG 6.4.1. Services Water Use Efficiency,2007,47.2836710781,E
457,SDG 6.4.1. Services Water Use Efficiency,2012,54.7622359806,E
458,SDG 6.4.1. Services Water Use Efficiency,2015,70.8870207769,E
459,Area salinized by irrigation,2002,300.0,I
460,Area salinized by irrigation,2007,300.0,I
461,Area salinized by irrigation,2012,300.0,I
462,Area salinized by irrigation,2017,300.0,I
463,Area salinized by irrigation,2018,300.0,I
464,Harvested irrigated temporary crop area: Rice,1997,5460.0,OF
465,Harvested irrigated temporary crop area: Rice,2002,6323.75,I
466,Harvested irrigated temporary crop area: Rice,2007,6842.0,I
467,Harvested irrigated temporary crop area: Rice,2012,6842.0,I
468,Harvested irrigated temporary crop area: Rice,2017,6842.0,I
469,Harvested irrigated temporary crop area: Rice,2018,6842.0,I
470,Harvested irrigated temporary crop area: Maize,2007,265.5,I
471,Harvested irrigated temporary crop area: Maize,2012,265.5,I
472,Harvested irrigated temporary crop area: Maize,2017,265.5,I
473,Harvested irrigated temporary crop area: Maize,2018,265.5,I
474,Harvested irrigated temporary crop area: Sweet potatoes,2007,99.53,I
475,Harvested irrigated temporary crop area: Sweet potatoes,2012,99.53,I
476,Harvested irrigated temporary crop area: Sweet potatoes,2017,99.53,I
477,Harvested irrigated temporary crop area: Sweet potatoes,2018,99.53,I
478,Harvested irrigated temporary crop area: Cassava,2007,167.9,I
479,Harvested irrigated temporary crop area: Cassava,2012,167.9,I
480,Harvested irrigated temporary crop area: Cassava,2017,167.9,I
481,Harvested irrigated temporary crop area: Cassava,2018,167.9,I
482,Harvested irrigated temporary crop area: Sugarcane,2007,105.8,I
483,Harvested irrigated temporary crop area: Sugarcane,2012,105.8,I
484,Harvested irrigated temporary crop area: Sugarcane,2017,105.8,I
485,Harvested irrigated temporary crop area: Sugarcane,2018,105.8,I
486,Harvested irrigated temporary crop area: Vegetables,1997,340.0,OF
487,Harvested irrigated temporary crop area: Vegetables,2002,340.0,I
488,Harvested irrigated temporary crop area: Vegetables,2007,340.0,I
489,Harvested irrigated temporary crop area: Vegetables,2012,340.0,I
490,Harvested irrigated temporary crop area: Vegetables,2017,340.0,I
491,Harvested irrigated temporary crop area: Vegetables,2018,340.0,I
492,Harvested irrigated permanent crop area: Bananas,2007,54.63,I
493,Harvested irrigated permanent crop area: Bananas,2012,54.63,I
494,Harvested irrigated permanent crop area: Bananas,2017,54.63,I
495,Harvested irrigated permanent crop area: Bananas,2018,54.63,I
496,Harvested irrigated permanent crop area: Citrus,2007,46.07,I
497,Harvested irrigated permanent crop area: Citrus,2012,46.07,I
498,Harvested irrigated permanent crop area: Citrus,2017,46.07,I
499,Harvested irrigated permanent crop area: Citrus,2018,46.07,I
500,Harvested irrigated permanent crop area: Coffee,2007,259.6,I
501,Harvested irrigated permanent crop area: Coffee,2012,259.6,I
502,Harvested irrigated permanent crop area: Coffee,2017,259.6,I
503,Harvested irrigated permanent crop area: Coffee,2018,259.6,I
504,Harvested irrigated permanent crop area: Tea,2007,62.55,I
505,Harvested irrigated permanent crop area: Tea,2012,62.55,I
506,Harvested irrigated permanent crop area: Tea,2017,62.55,I
507,Harvested irrigated permanent crop area: Tea,2018,62.55,I
508,Harvested irrigated temporary crop area: Tobacco,2007,8.6,I
509,Harvested irrigated temporary crop area: Tobacco,2012,8.6,I
510,Harvested irrigated temporary crop area: Tobacco,2017,8.6,I
511,Harvested irrigated temporary crop area: Tobacco,2018,8.6,I
512,Harvested irrigated temporary crop area: Cotton,2007,14.79,I
513,Harvested irrigated temporary crop area: Cotton,2012,14.79,I
514,Harvested irrigated temporary crop area: Cotton,2017,14.79,I
515,Harvested irrigated temporary crop area: Cotton,2018,14.79,I
516,Harvested irrigated permanent crop area: Rubber,2007,253.7,I
517,Harvested irrigated permanent crop area: Rubber,2012,253.7,I
518,Harvested irrigated permanent crop area: Rubber,2017,253.7,I
519,Harvested irrigated permanent crop area: Rubber,2018,253.7,I
520,Harvested irrigated temporary crop area: Soybeans,2007,97.12,I
521,Harvested irrigated temporary crop area: Soybeans,2012,97.12,I
522,Harvested irrigated temporary crop area: Soybeans,2017,97.12,I
523,Harvested irrigated temporary crop area: Soybeans,2018,97.12,I
524,Harvested irrigated temporary crop area: Groundnuts,2007,139.3,I
525,Harvested irrigated temporary crop area: Groundnuts,2012,139.3,I
526,Harvested irrigated temporary crop area: Groundnuts,2017,139.3,I
527,Harvested irrigated temporary crop area: Groundnuts,2018,139.3,I
528,Harvested irrigated permanent crop area: Coconuts,2007,25.04,I
529,Harvested irrigated permanent crop area: Coconuts,2012,25.04,I
530,Harvested irrigated permanent crop area: Coconuts,2017,25.04,I
531,Harvested irrigated permanent crop area: Coconuts,2018,25.04,I
532,Harvested irrigated temporary crop area: Other crops,2007,2.565,I
533,Harvested irrigated temporary crop area: Other crops,2012,2.565,I
534,Harvested irrigated temporary crop area: Other crops,2017,2.565,I
535,Harvested irrigated temporary crop area: Other crops,2018,2.565,I
536,Harvested irrigated permanent crop area: Other crops,2007,283.3,I
537,Harvested irrigated permanent crop area: Other crops,2012,283.3,I
538,Harvested irrigated permanent crop area: Other crops,2017,283.3,I
539,Harvested irrigated permanent crop area: Other crops,2018,283.3,I
