Chile,Variable Name,Year,Value,Symbol
201,Dependency ratio,2007,4.1232422594,E
202,Dependency ratio,2012,4.1232422594,E
203,Dependency ratio,2017,4.1232422594,E
204,Dependency ratio,2018,4.1232422594,E
205,Total internal renewable water resources (IRWR),1962,885.0,E
206,Total internal renewable water resources (IRWR),1967,885.0,E
207,Total internal renewable water resources (IRWR),1972,885.0,E
208,Total internal renewable water resources (IRWR),1977,885.0,E
209,Total internal renewable water resources (IRWR),1982,885.0,E
210,Total internal renewable water resources (IRWR),1987,885.0,E
211,Total internal renewable water resources (IRWR),1992,885.0,E
212,Total internal renewable water resources (IRWR),1997,885.0,E
213,Total internal renewable water resources (IRWR),2002,885.0,E
214,Total internal renewable water resources (IRWR),2007,885.0,E
215,Total internal renewable water resources (IRWR),2012,885.0,E
216,Total internal renewable water resources (IRWR),2017,885.0,E
217,Total internal renewable water resources (IRWR),2018,885.0,E
218,Total internal renewable water resources per capita,1962,104401.410091452,E
219,Total internal renewable water resources per capita,1967,95037.6902297496,E
220,Total internal renewable water resources per capita,1972,87591.8997386495,E
221,Total internal renewable water resources per capita,1977,81023.336643541,E
222,Total internal renewable water resources per capita,1982,75358.2005176981,E
223,Total internal renewable water resources per capita,1987,69999.629832466,E
224,Total internal renewable water resources per capita,1992,64505.2241578406,E
225,Total internal renewable water resources per capita,1997,59853.0253168153,E
226,Total internal renewable water resources per capita,2002,56425.460468418,E
227,Total internal renewable water resources per capita,2007,53538.388385618,E
228,Total internal renewable water resources per capita,2012,50861.054667473,E
229,Total internal renewable water resources per capita,2017,47914.3998688932,E
230,Total internal renewable water resources per capita,2018,47252.5196004519,E
231,Total renewable surface water,1962,923.06,E
232,Total renewable surface water,1967,923.06,E
233,Total renewable surface water,1972,923.06,E
234,Total renewable surface water,1977,923.06,E
235,Total renewable surface water,1982,923.06,E
236,Total renewable surface water,1987,923.06,E
237,Total renewable surface water,1992,923.06,E
238,Total renewable surface water,1997,923.06,E
239,Total renewable surface water,2002,923.06,E
240,Total renewable surface water,2007,923.06,E
241,Total renewable surface water,2012,923.06,E
242,Total renewable surface water,2017,923.06,E
243,Total renewable surface water,2018,923.06,E
244,Total renewable groundwater,1962,140.0,E
245,Total renewable groundwater,1967,140.0,E
246,Total renewable groundwater,1972,140.0,E
247,Total renewable groundwater,1977,140.0,E
248,Total renewable groundwater,1982,140.0,E
249,Total renewable groundwater,1987,140.0,E
250,Total renewable groundwater,1992,140.0,E
251,Total renewable groundwater,1997,140.0,E
252,Total renewable groundwater,2002,140.0,E
253,Total renewable groundwater,2007,140.0,E
254,Total renewable groundwater,2012,140.0,E
255,Total renewable groundwater,2017,140.0,E
256,Total renewable groundwater,2018,140.0,E
257,Water resources: total external renewable,1962,38.06,E
258,Water resources: total external renewable,1967,38.06,E
259,Water resources: total external renewable,1972,38.06,E
260,Water resources: total external renewable,1977,38.06,E
261,Water resources: total external renewable,1982,38.06,E
262,Water resources: total external renewable,1987,38.06,E
263,Water resources: total external renewable,1992,38.06,E
264,Water resources: total external renewable,1997,38.06,E
265,Water resources: total external renewable,2002,38.06,E
266,Water resources: total external renewable,2007,38.06,E
267,Water resources: total external renewable,2012,38.06,E
268,Water resources: total external renewable,2017,38.06,E
269,Water resources: total external renewable,2018,38.06,E
270,Total renewable water resources,1962,923.06,E
271,Total renewable water resources,1967,923.06,E
272,Total renewable water resources,1972,923.06,E
273,Total renewable water resources,1977,923.06,E
274,Total renewable water resources,1982,923.06,E
275,Total renewable water resources,1987,923.06,E
276,Total renewable water resources,1992,923.06,E
277,Total renewable water resources,1997,923.06,E
278,Total renewable water resources,2002,923.06,E
279,Total renewable water resources,2007,923.06,E
280,Total renewable water resources,2012,923.06,E
281,Total renewable water resources,2017,923.06,E
282,Total renewable water resources,2018,923.06,E
283,Total renewable water resources per capita,1962,108891.26056386,E
284,Total renewable water resources per capita,1967,99124.8478457318,E
285,Total renewable water resources per capita,1972,91358.8462969015,E
286,Total renewable water resources per capita,1977,84507.7978781773,E
287,Total renewable water resources per capita,1982,78599.0288925044,E
288,Total renewable water resources per capita,1987,73010.0093933966,E
289,Total renewable water resources per capita,1992,67279.3132329224,E
290,Total renewable water resources per capita,1997,62427.0435581237,E
291,Total renewable water resources per capita,2002,58852.0740564723,E
292,Total renewable water resources per capita,2007,55840.8415629701,E
293,Total renewable water resources per capita,2012,53048.3673687657,E
294,Total renewable water resources per capita,2017,49974.9897660797,E
295,Total renewable water resources per capita,2018,49284.6449066589,E
296,Total agricultural water managed area,2007,1109.0,OF
297,Total agricultural water managed area,2012,1108.2244992674,E
298,Total agricultural water managed area,2014,1108.1142989743,E
299,Area equipped for irrigation: total,2007,1109.0,OF
300,Area equipped for irrigation: total,2012,1108.2244992674,E
301,Area equipped for irrigation: total,2014,1108.1142989743,E
302,% of agricultural GVA produced by irrigated agriculture,2007,75.4733833232,E
303,% of agricultural GVA produced by irrigated agriculture,2012,71.6649980719,E
304,% of agricultural GVA produced by irrigated agriculture,2017,69.631090051,E
305,Ratio between rainfed and irrigated yields,1962,1.758,E
306,Ratio between rainfed and irrigated yields,1967,1.758,E
307,Ratio between rainfed and irrigated yields,1972,1.758,E
308,Ratio between rainfed and irrigated yields,1977,1.758,E
309,Ratio between rainfed and irrigated yields,1982,1.758,E
310,Ratio between rainfed and irrigated yields,1987,1.758,E
311,Ratio between rainfed and irrigated yields,1992,1.758,E
312,Ratio between rainfed and irrigated yields,1997,1.758,E
313,Ratio between rainfed and irrigated yields,2002,1.758,E
314,Ratio between rainfed and irrigated yields,2007,1.758,I
315,Ratio between rainfed and irrigated yields,2012,1.758,E
316,Ratio between rainfed and irrigated yields,2017,1.758,I
317,Ratio between rainfed and irrigated yields,2018,1.758,I
318,Agricultural water withdrawal as % of total renewable water resources,1992,1.84,OF
319,Agricultural water withdrawal as % of total renewable water resources,1997,2.3211518211,I
320,Agricultural water withdrawal as % of total renewable water resources,2002,2.8023036422,I
321,Agricultural water withdrawal as % of total renewable water resources,2006,3.1872250991,E
322,Agricultural water withdrawal,2006,29.42,OF
323,Irrigation water withdrawal,2007,15.68,I
324,Irrigation water withdrawal,2012,10.88,I
325,Irrigation water withdrawal,2017,7.89,I
326,Irrigation water withdrawal,2018,7.89,I
327,Municipal water withdrawal,1977,1.0182352941,I
328,Municipal water withdrawal,1982,1.0438235294,I
329,Municipal water withdrawal,1987,1.0694117647,I
330,Municipal water withdrawal,1992,1.095,OF
331,Municipal water withdrawal,1997,1.0625,I
332,Municipal water withdrawal,2002,1.1176666667,I
333,Municipal water withdrawal,2007,1.2693,I
334,Municipal water withdrawal,2012,1.2808,I
335,Municipal water withdrawal,2017,1.29,I
336,Municipal water withdrawal,2018,1.29,I
337,Industrial water withdrawal,1977,1.0012941176,I
338,Industrial water withdrawal,1982,1.4045294118,I
339,Industrial water withdrawal,1987,1.8077647059,I
340,Industrial water withdrawal,1992,2.211,OF
341,Industrial water withdrawal,1997,2.281625,I
342,Industrial water withdrawal,2002,3.1306666667,I
343,Industrial water withdrawal,2007,4.4356,I
344,Industrial water withdrawal,2012,2.8936,I
345,Industrial water withdrawal,2017,1.66,I
346,Industrial water withdrawal,2018,1.66,I
347,Total water withdrawal,1992,20.29,E
348,Total water withdrawal,1997,25.6971428571,I
349,Total water withdrawal,2002,31.1042857143,I
350,Total water withdrawal,2006,35.43,OF
351,Fresh surface water withdrawal,2007,38.1188888889,I
352,Fresh surface water withdrawal,2012,65.7633333333,I
353,Fresh surface water withdrawal,2017,82.35,I
354,Fresh surface water withdrawal,2018,82.35,I
355,Fresh groundwater withdrawal,2007,2.778,I
356,Fresh groundwater withdrawal,2012,2.778,I
357,Fresh groundwater withdrawal,2017,2.778,I
358,Fresh groundwater withdrawal,2018,2.778,I
359,Total freshwater withdrawal,1992,20.2852,E
360,Total freshwater withdrawal,1997,25.6923428571,E
361,Total freshwater withdrawal,2002,31.0895357143,E
362,Total freshwater withdrawal,2007,40.8968888889,E
363,Total freshwater withdrawal,2012,68.5413333333,E
364,Total freshwater withdrawal,2017,85.128,E
365,Total freshwater withdrawal,2018,85.128,E
366,Desalinated water produced,1992,0.0048,I
367,Desalinated water produced,1997,0.0048,I
368,Desalinated water produced,2002,0.01475,I
369,Desalinated water produced,2007,0.039625,I
370,Desalinated water produced,2012,0.0645,OF
371,Desalinated water produced,2017,0.065,I
372,Desalinated water produced,2018,0.065,I
373,Direct use of treated municipal wastewater,2012,0.0,I
374,Direct use of treated municipal wastewater,2017,0.0,I
375,Direct use of treated municipal wastewater,2018,0.0,I
376,Produced municipal wastewater,2002,1.07675,I
377,Produced municipal wastewater,2007,1.0963333333,I
378,Produced municipal wastewater,2012,1.112,I
379,Produced municipal wastewater,2017,1.112,I
380,Produced municipal wastewater,2018,1.112,I
381,Collected municipal wastewater,2012,1.067,I
382,Collected municipal wastewater,2017,1.067,I
383,Collected municipal wastewater,2018,1.067,I
384,Not treated municipal wastewater,2002,0.6588,I
385,Not treated municipal wastewater,2007,0.3368,I
386,Not treated municipal wastewater,2012,0.344,I
387,Not treated municipal wastewater,2017,0.344,I
388,Not treated municipal wastewater,2018,0.344,I
389,Treated municipal wastewater,2002,0.38331,I
390,Treated municipal wastewater,2007,0.66716,I
391,Treated municipal wastewater,2012,0.768,I
392,Treated municipal wastewater,2017,0.768,I
393,Treated municipal wastewater,2018,0.768,I
395,Treated municipal wastewater discharged (secondary water),2012,0.7807,I
396,Treated municipal wastewater discharged (secondary water),2017,0.7807,I
397,Treated municipal wastewater discharged (secondary water),2018,0.7807,I
398,Not treated municipal wastewater discharged (secondary water),2012,0.2089,I
399,Not treated municipal wastewater discharged (secondary water),2017,0.2089,I
400,Not treated municipal wastewater discharged (secondary water),2018,0.2089,I
413,SDG 6.4.2. Water Stress,1992,5.1516659894,E
414,SDG 6.4.2. Water Stress,1997,6.5248737447,E
415,SDG 6.4.2. Water Stress,2002,7.89555458,E
416,SDG 6.4.2. Water Stress,2007,10.3862476861,E
417,SDG 6.4.2. Water Stress,2012,17.4068806718,E
418,SDG 6.4.2. Water Stress,2017,21.6192604632,E
419,SDG 6.4.2. Water Stress,2018,21.6192604632,E
420,SDG 6.4.1. Water Use Efficiency,2016,2.2412043152,I
421,SDG 6.4.1. Industrial Water Use Efficiency,1977,12.552550179,E
422,SDG 6.4.1. Industrial Water Use Efficiency,1982,10.529046247,E
423,SDG 6.4.1. Industrial Water Use Efficiency,1987,10.4215718945,E
424,SDG 6.4.1. Industrial Water Use Efficiency,1992,12.296541759,E
425,SDG 6.4.1. Industrial Water Use Efficiency,1997,17.5797288483,E
426,SDG 6.4.1. Industrial Water Use Efficiency,2002,14.271383584,E
427,SDG 6.4.1. Industrial Water Use Efficiency,2004,13.5063086958,E
428,SDG 6.4.1. Industrial Water Use Efficiency,2016,38.5965320024,E
429,SDG 6.4.1. Services Water Use Efficiency,1977,22.4466451187,E
430,SDG 6.4.1. Services Water Use Efficiency,1982,32.3470327594,E
431,SDG 6.4.1. Services Water Use Efficiency,1987,28.3289195525,E
432,SDG 6.4.1. Services Water Use Efficiency,1992,39.4749559963,E
433,SDG 6.4.1. Services Water Use Efficiency,1997,61.5871996457,E
434,SDG 6.4.1. Services Water Use Efficiency,2002,67.7191702156,E
435,SDG 6.4.1. Services Water Use Efficiency,2004,71.6100928848,E
436,SDG 6.4.1. Services Water Use Efficiency,2016,118.5436929438,E
437,Area salinized by irrigation,1997,33.6,I
438,Area salinized by irrigation,2002,33.6,I
439,Area salinized by irrigation,2007,33.6,I
440,Area salinized by irrigation,2012,33.6,I
441,Area salinized by irrigation,2017,33.6,I
442,Area salinized by irrigation,2018,33.6,I
443,Harvested irrigated temporary crop area: Wheat,1997,105.9309090909,I
444,Harvested irrigated temporary crop area: Wheat,2002,77.0854545455,I
445,Harvested irrigated temporary crop area: Wheat,2007,48.24,OF
446,Harvested irrigated temporary crop area: Wheat,2012,48.24,I
447,Harvested irrigated temporary crop area: Wheat,2017,48.24,I
448,Harvested irrigated temporary crop area: Wheat,2018,48.24,I
449,Harvested irrigated temporary crop area: Rice,1997,25.3709090909,I
450,Harvested irrigated temporary crop area: Rice,2002,23.4754545455,I
451,Harvested irrigated temporary crop area: Rice,2007,21.58,OF
452,Harvested irrigated temporary crop area: Rice,2012,21.58,I
453,Harvested irrigated temporary crop area: Rice,2017,21.58,I
454,Harvested irrigated temporary crop area: Rice,2018,21.58,I
455,Harvested irrigated temporary crop area: Barley,2007,1.716,OF
456,Harvested irrigated temporary crop area: Barley,2012,1.716,I
457,Harvested irrigated temporary crop area: Barley,2017,1.716,I
458,Harvested irrigated temporary crop area: Barley,2018,1.716,I
459,Harvested irrigated temporary crop area: Maize,1997,85.2545454545,I
460,Harvested irrigated temporary crop area: Maize,2002,93.1772727273,I
461,Harvested irrigated temporary crop area: Maize,2007,101.1,OF
462,Harvested irrigated temporary crop area: Maize,2012,101.1,I
463,Harvested irrigated temporary crop area: Maize,2017,101.1,I
464,Harvested irrigated temporary crop area: Maize,2018,101.1,I
465,Harvested irrigated temporary crop area: Other cereals,2007,8.429,OF
466,Harvested irrigated temporary crop area: Other cereals,2012,8.429,I
467,Harvested irrigated temporary crop area: Other cereals,2017,8.429,I
468,Harvested irrigated temporary crop area: Other cereals,2018,8.429,I
469,Harvested irrigated temporary crop area: Potatoes,1997,51.7218181818,I
470,Harvested irrigated temporary crop area: Potatoes,2002,36.7809090909,I
471,Harvested irrigated temporary crop area: Potatoes,2007,21.84,OF
472,Harvested irrigated temporary crop area: Potatoes,2012,21.84,I
473,Harvested irrigated temporary crop area: Potatoes,2017,21.84,I
474,Harvested irrigated temporary crop area: Potatoes,2018,21.84,I
475,Harvested irrigated temporary crop area: Sugar beet,1997,36.4281818182,I
476,Harvested irrigated temporary crop area: Sugar beet,2002,27.7190909091,I
477,Harvested irrigated temporary crop area: Sugar beet,2007,19.01,OF
478,Harvested irrigated temporary crop area: Sugar beet,2012,19.01,I
479,Harvested irrigated temporary crop area: Sugar beet,2017,19.01,I
480,Harvested irrigated temporary crop area: Sugar beet,2018,19.01,I
481,Harvested irrigated temporary crop area: Leguminous crops,2007,9.93,OF
482,Harvested irrigated temporary crop area: Leguminous crops,2012,9.93,I
483,Harvested irrigated temporary crop area: Leguminous crops,2017,9.93,I
484,Harvested irrigated temporary crop area: Leguminous crops,2018,9.93,I
485,Harvested irrigated temporary crop area: Vegetables,1997,111.1363636364,I
486,Harvested irrigated temporary crop area: Vegetables,2002,107.3181818182,I
487,Harvested irrigated temporary crop area: Vegetables,2007,103.5,OF
488,Harvested irrigated temporary crop area: Vegetables,2012,103.5,I
489,Harvested irrigated temporary crop area: Vegetables,2017,103.5,I
490,Harvested irrigated temporary crop area: Vegetables,2018,103.5,I
491,Harvested irrigated permanent crop area: Citrus,2007,16.59,OF
492,Harvested irrigated permanent crop area: Citrus,2012,16.59,I
493,Harvested irrigated permanent crop area: Citrus,2017,16.59,I
494,Harvested irrigated permanent crop area: Citrus,2018,16.59,I
495,Harvested irrigated temporary crop area: Tobacco,2007,2.737,OF
496,Harvested irrigated temporary crop area: Tobacco,2012,2.737,I
497,Harvested irrigated temporary crop area: Tobacco,2017,2.737,I
498,Harvested irrigated temporary crop area: Tobacco,2018,2.737,I
499,Harvested irrigated temporary crop area: Fodder,1997,101.6818181818,I
500,Harvested irrigated temporary crop area: Fodder,2002,192.3409090909,I
501,Harvested irrigated temporary crop area: Fodder,2006,264.8681818182,I
502,Harvested irrigated temporary crop area: Fodder,2012,283.0,I
503,Harvested irrigated temporary crop area: Fodder,2017,283.0,I
504,Harvested irrigated temporary crop area: Fodder,2018,283.0,I
506,Harvested irrigated temporary crop area: Other crops,2012,5.741,I
507,Harvested irrigated temporary crop area: Other crops,2017,5.741,I
508,Harvested irrigated temporary crop area: Other crops,2018,5.741,I
509,Harvested irrigated permanent crop area: Other crops,1997,284.1,I
510,Harvested irrigated permanent crop area: Other crops,2002,284.1,I
511,Harvested irrigated permanent crop area: Other crops,2007,284.1,I
512,Harvested irrigated permanent crop area: Other crops,2012,284.1,I
513,Harvested irrigated permanent crop area: Other crops,2017,284.1,I
514,Harvested irrigated permanent crop area: Other crops,2018,284.1,I
