Central African Republic,Variable Name,Year,Value,Symbol
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.6575,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.6549,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.6549,I
69,Gross Domestic Product (GDP),1962,124482774.0,X
70,Gross Domestic Product (GDP),1967,163820514.0,X
71,Gross Domestic Product (GDP),1972,336104320.0,X
72,Gross Domestic Product (GDP),1977,740303346.0,X
73,Gross Domestic Product (GDP),1982,977084224.0,X
74,Gross Domestic Product (GDP),1987,1256585294.0,X
75,Gross Domestic Product (GDP),1992,1477274511.0,X
76,Gross Domestic Product (GDP),1997,981149098.0,X
77,Gross Domestic Product (GDP),2002,1037278713.0,X
78,Gross Domestic Product (GDP),2007,1754928634.0,X
79,Gross Domestic Product (GDP),2008,2033153896.0,X
80,GDP per capita,1972,176.867502,X
81,GDP per capita,1977,350.778692,X
82,GDP per capita,1982,403.946771,X
83,GDP per capita,1987,456.070422,X
84,GDP per capita,1992,477.185597,X
85,GDP per capita,1997,278.948792,X
86,GDP per capita,2002,265.450795,X
87,GDP per capita,2007,410.432816,X
88,GDP per capita,2012,498.116431,X
89,GDP per capita,2017,428.701433,X
90,GDP per capita,2018,473.499434,X
91,"Agriculture, value added (% GDP)",1967,39.52,X
92,"Agriculture, value added (% GDP)",1972,30.44479,X
93,"Agriculture, value added (% GDP)",1977,33.346423,X
94,"Agriculture, value added (% GDP)",1982,36.084971,X
95,"Agriculture, value added (% GDP)",1987,36.757741,X
96,"Agriculture, value added (% GDP)",1992,36.503154,X
97,"Agriculture, value added (% GDP)",1997,42.722225,X
98,"Agriculture, value added (% GDP)",2002,42.293309,X
99,"Agriculture, value added (% GDP)",2007,40.754436,X
100,"Agriculture, value added (% GDP)",2008,40.357645,X
101,"Agriculture, value added to GDP",1967,60568884.0,X
102,"Agriculture, value added to GDP",1969,63471157.0,X
103,Number of people undernourished (3-year average),1992,1400.0,X
104,Number of people undernourished (3-year average),1997,1700.0,X
105,Number of people undernourished (3-year average),2001,1600.0,X
106,Number of people undernourished (3-year average),2007,1600.0,X
107,Number of people undernourished (3-year average),2008,1500.0,X
108,Prevalence of undernourishment (3-year average),1992,47.3,X
109,Prevalence of undernourishment (3-year average),1997,49.4,X
110,Prevalence of undernourishment (3-year average),2001,42.5,X
111,Total population with access to safe drinking-water (JMP),1992,58.8,X
112,Total population with access to safe drinking-water (JMP),1997,61.1,X
113,Total population with access to safe drinking-water (JMP),2002,63.4,X
114,Total population with access to safe drinking-water (JMP),2007,65.7,X
115,Total population with access to safe drinking-water (JMP),2012,68.2,X
116,Total population with access to safe drinking-water (JMP),2017,68.5,I
117,Total population with access to safe drinking-water (JMP),2018,68.5,I
118,Long-term average annual precipitation in volume,1962,836.66214,E
119,Long-term average annual precipitation in volume,1967,836.66214,E
120,Long-term average annual precipitation in volume,1972,836.66214,E
121,Long-term average annual precipitation in volume,1977,836.66214,E
122,Long-term average annual precipitation in volume,1982,836.66214,E
123,Long-term average annual precipitation in volume,1987,836.66214,E
124,Long-term average annual precipitation in volume,1992,836.66214,E
125,Long-term average annual precipitation in volume,1997,836.66214,E
126,Long-term average annual precipitation in volume,2002,836.66214,E
127,Long-term average annual precipitation in volume,2007,836.66214,E
128,Long-term average annual precipitation in volume,2012,836.66214,E
129,Long-term average annual precipitation in volume,2017,836.66214,E
130,Long-term average annual precipitation in volume,2018,836.66214,E
131,Interannual variability (WRI),2017,1.2,I
132,Interannual variability (WRI),2018,1.2,I
133,Seasonal variability (WRI),2017,3.6,I
134,Seasonal variability (WRI),2018,3.6,I
135,Flood occurrence (WRI),2017,2.3,I
136,Flood occurrence (WRI),2018,2.3,I
137,Surface water: entering the country (total),1962,0.0,OF
138,Surface water: entering the country (total),1967,0.0,OF
139,Surface water: entering the country (total),1972,0.0,OF
140,Surface water: entering the country (total),1977,0.0,OF
141,Surface water: entering the country (total),1982,0.0,OF
142,Surface water: entering the country (total),1987,0.0,OF
143,Surface water: entering the country (total),1992,0.0,OF
144,Surface water: entering the country (total),1997,0.0,OF
145,Surface water: entering the country (total),2002,0.0,OF
146,Surface water: entering the country (total),2007,0.0,OF
147,Surface water: entering the country (total),2012,0.0,OF
148,Surface water: entering the country (total),2017,0.0,OF
149,Surface water: leaving the country to other countries (total),1961,141.0,OF
150,Surface water: leaving the country to other countries (total),1966,141.0,OF
151,Surface water: leaving the country to other countries (total),1971,141.0,OF
152,Surface water: leaving the country to other countries (total),1976,141.0,OF
153,Surface water: leaving the country to other countries (total),1981,141.0,OF
154,Surface water: leaving the country to other countries (total),1986,141.0,OF
155,Surface water: leaving the country to other countries (total),1991,141.0,OF
156,Surface water: leaving the country to other countries (total),1996,141.0,OF
157,Surface water: leaving the country to other countries (total),2001,141.0,OF
158,Surface water: leaving the country to other countries (total),2006,141.0,OF
160,Surface water: leaving the country to other countries (total),2017,141.0,OF
161,Groundwater: entering the country (total),1962,0.0,E
162,Groundwater: entering the country (total),1967,0.0,E
163,Groundwater: entering the country (total),1972,0.0,E
164,Groundwater: entering the country (total),1977,0.0,E
165,Groundwater: entering the country (total),1982,0.0,E
166,Groundwater: entering the country (total),1987,0.0,E
167,Groundwater: entering the country (total),1992,0.0,E
168,Groundwater: entering the country (total),1997,0.0,E
169,Groundwater: entering the country (total),2002,0.0,E
170,Groundwater: entering the country (total),2007,0.0,E
171,Groundwater: entering the country (total),2012,0.0,E
172,Groundwater: entering the country (total),2017,0.0,E
173,Groundwater: leaving the country to other countries (total),1962,0.0,OF
174,Groundwater: leaving the country to other countries (total),1967,0.0,OF
175,Groundwater: leaving the country to other countries (total),1972,0.0,OF
176,Groundwater: leaving the country to other countries (total),1977,0.0,OF
177,Groundwater: leaving the country to other countries (total),1982,0.0,OF
178,Groundwater: leaving the country to other countries (total),1987,0.0,OF
179,Groundwater: leaving the country to other countries (total),1992,0.0,OF
180,Groundwater: leaving the country to other countries (total),1997,0.0,OF
181,Groundwater: leaving the country to other countries (total),2002,0.0,OF
182,Groundwater: leaving the country to other countries (total),2007,0.0,OF
183,Groundwater: leaving the country to other countries (total),2012,0.0,OF
184,Groundwater: leaving the country to other countries (total),2017,0.0,OF
185,Dependency ratio,1962,0.0,E
186,Dependency ratio,1967,0.0,E
187,Dependency ratio,1972,0.0,E
188,Dependency ratio,1977,0.0,E
189,Dependency ratio,1982,0.0,E
190,Dependency ratio,1987,0.0,E
191,Dependency ratio,1992,0.0,E
192,Dependency ratio,1997,0.0,E
193,Dependency ratio,2002,0.0,E
194,Dependency ratio,2007,0.0,E
195,Dependency ratio,2012,0.0,E
196,Dependency ratio,2017,0.0,E
197,Dependency ratio,2018,0.0,E
198,Total internal renewable water resources (IRWR),1962,141.0,E
199,Total internal renewable water resources (IRWR),1967,141.0,E
200,Total internal renewable water resources (IRWR),1972,141.0,E
201,Total internal renewable water resources (IRWR),1977,141.0,E
202,Total internal renewable water resources (IRWR),1982,141.0,E
203,Total internal renewable water resources (IRWR),1987,141.0,E
204,Total internal renewable water resources (IRWR),1992,141.0,E
205,Total internal renewable water resources (IRWR),1997,141.0,E
206,Total internal renewable water resources (IRWR),2002,141.0,E
207,Total internal renewable water resources (IRWR),2007,141.0,E
208,Total internal renewable water resources (IRWR),2012,141.0,E
209,Total internal renewable water resources (IRWR),2017,141.0,E
210,Total internal renewable water resources (IRWR),2018,141.0,E
211,Total internal renewable water resources per capita,1962,90855.7841627414,E
212,Total internal renewable water resources per capita,1967,82538.0992353811,E
213,Total internal renewable water resources per capita,1972,75490.6086470477,E
214,Total internal renewable water resources per capita,1977,69120.3915449584,E
215,Total internal renewable water resources per capita,1982,60376.8284865584,E
216,Total internal renewable water resources per capita,1987,53271.0704084871,E
217,Total internal renewable water resources per capita,1992,47647.4333240066,E
218,Total internal renewable water resources per capita,1997,41563.0538055839,E
219,Total internal renewable water resources per capita,2002,37084.4958402242,E
220,Total internal renewable water resources per capita,2007,33587.3425742197,E
221,Total internal renewable water resources per capita,2012,31782.4117485826,E
222,Total internal renewable water resources per capita,2017,30678.6976479448,E
223,Total internal renewable water resources per capita,2018,30216.2195523371,E
224,Total renewable surface water,1962,141.0,E
225,Total renewable surface water,1967,141.0,E
226,Total renewable surface water,1972,141.0,E
227,Total renewable surface water,1977,141.0,E
228,Total renewable surface water,1982,141.0,E
229,Total renewable surface water,1987,141.0,E
230,Total renewable surface water,1992,141.0,E
231,Total renewable surface water,1997,141.0,E
232,Total renewable surface water,2002,141.0,E
233,Total renewable surface water,2007,141.0,E
234,Total renewable surface water,2012,141.0,E
235,Total renewable surface water,2017,141.0,E
236,Total renewable surface water,2018,141.0,E
237,Total renewable groundwater,1962,56.0,E
238,Total renewable groundwater,1967,56.0,E
239,Total renewable groundwater,1972,56.0,E
240,Total renewable groundwater,1977,56.0,E
241,Total renewable groundwater,1982,56.0,E
242,Total renewable groundwater,1987,56.0,E
243,Total renewable groundwater,1992,56.0,E
244,Total renewable groundwater,1997,56.0,E
245,Total renewable groundwater,2002,56.0,E
246,Total renewable groundwater,2007,56.0,E
247,Total renewable groundwater,2012,56.0,E
248,Total renewable groundwater,2017,56.0,E
249,Total renewable groundwater,2018,56.0,E
250,Water resources: total external renewable,1962,0.0,E
251,Water resources: total external renewable,1967,0.0,E
252,Water resources: total external renewable,1972,0.0,E
253,Water resources: total external renewable,1977,0.0,E
254,Water resources: total external renewable,1982,0.0,E
255,Water resources: total external renewable,1987,0.0,E
256,Water resources: total external renewable,1992,0.0,E
257,Water resources: total external renewable,1997,0.0,E
258,Water resources: total external renewable,2002,0.0,E
259,Water resources: total external renewable,2007,0.0,E
260,Water resources: total external renewable,2012,0.0,E
261,Water resources: total external renewable,2017,0.0,E
262,Water resources: total external renewable,2018,0.0,E
263,Total renewable water resources,1962,141.0,E
264,Total renewable water resources,1967,141.0,E
265,Total renewable water resources,1972,141.0,E
266,Total renewable water resources,1977,141.0,E
267,Total renewable water resources,1982,141.0,E
268,Total renewable water resources,1987,141.0,E
269,Total renewable water resources,1992,141.0,E
270,Total renewable water resources,1997,141.0,E
271,Total renewable water resources,2002,141.0,E
272,Total renewable water resources,2007,141.0,E
273,Total renewable water resources,2012,141.0,E
274,Total renewable water resources,2017,141.0,E
275,Total renewable water resources,2018,141.0,E
276,Total renewable water resources per capita,1962,90855.7841627414,E
277,Total renewable water resources per capita,1967,82538.0992353811,E
278,Total renewable water resources per capita,1972,75490.6086470477,E
279,Total renewable water resources per capita,1977,69120.3915449584,E
280,Total renewable water resources per capita,1982,60376.8284865584,E
281,Total renewable water resources per capita,1987,53271.0704084871,E
282,Total renewable water resources per capita,1992,47647.4333240066,E
283,Total renewable water resources per capita,1997,41563.0538055839,E
284,Total renewable water resources per capita,2002,37084.4958402242,E
285,Total renewable water resources per capita,2007,33587.3425742197,E
286,Total renewable water resources per capita,2012,31782.4117485826,E
287,Total renewable water resources per capita,2017,30678.6976479448,E
288,Total renewable water resources per capita,2018,30216.2195523371,E
289,Total agricultural water managed area,1987,0.635,E
290,Total agricultural water managed area,1992,0.635,I
291,Total agricultural water managed area,1997,0.635,I
292,Total agricultural water managed area,2002,0.635,I
293,Total agricultural water managed area,2007,0.635,I
294,Total agricultural water managed area,2012,0.635,I
295,Total agricultural water managed area,2017,0.635,I
296,Total agricultural water managed area,2018,0.635,I
297,Area equipped for irrigation: total,1987,0.135,E
298,Area equipped for irrigation: total,1992,0.135,I
299,Area equipped for irrigation: total,1997,0.135,I
300,Area equipped for irrigation: total,2002,0.135,I
301,Area equipped for irrigation: total,2007,0.135,I
302,Area equipped for irrigation: total,2012,0.135,I
303,Area equipped for irrigation: total,2017,0.135,I
304,Area equipped for irrigation: total,2018,0.135,I
305,% of agricultural GVA produced by irrigated agriculture,1987,0.0079807687,E
306,% of agricultural GVA produced by irrigated agriculture,1992,0.0079807687,I
307,% of agricultural GVA produced by irrigated agriculture,1997,0.0079807687,I
308,% of agricultural GVA produced by irrigated agriculture,2002,0.0079807687,I
309,% of agricultural GVA produced by irrigated agriculture,2007,0.0079807687,I
310,% of agricultural GVA produced by irrigated agriculture,2012,0.0085113851,E
311,% of agricultural GVA produced by irrigated agriculture,2017,0.0085113851,E
312,% of agricultural GVA produced by irrigated agriculture,2018,0.0085113851,E
314,Ratio between rainfed and irrigated yields,1966,1.778,I
315,Ratio between rainfed and irrigated yields,1971,1.778,I
316,Ratio between rainfed and irrigated yields,1976,1.778,I
317,Ratio between rainfed and irrigated yields,1981,1.778,I
318,Ratio between rainfed and irrigated yields,1986,1.778,I
319,Ratio between rainfed and irrigated yields,1991,1.778,I
320,Ratio between rainfed and irrigated yields,1996,1.778,I
321,Ratio between rainfed and irrigated yields,2001,1.778,I
322,Ratio between rainfed and irrigated yields,2007,1.778,I
323,Ratio between rainfed and irrigated yields,2011,1.778,I
324,Ratio between rainfed and irrigated yields,2017,1.778,I
325,Ratio between rainfed and irrigated yields,2018,1.778,I
326,Agricultural water withdrawal as % of total renewable water resources,1987,0.0002836879,E
327,Agricultural water withdrawal as % of total renewable water resources,1992,0.0002836879,I
328,Agricultural water withdrawal as % of total renewable water resources,1997,0.0002836879,I
329,Agricultural water withdrawal as % of total renewable water resources,2002,0.0002836879,I
330,Agricultural water withdrawal as % of total renewable water resources,2007,0.0002836879,I
331,Agricultural water withdrawal as % of total renewable water resources,2012,0.0002836879,I
332,Agricultural water withdrawal as % of total renewable water resources,2017,0.0002836879,I
333,Agricultural water withdrawal as % of total renewable water resources,2018,0.0002836879,I
335,Agricultural water withdrawal,1992,0.0004,I
336,Agricultural water withdrawal,1997,0.0004,I
337,Agricultural water withdrawal,2002,0.0004,I
338,Agricultural water withdrawal,2007,0.0004,I
339,Agricultural water withdrawal,2012,0.0004,I
340,Agricultural water withdrawal,2017,0.0004,I
341,Agricultural water withdrawal,2018,0.0004,I
342,Irrigation water requirement,1987,0.0001,E
343,Irrigation water requirement,1992,0.0001,I
344,Irrigation water requirement,1997,0.0001,I
345,Irrigation water requirement,2002,0.0001,I
346,Irrigation water requirement,2007,0.0001,I
347,Irrigation water requirement,2012,0.0001,I
348,Irrigation water requirement,2017,0.0001,I
349,Irrigation water requirement,2018,0.0001,I
350,Irrigation water withdrawal,1987,0.0004,E
351,Irrigation water withdrawal,1992,0.0004,I
352,Irrigation water withdrawal,1997,0.0004,I
353,Irrigation water withdrawal,2002,0.0004,I
354,Irrigation water withdrawal,2007,0.0004,I
355,Irrigation water withdrawal,2012,0.0004,I
356,Irrigation water withdrawal,2017,0.0004,I
357,Irrigation water withdrawal,2018,0.0004,I
358,Municipal water withdrawal,1987,0.015,OF
359,Municipal water withdrawal,1992,0.0303076923,I
360,Municipal water withdrawal,1997,0.0456153846,I
361,Municipal water withdrawal,2002,0.05692,I
362,Municipal water withdrawal,2007,0.0601,I
363,Municipal water withdrawal,2012,0.0601,I
364,Municipal water withdrawal,2017,0.0601,I
365,Municipal water withdrawal,2018,0.0601,I
366,Industrial water withdrawal,1987,0.004,OF
367,Industrial water withdrawal,1992,0.0066923077,I
368,Industrial water withdrawal,1997,0.0093846154,I
369,Industrial water withdrawal,2002,0.0114,I
370,Industrial water withdrawal,2007,0.012,I
371,Industrial water withdrawal,2012,0.012,I
372,Industrial water withdrawal,2017,0.012,I
373,Industrial water withdrawal,2018,0.012,I
374,Total water withdrawal,1987,0.0194,E
375,Total water withdrawal,1992,0.0374,I
376,Total water withdrawal,1997,0.0554,I
377,Total water withdrawal,2002,0.06872,I
378,Total water withdrawal,2007,0.0725,I
379,Total water withdrawal,2012,0.0725,I
380,Total water withdrawal,2017,0.0725,I
381,Total water withdrawal,2018,0.0725,I
382,Total freshwater withdrawal,1987,0.0194,E
383,Total freshwater withdrawal,1992,0.0374,I
384,Total freshwater withdrawal,1997,0.0554,I
385,Total freshwater withdrawal,2002,0.06872,I
386,Total freshwater withdrawal,2007,0.0725,I
387,Total freshwater withdrawal,2012,0.0725,I
388,Total freshwater withdrawal,2017,0.0725,I
389,Total freshwater withdrawal,2018,0.0725,I
402,SDG 6.4.2. Water Stress,1987,0.0898148148,E
403,SDG 6.4.2. Water Stress,1992,0.1731481481,E
404,SDG 6.4.2. Water Stress,1997,0.2564814815,E
405,SDG 6.4.2. Water Stress,2002,0.3181481481,E
406,SDG 6.4.2. Water Stress,2007,0.3356481481,E
407,SDG 6.4.2. Water Stress,2012,0.3356481481,E
408,SDG 6.4.2. Water Stress,2017,0.3356481481,E
409,SDG 6.4.2. Water Stress,2018,0.3356481481,E
410,SDG 6.4.1. Water Use Efficiency,2015,15.2400940134,E
411,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.1076929206,E
412,SDG 6.4.1. Industrial Water Use Efficiency,2015,33.9297981833,E
413,SDG 6.4.1. Services Water Use Efficiency,2015,11.6090875308,E
414,Harvested irrigated temporary crop area: Rice,1992,0.06,I
415,Harvested irrigated temporary crop area: Rice,1997,0.06,I
416,Harvested irrigated temporary crop area: Rice,2002,0.06,I
417,Harvested irrigated temporary crop area: Rice,2007,0.06,I
418,Harvested irrigated temporary crop area: Rice,2012,0.06,I
419,Harvested irrigated temporary crop area: Rice,2017,0.06,I
420,Harvested irrigated temporary crop area: Rice,2018,0.06,I
421,Harvested irrigated temporary crop area: Vegetables,1992,0.03,I
422,Harvested irrigated temporary crop area: Vegetables,1997,0.03,I
423,Harvested irrigated temporary crop area: Vegetables,2002,0.03,I
424,Harvested irrigated temporary crop area: Vegetables,2007,0.03,I
425,Harvested irrigated temporary crop area: Vegetables,2012,0.03,I
426,Harvested irrigated temporary crop area: Vegetables,2017,0.03,I
427,Harvested irrigated temporary crop area: Vegetables,2018,0.03,I
