Seychelles,Variable Name,Year,Value,Symbol
78,GDP per capita,1982,2610.70159,X
79,GDP per capita,1987,4301.857351,X
80,GDP per capita,1992,7206.080712,X
81,GDP per capita,1997,8669.422822,X
82,GDP per capita,2002,9951.197448,X
83,GDP per capita,2007,11449.411256,X
84,GDP per capita,2012,11480.700775,X
85,GDP per capita,2017,15867.054505,X
86,GDP per capita,2018,16697.897464,X
87,"Agriculture, value added (% GDP)",1972,8.198271,X
88,"Agriculture, value added (% GDP)",1977,8.248374,X
89,"Agriculture, value added (% GDP)",1982,5.167132,X
90,"Agriculture, value added (% GDP)",1987,4.761095,X
91,"Agriculture, value added (% GDP)",1992,4.690411,X
92,"Agriculture, value added (% GDP)",1997,4.733928,X
93,"Agriculture, value added (% GDP)",2002,3.806858,X
94,"Agriculture, value added (% GDP)",2007,2.746409,X
95,"Agriculture, value added (% GDP)",2012,2.044813,X
96,"Agriculture, value added (% GDP)",2014,2.369695,X
97,Total population with access to safe drinking-water (JMP),1992,95.7,X
98,Total population with access to safe drinking-water (JMP),1997,95.7,X
99,Total population with access to safe drinking-water (JMP),2002,95.7,X
100,Total population with access to safe drinking-water (JMP),2007,95.7,X
101,Total population with access to safe drinking-water (JMP),2012,95.7,X
102,Total population with access to safe drinking-water (JMP),2017,95.7,I
103,Total population with access to safe drinking-water (JMP),2018,95.7,I
104,Long-term average annual precipitation in volume,1962,1.0718,E
105,Long-term average annual precipitation in volume,1967,1.0718,E
106,Long-term average annual precipitation in volume,1972,1.0718,E
107,Long-term average annual precipitation in volume,1977,1.0718,E
108,Long-term average annual precipitation in volume,1982,1.0718,E
109,Long-term average annual precipitation in volume,1987,1.0718,E
110,Long-term average annual precipitation in volume,1992,1.0718,E
111,Long-term average annual precipitation in volume,1997,1.0718,E
112,Long-term average annual precipitation in volume,2002,1.0718,E
113,Long-term average annual precipitation in volume,2007,1.0718,E
114,Long-term average annual precipitation in volume,2012,1.0718,E
115,Long-term average annual precipitation in volume,2017,1.0718,E
116,Long-term average annual precipitation in volume,2018,1.0718,E
117,Surface water: entering the country (total),1962,0.0,OF
118,Surface water: entering the country (total),1967,0.0,OF
119,Surface water: entering the country (total),1972,0.0,OF
120,Surface water: entering the country (total),1977,0.0,OF
121,Surface water: entering the country (total),1982,0.0,OF
122,Surface water: entering the country (total),1987,0.0,OF
123,Surface water: entering the country (total),1992,0.0,OF
124,Surface water: entering the country (total),1997,0.0,OF
125,Surface water: entering the country (total),2002,0.0,OF
126,Surface water: entering the country (total),2007,0.0,OF
127,Surface water: entering the country (total),2012,0.0,OF
128,Surface water: entering the country (total),2017,0.0,OF
129,Surface water: leaving the country to other countries (total),1962,0.0,OF
130,Surface water: leaving the country to other countries (total),1967,0.0,OF
131,Surface water: leaving the country to other countries (total),1972,0.0,OF
132,Surface water: leaving the country to other countries (total),1977,0.0,OF
133,Surface water: leaving the country to other countries (total),1982,0.0,OF
134,Surface water: leaving the country to other countries (total),1987,0.0,OF
135,Surface water: leaving the country to other countries (total),1992,0.0,OF
136,Surface water: leaving the country to other countries (total),1997,0.0,OF
137,Surface water: leaving the country to other countries (total),2002,0.0,OF
138,Surface water: leaving the country to other countries (total),2007,0.0,OF
139,Surface water: leaving the country to other countries (total),2012,0.0,OF
140,Surface water: leaving the country to other countries (total),2017,0.0,OF
141,Groundwater: entering the country (total),1962,0.0,OF
142,Groundwater: entering the country (total),1967,0.0,OF
143,Groundwater: entering the country (total),1972,0.0,OF
144,Groundwater: entering the country (total),1977,0.0,OF
145,Groundwater: entering the country (total),1982,0.0,OF
146,Groundwater: entering the country (total),1987,0.0,OF
147,Groundwater: entering the country (total),1992,0.0,OF
148,Groundwater: entering the country (total),1997,0.0,OF
149,Groundwater: entering the country (total),2002,0.0,OF
150,Groundwater: entering the country (total),2007,0.0,OF
151,Groundwater: entering the country (total),2012,0.0,OF
152,Groundwater: entering the country (total),2017,0.0,OF
153,Groundwater: leaving the country to other countries (total),1962,0.0,OF
154,Groundwater: leaving the country to other countries (total),1967,0.0,OF
155,Groundwater: leaving the country to other countries (total),1972,0.0,OF
156,Groundwater: leaving the country to other countries (total),1977,0.0,OF
157,Groundwater: leaving the country to other countries (total),1982,0.0,OF
158,Groundwater: leaving the country to other countries (total),1987,0.0,OF
159,Groundwater: leaving the country to other countries (total),1992,0.0,OF
160,Groundwater: leaving the country to other countries (total),1997,0.0,OF
161,Groundwater: leaving the country to other countries (total),2002,0.0,OF
162,Groundwater: leaving the country to other countries (total),2007,0.0,OF
163,Groundwater: leaving the country to other countries (total),2012,0.0,OF
164,Groundwater: leaving the country to other countries (total),2017,0.0,OF
165,Dependency ratio,1962,0.0,OF
166,Dependency ratio,1967,0.0,OF
167,Dependency ratio,1972,0.0,OF
168,Dependency ratio,1977,0.0,OF
169,Dependency ratio,1982,0.0,OF
170,Dependency ratio,1987,0.0,OF
171,Dependency ratio,1992,0.0,OF
172,Dependency ratio,1997,0.0,OF
173,Dependency ratio,2002,0.0,OF
174,Dependency ratio,2007,0.0,OF
175,Dependency ratio,2012,0.0,OF
176,Dependency ratio,2017,0.0,OF
177,Total renewable surface water,1962,0.0,E
178,Total renewable surface water,1967,0.0,E
179,Total renewable surface water,1972,0.0,E
180,Total renewable surface water,1977,0.0,E
181,Total renewable surface water,1982,0.0,E
182,Total renewable surface water,1987,0.0,E
183,Total renewable surface water,1992,0.0,E
184,Total renewable surface water,1997,0.0,E
185,Total renewable surface water,2002,0.0,E
186,Total renewable surface water,2007,0.0,E
187,Total renewable surface water,2012,0.0,E
188,Total renewable surface water,2017,0.0,E
189,Total renewable surface water,2018,0.0,E
190,Total renewable groundwater,1962,0.0,E
191,Total renewable groundwater,1967,0.0,E
192,Total renewable groundwater,1972,0.0,E
193,Total renewable groundwater,1977,0.0,E
194,Total renewable groundwater,1982,0.0,E
195,Total renewable groundwater,1987,0.0,E
196,Total renewable groundwater,1992,0.0,E
197,Total renewable groundwater,1997,0.0,E
198,Total renewable groundwater,2002,0.0,E
199,Total renewable groundwater,2007,0.0,E
200,Total renewable groundwater,2012,0.0,E
201,Total renewable groundwater,2017,0.0,E
202,Total renewable groundwater,2018,0.0,E
203,Water resources: total external renewable,1962,0.0,E
204,Water resources: total external renewable,1967,0.0,E
205,Water resources: total external renewable,1972,0.0,E
206,Water resources: total external renewable,1977,0.0,E
207,Water resources: total external renewable,1982,0.0,E
208,Water resources: total external renewable,1987,0.0,E
209,Water resources: total external renewable,1992,0.0,E
210,Water resources: total external renewable,1997,0.0,E
211,Water resources: total external renewable,2002,0.0,E
212,Water resources: total external renewable,2007,0.0,E
213,Water resources: total external renewable,2012,0.0,E
214,Water resources: total external renewable,2017,0.0,E
215,Water resources: total external renewable,2018,0.0,E
216,Total renewable water resources,1962,0.0,E
217,Total renewable water resources,1967,0.0,E
218,Total renewable water resources,1972,0.0,E
219,Total renewable water resources,1977,0.0,E
220,Total renewable water resources,1982,0.0,E
221,Total renewable water resources,1987,0.0,E
222,Total renewable water resources,1992,0.0,E
223,Total renewable water resources,1997,0.0,E
224,Total renewable water resources,2002,0.0,E
225,Total renewable water resources,2007,0.0,E
226,Total renewable water resources,2012,0.0,E
227,Total renewable water resources,2017,0.0,E
228,Total renewable water resources,2018,0.0,E
229,Total renewable water resources per capita,1962,0.0,E
230,Total renewable water resources per capita,1967,0.0,E
231,Total renewable water resources per capita,1972,0.0,E
232,Total renewable water resources per capita,1977,0.0,E
233,Total renewable water resources per capita,1982,0.0,E
234,Total renewable water resources per capita,1987,0.0,E
235,Total renewable water resources per capita,1992,0.0,E
236,Total renewable water resources per capita,1997,0.0,E
237,Total renewable water resources per capita,2002,0.0,E
238,Total renewable water resources per capita,2007,0.0,E
239,Total renewable water resources per capita,2012,0.0,E
240,Total renewable water resources per capita,2017,0.0,E
241,Total renewable water resources per capita,2018,0.0,E
242,Total agricultural water managed area,2007,0.26,I
243,Total agricultural water managed area,2012,0.26,I
244,Total agricultural water managed area,2017,0.26,I
245,Total agricultural water managed area,2018,0.26,I
246,Area equipped for irrigation: total,2007,0.26,I
247,Area equipped for irrigation: total,2012,0.26,I
248,Area equipped for irrigation: total,2017,0.26,I
249,Area equipped for irrigation: total,2018,0.26,I
250,% of agricultural GVA produced by irrigated agriculture,2007,12.5468768902,E
251,% of agricultural GVA produced by irrigated agriculture,2012,23.7877716405,E
252,% of agricultural GVA produced by irrigated agriculture,2017,23.0979799011,E
253,% of agricultural GVA produced by irrigated agriculture,2018,23.0979799011,E
255,Ratio between rainfed and irrigated yields,1966,1.778,I
256,Ratio between rainfed and irrigated yields,1971,1.778,I
257,Ratio between rainfed and irrigated yields,1976,1.778,I
258,Ratio between rainfed and irrigated yields,1981,1.778,I
259,Ratio between rainfed and irrigated yields,1986,1.778,I
260,Ratio between rainfed and irrigated yields,1991,1.778,I
261,Ratio between rainfed and irrigated yields,1996,1.778,I
262,Ratio between rainfed and irrigated yields,2001,1.778,I
263,Ratio between rainfed and irrigated yields,2007,1.778,I
264,Ratio between rainfed and irrigated yields,2011,1.778,I
265,Ratio between rainfed and irrigated yields,2017,1.778,I
266,Ratio between rainfed and irrigated yields,2018,1.778,I
267,Agricultural water withdrawal,1992,0.0009,I
268,Agricultural water withdrawal,1997,0.0009,I
269,Agricultural water withdrawal,2002,0.0009,I
270,Agricultural water withdrawal,2007,0.0009,I
271,Agricultural water withdrawal,2012,0.0009,I
272,Agricultural water withdrawal,2017,0.0009,I
273,Agricultural water withdrawal,2018,0.0009,I
274,Irrigation water requirement,2007,0.0002,I
275,Irrigation water requirement,2012,0.0002,I
276,Irrigation water requirement,2017,0.0002,I
277,Irrigation water requirement,2018,0.0002,I
278,Municipal water withdrawal,1992,0.0101454545,I
279,Municipal water withdrawal,1997,0.0105545455,I
280,Municipal water withdrawal,2002,0.0089333333,I
281,Municipal water withdrawal,2007,0.009,I
282,Municipal water withdrawal,2012,0.009,I
283,Municipal water withdrawal,2017,0.009,I
284,Municipal water withdrawal,2018,0.009,I
285,Industrial water withdrawal,1992,0.0011272727,I
286,Industrial water withdrawal,1997,0.0011727273,I
287,Industrial water withdrawal,2002,0.0026666667,I
288,Industrial water withdrawal,2007,0.0038,I
289,Industrial water withdrawal,2012,0.0038,I
290,Industrial water withdrawal,2017,0.0038,I
291,Industrial water withdrawal,2018,0.0038,I
292,Total water withdrawal,1992,0.0119857143,I
293,Total water withdrawal,1997,0.0126272727,E
294,Total water withdrawal,2002,0.0122714286,I
295,Total water withdrawal,2007,0.0137,E
296,Total water withdrawal,2012,0.0137,E
297,Total water withdrawal,2017,0.0137,E
298,Total water withdrawal,2018,0.0137,E
299,Fresh surface water withdrawal,1992,0.0114734166,I
300,Fresh surface water withdrawal,1997,0.0112624442,I
301,Fresh surface water withdrawal,2002,0.0110514718,I
302,Fresh surface water withdrawal,2007,0.0110092773,I
303,Fresh surface water withdrawal,2012,0.0110092773,I
304,Fresh surface water withdrawal,2017,0.0110092773,I
305,Fresh surface water withdrawal,2018,0.0110092773,I
306,Fresh groundwater withdrawal,1992,0.0002967263,I
307,Fresh groundwater withdrawal,1997,0.0002912701,I
308,Fresh groundwater withdrawal,2002,0.0002858139,I
309,Fresh groundwater withdrawal,2007,0.0002847227,I
310,Fresh groundwater withdrawal,2012,0.0002847227,I
311,Fresh groundwater withdrawal,2017,0.0002847227,I
312,Fresh groundwater withdrawal,2018,0.0002847227,I
313,Total freshwater withdrawal,1992,0.0117701429,I
314,Total freshwater withdrawal,1997,0.0115537143,I
315,Total freshwater withdrawal,2002,0.0113372857,I
316,Total freshwater withdrawal,2007,0.011294,I
317,Total freshwater withdrawal,2012,0.011294,I
318,Total freshwater withdrawal,2017,0.011294,I
319,Total freshwater withdrawal,2018,0.011294,I
320,Desalinated water produced,2007,0.001,I
321,Desalinated water produced,2012,0.001,I
322,Desalinated water produced,2017,0.001,I
323,Desalinated water produced,2018,0.001,I
324,Direct use of treated municipal wastewater,2007,6e-06,I
325,Direct use of treated municipal wastewater,2012,6e-06,I
326,Direct use of treated municipal wastewater,2017,6e-06,I
327,Direct use of treated municipal wastewater,2018,6e-06,I
328,Produced municipal wastewater,1992,0.0088,I
329,Produced municipal wastewater,1997,0.0088,I
330,Produced municipal wastewater,2002,0.0088,I
331,Produced municipal wastewater,2007,0.0088,I
332,Produced municipal wastewater,2012,0.0088,I
333,Produced municipal wastewater,2017,0.0088,I
334,Produced municipal wastewater,2018,0.0088,I
335,SDG 6.4.1. Water Use Efficiency,2015,83.3012865036,I
336,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,7.2330515554,E
337,SDG 6.4.1. Industrial Water Use Efficiency,2015,33.0641259737,E
338,SDG 6.4.1. Services Water Use Efficiency,2015,112.1193555556,E
339,Area salinized by irrigation,2007,0.0,I
340,Area salinized by irrigation,2012,0.0,I
341,Area salinized by irrigation,2017,0.0,I
342,Area salinized by irrigation,2018,0.0,I
343,Area waterlogged by irrigation,2007,0.0,I
344,Area waterlogged by irrigation,2012,0.0,I
345,Area waterlogged by irrigation,2017,0.0,I
346,Area waterlogged by irrigation,2018,0.0,I
347,Harvested irrigated temporary crop area: Leguminous crops,2007,0.0026,I
348,Harvested irrigated temporary crop area: Leguminous crops,2012,0.0026,I
349,Harvested irrigated temporary crop area: Leguminous crops,2017,0.0026,I
350,Harvested irrigated temporary crop area: Leguminous crops,2018,0.0026,I
351,Harvested irrigated temporary crop area: Vegetables,1997,0.208,I
352,Harvested irrigated temporary crop area: Vegetables,2002,0.208,I
353,Harvested irrigated temporary crop area: Vegetables,2007,0.208,I
354,Harvested irrigated temporary crop area: Vegetables,2012,0.208,I
355,Harvested irrigated temporary crop area: Vegetables,2017,0.208,I
356,Harvested irrigated temporary crop area: Vegetables,2018,0.208,I
357,Harvested irrigated temporary crop area: Flowers,2007,0.013,I
358,Harvested irrigated temporary crop area: Flowers,2012,0.013,I
359,Harvested irrigated temporary crop area: Flowers,2017,0.013,I
360,Harvested irrigated temporary crop area: Flowers,2018,0.013,I
