Bolivia (Plurinational State of),Variable Name,Year,Value,Symbol
78,Gross Domestic Product (GDP),2002,7905485150.0,X
79,Gross Domestic Product (GDP),2007,13120084507.0,X
80,Gross Domestic Product (GDP),2012,27084497483.0,X
81,Gross Domestic Product (GDP),2017,37508683068.0,X
82,Gross Domestic Product (GDP),2018,40287647931.0,X
83,GDP per capita,1972,272.169775,X
84,GDP per capita,1977,527.912968,X
85,GDP per capita,1982,676.634207,X
86,GDP per capita,1987,667.209171,X
87,GDP per capita,1992,791.376832,X
88,GDP per capita,1997,1006.972726,X
89,GDP per capita,2002,913.575635,X
90,GDP per capita,2007,1389.626895,X
91,GDP per capita,2012,2645.227747,X
92,GDP per capita,2017,3393.959523,X
93,GDP per capita,2018,3592.084429,X
94,"Agriculture, value added (% GDP)",1972,17.647059,X
95,"Agriculture, value added (% GDP)",1977,20.0,X
96,"Agriculture, value added (% GDP)",1982,19.402985,X
97,"Agriculture, value added (% GDP)",1987,16.387863,X
98,"Agriculture, value added (% GDP)",1992,14.40447,X
99,"Agriculture, value added (% GDP)",1997,14.918259,X
100,"Agriculture, value added (% GDP)",2002,12.955119,X
101,"Agriculture, value added (% GDP)",2007,10.011164,X
102,"Agriculture, value added (% GDP)",2012,9.812162,X
103,"Agriculture, value added (% GDP)",2017,11.589328,X
104,"Agriculture, value added (% GDP)",2018,11.481924,X
105,Number of people undernourished (3-year average),1992,2600.0,X
106,Number of people undernourished (3-year average),1997,2600.0,X
107,Number of people undernourished (3-year average),2002,2400.0,X
108,Number of people undernourished (3-year average),2007,2300.0,X
109,Number of people undernourished (3-year average),2009,2400.0,X
110,Prevalence of undernourishment (3-year average),1992,38.0,X
111,Prevalence of undernourishment (3-year average),1997,33.7,X
112,Prevalence of undernourishment (3-year average),2002,27.9,X
113,Prevalence of undernourishment (3-year average),2009,24.7,X
114,Total population with access to safe drinking-water (JMP),1992,70.8,X
115,Total population with access to safe drinking-water (JMP),1997,75.8,X
116,Total population with access to safe drinking-water (JMP),2002,80.3,X
117,Total population with access to safe drinking-water (JMP),2007,84.6,X
118,Total population with access to safe drinking-water (JMP),2012,88.5,X
119,Total population with access to safe drinking-water (JMP),2017,90.0,I
120,Total population with access to safe drinking-water (JMP),2018,90.0,I
121,Long-term average annual precipitation in volume,1962,1259.0,OF
122,Long-term average annual precipitation in volume,1967,1259.0,OF
123,Long-term average annual precipitation in volume,1972,1259.0,OF
124,Long-term average annual precipitation in volume,1977,1259.0,OF
125,Long-term average annual precipitation in volume,1982,1259.0,OF
126,Long-term average annual precipitation in volume,1987,1259.0,OF
127,Long-term average annual precipitation in volume,1992,1259.0,OF
128,Long-term average annual precipitation in volume,1997,1259.0,OF
129,Long-term average annual precipitation in volume,2002,1259.0,OF
130,Long-term average annual precipitation in volume,2007,1259.0,OF
131,Long-term average annual precipitation in volume,2012,1259.0,OF
132,Long-term average annual precipitation in volume,2017,1259.0,OF
133,Long-term average annual precipitation in volume,2018,1258.97268,E
134,Interannual variability (WRI),2017,2.5,I
135,Interannual variability (WRI),2018,2.5,I
136,Seasonal variability (WRI),2017,3.1,I
137,Seasonal variability (WRI),2018,3.1,I
138,Flood occurrence (WRI),2017,3.1,I
139,Flood occurrence (WRI),2018,3.1,I
151,Surface water: entering the country (total),2017,259.0,OF
163,Surface water: leaving the country to other countries (total),2017,566.0,OF
164,Groundwater: entering the country (total),1962,0.0,OF
165,Groundwater: entering the country (total),1967,0.0,OF
166,Groundwater: entering the country (total),1972,0.0,OF
167,Groundwater: entering the country (total),1977,0.0,OF
168,Groundwater: entering the country (total),1982,0.0,OF
169,Groundwater: entering the country (total),1987,0.0,OF
170,Groundwater: entering the country (total),1992,0.0,OF
171,Groundwater: entering the country (total),1997,0.0,OF
172,Groundwater: entering the country (total),2002,0.0,OF
173,Groundwater: entering the country (total),2007,0.0,OF
174,Groundwater: entering the country (total),2012,0.0,OF
175,Groundwater: entering the country (total),2017,0.0,OF
176,Groundwater: leaving the country to other countries (total),1962,26.12,OF
177,Groundwater: leaving the country to other countries (total),1967,26.12,OF
178,Groundwater: leaving the country to other countries (total),1972,26.12,OF
179,Groundwater: leaving the country to other countries (total),1977,26.12,OF
180,Groundwater: leaving the country to other countries (total),1982,26.12,OF
181,Groundwater: leaving the country to other countries (total),1987,26.12,OF
182,Groundwater: leaving the country to other countries (total),1992,26.12,OF
183,Groundwater: leaving the country to other countries (total),1997,26.12,OF
184,Groundwater: leaving the country to other countries (total),2002,26.12,OF
185,Groundwater: leaving the country to other countries (total),2007,26.12,OF
186,Groundwater: leaving the country to other countries (total),2012,26.12,OF
187,Groundwater: leaving the country to other countries (total),2017,26.12,OF
188,Dependency ratio,1962,47.1254355401,E
189,Dependency ratio,1967,47.1254355401,E
190,Dependency ratio,1972,47.1254355401,E
191,Dependency ratio,1977,47.1254355401,E
192,Dependency ratio,1982,47.1254355401,E
193,Dependency ratio,1987,47.1254355401,E
194,Dependency ratio,1992,47.1254355401,E
195,Dependency ratio,1997,47.1254355401,E
196,Dependency ratio,2002,47.1254355401,E
197,Dependency ratio,2007,47.1254355401,E
198,Dependency ratio,2012,47.1254355401,E
199,Dependency ratio,2017,47.1254355401,E
200,Dependency ratio,2018,47.1254355401,E
201,Total internal renewable water resources (IRWR),1962,303.5,E
202,Total internal renewable water resources (IRWR),1967,303.5,E
203,Total internal renewable water resources (IRWR),1972,303.5,E
204,Total internal renewable water resources (IRWR),1977,303.5,E
205,Total internal renewable water resources (IRWR),1982,303.5,E
206,Total internal renewable water resources (IRWR),1987,303.5,E
207,Total internal renewable water resources (IRWR),1992,303.5,E
208,Total internal renewable water resources (IRWR),1997,303.5,E
209,Total internal renewable water resources (IRWR),2002,303.5,E
210,Total internal renewable water resources (IRWR),2007,303.5,E
211,Total internal renewable water resources (IRWR),2012,303.5,E
212,Total internal renewable water resources (IRWR),2017,303.5,E
213,Total internal renewable water resources (IRWR),2018,303.5,E
214,Total internal renewable water resources per capita,1962,79805.6266253658,E
215,Total internal renewable water resources per capita,1967,72112.9400314968,E
216,Total internal renewable water resources per capita,1972,64817.3261945289,E
217,Total internal renewable water resources per capita,1977,58049.9945297204,E
218,Total internal renewable water resources per capita,1982,52198.4849540232,E
219,Total internal renewable water resources per capita,1987,47106.6212973769,E
220,Total internal renewable water resources per capita,1992,42382.8223189199,E
221,Total internal renewable water resources per capita,1997,38236.4227943001,E
222,Total internal renewable water resources per capita,2002,34714.2235897961,E
223,Total internal renewable water resources per capita,2007,31752.0465423277,E
224,Total internal renewable water resources per capita,2012,29245.4688313646,E
225,Total internal renewable water resources per capita,2017,27115.5125300917,E
226,Total internal renewable water resources per capita,2018,26732.6877440624,E
227,Total renewable surface water,1962,547.9,E
228,Total renewable surface water,1967,547.9,E
229,Total renewable surface water,1972,547.9,E
230,Total renewable surface water,1977,547.9,E
231,Total renewable surface water,1982,547.9,E
232,Total renewable surface water,1987,547.9,E
233,Total renewable surface water,1992,547.9,E
234,Total renewable surface water,1997,547.9,E
235,Total renewable surface water,2002,547.9,E
236,Total renewable surface water,2007,547.9,E
237,Total renewable surface water,2012,547.9,E
238,Total renewable surface water,2017,547.9,E
239,Total renewable surface water,2018,547.9,E
240,Total renewable groundwater,1962,130.0,E
241,Total renewable groundwater,1967,130.0,E
242,Total renewable groundwater,1972,130.0,E
243,Total renewable groundwater,1977,130.0,E
244,Total renewable groundwater,1982,130.0,E
245,Total renewable groundwater,1987,130.0,E
246,Total renewable groundwater,1992,130.0,E
247,Total renewable groundwater,1997,130.0,E
248,Total renewable groundwater,2002,130.0,E
249,Total renewable groundwater,2007,130.0,E
250,Total renewable groundwater,2012,130.0,E
251,Total renewable groundwater,2017,130.0,E
252,Total renewable groundwater,2018,130.0,E
253,Water resources: total external renewable,1962,270.5,E
254,Water resources: total external renewable,1967,270.5,E
255,Water resources: total external renewable,1972,270.5,E
256,Water resources: total external renewable,1977,270.5,E
257,Water resources: total external renewable,1982,270.5,E
258,Water resources: total external renewable,1987,270.5,E
259,Water resources: total external renewable,1992,270.5,E
260,Water resources: total external renewable,1997,270.5,E
261,Water resources: total external renewable,2002,270.5,E
262,Water resources: total external renewable,2007,270.5,E
263,Water resources: total external renewable,2012,270.5,E
264,Water resources: total external renewable,2017,270.5,E
265,Water resources: total external renewable,2018,270.5,E
266,Total renewable water resources,1962,574.0,E
267,Total renewable water resources,1967,574.0,E
268,Total renewable water resources,1972,574.0,E
269,Total renewable water resources,1977,574.0,E
270,Total renewable water resources,1982,574.0,E
271,Total renewable water resources,1987,574.0,E
272,Total renewable water resources,1992,574.0,E
273,Total renewable water resources,1997,574.0,E
274,Total renewable water resources,2002,574.0,E
275,Total renewable water resources,2007,574.0,E
276,Total renewable water resources,2012,574.0,E
277,Total renewable water resources,2017,574.0,E
278,Total renewable water resources,2018,574.0,E
279,Total renewable water resources per capita,1962,150933.870454563,E
280,Total renewable water resources per capita,1967,136384.934359404,E
281,Total renewable water resources per capita,1972,122586.96947499,E
282,Total renewable water resources per capita,1977,109788.128039735,E
283,Total renewable water resources per capita,1982,98721.3521041493,E
284,Total renewable water resources per capita,1987,89091.2705920736,E
285,Total renewable water resources per capita,1992,80157.2982242505,E
286,Total renewable water resources per capita,1997,72315.3432748873,E
287,Total renewable water resources per capita,2002,65653.9187497298,E
288,Total renewable water resources per capita,2007,60051.6465083891,E
289,Total renewable water resources per capita,2012,55311.0349561887,E
290,Total renewable water resources per capita,2017,51282.7156252806,E
291,Total renewable water resources per capita,2018,50558.691153515,E
292,Total agricultural water managed area,2002,238.475,I
293,Total agricultural water managed area,2007,268.1625,I
294,Total agricultural water managed area,2012,297.2,I
295,Total agricultural water managed area,2017,297.2,I
296,Total agricultural water managed area,2018,297.2,I
297,Area equipped for irrigation: total,2002,238.475,I
298,Area equipped for irrigation: total,2007,268.1625,I
299,Area equipped for irrigation: total,2012,297.2,I
300,Area equipped for irrigation: total,2017,297.2,I
301,Area equipped for irrigation: total,2018,297.2,I
302,% of agricultural GVA produced by irrigated agriculture,2012,11.4035503697,E
303,% of agricultural GVA produced by irrigated agriculture,2017,11.6932898207,E
304,% of agricultural GVA produced by irrigated agriculture,2018,11.1350355341,E
305,Ratio between rainfed and irrigated yields,1962,2.003,E
306,Ratio between rainfed and irrigated yields,1967,2.003,E
307,Ratio between rainfed and irrigated yields,1972,2.003,E
308,Ratio between rainfed and irrigated yields,1977,2.003,E
309,Ratio between rainfed and irrigated yields,1982,2.003,E
310,Ratio between rainfed and irrigated yields,1987,2.003,E
311,Ratio between rainfed and irrigated yields,1992,2.003,E
312,Ratio between rainfed and irrigated yields,1997,2.003,E
313,Ratio between rainfed and irrigated yields,2002,2.003,E
314,Ratio between rainfed and irrigated yields,2007,2.003,I
315,Ratio between rainfed and irrigated yields,2012,2.003,E
316,Ratio between rainfed and irrigated yields,2017,2.003,I
317,Ratio between rainfed and irrigated yields,2018,2.003,I
318,Agricultural water withdrawal as % of total renewable water resources,1987,0.1836236934,E
319,Agricultural water withdrawal as % of total renewable water resources,1992,0.2361062718,I
320,Agricultural water withdrawal as % of total renewable water resources,1997,0.2885888502,I
321,Agricultural water withdrawal as % of total renewable water resources,2002,0.3178861789,I
322,Agricultural water withdrawal as % of total renewable water resources,2007,0.3317266744,I
323,Agricultural water withdrawal as % of total renewable water resources,2012,0.3344947735,I
324,Agricultural water withdrawal as % of total renewable water resources,2017,0.3344947735,I
325,Agricultural water withdrawal as % of total renewable water resources,2018,0.3344947735,I
326,Agricultural water withdrawal,1987,1.054,OF
327,Agricultural water withdrawal,1992,1.35525,I
328,Agricultural water withdrawal,1997,1.6565,I
329,Agricultural water withdrawal,2002,1.8246666667,I
330,Agricultural water withdrawal,2007,1.9041111111,I
331,Agricultural water withdrawal,2012,1.92,I
332,Agricultural water withdrawal,2017,1.92,I
333,Agricultural water withdrawal,2018,1.92,I
334,Irrigation water requirement,2002,0.6884,I
335,Irrigation water requirement,2007,0.6884,I
336,Irrigation water requirement,2012,0.6884,I
337,Irrigation water requirement,2017,0.6884,I
338,Irrigation water requirement,2018,0.6884,I
339,Irrigation water withdrawal,2002,1.777,I
340,Irrigation water withdrawal,2007,1.777,I
341,Irrigation water withdrawal,2012,1.777,I
342,Irrigation water withdrawal,2017,1.777,I
343,Irrigation water withdrawal,2018,1.777,I
344,Municipal water withdrawal,1987,0.124,OF
345,Municipal water withdrawal,1992,0.1267272727,I
346,Municipal water withdrawal,1997,0.1294545455,I
347,Municipal water withdrawal,2002,0.1321818182,I
348,Municipal water withdrawal,2007,0.1349090909,I
349,Municipal water withdrawal,2012,0.136,I
350,Municipal water withdrawal,2017,0.136,I
351,Municipal water withdrawal,2018,0.136,I
352,Industrial water withdrawal,1987,0.062,OF
353,Industrial water withdrawal,1992,0.0551818182,I
354,Industrial water withdrawal,1997,0.0483636364,I
355,Industrial water withdrawal,2002,0.0415454545,I
356,Industrial water withdrawal,2007,0.0347272727,I
357,Industrial water withdrawal,2012,0.032,I
358,Industrial water withdrawal,2017,0.032,I
359,Industrial water withdrawal,2018,0.032,I
360,Total water withdrawal,1987,1.24,E
361,Total water withdrawal,1992,1.5371590909,E
362,Total water withdrawal,1997,1.8343181818,E
363,Total water withdrawal,2002,1.9983939394,E
364,Total water withdrawal,2007,2.0737474747,E
365,Total water withdrawal,2012,2.088,I
366,Total water withdrawal,2017,2.088,I
367,Total water withdrawal,2018,2.088,I
368,Total freshwater withdrawal,1987,1.24,E
369,Total freshwater withdrawal,1992,1.5371590909,E
370,Total freshwater withdrawal,1997,1.8343181818,E
371,Total freshwater withdrawal,2002,1.9983939394,E
372,Total freshwater withdrawal,2007,2.0737474747,E
373,Total freshwater withdrawal,2012,2.088,I
374,Total freshwater withdrawal,2017,2.088,I
375,Total freshwater withdrawal,2018,2.088,I
376,Produced municipal wastewater,1992,0.1358,OF
377,Produced municipal wastewater,1997,0.1353555556,I
378,Produced municipal wastewater,2002,0.1423333333,I
379,Produced municipal wastewater,2007,0.157,I
380,Produced municipal wastewater,2012,0.157,I
381,Produced municipal wastewater,2017,0.157,I
382,Produced municipal wastewater,2018,0.157,I
387,Not treated municipal wastewater,1997,0.1022,I
388,Not treated municipal wastewater,2002,0.1022,I
389,Not treated municipal wastewater,2007,0.1022,I
390,Not treated municipal wastewater,2012,0.1022,I
391,Not treated municipal wastewater,2017,0.1022,I
392,Not treated municipal wastewater,2018,0.1022,I
393,Treated municipal wastewater,1992,0.0336,OF
394,Treated municipal wastewater,1997,0.0336,I
395,Treated municipal wastewater,2002,0.0336,I
396,Treated municipal wastewater,2007,0.0336,I
397,Treated municipal wastewater,2012,0.0336,I
398,Treated municipal wastewater,2017,0.0336,I
399,Treated municipal wastewater,2018,0.0336,I
402,Direct use of not treated municipal wastewater for irrigation purposes,2012,0.0157,I
403,Direct use of not treated municipal wastewater for irrigation purposes,2017,0.0157,I
404,Direct use of not treated municipal wastewater for irrigation purposes,2018,0.0157,I
417,SDG 6.4.2. Water Stress,1987,0.6989853439,E
418,SDG 6.4.2. Water Stress,1992,0.8664932869,E
419,SDG 6.4.2. Water Stress,1997,1.0340012299,E
420,SDG 6.4.2. Water Stress,2002,1.126490383,E
421,SDG 6.4.2. Water Stress,2007,1.1689670094,E
422,SDG 6.4.2. Water Stress,2012,1.1770011274,E
423,SDG 6.4.2. Water Stress,2017,1.1770011274,E
424,SDG 6.4.2. Water Stress,2018,1.1770011274,E
425,SDG 6.4.1. Water Use Efficiency,2012,9.4878655312,I
426,SDG 6.4.1. Water Use Efficiency,2016,12.5868812598,I
427,SDG 6.4.1. Water Use Efficiency,2018,13.7110797535,I
428,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2012,0.1628459208,E
429,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2016,0.2248154567,E
430,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2018,0.2488110033,E
431,SDG 6.4.1. Industrial Water Use Efficiency,1987,50.8453812825,E
432,SDG 6.4.1. Industrial Water Use Efficiency,1992,63.9162851169,E
433,SDG 6.4.1. Industrial Water Use Efficiency,1997,78.5525688672,E
434,SDG 6.4.1. Industrial Water Use Efficiency,2002,98.0936200296,E
435,SDG 6.4.1. Industrial Water Use Efficiency,2007,166.2252733138,E
436,SDG 6.4.1. Industrial Water Use Efficiency,2012,239.5899427446,E
437,SDG 6.4.1. Industrial Water Use Efficiency,2016,248.7489630757,E
438,SDG 6.4.1. Industrial Water Use Efficiency,2018,281.7460329872,E
439,SDG 6.4.1. Services Water Use Efficiency,1987,41.0357318226,E
440,SDG 6.4.1. Services Water Use Efficiency,1992,50.703027478,E
441,SDG 6.4.1. Services Water Use Efficiency,1997,64.3496720133,E
442,SDG 6.4.1. Services Water Use Efficiency,2002,75.4581000115,E
443,SDG 6.4.1. Services Water Use Efficiency,2007,73.281064855,E
444,SDG 6.4.1. Services Water Use Efficiency,2012,86.9935359803,E
445,SDG 6.4.1. Services Water Use Efficiency,2016,131.5426145239,E
446,SDG 6.4.1. Services Water Use Efficiency,2018,140.6995907607,E
447,Area salinized by irrigation,2002,21.91,I
448,Area salinized by irrigation,2007,21.91,I
449,Area salinized by irrigation,2012,21.91,I
450,Area salinized by irrigation,2017,21.91,I
451,Area salinized by irrigation,2018,21.91,I
452,Harvested irrigated temporary crop area: Wheat,2012,11.14,I
453,Harvested irrigated temporary crop area: Wheat,2017,11.14,I
454,Harvested irrigated temporary crop area: Wheat,2018,11.14,I
455,Harvested irrigated temporary crop area: Rice,2012,35.23,I
456,Harvested irrigated temporary crop area: Rice,2017,35.23,I
457,Harvested irrigated temporary crop area: Rice,2018,35.23,I
458,Harvested irrigated temporary crop area: Barley,2012,8.648,I
459,Harvested irrigated temporary crop area: Barley,2017,8.648,I
460,Harvested irrigated temporary crop area: Barley,2018,8.648,I
461,Harvested irrigated temporary crop area: Maize,2012,57.57,I
462,Harvested irrigated temporary crop area: Maize,2017,57.57,I
463,Harvested irrigated temporary crop area: Maize,2018,57.57,I
464,Harvested irrigated temporary crop area: Sorghum,2012,1.302,I
465,Harvested irrigated temporary crop area: Sorghum,2017,1.302,I
466,Harvested irrigated temporary crop area: Sorghum,2018,1.302,I
467,Harvested irrigated temporary crop area: Other cereals,2012,6.276,I
468,Harvested irrigated temporary crop area: Other cereals,2017,6.276,I
469,Harvested irrigated temporary crop area: Other cereals,2018,6.276,I
470,Harvested irrigated temporary crop area: Potatoes,2012,57.75,I
471,Harvested irrigated temporary crop area: Potatoes,2017,57.75,I
472,Harvested irrigated temporary crop area: Potatoes,2018,57.75,I
473,Harvested irrigated temporary crop area: Sweet potatoes,2012,0.421,I
474,Harvested irrigated temporary crop area: Sweet potatoes,2017,0.421,I
475,Harvested irrigated temporary crop area: Sweet potatoes,2018,0.421,I
476,Harvested irrigated temporary crop area: Cassava,2012,0.883,I
477,Harvested irrigated temporary crop area: Cassava,2017,0.883,I
478,Harvested irrigated temporary crop area: Cassava,2018,0.883,I
479,Harvested irrigated temporary crop area: Other roots and tubers,2012,2.428,I
480,Harvested irrigated temporary crop area: Other roots and tubers,2017,2.428,I
481,Harvested irrigated temporary crop area: Other roots and tubers,2018,2.428,I
482,Harvested irrigated permanent crop area: Plantains,2012,1.245,I
483,Harvested irrigated permanent crop area: Plantains,2017,1.245,I
484,Harvested irrigated permanent crop area: Plantains,2018,1.245,I
485,Harvested irrigated temporary crop area: Sugarcane,2012,1.83,I
486,Harvested irrigated temporary crop area: Sugarcane,2017,1.83,I
487,Harvested irrigated temporary crop area: Sugarcane,2018,1.83,I
488,Harvested irrigated temporary crop area: Leguminous crops,2012,27.79,I
489,Harvested irrigated temporary crop area: Leguminous crops,2017,27.79,I
490,Harvested irrigated temporary crop area: Leguminous crops,2018,27.79,I
491,Harvested irrigated temporary crop area: Vegetables,2012,22.82,I
492,Harvested irrigated temporary crop area: Vegetables,2017,22.82,I
493,Harvested irrigated temporary crop area: Vegetables,2018,22.82,I
494,Harvested irrigated permanent crop area: Bananas,2012,0.854,I
495,Harvested irrigated permanent crop area: Bananas,2017,0.854,I
496,Harvested irrigated permanent crop area: Bananas,2018,0.854,I
497,Harvested irrigated permanent crop area: Citrus,2012,3.271,I
498,Harvested irrigated permanent crop area: Citrus,2017,3.271,I
499,Harvested irrigated permanent crop area: Citrus,2018,3.271,I
500,Harvested irrigated permanent crop area: Cocoa beans,2012,1.431,I
501,Harvested irrigated permanent crop area: Cocoa beans,2017,1.431,I
502,Harvested irrigated permanent crop area: Cocoa beans,2018,1.431,I
503,Harvested irrigated permanent crop area: Coffee,2012,2.452,I
504,Harvested irrigated permanent crop area: Coffee,2017,2.452,I
505,Harvested irrigated permanent crop area: Coffee,2018,2.452,I
506,Harvested irrigated temporary crop area: Fodder,2012,21.25,I
507,Harvested irrigated temporary crop area: Fodder,2017,21.25,I
508,Harvested irrigated temporary crop area: Fodder,2018,21.25,I
509,Harvested irrigated temporary crop area: Groundnuts,2012,1.417,I
510,Harvested irrigated temporary crop area: Groundnuts,2017,1.417,I
511,Harvested irrigated temporary crop area: Groundnuts,2018,1.417,I
512,Harvested irrigated temporary crop area: Sesame,2012,0.53,I
513,Harvested irrigated temporary crop area: Sesame,2017,0.53,I
514,Harvested irrigated temporary crop area: Sesame,2018,0.53,I
515,Harvested irrigated temporary crop area: Other crops,2012,8.285,I
516,Harvested irrigated temporary crop area: Other crops,2017,8.285,I
517,Harvested irrigated temporary crop area: Other crops,2018,8.285,I
518,Harvested irrigated permanent crop area: Other crops,2012,9.415,I
519,Harvested irrigated permanent crop area: Other crops,2017,9.415,I
520,Harvested irrigated permanent crop area: Other crops,2018,9.415,I
