Bulgaria,Variable Name,Year,Value,Symbol
127,Long-term average annual precipitation in volume,2007,67.488,E
128,Long-term average annual precipitation in volume,2012,67.488,E
129,Long-term average annual precipitation in volume,2017,67.4576,E
130,Long-term average annual precipitation in volume,2018,67.4576,E
131,Interannual variability (WRI),2017,1.2,I
132,Interannual variability (WRI),2018,1.2,I
133,Seasonal variability (WRI),2017,1.1,I
134,Seasonal variability (WRI),2018,1.1,I
135,Flood occurrence (WRI),2017,3.2,I
136,Flood occurrence (WRI),2018,3.2,I
137,Surface water: entering the country (total),1962,0.3,OF
138,Surface water: entering the country (total),1967,0.3,OF
139,Surface water: entering the country (total),1972,0.3,OF
140,Surface water: entering the country (total),1977,0.3,OF
141,Surface water: entering the country (total),1982,0.3,OF
142,Surface water: entering the country (total),1987,0.3,OF
143,Surface water: entering the country (total),1992,0.3,OF
144,Surface water: entering the country (total),1997,0.3,OF
145,Surface water: entering the country (total),2002,0.3,OF
146,Surface water: entering the country (total),2007,0.3,OF
147,Surface water: entering the country (total),2012,0.3,OF
148,Surface water: entering the country (total),2017,0.3,OF
149,Surface water: leaving the country to other countries (total),1962,16.9,OF
150,Surface water: leaving the country to other countries (total),1967,16.9,OF
151,Surface water: leaving the country to other countries (total),1972,16.9,OF
152,Surface water: leaving the country to other countries (total),1977,16.9,OF
153,Surface water: leaving the country to other countries (total),1982,16.9,OF
154,Surface water: leaving the country to other countries (total),1987,16.9,OF
155,Surface water: leaving the country to other countries (total),1992,16.9,OF
156,Surface water: leaving the country to other countries (total),1997,16.9,OF
157,Surface water: leaving the country to other countries (total),2002,16.9,OF
158,Surface water: leaving the country to other countries (total),2007,16.9,OF
159,Surface water: leaving the country to other countries (total),2012,16.9,OF
160,Surface water: leaving the country to other countries (total),2017,16.9,OF
161,Groundwater: entering the country (total),1962,0.0,E
162,Groundwater: entering the country (total),1967,0.0,E
163,Groundwater: entering the country (total),1972,0.0,E
164,Groundwater: entering the country (total),1977,0.0,E
165,Groundwater: entering the country (total),1982,0.0,E
166,Groundwater: entering the country (total),1987,0.0,E
167,Groundwater: entering the country (total),1992,0.0,E
168,Groundwater: entering the country (total),1997,0.0,E
169,Groundwater: entering the country (total),2002,0.0,E
170,Groundwater: entering the country (total),2007,0.0,E
171,Groundwater: entering the country (total),2012,0.0,E
172,Groundwater: entering the country (total),2017,0.0,E
173,Groundwater: leaving the country to other countries (total),1962,0.08,
174,Groundwater: leaving the country to other countries (total),1967,0.08,
175,Groundwater: leaving the country to other countries (total),1972,0.08,
176,Groundwater: leaving the country to other countries (total),1977,0.08,
177,Groundwater: leaving the country to other countries (total),1982,0.08,
178,Groundwater: leaving the country to other countries (total),1987,0.08,
179,Groundwater: leaving the country to other countries (total),1992,0.08,
180,Groundwater: leaving the country to other countries (total),1997,0.08,
181,Groundwater: leaving the country to other countries (total),2002,0.08,
182,Groundwater: leaving the country to other countries (total),2007,0.08,
183,Groundwater: leaving the country to other countries (total),2012,0.08,
184,Groundwater: leaving the country to other countries (total),2017,0.08,OF
185,Dependency ratio,1962,1.4084507042,E
186,Dependency ratio,1967,1.4084507042,E
187,Dependency ratio,1972,1.4084507042,E
188,Dependency ratio,1977,1.4084507042,E
189,Dependency ratio,1982,1.4084507042,E
190,Dependency ratio,1987,1.4084507042,E
191,Dependency ratio,1992,1.4084507042,E
192,Dependency ratio,1997,1.4084507042,E
193,Dependency ratio,2002,1.4084507042,E
194,Dependency ratio,2007,1.4084507042,E
195,Dependency ratio,2012,1.4084507042,E
196,Dependency ratio,2017,1.4084507042,E
197,Dependency ratio,2018,1.4084507042,E
198,Total internal renewable water resources (IRWR),1962,21.0,E
199,Total internal renewable water resources (IRWR),1967,21.0,E
200,Total internal renewable water resources (IRWR),1972,21.0,E
201,Total internal renewable water resources (IRWR),1977,21.0,E
202,Total internal renewable water resources (IRWR),1982,21.0,E
203,Total internal renewable water resources (IRWR),1987,21.0,E
204,Total internal renewable water resources (IRWR),1992,21.0,E
205,Total internal renewable water resources (IRWR),1997,21.0,E
206,Total internal renewable water resources (IRWR),2002,21.0,E
207,Total internal renewable water resources (IRWR),2007,21.0,E
208,Total internal renewable water resources (IRWR),2012,21.0,E
209,Total internal renewable water resources (IRWR),2017,21.0,E
210,Total internal renewable water resources (IRWR),2018,21.0,E
211,Total internal renewable water resources per capita,1962,2617.7494883546,E
212,Total internal renewable water resources per capita,1967,2516.9329661648,E
213,Total internal renewable water resources per capita,1972,2439.4029085117,E
214,Total internal renewable water resources per capita,1977,2385.8474257388,E
215,Total internal renewable water resources per capita,1982,2351.4375737554,E
216,Total internal renewable water resources per capita,1987,2343.6045709664,E
217,Total internal renewable water resources per capita,1992,2420.3650901753,E
218,Total internal renewable water resources per capita,1997,2557.291239183,E
219,Total internal renewable water resources per capita,2002,2669.636658637,E
220,Total internal renewable water resources per capita,2007,2771.6654488937,E
221,Total internal renewable water resources per capita,2012,2863.374885448,E
222,Total internal renewable water resources per capita,2017,2956.7286978961,E
223,Total internal renewable water resources per capita,2018,2978.044156737,E
224,Total renewable surface water,1962,20.4,E
225,Total renewable surface water,1967,20.4,E
226,Total renewable surface water,1972,20.4,E
227,Total renewable surface water,1977,20.4,E
228,Total renewable surface water,1982,20.4,E
229,Total renewable surface water,1987,20.4,E
230,Total renewable surface water,1992,20.4,E
231,Total renewable surface water,1997,20.4,E
232,Total renewable surface water,2002,20.4,E
233,Total renewable surface water,2007,20.4,E
234,Total renewable surface water,2012,20.4,E
235,Total renewable surface water,2017,20.4,E
236,Total renewable surface water,2018,20.4,E
237,Total renewable groundwater,1962,6.4,E
238,Total renewable groundwater,1967,6.4,E
239,Total renewable groundwater,1972,6.4,E
240,Total renewable groundwater,1977,6.4,E
241,Total renewable groundwater,1982,6.4,E
242,Total renewable groundwater,1987,6.4,E
243,Total renewable groundwater,1992,6.4,E
244,Total renewable groundwater,1997,6.4,E
245,Total renewable groundwater,2002,6.4,E
246,Total renewable groundwater,2007,6.4,E
247,Total renewable groundwater,2012,6.4,E
248,Total renewable groundwater,2017,6.4,E
249,Total renewable groundwater,2018,6.4,E
250,Water resources: total external renewable,1962,0.3,E
251,Water resources: total external renewable,1967,0.3,E
252,Water resources: total external renewable,1972,0.3,E
253,Water resources: total external renewable,1977,0.3,E
254,Water resources: total external renewable,1982,0.3,E
255,Water resources: total external renewable,1987,0.3,E
256,Water resources: total external renewable,1992,0.3,E
257,Water resources: total external renewable,1997,0.3,E
258,Water resources: total external renewable,2002,0.3,E
259,Water resources: total external renewable,2007,0.3,E
260,Water resources: total external renewable,2012,0.3,E
261,Water resources: total external renewable,2017,0.3,E
262,Water resources: total external renewable,2018,0.3,E
263,Total renewable water resources,1962,21.3,E
264,Total renewable water resources,1967,21.3,E
265,Total renewable water resources,1972,21.3,E
266,Total renewable water resources,1977,21.3,E
267,Total renewable water resources,1982,21.3,E
268,Total renewable water resources,1987,21.3,E
269,Total renewable water resources,1992,21.3,E
270,Total renewable water resources,1997,21.3,E
271,Total renewable water resources,2002,21.3,E
272,Total renewable water resources,2007,21.3,E
273,Total renewable water resources,2012,21.3,E
274,Total renewable water resources,2017,21.3,E
275,Total renewable water resources,2018,21.3,E
276,Total renewable water resources per capita,1962,2655.1459096168,E
277,Total renewable water resources per capita,1967,2552.8891513957,E
278,Total renewable water resources per capita,1972,2474.2515214904,E
279,Total renewable water resources per capita,1977,2419.9309603922,E
280,Total renewable water resources per capita,1982,2385.0295390947,E
281,Total renewable water resources per capita,1987,2377.0846362659,E
282,Total renewable water resources per capita,1992,2454.9417343207,E
283,Total renewable water resources per capita,1997,2593.8239711713,E
284,Total renewable water resources per capita,2002,2707.774325189,E
285,Total renewable water resources per capita,2007,2811.2606695921,E
286,Total renewable water resources per capita,2012,2904.2802409544,E
287,Total renewable water resources per capita,2017,2998.9676792946,E
288,Total renewable water resources per capita,2018,3020.5876446904,E
289,Total agricultural water managed area,2007,104.58,E
290,Total agricultural water managed area,2010,137.51,E
291,Total agricultural water managed area,2016,135.87,E
292,Area equipped for irrigation: total,2006,108.1,E
293,% of agricultural GVA produced by irrigated agriculture,1997,1.6782073838,E
294,% of agricultural GVA produced by irrigated agriculture,2002,1.5221587175,E
295,% of agricultural GVA produced by irrigated agriculture,2007,3.8778976189,E
296,% of agricultural GVA produced by irrigated agriculture,2012,3.6561475177,E
297,% of agricultural GVA produced by irrigated agriculture,2017,3.496615379,E
298,% of agricultural GVA produced by irrigated agriculture,2018,3.5024659649,E
300,Ratio between rainfed and irrigated yields,1966,1.778,I
301,Ratio between rainfed and irrigated yields,1971,1.778,I
302,Ratio between rainfed and irrigated yields,1976,1.778,I
303,Ratio between rainfed and irrigated yields,1981,1.778,I
304,Ratio between rainfed and irrigated yields,1986,1.778,I
305,Ratio between rainfed and irrigated yields,1991,1.778,I
306,Ratio between rainfed and irrigated yields,1996,1.778,I
307,Ratio between rainfed and irrigated yields,2001,1.778,I
308,Ratio between rainfed and irrigated yields,2007,1.778,I
309,Ratio between rainfed and irrigated yields,2011,1.778,I
310,Ratio between rainfed and irrigated yields,2017,1.778,I
311,Ratio between rainfed and irrigated yields,2018,1.778,I
312,Agricultural water withdrawal as % of total renewable water resources,1992,9.4694835681,I
313,Agricultural water withdrawal as % of total renewable water resources,1997,7.0281690141,I
314,Agricultural water withdrawal as % of total renewable water resources,2002,3.4882629108,E
315,Agricultural water withdrawal as % of total renewable water resources,2007,3.2833823908,E
316,Agricultural water withdrawal as % of total renewable water resources,2012,4.4572769953,E
317,Agricultural water withdrawal as % of total renewable water resources,2017,3.9201877934,E
318,Agricultural water withdrawal as % of total renewable water resources,2018,3.3990610329,E
319,Agricultural water withdrawal,1992,2.017,I
320,Agricultural water withdrawal,1997,1.497,I
321,Agricultural water withdrawal,1999,1.289,I
322,Agricultural water withdrawal,2007,0.6993604492,I
323,Agricultural water withdrawal,2012,0.9494,OF
324,Agricultural water withdrawal,2015,0.8288,OF
325,Irrigation water requirement,2007,0.2174,E
326,Irrigation water requirement,2012,0.2174,I
327,Irrigation water requirement,2017,0.2174,I
328,Irrigation water requirement,2018,0.2174,I
330,Irrigation water withdrawal,2007,0.605775,I
331,Irrigation water withdrawal,2012,0.3996,I
332,Irrigation water withdrawal,2015,0.6519,I
333,Municipal water withdrawal,1992,0.6763333333,I
334,Municipal water withdrawal,1997,1.0005,I
335,Municipal water withdrawal,2002,1.07,X
336,Municipal water withdrawal,2007,1.0071543482,I
337,Municipal water withdrawal,2012,0.9483,OF
338,Municipal water withdrawal,2015,0.8996,OF
339,Industrial water withdrawal,1992,4.6322,I
340,Industrial water withdrawal,1997,4.0827,I
341,Industrial water withdrawal,2002,4.776,X
342,Industrial water withdrawal,2007,4.4954852026,I
343,Industrial water withdrawal,2012,3.817,OF
344,Industrial water withdrawal,2015,3.901,OF
345,Total water withdrawal,1982,14.144,I
346,Total water withdrawal,1987,13.0290666667,I
347,Total water withdrawal,1992,7.3255333333,E
348,Total water withdrawal,1997,6.5802,E
349,Total water withdrawal,2002,6.589,E
350,Total water withdrawal,2007,6.202,X
351,Total water withdrawal,2012,5.715,X
352,Total water withdrawal,2015,5.6294,E
353,Fresh surface water withdrawal,2002,5.929,X
354,Fresh surface water withdrawal,2007,5.56,X
355,Fresh surface water withdrawal,2012,5.149,X
356,Fresh surface water withdrawal,2015,5.071,OF
357,Fresh groundwater withdrawal,2002,0.6597,X
358,Fresh groundwater withdrawal,2007,0.6418,X
359,Fresh groundwater withdrawal,2012,0.5656,X
360,Fresh groundwater withdrawal,2015,0.5584,OF
361,Total freshwater withdrawal,1982,14.144,I
362,Total freshwater withdrawal,1987,13.0290266667,I
363,Total freshwater withdrawal,1992,7.3255333333,E
364,Total freshwater withdrawal,1997,6.5802,E
365,Total freshwater withdrawal,2002,6.5887,E
366,Total freshwater withdrawal,2007,6.2018,E
367,Total freshwater withdrawal,2012,5.7146,E
368,Total freshwater withdrawal,2015,5.6294,E
369,Produced municipal wastewater,2002,0.486,OF
370,Produced municipal wastewater,2007,0.503,OF
371,Produced municipal wastewater,2012,0.447,OF
372,Produced municipal wastewater,2015,0.4261,X
385,SDG 6.4.2. Water Stress,1982,104.5457905241,E
386,SDG 6.4.2. Water Stress,1987,96.3044324537,E
387,SDG 6.4.2. Water Stress,1992,54.1468943258,E
388,SDG 6.4.2. Water Stress,1997,48.6377411486,E
389,SDG 6.4.2. Water Stress,2002,48.7005691478,E
390,SDG 6.4.2. Water Stress,2007,45.8407864587,E
391,SDG 6.4.2. Water Stress,2012,42.2396333801,E
392,SDG 6.4.2. Water Stress,2017,41.8212728213,E
393,SDG 6.4.2. Water Stress,2018,40.0990464927,E
394,SDG 6.4.1. Water Use Efficiency,1997,3.233548848,I
395,SDG 6.4.1. Water Use Efficiency,2002,3.977717906,E
396,SDG 6.4.1. Water Use Efficiency,2007,5.8326347856,E
397,SDG 6.4.1. Water Use Efficiency,2015,7.4155642982,E
398,SDG 6.4.1. Water Use Efficiency,2018,8.6276573497,E
399,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.068655142,E
400,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.0655939641,E
401,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.1161509485,E
402,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.0858158266,E
403,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2018,0.0914634753,E
404,SDG 6.4.1. Industrial Water Use Efficiency,1992,1.59886404,E
405,SDG 6.4.1. Industrial Water Use Efficiency,1997,1.2783333206,E
406,SDG 6.4.1. Industrial Water Use Efficiency,2002,1.3254024809,E
407,SDG 6.4.1. Industrial Water Use Efficiency,2007,2.2633318128,E
408,SDG 6.4.1. Industrial Water Use Efficiency,2015,2.4904675693,E
409,SDG 6.4.1. Industrial Water Use Efficiency,2018,2.7359361811,E
410,SDG 6.4.1. Services Water Use Efficiency,1992,25.7035248894,E
411,SDG 6.4.1. Services Water Use Efficiency,1997,15.9475961361,E
412,SDG 6.4.1. Services Water Use Efficiency,2002,18.5330137558,E
413,SDG 6.4.1. Services Water Use Efficiency,2007,25.7338857101,E
414,SDG 6.4.1. Services Water Use Efficiency,2015,35.5254996832,E
415,SDG 6.4.1. Services Water Use Efficiency,2018,41.9003125729,E
416,Harvested irrigated temporary crop area: Wheat,2007,0.01,I
417,Harvested irrigated temporary crop area: Wheat,2012,0.01,I
418,Harvested irrigated temporary crop area: Wheat,2017,0.01,I
419,Harvested irrigated temporary crop area: Wheat,2018,0.01,I
420,Harvested irrigated temporary crop area: Rice,2012,10.8,I
421,Harvested irrigated temporary crop area: Rice,2017,10.8,I
422,Harvested irrigated temporary crop area: Rice,2018,10.8,I
423,Harvested irrigated temporary crop area: Maize,2007,17.578,I
424,Harvested irrigated temporary crop area: Maize,2012,17.0,I
425,Harvested irrigated temporary crop area: Maize,2017,17.0,I
426,Harvested irrigated temporary crop area: Maize,2018,17.0,I
427,Harvested irrigated temporary crop area: Potatoes,2007,3.822,I
428,Harvested irrigated temporary crop area: Potatoes,2012,3.7,I
429,Harvested irrigated temporary crop area: Potatoes,2017,3.7,I
430,Harvested irrigated temporary crop area: Potatoes,2018,3.7,I
431,Harvested irrigated temporary crop area: Sugar beet,2007,0.03,I
432,Harvested irrigated temporary crop area: Sugar beet,2012,0.03,I
433,Harvested irrigated temporary crop area: Sugar beet,2017,0.03,I
434,Harvested irrigated temporary crop area: Sugar beet,2018,0.03,I
435,Harvested irrigated temporary crop area: Leguminous crops,2012,4.3,I
436,Harvested irrigated temporary crop area: Leguminous crops,2017,4.3,I
437,Harvested irrigated temporary crop area: Leguminous crops,2018,4.3,I
438,Harvested irrigated temporary crop area: Vegetables,2012,20.2,I
439,Harvested irrigated temporary crop area: Vegetables,2017,20.2,I
440,Harvested irrigated temporary crop area: Vegetables,2018,20.2,I
441,Harvested irrigated temporary crop area: Tobacco,2012,7.0,I
442,Harvested irrigated temporary crop area: Tobacco,2017,7.0,I
443,Harvested irrigated temporary crop area: Tobacco,2018,7.0,I
444,Harvested irrigated temporary crop area: Cotton,2012,1.4,I
445,Harvested irrigated temporary crop area: Cotton,2017,1.4,I
446,Harvested irrigated temporary crop area: Cotton,2018,1.4,I
447,Harvested irrigated temporary crop area: Fodder,2007,2.79,I
448,Harvested irrigated temporary crop area: Fodder,2012,2.7,I
449,Harvested irrigated temporary crop area: Fodder,2017,2.7,I
450,Harvested irrigated temporary crop area: Fodder,2018,2.7,I
451,Harvested irrigated temporary crop area: Soybeans,2007,0.01,I
452,Harvested irrigated temporary crop area: Soybeans,2012,0.01,I
453,Harvested irrigated temporary crop area: Soybeans,2017,0.01,I
454,Harvested irrigated temporary crop area: Soybeans,2018,0.01,I
455,Harvested irrigated temporary crop area: Sunflower,2007,5.052,I
456,Harvested irrigated temporary crop area: Sunflower,2012,4.9,I
457,Harvested irrigated temporary crop area: Sunflower,2017,4.9,I
458,Harvested irrigated temporary crop area: Sunflower,2018,4.9,I
459,Harvested irrigated temporary crop area: Other crops,2012,2.2,I
460,Harvested irrigated temporary crop area: Other crops,2017,2.2,I
461,Harvested irrigated temporary crop area: Other crops,2018,2.2,I
462,Harvested irrigated permanent crop area: Other crops,2007,4.704,I
463,Harvested irrigated permanent crop area: Other crops,2012,5.0,I
464,Harvested irrigated permanent crop area: Other crops,2017,5.0,I
465,Harvested irrigated permanent crop area: Other crops,2018,5.0,I
