Uruguay,Variable Name,Year,Value,Symbol
149,Surface water: entering the country (total),1992,5.0,OF
150,Surface water: entering the country (total),1997,5.0,OF
151,Surface water: entering the country (total),2002,5.0,OF
152,Surface water: entering the country (total),2007,5.0,OF
153,Surface water: entering the country (total),2012,5.0,OF
154,Surface water: entering the country (total),2017,5.0,OF
155,Surface water: leaving the country to other countries (total),1961,0.0,OF
156,Surface water: leaving the country to other countries (total),1966,0.0,OF
157,Surface water: leaving the country to other countries (total),1971,0.0,OF
158,Surface water: leaving the country to other countries (total),1976,0.0,OF
159,Surface water: leaving the country to other countries (total),1981,0.0,OF
160,Surface water: leaving the country to other countries (total),1986,0.0,OF
161,Surface water: leaving the country to other countries (total),1991,0.0,OF
162,Surface water: leaving the country to other countries (total),1996,0.0,OF
163,Surface water: leaving the country to other countries (total),2001,0.0,OF
164,Surface water: leaving the country to other countries (total),2006,0.0,OF
165,Surface water: leaving the country to other countries (total),2017,0.0,OF
166,Groundwater: entering the country (total),1962,0.0,OF
167,Groundwater: entering the country (total),1967,0.0,OF
168,Groundwater: entering the country (total),1972,0.0,OF
169,Groundwater: entering the country (total),1977,0.0,OF
170,Groundwater: entering the country (total),1982,0.0,OF
171,Groundwater: entering the country (total),1987,0.0,OF
172,Groundwater: entering the country (total),1992,0.0,OF
173,Groundwater: entering the country (total),1997,0.0,OF
174,Groundwater: entering the country (total),2002,0.0,OF
175,Groundwater: entering the country (total),2007,0.0,OF
176,Groundwater: entering the country (total),2012,0.0,OF
177,Groundwater: entering the country (total),2017,0.0,OF
178,Groundwater: leaving the country to other countries (total),1962,0.0,OF
179,Groundwater: leaving the country to other countries (total),1967,0.0,OF
180,Groundwater: leaving the country to other countries (total),1972,0.0,OF
181,Groundwater: leaving the country to other countries (total),1977,0.0,OF
182,Groundwater: leaving the country to other countries (total),1982,0.0,OF
183,Groundwater: leaving the country to other countries (total),1987,0.0,OF
184,Groundwater: leaving the country to other countries (total),1992,0.0,OF
185,Groundwater: leaving the country to other countries (total),1997,0.0,OF
186,Groundwater: leaving the country to other countries (total),2002,0.0,OF
187,Groundwater: leaving the country to other countries (total),2007,0.0,OF
188,Groundwater: leaving the country to other countries (total),2012,0.0,OF
189,Groundwater: leaving the country to other countries (total),2017,0.0,OF
190,Dependency ratio,1962,46.4576074332,E
191,Dependency ratio,1967,46.4576074332,E
192,Dependency ratio,1972,46.4576074332,E
193,Dependency ratio,1977,46.4576074332,E
194,Dependency ratio,1982,46.4576074332,E
195,Dependency ratio,1987,46.4576074332,E
196,Dependency ratio,1992,46.4576074332,E
197,Dependency ratio,1997,46.4576074332,E
198,Dependency ratio,2002,46.4576074332,E
199,Dependency ratio,2007,46.4576074332,E
200,Dependency ratio,2012,46.4576074332,E
201,Dependency ratio,2017,46.4576074332,E
202,Dependency ratio,2018,46.4576074332,E
203,Total internal renewable water resources (IRWR),1962,92.2,E
204,Total internal renewable water resources (IRWR),1967,92.2,E
205,Total internal renewable water resources (IRWR),1972,92.2,E
206,Total internal renewable water resources (IRWR),1977,92.2,E
207,Total internal renewable water resources (IRWR),1982,92.2,E
208,Total internal renewable water resources (IRWR),1987,92.2,E
209,Total internal renewable water resources (IRWR),1992,92.2,E
210,Total internal renewable water resources (IRWR),1997,92.2,E
211,Total internal renewable water resources (IRWR),2002,92.2,E
212,Total internal renewable water resources (IRWR),2007,92.2,E
213,Total internal renewable water resources (IRWR),2012,92.2,E
214,Total internal renewable water resources (IRWR),2017,92.2,E
215,Total internal renewable water resources (IRWR),2018,92.2,E
216,Total internal renewable water resources per capita,1962,35408.6705925998,E
217,Total internal renewable water resources per capita,1967,33526.2242708046,E
218,Total internal renewable water resources per capita,1972,32678.1054212693,E
219,Total internal renewable water resources per capita,1977,32272.0880040939,E
220,Total internal renewable water resources per capita,1982,31213.4798899877,E
221,Total internal renewable water resources per capita,1987,30233.6616079389,E
222,Total internal renewable water resources per capita,1992,29228.4204226138,E
223,Total internal renewable water resources per capita,1997,28194.3046281471,E
224,Total internal renewable water resources per capita,2002,27720.6527883008,E
225,Total internal renewable water resources per capita,2007,27673.1530496445,E
226,Total internal renewable water resources per capita,2012,27286.3812250757,E
227,Total internal renewable water resources per capita,2017,26828.5223856667,E
228,Total internal renewable water resources per capita,2018,26730.1774135799,E
229,Total renewable surface water,1962,172.2,E
230,Total renewable surface water,1967,172.2,E
231,Total renewable surface water,1972,172.2,E
232,Total renewable surface water,1977,172.2,E
233,Total renewable surface water,1982,172.2,E
234,Total renewable surface water,1987,172.2,E
235,Total renewable surface water,1992,172.2,E
236,Total renewable surface water,1997,172.2,E
237,Total renewable surface water,2002,172.2,E
238,Total renewable surface water,2007,172.2,E
239,Total renewable surface water,2012,172.2,E
240,Total renewable surface water,2017,172.2,E
241,Total renewable surface water,2018,172.2,E
242,Total renewable groundwater,1962,22.9,E
243,Total renewable groundwater,1967,22.9,E
244,Total renewable groundwater,1972,22.9,E
245,Total renewable groundwater,1977,22.9,E
246,Total renewable groundwater,1982,22.9,E
247,Total renewable groundwater,1987,22.9,E
248,Total renewable groundwater,1992,22.9,E
249,Total renewable groundwater,1997,22.9,E
250,Total renewable groundwater,2002,22.9,E
251,Total renewable groundwater,2007,22.9,E
252,Total renewable groundwater,2012,22.9,E
253,Total renewable groundwater,2017,22.9,E
254,Total renewable groundwater,2018,22.9,E
255,Water resources: total external renewable,1962,80.0,E
256,Water resources: total external renewable,1967,80.0,E
257,Water resources: total external renewable,1972,80.0,E
258,Water resources: total external renewable,1977,80.0,E
259,Water resources: total external renewable,1982,80.0,E
260,Water resources: total external renewable,1987,80.0,E
261,Water resources: total external renewable,1992,80.0,E
262,Water resources: total external renewable,1997,80.0,E
263,Water resources: total external renewable,2002,80.0,E
264,Water resources: total external renewable,2007,80.0,E
265,Water resources: total external renewable,2012,80.0,E
266,Water resources: total external renewable,2017,80.0,E
267,Water resources: total external renewable,2018,80.0,E
268,Total renewable water resources,1962,172.2,E
269,Total renewable water resources,1967,172.2,E
270,Total renewable water resources,1972,172.2,E
271,Total renewable water resources,1977,172.2,E
272,Total renewable water resources,1982,172.2,E
273,Total renewable water resources,1987,172.2,E
274,Total renewable water resources,1992,172.2,E
275,Total renewable water resources,1997,172.2,E
276,Total renewable water resources,2002,172.2,E
277,Total renewable water resources,2007,172.2,E
278,Total renewable water resources,2012,172.2,E
279,Total renewable water resources,2017,172.2,E
280,Total renewable water resources,2018,172.2,E
281,Total renewable water resources per capita,1962,66132.0290243567,E
282,Total renewable water resources per capita,1967,62616.2236380971,E
283,Total renewable water resources per capita,1972,61032.2099082709,E
284,Total renewable water resources per capita,1977,60273.899721312,E
285,Total renewable water resources per capita,1982,58296.7596209966,E
286,Total renewable water resources per capita,1987,56466.7736321809,E
287,Total renewable water resources per capita,1992,54589.3058218449,E
288,Total renewable water resources per capita,1997,52657.9095115719,E
289,Total renewable water resources per capita,2002,51773.2799365011,E
290,Total renewable water resources per capita,2007,51684.5656740649,E
291,Total renewable water resources per capita,2012,50962.2000754667,E
292,Total renewable water resources per capita,2017,50107.0667550087,E
293,Total renewable water resources per capita,2018,49923.3899199399,E
294,Total agricultural water managed area,2002,186.8461538462,E
295,Total agricultural water managed area,2007,194.1538461538,E
296,Total agricultural water managed area,2012,238.0,I
297,Total agricultural water managed area,2017,238.0,I
298,Total agricultural water managed area,2018,238.0,I
299,Area equipped for irrigation: total,2002,186.8461538462,E
300,Area equipped for irrigation: total,2007,194.1538461538,E
301,Area equipped for irrigation: total,2012,238.0,I
302,Area equipped for irrigation: total,2017,238.0,I
303,Area equipped for irrigation: total,2018,238.0,I
304,% of agricultural GVA produced by irrigated agriculture,2002,22.5923747393,E
305,% of agricultural GVA produced by irrigated agriculture,2007,21.1990565798,E
306,% of agricultural GVA produced by irrigated agriculture,2012,18.124137931,E
307,% of agricultural GVA produced by irrigated agriculture,2017,19.3344651952,E
308,% of agricultural GVA produced by irrigated agriculture,2018,19.5881017361,E
309,Ratio between rainfed and irrigated yields,1962,1.625,E
310,Ratio between rainfed and irrigated yields,1967,1.625,E
311,Ratio between rainfed and irrigated yields,1972,1.625,E
312,Ratio between rainfed and irrigated yields,1977,1.625,E
313,Ratio between rainfed and irrigated yields,1982,1.625,E
314,Ratio between rainfed and irrigated yields,1987,1.625,E
315,Ratio between rainfed and irrigated yields,1992,1.625,E
316,Ratio between rainfed and irrigated yields,1997,1.625,E
317,Ratio between rainfed and irrigated yields,2002,1.625,E
318,Ratio between rainfed and irrigated yields,2007,1.625,I
319,Ratio between rainfed and irrigated yields,2012,1.625,E
320,Ratio between rainfed and irrigated yields,2017,1.625,I
321,Ratio between rainfed and irrigated yields,2018,1.625,I
322,Agricultural water withdrawal as % of total renewable water resources,1967,0.4290608926,I
323,Agricultural water withdrawal as % of total renewable water resources,1972,0.6429732869,I
324,Agricultural water withdrawal as % of total renewable water resources,1977,0.8568856811,I
325,Agricultural water withdrawal as % of total renewable water resources,1982,1.0707980753,I
326,Agricultural water withdrawal as % of total renewable water resources,1987,1.2847104696,I
327,Agricultural water withdrawal as % of total renewable water resources,1992,1.4986228638,I
328,Agricultural water withdrawal as % of total renewable water resources,1997,1.712535258,I
329,Agricultural water withdrawal as % of total renewable water resources,2002,1.8408826945,I
330,Agricultural water withdrawal as % of total renewable water resources,2007,1.8408826945,I
331,Agricultural water withdrawal as % of total renewable water resources,2012,1.8408826945,I
332,Agricultural water withdrawal as % of total renewable water resources,2017,1.8408826945,I
333,Agricultural water withdrawal as % of total renewable water resources,2018,1.8408826945,I
334,Agricultural water withdrawal,1967,0.7388428571,I
335,Agricultural water withdrawal,1972,1.1072,I
336,Agricultural water withdrawal,1977,1.4755571429,I
337,Agricultural water withdrawal,1982,1.8439142857,I
338,Agricultural water withdrawal,1987,2.2122714286,I
339,Agricultural water withdrawal,1992,2.5806285714,I
340,Agricultural water withdrawal,1997,2.9489857143,I
341,Agricultural water withdrawal,2002,3.17,I
342,Agricultural water withdrawal,2007,3.17,I
343,Agricultural water withdrawal,2012,3.17,I
344,Agricultural water withdrawal,2017,3.17,I
345,Agricultural water withdrawal,2018,3.17,I
346,Irrigation water requirement,2012,1.077,I
347,Irrigation water requirement,2017,1.077,I
348,Irrigation water requirement,2018,1.077,I
349,Municipal water withdrawal,1967,0.0602,I
350,Municipal water withdrawal,1972,0.1132,I
351,Municipal water withdrawal,1977,0.1662,I
352,Municipal water withdrawal,1982,0.2192,I
353,Municipal water withdrawal,1987,0.2722,I
354,Municipal water withdrawal,1992,0.3252,I
355,Municipal water withdrawal,1997,0.3782,I
356,Municipal water withdrawal,2002,0.41,I
357,Municipal water withdrawal,2007,0.41,I
358,Municipal water withdrawal,2012,0.41,I
359,Municipal water withdrawal,2017,0.41,I
360,Municipal water withdrawal,2018,0.41,I
361,Industrial water withdrawal,1967,0.0229571429,I
362,Industrial water withdrawal,1972,0.0316,I
363,Industrial water withdrawal,1977,0.0402428571,I
364,Industrial water withdrawal,1982,0.0488857143,I
365,Industrial water withdrawal,1987,0.0575285714,I
366,Industrial water withdrawal,1992,0.0661714286,I
367,Industrial water withdrawal,1997,0.0748142857,I
368,Industrial water withdrawal,2002,0.08,I
369,Industrial water withdrawal,2007,0.08,I
370,Industrial water withdrawal,2012,0.08,I
371,Industrial water withdrawal,2017,0.08,I
372,Industrial water withdrawal,2018,0.08,I
373,Total water withdrawal,1967,0.822,I
374,Total water withdrawal,1972,1.252,I
375,Total water withdrawal,1977,1.682,I
376,Total water withdrawal,1982,2.112,I
377,Total water withdrawal,1987,2.542,I
378,Total water withdrawal,1992,2.972,I
379,Total water withdrawal,1997,3.402,I
380,Total water withdrawal,2002,3.66,I
381,Total water withdrawal,2007,3.66,I
382,Total water withdrawal,2012,3.66,I
383,Total water withdrawal,2017,3.66,I
384,Total water withdrawal,2018,3.66,I
385,Fresh surface water withdrawal,2002,3.52,I
386,Fresh surface water withdrawal,2007,3.52,I
387,Fresh surface water withdrawal,2012,3.52,I
388,Fresh surface water withdrawal,2017,3.52,I
389,Fresh surface water withdrawal,2018,3.52,I
390,Fresh groundwater withdrawal,2002,0.14,I
391,Fresh groundwater withdrawal,2007,0.14,I
392,Fresh groundwater withdrawal,2012,0.14,I
393,Fresh groundwater withdrawal,2017,0.14,I
394,Fresh groundwater withdrawal,2018,0.14,I
395,Total freshwater withdrawal,1967,0.822,I
396,Total freshwater withdrawal,1972,1.252,I
397,Total freshwater withdrawal,1977,1.682,I
398,Total freshwater withdrawal,1982,2.112,I
399,Total freshwater withdrawal,1987,2.542,I
400,Total freshwater withdrawal,1992,2.972,I
401,Total freshwater withdrawal,1997,3.402,I
402,Total freshwater withdrawal,2002,3.66,I
403,Total freshwater withdrawal,2007,3.66,I
404,Total freshwater withdrawal,2012,3.66,I
405,Total freshwater withdrawal,2017,3.66,I
406,Total freshwater withdrawal,2018,3.66,I
407,Produced municipal wastewater,2012,0.1152,I
408,Produced municipal wastewater,2017,0.1152,I
409,Produced municipal wastewater,2018,0.1152,I
425,SDG 6.4.2. Water Stress,1967,2.1978609626,E
426,SDG 6.4.2. Water Stress,1972,3.3475935829,E
427,SDG 6.4.2. Water Stress,1977,4.4973262032,E
428,SDG 6.4.2. Water Stress,1982,5.6470588235,E
429,SDG 6.4.2. Water Stress,1987,6.7967914439,E
430,SDG 6.4.2. Water Stress,1992,7.9465240642,E
431,SDG 6.4.2. Water Stress,1997,9.0962566845,E
432,SDG 6.4.2. Water Stress,2002,9.7860962567,E
433,SDG 6.4.2. Water Stress,2007,9.7860962567,E
434,SDG 6.4.2. Water Stress,2012,9.7860962567,E
435,SDG 6.4.2. Water Stress,2017,9.7860962567,E
436,SDG 6.4.2. Water Stress,2018,9.7860962567,E
437,SDG 6.4.1. Water Use Efficiency,2002,7.0987813144,I
438,SDG 6.4.1. Water Use Efficiency,2007,8.4269738421,I
439,SDG 6.4.1. Water Use Efficiency,2010,10.3601547866,I
440,SDG 6.4.1. Water Use Efficiency,2017,13.168884037,I
441,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.1593747477,E
442,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.2129532178,E
443,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2010,0.1786958948,E
444,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2017,0.1731815207,E
445,SDG 6.4.1. Industrial Water Use Efficiency,1972,117.141979137,E
446,SDG 6.4.1. Industrial Water Use Efficiency,1977,125.7393873872,E
447,SDG 6.4.1. Industrial Water Use Efficiency,1982,105.9320483301,E
448,SDG 6.4.1. Industrial Water Use Efficiency,1987,110.5833551622,E
449,SDG 6.4.1. Industrial Water Use Efficiency,1992,104.183657894,E
450,SDG 6.4.1. Industrial Water Use Efficiency,1997,91.8319821488,E
451,SDG 6.4.1. Industrial Water Use Efficiency,2002,68.3693793272,E
452,SDG 6.4.1. Industrial Water Use Efficiency,2007,95.6386641924,E
453,SDG 6.4.1. Industrial Water Use Efficiency,2010,120.6443166849,E
454,SDG 6.4.1. Industrial Water Use Efficiency,2017,152.9722146975,E
455,SDG 6.4.1. Services Water Use Efficiency,1972,67.9611424048,E
456,SDG 6.4.1. Services Water Use Efficiency,1977,56.7211867912,E
457,SDG 6.4.1. Services Water Use Efficiency,1982,57.4830073339,E
458,SDG 6.4.1. Services Water Use Efficiency,1987,45.0156936416,E
459,SDG 6.4.1. Services Water Use Efficiency,1992,50.4096035154,E
460,SDG 6.4.1. Services Water Use Efficiency,1997,57.0720490998,E
461,SDG 6.4.1. Services Water Use Efficiency,2002,48.7970032051,E
462,SDG 6.4.1. Services Water Use Efficiency,2007,54.9184620152,E
463,SDG 6.4.1. Services Water Use Efficiency,2010,67.5613541411,E
464,SDG 6.4.1. Services Water Use Efficiency,2017,86.3691536078,E
465,Harvested irrigated temporary crop area: Rice,2002,175.8777777778,I
466,Harvested irrigated temporary crop area: Rice,2007,178.8222222222,I
467,Harvested irrigated temporary crop area: Rice,2012,181.0,I
468,Harvested irrigated temporary crop area: Rice,2017,181.0,I
469,Harvested irrigated temporary crop area: Rice,2018,181.0,I
470,Harvested irrigated temporary crop area: Maize,2002,3.811,I
471,Harvested irrigated temporary crop area: Maize,2007,3.811,I
472,Harvested irrigated temporary crop area: Maize,2012,13.7,I
473,Harvested irrigated temporary crop area: Maize,2017,13.7,I
474,Harvested irrigated temporary crop area: Maize,2018,13.7,I
475,Harvested irrigated temporary crop area: Sorghum,2012,2.2,I
476,Harvested irrigated temporary crop area: Sorghum,2017,2.2,I
477,Harvested irrigated temporary crop area: Sorghum,2018,2.2,I
478,Harvested irrigated temporary crop area: Other cereals,2002,4.005,I
479,Harvested irrigated temporary crop area: Other cereals,2007,4.005,I
480,Harvested irrigated temporary crop area: Other cereals,2012,4.005,I
481,Harvested irrigated temporary crop area: Other cereals,2017,4.005,I
482,Harvested irrigated temporary crop area: Other cereals,2018,4.005,I
483,Harvested irrigated temporary crop area: Potatoes,2012,2.0,I
484,Harvested irrigated temporary crop area: Potatoes,2017,2.0,I
485,Harvested irrigated temporary crop area: Potatoes,2018,2.0,I
486,Harvested irrigated temporary crop area: Sugarcane,2012,6.48,I
487,Harvested irrigated temporary crop area: Sugarcane,2017,6.48,I
488,Harvested irrigated temporary crop area: Sugarcane,2018,6.48,I
489,Harvested irrigated temporary crop area: Vegetables,2002,10.8388888889,I
490,Harvested irrigated temporary crop area: Vegetables,2007,10.8111111111,I
491,Harvested irrigated temporary crop area: Vegetables,2012,10.8,I
492,Harvested irrigated temporary crop area: Vegetables,2017,10.8,I
493,Harvested irrigated temporary crop area: Vegetables,2018,10.8,I
494,Harvested irrigated permanent crop area: Citrus,2002,6.753,I
495,Harvested irrigated permanent crop area: Citrus,2007,7.333,I
496,Harvested irrigated permanent crop area: Citrus,2012,8.543,I
497,Harvested irrigated permanent crop area: Citrus,2017,8.543,I
498,Harvested irrigated permanent crop area: Citrus,2018,8.543,I
499,Harvested irrigated temporary crop area: Fodder,2002,3.0515555556,I
500,Harvested irrigated temporary crop area: Fodder,2007,1.4554444444,I
501,Harvested irrigated temporary crop area: Fodder,2012,0.817,I
502,Harvested irrigated temporary crop area: Fodder,2017,0.817,I
503,Harvested irrigated temporary crop area: Fodder,2018,0.817,I
504,Harvested irrigated temporary crop area: Soybeans,2012,4.73,I
505,Harvested irrigated temporary crop area: Soybeans,2017,4.73,I
506,Harvested irrigated temporary crop area: Soybeans,2018,4.73,I
507,Harvested irrigated temporary crop area: Other crops,2002,1.6297777778,I
508,Harvested irrigated temporary crop area: Other crops,2007,4.6442222222,I
509,Harvested irrigated temporary crop area: Other crops,2012,5.85,I
510,Harvested irrigated temporary crop area: Other crops,2017,5.85,I
511,Harvested irrigated temporary crop area: Other crops,2018,5.85,I
512,Harvested irrigated permanent crop area: Other crops,2002,5.399,I
513,Harvested irrigated permanent crop area: Other crops,2007,5.399,I
514,Harvested irrigated permanent crop area: Other crops,2012,5.399,I
515,Harvested irrigated permanent crop area: Other crops,2017,5.399,I
516,Harvested irrigated permanent crop area: Other crops,2018,5.399,I
