Tonga,Variable Name,Year,Value,Symbol
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.6656,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.6656,I
70,Gross Domestic Product (GDP),1972,23258038.0,X
71,Gross Domestic Product (GDP),1977,44730218.0,X
72,Gross Domestic Product (GDP),1982,85288622.0,X
73,Gross Domestic Product (GDP),1987,105276516.0,X
74,Gross Domestic Product (GDP),1992,192695249.0,X
75,Gross Domestic Product (GDP),1993,190205063.0,X
76,GDP per capita,1972,269.355485,X
77,GDP per capita,1977,495.378677,X
78,GDP per capita,1982,910.415366,X
79,GDP per capita,1987,1115.406385,X
80,GDP per capita,1992,2017.835811,X
81,GDP per capita,1997,2200.979914,X
82,GDP per capita,2002,1829.490096,X
83,GDP per capita,2007,2979.594566,X
84,GDP per capita,2012,4436.896473,X
85,GDP per capita,2017,4558.478241,X
86,GDP per capita,2018,4625.359516,X
87,"Agriculture, value added (% GDP)",1972,41.045525,X
88,"Agriculture, value added (% GDP)",1977,37.987012,X
89,"Agriculture, value added (% GDP)",1982,32.866044,X
90,"Agriculture, value added (% GDP)",1987,32.751185,X
91,"Agriculture, value added (% GDP)",1992,33.068036,X
92,"Agriculture, value added (% GDP)",1993,33.02787,X
93,Total population with access to safe drinking-water (JMP),1992,98.6,X
94,Total population with access to safe drinking-water (JMP),1997,98.6,X
95,Total population with access to safe drinking-water (JMP),2002,98.6,X
96,Total population with access to safe drinking-water (JMP),2007,98.9,X
97,Total population with access to safe drinking-water (JMP),2012,99.4,X
98,Total population with access to safe drinking-water (JMP),2017,99.6,I
99,Total population with access to safe drinking-water (JMP),2018,99.6,I
100,Surface water: entering the country (total),1962,0.0,OF
101,Surface water: entering the country (total),1967,0.0,OF
102,Surface water: entering the country (total),1972,0.0,OF
103,Surface water: entering the country (total),1977,0.0,OF
104,Surface water: entering the country (total),1982,0.0,OF
105,Surface water: entering the country (total),1987,0.0,OF
106,Surface water: entering the country (total),1992,0.0,OF
107,Surface water: entering the country (total),1997,0.0,OF
108,Surface water: entering the country (total),2002,0.0,OF
109,Surface water: entering the country (total),2007,0.0,OF
110,Surface water: entering the country (total),2012,0.0,OF
111,Surface water: entering the country (total),2017,0.0,OF
112,Surface water: leaving the country to other countries (total),1962,0.0,OF
113,Surface water: leaving the country to other countries (total),1967,0.0,OF
114,Surface water: leaving the country to other countries (total),1972,0.0,OF
115,Surface water: leaving the country to other countries (total),1977,0.0,OF
116,Surface water: leaving the country to other countries (total),1982,0.0,OF
117,Surface water: leaving the country to other countries (total),1987,0.0,OF
118,Surface water: leaving the country to other countries (total),1992,0.0,OF
119,Surface water: leaving the country to other countries (total),1997,0.0,OF
120,Surface water: leaving the country to other countries (total),2002,0.0,OF
121,Surface water: leaving the country to other countries (total),2007,0.0,OF
122,Surface water: leaving the country to other countries (total),2012,0.0,OF
123,Surface water: leaving the country to other countries (total),2017,0.0,OF
124,Groundwater: entering the country (total),1962,0.0,OF
125,Groundwater: entering the country (total),1967,0.0,OF
126,Groundwater: entering the country (total),1972,0.0,OF
127,Groundwater: entering the country (total),1977,0.0,OF
128,Groundwater: entering the country (total),1982,0.0,OF
129,Groundwater: entering the country (total),1987,0.0,OF
130,Groundwater: entering the country (total),1992,0.0,OF
131,Groundwater: entering the country (total),1997,0.0,OF
132,Groundwater: entering the country (total),2002,0.0,OF
133,Groundwater: entering the country (total),2007,0.0,OF
134,Groundwater: entering the country (total),2012,0.0,OF
135,Groundwater: entering the country (total),2017,0.0,OF
136,Groundwater: leaving the country to other countries (total),1962,0.0,OF
137,Groundwater: leaving the country to other countries (total),1967,0.0,OF
138,Groundwater: leaving the country to other countries (total),1972,0.0,OF
139,Groundwater: leaving the country to other countries (total),1977,0.0,OF
140,Groundwater: leaving the country to other countries (total),1982,0.0,OF
141,Groundwater: leaving the country to other countries (total),1987,0.0,OF
142,Groundwater: leaving the country to other countries (total),1992,0.0,OF
143,Groundwater: leaving the country to other countries (total),1997,0.0,OF
144,Groundwater: leaving the country to other countries (total),2002,0.0,OF
145,Groundwater: leaving the country to other countries (total),2007,0.0,OF
146,Groundwater: leaving the country to other countries (total),2012,0.0,OF
147,Groundwater: leaving the country to other countries (total),2017,0.0,OF
148,Dependency ratio,1962,0.0,OF
149,Dependency ratio,1967,0.0,OF
150,Dependency ratio,1972,0.0,OF
151,Dependency ratio,1977,0.0,OF
152,Dependency ratio,1982,0.0,OF
153,Dependency ratio,1987,0.0,OF
154,Dependency ratio,1992,0.0,OF
155,Dependency ratio,1997,0.0,OF
156,Dependency ratio,2002,0.0,OF
157,Dependency ratio,2007,0.0,OF
158,Dependency ratio,2012,0.0,OF
159,Dependency ratio,2017,0.0,OF
160,Total renewable surface water,1962,0.0,E
161,Total renewable surface water,1967,0.0,E
162,Total renewable surface water,1972,0.0,E
163,Total renewable surface water,1977,0.0,E
164,Total renewable surface water,1982,0.0,E
165,Total renewable surface water,1987,0.0,E
166,Total renewable surface water,1992,0.0,E
167,Total renewable surface water,1997,0.0,E
168,Total renewable surface water,2002,0.0,E
169,Total renewable surface water,2007,0.0,E
170,Total renewable surface water,2012,0.0,E
171,Total renewable surface water,2017,0.0,E
172,Total renewable surface water,2018,0.0,E
173,Total renewable groundwater,1962,0.0,E
174,Total renewable groundwater,1967,0.0,E
175,Total renewable groundwater,1972,0.0,E
176,Total renewable groundwater,1977,0.0,E
177,Total renewable groundwater,1982,0.0,E
178,Total renewable groundwater,1987,0.0,E
179,Total renewable groundwater,1992,0.0,E
180,Total renewable groundwater,1997,0.0,E
181,Total renewable groundwater,2002,0.0,E
182,Total renewable groundwater,2007,0.0,E
183,Total renewable groundwater,2012,0.0,E
184,Total renewable groundwater,2017,0.0,E
185,Total renewable groundwater,2018,0.0,E
186,Water resources: total external renewable,1962,0.0,E
187,Water resources: total external renewable,1967,0.0,E
188,Water resources: total external renewable,1972,0.0,E
189,Water resources: total external renewable,1977,0.0,E
190,Water resources: total external renewable,1982,0.0,E
191,Water resources: total external renewable,1987,0.0,E
192,Water resources: total external renewable,1992,0.0,E
193,Water resources: total external renewable,1997,0.0,E
194,Water resources: total external renewable,2002,0.0,E
195,Water resources: total external renewable,2007,0.0,E
196,Water resources: total external renewable,2012,0.0,E
197,Water resources: total external renewable,2017,0.0,E
198,Water resources: total external renewable,2018,0.0,E
199,Total renewable water resources,1962,0.0,E
200,Total renewable water resources,1967,0.0,E
201,Total renewable water resources,1972,0.0,E
202,Total renewable water resources,1977,0.0,E
203,Total renewable water resources,1982,0.0,E
204,Total renewable water resources,1987,0.0,E
205,Total renewable water resources,1992,0.0,E
206,Total renewable water resources,1997,0.0,E
207,Total renewable water resources,2002,0.0,E
208,Total renewable water resources,2007,0.0,E
209,Total renewable water resources,2012,0.0,E
210,Total renewable water resources,2017,0.0,E
211,Total renewable water resources,2018,0.0,E
212,Total renewable water resources per capita,1962,0.0,E
213,Total renewable water resources per capita,1967,0.0,E
214,Total renewable water resources per capita,1972,0.0,E
215,Total renewable water resources per capita,1977,0.0,E
216,Total renewable water resources per capita,1982,0.0,E
217,Total renewable water resources per capita,1987,0.0,E
218,Total renewable water resources per capita,1992,0.0,E
219,Total renewable water resources per capita,1997,0.0,E
220,Total renewable water resources per capita,2002,0.0,E
221,Total renewable water resources per capita,2007,0.0,E
222,Total renewable water resources per capita,2012,0.0,E
223,Total renewable water resources per capita,2017,0.0,E
224,Total renewable water resources per capita,2018,0.0,E
