Greece,Variable Name,Year,Value,Symbol
46,Rural population,1997,3029.834,X
47,Rural population,2002,2994.553,X
48,Rural population,2007,2822.571,X
49,Rural population,2012,2616.562,X
50,Rural population,2017,2374.332,X
51,Rural population,2018,2333.39,X
52,Urban population,1962,4786.919,X
53,Urban population,1967,5258.908,X
54,Urban population,1972,5740.144,X
55,Urban population,1977,6285.549,X
56,Urban population,1982,6857.074,X
57,Urban population,1987,7138.403,X
58,Urban population,1992,7499.598,X
59,Urban population,1997,7931.289,X
60,Urban population,2002,8222.246,X
61,Urban population,2007,8558.326,X
62,Urban population,2012,8761.695,X
63,Urban population,2017,8785.441,X
64,Urban population,2018,8808.771,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.1714,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.1506666667,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.1464,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.1464,I
69,Gross Domestic Product (GDP),1962,5327573509.0,X
70,Gross Domestic Product (GDP),1967,9136711288.0,X
71,Gross Domestic Product (GDP),1972,16877458139.0,X
72,Gross Domestic Product (GDP),1977,36172951519.0,X
73,Gross Domestic Product (GDP),1982,54604773528.0,X
74,Gross Domestic Product (GDP),1987,65645261368.0,X
75,Gross Domestic Product (GDP),1992,116219368604.0,X
76,Gross Domestic Product (GDP),1997,143149799676.0,X
77,Gross Domestic Product (GDP),2002,153837944476.0,X
78,Gross Domestic Product (GDP),2007,318481589981.0,X
79,Gross Domestic Product (GDP),2009,329980374579.0,X
80,GDP per capita,1972,1924.506713,X
81,GDP per capita,1977,3908.316192,X
82,GDP per capita,1982,5569.54804,X
83,GDP per capita,1987,6520.006878,X
84,GDP per capita,1992,11119.962834,X
85,GDP per capita,1997,13059.774959,X
86,GDP per capita,2002,13714.959542,X
87,GDP per capita,2007,27983.874204,X
88,GDP per capita,2012,21591.239031,X
89,GDP per capita,2017,18243.102459,X
90,GDP per capita,2018,19577.784895,X
91,"Agriculture, value added (% GDP)",1972,11.18438,X
92,"Agriculture, value added (% GDP)",1977,9.786019,X
93,"Agriculture, value added (% GDP)",1982,10.71928,X
94,"Agriculture, value added (% GDP)",1987,8.965288,X
95,"Agriculture, value added (% GDP)",1992,7.707123,X
96,"Agriculture, value added (% GDP)",1997,6.241636,X
97,"Agriculture, value added (% GDP)",2002,4.987113,X
98,"Agriculture, value added (% GDP)",2007,3.037348,X
99,"Agriculture, value added (% GDP)",2009,2.804954,X
100,Total population with access to safe drinking-water (JMP),1992,97.8,X
101,Total population with access to safe drinking-water (JMP),1997,98.5,X
102,Total population with access to safe drinking-water (JMP),2002,99.1,X
103,Total population with access to safe drinking-water (JMP),2007,99.7,X
104,Total population with access to safe drinking-water (JMP),2012,100.0,X
105,Total population with access to safe drinking-water (JMP),2017,100.0,I
106,Total population with access to safe drinking-water (JMP),2018,100.0,I
107,Long-term average annual precipitation in volume,1962,86.03792,E
108,Long-term average annual precipitation in volume,1967,86.03792,E
109,Long-term average annual precipitation in volume,1972,86.03792,E
110,Long-term average annual precipitation in volume,1977,86.03792,E
111,Long-term average annual precipitation in volume,1982,86.03792,E
112,Long-term average annual precipitation in volume,1987,86.03792,E
113,Long-term average annual precipitation in volume,1992,86.03792,E
114,Long-term average annual precipitation in volume,1997,86.03792,E
115,Long-term average annual precipitation in volume,2002,86.03792,E
116,Long-term average annual precipitation in volume,2007,86.03792,E
117,Long-term average annual precipitation in volume,2012,86.03792,E
118,Long-term average annual precipitation in volume,2017,86.03792,E
119,Long-term average annual precipitation in volume,2018,86.03792,E
120,Interannual variability (WRI),2017,1.7,I
121,Interannual variability (WRI),2018,1.7,I
122,Seasonal variability (WRI),2017,2.5,I
123,Seasonal variability (WRI),2018,2.5,I
124,Flood occurrence (WRI),2017,2.4,I
125,Flood occurrence (WRI),2018,2.4,I
137,Surface water: entering the country (total),2017,7.6,OF
138,Surface water: leaving the country to other countries (total),1962,1.8,OF
139,Surface water: leaving the country to other countries (total),1967,1.8,OF
140,Surface water: leaving the country to other countries (total),1972,1.8,OF
141,Surface water: leaving the country to other countries (total),1977,1.8,OF
142,Surface water: leaving the country to other countries (total),1982,1.8,OF
143,Surface water: leaving the country to other countries (total),1987,1.8,OF
144,Surface water: leaving the country to other countries (total),1992,1.8,OF
145,Surface water: leaving the country to other countries (total),1997,1.8,OF
146,Surface water: leaving the country to other countries (total),2002,1.8,OF
147,Surface water: leaving the country to other countries (total),2007,1.8,OF
148,Surface water: leaving the country to other countries (total),2012,1.8,OF
149,Surface water: leaving the country to other countries (total),2017,1.8,OF
150,Groundwater: entering the country (total),1962,0.0,OF
151,Groundwater: entering the country (total),1967,0.0,OF
152,Groundwater: entering the country (total),1972,0.0,OF
153,Groundwater: entering the country (total),1977,0.0,OF
154,Groundwater: entering the country (total),1982,0.0,OF
155,Groundwater: entering the country (total),1987,0.0,OF
156,Groundwater: entering the country (total),1992,0.0,OF
157,Groundwater: entering the country (total),1997,0.0,OF
158,Groundwater: entering the country (total),2002,0.0,OF
159,Groundwater: entering the country (total),2007,0.0,OF
160,Groundwater: entering the country (total),2012,0.0,OF
161,Groundwater: entering the country (total),2017,0.0,OF
162,Groundwater: leaving the country to other countries (total),1962,0.0,OF
163,Groundwater: leaving the country to other countries (total),1967,0.0,OF
164,Groundwater: leaving the country to other countries (total),1972,0.0,OF
165,Groundwater: leaving the country to other countries (total),1977,0.0,OF
166,Groundwater: leaving the country to other countries (total),1982,0.0,OF
167,Groundwater: leaving the country to other countries (total),1987,0.0,OF
168,Groundwater: leaving the country to other countries (total),1992,0.0,OF
169,Groundwater: leaving the country to other countries (total),1997,0.0,OF
170,Groundwater: leaving the country to other countries (total),2002,0.0,OF
171,Groundwater: leaving the country to other countries (total),2007,0.0,OF
172,Groundwater: leaving the country to other countries (total),2012,0.0,OF
173,Groundwater: leaving the country to other countries (total),2017,0.0,OF
174,Dependency ratio,1962,15.2046783626,E
175,Dependency ratio,1967,15.2046783626,E
176,Dependency ratio,1972,15.2046783626,E
177,Dependency ratio,1977,15.2046783626,E
178,Dependency ratio,1982,15.2046783626,E
179,Dependency ratio,1987,15.2046783626,E
180,Dependency ratio,1992,15.2046783626,E
181,Dependency ratio,1997,15.2046783626,E
182,Dependency ratio,2002,15.2046783626,E
183,Dependency ratio,2007,15.2046783626,E
184,Dependency ratio,2012,15.2046783626,E
185,Dependency ratio,2017,15.2046783626,E
186,Dependency ratio,2018,15.2046783626,E
187,Total internal renewable water resources (IRWR),1962,58.0,E
188,Total internal renewable water resources (IRWR),1967,58.0,E
189,Total internal renewable water resources (IRWR),1972,58.0,E
190,Total internal renewable water resources (IRWR),1977,58.0,E
191,Total internal renewable water resources (IRWR),1982,58.0,E
192,Total internal renewable water resources (IRWR),1987,58.0,E
193,Total internal renewable water resources (IRWR),1992,58.0,E
194,Total internal renewable water resources (IRWR),1997,58.0,E
195,Total internal renewable water resources (IRWR),2002,58.0,E
196,Total internal renewable water resources (IRWR),2007,58.0,E
197,Total internal renewable water resources (IRWR),2012,58.0,E
198,Total internal renewable water resources (IRWR),2017,58.0,E
199,Total internal renewable water resources (IRWR),2018,58.0,E
200,Total internal renewable water resources per capita,1962,6945.3716582135,E
201,Total internal renewable water resources per capita,1967,6801.1017784881,E
202,Total internal renewable water resources per capita,1972,6610.0527049133,E
203,Total internal renewable water resources per capita,1977,6266.8976630739,E
204,Total internal renewable water resources per capita,1982,5920.2829813606,E
205,Total internal renewable water resources per capita,1987,5766.9570660984,E
206,Total internal renewable water resources per capita,1992,5566.0927449244,E
207,Total internal renewable water resources per capita,1997,5318.0481626281,E
208,Total internal renewable water resources per capita,2002,5186.7660558355,E
209,Total internal renewable water resources per capita,2007,5215.6594239142,E
210,Total internal renewable water resources per capita,2012,5379.7725191017,E
211,Total internal renewable water resources per capita,2017,5487.5135413858,E
212,Total internal renewable water resources per capita,2018,5512.1311552686,E
213,Total renewable surface water,1962,65.9,E
214,Total renewable surface water,1967,65.9,E
215,Total renewable surface water,1972,65.9,E
216,Total renewable surface water,1977,65.9,E
217,Total renewable surface water,1982,65.9,E
218,Total renewable surface water,1987,65.9,E
219,Total renewable surface water,1992,65.9,E
220,Total renewable surface water,1997,65.9,E
221,Total renewable surface water,2002,65.9,E
222,Total renewable surface water,2007,65.9,E
223,Total renewable surface water,2012,65.9,E
224,Total renewable surface water,2017,65.9,E
225,Total renewable surface water,2018,65.9,E
226,Total renewable groundwater,1962,10.3,E
227,Total renewable groundwater,1967,10.3,E
228,Total renewable groundwater,1972,10.3,E
229,Total renewable groundwater,1977,10.3,E
230,Total renewable groundwater,1982,10.3,E
231,Total renewable groundwater,1987,10.3,E
232,Total renewable groundwater,1992,10.3,E
233,Total renewable groundwater,1997,10.3,E
234,Total renewable groundwater,2002,10.3,E
235,Total renewable groundwater,2007,10.3,E
236,Total renewable groundwater,2012,10.3,E
237,Total renewable groundwater,2017,10.3,E
238,Total renewable groundwater,2018,10.3,E
239,Total exploitable water resources,1962,29.0,E
240,Total exploitable water resources,1967,29.0,E
241,Total exploitable water resources,1972,29.0,E
242,Total exploitable water resources,1977,29.0,E
243,Total exploitable water resources,1982,29.0,E
244,Total exploitable water resources,1987,29.0,E
245,Total exploitable water resources,1992,29.0,E
246,Total exploitable water resources,1997,29.0,E
247,Total exploitable water resources,2002,29.0,E
248,Total exploitable water resources,2007,29.0,E
249,Total exploitable water resources,2012,29.0,E
250,Total exploitable water resources,2017,29.0,E
251,Total exploitable water resources,2018,29.0,E
252,Water resources: total external renewable,1962,10.4,E
253,Water resources: total external renewable,1967,10.4,E
254,Water resources: total external renewable,1972,10.4,E
255,Water resources: total external renewable,1977,10.4,E
256,Water resources: total external renewable,1982,10.4,E
257,Water resources: total external renewable,1987,10.4,E
258,Water resources: total external renewable,1992,10.4,E
259,Water resources: total external renewable,1997,10.4,E
260,Water resources: total external renewable,2002,10.4,E
261,Water resources: total external renewable,2007,10.4,E
262,Water resources: total external renewable,2012,10.4,E
263,Water resources: total external renewable,2017,10.4,E
264,Water resources: total external renewable,2018,10.4,E
265,Total renewable water resources,1962,68.4,E
266,Total renewable water resources,1967,68.4,E
267,Total renewable water resources,1972,68.4,E
268,Total renewable water resources,1977,68.4,E
269,Total renewable water resources,1982,68.4,E
270,Total renewable water resources,1987,68.4,E
271,Total renewable water resources,1992,68.4,E
272,Total renewable water resources,1997,68.4,E
273,Total renewable water resources,2002,68.4,E
274,Total renewable water resources,2007,68.4,E
275,Total renewable water resources,2012,68.4,E
276,Total renewable water resources,2017,68.4,E
277,Total renewable water resources,2018,68.4,E
278,Total renewable water resources per capita,1962,8190.7486452035,E
279,Total renewable water resources per capita,1967,8020.6096835963,E
280,Total renewable water resources per capita,1972,7795.3035347599,E
281,Total renewable water resources per capita,1977,7390.6172440388,E
282,Total renewable water resources per capita,1982,6981.8509642253,E
283,Total renewable water resources per capita,1987,6801.0321262264,E
284,Total renewable water resources per capita,1992,6564.1507543591,E
285,Total renewable water resources per capita,1997,6271.6292124787,E
286,Total renewable water resources per capita,2002,6116.8068658474,E
287,Total renewable water resources per capita,2007,6150.8811137195,E
288,Total renewable water resources per capita,2012,6344.4213845958,E
289,Total renewable water resources per capita,2017,6471.4814867377,E
290,Total renewable water resources per capita,2018,6500.5132934546,E
291,Total agricultural water managed area,1992,1199.0,I
292,Total agricultural water managed area,1997,1277.0,E
293,Total agricultural water managed area,2002,1455.0,I
294,Total agricultural water managed area,2003,1522.0,E
295,Area equipped for irrigation: total,1992,1199.0,I
296,Area equipped for irrigation: total,1997,1277.0,E
297,Area equipped for irrigation: total,2002,1455.0,I
298,Area equipped for irrigation: total,2003,1522.0,E
299,% of agricultural GVA produced by irrigated agriculture,1992,38.3070497199,E
300,% of agricultural GVA produced by irrigated agriculture,1997,43.1710709435,E
301,% of agricultural GVA produced by irrigated agriculture,2002,46.1144946267,E
302,% of agricultural GVA produced by irrigated agriculture,2007,48.454705717,E
303,% of agricultural GVA produced by irrigated agriculture,2012,48.7139970547,E
304,% of agricultural GVA produced by irrigated agriculture,2017,53.9830733614,E
305,% of agricultural GVA produced by irrigated agriculture,2018,53.9625934216,E
307,Ratio between rainfed and irrigated yields,1966,1.778,I
308,Ratio between rainfed and irrigated yields,1971,1.778,I
309,Ratio between rainfed and irrigated yields,1976,1.778,I
310,Ratio between rainfed and irrigated yields,1981,1.778,I
311,Ratio between rainfed and irrigated yields,1986,1.778,I
312,Ratio between rainfed and irrigated yields,1991,1.778,I
313,Ratio between rainfed and irrigated yields,1996,1.778,I
314,Ratio between rainfed and irrigated yields,2001,1.778,I
315,Ratio between rainfed and irrigated yields,2007,1.778,I
316,Ratio between rainfed and irrigated yields,2011,1.778,I
317,Ratio between rainfed and irrigated yields,2017,1.778,I
318,Ratio between rainfed and irrigated yields,2018,1.778,I
319,Agricultural water withdrawal as % of total renewable water resources,1972,4.2184210526,I
320,Agricultural water withdrawal as % of total renewable water resources,1977,5.6018286513,E
321,Agricultural water withdrawal as % of total renewable water resources,1982,6.3875382986,E
322,Agricultural water withdrawal as % of total renewable water resources,1987,8.5380116959,I
323,Agricultural water withdrawal as % of total renewable water resources,1992,11.5497076023,E
324,Agricultural water withdrawal as % of total renewable water resources,1997,11.1111111111,E
325,Agricultural water withdrawal as % of total renewable water resources,2002,12.3099415205,E
326,Agricultural water withdrawal as % of total renewable water resources,2007,12.365497076,E
327,Agricultural water withdrawal as % of total renewable water resources,2012,12.1096491228,E
328,Agricultural water withdrawal as % of total renewable water resources,2016,11.8523391813,E
329,Agricultural water withdrawal as % of total renewable water resources,2018,11.8523391813,E
330,Agricultural water withdrawal,1972,2.8854,I
331,Agricultural water withdrawal,1977,3.8316507975,I
332,Agricultural water withdrawal,1982,4.3690761963,I
333,Agricultural water withdrawal,1987,5.84,I
334,Agricultural water withdrawal,1991,7.8,I
335,Agricultural water withdrawal,1996,7.6,I
336,Agricultural water withdrawal,2001,8.941,X
337,Agricultural water withdrawal,2006,8.455,X
338,Agricultural water withdrawal,2012,8.283,X
339,Agricultural water withdrawal,2015,8.283,X
340,Irrigation water requirement,2007,5.441,E
341,Irrigation water requirement,2012,5.441,I
342,Irrigation water requirement,2017,5.441,I
343,Irrigation water requirement,2018,5.441,I
344,Irrigation water withdrawal,1972,2.8854,I
345,Irrigation water withdrawal,1977,3.7808,I
346,Irrigation water withdrawal,1982,4.2928,I
347,Irrigation water withdrawal,1987,5.84,I
348,Irrigation water withdrawal,1991,7.8,I
349,Irrigation water withdrawal,1996,7.6,I
350,Irrigation water withdrawal,2001,8.941,X
351,Irrigation water withdrawal,2006,8.455,X
352,Irrigation water withdrawal,2012,7.868,I
353,Irrigation water withdrawal,2017,7.868,I
354,Irrigation water withdrawal,2018,7.868,I
355,Municipal water withdrawal,1977,0.6268220684,I
356,Municipal water withdrawal,1982,0.6761331026,I
357,Municipal water withdrawal,1987,0.6902333333,I
358,Municipal water withdrawal,1992,0.7758166667,I
359,Municipal water withdrawal,1997,0.8614,X
360,Municipal water withdrawal,2002,0.8658375,I
361,Municipal water withdrawal,2007,0.8462,X
362,Municipal water withdrawal,2012,1.526,E
363,Municipal water withdrawal,2015,1.499,E
364,Industrial water withdrawal,1977,0.1230071341,I
365,Industrial water withdrawal,1982,0.1771907012,I
366,Industrial water withdrawal,1987,0.2389833333,I
367,Industrial water withdrawal,1992,0.2364416667,I
368,Industrial water withdrawal,1997,0.2339,X
369,Industrial water withdrawal,2002,0.2344833333,I
370,Industrial water withdrawal,2006,0.20575,I
371,Industrial water withdrawal,2012,0.126,X
372,Industrial water withdrawal,2015,0.126,X
373,Total water withdrawal,1972,4.26272,I
374,Total water withdrawal,1977,4.58148,I
375,Total water withdrawal,1982,5.2224,I
376,Total water withdrawal,1987,6.7692166667,E
377,Total water withdrawal,1992,8.038,X
378,Total water withdrawal,1997,8.695,X
379,Total water withdrawal,2002,9.259,X
380,Total water withdrawal,2007,9.6297,E
381,Total water withdrawal,2012,9.935,E
382,Total water withdrawal,2015,9.908,E
383,Fresh surface water withdrawal,1972,3.1734918289,I
384,Fresh surface water withdrawal,1977,3.2939377433,I
385,Fresh surface water withdrawal,1982,3.585467992,I
386,Fresh surface water withdrawal,1987,4.5962019881,I
387,Fresh surface water withdrawal,1992,5.024,X
388,Fresh surface water withdrawal,1997,5.4283951232,I
389,Fresh surface water withdrawal,2002,5.7727872605,I
390,Fresh surface water withdrawal,2007,6.0126116945,I
391,Fresh surface water withdrawal,2012,4.32,X
392,Fresh surface water withdrawal,2015,4.297,X
393,Fresh groundwater withdrawal,1972,1.0892281711,I
394,Fresh groundwater withdrawal,1977,1.2835422567,I
395,Fresh groundwater withdrawal,1982,1.626932008,I
396,Fresh groundwater withdrawal,1987,1.8361980119,I
397,Fresh groundwater withdrawal,1992,3.014,X
398,Fresh groundwater withdrawal,1997,3.2566048768,I
399,Fresh groundwater withdrawal,2002,3.4632127395,I
400,Fresh groundwater withdrawal,2007,3.6070883055,I
401,Fresh groundwater withdrawal,2012,5.615,X
402,Fresh groundwater withdrawal,2015,5.611,X
403,Total freshwater withdrawal,1972,4.26272,I
404,Total freshwater withdrawal,1977,4.57748,I
405,Total freshwater withdrawal,1982,5.2124,I
406,Total freshwater withdrawal,1987,6.4324,I
407,Total freshwater withdrawal,1992,8.038,E
408,Total freshwater withdrawal,1997,8.685,E
409,Total freshwater withdrawal,2002,9.236,E
410,Total freshwater withdrawal,2007,9.6197,E
411,Total freshwater withdrawal,2012,9.935,X
412,Total freshwater withdrawal,2015,9.908,X
413,Desalinated water produced,1982,0.01,I
414,Desalinated water produced,1987,0.01,I
415,Desalinated water produced,1992,0.01,I
416,Desalinated water produced,1997,0.01,E
417,Desalinated water produced,2002,0.01,I
418,Desalinated water produced,2007,0.01,E
419,Desalinated water produced,2012,0.01,I
420,Desalinated water produced,2017,0.01,I
421,Desalinated water produced,2018,0.01,I
422,Direct use of treated municipal wastewater,2002,0.023,OF
423,Direct use of treated municipal wastewater,2007,0.071,I
424,Direct use of treated municipal wastewater,2012,0.104,I
425,Direct use of treated municipal wastewater,2017,0.104,I
426,Direct use of treated municipal wastewater,2018,0.104,I
428,Collected municipal wastewater,2012,0.568,I
429,Collected municipal wastewater,2017,0.568,I
430,Collected municipal wastewater,2018,0.568,I
431,Not treated municipal wastewater,2007,0.002,OF
432,Not treated municipal wastewater,2012,0.002,I
433,Not treated municipal wastewater,2017,0.002,I
434,Not treated municipal wastewater,2018,0.002,I
435,Treated municipal wastewater,2006,0.55725,I
436,Treated municipal wastewater,2012,0.566,I
437,Treated municipal wastewater,2017,0.566,I
438,Treated municipal wastewater,2018,0.566,I
439,Treated municipal wastewater discharged (secondary water),2007,0.504,I
440,Treated municipal wastewater discharged (secondary water),2012,0.504,I
441,Treated municipal wastewater discharged (secondary water),2017,0.504,I
442,Treated municipal wastewater discharged (secondary water),2018,0.504,I
455,SDG 6.4.2. Water Stress,1972,8.6237507586,E
456,SDG 6.4.2. Water Stress,1977,9.2605300425,E
457,SDG 6.4.2. Water Stress,1982,10.5450131499,E
458,SDG 6.4.2. Water Stress,1987,13.013149909,E
459,SDG 6.4.2. Water Stress,1992,16.2613797289,E
460,SDG 6.4.2. Water Stress,1997,17.5703014364,E
461,SDG 6.4.2. Water Stress,2002,18.6850091038,E
462,SDG 6.4.2. Water Stress,2007,19.4612583451,E
463,SDG 6.4.2. Water Stress,2012,20.0991300829,E
464,SDG 6.4.2. Water Stress,2016,20.5057657293,E
465,SDG 6.4.2. Water Stress,2018,20.4774428485,E
466,SDG 6.4.1. Water Use Efficiency,2015,17.1782330993,E
467,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.4794144532,E
468,SDG 6.4.1. Industrial Water Use Efficiency,2015,170.4122510476,E
469,SDG 6.4.1. Services Water Use Efficiency,2015,96.5703802535,E
470,Harvested irrigated temporary crop area: Wheat,1992,38.5533333333,I
471,Harvested irrigated temporary crop area: Wheat,1997,25.52,X
472,Harvested irrigated temporary crop area: Wheat,2002,29.68,I
473,Harvested irrigated temporary crop area: Wheat,2007,31.532,I
474,Harvested irrigated temporary crop area: Wheat,2012,31.0,I
475,Harvested irrigated temporary crop area: Wheat,2017,31.0,I
476,Harvested irrigated temporary crop area: Wheat,2018,31.0,I
477,Harvested irrigated temporary crop area: Rice,2012,21.7,I
478,Harvested irrigated temporary crop area: Rice,2017,21.7,I
479,Harvested irrigated temporary crop area: Rice,2018,21.7,I
480,Harvested irrigated temporary crop area: Maize,1992,172.8666666667,I
481,Harvested irrigated temporary crop area: Maize,1997,195.6,X
482,Harvested irrigated temporary crop area: Maize,2002,202.4333333333,I
483,Harvested irrigated temporary crop area: Maize,2007,197.76,I
484,Harvested irrigated temporary crop area: Maize,2012,192.9,I
485,Harvested irrigated temporary crop area: Maize,2017,192.9,I
486,Harvested irrigated temporary crop area: Maize,2018,192.9,I
487,Harvested irrigated temporary crop area: Other cereals,2012,31.0,I
488,Harvested irrigated temporary crop area: Other cereals,2017,31.0,I
489,Harvested irrigated temporary crop area: Other cereals,2018,31.0,I
490,Harvested irrigated temporary crop area: Potatoes,1992,18.6866666667,I
491,Harvested irrigated temporary crop area: Potatoes,1997,18.36,X
492,Harvested irrigated temporary crop area: Potatoes,2002,19.5366666667,I
493,Harvested irrigated temporary crop area: Potatoes,2007,19.314,I
494,Harvested irrigated temporary crop area: Potatoes,2012,19.2,I
495,Harvested irrigated temporary crop area: Potatoes,2017,19.2,I
496,Harvested irrigated temporary crop area: Potatoes,2018,19.2,I
497,Harvested irrigated temporary crop area: Sugar beet,1992,35.39,I
498,Harvested irrigated temporary crop area: Sugar beet,1997,43.28,X
499,Harvested irrigated temporary crop area: Sugar beet,2002,34.46,I
500,Harvested irrigated temporary crop area: Sugar beet,2007,33.93,I
501,Harvested irrigated temporary crop area: Sugar beet,2012,33.6,I
502,Harvested irrigated temporary crop area: Sugar beet,2017,33.6,I
503,Harvested irrigated temporary crop area: Sugar beet,2018,33.6,I
504,Harvested irrigated temporary crop area: Leguminous crops,2012,18.9,I
505,Harvested irrigated temporary crop area: Leguminous crops,2017,18.9,I
506,Harvested irrigated temporary crop area: Leguminous crops,2018,18.9,I
507,Harvested irrigated temporary crop area: Vegetables,2012,95.7,I
508,Harvested irrigated temporary crop area: Vegetables,2017,95.7,I
509,Harvested irrigated temporary crop area: Vegetables,2018,95.7,I
510,Harvested irrigated permanent crop area: Citrus,1992,47.7766666667,I
511,Harvested irrigated permanent crop area: Citrus,1997,46.15,X
512,Harvested irrigated permanent crop area: Citrus,2002,49.9933333333,I
513,Harvested irrigated permanent crop area: Citrus,2007,49.204,I
514,Harvested irrigated permanent crop area: Citrus,2012,48.6,I
515,Harvested irrigated permanent crop area: Citrus,2017,48.6,I
516,Harvested irrigated permanent crop area: Citrus,2018,48.6,I
517,Harvested irrigated temporary crop area: Tobacco,2012,24.4,I
518,Harvested irrigated temporary crop area: Tobacco,2017,24.4,I
519,Harvested irrigated temporary crop area: Tobacco,2018,24.4,I
520,Harvested irrigated temporary crop area: Cotton,2012,161.2,I
521,Harvested irrigated temporary crop area: Cotton,2017,161.2,I
522,Harvested irrigated temporary crop area: Cotton,2018,161.2,I
523,Harvested irrigated temporary crop area: Fodder,1992,25.9766666667,I
524,Harvested irrigated temporary crop area: Fodder,1996,21.865,I
525,Harvested irrigated temporary crop area: Fodder,2002,30.29,I
526,Harvested irrigated temporary crop area: Fodder,2007,32.602,I
527,Harvested irrigated temporary crop area: Fodder,2012,32.6,I
528,Harvested irrigated temporary crop area: Fodder,2017,32.6,I
529,Harvested irrigated temporary crop area: Fodder,2018,32.6,I
530,Harvested irrigated temporary crop area: Soybeans,1992,0.32,I
531,Harvested irrigated temporary crop area: Soybeans,1997,0.09,X
532,Harvested irrigated temporary crop area: Soybeans,2002,0.0666666667,I
533,Harvested irrigated temporary crop area: Soybeans,2007,0.08,I
534,Harvested irrigated temporary crop area: Soybeans,2012,0.08,I
535,Harvested irrigated temporary crop area: Soybeans,2017,0.08,I
536,Harvested irrigated temporary crop area: Soybeans,2018,0.08,I
537,Harvested irrigated temporary crop area: Sunflower,1992,3.0466666667,I
538,Harvested irrigated temporary crop area: Sunflower,1997,2.23,X
539,Harvested irrigated temporary crop area: Sunflower,2002,2.2233333333,I
540,Harvested irrigated temporary crop area: Sunflower,2007,1.32,I
541,Harvested irrigated temporary crop area: Sunflower,2012,1.32,I
542,Harvested irrigated temporary crop area: Sunflower,2017,1.32,I
543,Harvested irrigated temporary crop area: Sunflower,2018,1.32,I
544,Harvested irrigated permanent crop area: Other crops,1992,88.8433333333,I
545,Harvested irrigated permanent crop area: Other crops,1997,86.85,X
546,Harvested irrigated permanent crop area: Other crops,2002,88.4033333333,I
547,Harvested irrigated permanent crop area: Other crops,2007,130.294,I
548,Harvested irrigated permanent crop area: Other crops,2012,140.0,I
549,Harvested irrigated permanent crop area: Other crops,2017,140.0,I
550,Harvested irrigated permanent crop area: Other crops,2018,140.0,I
