Cyprus,Variable Name,Year,Value,Symbol
48,Rural population,2012,371.602,X
49,Rural population,2017,391.192,X
50,Rural population,2018,394.652,X
51,Urban population,1962,211.861,X
52,Urban population,1967,231.852,X
53,Urban population,1972,262.547,X
54,Urban population,1977,345.031,X
55,Urban population,1982,435.527,X
56,Urban population,1987,473.991,X
57,Urban population,1992,541.192,X
58,Urban population,1997,608.531,X
59,Urban population,2002,671.119,X
60,Urban population,2007,723.135,X
61,Urban population,2012,763.46,X
62,Urban population,2017,788.359,X
63,Urban population,2018,794.433,X
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.1452,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.1366666667,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.1239,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.1239,I
68,Gross Domestic Product (GDP),1972,877439595.0,X
69,Gross Domestic Product (GDP),1977,1162791345.0,X
70,Gross Domestic Product (GDP),1982,2418151587.0,X
71,Gross Domestic Product (GDP),1987,4151750014.0,X
72,Gross Domestic Product (GDP),1992,7742005288.0,X
73,Gross Domestic Product (GDP),1997,9536405414.0,X
74,Gross Domestic Product (GDP),2002,11383256502.0,X
75,Gross Domestic Product (GDP),2007,24051825587.0,X
76,Gross Domestic Product (GDP),2012,24978748334.0,X
77,Gross Domestic Product (GDP),2017,22638471872.0,X
78,Gross Domestic Product (GDP),2018,24962780237.0,X
79,GDP per capita,1972,1397.192358,X
80,GDP per capita,1977,2337.269034,X
81,GDP per capita,1982,4643.148208,X
82,GDP per capita,1987,7500.903368,X
83,GDP per capita,1992,12679.340465,X
84,GDP per capita,1997,14224.948409,X
85,GDP per capita,2002,16041.793267,X
86,GDP per capita,2007,31353.202656,X
87,GDP per capita,2012,28912.42884,X
88,GDP per capita,2017,26473.007605,X
89,GDP per capita,2018,28956.958277,X
90,"Agriculture, value added (% GDP)",1972,15.579644,X
91,"Agriculture, value added (% GDP)",1977,12.672074,X
92,"Agriculture, value added (% GDP)",1982,8.890395,X
93,"Agriculture, value added (% GDP)",1987,7.125636,X
94,"Agriculture, value added (% GDP)",1992,5.489592,X
95,"Agriculture, value added (% GDP)",1997,3.920749,X
96,"Agriculture, value added (% GDP)",2002,3.787994,X
97,"Agriculture, value added (% GDP)",2007,2.023801,X
98,"Agriculture, value added (% GDP)",2012,2.007119,X
99,"Agriculture, value added (% GDP)",2017,2.020489,X
100,"Agriculture, value added (% GDP)",2018,2.024809,X
101,Prevalence of undernourishment (3-year average),2001,3.5,X
102,Prevalence of undernourishment (3-year average),2017,7.3,X
103,Prevalence of undernourishment (3-year average),2018,7.1,X
104,Total population with access to safe drinking-water (JMP),1992,100.0,X
105,Total population with access to safe drinking-water (JMP),1997,100.0,X
106,Total population with access to safe drinking-water (JMP),2002,100.0,X
107,Total population with access to safe drinking-water (JMP),2007,100.0,X
108,Total population with access to safe drinking-water (JMP),2012,100.0,X
109,Total population with access to safe drinking-water (JMP),2017,100.0,I
110,Total population with access to safe drinking-water (JMP),2018,100.0,I
111,Long-term average annual precipitation in volume,1962,4.6065,E
112,Long-term average annual precipitation in volume,1967,4.6065,E
113,Long-term average annual precipitation in volume,1972,4.6065,E
114,Long-term average annual precipitation in volume,1977,4.6065,E
115,Long-term average annual precipitation in volume,1982,4.6065,E
116,Long-term average annual precipitation in volume,1987,4.6065,E
117,Long-term average annual precipitation in volume,1992,4.6065,E
118,Long-term average annual precipitation in volume,1997,4.6065,E
119,Long-term average annual precipitation in volume,2002,4.6065,E
120,Long-term average annual precipitation in volume,2007,4.6065,E
121,Long-term average annual precipitation in volume,2012,4.6065,E
122,Long-term average annual precipitation in volume,2017,4.6065,E
123,Long-term average annual precipitation in volume,2018,4.6065,E
124,Flood occurrence (WRI),2017,0.0,I
125,Flood occurrence (WRI),2018,0.0,I
126,Surface water: entering the country (total),1962,0.0,OF
127,Surface water: entering the country (total),1967,0.0,OF
128,Surface water: entering the country (total),1972,0.0,OF
129,Surface water: entering the country (total),1977,0.0,OF
130,Surface water: entering the country (total),1982,0.0,OF
131,Surface water: entering the country (total),1987,0.0,OF
132,Surface water: entering the country (total),1992,0.0,OF
133,Surface water: entering the country (total),1997,0.0,OF
134,Surface water: entering the country (total),2002,0.0,OF
135,Surface water: entering the country (total),2007,0.0,OF
136,Surface water: entering the country (total),2012,0.0,OF
137,Surface water: entering the country (total),2017,0.0,OF
138,Surface water: leaving the country to other countries (total),1962,0.0,OF
139,Surface water: leaving the country to other countries (total),1967,0.0,OF
140,Surface water: leaving the country to other countries (total),1972,0.0,OF
141,Surface water: leaving the country to other countries (total),1977,0.0,OF
142,Surface water: leaving the country to other countries (total),1982,0.0,OF
143,Surface water: leaving the country to other countries (total),1987,0.0,OF
144,Surface water: leaving the country to other countries (total),1992,0.0,OF
145,Surface water: leaving the country to other countries (total),1997,0.0,OF
146,Surface water: leaving the country to other countries (total),2002,0.0,OF
147,Surface water: leaving the country to other countries (total),2007,0.0,OF
148,Surface water: leaving the country to other countries (total),2012,0.0,OF
149,Surface water: leaving the country to other countries (total),2017,0.0,OF
150,Groundwater: entering the country (total),1962,0.0,E
151,Groundwater: entering the country (total),1967,0.0,E
152,Groundwater: entering the country (total),1972,0.0,E
153,Groundwater: entering the country (total),1977,0.0,E
154,Groundwater: entering the country (total),1982,0.0,E
155,Groundwater: entering the country (total),1987,0.0,E
156,Groundwater: entering the country (total),1992,0.0,E
157,Groundwater: entering the country (total),1997,0.0,E
158,Groundwater: entering the country (total),2002,0.0,E
159,Groundwater: entering the country (total),2007,0.0,E
160,Groundwater: entering the country (total),2012,0.0,E
161,Groundwater: entering the country (total),2017,0.0,E
162,Groundwater: leaving the country to other countries (total),1962,0.0,OF
163,Groundwater: leaving the country to other countries (total),1967,0.0,OF
164,Groundwater: leaving the country to other countries (total),1972,0.0,OF
165,Groundwater: leaving the country to other countries (total),1977,0.0,OF
166,Groundwater: leaving the country to other countries (total),1982,0.0,OF
167,Groundwater: leaving the country to other countries (total),1987,0.0,OF
168,Groundwater: leaving the country to other countries (total),1992,0.0,OF
169,Groundwater: leaving the country to other countries (total),1997,0.0,OF
170,Groundwater: leaving the country to other countries (total),2002,0.0,OF
171,Groundwater: leaving the country to other countries (total),2007,0.0,OF
172,Groundwater: leaving the country to other countries (total),2012,0.0,OF
173,Groundwater: leaving the country to other countries (total),2017,0.0,OF
174,Dependency ratio,1962,0.0,E
175,Dependency ratio,1967,0.0,E
176,Dependency ratio,1972,0.0,E
177,Dependency ratio,1977,0.0,E
178,Dependency ratio,1982,0.0,E
179,Dependency ratio,1987,0.0,E
180,Dependency ratio,1992,0.0,E
181,Dependency ratio,1997,0.0,E
182,Dependency ratio,2002,0.0,E
183,Dependency ratio,2007,0.0,E
184,Dependency ratio,2012,0.0,E
185,Dependency ratio,2017,0.0,E
186,Dependency ratio,2018,0.0,E
187,Total internal renewable water resources (IRWR),1962,0.78,E
188,Total internal renewable water resources (IRWR),1967,0.78,E
189,Total internal renewable water resources (IRWR),1972,0.78,E
190,Total internal renewable water resources (IRWR),1977,0.78,E
191,Total internal renewable water resources (IRWR),1982,0.78,E
192,Total internal renewable water resources (IRWR),1987,0.78,E
193,Total internal renewable water resources (IRWR),1992,0.78,E
194,Total internal renewable water resources (IRWR),1997,0.78,E
195,Total internal renewable water resources (IRWR),2002,0.78,E
196,Total internal renewable water resources (IRWR),2007,0.78,E
197,Total internal renewable water resources (IRWR),2012,0.78,E
198,Total internal renewable water resources (IRWR),2017,0.78,E
199,Total internal renewable water resources (IRWR),2018,0.78,E
200,Total internal renewable water resources per capita,1962,1350.2027900729,E
201,Total internal renewable water resources per capita,1967,1319.1094996178,E
202,Total internal renewable water resources per capita,1972,1242.0421721088,E
203,Total internal renewable water resources per capita,1977,1172.0070620938,E
204,Total internal renewable water resources per capita,1982,1127.6532379551,E
205,Total internal renewable water resources per capita,1987,1078.2774103647,E
206,Total internal renewable water resources per capita,1992,974.2559120472,E
207,Total internal renewable water resources per capita,1997,875.234237368,E
208,Total internal renewable water resources per capita,2002,798.3917524085,E
209,Total internal renewable water resources per capita,2007,733.2804995332,E
210,Total internal renewable water resources per capita,2012,687.1968184549,E
211,Total internal renewable water resources per capita,2017,661.1973775895,E
212,Total internal renewable water resources per capita,2018,655.86727937,E
213,Total renewable surface water,1962,0.56,E
214,Total renewable surface water,1967,0.56,E
215,Total renewable surface water,1972,0.56,E
216,Total renewable surface water,1977,0.56,E
217,Total renewable surface water,1982,0.56,E
218,Total renewable surface water,1987,0.56,E
219,Total renewable surface water,1992,0.56,E
220,Total renewable surface water,1997,0.56,E
221,Total renewable surface water,2002,0.56,E
222,Total renewable surface water,2007,0.56,E
223,Total renewable surface water,2012,0.56,E
224,Total renewable surface water,2017,0.56,E
225,Total renewable surface water,2018,0.56,E
226,Total renewable groundwater,1962,0.41,E
227,Total renewable groundwater,1967,0.41,E
228,Total renewable groundwater,1972,0.41,E
229,Total renewable groundwater,1977,0.41,E
230,Total renewable groundwater,1982,0.41,E
231,Total renewable groundwater,1987,0.41,E
232,Total renewable groundwater,1992,0.41,E
233,Total renewable groundwater,1997,0.41,E
234,Total renewable groundwater,2002,0.41,E
235,Total renewable groundwater,2007,0.41,E
236,Total renewable groundwater,2012,0.41,E
237,Total renewable groundwater,2017,0.41,E
238,Total renewable groundwater,2018,0.41,E
239,Total exploitable water resources,1962,0.54,E
240,Total exploitable water resources,1967,0.54,E
241,Total exploitable water resources,1972,0.54,E
242,Total exploitable water resources,1977,0.54,E
243,Total exploitable water resources,1982,0.54,E
244,Total exploitable water resources,1987,0.54,E
245,Total exploitable water resources,1992,0.54,E
246,Total exploitable water resources,1997,0.54,E
247,Total exploitable water resources,2002,0.54,E
248,Total exploitable water resources,2007,0.54,E
249,Total exploitable water resources,2012,0.54,E
250,Total exploitable water resources,2017,0.54,E
251,Total exploitable water resources,2018,0.54,E
252,Water resources: total external renewable,1962,0.0,E
253,Water resources: total external renewable,1967,0.0,E
254,Water resources: total external renewable,1972,0.0,E
255,Water resources: total external renewable,1977,0.0,E
256,Water resources: total external renewable,1982,0.0,E
257,Water resources: total external renewable,1987,0.0,E
258,Water resources: total external renewable,1992,0.0,E
259,Water resources: total external renewable,1997,0.0,E
260,Water resources: total external renewable,2002,0.0,E
261,Water resources: total external renewable,2007,0.0,E
262,Water resources: total external renewable,2012,0.0,E
263,Water resources: total external renewable,2017,0.0,E
264,Water resources: total external renewable,2018,0.0,E
265,Total renewable water resources,1962,0.78,E
266,Total renewable water resources,1967,0.78,E
267,Total renewable water resources,1972,0.78,E
268,Total renewable water resources,1977,0.78,E
269,Total renewable water resources,1982,0.78,E
270,Total renewable water resources,1987,0.78,E
271,Total renewable water resources,1992,0.78,E
272,Total renewable water resources,1997,0.78,E
273,Total renewable water resources,2002,0.78,E
274,Total renewable water resources,2007,0.78,E
275,Total renewable water resources,2012,0.78,E
276,Total renewable water resources,2017,0.78,E
277,Total renewable water resources,2018,0.78,E
278,Total renewable water resources per capita,1962,1350.2027900729,E
279,Total renewable water resources per capita,1967,1319.1094996178,E
280,Total renewable water resources per capita,1972,1242.0421721088,E
281,Total renewable water resources per capita,1977,1172.0070620938,E
282,Total renewable water resources per capita,1982,1127.6532379551,E
283,Total renewable water resources per capita,1987,1078.2774103647,E
284,Total renewable water resources per capita,1992,974.2559120472,E
285,Total renewable water resources per capita,1997,875.234237368,E
286,Total renewable water resources per capita,2002,798.3917524085,E
287,Total renewable water resources per capita,2007,733.2804995332,E
288,Total renewable water resources per capita,2012,687.1968184549,E
289,Total renewable water resources per capita,2017,661.1973775895,E
290,Total renewable water resources per capita,2018,655.86727937,E
291,Total agricultural water managed area,1977,27.6788,I
292,Total agricultural water managed area,1982,29.7083,I
293,Total agricultural water managed area,1987,32.8411111111,E
294,Total agricultural water managed area,1992,37.6288888889,E
295,Total agricultural water managed area,1997,44.2777272727,E
296,Total agricultural water managed area,2002,51.5122727273,E
297,Total agricultural water managed area,2004,54.4060909091,E
298,Area equipped for irrigation: total,1977,27.6788,I
299,Area equipped for irrigation: total,1982,29.7083,I
300,Area equipped for irrigation: total,1987,32.8411111111,E
301,Area equipped for irrigation: total,1992,37.6288888889,E
302,Area equipped for irrigation: total,1997,44.2777272727,E
303,Area equipped for irrigation: total,2002,51.5122727273,E
304,Area equipped for irrigation: total,2004,54.4060909091,E
305,% of agricultural GVA produced by irrigated agriculture,1997,35.5322385621,E
306,% of agricultural GVA produced by irrigated agriculture,2002,35.1016569629,E
307,% of agricultural GVA produced by irrigated agriculture,2007,32.9411324666,E
308,% of agricultural GVA produced by irrigated agriculture,2012,33.4605871599,E
309,% of agricultural GVA produced by irrigated agriculture,2014,32.9391773191,E
311,Ratio between rainfed and irrigated yields,1966,1.778,I
312,Ratio between rainfed and irrigated yields,1971,1.778,I
313,Ratio between rainfed and irrigated yields,1976,1.778,I
314,Ratio between rainfed and irrigated yields,1981,1.778,I
315,Ratio between rainfed and irrigated yields,1986,1.778,I
316,Ratio between rainfed and irrigated yields,1991,1.778,I
317,Ratio between rainfed and irrigated yields,1996,1.778,I
318,Ratio between rainfed and irrigated yields,2001,1.778,I
319,Ratio between rainfed and irrigated yields,2007,1.778,I
320,Ratio between rainfed and irrigated yields,2011,1.778,I
321,Ratio between rainfed and irrigated yields,2017,1.778,I
322,Ratio between rainfed and irrigated yields,2018,1.778,I
323,Agricultural water withdrawal as % of total renewable water resources,1977,17.1794871795,I
324,Agricultural water withdrawal as % of total renewable water resources,1982,18.7179487179,I
325,Agricultural water withdrawal as % of total renewable water resources,1987,20.4358974359,I
326,Agricultural water withdrawal as % of total renewable water resources,1992,20.4273504274,I
327,Agricultural water withdrawal as % of total renewable water resources,1997,19.1721611722,I
328,Agricultural water withdrawal as % of total renewable water resources,2002,20.5897435897,E
329,Agricultural water withdrawal as % of total renewable water resources,2007,18.3333333333,E
330,Agricultural water withdrawal as % of total renewable water resources,2012,21.9230769231,E
331,Agricultural water withdrawal as % of total renewable water resources,2017,23.5897435897,E
332,Agricultural water withdrawal,1977,0.134,I
333,Agricultural water withdrawal,1982,0.146,I
334,Agricultural water withdrawal,1987,0.1594,I
335,Agricultural water withdrawal,1992,0.1593333333,I
336,Agricultural water withdrawal,1997,0.1495428571,I
337,Agricultural water withdrawal,2001,0.1391,X
338,Agricultural water withdrawal,2006,0.1532,X
339,Agricultural water withdrawal,2011,0.1646,X
340,Agricultural water withdrawal,2017,0.184,OF
341,Irrigation water requirement,2012,0.0921,I
342,Irrigation water requirement,2017,0.0921,I
343,Irrigation water requirement,2018,0.0921,I
344,Irrigation water withdrawal,2001,0.1385,X
345,Irrigation water withdrawal,2006,0.1522,X
346,Irrigation water withdrawal,2011,0.16,I
347,Irrigation water withdrawal,2016,0.199,OF
348,Municipal water withdrawal,1977,0.0298,I
349,Municipal water withdrawal,1982,0.0402,I
350,Municipal water withdrawal,1987,0.049,I
351,Municipal water withdrawal,1992,0.0516666667,I
352,Municipal water withdrawal,1997,0.0478857143,I
353,Municipal water withdrawal,2002,0.0461,X
354,Municipal water withdrawal,2007,0.0656,X
355,Municipal water withdrawal,2012,0.0788,X
356,Municipal water withdrawal,2017,0.11,OF
357,Industrial water withdrawal,1977,0.0,I
358,Industrial water withdrawal,1982,0.0,I
359,Industrial water withdrawal,1987,0.002,I
360,Industrial water withdrawal,1992,0.005,I
361,Industrial water withdrawal,1997,0.0041428571,I
362,Industrial water withdrawal,2002,0.0047857143,I
363,Industrial water withdrawal,2007,0.008,E
364,Industrial water withdrawal,2012,0.0042,I
365,Industrial water withdrawal,2017,0.017,E
366,Industrial water withdrawal,2018,0.017,I
367,Total water withdrawal,1977,0.1638,I
368,Total water withdrawal,1982,0.1862,I
369,Total water withdrawal,1987,0.2104,I
370,Total water withdrawal,1992,0.216,I
371,Total water withdrawal,1997,0.2015714286,I
372,Total water withdrawal,2002,0.2114857143,E
373,Total water withdrawal,2007,0.2166,E
374,Total water withdrawal,2012,0.254,E
375,Total water withdrawal,2014,0.278,E
376,Fresh surface water withdrawal,2006,0.02042,I
377,Fresh surface water withdrawal,2012,0.1003,X
378,Fresh surface water withdrawal,2017,0.061,OF
379,Fresh groundwater withdrawal,2002,0.145,X
380,Fresh groundwater withdrawal,2007,0.145,X
381,Fresh groundwater withdrawal,2012,0.155,X
382,Fresh groundwater withdrawal,2017,0.155,OF
383,Total freshwater withdrawal,1977,0.1638,I
384,Total freshwater withdrawal,1982,0.1862,I
385,Total freshwater withdrawal,1987,0.2104,E
386,Total freshwater withdrawal,1992,0.213,I
387,Total freshwater withdrawal,1997,0.1811428571,I
388,Total freshwater withdrawal,2002,0.1707,E
389,Total freshwater withdrawal,2007,0.1641,E
390,Total freshwater withdrawal,2012,0.2553,X
391,Total freshwater withdrawal,2017,0.216,OF
392,Desalinated water produced,1992,0.003,I
393,Desalinated water produced,1997,0.0204285714,I
394,Desalinated water produced,2002,0.0335,I
395,Desalinated water produced,2007,0.0335,E
396,Desalinated water produced,2012,0.0335,I
397,Desalinated water produced,2016,0.069,OF
398,Direct use of treated municipal wastewater,2002,0.0093333333,I
399,Direct use of treated municipal wastewater,2007,0.019,OF
400,Direct use of treated municipal wastewater,2012,0.0173142857,I
401,Direct use of treated municipal wastewater,2017,0.0154,OF
404,Collected municipal wastewater,2009,0.0225,I
405,Not treated municipal wastewater,2007,0.004,I
406,Not treated municipal wastewater,2012,0.004,I
407,Not treated municipal wastewater,2017,0.004,I
408,Not treated municipal wastewater,2018,0.004,I
409,Treated municipal wastewater,2007,0.02,OF
410,Treated municipal wastewater,2012,0.02555,I
411,Treated municipal wastewater,2017,0.0302,OF
413,Treated municipal wastewater discharged (secondary water),2012,0.0,I
414,Treated municipal wastewater discharged (secondary water),2017,0.0,I
415,Treated municipal wastewater discharged (secondary water),2018,0.0,I
428,SDG 6.4.2. Water Stress,1977,22.3892837616,E
429,SDG 6.4.2. Water Stress,1982,25.4510661564,E
430,SDG 6.4.2. Water Stress,1987,28.7588846364,E
431,SDG 6.4.2. Water Stress,1992,29.1142700929,E
432,SDG 6.4.2. Water Stress,1997,24.7598219167,E
433,SDG 6.4.2. Water Stress,2002,23.3324220886,E
434,SDG 6.4.2. Water Stress,2007,22.4302897758,E
435,SDG 6.4.2. Water Stress,2012,34.8961180973,E
436,SDG 6.4.2. Water Stress,2017,29.5243302351,E
437,SDG 6.4.2. Water Stress,2018,28.2941498086,E
438,SDG 6.4.1. Water Use Efficiency,1997,58.374600544,I
439,SDG 6.4.1. Water Use Efficiency,2002,69.2083325663,I
440,SDG 6.4.1. Water Use Efficiency,2005,70.9528105896,I
441,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,1.2218780123,E
442,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,1.38231357,E
443,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2005,0.9270623567,E
444,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2018,0.9446917568,E
445,SDG 6.4.1. Industrial Water Use Efficiency,1987,880.4292159318,E
446,SDG 6.4.1. Industrial Water Use Efficiency,1992,460.7995305243,E
447,SDG 6.4.1. Industrial Water Use Efficiency,1997,569.5612318772,E
448,SDG 6.4.1. Industrial Water Use Efficiency,2002,558.1630052646,E
449,SDG 6.4.1. Industrial Water Use Efficiency,2005,453.7376567527,E
450,SDG 6.4.1. Industrial Water Use Efficiency,2016,454.9133199752,E
451,SDG 6.4.1. Services Water Use Efficiency,1977,78.8126000518,E
452,SDG 6.4.1. Services Water Use Efficiency,1982,86.3239386298,E
453,SDG 6.4.1. Services Water Use Efficiency,1987,102.3235746079,E
454,SDG 6.4.1. Services Water Use Efficiency,1992,139.8377257779,E
455,SDG 6.4.1. Services Water Use Efficiency,1997,192.6319323981,E
456,SDG 6.4.1. Services Water Use Efficiency,2002,254.7367770044,E
457,SDG 6.4.1. Services Water Use Efficiency,2005,234.5123738107,E
458,SDG 6.4.1. Services Water Use Efficiency,2016,143.3566178499,E
459,Harvested irrigated temporary crop area: Wheat,1997,0.488,I
460,Harvested irrigated temporary crop area: Wheat,2002,0.5813333333,I
461,Harvested irrigated temporary crop area: Wheat,2007,0.6,I
462,Harvested irrigated temporary crop area: Wheat,2012,0.6,I
463,Harvested irrigated temporary crop area: Wheat,2017,0.6,I
464,Harvested irrigated temporary crop area: Wheat,2018,0.6,I
465,Harvested irrigated temporary crop area: Barley,1997,2.4,I
466,Harvested irrigated temporary crop area: Barley,2002,2.4,I
467,Harvested irrigated temporary crop area: Barley,2007,2.4,I
468,Harvested irrigated temporary crop area: Barley,2012,2.4,I
469,Harvested irrigated temporary crop area: Barley,2017,2.4,I
470,Harvested irrigated temporary crop area: Barley,2018,2.4,I
471,Harvested irrigated temporary crop area: Maize,2007,0.02,I
472,Harvested irrigated temporary crop area: Maize,2012,0.02,I
473,Harvested irrigated temporary crop area: Maize,2017,0.02,I
474,Harvested irrigated temporary crop area: Maize,2018,0.02,I
475,Harvested irrigated temporary crop area: Other cereals,1997,0.5911428571,I
476,Harvested irrigated temporary crop area: Other cereals,2002,1.5497142857,I
477,Harvested irrigated temporary crop area: Other cereals,2007,2.5082857143,I
478,Harvested irrigated temporary crop area: Other cereals,2012,2.7,I
479,Harvested irrigated temporary crop area: Other cereals,2017,2.7,I
480,Harvested irrigated temporary crop area: Other cereals,2018,2.7,I
481,Harvested irrigated temporary crop area: Potatoes,2007,5.51,I
482,Harvested irrigated temporary crop area: Potatoes,2012,5.51,I
483,Harvested irrigated temporary crop area: Potatoes,2017,5.51,I
484,Harvested irrigated temporary crop area: Potatoes,2018,5.51,I
485,Harvested irrigated temporary crop area: Other roots and tubers,1997,7.4792857143,I
486,Harvested irrigated temporary crop area: Other roots and tubers,2002,7.2614285714,I
487,Harvested irrigated temporary crop area: Other roots and tubers,2007,7.0435714286,I
488,Harvested irrigated temporary crop area: Other roots and tubers,2012,7.0,I
489,Harvested irrigated temporary crop area: Other roots and tubers,2017,7.0,I
490,Harvested irrigated temporary crop area: Other roots and tubers,2018,7.0,I
491,Harvested irrigated temporary crop area: Sugar beet,2007,0.0,I
492,Harvested irrigated temporary crop area: Sugar beet,2012,0.0,I
493,Harvested irrigated temporary crop area: Sugar beet,2017,0.0,I
494,Harvested irrigated temporary crop area: Sugar beet,2018,0.0,I
495,Harvested irrigated temporary crop area: Leguminous crops,1997,1.1021428571,I
496,Harvested irrigated temporary crop area: Leguminous crops,2002,1.0557142857,I
497,Harvested irrigated temporary crop area: Leguminous crops,2007,1.0092857143,I
498,Harvested irrigated temporary crop area: Leguminous crops,2012,1.0,I
499,Harvested irrigated temporary crop area: Leguminous crops,2017,1.0,I
500,Harvested irrigated temporary crop area: Leguminous crops,2018,1.0,I
501,Harvested irrigated temporary crop area: Vegetables,1997,4.0237142857,I
502,Harvested irrigated temporary crop area: Vegetables,2002,4.8765714286,I
503,Harvested irrigated temporary crop area: Vegetables,2007,5.7294285714,I
504,Harvested irrigated temporary crop area: Vegetables,2012,5.9,I
505,Harvested irrigated temporary crop area: Vegetables,2017,5.9,I
506,Harvested irrigated temporary crop area: Vegetables,2018,5.9,I
507,Harvested irrigated permanent crop area: Citrus,2007,4.86,I
508,Harvested irrigated permanent crop area: Citrus,2012,4.86,I
509,Harvested irrigated permanent crop area: Citrus,2017,4.86,I
510,Harvested irrigated permanent crop area: Citrus,2018,4.86,I
511,Harvested irrigated temporary crop area: Fodder,2007,1.42,I
512,Harvested irrigated temporary crop area: Fodder,2012,1.42,I
513,Harvested irrigated temporary crop area: Fodder,2017,1.42,I
514,Harvested irrigated temporary crop area: Fodder,2018,1.42,I
515,Harvested irrigated permanent crop area: Oil palm,1997,0.606,I
516,Harvested irrigated permanent crop area: Oil palm,2002,0.606,I
517,Harvested irrigated permanent crop area: Oil palm,2007,0.606,I
518,Harvested irrigated permanent crop area: Oil palm,2012,0.606,I
519,Harvested irrigated permanent crop area: Oil palm,2017,0.606,I
520,Harvested irrigated permanent crop area: Oil palm,2018,0.606,I
521,Harvested irrigated temporary crop area: Soybeans,2007,0.0,I
522,Harvested irrigated temporary crop area: Soybeans,2012,0.0,I
523,Harvested irrigated temporary crop area: Soybeans,2017,0.0,I
524,Harvested irrigated temporary crop area: Soybeans,2018,0.0,I
525,Harvested irrigated temporary crop area: Sunflower,2007,0.0,I
526,Harvested irrigated temporary crop area: Sunflower,2012,0.0,I
527,Harvested irrigated temporary crop area: Sunflower,2017,0.0,I
528,Harvested irrigated temporary crop area: Sunflower,2018,0.0,I
529,Harvested irrigated temporary crop area: Flowers,1997,0.065,I
530,Harvested irrigated temporary crop area: Flowers,2002,0.065,I
531,Harvested irrigated temporary crop area: Flowers,2007,0.065,I
532,Harvested irrigated temporary crop area: Flowers,2012,0.065,I
533,Harvested irrigated temporary crop area: Flowers,2017,0.065,I
534,Harvested irrigated temporary crop area: Flowers,2018,0.065,I
535,Harvested irrigated temporary crop area: Other crops,1997,2.267,I
536,Harvested irrigated temporary crop area: Other crops,2002,2.267,I
537,Harvested irrigated temporary crop area: Other crops,2007,2.267,I
538,Harvested irrigated temporary crop area: Other crops,2012,2.267,I
539,Harvested irrigated temporary crop area: Other crops,2017,2.267,I
540,Harvested irrigated temporary crop area: Other crops,2018,2.267,I
541,Harvested irrigated permanent crop area: Other crops,1997,12.3533333333,I
542,Harvested irrigated permanent crop area: Other crops,2002,6.2922222222,I
543,Harvested irrigated permanent crop area: Other crops,2007,12.776,I
544,Harvested irrigated permanent crop area: Other crops,2012,14.7,I
545,Harvested irrigated permanent crop area: Other crops,2017,14.7,I
546,Harvested irrigated permanent crop area: Other crops,2018,14.7,I
