United Kingdom of Great Britain and Northern Ireland,Variable Name,Year,Value,Symbol
268,Total renewable water resources per capita,1967,2679.2288355594,E
269,Total renewable water resources per capita,1972,2630.0526128607,E
270,Total renewable water resources per capita,1977,2615.491055332,E
271,Total renewable water resources per capita,1982,2613.7323863775,E
272,Total renewable water resources per capita,1987,2594.5020912216,E
273,Total renewable water resources per capita,1992,2558.9232552282,E
274,Total renewable water resources per capita,1997,2521.1245800334,E
275,Total renewable water resources per capita,2002,2477.8220598104,E
276,Total renewable water resources per capita,2007,2391.9878365954,E
277,Total renewable water resources per capita,2012,2278.1757335788,E
278,Total renewable water resources per capita,2017,2202.9910594081,E
279,Total renewable water resources per capita,2018,2189.399956069,E
280,Total agricultural water managed area,1992,132.3666666667,I
281,Total agricultural water managed area,1997,267.4,E
282,Total agricultural water managed area,2002,148.9866666667,I
283,Total agricultural water managed area,2005,228.0,E
284,Total agricultural water managed area,2017,207.6,I
285,Total agricultural water managed area,2018,207.6,I
286,Area equipped for irrigation: total,1992,132.3666666667,I
287,Area equipped for irrigation: total,1997,267.4,E
288,Area equipped for irrigation: total,2002,148.9866666667,I
289,Area equipped for irrigation: total,2005,228.0,E
290,Area equipped for irrigation: total,2017,207.6,I
291,Area equipped for irrigation: total,2018,207.6,I
292,% of agricultural GVA produced by irrigated agriculture,2007,3.9387485454,E
293,% of agricultural GVA produced by irrigated agriculture,2012,3.8601656336,E
294,% of agricultural GVA produced by irrigated agriculture,2017,3.939009693,E
295,% of agricultural GVA produced by irrigated agriculture,2018,3.9686778231,E
297,Ratio between rainfed and irrigated yields,1966,1.778,I
298,Ratio between rainfed and irrigated yields,1971,1.778,I
299,Ratio between rainfed and irrigated yields,1976,1.778,I
300,Ratio between rainfed and irrigated yields,1981,1.778,I
301,Ratio between rainfed and irrigated yields,1986,1.778,I
302,Ratio between rainfed and irrigated yields,1991,1.778,I
303,Ratio between rainfed and irrigated yields,1996,1.778,I
304,Ratio between rainfed and irrigated yields,2001,1.778,I
305,Ratio between rainfed and irrigated yields,2007,1.778,I
306,Ratio between rainfed and irrigated yields,2011,1.778,I
307,Ratio between rainfed and irrigated yields,2017,1.778,I
308,Ratio between rainfed and irrigated yields,2018,1.778,I
309,Agricultural water withdrawal as % of total renewable water resources,1992,0.741537415,I
310,Agricultural water withdrawal as % of total renewable water resources,1997,1.2344217687,I
311,Agricultural water withdrawal as % of total renewable water resources,2002,0.8897959184,E
312,Agricultural water withdrawal as % of total renewable water resources,2007,0.9047619048,E
313,Agricultural water withdrawal as % of total renewable water resources,2012,0.7136054422,E
314,Agricultural water withdrawal as % of total renewable water resources,2017,0.8047619048,I
315,Agricultural water withdrawal as % of total renewable water resources,2018,0.8047619048,I
316,Agricultural water withdrawal,1992,1.09006,I
317,Agricultural water withdrawal,1997,1.8146,I
318,Agricultural water withdrawal,2001,1.833,X
319,Agricultural water withdrawal,2006,1.44,X
320,Agricultural water withdrawal,2011,0.9901,X
321,Agricultural water withdrawal,2017,1.183,I
322,Agricultural water withdrawal,2018,1.183,I
323,Irrigation water requirement,2012,0.0354,I
324,Irrigation water requirement,2017,0.0354,I
325,Irrigation water requirement,2018,0.0354,I
326,Irrigation water withdrawal,2001,0.0943,X
327,Irrigation water withdrawal,2006,0.1011,X
328,Irrigation water withdrawal,2011,0.1178,X
329,Irrigation water withdrawal,2017,0.084,I
330,Irrigation water withdrawal,2018,0.084,I
331,Municipal water withdrawal,1982,7.0422,I
332,Municipal water withdrawal,1987,7.155,I
333,Municipal water withdrawal,1992,7.185,I
334,Municipal water withdrawal,1997,7.215,I
335,Municipal water withdrawal,2002,7.312,X
336,Municipal water withdrawal,2007,5.99,X
337,Municipal water withdrawal,2012,5.828,X
338,Municipal water withdrawal,2017,6.227,I
339,Municipal water withdrawal,2018,6.227,I
340,Industrial water withdrawal,2002,5.312,I
341,Industrial water withdrawal,2007,1.193,X
342,Industrial water withdrawal,2012,1.122,X
343,Industrial water withdrawal,2017,1.01,I
344,Industrial water withdrawal,2018,1.01,I
345,Total water withdrawal,1982,12.718,I
346,Total water withdrawal,1987,11.738,I
347,Total water withdrawal,1992,12.078,I
348,Total water withdrawal,1997,12.2781818182,I
349,Total water withdrawal,2002,13.932,E
350,Total water withdrawal,2007,8.513,E
351,Total water withdrawal,2012,8.214,X
352,Total water withdrawal,2017,8.42,I
353,Total water withdrawal,2018,8.42,I
354,Fresh surface water withdrawal,1982,10.1856,I
355,Fresh surface water withdrawal,1987,9.1118,I
356,Fresh surface water withdrawal,1992,9.369,I
357,Fresh surface water withdrawal,1997,9.579250097,I
358,Fresh surface water withdrawal,2002,9.8873753395,I
359,Fresh surface water withdrawal,2007,6.6583066998,I
360,Fresh surface water withdrawal,2011,5.526,X
361,Fresh surface water withdrawal,2017,6.38,I
362,Fresh surface water withdrawal,2018,6.38,I
363,Fresh groundwater withdrawal,1982,2.5024,I
364,Fresh groundwater withdrawal,1987,2.5962,I
365,Fresh groundwater withdrawal,1992,2.679,I
366,Fresh groundwater withdrawal,1997,2.6683317212,I
367,Fresh groundwater withdrawal,2002,2.7541610241,I
368,Fresh groundwater withdrawal,2007,1.8546933002,I
369,Fresh groundwater withdrawal,2012,2.046,X
370,Fresh groundwater withdrawal,2017,2.039,I
371,Fresh groundwater withdrawal,2018,2.039,I
372,Total freshwater withdrawal,1982,12.688,I
373,Total freshwater withdrawal,1987,11.708,I
374,Total freshwater withdrawal,1992,12.048,I
375,Total freshwater withdrawal,1997,12.2475818182,I
376,Total freshwater withdrawal,2002,12.6415363636,I
377,Total freshwater withdrawal,2007,8.513,E
378,Total freshwater withdrawal,2012,8.017,E
379,Total freshwater withdrawal,2017,8.419,I
380,Total freshwater withdrawal,2018,8.419,I
381,Desalinated water produced,1982,0.0333,I
382,Desalinated water produced,1987,0.0333,I
383,Desalinated water produced,1992,0.0333,I
384,Desalinated water produced,1997,0.0333,I
385,Desalinated water produced,2002,0.0333,I
386,Desalinated water produced,2007,0.0333,I
387,Desalinated water produced,2012,0.0333,I
388,Desalinated water produced,2017,0.0333,I
389,Desalinated water produced,2018,0.0333,I
390,Direct use of treated municipal wastewater,2012,0.164,I
391,Direct use of treated municipal wastewater,2017,0.164,I
392,Direct use of treated municipal wastewater,2018,0.164,I
394,Produced municipal wastewater,2007,4.0578888889,I
395,Produced municipal wastewater,2012,4.089,I
396,Produced municipal wastewater,2017,4.089,I
397,Produced municipal wastewater,2018,4.089,I
398,Collected municipal wastewater,2007,3.834,I
399,Collected municipal wastewater,2012,4.048,I
400,Collected municipal wastewater,2017,4.048,I
401,Collected municipal wastewater,2018,4.048,I
402,Not treated municipal wastewater,2007,0.029,I
403,Not treated municipal wastewater,2012,0.041,I
404,Not treated municipal wastewater,2017,0.041,I
405,Not treated municipal wastewater,2018,0.041,I
406,Treated municipal wastewater,2007,3.8155,I
407,Treated municipal wastewater,2012,4.048,I
408,Treated municipal wastewater,2017,4.048,I
409,Treated municipal wastewater,2018,4.048,I
410,Treated municipal wastewater discharged (secondary water),2007,3.093,I
411,Treated municipal wastewater discharged (secondary water),2012,3.642,I
412,Treated municipal wastewater discharged (secondary water),2017,3.642,I
413,Treated municipal wastewater discharged (secondary water),2018,3.642,I
414,Not treated municipal wastewater discharged (secondary water),2007,0.0145,I
415,Not treated municipal wastewater discharged (secondary water),2012,0.003,I
416,Not treated municipal wastewater discharged (secondary water),2017,0.003,I
417,Not treated municipal wastewater discharged (secondary water),2018,0.003,I
430,SDG 6.4.2. Water Stress,1982,21.6334185848,E
431,SDG 6.4.2. Water Stress,1987,19.9624893436,E
432,SDG 6.4.2. Water Stress,1992,20.5421994885,E
433,SDG 6.4.2. Water Stress,1997,20.8824924436,E
434,SDG 6.4.2. Water Stress,2002,21.5541966984,E
435,SDG 6.4.2. Water Stress,2007,14.5149190111,E
436,SDG 6.4.2. Water Stress,2012,13.6692242114,E
437,SDG 6.4.2. Water Stress,2017,14.3546462063,E
438,SDG 6.4.2. Water Stress,2018,14.3546462063,E
439,SDG 6.4.1. Water Use Efficiency,2015,317.9110388082,I
440,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.5759500835,E
441,SDG 6.4.1. Industrial Water Use Efficiency,2015,494.8854555141,E
442,SDG 6.4.1. Services Water Use Efficiency,2015,357.0647433747,E
443,Harvested irrigated temporary crop area: Maize,2012,4.34,I
444,Harvested irrigated temporary crop area: Maize,2017,4.34,I
445,Harvested irrigated temporary crop area: Maize,2018,4.34,I
446,Harvested irrigated temporary crop area: Potatoes,2012,72.36,I
447,Harvested irrigated temporary crop area: Potatoes,2017,72.36,I
448,Harvested irrigated temporary crop area: Potatoes,2018,72.36,I
449,Harvested irrigated temporary crop area: Sugar beet,2012,9.12,I
450,Harvested irrigated temporary crop area: Sugar beet,2017,9.12,I
451,Harvested irrigated temporary crop area: Sugar beet,2018,9.12,I
452,Harvested irrigated temporary crop area: Vegetables,2012,36.76,I
453,Harvested irrigated temporary crop area: Vegetables,2017,36.76,I
454,Harvested irrigated temporary crop area: Vegetables,2018,36.76,I
