Romania,Variable Name,Year,Value,Symbol
60,Urban population,2002,11534.955,X
61,Urban population,2007,11240.869,X
62,Urban population,2012,10887.276,X
63,Urban population,2017,10614.303,X
64,Urban population,2018,10573.098,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.3304,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.3236666667,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.333,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.333,I
69,Gross Domestic Product (GDP),1972,17426339852.0,X
70,Gross Domestic Product (GDP),1977,27818123000.0,X
71,Gross Domestic Product (GDP),1982,51601393333.0,X
72,Gross Domestic Product (GDP),1987,61775406334.0,X
73,Gross Domestic Product (GDP),1992,20780920085.0,X
74,Gross Domestic Product (GDP),1997,35838871494.0,X
75,Gross Domestic Product (GDP),2002,46173956896.0,X
76,Gross Domestic Product (GDP),2007,174588782939.0,X
77,Gross Domestic Product (GDP),2012,171196268958.0,X
78,Gross Domestic Product (GDP),2017,211695857898.0,X
79,GDP per capita,1972,829.363475,X
80,GDP per capita,1977,1259.663452,X
81,GDP per capita,1982,2259.026233,X
82,GDP per capita,1987,2649.932146,X
83,GDP per capita,1992,889.085774,X
84,GDP per capita,1997,1583.492258,X
85,GDP per capita,2002,2112.772429,X
86,GDP per capita,2007,8299.48002,X
87,GDP per capita,2012,8487.140188,X
88,GDP per capita,2017,10757.282696,X
89,GDP per capita,2018,12234.103545,X
90,"Agriculture, value added (% GDP)",1972,17.413044,X
91,"Agriculture, value added (% GDP)",1977,13.217479,X
92,"Agriculture, value added (% GDP)",1982,16.857059,X
93,"Agriculture, value added (% GDP)",1987,12.486807,X
94,"Agriculture, value added (% GDP)",1992,17.376687,X
95,"Agriculture, value added (% GDP)",1997,17.381691,X
96,"Agriculture, value added (% GDP)",2002,11.315796,X
97,"Agriculture, value added (% GDP)",2007,5.501501,X
98,"Agriculture, value added (% GDP)",2012,4.674549,X
99,"Agriculture, value added (% GDP)",2017,4.313298,X
100,Total population with access to safe drinking-water (JMP),1992,76.6,X
101,Total population with access to safe drinking-water (JMP),1997,82.0,X
102,Total population with access to safe drinking-water (JMP),2002,87.6,X
103,Total population with access to safe drinking-water (JMP),2007,93.5,X
104,Total population with access to safe drinking-water (JMP),2012,99.0,X
105,Total population with access to safe drinking-water (JMP),2017,100.0,I
106,Total population with access to safe drinking-water (JMP),2018,100.0,I
107,Long-term average annual precipitation in volume,1962,151.85443,E
108,Long-term average annual precipitation in volume,1967,151.85443,E
109,Long-term average annual precipitation in volume,1972,151.85443,E
110,Long-term average annual precipitation in volume,1977,151.85443,E
111,Long-term average annual precipitation in volume,1982,151.85443,E
112,Long-term average annual precipitation in volume,1987,151.85443,E
113,Long-term average annual precipitation in volume,1992,151.85443,E
114,Long-term average annual precipitation in volume,1997,151.85443,E
115,Long-term average annual precipitation in volume,2002,151.85443,E
116,Long-term average annual precipitation in volume,2007,151.85443,E
117,Long-term average annual precipitation in volume,2012,151.85443,E
118,Long-term average annual precipitation in volume,2017,151.8608,E
119,Long-term average annual precipitation in volume,2018,151.8608,E
120,Interannual variability (WRI),2017,1.3,I
121,Interannual variability (WRI),2018,1.3,I
122,Seasonal variability (WRI),2017,0.8,I
123,Seasonal variability (WRI),2018,0.8,I
124,Flood occurrence (WRI),2017,3.7,I
125,Flood occurrence (WRI),2018,3.7,I
126,Surface water: entering the country (total),1962,168.1,OF
127,Surface water: entering the country (total),1967,168.1,OF
128,Surface water: entering the country (total),1972,168.1,OF
129,Surface water: entering the country (total),1977,168.1,OF
130,Surface water: entering the country (total),1982,168.1,OF
131,Surface water: entering the country (total),1987,168.1,OF
132,Surface water: entering the country (total),1992,168.1,OF
133,Surface water: entering the country (total),1997,168.1,OF
134,Surface water: entering the country (total),2002,168.1,OF
135,Surface water: entering the country (total),2007,168.1,OF
136,Surface water: entering the country (total),2012,168.1,OF
137,Surface water: entering the country (total),2017,168.1,OF
138,Surface water: leaving the country to other countries (total),1962,22.5,OF
139,Surface water: leaving the country to other countries (total),1967,22.5,OF
140,Surface water: leaving the country to other countries (total),1972,22.5,OF
141,Surface water: leaving the country to other countries (total),1977,22.5,OF
142,Surface water: leaving the country to other countries (total),1982,22.5,OF
143,Surface water: leaving the country to other countries (total),1987,22.5,OF
144,Surface water: leaving the country to other countries (total),1992,22.5,OF
145,Surface water: leaving the country to other countries (total),1997,22.5,OF
146,Surface water: leaving the country to other countries (total),2002,22.5,OF
147,Surface water: leaving the country to other countries (total),2007,22.5,OF
148,Surface water: leaving the country to other countries (total),2012,22.5,OF
149,Surface water: leaving the country to other countries (total),2017,22.5,OF
150,Groundwater: entering the country (total),1962,0.08,
151,Groundwater: entering the country (total),1967,0.08,
152,Groundwater: entering the country (total),1972,0.08,
153,Groundwater: entering the country (total),1977,0.08,
154,Groundwater: entering the country (total),1982,0.08,
155,Groundwater: entering the country (total),1987,0.08,
156,Groundwater: entering the country (total),1992,0.08,
157,Groundwater: entering the country (total),1997,0.08,
158,Groundwater: entering the country (total),2002,0.08,
159,Groundwater: entering the country (total),2007,0.08,
160,Groundwater: entering the country (total),2012,0.08,
161,Groundwater: entering the country (total),2017,0.08,OF
162,Groundwater: leaving the country to other countries (total),1962,0.0,OF
163,Groundwater: leaving the country to other countries (total),1967,0.0,OF
164,Groundwater: leaving the country to other countries (total),1972,0.0,OF
165,Groundwater: leaving the country to other countries (total),1977,0.0,OF
166,Groundwater: leaving the country to other countries (total),1982,0.0,OF
167,Groundwater: leaving the country to other countries (total),1987,0.0,OF
168,Groundwater: leaving the country to other countries (total),1992,0.0,OF
169,Groundwater: leaving the country to other countries (total),1997,0.0,OF
170,Groundwater: leaving the country to other countries (total),2002,0.0,OF
171,Groundwater: leaving the country to other countries (total),2007,0.0,OF
172,Groundwater: leaving the country to other countries (total),2012,0.0,OF
173,Groundwater: leaving the country to other countries (total),2017,0.0,OF
174,Dependency ratio,1962,80.010376869,E
175,Dependency ratio,1967,80.010376869,E
176,Dependency ratio,1972,80.010376869,E
177,Dependency ratio,1977,80.010376869,E
178,Dependency ratio,1982,80.010376869,E
179,Dependency ratio,1987,80.010376869,E
180,Dependency ratio,1992,80.010376869,E
181,Dependency ratio,1997,80.010376869,E
182,Dependency ratio,2002,80.010376869,E
183,Dependency ratio,2007,80.010376869,E
184,Dependency ratio,2012,80.010376869,E
185,Dependency ratio,2017,80.010376869,E
186,Dependency ratio,2018,80.010376869,E
187,Total internal renewable water resources (IRWR),1962,42.38,E
188,Total internal renewable water resources (IRWR),1967,42.38,E
189,Total internal renewable water resources (IRWR),1972,42.38,E
190,Total internal renewable water resources (IRWR),1977,42.38,E
191,Total internal renewable water resources (IRWR),1982,42.38,E
192,Total internal renewable water resources (IRWR),1987,42.38,E
193,Total internal renewable water resources (IRWR),1992,42.38,E
194,Total internal renewable water resources (IRWR),1997,42.38,E
195,Total internal renewable water resources (IRWR),2002,42.38,E
196,Total internal renewable water resources (IRWR),2007,42.38,E
197,Total internal renewable water resources (IRWR),2012,42.38,E
198,Total internal renewable water resources (IRWR),2017,42.38,E
199,Total internal renewable water resources (IRWR),2018,42.38,E
200,Total internal renewable water resources per capita,1962,2239.4656734247,E
201,Total internal renewable water resources per capita,1967,2139.2571608706,E
202,Total internal renewable water resources per capita,1972,2017.025542216,E
203,Total internal renewable water resources per capita,1977,1918.6979149123,E
204,Total internal renewable water resources per capita,1982,1856.284345969,E
205,Total internal renewable water resources per capita,1987,1819.7901100977,E
206,Total internal renewable water resources per capita,1992,1812.984373341,E
207,Total internal renewable water resources per capita,1997,1872.1062529409,E
208,Total internal renewable water resources per capita,2002,1939.2976054434,E
209,Total internal renewable water resources per capita,2007,2014.8150232937,E
210,Total internal renewable water resources per capita,2012,2095.170681018,E
211,Total internal renewable water resources per capita,2017,2156.3074613581,E
212,Total internal renewable water resources per capita,2018,2172.6521233291,E
213,Total renewable surface water,1962,211.55,E
214,Total renewable surface water,1967,211.55,E
215,Total renewable surface water,1972,211.55,E
216,Total renewable surface water,1977,211.55,E
217,Total renewable surface water,1982,211.55,E
218,Total renewable surface water,1987,211.55,E
219,Total renewable surface water,1992,211.55,E
220,Total renewable surface water,1997,211.55,E
221,Total renewable surface water,2002,211.55,E
222,Total renewable surface water,2007,211.55,E
223,Total renewable surface water,2012,211.55,E
224,Total renewable surface water,2017,211.55,E
225,Total renewable surface water,2018,211.55,E
226,Total renewable groundwater,1962,8.46,E
227,Total renewable groundwater,1967,8.46,E
228,Total renewable groundwater,1972,8.46,E
229,Total renewable groundwater,1977,8.46,E
230,Total renewable groundwater,1982,8.46,E
231,Total renewable groundwater,1987,8.46,E
232,Total renewable groundwater,1992,8.46,E
233,Total renewable groundwater,1997,8.46,E
234,Total renewable groundwater,2002,8.46,E
235,Total renewable groundwater,2007,8.46,E
236,Total renewable groundwater,2012,8.46,E
237,Total renewable groundwater,2017,8.46,E
238,Total renewable groundwater,2018,8.46,E
239,Total exploitable water resources,1962,123.0,E
240,Total exploitable water resources,1967,123.0,E
241,Total exploitable water resources,1972,123.0,E
242,Total exploitable water resources,1977,123.0,E
243,Total exploitable water resources,1982,123.0,E
244,Total exploitable water resources,1987,123.0,E
245,Total exploitable water resources,1992,123.0,E
246,Total exploitable water resources,1997,123.0,E
247,Total exploitable water resources,2002,123.0,E
248,Total exploitable water resources,2007,123.0,E
249,Total exploitable water resources,2012,123.0,E
250,Water resources: total external renewable,1962,169.63,E
251,Water resources: total external renewable,1967,169.63,E
252,Water resources: total external renewable,1972,169.63,E
253,Water resources: total external renewable,1977,169.63,E
254,Water resources: total external renewable,1982,169.63,E
255,Water resources: total external renewable,1987,169.63,E
256,Water resources: total external renewable,1992,169.63,E
257,Water resources: total external renewable,1997,169.63,E
258,Water resources: total external renewable,2002,169.63,E
259,Water resources: total external renewable,2007,169.63,E
260,Water resources: total external renewable,2012,169.63,E
261,Water resources: total external renewable,2017,169.63,E
262,Water resources: total external renewable,2018,169.63,E
263,Total renewable water resources,1962,212.01,E
264,Total renewable water resources,1967,212.01,E
265,Total renewable water resources,1972,212.01,E
266,Total renewable water resources,1977,212.01,E
267,Total renewable water resources,1982,212.01,E
268,Total renewable water resources,1987,212.01,E
269,Total renewable water resources,1992,212.01,E
270,Total renewable water resources,1997,212.01,E
271,Total renewable water resources,2002,212.01,E
272,Total renewable water resources,2007,212.01,E
273,Total renewable water resources,2012,212.01,E
274,Total renewable water resources,2017,212.01,E
275,Total renewable water resources,2018,212.01,E
276,Total renewable water resources per capita,1962,11203.1410434821,E
277,Total renewable water resources per capita,1967,10701.8383831093,E
278,Total renewable water resources per capita,1972,10090.3630298541,E
279,Total renewable water resources per capita,1977,9598.4696776914,E
280,Total renewable water resources per capita,1982,9286.2398345656,E
281,Total renewable water resources per capita,1987,9103.6739320864,E
282,Total renewable water resources per capita,1992,9069.6275835776,E
283,Total renewable water resources per capita,1997,9365.3904361963,E
284,Total renewable water resources per capita,2002,9701.5215981606,E
285,Total renewable water resources per capita,2007,10079.3046976995,E
286,Total renewable water resources per capita,2012,10481.2915545687,E
287,Total renewable water resources per capita,2017,10787.1341406919,E
288,Total renewable water resources per capita,2018,10868.8998741625,E
289,Total agricultural water managed area,1972,1028.38,I
290,Total agricultural water managed area,1977,1804.8,I
291,Total agricultural water managed area,1982,2566.6,I
292,Total agricultural water managed area,1987,2989.0,I
293,Total agricultural water managed area,1992,3097.0,I
294,Total agricultural water managed area,1997,3155.8,E
295,Total agricultural water managed area,2000,3082.0,E
296,Total agricultural water managed area,2006,311.7779265004,E
297,Total agricultural water managed area,2012,128.4019041264,E
298,Area equipped for irrigation: total,1972,1028.38,I
299,Area equipped for irrigation: total,1977,1804.8,I
300,Area equipped for irrigation: total,1982,2566.6,I
301,Area equipped for irrigation: total,1987,2989.0,I
302,Area equipped for irrigation: total,1992,3097.0,I
303,Area equipped for irrigation: total,1997,3155.8,I
304,Area equipped for irrigation: total,2000,3082.0,E
305,Area equipped for irrigation: total,2006,311.7779265004,E
306,Area equipped for irrigation: total,2012,128.4019041264,E
307,% of agricultural GVA produced by irrigated agriculture,2007,3.3255134569,E
308,% of agricultural GVA produced by irrigated agriculture,2012,3.8389335641,E
309,% of agricultural GVA produced by irrigated agriculture,2017,4.6662992415,E
310,% of agricultural GVA produced by irrigated agriculture,2018,4.5821199392,E
312,Ratio between rainfed and irrigated yields,1966,1.778,I
313,Ratio between rainfed and irrigated yields,1971,1.778,I
314,Ratio between rainfed and irrigated yields,1976,1.778,I
315,Ratio between rainfed and irrigated yields,1981,1.778,I
316,Ratio between rainfed and irrigated yields,1986,1.778,I
317,Ratio between rainfed and irrigated yields,1991,1.778,I
318,Ratio between rainfed and irrigated yields,1996,1.778,I
319,Ratio between rainfed and irrigated yields,2001,1.778,I
320,Ratio between rainfed and irrigated yields,2007,1.778,I
321,Ratio between rainfed and irrigated yields,2011,1.778,I
322,Ratio between rainfed and irrigated yields,2017,1.778,I
323,Ratio between rainfed and irrigated yields,2018,1.778,I
324,Agricultural water withdrawal as % of total renewable water resources,1972,2.0470732513,I
325,Agricultural water withdrawal as % of total renewable water resources,1977,2.9083533796,I
326,Agricultural water withdrawal as % of total renewable water resources,1982,3.5234187067,I
327,Agricultural water withdrawal as % of total renewable water resources,1987,4.1196169992,I
328,Agricultural water withdrawal as % of total renewable water resources,1992,4.2450827791,I
329,Agricultural water withdrawal as % of total renewable water resources,1997,1.4055940758,E
330,Agricultural water withdrawal as % of total renewable water resources,2002,0.5622376303,E
331,Agricultural water withdrawal as % of total renewable water resources,2007,0.5183717749,E
332,Agricultural water withdrawal as % of total renewable water resources,2012,0.5155417197,E
333,Agricultural water withdrawal as % of total renewable water resources,2017,0.7032687137,E
334,Agricultural water withdrawal as % of total renewable water resources,2018,0.6730814584,E
335,Agricultural water withdrawal,1972,4.34,I
336,Agricultural water withdrawal,1977,6.166,I
337,Agricultural water withdrawal,1982,7.47,I
338,Agricultural water withdrawal,1987,8.734,I
339,Agricultural water withdrawal,1992,9.0,I
340,Agricultural water withdrawal,1997,2.98,OF
341,Agricultural water withdrawal,2001,1.018,X
342,Agricultural water withdrawal,2006,0.52,OF
343,Agricultural water withdrawal,2011,0.964,X
344,Agricultural water withdrawal,2017,1.491,OF
345,Irrigation water requirement,2007,0.379,E
346,Irrigation water requirement,2012,0.379,I
347,Irrigation water requirement,2017,0.379,I
348,Irrigation water requirement,2018,0.379,I
349,Irrigation water withdrawal,2001,0.751,X
350,Irrigation water withdrawal,2006,0.176,X
351,Irrigation water withdrawal,2011,0.491,I
352,Irrigation water withdrawal,2017,0.441,OF
353,Irrigation water withdrawal,2018,0.441,I
354,Municipal water withdrawal,1972,1.682,I
355,Municipal water withdrawal,1977,2.08,I
356,Municipal water withdrawal,1982,2.388,I
357,Municipal water withdrawal,1987,2.502,I
358,Municipal water withdrawal,1992,2.25,I
359,Municipal water withdrawal,1997,2.05,OF
360,Municipal water withdrawal,2002,1.86,OF
361,Municipal water withdrawal,2007,1.095,I
362,Municipal water withdrawal,2012,1.053,X
363,Municipal water withdrawal,2017,1.048,OF
364,Industrial water withdrawal,1972,5.492,I
365,Industrial water withdrawal,1977,7.914,I
366,Industrial water withdrawal,1982,9.622,I
367,Industrial water withdrawal,1987,9.228,I
368,Industrial water withdrawal,1992,8.8466666667,I
369,Industrial water withdrawal,1997,7.43,OF
370,Industrial water withdrawal,2002,6.17,OF
371,Industrial water withdrawal,2007,4.38,I
372,Industrial water withdrawal,2012,4.336,X
373,Industrial water withdrawal,2017,4.234,OF
374,Total water withdrawal,1972,11.514,I
375,Total water withdrawal,1977,16.16,I
376,Total water withdrawal,1982,19.48,I
377,Total water withdrawal,1987,20.464,I
378,Total water withdrawal,1992,20.0966666667,I
379,Total water withdrawal,1997,12.46,E
380,Total water withdrawal,2002,9.222,E
381,Total water withdrawal,2007,6.884,X
382,Total water withdrawal,2012,6.482,E
383,Total water withdrawal,2014,6.282,E
384,Fresh surface water withdrawal,2007,6.24,X
385,Fresh surface water withdrawal,2012,5.884,X
386,Fresh surface water withdrawal,2017,6.126,OF
387,Fresh groundwater withdrawal,2007,0.644,X
388,Fresh groundwater withdrawal,2012,0.598,X
389,Fresh groundwater withdrawal,2017,0.647,OF
390,Total freshwater withdrawal,1972,11.514,I
391,Total freshwater withdrawal,1977,16.16,I
392,Total freshwater withdrawal,1982,19.48,I
393,Total freshwater withdrawal,1987,20.464,I
394,Total freshwater withdrawal,1992,20.0966666667,I
395,Total freshwater withdrawal,1997,12.46,E
396,Total freshwater withdrawal,2002,9.222,E
397,Total freshwater withdrawal,2007,6.884,E
398,Total freshwater withdrawal,2012,6.482,E
399,Total freshwater withdrawal,2017,6.773,OF
400,Produced municipal wastewater,2007,4.924,
401,Produced municipal wastewater,2012,4.982,
402,Produced municipal wastewater,2017,0.9831,OF
404,Not treated municipal wastewater,2012,5.253,I
405,Not treated municipal wastewater,2017,5.253,I
406,Not treated municipal wastewater,2018,5.253,I
407,Treated municipal wastewater,2012,0.5756,I
408,Treated municipal wastewater,2017,0.907,OF
421,SDG 6.4.2. Water Stress,1972,10.7798895235,E
422,SDG 6.4.2. Water Stress,1977,15.1296695066,E
423,SDG 6.4.2. Water Stress,1982,18.2379926973,E
424,SDG 6.4.2. Water Stress,1987,19.1592547514,E
425,SDG 6.4.2. Water Stress,1992,18.8153418843,E
426,SDG 6.4.2. Water Stress,1997,11.6655743844,E
427,SDG 6.4.2. Water Stress,2002,8.6340230316,E
428,SDG 6.4.2. Water Stress,2007,6.4450894111,E
429,SDG 6.4.2. Water Stress,2012,6.0687201573,E
430,SDG 6.4.2. Water Stress,2017,6.3411665574,E
431,SDG 6.4.2. Water Stress,2018,6.0069281902,E
432,SDG 6.4.1. Water Use Efficiency,2006,22.0553482427,I
433,SDG 6.4.1. Water Use Efficiency,2013,21.4145679965,I
434,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2006,0.533284905,E
435,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.1902161565,E
436,SDG 6.4.1. Industrial Water Use Efficiency,1972,5.1487474555,E
437,SDG 6.4.1. Industrial Water Use Efficiency,1977,6.0782912122,E
438,SDG 6.4.1. Industrial Water Use Efficiency,1982,5.1636984878,E
439,SDG 6.4.1. Industrial Water Use Efficiency,1987,6.7438298366,E
440,SDG 6.4.1. Industrial Water Use Efficiency,1992,3.5715387177,E
441,SDG 6.4.1. Industrial Water Use Efficiency,1997,4.3911785146,E
442,SDG 6.4.1. Industrial Water Use Efficiency,2002,5.4429286961,E
443,SDG 6.4.1. Industrial Water Use Efficiency,2006,11.738027602,E
444,SDG 6.4.1. Industrial Water Use Efficiency,2015,11.2333733088,E
445,SDG 6.4.1. Services Water Use Efficiency,1972,8.5314234237,E
446,SDG 6.4.1. Services Water Use Efficiency,1977,12.5272924029,E
447,SDG 6.4.1. Services Water Use Efficiency,1982,13.2941998045,E
448,SDG 6.4.1. Services Water Use Efficiency,1987,15.133915603,E
449,SDG 6.4.1. Services Water Use Efficiency,1992,19.7993700579,E
450,SDG 6.4.1. Services Water Use Efficiency,1997,21.4769386774,E
451,SDG 6.4.1. Services Water Use Efficiency,2002,29.8063806147,E
452,SDG 6.4.1. Services Water Use Efficiency,2006,69.1132966752,E
453,SDG 6.4.1. Services Water Use Efficiency,2015,99.0922330097,E
454,Area salinized by irrigation,1992,400.0,I
455,Area salinized by irrigation,1997,400.0,I
456,Area salinized by irrigation,2002,400.0,I
457,Area salinized by irrigation,2007,400.0,I
458,Area salinized by irrigation,2012,400.0,I
459,Area salinized by irrigation,2017,400.0,I
460,Area salinized by irrigation,2018,400.0,I
461,Area waterlogged by irrigation,1992,900.0,I
462,Area waterlogged by irrigation,1997,900.0,I
463,Area waterlogged by irrigation,2002,900.0,I
464,Area waterlogged by irrigation,2007,900.0,I
465,Area waterlogged by irrigation,2012,900.0,I
466,Area waterlogged by irrigation,2017,900.0,I
467,Area waterlogged by irrigation,2018,900.0,I
468,Harvested irrigated temporary crop area: Wheat,2007,0.0,I
469,Harvested irrigated temporary crop area: Wheat,2012,0.0,I
470,Harvested irrigated temporary crop area: Wheat,2017,0.0,I
471,Harvested irrigated temporary crop area: Wheat,2018,0.0,I
472,Harvested irrigated temporary crop area: Maize,2007,48.194,I
473,Harvested irrigated temporary crop area: Maize,2012,38.2,I
474,Harvested irrigated temporary crop area: Maize,2017,38.2,I
475,Harvested irrigated temporary crop area: Maize,2018,38.2,I
476,Harvested irrigated temporary crop area: Potatoes,2007,4.072,I
477,Harvested irrigated temporary crop area: Potatoes,2012,3.2,I
478,Harvested irrigated temporary crop area: Potatoes,2017,3.2,I
479,Harvested irrigated temporary crop area: Potatoes,2018,3.2,I
480,Harvested irrigated temporary crop area: Sugar beet,2007,1.69,I
481,Harvested irrigated temporary crop area: Sugar beet,2012,1.69,I
482,Harvested irrigated temporary crop area: Sugar beet,2017,1.69,I
483,Harvested irrigated temporary crop area: Sugar beet,2018,1.69,I
484,Harvested irrigated temporary crop area: Leguminous crops,2012,3.4,I
485,Harvested irrigated temporary crop area: Leguminous crops,2017,3.4,I
486,Harvested irrigated temporary crop area: Leguminous crops,2018,3.4,I
487,Harvested irrigated temporary crop area: Vegetables,2012,20.4,I
488,Harvested irrigated temporary crop area: Vegetables,2017,20.4,I
489,Harvested irrigated temporary crop area: Vegetables,2018,20.4,I
490,Harvested irrigated permanent crop area: Citrus,2007,0.0,I
491,Harvested irrigated permanent crop area: Citrus,2012,0.0,I
492,Harvested irrigated permanent crop area: Citrus,2017,0.0,I
493,Harvested irrigated permanent crop area: Citrus,2018,0.0,I
494,Harvested irrigated temporary crop area: Fodder,2007,19.608,I
495,Harvested irrigated temporary crop area: Fodder,2012,20.4,I
496,Harvested irrigated temporary crop area: Fodder,2017,20.4,I
497,Harvested irrigated temporary crop area: Fodder,2018,20.4,I
498,Harvested irrigated temporary crop area: Soybeans,2007,19.232,I
499,Harvested irrigated temporary crop area: Soybeans,2012,15.2,I
500,Harvested irrigated temporary crop area: Soybeans,2017,15.2,I
501,Harvested irrigated temporary crop area: Soybeans,2018,15.2,I
502,Harvested irrigated temporary crop area: Sunflower,2007,33.056,I
503,Harvested irrigated temporary crop area: Sunflower,2012,26.9,I
504,Harvested irrigated temporary crop area: Sunflower,2017,26.9,I
505,Harvested irrigated temporary crop area: Sunflower,2018,26.9,I
506,Harvested irrigated temporary crop area: Other crops,2012,4.9,I
507,Harvested irrigated temporary crop area: Other crops,2017,4.9,I
508,Harvested irrigated temporary crop area: Other crops,2018,4.9,I
509,Harvested irrigated permanent crop area: Other crops,2007,4.4,I
510,Harvested irrigated permanent crop area: Other crops,2012,4.4,I
511,Harvested irrigated permanent crop area: Other crops,2017,4.4,I
512,Harvested irrigated permanent crop area: Other crops,2018,4.4,I
