Turkey,Variable Name,Year,Value,Symbol
58,Urban population,1997,38142.993,X
59,Urban population,2002,42977.378,X
60,Urban population,2007,48059.328,X
61,Urban population,2012,53670.565,X
62,Urban population,2017,60271.457,X
63,Urban population,2018,61554.688,X
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.4788,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.38,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.3588,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.3588,I
68,Gross Domestic Product (GDP),1962,8922222222.0,X
69,Gross Domestic Product (GDP),1967,15666666667.0,X
70,Gross Domestic Product (GDP),1969,19466666667.0,X
71,GDP per capita,1972,811.001567,X
72,GDP per capita,1977,2038.743916,X
73,GDP per capita,1982,1930.514258,X
74,GDP per capita,1987,2348.217693,X
75,GDP per capita,1992,3928.514581,X
76,GDP per capita,1997,4329.566488,X
77,GDP per capita,2002,3660.005677,X
78,GDP per capita,2007,9709.489709,X
79,GDP per capita,2012,11720.307702,X
80,GDP per capita,2017,10560.02154,X
81,GDP per capita,2018,9416.31547,X
82,"Agriculture, value added (% GDP)",1962,53.88,X
83,"Agriculture, value added (% GDP)",1967,45.87,X
84,"Agriculture, value added (% GDP)",1969,41.97,X
85,"Agriculture, value added to GDP",1962,4711111111.0,X
86,"Agriculture, value added to GDP",1967,6966666667.0,X
87,"Agriculture, value added to GDP",1969,7955555556.0,X
88,Total population with access to safe drinking-water (JMP),1992,87.1,X
89,Total population with access to safe drinking-water (JMP),1997,90.6,X
90,Total population with access to safe drinking-water (JMP),2002,93.8,X
91,Total population with access to safe drinking-water (JMP),2007,96.9,X
92,Total population with access to safe drinking-water (JMP),2012,99.5,X
93,Total population with access to safe drinking-water (JMP),2017,100.0,I
94,Total population with access to safe drinking-water (JMP),2018,100.0,I
95,Long-term average annual precipitation in volume,1962,465.71255,E
96,Long-term average annual precipitation in volume,1967,465.71255,E
97,Long-term average annual precipitation in volume,1972,465.71255,E
98,Long-term average annual precipitation in volume,1977,465.71255,E
99,Long-term average annual precipitation in volume,1982,465.71255,E
100,Long-term average annual precipitation in volume,1987,465.71255,E
101,Long-term average annual precipitation in volume,1992,465.71255,E
102,Long-term average annual precipitation in volume,1997,465.71255,E
103,Long-term average annual precipitation in volume,2002,465.71255,E
104,Long-term average annual precipitation in volume,2007,465.71255,E
105,Long-term average annual precipitation in volume,2012,465.71255,E
106,Long-term average annual precipitation in volume,2017,465.71255,E
107,Long-term average annual precipitation in volume,2018,465.71255,E
108,Interannual variability (WRI),2017,1.5,I
109,Interannual variability (WRI),2018,1.5,I
110,Seasonal variability (WRI),2017,2.6,I
111,Seasonal variability (WRI),2018,2.6,I
112,Flood occurrence (WRI),2017,2.6,I
113,Flood occurrence (WRI),2018,2.6,I
114,Surface water: entering the country (total),1962,1.8,OF
115,Surface water: entering the country (total),1967,1.8,OF
116,Surface water: entering the country (total),1972,1.8,OF
117,Surface water: entering the country (total),1977,1.8,OF
118,Surface water: entering the country (total),1982,1.8,OF
119,Surface water: entering the country (total),1987,1.8,OF
120,Surface water: entering the country (total),1992,1.8,OF
121,Surface water: entering the country (total),1997,1.8,OF
122,Surface water: entering the country (total),2002,1.8,OF
123,Surface water: entering the country (total),2007,1.8,OF
124,Surface water: entering the country (total),2012,1.8,OF
125,Surface water: entering the country (total),2017,1.8,OF
126,Surface water: leaving the country to other countries (total),1962,60.12,OF
127,Surface water: leaving the country to other countries (total),1967,60.12,OF
128,Surface water: leaving the country to other countries (total),1972,60.12,OF
129,Surface water: leaving the country to other countries (total),1977,60.12,OF
130,Surface water: leaving the country to other countries (total),1982,60.12,OF
131,Surface water: leaving the country to other countries (total),1987,60.12,OF
132,Surface water: leaving the country to other countries (total),1992,60.12,OF
133,Surface water: leaving the country to other countries (total),1997,60.12,OF
134,Surface water: leaving the country to other countries (total),2002,60.12,OF
135,Surface water: leaving the country to other countries (total),2007,60.12,OF
136,Surface water: leaving the country to other countries (total),2012,60.12,OF
137,Surface water: leaving the country to other countries (total),2017,60.12,OF
138,Groundwater: entering the country (total),1962,0.0,OF
139,Groundwater: entering the country (total),1967,0.0,OF
140,Groundwater: entering the country (total),1972,0.0,OF
141,Groundwater: entering the country (total),1977,0.0,OF
142,Groundwater: entering the country (total),1982,0.0,OF
143,Groundwater: entering the country (total),1987,0.0,OF
144,Groundwater: entering the country (total),1992,0.0,OF
145,Groundwater: entering the country (total),1997,0.0,OF
146,Groundwater: entering the country (total),2002,0.0,OF
147,Groundwater: entering the country (total),2007,0.0,OF
148,Groundwater: entering the country (total),2012,0.0,OF
149,Groundwater: entering the country (total),2017,0.0,OF
150,Groundwater: leaving the country to other countries (total),1962,11.0,OF
151,Groundwater: leaving the country to other countries (total),1967,11.0,OF
152,Groundwater: leaving the country to other countries (total),1972,11.0,OF
153,Groundwater: leaving the country to other countries (total),1977,11.0,OF
154,Groundwater: leaving the country to other countries (total),1982,11.0,OF
155,Groundwater: leaving the country to other countries (total),1987,11.0,OF
156,Groundwater: leaving the country to other countries (total),1992,11.0,OF
157,Groundwater: leaving the country to other countries (total),1997,11.0,OF
158,Groundwater: leaving the country to other countries (total),2002,11.0,OF
159,Groundwater: leaving the country to other countries (total),2007,11.0,OF
160,Groundwater: leaving the country to other countries (total),2012,11.0,OF
161,Groundwater: leaving the country to other countries (total),2017,11.0,OF
162,Dependency ratio,1962,1.5184381779,E
163,Dependency ratio,1967,1.5184381779,E
164,Dependency ratio,1972,1.5184381779,E
165,Dependency ratio,1977,1.5184381779,E
166,Dependency ratio,1982,1.5184381779,E
167,Dependency ratio,1987,1.5184381779,E
168,Dependency ratio,1992,1.5184381779,E
169,Dependency ratio,1997,1.5184381779,E
170,Dependency ratio,2002,1.5184381779,E
171,Dependency ratio,2007,1.5184381779,E
172,Dependency ratio,2012,1.5184381779,E
173,Dependency ratio,2017,1.5184381779,E
174,Dependency ratio,2018,1.5184381779,E
175,Total internal renewable water resources (IRWR),1962,227.0,E
176,Total internal renewable water resources (IRWR),1967,227.0,E
177,Total internal renewable water resources (IRWR),1972,227.0,E
178,Total internal renewable water resources (IRWR),1977,227.0,E
179,Total internal renewable water resources (IRWR),1982,227.0,E
180,Total internal renewable water resources (IRWR),1987,227.0,E
181,Total internal renewable water resources (IRWR),1992,227.0,E
182,Total internal renewable water resources (IRWR),1997,227.0,E
183,Total internal renewable water resources (IRWR),2002,227.0,E
184,Total internal renewable water resources (IRWR),2007,227.0,E
185,Total internal renewable water resources (IRWR),2012,227.0,E
186,Total internal renewable water resources (IRWR),2017,227.0,E
187,Total internal renewable water resources (IRWR),2018,227.0,E
188,Total internal renewable water resources per capita,1962,7872.9706247674,E
189,Total internal renewable water resources per capita,1967,6989.3483562654,E
190,Total internal renewable water resources per capita,1972,6204.3452774451,E
191,Total internal renewable water resources per capita,1977,5521.9996099571,E
192,Total internal renewable water resources per capita,1982,4932.0580754836,E
193,Total internal renewable water resources per capita,1987,4442.1897341817,E
194,Total internal renewable water resources per capita,1992,4071.8257140924,E
195,Total internal renewable water resources per capita,1997,3759.9858266754,E
196,Total internal renewable water resources per capita,2002,3484.5148696453,E
197,Total internal renewable water resources per capita,2007,3262.3450874717,E
198,Total internal renewable water resources per capita,2012,3040.8145632245,E
199,Total internal renewable water resources per capita,2017,2798.4459379078,E
200,Total internal renewable water resources per capita,2018,2756.8588462038,E
201,Total renewable surface water,1962,171.8,E
202,Total renewable surface water,1967,171.8,E
203,Total renewable surface water,1972,171.8,E
204,Total renewable surface water,1977,171.8,E
205,Total renewable surface water,1982,171.8,E
206,Total renewable surface water,1987,171.8,E
207,Total renewable surface water,1992,171.8,E
208,Total renewable surface water,1997,171.8,E
209,Total renewable surface water,2002,171.8,E
210,Total renewable surface water,2007,171.8,E
211,Total renewable surface water,2012,171.8,E
212,Total renewable surface water,2017,171.8,E
213,Total renewable surface water,2018,171.8,E
214,Total renewable groundwater,1962,67.8,E
215,Total renewable groundwater,1967,67.8,E
216,Total renewable groundwater,1972,67.8,E
217,Total renewable groundwater,1977,67.8,E
218,Total renewable groundwater,1982,67.8,E
219,Total renewable groundwater,1987,67.8,E
220,Total renewable groundwater,1992,67.8,E
221,Total renewable groundwater,1997,67.8,E
222,Total renewable groundwater,2002,67.8,E
223,Total renewable groundwater,2007,67.8,E
224,Total renewable groundwater,2012,67.8,E
225,Total renewable groundwater,2017,67.8,E
226,Total renewable groundwater,2018,67.8,E
227,Total exploitable water resources,1962,112.0,E
228,Total exploitable water resources,1967,112.0,E
229,Total exploitable water resources,1972,112.0,E
230,Total exploitable water resources,1977,112.0,E
231,Total exploitable water resources,1982,112.0,E
232,Total exploitable water resources,1987,112.0,E
233,Total exploitable water resources,1992,112.0,E
234,Total exploitable water resources,1997,112.0,E
235,Total exploitable water resources,2002,112.0,E
236,Total exploitable water resources,2007,112.0,E
237,Total exploitable water resources,2012,112.0,E
238,Total exploitable water resources,2017,112.0,E
239,Total exploitable water resources,2018,112.0,E
240,Water resources: total external renewable,1962,-15.4,E
241,Water resources: total external renewable,1967,-15.4,E
242,Water resources: total external renewable,1972,-15.4,E
243,Water resources: total external renewable,1977,-15.4,E
244,Water resources: total external renewable,1982,-15.4,E
245,Water resources: total external renewable,1987,-15.4,E
246,Water resources: total external renewable,1992,-15.4,E
247,Water resources: total external renewable,1997,-15.4,E
248,Water resources: total external renewable,2002,-15.4,E
249,Water resources: total external renewable,2007,-15.4,E
250,Water resources: total external renewable,2012,-15.4,E
251,Water resources: total external renewable,2017,-15.4,E
252,Water resources: total external renewable,2018,-15.4,E
253,Total renewable water resources,1962,211.6,E
254,Total renewable water resources,1967,211.6,E
255,Total renewable water resources,1972,211.6,E
256,Total renewable water resources,1977,211.6,E
257,Total renewable water resources,1982,211.6,E
258,Total renewable water resources,1987,211.6,E
259,Total renewable water resources,1992,211.6,E
260,Total renewable water resources,1997,211.6,E
261,Total renewable water resources,2002,211.6,E
262,Total renewable water resources,2007,211.6,E
263,Total renewable water resources,2012,211.6,E
264,Total renewable water resources,2017,211.6,E
265,Total renewable water resources,2018,211.6,E
266,Total renewable water resources per capita,1962,7338.8571991224,E
267,Total renewable water resources per capita,1967,6515.1811109505,E
268,Total renewable water resources per capita,1972,5783.4337476096,E
269,Total renewable water resources per capita,1977,5147.379372101,E
270,Total renewable water resources per capita,1982,4597.4603029618,E
271,Total renewable water resources per capita,1987,4140.8253204971,E
272,Total renewable water resources per capita,1992,3795.5873176297,E
273,Total renewable water resources per capita,1997,3504.9030877732,E
274,Total renewable water resources per capita,2002,3248.1204687971,E
275,Total renewable water resources per capita,2007,3041.022997837,E
276,Total renewable water resources per capita,2012,2834.5214166445,E
277,Total renewable water resources per capita,2017,2608.5954205343,E
278,Total renewable water resources per capita,2018,2569.8296557565,E
279,Total agricultural water managed area,1992,4071.093,E
280,Total agricultural water managed area,1997,4358.0716363636,E
281,Total agricultural water managed area,2002,4658.8143636364,E
282,Total agricultural water managed area,2007,5044.3333333333,E
283,Total agricultural water managed area,2012,5353.0,E
284,Total agricultural water managed area,2017,5353.0,E
285,Total agricultural water managed area,2018,5353.0,E
286,Area equipped for irrigation: total,1992,4071.093,E
287,Area equipped for irrigation: total,1997,4358.0716363636,E
288,Area equipped for irrigation: total,2002,4658.8143636364,E
289,Area equipped for irrigation: total,2007,5044.3333333333,E
290,Area equipped for irrigation: total,2012,5353.0,E
291,Area equipped for irrigation: total,2017,5353.0,E
292,Area equipped for irrigation: total,2018,5353.0,E
293,% of agricultural GVA produced by irrigated agriculture,2007,24.6311419224,E
294,% of agricultural GVA produced by irrigated agriculture,2012,25.6577884969,E
295,% of agricultural GVA produced by irrigated agriculture,2016,30.0258946068,E
296,Ratio between rainfed and irrigated yields,1962,1.607,E
297,Ratio between rainfed and irrigated yields,1967,1.607,E
298,Ratio between rainfed and irrigated yields,1972,1.607,E
299,Ratio between rainfed and irrigated yields,1977,1.607,E
300,Ratio between rainfed and irrigated yields,1982,1.607,E
301,Ratio between rainfed and irrigated yields,1987,1.607,E
302,Ratio between rainfed and irrigated yields,1992,1.607,E
303,Ratio between rainfed and irrigated yields,1997,1.607,E
304,Ratio between rainfed and irrigated yields,2002,1.607,E
305,Ratio between rainfed and irrigated yields,2007,1.607,I
306,Ratio between rainfed and irrigated yields,2012,1.607,E
307,Ratio between rainfed and irrigated yields,2017,1.607,I
308,Ratio between rainfed and irrigated yields,2018,1.607,I
309,Agricultural water withdrawal as % of total renewable water resources,1992,10.8223062382,E
310,Agricultural water withdrawal as % of total renewable water resources,1997,13.3624763705,I
311,Agricultural water withdrawal as % of total renewable water resources,2002,14.2879647133,I
312,Agricultural water withdrawal as % of total renewable water resources,2007,15.652173913,I
313,Agricultural water withdrawal as % of total renewable water resources,2012,20.6899810964,E
314,Agricultural water withdrawal as % of total renewable water resources,2017,23.6531190926,E
315,Agricultural water withdrawal as % of total renewable water resources,2018,24.4494328922,E
316,Agricultural water withdrawal,1992,22.9,OF
317,Agricultural water withdrawal,1997,28.275,I
318,Agricultural water withdrawal,2002,30.2333333333,I
319,Agricultural water withdrawal,2007,33.12,I
320,Agricultural water withdrawal,2012,43.78,E
321,Agricultural water withdrawal,2017,50.05,OF
322,Irrigation water requirement,2007,25.14,I
323,Irrigation water requirement,2012,25.14,I
324,Irrigation water requirement,2017,25.14,I
325,Irrigation water requirement,2018,25.14,I
326,Irrigation water withdrawal,2017,42.21,OF
327,Municipal water withdrawal,1992,5.2,OF
328,Municipal water withdrawal,1997,4.4678571429,I
329,Municipal water withdrawal,2002,4.813,OF
330,Municipal water withdrawal,2007,4.8555,I
331,Municipal water withdrawal,2012,4.936,OF
332,Municipal water withdrawal,2014,5.237,OF
333,Industrial water withdrawal,1992,3.5,OF
334,Industrial water withdrawal,1997,2.23125,I
335,Industrial water withdrawal,2002,3.3566666667,I
336,Industrial water withdrawal,2007,1.2915,I
337,Industrial water withdrawal,2012,1.792,OF
338,Industrial water withdrawal,2017,2.898,OF
339,Total water withdrawal,1992,31.6,E
340,Total water withdrawal,1997,34.9741071429,E
341,Total water withdrawal,2002,38.403,E
342,Total water withdrawal,2007,39.267,E
343,Total water withdrawal,2012,50.508,E
344,Total water withdrawal,2014,51.263,E
345,Fresh surface water withdrawal,2002,29.90875,I
346,Fresh surface water withdrawal,2007,29.454625,I
347,Fresh surface water withdrawal,2012,36.95,X
348,Fresh surface water withdrawal,2016,44.55,OF
349,Fresh groundwater withdrawal,2002,9.9695833333,I
350,Fresh groundwater withdrawal,2007,12.015,I
351,Fresh groundwater withdrawal,2012,13.56,X
352,Fresh groundwater withdrawal,2017,15.46,X
353,Total freshwater withdrawal,1992,31.5995,E
354,Total freshwater withdrawal,1997,34.9736071429,E
355,Total freshwater withdrawal,2002,39.8783333333,I
356,Total freshwater withdrawal,2007,41.469625,E
357,Total freshwater withdrawal,2012,50.51,X
358,Total freshwater withdrawal,2015,53.71,E
359,Desalinated water produced,1992,0.0005,E
360,Desalinated water produced,1997,0.0005,I
361,Desalinated water produced,2002,0.0005,I
362,Desalinated water produced,2007,0.0005,I
363,Desalinated water produced,2012,0.0050333333,I
364,Desalinated water produced,2017,0.0085,I
365,Direct use of treated municipal wastewater,2007,0.043,I
366,Direct use of treated municipal wastewater,2012,0.033,I
367,Direct use of treated municipal wastewater,2017,0.035195,I
368,Produced municipal wastewater,1997,2.3575714286,I
369,Produced municipal wastewater,2002,2.497,OF
370,Produced municipal wastewater,2007,3.314,I
371,Produced municipal wastewater,2012,4.073,OF
372,Produced municipal wastewater,2017,4.88972,I
373,Not treated municipal wastewater,1997,1.7887142857,I
374,Not treated municipal wastewater,2000,1.2774285714,I
375,Not treated municipal wastewater,2007,1.1185,I
376,Not treated municipal wastewater,2011,0.8395,I
377,Not treated municipal wastewater,2017,0.814,I
378,Not treated municipal wastewater,2018,0.814,I
379,Treated municipal wastewater,1997,0.5688571429,I
380,Treated municipal wastewater,2002,1.38,OF
381,Treated municipal wastewater,2007,2.1955,I
382,Treated municipal wastewater,2012,3.257,OF
383,Treated municipal wastewater,2017,4.039,I
384,Treated municipal wastewater discharged (secondary water),2007,1.591,I
385,Treated municipal wastewater discharged (secondary water),2012,1.591,I
386,Treated municipal wastewater discharged (secondary water),2017,1.591,I
387,Treated municipal wastewater discharged (secondary water),2018,1.591,I
388,SDG 6.4.2. Water Stress,1992,23.471365966,E
389,SDG 6.4.2. Water Stress,1997,25.9775734553,E
390,SDG 6.4.2. Water Stress,2002,29.6206888014,E
391,SDG 6.4.2. Water Stress,2007,30.8026628537,E
392,SDG 6.4.2. Water Stress,2012,37.5176409418,E
393,SDG 6.4.2. Water Stress,2016,44.2769070787,E
394,SDG 6.4.2. Water Stress,2018,45.3788754364,E
395,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.3136582122,E
396,SDG 6.4.1. Industrial Water Use Efficiency,2015,94.8395963066,E
397,Area salinized by irrigation,2007,1519.0,I
398,Area salinized by irrigation,2012,1519.0,I
399,Area salinized by irrigation,2017,1519.0,I
400,Area salinized by irrigation,2018,1519.0,I
401,Harvested irrigated temporary crop area: Wheat,2007,172.0,I
402,Harvested irrigated temporary crop area: Wheat,2012,172.0,I
403,Harvested irrigated temporary crop area: Wheat,2017,172.0,I
404,Harvested irrigated temporary crop area: Wheat,2018,172.0,I
405,Harvested irrigated temporary crop area: Rice,2007,71.0,I
406,Harvested irrigated temporary crop area: Rice,2012,71.0,I
407,Harvested irrigated temporary crop area: Rice,2017,71.0,I
408,Harvested irrigated temporary crop area: Rice,2018,71.0,I
409,Harvested irrigated temporary crop area: Barley,2007,86.0,I
410,Harvested irrigated temporary crop area: Barley,2012,86.0,I
411,Harvested irrigated temporary crop area: Barley,2017,86.0,I
412,Harvested irrigated temporary crop area: Barley,2018,86.0,I
413,Harvested irrigated temporary crop area: Maize,2007,545.0,I
414,Harvested irrigated temporary crop area: Maize,2012,545.0,I
415,Harvested irrigated temporary crop area: Maize,2017,545.0,I
416,Harvested irrigated temporary crop area: Maize,2018,545.0,I
417,Harvested irrigated temporary crop area: Potatoes,2007,179.0,I
418,Harvested irrigated temporary crop area: Potatoes,2012,179.0,I
419,Harvested irrigated temporary crop area: Potatoes,2017,179.0,I
420,Harvested irrigated temporary crop area: Potatoes,2018,179.0,I
421,Harvested irrigated temporary crop area: Sugar beet,2007,315.0,I
422,Harvested irrigated temporary crop area: Sugar beet,2012,315.0,I
423,Harvested irrigated temporary crop area: Sugar beet,2017,315.0,I
424,Harvested irrigated temporary crop area: Sugar beet,2018,315.0,I
425,Harvested irrigated temporary crop area: Leguminous crops,2007,260.0,I
426,Harvested irrigated temporary crop area: Leguminous crops,2012,260.0,I
427,Harvested irrigated temporary crop area: Leguminous crops,2017,260.0,I
428,Harvested irrigated temporary crop area: Leguminous crops,2018,260.0,I
429,Harvested irrigated temporary crop area: Vegetables,2007,483.0,I
430,Harvested irrigated temporary crop area: Vegetables,2012,483.0,I
431,Harvested irrigated temporary crop area: Vegetables,2017,483.0,I
432,Harvested irrigated temporary crop area: Vegetables,2018,483.0,I
433,Harvested irrigated permanent crop area: Citrus,2007,110.0,I
434,Harvested irrigated permanent crop area: Citrus,2012,110.0,I
435,Harvested irrigated permanent crop area: Citrus,2017,110.0,I
436,Harvested irrigated permanent crop area: Citrus,2018,110.0,I
437,Harvested irrigated temporary crop area: Cotton,2007,640.0,I
438,Harvested irrigated temporary crop area: Cotton,2012,640.0,I
439,Harvested irrigated temporary crop area: Cotton,2017,640.0,I
440,Harvested irrigated temporary crop area: Cotton,2018,640.0,I
441,Harvested irrigated temporary crop area: Groundnuts,2007,24.0,I
442,Harvested irrigated temporary crop area: Groundnuts,2012,24.0,I
443,Harvested irrigated temporary crop area: Groundnuts,2017,24.0,I
444,Harvested irrigated temporary crop area: Groundnuts,2018,24.0,I
445,Harvested irrigated temporary crop area: Sunflower,2007,550.0,I
446,Harvested irrigated temporary crop area: Sunflower,2012,550.0,I
447,Harvested irrigated temporary crop area: Sunflower,2017,550.0,I
448,Harvested irrigated temporary crop area: Sunflower,2018,550.0,I
449,Harvested irrigated temporary crop area: Flowers,2007,17.0,I
450,Harvested irrigated temporary crop area: Flowers,2012,17.0,I
451,Harvested irrigated temporary crop area: Flowers,2017,17.0,I
452,Harvested irrigated temporary crop area: Flowers,2018,17.0,I
453,Harvested irrigated temporary crop area: Other crops,2007,50.0,I
454,Harvested irrigated temporary crop area: Other crops,2012,50.0,I
455,Harvested irrigated temporary crop area: Other crops,2017,50.0,I
456,Harvested irrigated temporary crop area: Other crops,2018,50.0,I
457,Harvested irrigated permanent crop area: Other crops,2007,229.0,I
458,Harvested irrigated permanent crop area: Other crops,2012,229.0,I
459,Harvested irrigated permanent crop area: Other crops,2017,229.0,I
460,Harvested irrigated permanent crop area: Other crops,2018,229.0,I
