Oman,Variable Name,Year,Value,Symbol
84,GDP per capita,1997,6961.739398,X
85,GDP per capita,2002,8629.090353,X
86,GDP per capita,2007,15805.160014,X
87,GDP per capita,2012,22083.382863,X
88,GDP per capita,2017,17099.281186,X
89,GDP per capita,2018,19070.911771,X
90,"Agriculture, value added (% GDP)",1962,61.19,X
91,"Agriculture, value added (% GDP)",1967,36.86,X
92,"Agriculture, value added (% GDP)",1972,12.48276,X
93,"Agriculture, value added (% GDP)",1977,2.802722,X
94,"Agriculture, value added (% GDP)",1982,2.730631,X
95,"Agriculture, value added (% GDP)",1987,3.303447,X
96,"Agriculture, value added (% GDP)",1992,2.443879,X
97,"Agriculture, value added (% GDP)",1997,2.736846,X
98,"Agriculture, value added (% GDP)",2002,2.320375,X
99,"Agriculture, value added (% GDP)",2007,1.377368,X
100,"Agriculture, value added (% GDP)",2012,1.160197,X
101,"Agriculture, value added (% GDP)",2013,1.307696,X
102,"Agriculture, value added to GDP",1967,39491853.0,X
103,"Agriculture, value added to GDP",1969,38636909.0,X
104,Number of people undernourished (3-year average),1992,300.0,X
105,Number of people undernourished (3-year average),1997,400.0,X
106,Number of people undernourished (3-year average),2002,300.0,X
107,Number of people undernourished (3-year average),2006,200.0,X
108,Number of people undernourished (3-year average),2012,300.0,X
109,Number of people undernourished (3-year average),2017,400.0,X
110,Number of people undernourished (3-year average),2018,400.0,X
111,Prevalence of undernourishment (3-year average),1992,18.2,X
112,Prevalence of undernourishment (3-year average),1997,20.7,X
113,Prevalence of undernourishment (3-year average),2001,11.9,X
114,Prevalence of undernourishment (3-year average),2014,6.8,X
115,Total population with access to safe drinking-water (JMP),1992,79.3,X
116,Total population with access to safe drinking-water (JMP),1997,81.8,X
117,Total population with access to safe drinking-water (JMP),2002,85.5,X
118,Total population with access to safe drinking-water (JMP),2007,89.4,X
119,Total population with access to safe drinking-water (JMP),2012,93.3,X
120,Total population with access to safe drinking-water (JMP),2017,93.4,I
121,Total population with access to safe drinking-water (JMP),2018,93.4,I
122,Long-term average annual precipitation in volume,1962,38.6875,E
123,Long-term average annual precipitation in volume,1967,38.6875,E
124,Long-term average annual precipitation in volume,1972,38.6875,E
125,Long-term average annual precipitation in volume,1977,38.6875,E
126,Long-term average annual precipitation in volume,1982,38.6875,E
127,Long-term average annual precipitation in volume,1987,38.6875,E
128,Long-term average annual precipitation in volume,1992,38.6875,E
129,Long-term average annual precipitation in volume,1997,38.6875,E
130,Long-term average annual precipitation in volume,2002,38.6875,E
131,Long-term average annual precipitation in volume,2007,38.6875,E
132,Long-term average annual precipitation in volume,2012,38.6875,E
133,Long-term average annual precipitation in volume,2017,38.6875,E
134,Long-term average annual precipitation in volume,2018,38.6875,E
135,Interannual variability (WRI),2017,3.1,I
136,Interannual variability (WRI),2018,3.1,I
137,Seasonal variability (WRI),2017,0.5,I
138,Seasonal variability (WRI),2018,0.5,I
139,Flood occurrence (WRI),2017,1.9,I
140,Flood occurrence (WRI),2018,1.9,I
141,Surface water: entering the country (total),1962,0.0,OF
142,Surface water: entering the country (total),1967,0.0,OF
143,Surface water: entering the country (total),1972,0.0,OF
144,Surface water: entering the country (total),1977,0.0,OF
145,Surface water: entering the country (total),1982,0.0,OF
146,Surface water: entering the country (total),1987,0.0,OF
147,Surface water: entering the country (total),1992,0.0,OF
148,Surface water: entering the country (total),1997,0.0,OF
149,Surface water: entering the country (total),2002,0.0,OF
150,Surface water: entering the country (total),2007,0.0,OF
151,Surface water: entering the country (total),2012,0.0,OF
152,Surface water: entering the country (total),2017,0.0,OF
153,Groundwater: entering the country (total),1962,0.0,OF
154,Groundwater: entering the country (total),1967,0.0,OF
155,Groundwater: entering the country (total),1972,0.0,OF
156,Groundwater: entering the country (total),1977,0.0,OF
157,Groundwater: entering the country (total),1982,0.0,OF
158,Groundwater: entering the country (total),1987,0.0,OF
159,Groundwater: entering the country (total),1992,0.0,OF
160,Groundwater: entering the country (total),1997,0.0,OF
161,Groundwater: entering the country (total),2002,0.0,OF
162,Groundwater: entering the country (total),2007,0.0,OF
163,Groundwater: entering the country (total),2012,0.0,OF
164,Groundwater: entering the country (total),2017,0.0,OF
165,Dependency ratio,1962,0.0,E
166,Dependency ratio,1967,0.0,E
167,Dependency ratio,1972,0.0,E
168,Dependency ratio,1977,0.0,E
169,Dependency ratio,1982,0.0,E
170,Dependency ratio,1987,0.0,E
171,Dependency ratio,1992,0.0,E
172,Dependency ratio,1997,0.0,E
173,Dependency ratio,2002,0.0,E
174,Dependency ratio,2007,0.0,E
175,Dependency ratio,2012,0.0,E
176,Dependency ratio,2017,0.0,E
177,Dependency ratio,2018,0.0,E
178,Total internal renewable water resources (IRWR),1962,1.4,E
179,Total internal renewable water resources (IRWR),1967,1.4,E
180,Total internal renewable water resources (IRWR),1972,1.4,E
181,Total internal renewable water resources (IRWR),1977,1.4,E
182,Total internal renewable water resources (IRWR),1982,1.4,E
183,Total internal renewable water resources (IRWR),1987,1.4,E
184,Total internal renewable water resources (IRWR),1992,1.4,E
185,Total internal renewable water resources (IRWR),1997,1.4,E
186,Total internal renewable water resources (IRWR),2002,1.4,E
187,Total internal renewable water resources (IRWR),2007,1.4,E
188,Total internal renewable water resources (IRWR),2012,1.4,E
189,Total internal renewable water resources (IRWR),2017,1.4,E
190,Total internal renewable water resources (IRWR),2018,1.4,E
191,Total internal renewable water resources per capita,1962,2418.7013992188,E
192,Total internal renewable water resources per capita,1967,2120.8457933024,E
193,Total internal renewable water resources per capita,1972,1803.2406811098,E
194,Total internal renewable water resources per capita,1977,1431.7797840876,E
195,Total internal renewable water resources per capita,1982,1085.177942053,E
196,Total internal renewable water resources per capita,1987,864.2706204167,E
197,Total internal renewable water resources per capita,1992,705.9031147975,E
198,Total internal renewable water resources per capita,1997,622.2880464689,E
199,Total internal renewable water resources per capita,2002,599.6081988712,E
200,Total internal renewable water resources per capita,2007,526.878717788,E
201,Total internal renewable water resources per capita,2012,400.2253840663,E
202,Total internal renewable water resources per capita,2017,300.0474932318,E
203,Total internal renewable water resources per capita,2018,289.8867019238,E
204,Total renewable surface water,1962,1.05,E
205,Total renewable surface water,1967,1.05,E
206,Total renewable surface water,1972,1.05,E
207,Total renewable surface water,1977,1.05,E
208,Total renewable surface water,1982,1.05,E
209,Total renewable surface water,1987,1.05,E
210,Total renewable surface water,1992,1.05,E
211,Total renewable surface water,1997,1.05,E
212,Total renewable surface water,2002,1.05,E
213,Total renewable surface water,2007,1.05,E
214,Total renewable surface water,2012,1.05,E
215,Total renewable surface water,2017,1.05,E
216,Total renewable surface water,2018,1.05,E
217,Total renewable groundwater,1962,1.3,E
218,Total renewable groundwater,1967,1.3,E
219,Total renewable groundwater,1972,1.3,E
220,Total renewable groundwater,1977,1.3,E
221,Total renewable groundwater,1982,1.3,E
222,Total renewable groundwater,1987,1.3,E
223,Total renewable groundwater,1992,1.3,E
224,Total renewable groundwater,1997,1.3,E
225,Total renewable groundwater,2002,1.3,E
226,Total renewable groundwater,2007,1.3,E
227,Total renewable groundwater,2012,1.3,E
228,Total renewable groundwater,2017,1.3,E
229,Total renewable groundwater,2018,1.3,E
230,Total exploitable water resources,1962,0.0,E
231,Total exploitable water resources,1967,0.0,E
232,Total exploitable water resources,1972,0.0,E
233,Total exploitable water resources,1977,0.0,E
234,Total exploitable water resources,1982,0.0,E
235,Total exploitable water resources,1987,0.0,E
236,Total exploitable water resources,1992,0.0,E
237,Total exploitable water resources,1997,0.0,E
238,Total exploitable water resources,2002,0.0,E
239,Total exploitable water resources,2007,0.0,E
240,Total exploitable water resources,2012,0.0,E
241,Total exploitable water resources,2017,0.0,E
242,Total exploitable water resources,2018,0.0,E
243,Water resources: total external renewable,1962,0.0,E
244,Water resources: total external renewable,1967,0.0,E
245,Water resources: total external renewable,1972,0.0,E
246,Water resources: total external renewable,1977,0.0,E
247,Water resources: total external renewable,1982,0.0,E
248,Water resources: total external renewable,1987,0.0,E
249,Water resources: total external renewable,1992,0.0,E
250,Water resources: total external renewable,1997,0.0,E
251,Water resources: total external renewable,2002,0.0,E
252,Water resources: total external renewable,2007,0.0,E
253,Water resources: total external renewable,2012,0.0,E
254,Water resources: total external renewable,2017,0.0,E
255,Water resources: total external renewable,2018,0.0,E
256,Total renewable water resources,1962,1.4,E
257,Total renewable water resources,1967,1.4,E
258,Total renewable water resources,1972,1.4,E
259,Total renewable water resources,1977,1.4,E
260,Total renewable water resources,1982,1.4,E
261,Total renewable water resources,1987,1.4,E
262,Total renewable water resources,1992,1.4,E
263,Total renewable water resources,1997,1.4,E
264,Total renewable water resources,2002,1.4,E
265,Total renewable water resources,2007,1.4,E
266,Total renewable water resources,2012,1.4,E
267,Total renewable water resources,2017,1.4,E
268,Total renewable water resources,2018,1.4,E
269,Total renewable water resources per capita,1962,2418.7013992188,E
270,Total renewable water resources per capita,1967,2120.8457933024,E
271,Total renewable water resources per capita,1972,1803.2406811098,E
272,Total renewable water resources per capita,1977,1431.7797840876,E
273,Total renewable water resources per capita,1982,1085.177942053,E
274,Total renewable water resources per capita,1987,864.2706204167,E
275,Total renewable water resources per capita,1992,705.9031147975,E
276,Total renewable water resources per capita,1997,622.2880464689,E
277,Total renewable water resources per capita,2002,599.6081988712,E
278,Total renewable water resources per capita,2007,526.878717788,E
279,Total renewable water resources per capita,2012,400.2253840663,E
280,Total renewable water resources per capita,2017,300.0474932318,E
281,Total renewable water resources per capita,2018,289.8867019238,E
282,Total agricultural water managed area,1982,46.048,I
283,Total agricultural water managed area,1987,55.278,I
284,Total agricultural water managed area,1992,60.3033333333,I
285,Total agricultural water managed area,1997,60.5689090909,I
286,Total agricultural water managed area,2002,59.3425454545,I
287,Total agricultural water managed area,2007,67.7014545455,I
288,Total agricultural water managed area,2012,82.4505454545,I
289,Total agricultural water managed area,2014,88.3501818182,I
290,Area equipped for irrigation: total,1982,46.048,I
291,Area equipped for irrigation: total,1987,55.278,I
292,Area equipped for irrigation: total,1992,60.3033333333,I
293,Area equipped for irrigation: total,1997,60.5689090909,I
294,Area equipped for irrigation: total,2002,59.3425454545,I
295,Area equipped for irrigation: total,2007,67.7014545455,I
296,Area equipped for irrigation: total,2012,82.4505454545,I
297,Area equipped for irrigation: total,2016,94.4,E
298,% of agricultural GVA produced by irrigated agriculture,1962,100.0,E
299,% of agricultural GVA produced by irrigated agriculture,1967,100.0,E
300,% of agricultural GVA produced by irrigated agriculture,1972,100.0,E
301,% of agricultural GVA produced by irrigated agriculture,1977,100.0,E
302,% of agricultural GVA produced by irrigated agriculture,1982,100.0,E
303,% of agricultural GVA produced by irrigated agriculture,1987,100.0,E
304,% of agricultural GVA produced by irrigated agriculture,1992,100.0,E
305,% of agricultural GVA produced by irrigated agriculture,1997,100.0,E
306,% of agricultural GVA produced by irrigated agriculture,2002,100.0,E
307,% of agricultural GVA produced by irrigated agriculture,2007,100.0,E
308,% of agricultural GVA produced by irrigated agriculture,2012,100.0,E
309,% of agricultural GVA produced by irrigated agriculture,2017,100.0,I
310,% of agricultural GVA produced by irrigated agriculture,2018,100.0,I
311,Agricultural water withdrawal as % of total renewable water resources,1992,82.6507936508,I
312,Agricultural water withdrawal as % of total renewable water resources,1997,85.9047619048,I
313,Agricultural water withdrawal as % of total renewable water resources,2002,84.9047619048,I
314,Agricultural water withdrawal as % of total renewable water resources,2007,95.9714285714,I
315,Agricultural water withdrawal as % of total renewable water resources,2012,111.65,I
316,Agricultural water withdrawal as % of total renewable water resources,2017,110.5,E
317,Agricultural water withdrawal as % of total renewable water resources,2018,110.5,E
318,Agricultural water withdrawal,1992,1.1571111111,I
319,Agricultural water withdrawal,1997,1.2026666667,I
320,Agricultural water withdrawal,2002,1.1886666667,I
321,Agricultural water withdrawal,2007,1.3436,I
322,Agricultural water withdrawal,2012,1.5631,I
323,Agricultural water withdrawal,2013,1.607,OF
324,Irrigation water requirement,2007,0.721,E
325,Irrigation water requirement,2012,0.721,I
326,Irrigation water requirement,2017,0.721,I
327,Irrigation water requirement,2018,0.721,I
328,Irrigation water withdrawal,2013,1.607,OF
329,Municipal water withdrawal,1992,0.0608888889,I
330,Municipal water withdrawal,1997,0.0853333333,I
331,Municipal water withdrawal,2002,0.1226666667,I
332,Municipal water withdrawal,2007,0.1324,I
333,Municipal water withdrawal,2012,0.1304,I
334,Municipal water withdrawal,2013,0.13,OF
335,Industrial water withdrawal,1992,0.0202222222,I
336,Industrial water withdrawal,1997,0.0263333333,I
337,Industrial water withdrawal,2002,0.0226666667,I
338,Industrial water withdrawal,2007,0.0654,I
339,Industrial water withdrawal,2012,0.1234,I
340,Industrial water withdrawal,2013,0.135,E
341,Total water withdrawal,1992,1.2382222222,I
342,Total water withdrawal,1997,1.3143333333,I
343,Total water withdrawal,2002,1.334,I
344,Total water withdrawal,2007,1.5414,I
345,Total water withdrawal,2012,1.8169,I
346,Total water withdrawal,2013,1.872,E
347,Fresh surface water withdrawal,2007,0.0408,I
348,Fresh surface water withdrawal,2012,0.0918,I
349,Fresh surface water withdrawal,2014,0.102,I
350,Fresh groundwater withdrawal,2007,1.3244,I
351,Fresh groundwater withdrawal,2012,1.4974,I
352,Fresh groundwater withdrawal,2014,1.532,I
353,Total freshwater withdrawal,1992,1.2106313131,E
354,Total freshwater withdrawal,1997,1.2447878788,E
355,Total freshwater withdrawal,2002,1.2565,E
356,Total freshwater withdrawal,2007,1.3652,I
357,Total freshwater withdrawal,2012,1.5892,I
358,Total freshwater withdrawal,2014,1.634,I
359,Desalinated water produced,1997,0.034,I
360,Desalinated water produced,2002,0.034,I
361,Desalinated water produced,2007,0.123375,I
362,Desalinated water produced,2012,0.19525,I
363,Desalinated water produced,2016,0.279,OF
364,Desalinated water produced,2018,0.33,I
365,Direct use of treated municipal wastewater,1992,0.0275909091,I
366,Direct use of treated municipal wastewater,1997,0.0355454545,I
367,Direct use of treated municipal wastewater,2002,0.0435,I
368,Direct use of treated municipal wastewater,2007,0.0514545455,I
369,Direct use of treated municipal wastewater,2012,0.0594090909,I
370,Direct use of treated municipal wastewater,2014,0.061,I
371,Direct use of treated municipal wastewater,2018,0.061,I
372,Produced municipal wastewater,1992,0.06155,I
373,Produced municipal wastewater,1997,0.07932,I
374,Produced municipal wastewater,2002,0.0921176471,I
375,Produced municipal wastewater,2007,0.0974117647,I
376,Produced municipal wastewater,2012,0.1027058824,I
377,Produced municipal wastewater,2016,0.1069411765,I
378,Produced municipal wastewater,2018,0.108,I
379,Collected municipal wastewater,2012,0.080875,I
380,Collected municipal wastewater,2016,0.091375,I
381,Collected municipal wastewater,2018,0.094,I
382,Not treated municipal wastewater,2002,0.0802,I
383,Not treated municipal wastewater,2007,0.0802,I
384,Not treated municipal wastewater,2012,0.0802,I
385,Not treated municipal wastewater,2017,0.0802,I
386,Not treated municipal wastewater,2018,0.0802,I
387,Treated municipal wastewater,2002,0.0188666667,I
388,Treated municipal wastewater,2007,0.03,I
389,Treated municipal wastewater,2012,0.0332857143,I
390,Treated municipal wastewater,2016,0.0818571429,I
391,Treated municipal wastewater,2018,0.094,I
392,SDG 6.4.2. Water Stress,1992,86.4736652237,E
393,SDG 6.4.2. Water Stress,1997,88.9134199134,E
394,SDG 6.4.2. Water Stress,2002,89.75,E
395,SDG 6.4.2. Water Stress,2007,97.5142857143,I
396,SDG 6.4.2. Water Stress,2012,113.5142857143,I
397,SDG 6.4.2. Water Stress,2017,116.7142857143,E
398,SDG 6.4.2. Water Stress,2018,116.7142857143,E
399,Harvested irrigated temporary crop area: Wheat,1997,0.4804727273,I
400,Harvested irrigated temporary crop area: Wheat,2002,0.3310636364,I
401,Harvested irrigated temporary crop area: Wheat,2007,0.3105,OF
402,Harvested irrigated temporary crop area: Wheat,2012,0.3105,I
403,Harvested irrigated temporary crop area: Wheat,2017,0.3105,I
404,Harvested irrigated temporary crop area: Wheat,2018,0.3105,I
405,Harvested irrigated temporary crop area: Barley,1997,1.2374545455,I
406,Harvested irrigated temporary crop area: Barley,2002,1.1592727273,I
407,Harvested irrigated temporary crop area: Barley,2007,1.171,OF
408,Harvested irrigated temporary crop area: Barley,2012,1.171,I
409,Harvested irrigated temporary crop area: Barley,2017,1.171,I
410,Harvested irrigated temporary crop area: Barley,2018,1.171,I
411,Harvested irrigated temporary crop area: Maize,2007,1.6,I
412,Harvested irrigated temporary crop area: Maize,2012,1.6,I
413,Harvested irrigated temporary crop area: Maize,2017,1.6,I
414,Harvested irrigated temporary crop area: Maize,2018,1.6,I
415,Harvested irrigated temporary crop area: Millet,2007,0.001,I
416,Harvested irrigated temporary crop area: Millet,2012,0.001,I
417,Harvested irrigated temporary crop area: Millet,2017,0.001,I
418,Harvested irrigated temporary crop area: Millet,2018,0.001,I
419,Harvested irrigated temporary crop area: Sorghum,2007,2.346,OF
420,Harvested irrigated temporary crop area: Sorghum,2012,2.346,I
421,Harvested irrigated temporary crop area: Sorghum,2017,2.346,I
422,Harvested irrigated temporary crop area: Sorghum,2018,2.346,I
423,Harvested irrigated temporary crop area: Other cereals,1997,2.3898181818,I
424,Harvested irrigated temporary crop area: Other cereals,2002,1.6270909091,I
425,Harvested irrigated temporary crop area: Other cereals,2007,3.256,OF
426,Harvested irrigated temporary crop area: Other cereals,2012,3.256,I
427,Harvested irrigated temporary crop area: Other cereals,2017,3.256,I
428,Harvested irrigated temporary crop area: Other cereals,2018,3.256,I
429,Harvested irrigated temporary crop area: Potatoes,2007,0.3097,OF
430,Harvested irrigated temporary crop area: Potatoes,2012,0.3097,I
431,Harvested irrigated temporary crop area: Potatoes,2017,0.3097,I
432,Harvested irrigated temporary crop area: Potatoes,2018,0.3097,I
433,Harvested irrigated temporary crop area: Sweet potatoes,2007,0.1775,I
434,Harvested irrigated temporary crop area: Sweet potatoes,2012,0.1775,I
435,Harvested irrigated temporary crop area: Sweet potatoes,2017,0.1775,I
436,Harvested irrigated temporary crop area: Sweet potatoes,2018,0.1775,I
437,Harvested irrigated temporary crop area: Cassava,2007,0.0001,I
438,Harvested irrigated temporary crop area: Cassava,2012,0.0001,I
439,Harvested irrigated temporary crop area: Cassava,2017,0.0001,I
440,Harvested irrigated temporary crop area: Cassava,2018,0.0001,I
441,Harvested irrigated temporary crop area: Other roots and tubers,2007,0.001,I
442,Harvested irrigated temporary crop area: Other roots and tubers,2012,0.001,I
443,Harvested irrigated temporary crop area: Other roots and tubers,2017,0.001,I
444,Harvested irrigated temporary crop area: Other roots and tubers,2018,0.001,I
445,Harvested irrigated permanent crop area: Plantains,2007,0.0,I
446,Harvested irrigated permanent crop area: Plantains,2012,0.0,I
447,Harvested irrigated permanent crop area: Plantains,2017,0.0,I
448,Harvested irrigated permanent crop area: Plantains,2018,0.0,I
449,Harvested irrigated temporary crop area: Sugarcane,2007,0.0399,OF
450,Harvested irrigated temporary crop area: Sugarcane,2012,0.0399,I
451,Harvested irrigated temporary crop area: Sugarcane,2017,0.0399,I
452,Harvested irrigated temporary crop area: Sugarcane,2018,0.0399,I
453,Harvested irrigated temporary crop area: Sugar beet,2007,0.006,I
454,Harvested irrigated temporary crop area: Sugar beet,2012,0.006,I
455,Harvested irrigated temporary crop area: Sugar beet,2017,0.006,I
456,Harvested irrigated temporary crop area: Sugar beet,2018,0.006,I
457,Harvested irrigated temporary crop area: Leguminous crops,2007,0.232,I
458,Harvested irrigated temporary crop area: Leguminous crops,2012,0.232,I
459,Harvested irrigated temporary crop area: Leguminous crops,2017,0.232,I
460,Harvested irrigated temporary crop area: Leguminous crops,2018,0.232,I
461,Harvested irrigated temporary crop area: Vegetables,1997,5.0403636364,I
462,Harvested irrigated temporary crop area: Vegetables,2002,4.2158181818,I
463,Harvested irrigated temporary crop area: Vegetables,2007,5.229,OF
464,Harvested irrigated temporary crop area: Vegetables,2012,5.229,I
465,Harvested irrigated temporary crop area: Vegetables,2017,5.229,I
466,Harvested irrigated temporary crop area: Vegetables,2018,5.229,I
467,Harvested irrigated permanent crop area: Bananas,2007,2.436,OF
468,Harvested irrigated permanent crop area: Bananas,2012,2.436,I
469,Harvested irrigated permanent crop area: Bananas,2017,2.436,I
470,Harvested irrigated permanent crop area: Bananas,2018,2.436,I
471,Harvested irrigated permanent crop area: Citrus,2007,1.232,OF
472,Harvested irrigated permanent crop area: Citrus,2012,1.232,I
473,Harvested irrigated permanent crop area: Citrus,2017,1.232,I
474,Harvested irrigated permanent crop area: Citrus,2018,1.232,I
475,Harvested irrigated temporary crop area: Tobacco,2007,0.2467,I
476,Harvested irrigated temporary crop area: Tobacco,2012,0.2467,I
477,Harvested irrigated temporary crop area: Tobacco,2017,0.2467,I
478,Harvested irrigated temporary crop area: Tobacco,2018,0.2467,I
479,Harvested irrigated temporary crop area: Fodder,1997,16.0827272727,I
480,Harvested irrigated temporary crop area: Fodder,2002,14.5236363636,I
481,Harvested irrigated temporary crop area: Fodder,2007,15.82,OF
482,Harvested irrigated temporary crop area: Fodder,2012,15.82,I
483,Harvested irrigated temporary crop area: Fodder,2017,15.82,I
484,Harvested irrigated temporary crop area: Fodder,2018,15.82,I
485,Harvested irrigated temporary crop area: Soybeans,2007,0.0001,I
486,Harvested irrigated temporary crop area: Soybeans,2012,0.0001,I
487,Harvested irrigated temporary crop area: Soybeans,2017,0.0001,I
488,Harvested irrigated temporary crop area: Soybeans,2018,0.0001,I
489,Harvested irrigated temporary crop area: Sesame,2007,0.0001,I
490,Harvested irrigated temporary crop area: Sesame,2012,0.0001,I
491,Harvested irrigated temporary crop area: Sesame,2017,0.0001,I
492,Harvested irrigated temporary crop area: Sesame,2018,0.0001,I
493,Harvested irrigated permanent crop area: Coconuts,2007,0.4492,OF
494,Harvested irrigated permanent crop area: Coconuts,2012,0.4492,I
495,Harvested irrigated permanent crop area: Coconuts,2017,0.4492,I
496,Harvested irrigated permanent crop area: Coconuts,2018,0.4492,I
497,Harvested irrigated temporary crop area: Other crops,2007,1.378,I
498,Harvested irrigated temporary crop area: Other crops,2012,1.378,I
499,Harvested irrigated temporary crop area: Other crops,2017,1.378,I
500,Harvested irrigated temporary crop area: Other crops,2018,1.378,I
501,Harvested irrigated permanent crop area: Other crops,1997,39.5236363636,I
502,Harvested irrigated permanent crop area: Other crops,2002,35.1781818182,I
503,Harvested irrigated permanent crop area: Other crops,2007,34.49,OF
504,Harvested irrigated permanent crop area: Other crops,2012,34.49,I
505,Harvested irrigated permanent crop area: Other crops,2017,34.49,I
506,Harvested irrigated permanent crop area: Other crops,2018,34.49,I
