Iceland,Variable Name,Year,Value,Symbol
59,Urban population,1997,250.783,X
60,Urban population,2002,264.39,X
61,Urban population,2007,284.684,X
62,Urban population,2012,304.692,X
63,Urban population,2017,314.163,X
64,Urban population,2018,316.881,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.1324,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.111,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.0906666667,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.0869,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.0869,I
70,Gross Domestic Product (GDP),1962,284916516.0,X
71,Gross Domestic Product (GDP),1967,621225962.0,X
72,Gross Domestic Product (GDP),1969,414709311.0,X
73,GDP per capita,1972,3940.42705,X
74,GDP per capita,1977,9789.132261,X
75,GDP per capita,1982,13542.791522,X
76,GDP per capita,1987,22013.388971,X
77,GDP per capita,1992,26815.489042,X
78,GDP per capita,1997,27798.825355,X
79,GDP per capita,2002,32575.221133,X
80,GDP per capita,2007,70494.636086,X
81,GDP per capita,2012,45231.650511,X
82,GDP per capita,2017,73108.083207,X
83,GDP per capita,2018,76624.485693,X
84,Total population with access to safe drinking-water (JMP),1992,100.0,X
85,Total population with access to safe drinking-water (JMP),1997,100.0,X
86,Total population with access to safe drinking-water (JMP),2002,100.0,X
87,Total population with access to safe drinking-water (JMP),2007,100.0,X
88,Total population with access to safe drinking-water (JMP),2012,100.0,X
89,Total population with access to safe drinking-water (JMP),2017,100.0,I
90,Total population with access to safe drinking-water (JMP),2018,100.0,I
91,Long-term average annual precipitation in volume,1962,199.82,E
92,Long-term average annual precipitation in volume,1967,199.82,E
93,Long-term average annual precipitation in volume,1972,199.82,E
94,Long-term average annual precipitation in volume,1977,199.82,E
95,Long-term average annual precipitation in volume,1982,199.82,E
96,Long-term average annual precipitation in volume,1987,199.82,E
97,Long-term average annual precipitation in volume,1992,199.82,E
98,Long-term average annual precipitation in volume,1997,199.82,E
99,Long-term average annual precipitation in volume,2002,199.82,E
100,Long-term average annual precipitation in volume,2007,199.82,E
101,Long-term average annual precipitation in volume,2012,199.82,E
102,Long-term average annual precipitation in volume,2017,199.82,E
103,Long-term average annual precipitation in volume,2018,199.82,E
104,Interannual variability (WRI),2017,1.0,I
105,Interannual variability (WRI),2018,1.0,I
106,Seasonal variability (WRI),2017,0.8,I
107,Seasonal variability (WRI),2018,0.8,I
108,Flood occurrence (WRI),2017,0.1,I
109,Flood occurrence (WRI),2018,0.1,I
110,Surface water: entering the country (total),1962,0.0,OF
111,Surface water: entering the country (total),1967,0.0,OF
112,Surface water: entering the country (total),1972,0.0,OF
113,Surface water: entering the country (total),1977,0.0,OF
114,Surface water: entering the country (total),1982,0.0,OF
115,Surface water: entering the country (total),1987,0.0,OF
116,Surface water: entering the country (total),1992,0.0,OF
117,Surface water: entering the country (total),1997,0.0,OF
118,Surface water: entering the country (total),2002,0.0,OF
119,Surface water: entering the country (total),2007,0.0,OF
120,Surface water: entering the country (total),2012,0.0,OF
121,Surface water: entering the country (total),2017,0.0,OF
122,Surface water: leaving the country to other countries (total),1962,0.0,OF
123,Surface water: leaving the country to other countries (total),1967,0.0,OF
124,Surface water: leaving the country to other countries (total),1972,0.0,OF
125,Surface water: leaving the country to other countries (total),1977,0.0,OF
126,Surface water: leaving the country to other countries (total),1982,0.0,OF
127,Surface water: leaving the country to other countries (total),1987,0.0,OF
128,Surface water: leaving the country to other countries (total),1992,0.0,OF
129,Surface water: leaving the country to other countries (total),1997,0.0,OF
130,Surface water: leaving the country to other countries (total),2002,0.0,OF
131,Surface water: leaving the country to other countries (total),2007,0.0,OF
132,Surface water: leaving the country to other countries (total),2012,0.0,OF
133,Surface water: leaving the country to other countries (total),2017,0.0,OF
134,Groundwater: entering the country (total),1962,0.0,OF
135,Groundwater: entering the country (total),1967,0.0,OF
136,Groundwater: entering the country (total),1972,0.0,OF
137,Groundwater: entering the country (total),1977,0.0,OF
138,Groundwater: entering the country (total),1982,0.0,OF
139,Groundwater: entering the country (total),1987,0.0,OF
140,Groundwater: entering the country (total),1992,0.0,OF
141,Groundwater: entering the country (total),1997,0.0,OF
142,Groundwater: entering the country (total),2002,0.0,OF
143,Groundwater: entering the country (total),2007,0.0,OF
144,Groundwater: entering the country (total),2012,0.0,OF
145,Groundwater: entering the country (total),2017,0.0,OF
146,Groundwater: leaving the country to other countries (total),1962,0.0,OF
147,Groundwater: leaving the country to other countries (total),1967,0.0,OF
148,Groundwater: leaving the country to other countries (total),1972,0.0,OF
149,Groundwater: leaving the country to other countries (total),1977,0.0,OF
150,Groundwater: leaving the country to other countries (total),1982,0.0,OF
151,Groundwater: leaving the country to other countries (total),1987,0.0,OF
152,Groundwater: leaving the country to other countries (total),1992,0.0,OF
153,Groundwater: leaving the country to other countries (total),1997,0.0,OF
154,Groundwater: leaving the country to other countries (total),2002,0.0,OF
155,Groundwater: leaving the country to other countries (total),2007,0.0,OF
156,Groundwater: leaving the country to other countries (total),2012,0.0,OF
157,Groundwater: leaving the country to other countries (total),2017,0.0,OF
158,Dependency ratio,1962,0.0,E
159,Dependency ratio,1967,0.0,E
160,Dependency ratio,1972,0.0,E
161,Dependency ratio,1977,0.0,E
162,Dependency ratio,1982,0.0,E
163,Dependency ratio,1987,0.0,E
164,Dependency ratio,1992,0.0,E
165,Dependency ratio,1997,0.0,E
166,Dependency ratio,2002,0.0,E
167,Dependency ratio,2007,0.0,E
168,Dependency ratio,2012,0.0,E
169,Dependency ratio,2017,0.0,E
170,Dependency ratio,2018,0.0,E
171,Total internal renewable water resources (IRWR),1962,170.0,E
172,Total internal renewable water resources (IRWR),1967,170.0,E
173,Total internal renewable water resources (IRWR),1972,170.0,E
174,Total internal renewable water resources (IRWR),1977,170.0,E
175,Total internal renewable water resources (IRWR),1982,170.0,E
176,Total internal renewable water resources (IRWR),1987,170.0,E
177,Total internal renewable water resources (IRWR),1992,170.0,E
178,Total internal renewable water resources (IRWR),1997,170.0,E
179,Total internal renewable water resources (IRWR),2002,170.0,E
180,Total internal renewable water resources (IRWR),2007,170.0,E
181,Total internal renewable water resources (IRWR),2012,170.0,E
182,Total internal renewable water resources (IRWR),2017,170.0,E
183,Total internal renewable water resources (IRWR),2018,170.0,E
184,Total internal renewable water resources per capita,1962,930431.117995085,E
185,Total internal renewable water resources per capita,1967,861191.179375991,E
186,Total internal renewable water resources per capita,1972,809797.598235594,E
187,Total internal renewable water resources per capita,1977,764849.324683037,E
188,Total internal renewable water resources per capita,1982,728772.361522534,E
189,Total internal renewable water resources per capita,1987,688103.102130691,E
190,Total internal renewable water resources per capita,1992,653466.640528001,E
191,Total internal renewable water resources per capita,1997,623375.099464998,E
192,Total internal renewable water resources per capita,2002,595803.440940108,E
193,Total internal renewable water resources per capita,2007,557042.823486236,E
194,Total internal renewable water resources per capita,2012,522029.651284193,E
195,Total internal renewable water resources per capita,2017,508383.847748009,E
196,Total internal renewable water resources per capita,2018,504881.01142516,E
197,Total renewable surface water,1962,166.0,E
198,Total renewable surface water,1967,166.0,E
199,Total renewable surface water,1972,166.0,E
200,Total renewable surface water,1977,166.0,E
201,Total renewable surface water,1982,166.0,E
202,Total renewable surface water,1987,166.0,E
203,Total renewable surface water,1992,166.0,E
204,Total renewable surface water,1997,166.0,E
205,Total renewable surface water,2002,166.0,E
206,Total renewable surface water,2007,166.0,E
207,Total renewable surface water,2012,166.0,E
208,Total renewable surface water,2017,166.0,E
209,Total renewable surface water,2018,166.0,E
210,Total renewable groundwater,1962,24.0,E
211,Total renewable groundwater,1967,24.0,E
212,Total renewable groundwater,1972,24.0,E
213,Total renewable groundwater,1977,24.0,E
214,Total renewable groundwater,1982,24.0,E
215,Total renewable groundwater,1987,24.0,E
216,Total renewable groundwater,1992,24.0,E
217,Total renewable groundwater,1997,24.0,E
218,Total renewable groundwater,2002,24.0,E
219,Total renewable groundwater,2007,24.0,E
220,Total renewable groundwater,2012,24.0,E
221,Total renewable groundwater,2017,24.0,E
222,Total renewable groundwater,2018,24.0,E
223,Total exploitable water resources,1962,6.0,E
224,Total exploitable water resources,1967,6.0,E
225,Total exploitable water resources,1972,6.0,E
226,Total exploitable water resources,1977,6.0,E
227,Total exploitable water resources,1982,6.0,E
228,Total exploitable water resources,1987,6.0,E
229,Total exploitable water resources,1992,6.0,E
230,Total exploitable water resources,1997,6.0,E
231,Total exploitable water resources,2002,6.0,E
232,Total exploitable water resources,2007,6.0,E
233,Total exploitable water resources,2012,6.0,E
234,Total exploitable water resources,2017,6.0,E
235,Total exploitable water resources,2018,6.0,E
236,Water resources: total external renewable,1962,0.0,E
237,Water resources: total external renewable,1967,0.0,E
238,Water resources: total external renewable,1972,0.0,E
239,Water resources: total external renewable,1977,0.0,E
240,Water resources: total external renewable,1982,0.0,E
241,Water resources: total external renewable,1987,0.0,E
242,Water resources: total external renewable,1992,0.0,E
243,Water resources: total external renewable,1997,0.0,E
244,Water resources: total external renewable,2002,0.0,E
245,Water resources: total external renewable,2007,0.0,E
246,Water resources: total external renewable,2012,0.0,E
247,Water resources: total external renewable,2017,0.0,E
248,Water resources: total external renewable,2018,0.0,E
249,Total renewable water resources,1962,170.0,E
250,Total renewable water resources,1967,170.0,E
251,Total renewable water resources,1972,170.0,E
252,Total renewable water resources,1977,170.0,E
253,Total renewable water resources,1982,170.0,E
254,Total renewable water resources,1987,170.0,E
255,Total renewable water resources,1992,170.0,E
256,Total renewable water resources,1997,170.0,E
257,Total renewable water resources,2002,170.0,E
258,Total renewable water resources,2007,170.0,E
259,Total renewable water resources,2012,170.0,E
260,Total renewable water resources,2017,170.0,E
261,Total renewable water resources,2018,170.0,E
262,Total renewable water resources per capita,1962,930431.117995085,E
263,Total renewable water resources per capita,1967,861191.179375991,E
264,Total renewable water resources per capita,1972,809797.598235594,E
265,Total renewable water resources per capita,1977,764849.324683037,E
266,Total renewable water resources per capita,1982,728772.361522534,E
267,Total renewable water resources per capita,1987,688103.102130691,E
268,Total renewable water resources per capita,1992,653466.640528001,E
269,Total renewable water resources per capita,1997,623375.099464998,E
270,Total renewable water resources per capita,2002,595803.440940108,E
271,Total renewable water resources per capita,2007,557042.823486236,E
272,Total renewable water resources per capita,2012,522029.651284193,E
273,Total renewable water resources per capita,2017,508383.847748009,E
274,Total renewable water resources per capita,2018,504881.01142516,E
275,% of agricultural GVA produced by irrigated agriculture,2017,0.0293332345,I
276,% of agricultural GVA produced by irrigated agriculture,2018,0.0293332345,I
278,Ratio between rainfed and irrigated yields,1966,1.778,I
279,Ratio between rainfed and irrigated yields,1971,1.778,I
280,Ratio between rainfed and irrigated yields,1976,1.778,I
281,Ratio between rainfed and irrigated yields,1981,1.778,I
282,Ratio between rainfed and irrigated yields,1986,1.778,I
283,Ratio between rainfed and irrigated yields,1991,1.778,I
284,Ratio between rainfed and irrigated yields,1996,1.778,I
285,Ratio between rainfed and irrigated yields,2001,1.778,I
286,Ratio between rainfed and irrigated yields,2007,1.778,I
287,Ratio between rainfed and irrigated yields,2011,1.778,I
288,Ratio between rainfed and irrigated yields,2017,1.778,I
289,Ratio between rainfed and irrigated yields,2018,1.778,I
290,Agricultural water withdrawal as % of total renewable water resources,1982,0.0023529412,I
291,Agricultural water withdrawal as % of total renewable water resources,1987,0.0028151261,E
292,Agricultural water withdrawal as % of total renewable water resources,1992,0.0411764706,E
293,Agricultural water withdrawal as % of total renewable water resources,1997,0.0411764706,I
294,Agricultural water withdrawal as % of total renewable water resources,2002,0.0411764706,E
295,Agricultural water withdrawal as % of total renewable water resources,2007,0.0206764706,I
296,Agricultural water withdrawal as % of total renewable water resources,2012,0.0001764706,E
297,Agricultural water withdrawal as % of total renewable water resources,2017,0.0001764706,I
298,Agricultural water withdrawal as % of total renewable water resources,2018,0.0001764706,I
299,Agricultural water withdrawal,1982,0.004,I
300,Agricultural water withdrawal,1987,0.0047857143,I
301,Agricultural water withdrawal,1991,0.0379821429,I
302,Agricultural water withdrawal,1997,0.07,I
303,Agricultural water withdrawal,2001,0.07,I
304,Agricultural water withdrawal,2007,0.03515,I
305,Agricultural water withdrawal,2012,0.0003,OF
306,Agricultural water withdrawal,2017,0.0003,I
307,Agricultural water withdrawal,2018,0.0003,I
308,Irrigation water withdrawal,2002,0.0,X
309,Irrigation water withdrawal,2007,0.0,I
310,Irrigation water withdrawal,2012,0.0,I
311,Irrigation water withdrawal,2017,0.0,I
312,Irrigation water withdrawal,2018,0.0,I
313,Municipal water withdrawal,1982,0.0956,I
314,Municipal water withdrawal,1987,0.11725,I
315,Municipal water withdrawal,1992,0.087,X
316,Municipal water withdrawal,1997,0.082,I
317,Municipal water withdrawal,2002,0.081,X
318,Municipal water withdrawal,2007,0.0845,I
319,Municipal water withdrawal,2012,0.094,OF
320,Municipal water withdrawal,2017,0.08,I
321,Municipal water withdrawal,2018,0.08,I
322,Industrial water withdrawal,1982,0.01,I
323,Industrial water withdrawal,1987,0.0119642857,I
324,Industrial water withdrawal,1992,0.01,X
325,Industrial water withdrawal,1997,0.0125,I
326,Industrial water withdrawal,2002,0.014,X
327,Industrial water withdrawal,2007,0.09575,I
328,Industrial water withdrawal,2012,0.2,OF
329,Industrial water withdrawal,2017,0.198,I
330,Industrial water withdrawal,2018,0.198,I
331,Total water withdrawal,1982,0.1096,I
332,Total water withdrawal,1987,0.134,I
333,Total water withdrawal,1992,0.167,X
334,Total water withdrawal,1997,0.1645,I
335,Total water withdrawal,2002,0.165,E
336,Total water withdrawal,2007,0.2154,I
337,Total water withdrawal,2012,0.2943,E
338,Total water withdrawal,2017,0.2783,E
339,Total water withdrawal,2018,0.2783,E
340,Fresh surface water withdrawal,1982,0.0062,I
341,Fresh surface water withdrawal,1987,0.0076,I
342,Fresh surface water withdrawal,1992,0.007,X
343,Fresh surface water withdrawal,1997,0.00575,I
344,Fresh surface water withdrawal,2002,0.005,X
345,Fresh surface water withdrawal,2007,0.0075,I
346,Fresh surface water withdrawal,2012,0.0098,OF
347,Fresh surface water withdrawal,2017,0.04,OF
348,Fresh surface water withdrawal,2018,0.04,I
349,Fresh groundwater withdrawal,1982,0.1034,I
350,Fresh groundwater withdrawal,1987,0.1264,I
351,Fresh groundwater withdrawal,1992,0.16,X
352,Fresh groundwater withdrawal,1997,0.15875,I
353,Fresh groundwater withdrawal,2002,0.16,X
354,Fresh groundwater withdrawal,2007,0.206575,I
355,Fresh groundwater withdrawal,2012,0.2842,OF
356,Fresh groundwater withdrawal,2017,0.25,OF
357,Fresh groundwater withdrawal,2018,0.25,I
358,Total freshwater withdrawal,1982,0.1096,I
359,Total freshwater withdrawal,1987,0.134,I
360,Total freshwater withdrawal,1992,0.167,E
361,Total freshwater withdrawal,1997,0.1645,I
362,Total freshwater withdrawal,2002,0.165,E
363,Total freshwater withdrawal,2007,0.214075,E
364,Total freshwater withdrawal,2012,0.294,OF
365,Total freshwater withdrawal,2017,0.29,OF
366,Total freshwater withdrawal,2018,0.29,I
379,SDG 6.4.2. Water Stress,1982,0.148933279,E
380,SDG 6.4.2. Water Stress,1987,0.1820899579,E
381,SDG 6.4.2. Water Stress,1992,0.2269330072,E
382,SDG 6.4.2. Water Stress,1997,0.2235358065,E
383,SDG 6.4.2. Water Stress,2002,0.2242152466,E
384,SDG 6.4.2. Water Stress,2007,0.2909022965,E
385,SDG 6.4.2. Water Stress,2012,0.3995108031,E
386,SDG 6.4.2. Water Stress,2017,0.394075282,E
387,SDG 6.4.2. Water Stress,2018,0.394075282,E
388,SDG 6.4.1. Water Use Efficiency,2015,51.0786237596,E
389,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.8904642985,E
390,SDG 6.4.1. Industrial Water Use Efficiency,1997,168.7461399345,E
391,SDG 6.4.1. Industrial Water Use Efficiency,2001,178.8596632742,E
392,SDG 6.4.1. Industrial Water Use Efficiency,2003,159.6105433133,E
393,SDG 6.4.1. Industrial Water Use Efficiency,2012,11.9032785034,E
394,SDG 6.4.1. Industrial Water Use Efficiency,2015,12.9950730909,E
395,SDG 6.4.1. Services Water Use Efficiency,1997,67.8865285188,E
396,SDG 6.4.1. Services Water Use Efficiency,2001,88.9785522981,E
397,SDG 6.4.1. Services Water Use Efficiency,2003,95.5581086072,E
398,SDG 6.4.1. Services Water Use Efficiency,2012,110.5712227439,E
399,SDG 6.4.1. Services Water Use Efficiency,2015,145.5236172625,E
400,Harvested irrigated permanent crop area: Citrus,2012,0.284,OF
401,Harvested irrigated permanent crop area: Citrus,2017,0.261,I
402,Harvested irrigated permanent crop area: Citrus,2018,0.261,I
