Dominica,Variable Name,Year,Value,Symbol
71,GDP per capita,1982,1135.951049,X
72,GDP per capita,1987,2057.700398,X
73,GDP per capita,1992,3202.141787,X
74,GDP per capita,1997,4104.426259,X
75,GDP per capita,2002,4634.514929,X
76,GDP per capita,2007,6042.3355,X
77,GDP per capita,2012,6736.932368,X
78,GDP per capita,2017,7031.951803,X
79,GDP per capita,2018,7413.637732,X
80,"Agriculture, value added (% GDP)",1972,35.082005,X
81,"Agriculture, value added (% GDP)",1973,38.776002,X
82,"Agriculture, value added (% GDP)",2010,11.466029,X
83,Prevalence of undernourishment (3-year average),2001,4.7,X
84,Prevalence of undernourishment (3-year average),2007,5.0,X
85,Prevalence of undernourishment (3-year average),2011,4.7,X
86,Prevalence of undernourishment (3-year average),2014,5.2,X
87,Total population with access to safe drinking-water (JMP),1997,94.5,X
88,Total population with access to safe drinking-water (JMP),2002,94.4,X
89,Total population with access to safe drinking-water (JMP),2007,94.4,X
90,Total population with access to safe drinking-water (JMP),2012,94.4,I
91,Total population with access to safe drinking-water (JMP),2017,94.4,I
92,Total population with access to safe drinking-water (JMP),2018,94.4,I
93,Long-term average annual precipitation in volume,1962,1.56225,E
94,Long-term average annual precipitation in volume,1967,1.56225,E
95,Long-term average annual precipitation in volume,1972,1.56225,E
96,Long-term average annual precipitation in volume,1977,1.56225,E
97,Long-term average annual precipitation in volume,1982,1.56225,E
98,Long-term average annual precipitation in volume,1987,1.56225,E
99,Long-term average annual precipitation in volume,1992,1.56225,E
100,Long-term average annual precipitation in volume,1997,1.56225,E
101,Long-term average annual precipitation in volume,2002,1.56225,E
102,Long-term average annual precipitation in volume,2007,1.56225,E
103,Long-term average annual precipitation in volume,2012,1.56225,E
104,Long-term average annual precipitation in volume,2017,1.56225,E
105,Long-term average annual precipitation in volume,2018,1.56225,E
106,Flood occurrence (WRI),2017,3.6,I
107,Flood occurrence (WRI),2018,3.6,I
108,Surface water: entering the country (total),1962,0.0,OF
109,Surface water: entering the country (total),1967,0.0,OF
110,Surface water: entering the country (total),1972,0.0,OF
111,Surface water: entering the country (total),1977,0.0,OF
112,Surface water: entering the country (total),1982,0.0,OF
113,Surface water: entering the country (total),1987,0.0,OF
114,Surface water: entering the country (total),1992,0.0,OF
115,Surface water: entering the country (total),1997,0.0,OF
116,Surface water: entering the country (total),2002,0.0,OF
117,Surface water: entering the country (total),2007,0.0,OF
118,Surface water: entering the country (total),2012,0.0,OF
119,Surface water: entering the country (total),2017,0.0,OF
120,Surface water: leaving the country to other countries (total),1962,0.0,OF
121,Surface water: leaving the country to other countries (total),1967,0.0,OF
122,Surface water: leaving the country to other countries (total),1972,0.0,OF
123,Surface water: leaving the country to other countries (total),1977,0.0,OF
124,Surface water: leaving the country to other countries (total),1982,0.0,OF
125,Surface water: leaving the country to other countries (total),1987,0.0,OF
126,Surface water: leaving the country to other countries (total),1992,0.0,OF
127,Surface water: leaving the country to other countries (total),1997,0.0,OF
128,Surface water: leaving the country to other countries (total),2002,0.0,OF
129,Surface water: leaving the country to other countries (total),2007,0.0,OF
130,Surface water: leaving the country to other countries (total),2012,0.0,OF
131,Surface water: leaving the country to other countries (total),2017,0.0,OF
132,Groundwater: entering the country (total),1962,0.0,OF
133,Groundwater: entering the country (total),1967,0.0,OF
134,Groundwater: entering the country (total),1972,0.0,OF
135,Groundwater: entering the country (total),1977,0.0,OF
136,Groundwater: entering the country (total),1982,0.0,OF
137,Groundwater: entering the country (total),1987,0.0,OF
138,Groundwater: entering the country (total),1992,0.0,OF
139,Groundwater: entering the country (total),1997,0.0,OF
140,Groundwater: entering the country (total),2002,0.0,OF
141,Groundwater: entering the country (total),2007,0.0,OF
142,Groundwater: entering the country (total),2012,0.0,OF
143,Groundwater: entering the country (total),2017,0.0,OF
144,Groundwater: leaving the country to other countries (total),1962,0.0,OF
145,Groundwater: leaving the country to other countries (total),1967,0.0,OF
146,Groundwater: leaving the country to other countries (total),1972,0.0,OF
147,Groundwater: leaving the country to other countries (total),1977,0.0,OF
148,Groundwater: leaving the country to other countries (total),1982,0.0,OF
149,Groundwater: leaving the country to other countries (total),1987,0.0,OF
150,Groundwater: leaving the country to other countries (total),1992,0.0,OF
151,Groundwater: leaving the country to other countries (total),1997,0.0,OF
152,Groundwater: leaving the country to other countries (total),2002,0.0,OF
153,Groundwater: leaving the country to other countries (total),2007,0.0,OF
154,Groundwater: leaving the country to other countries (total),2012,0.0,OF
155,Groundwater: leaving the country to other countries (total),2017,0.0,OF
156,Dependency ratio,1962,0.0,OF
157,Dependency ratio,1967,0.0,OF
158,Dependency ratio,1972,0.0,OF
159,Dependency ratio,1977,0.0,OF
160,Dependency ratio,1982,0.0,OF
161,Dependency ratio,1987,0.0,OF
162,Dependency ratio,1992,0.0,OF
163,Dependency ratio,1997,0.0,OF
164,Dependency ratio,2002,0.0,OF
165,Dependency ratio,2007,0.0,OF
166,Dependency ratio,2012,0.0,OF
167,Dependency ratio,2017,0.0,OF
168,Total internal renewable water resources (IRWR),2017,0.2,E
169,Total internal renewable water resources per capita,1962,3226.7432480398,E
170,Total internal renewable water resources per capita,1967,2954.8207901191,E
171,Total internal renewable water resources per capita,1972,2788.1947832876,E
172,Total internal renewable water resources per capita,1977,2723.311546841,E
173,Total internal renewable water resources per capita,1982,2666.5600042665,E
174,Total internal renewable water resources per capita,1987,2783.8868628379,E
175,Total internal renewable water resources per capita,1992,2835.1100022681,E
176,Total internal renewable water resources per capita,1997,2832.9013158827,E
177,Total internal renewable water resources per capita,2002,2863.8114466544,E
178,Total internal renewable water resources per capita,2007,2825.0582668268,E
179,Total internal renewable water resources per capita,2012,2818.2907066864,E
180,Total internal renewable water resources per capita,2017,2798.8468750875,E
181,Total internal renewable water resources per capita,2018,2792.3211169284,E
182,Total renewable surface water,1962,0.0,E
183,Total renewable surface water,1967,0.0,E
184,Total renewable surface water,1972,0.0,E
185,Total renewable surface water,1977,0.0,E
186,Total renewable surface water,1982,0.0,E
187,Total renewable surface water,1987,0.0,E
188,Total renewable surface water,1992,0.0,E
189,Total renewable surface water,1997,0.0,E
190,Total renewable surface water,2002,0.0,E
191,Total renewable surface water,2007,0.0,E
192,Total renewable surface water,2012,0.0,E
193,Total renewable surface water,2017,0.0,E
194,Total renewable surface water,2018,0.0,E
195,Total renewable groundwater,1962,0.0,E
196,Total renewable groundwater,1967,0.0,E
197,Total renewable groundwater,1972,0.0,E
198,Total renewable groundwater,1977,0.0,E
199,Total renewable groundwater,1982,0.0,E
200,Total renewable groundwater,1987,0.0,E
201,Total renewable groundwater,1992,0.0,E
202,Total renewable groundwater,1997,0.0,E
203,Total renewable groundwater,2002,0.0,E
204,Total renewable groundwater,2007,0.0,E
205,Total renewable groundwater,2012,0.0,E
206,Total renewable groundwater,2017,0.0,E
207,Total renewable groundwater,2018,0.0,E
208,Water resources: total external renewable,1962,0.0,E
209,Water resources: total external renewable,1967,0.0,E
210,Water resources: total external renewable,1972,0.0,E
211,Water resources: total external renewable,1977,0.0,E
212,Water resources: total external renewable,1982,0.0,E
213,Water resources: total external renewable,1987,0.0,E
214,Water resources: total external renewable,1992,0.0,E
215,Water resources: total external renewable,1997,0.0,E
216,Water resources: total external renewable,2002,0.0,E
217,Water resources: total external renewable,2007,0.0,E
218,Water resources: total external renewable,2012,0.0,E
219,Water resources: total external renewable,2017,0.0,E
220,Water resources: total external renewable,2018,0.0,E
221,Total renewable water resources,1962,0.2,E
222,Total renewable water resources,1967,0.2,E
223,Total renewable water resources,1972,0.2,E
224,Total renewable water resources,1977,0.2,E
225,Total renewable water resources,1982,0.2,E
226,Total renewable water resources,1987,0.2,E
227,Total renewable water resources,1992,0.2,E
228,Total renewable water resources,1997,0.2,E
229,Total renewable water resources,2002,0.2,E
230,Total renewable water resources,2007,0.2,E
231,Total renewable water resources,2012,0.2,E
232,Total renewable water resources,2017,0.2,E
233,Total renewable water resources per capita,1962,3226.7432480398,E
234,Total renewable water resources per capita,1967,2954.8207901191,E
235,Total renewable water resources per capita,1972,2788.1947832876,E
236,Total renewable water resources per capita,1977,2723.311546841,E
237,Total renewable water resources per capita,1982,2666.5600042665,E
238,Total renewable water resources per capita,1987,2783.8868628379,E
239,Total renewable water resources per capita,1992,2835.1100022681,E
240,Total renewable water resources per capita,1997,2832.9013158827,E
241,Total renewable water resources per capita,2002,2863.8114466544,E
242,Total renewable water resources per capita,2007,2825.0582668268,E
243,Total renewable water resources per capita,2012,2818.2907066864,E
244,Total renewable water resources per capita,2017,2798.8468750875,E
245,Total renewable water resources per capita,2018,2792.3211169284,E
246,Total agricultural water managed area,2012,0.2,I
247,Total agricultural water managed area,2017,0.2,I
248,Total agricultural water managed area,2018,0.2,I
249,Area equipped for irrigation: total,2012,0.2,I
250,Area equipped for irrigation: total,2017,0.2,I
251,Area equipped for irrigation: total,2018,0.2,I
252,% of agricultural GVA produced by irrigated agriculture,2012,0.0058672494,E
253,% of agricultural GVA produced by irrigated agriculture,2017,0.0058672494,E
254,% of agricultural GVA produced by irrigated agriculture,2018,0.0058672494,E
256,Ratio between rainfed and irrigated yields,1966,1.778,I
257,Ratio between rainfed and irrigated yields,1971,1.778,I
258,Ratio between rainfed and irrigated yields,1976,1.778,I
259,Ratio between rainfed and irrigated yields,1981,1.778,I
260,Ratio between rainfed and irrigated yields,1986,1.778,I
261,Ratio between rainfed and irrigated yields,1991,1.778,I
262,Ratio between rainfed and irrigated yields,1996,1.778,I
263,Ratio between rainfed and irrigated yields,2001,1.778,I
264,Ratio between rainfed and irrigated yields,2007,1.778,I
265,Ratio between rainfed and irrigated yields,2011,1.778,I
266,Ratio between rainfed and irrigated yields,2017,1.778,I
267,Ratio between rainfed and irrigated yields,2018,1.778,I
268,Agricultural water withdrawal as % of total renewable water resources,2012,0.5,I
269,Agricultural water withdrawal as % of total renewable water resources,2017,0.5,I
270,Agricultural water withdrawal as % of total renewable water resources,2018,0.5,I
271,Agricultural water withdrawal,2012,0.001,I
272,Agricultural water withdrawal,2017,0.001,I
273,Agricultural water withdrawal,2018,0.001,I
274,Municipal water withdrawal,2012,0.019,I
275,Municipal water withdrawal,2017,0.019,I
276,Municipal water withdrawal,2018,0.019,I
277,Industrial water withdrawal,2012,0.0,I
278,Industrial water withdrawal,2017,0.0,I
279,Industrial water withdrawal,2018,0.0,I
280,Total water withdrawal,1997,0.0166,I
281,Total water withdrawal,2002,0.0166,I
282,Total water withdrawal,2007,0.0183,I
283,Total water withdrawal,2012,0.02,I
284,Total water withdrawal,2017,0.02,I
285,Total water withdrawal,2018,0.02,I
286,Fresh surface water withdrawal,2007,0.0183,I
287,Fresh surface water withdrawal,2012,0.02,I
288,Fresh surface water withdrawal,2017,0.02,I
289,Fresh surface water withdrawal,2018,0.02,I
290,Fresh groundwater withdrawal,2007,0.0,I
291,Fresh groundwater withdrawal,2012,0.0,I
292,Fresh groundwater withdrawal,2017,0.0,I
293,Fresh groundwater withdrawal,2018,0.0,I
294,Total freshwater withdrawal,1997,0.0166,I
295,Total freshwater withdrawal,2002,0.0166,I
296,Total freshwater withdrawal,2007,0.0183,I
297,Total freshwater withdrawal,2012,0.02,I
298,Total freshwater withdrawal,2017,0.02,I
299,Total freshwater withdrawal,2018,0.02,I
300,SDG 6.4.2. Water Stress,1997,8.3,I
301,SDG 6.4.2. Water Stress,2002,8.3,I
302,SDG 6.4.2. Water Stress,2007,9.15,I
303,SDG 6.4.2. Water Stress,2012,10.0,I
304,SDG 6.4.2. Water Stress,2017,10.0,I
305,SDG 6.4.2. Water Stress,2018,10.0,I
306,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.0045356011,E
307,SDG 6.4.1. Services Water Use Efficiency,2015,18.0302144263,E
