Sri Lanka,Variable Name,Year,Value,Symbol
174,Groundwater: entering the country (total),1977,0.0,OF
175,Groundwater: entering the country (total),1982,0.0,OF
176,Groundwater: entering the country (total),1987,0.0,OF
177,Groundwater: entering the country (total),1992,0.0,OF
178,Groundwater: entering the country (total),1997,0.0,OF
179,Groundwater: entering the country (total),2002,0.0,OF
180,Groundwater: entering the country (total),2007,0.0,OF
181,Groundwater: entering the country (total),2012,0.0,OF
182,Groundwater: entering the country (total),2017,0.0,OF
183,Groundwater: leaving the country to other countries (total),1962,0.0,OF
184,Groundwater: leaving the country to other countries (total),1967,0.0,OF
185,Groundwater: leaving the country to other countries (total),1972,0.0,OF
186,Groundwater: leaving the country to other countries (total),1977,0.0,OF
187,Groundwater: leaving the country to other countries (total),1982,0.0,OF
188,Groundwater: leaving the country to other countries (total),1987,0.0,OF
189,Groundwater: leaving the country to other countries (total),1992,0.0,OF
190,Groundwater: leaving the country to other countries (total),1997,0.0,OF
191,Groundwater: leaving the country to other countries (total),2002,0.0,OF
192,Groundwater: leaving the country to other countries (total),2007,0.0,OF
193,Groundwater: leaving the country to other countries (total),2012,0.0,OF
194,Groundwater: leaving the country to other countries (total),2017,0.0,OF
195,Dependency ratio,1962,0.0,E
196,Dependency ratio,1967,0.0,E
197,Dependency ratio,1972,0.0,E
198,Dependency ratio,1977,0.0,E
199,Dependency ratio,1982,0.0,E
200,Dependency ratio,1987,0.0,E
201,Dependency ratio,1992,0.0,E
202,Dependency ratio,1997,0.0,E
203,Dependency ratio,2002,0.0,E
204,Dependency ratio,2007,0.0,E
205,Dependency ratio,2012,0.0,E
206,Dependency ratio,2017,0.0,E
207,Dependency ratio,2018,0.0,E
208,Total internal renewable water resources (IRWR),1962,52.8,E
209,Total internal renewable water resources (IRWR),1967,52.8,E
210,Total internal renewable water resources (IRWR),1972,52.8,E
211,Total internal renewable water resources (IRWR),1977,52.8,E
212,Total internal renewable water resources (IRWR),1982,52.8,E
213,Total internal renewable water resources (IRWR),1987,52.8,E
214,Total internal renewable water resources (IRWR),1992,52.8,E
215,Total internal renewable water resources (IRWR),1997,52.8,E
216,Total internal renewable water resources (IRWR),2002,52.8,E
217,Total internal renewable water resources (IRWR),2007,52.8,E
218,Total internal renewable water resources (IRWR),2012,52.8,E
219,Total internal renewable water resources (IRWR),2017,52.8,E
220,Total internal renewable water resources (IRWR),2018,52.8,E
221,Total internal renewable water resources per capita,1962,5100.3754861658,E
222,Total internal renewable water resources per capita,1967,4529.2147216635,E
223,Total internal renewable water resources per capita,1972,4060.8415586525,E
224,Total internal renewable water resources per capita,1977,3699.1640799958,E
225,Total internal renewable water resources per capita,1982,3406.1863698743,E
226,Total internal renewable water resources per capita,1987,3172.3234962466,E
227,Total internal renewable water resources per capita,1992,2976.8581416027,E
228,Total internal renewable water resources per capita,1997,2858.5504766958,E
229,Total internal renewable water resources per capita,2002,2769.838681028,E
230,Total internal renewable water resources per capita,2007,2661.0161735354,E
231,Total internal renewable water resources per capita,2012,2571.5204114433,E
232,Total internal renewable water resources per capita,2017,2499.0496038628,E
233,Total internal renewable water resources per capita,2018,2487.1915523293,E
234,Total renewable surface water,1962,52.0,E
235,Total renewable surface water,1967,52.0,E
236,Total renewable surface water,1972,52.0,E
237,Total renewable surface water,1977,52.0,E
238,Total renewable surface water,1982,52.0,E
239,Total renewable surface water,1987,52.0,E
240,Total renewable surface water,1992,52.0,E
241,Total renewable surface water,1997,52.0,E
242,Total renewable surface water,2002,52.0,E
243,Total renewable surface water,2007,52.0,E
244,Total renewable surface water,2012,52.0,E
245,Total renewable surface water,2017,52.0,E
246,Total renewable surface water,2018,52.0,E
247,Total renewable groundwater,1962,7.8,E
248,Total renewable groundwater,1967,7.8,E
249,Total renewable groundwater,1972,7.8,E
250,Total renewable groundwater,1977,7.8,E
251,Total renewable groundwater,1982,7.8,E
252,Total renewable groundwater,1987,7.8,E
253,Total renewable groundwater,1992,7.8,E
254,Total renewable groundwater,1997,7.8,E
255,Total renewable groundwater,2002,7.8,E
256,Total renewable groundwater,2007,7.8,E
257,Total renewable groundwater,2012,7.8,E
258,Total renewable groundwater,2017,7.8,E
259,Total renewable groundwater,2018,7.8,E
260,Water resources: total external renewable,1962,0.0,E
261,Water resources: total external renewable,1967,0.0,E
262,Water resources: total external renewable,1972,0.0,E
263,Water resources: total external renewable,1977,0.0,E
264,Water resources: total external renewable,1982,0.0,E
265,Water resources: total external renewable,1987,0.0,E
266,Water resources: total external renewable,1992,0.0,E
267,Water resources: total external renewable,1997,0.0,E
268,Water resources: total external renewable,2002,0.0,E
269,Water resources: total external renewable,2007,0.0,E
270,Water resources: total external renewable,2012,0.0,E
271,Water resources: total external renewable,2017,0.0,E
272,Water resources: total external renewable,2018,0.0,E
273,Total renewable water resources,1962,52.8,E
274,Total renewable water resources,1967,52.8,E
275,Total renewable water resources,1972,52.8,E
276,Total renewable water resources,1977,52.8,E
277,Total renewable water resources,1982,52.8,E
278,Total renewable water resources,1987,52.8,E
279,Total renewable water resources,1992,52.8,E
280,Total renewable water resources,1997,52.8,E
281,Total renewable water resources,2002,52.8,E
282,Total renewable water resources,2007,52.8,E
283,Total renewable water resources,2012,52.8,E
284,Total renewable water resources,2017,52.8,E
285,Total renewable water resources,2018,52.8,E
286,Total renewable water resources per capita,1962,5100.3754861658,E
287,Total renewable water resources per capita,1967,4529.2147216635,E
288,Total renewable water resources per capita,1972,4060.8415586525,E
289,Total renewable water resources per capita,1977,3699.1640799958,E
290,Total renewable water resources per capita,1982,3406.1863698743,E
291,Total renewable water resources per capita,1987,3172.3234962466,E
292,Total renewable water resources per capita,1992,2976.8581416027,E
293,Total renewable water resources per capita,1997,2858.5504766958,E
294,Total renewable water resources per capita,2002,2769.838681028,E
295,Total renewable water resources per capita,2007,2661.0161735354,E
296,Total renewable water resources per capita,2012,2571.5204114433,E
297,Total renewable water resources per capita,2017,2499.0496038628,E
298,Total renewable water resources per capita,2018,2487.1915523293,E
299,Total agricultural water managed area,1977,440.82,I
300,Total agricultural water managed area,1982,474.3714285714,I
301,Total agricultural water managed area,1987,517.3,E
302,Total agricultural water managed area,1992,550.2375,I
303,Total agricultural water managed area,1997,570.0,I
304,Total agricultural water managed area,2002,570.0,I
305,Total agricultural water managed area,2007,570.0,I
306,Total agricultural water managed area,2012,570.0,I
307,Total agricultural water managed area,2017,570.0,I
308,Total agricultural water managed area,2018,570.0,I
309,Area equipped for irrigation: total,1977,440.82,I
310,Area equipped for irrigation: total,1982,474.3714285714,I
311,Area equipped for irrigation: total,1987,517.3,E
312,Area equipped for irrigation: total,1992,550.2375,I
313,Area equipped for irrigation: total,1997,570.0,I
314,Area equipped for irrigation: total,2002,570.0,I
315,Area equipped for irrigation: total,2007,570.0,I
316,Area equipped for irrigation: total,2012,570.0,I
317,Area equipped for irrigation: total,2017,570.0,I
318,Area equipped for irrigation: total,2018,570.0,I
319,% of agricultural GVA produced by irrigated agriculture,2007,50.4589326734,E
320,% of agricultural GVA produced by irrigated agriculture,2011,44.2751151263,E
321,% of agricultural GVA produced by irrigated agriculture,2017,43.7983501061,E
322,% of agricultural GVA produced by irrigated agriculture,2018,43.0100870325,E
323,Ratio between rainfed and irrigated yields,1962,1.651,E
324,Ratio between rainfed and irrigated yields,1967,1.651,E
325,Ratio between rainfed and irrigated yields,1972,1.651,E
326,Ratio between rainfed and irrigated yields,1977,1.651,E
327,Ratio between rainfed and irrigated yields,1982,1.651,E
328,Ratio between rainfed and irrigated yields,1987,1.651,E
329,Ratio between rainfed and irrigated yields,1992,1.651,E
330,Ratio between rainfed and irrigated yields,1997,1.651,E
331,Ratio between rainfed and irrigated yields,2002,1.651,E
332,Ratio between rainfed and irrigated yields,2007,1.651,I
333,Ratio between rainfed and irrigated yields,2012,1.651,E
334,Ratio between rainfed and irrigated yields,2017,1.651,I
335,Ratio between rainfed and irrigated yields,2018,1.651,I
336,Agricultural water withdrawal as % of total renewable water resources,1992,18.7560606061,I
337,Agricultural water withdrawal as % of total renewable water resources,1997,21.2380681818,I
338,Agricultural water withdrawal as % of total renewable water resources,2002,22.2045454545,I
339,Agricultural water withdrawal as % of total renewable water resources,2007,21.4204545455,I
340,Agricultural water withdrawal as % of total renewable water resources,2012,21.4204545455,I
341,Agricultural water withdrawal as % of total renewable water resources,2017,21.4204545455,I
342,Agricultural water withdrawal as % of total renewable water resources,2018,21.4204545455,I
343,Agricultural water withdrawal,1992,9.9032,I
344,Agricultural water withdrawal,1997,11.2137,I
345,Agricultural water withdrawal,2002,11.724,I
346,Agricultural water withdrawal,2007,11.31,I
347,Agricultural water withdrawal,2012,11.31,I
348,Agricultural water withdrawal,2017,11.31,I
349,Agricultural water withdrawal,2018,11.31,I
350,Irrigation water requirement,2007,3.819,I
351,Irrigation water requirement,2012,3.819,I
352,Irrigation water requirement,2017,3.819,I
353,Irrigation water requirement,2018,3.819,I
354,Municipal water withdrawal,1992,0.2554,I
355,Municipal water withdrawal,1997,0.4064,I
356,Municipal water withdrawal,2002,0.6202,I
357,Municipal water withdrawal,2007,0.805,I
358,Municipal water withdrawal,2012,0.805,I
359,Municipal water withdrawal,2017,0.805,I
360,Municipal water withdrawal,2018,0.805,I
361,Industrial water withdrawal,1992,0.25872,I
362,Industrial water withdrawal,1997,0.41802,I
363,Industrial water withdrawal,2002,0.64056,I
364,Industrial water withdrawal,2007,0.831,I
365,Industrial water withdrawal,2012,0.831,I
366,Industrial water withdrawal,2017,0.831,I
367,Industrial water withdrawal,2018,0.831,I
368,Total water withdrawal,1992,10.41732,I
369,Total water withdrawal,1997,12.03812,I
370,Total water withdrawal,2002,12.98476,I
371,Total water withdrawal,2007,12.946,I
372,Total water withdrawal,2012,12.946,I
373,Total water withdrawal,2017,12.946,I
374,Total water withdrawal,2018,12.946,I
375,Total freshwater withdrawal,1992,10.41732,I
376,Total freshwater withdrawal,1997,12.03812,I
377,Total freshwater withdrawal,2002,12.98476,I
378,Total freshwater withdrawal,2007,12.946,I
379,Total freshwater withdrawal,2012,12.946,I
380,Total freshwater withdrawal,2017,12.946,I
381,Total freshwater withdrawal,2018,12.946,I
382,Produced municipal wastewater,2002,0.291925,I
383,Produced municipal wastewater,2007,0.1467375,I
384,Produced municipal wastewater,2012,0.1181,I
385,Produced municipal wastewater,2017,0.1181,I
386,Produced municipal wastewater,2018,0.1181,I
399,SDG 6.4.2. Water Stress,1992,73.0527349229,E
400,SDG 6.4.2. Water Stress,1997,84.4187938289,E
401,SDG 6.4.2. Water Stress,2002,91.0572230014,E
402,SDG 6.4.2. Water Stress,2007,90.7854137447,E
403,SDG 6.4.2. Water Stress,2012,90.7854137447,E
404,SDG 6.4.2. Water Stress,2017,90.7854137447,E
405,SDG 6.4.2. Water Stress,2018,90.7854137447,E
406,SDG 6.4.1. Water Use Efficiency,2007,3.3654886101,I
407,SDG 6.4.1. Water Use Efficiency,2010,3.93420853,I
408,SDG 6.4.1. Water Use Efficiency,2016,5.6158303308,I
409,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.1744042213,E
410,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2010,0.207035478,E
411,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2016,0.153227739,E
412,SDG 6.4.1. Industrial Water Use Efficiency,1992,19.9053291534,E
413,SDG 6.4.1. Industrial Water Use Efficiency,1997,17.3497438336,E
414,SDG 6.4.1. Industrial Water Use Efficiency,2002,14.0129019425,E
415,SDG 6.4.1. Industrial Water Use Efficiency,2007,15.5471255443,E
416,SDG 6.4.1. Industrial Water Use Efficiency,2012,24.6819743202,E
417,SDG 6.4.1. Industrial Water Use Efficiency,2016,27.1466365302,E
418,SDG 6.4.1. Services Water Use Efficiency,1992,33.4574986316,E
419,SDG 6.4.1. Services Water Use Efficiency,1997,29.5490565314,E
420,SDG 6.4.1. Services Water Use Efficiency,2002,32.9634349076,E
421,SDG 6.4.1. Services Water Use Efficiency,2007,35.6241521436,E
422,SDG 6.4.1. Services Water Use Efficiency,2012,49.8739662682,E
423,SDG 6.4.1. Services Water Use Efficiency,2016,60.1374891648,E
424,Harvested irrigated temporary crop area: Rice,1997,671.25,I
425,Harvested irrigated temporary crop area: Rice,2002,687.1666666667,I
426,Harvested irrigated temporary crop area: Rice,2007,699.9,I
427,Harvested irrigated temporary crop area: Rice,2012,699.9,I
428,Harvested irrigated temporary crop area: Rice,2017,699.9,I
429,Harvested irrigated temporary crop area: Rice,2018,699.9,I
430,Harvested irrigated temporary crop area: Maize,2007,0.7,I
431,Harvested irrigated temporary crop area: Maize,2012,0.7,I
432,Harvested irrigated temporary crop area: Maize,2017,0.7,I
433,Harvested irrigated temporary crop area: Maize,2018,0.7,I
434,Harvested irrigated temporary crop area: Other cereals,2007,0.1,I
435,Harvested irrigated temporary crop area: Other cereals,2012,0.1,I
436,Harvested irrigated temporary crop area: Other cereals,2017,0.1,I
437,Harvested irrigated temporary crop area: Other cereals,2018,0.1,I
438,Harvested irrigated temporary crop area: Other roots and tubers,2007,4.3,I
439,Harvested irrigated temporary crop area: Other roots and tubers,2012,4.3,I
440,Harvested irrigated temporary crop area: Other roots and tubers,2017,4.3,I
441,Harvested irrigated temporary crop area: Other roots and tubers,2018,4.3,I
442,Harvested irrigated temporary crop area: Sugarcane,2007,17.4,I
443,Harvested irrigated temporary crop area: Sugarcane,2012,17.4,I
444,Harvested irrigated temporary crop area: Sugarcane,2017,17.4,I
445,Harvested irrigated temporary crop area: Sugarcane,2018,17.4,I
446,Harvested irrigated temporary crop area: Leguminous crops,2007,0.8,I
447,Harvested irrigated temporary crop area: Leguminous crops,2012,0.8,I
448,Harvested irrigated temporary crop area: Leguminous crops,2017,0.8,I
449,Harvested irrigated temporary crop area: Leguminous crops,2018,0.8,I
450,Harvested irrigated temporary crop area: Vegetables,2007,9.3,I
451,Harvested irrigated temporary crop area: Vegetables,2012,9.3,I
452,Harvested irrigated temporary crop area: Vegetables,2017,9.3,I
453,Harvested irrigated temporary crop area: Vegetables,2018,9.3,I
454,Harvested irrigated temporary crop area: Other crops,2007,4.1,I
455,Harvested irrigated temporary crop area: Other crops,2012,4.1,I
456,Harvested irrigated temporary crop area: Other crops,2017,4.1,I
457,Harvested irrigated temporary crop area: Other crops,2018,4.1,I
458,Harvested irrigated permanent crop area: Other crops,2007,7.4,I
459,Harvested irrigated permanent crop area: Other crops,2012,7.4,I
460,Harvested irrigated permanent crop area: Other crops,2017,7.4,I
461,Harvested irrigated permanent crop area: Other crops,2018,7.4,I
