Malawi,Variable Name,Year,Value,Symbol
51,Rural population,2018,15918.795,X
52,Urban population,1962,173.717,X
53,Urban population,1967,223.716,X
54,Urban population,1972,323.225,X
55,Urban population,1977,472.36,X
56,Urban population,1982,614.811,X
57,Urban population,1987,864.076,X
58,Urban population,1992,1188.759,X
59,Urban population,1997,1453.68,X
60,Urban population,2002,1776.361,X
61,Urban population,2007,2108.614,X
62,Urban population,2012,2545.363,X
63,Urban population,2017,3112.59,X
64,Urban population,2018,3245.933,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.632,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.5936666667,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.6111,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.6111,I
69,Gross Domestic Product (GDP),1962,183120147.0,X
70,Gross Domestic Product (GDP),1967,269812782.0,X
71,Gross Domestic Product (GDP),1972,832498418.0,X
72,Gross Domestic Product (GDP),1977,1456858030.0,X
73,Gross Domestic Product (GDP),1982,2113676343.0,X
74,Gross Domestic Product (GDP),1987,2218459893.0,X
75,Gross Domestic Product (GDP),1992,3285104233.0,X
76,Gross Domestic Product (GDP),1997,3140905232.0,X
77,Gross Domestic Product (GDP),2002,3495601873.0,X
78,Gross Domestic Product (GDP),2007,4432937470.0,X
79,Gross Domestic Product (GDP),2012,5721434507.0,X
80,Gross Domestic Product (GDP),2014,5964923300.0,X
81,GDP per capita,1972,171.309718,X
82,GDP per capita,1977,258.880406,X
83,GDP per capita,1982,325.960674,X
84,GDP per capita,1987,273.206217,X
85,GDP per capita,1992,337.636155,X
86,GDP per capita,1997,302.537756,X
87,GDP per capita,2002,290.967701,X
88,GDP per capita,2007,320.276526,X
89,GDP per capita,2012,355.428098,X
90,GDP per capita,2017,340.870048,X
91,GDP per capita,2018,375.49037,X
92,"Agriculture, value added (% GDP)",1962,50.32,X
93,"Agriculture, value added (% GDP)",1967,46.44,X
94,"Agriculture, value added (% GDP)",1972,79.939938,X
95,"Agriculture, value added (% GDP)",1977,63.74579,X
96,"Agriculture, value added (% GDP)",1982,44.354268,X
97,"Agriculture, value added (% GDP)",1987,40.28665,X
98,"Agriculture, value added (% GDP)",1992,37.201578,X
99,"Agriculture, value added (% GDP)",1997,32.611685,X
100,"Agriculture, value added (% GDP)",2002,38.818358,X
101,"Agriculture, value added (% GDP)",2007,27.511279,X
102,"Agriculture, value added (% GDP)",2012,29.935416,X
103,"Agriculture, value added (% GDP)",2014,29.946161,X
104,"Agriculture, value added to GDP",1962,89040071.0,X
105,"Agriculture, value added to GDP",1967,118750764.0,X
106,"Agriculture, value added to GDP",1969,110880044.0,X
107,Number of people undernourished (3-year average),1992,4300.0,X
108,Number of people undernourished (3-year average),1997,4000.0,X
109,Number of people undernourished (3-year average),2002,2700.0,X
110,Number of people undernourished (3-year average),2007,2700.0,X
111,Number of people undernourished (3-year average),2010,2500.0,X
112,Prevalence of undernourishment (3-year average),1992,44.7,X
113,Prevalence of undernourishment (3-year average),1997,39.5,X
114,Prevalence of undernourishment (3-year average),2001,27.1,X
115,Prevalence of undernourishment (3-year average),2006,22.5,X
116,Total population with access to safe drinking-water (JMP),1992,46.6,X
117,Total population with access to safe drinking-water (JMP),1997,56.8,X
118,Total population with access to safe drinking-water (JMP),2002,66.2,X
119,Total population with access to safe drinking-water (JMP),2007,75.5,X
120,Total population with access to safe drinking-water (JMP),2012,84.7,X
121,Total population with access to safe drinking-water (JMP),2017,90.2,I
122,Total population with access to safe drinking-water (JMP),2018,90.2,I
123,Long-term average annual precipitation in volume,1962,139.92488,E
124,Long-term average annual precipitation in volume,1967,139.92488,E
125,Long-term average annual precipitation in volume,1972,139.92488,E
126,Long-term average annual precipitation in volume,1977,139.92488,E
127,Long-term average annual precipitation in volume,1982,139.92488,E
128,Long-term average annual precipitation in volume,1987,139.92488,E
129,Long-term average annual precipitation in volume,1992,139.92488,E
130,Long-term average annual precipitation in volume,1997,139.92488,E
131,Long-term average annual precipitation in volume,2002,139.92488,E
132,Long-term average annual precipitation in volume,2007,139.92488,E
133,Long-term average annual precipitation in volume,2012,139.92488,E
134,Long-term average annual precipitation in volume,2017,139.92488,E
135,Long-term average annual precipitation in volume,2018,139.92488,E
136,Interannual variability (WRI),2017,1.6,I
137,Interannual variability (WRI),2018,1.6,I
138,Seasonal variability (WRI),2017,3.8,I
139,Seasonal variability (WRI),2018,3.8,I
140,Flood occurrence (WRI),2017,3.3,I
141,Flood occurrence (WRI),2018,3.3,I
142,Surface water: entering the country (total),1961,1.0,OF
143,Surface water: entering the country (total),1966,1.0,OF
144,Surface water: entering the country (total),1971,1.0,OF
145,Surface water: entering the country (total),1976,1.0,OF
146,Surface water: entering the country (total),1981,1.0,OF
147,Surface water: entering the country (total),1986,1.0,OF
148,Surface water: entering the country (total),1991,1.0,OF
149,Surface water: entering the country (total),1996,1.0,OF
150,Surface water: entering the country (total),2001,1.0,OF
151,Surface water: entering the country (total),2006,1.0,OF
153,Surface water: entering the country (total),2017,1.0,OF
165,Surface water: leaving the country to other countries (total),2017,16.98,OF
166,Groundwater: entering the country (total),1962,0.0,E
167,Groundwater: entering the country (total),1967,0.0,E
168,Groundwater: entering the country (total),1972,0.0,E
169,Groundwater: entering the country (total),1977,0.0,E
170,Groundwater: entering the country (total),1982,0.0,E
171,Groundwater: entering the country (total),1987,0.0,E
172,Groundwater: entering the country (total),1992,0.0,E
173,Groundwater: entering the country (total),1997,0.0,E
174,Groundwater: entering the country (total),2002,0.0,E
175,Groundwater: entering the country (total),2007,0.0,E
176,Groundwater: entering the country (total),2012,0.0,E
177,Groundwater: entering the country (total),2017,0.0,E
178,Groundwater: leaving the country to other countries (total),1962,0.0,OF
179,Groundwater: leaving the country to other countries (total),1967,0.0,OF
180,Groundwater: leaving the country to other countries (total),1972,0.0,OF
181,Groundwater: leaving the country to other countries (total),1977,0.0,OF
182,Groundwater: leaving the country to other countries (total),1982,0.0,OF
183,Groundwater: leaving the country to other countries (total),1987,0.0,OF
184,Groundwater: leaving the country to other countries (total),1992,0.0,OF
185,Groundwater: leaving the country to other countries (total),1997,0.0,OF
186,Groundwater: leaving the country to other countries (total),2002,0.0,OF
187,Groundwater: leaving the country to other countries (total),2007,0.0,OF
188,Groundwater: leaving the country to other countries (total),2012,0.0,OF
189,Groundwater: leaving the country to other countries (total),2017,0.0,OF
190,Dependency ratio,1962,6.5972222222,E
191,Dependency ratio,1967,6.5972222222,E
192,Dependency ratio,1972,6.5972222222,E
193,Dependency ratio,1977,6.5972222222,E
194,Dependency ratio,1982,6.5972222222,E
195,Dependency ratio,1987,6.5972222222,E
196,Dependency ratio,1992,6.5972222222,E
197,Dependency ratio,1997,6.5972222222,E
198,Dependency ratio,2002,6.5972222222,E
199,Dependency ratio,2007,6.5972222222,E
200,Dependency ratio,2012,6.5972222222,E
201,Dependency ratio,2017,6.5972222222,E
202,Dependency ratio,2018,6.5972222222,E
203,Total internal renewable water resources (IRWR),1962,16.14,E
204,Total internal renewable water resources (IRWR),1967,16.14,E
205,Total internal renewable water resources (IRWR),1972,16.14,E
206,Total internal renewable water resources (IRWR),1977,16.14,E
207,Total internal renewable water resources (IRWR),1982,16.14,E
208,Total internal renewable water resources (IRWR),1987,16.14,E
209,Total internal renewable water resources (IRWR),1992,16.14,E
210,Total internal renewable water resources (IRWR),1997,16.14,E
211,Total internal renewable water resources (IRWR),2002,16.14,E
212,Total internal renewable water resources (IRWR),2007,16.14,E
213,Total internal renewable water resources (IRWR),2012,16.14,E
214,Total internal renewable water resources (IRWR),2017,16.14,E
215,Total internal renewable water resources (IRWR),2018,16.14,E
216,Total internal renewable water resources per capita,1962,4204.1727586797,E
217,Total internal renewable water resources per capita,1967,3709.9593329613,E
218,Total internal renewable water resources per capita,1972,3254.984472272,E
219,Total internal renewable water resources per capita,1977,2822.6884691077,E
220,Total internal renewable water resources per capita,1982,2458.1231909607,E
221,Total internal renewable water resources per capita,1987,1982.5218709995,E
222,Total internal renewable water resources per capita,1992,1666.3271722934,E
223,Total internal renewable water resources per capita,1997,1572.347569476,E
224,Total internal renewable water resources per capita,2002,1377.8780064035,E
225,Total internal renewable water resources per capita,2007,1209.7312762605,E
226,Total internal renewable water resources per capita,2012,1048.323218703,E
227,Total internal renewable water resources per capita,2017,913.4024319821,E
228,Total internal renewable water resources per capita,2018,889.5886545368,E
229,Total renewable surface water,1962,17.28,E
230,Total renewable surface water,1967,17.28,E
231,Total renewable surface water,1972,17.28,E
232,Total renewable surface water,1977,17.28,E
233,Total renewable surface water,1982,17.28,E
234,Total renewable surface water,1987,17.28,E
235,Total renewable surface water,1992,17.28,E
236,Total renewable surface water,1997,17.28,E
237,Total renewable surface water,2002,17.28,E
238,Total renewable surface water,2007,17.28,E
239,Total renewable surface water,2012,17.28,E
240,Total renewable surface water,2017,17.28,E
241,Total renewable surface water,2018,17.28,E
242,Total renewable groundwater,1962,2.5,E
243,Total renewable groundwater,1967,2.5,E
244,Total renewable groundwater,1972,2.5,E
245,Total renewable groundwater,1977,2.5,E
246,Total renewable groundwater,1982,2.5,E
247,Total renewable groundwater,1987,2.5,E
248,Total renewable groundwater,1992,2.5,E
249,Total renewable groundwater,1997,2.5,E
250,Total renewable groundwater,2002,2.5,E
251,Total renewable groundwater,2007,2.5,E
252,Total renewable groundwater,2012,2.5,E
253,Total renewable groundwater,2017,2.5,E
254,Total renewable groundwater,2018,2.5,E
255,Water resources: total external renewable,1962,1.14,E
256,Water resources: total external renewable,1967,1.14,E
257,Water resources: total external renewable,1972,1.14,E
258,Water resources: total external renewable,1977,1.14,E
259,Water resources: total external renewable,1982,1.14,E
260,Water resources: total external renewable,1987,1.14,E
261,Water resources: total external renewable,1992,1.14,E
262,Water resources: total external renewable,1997,1.14,E
263,Water resources: total external renewable,2002,1.14,E
264,Water resources: total external renewable,2007,1.14,E
265,Water resources: total external renewable,2012,1.14,E
266,Water resources: total external renewable,2017,1.14,E
267,Water resources: total external renewable,2018,1.14,E
268,Total renewable water resources,1962,17.28,E
269,Total renewable water resources,1967,17.28,E
270,Total renewable water resources,1972,17.28,E
271,Total renewable water resources,1977,17.28,E
272,Total renewable water resources,1982,17.28,E
273,Total renewable water resources,1987,17.28,E
274,Total renewable water resources,1992,17.28,E
275,Total renewable water resources,1997,17.28,E
276,Total renewable water resources,2002,17.28,E
277,Total renewable water resources,2007,17.28,E
278,Total renewable water resources,2012,17.28,E
279,Total renewable water resources,2017,17.28,E
280,Total renewable water resources,2018,17.28,E
281,Total renewable water resources per capita,1962,4501.1217639396,E
282,Total renewable water resources per capita,1967,3972.0010702336,E
283,Total renewable water resources per capita,1972,3484.890438715,E
284,Total renewable water resources per capita,1977,3022.0605171116,E
285,Total renewable water resources per capita,1982,2631.7452750806,E
286,Total renewable water resources per capita,1987,2122.5512968322,E
287,Total renewable water resources per capita,1992,1784.0231435706,E
288,Total renewable water resources per capita,1997,1683.405576242,E
289,Total renewable water resources per capita,2002,1475.200244774,E
290,Total renewable water resources per capita,2007,1295.1769797882,E
291,Total renewable water resources per capita,2012,1122.3683531096,E
292,Total renewable water resources per capita,2017,977.9178453935,E
293,Total renewable water resources per capita,2018,952.4220539279,E
294,Total agricultural water managed area,1992,89.9,E
295,Total agricultural water managed area,1997,106.773125,I
296,Total agricultural water managed area,2002,123.0646666667,E
297,Total agricultural water managed area,2007,138.812,E
298,Total agricultural water managed area,2012,152.46,E
299,Total agricultural water managed area,2017,152.46,E
300,Total agricultural water managed area,2018,152.46,E
301,Area equipped for irrigation: total,1992,28.0,E
302,Area equipped for irrigation: total,1997,44.873125,I
303,Area equipped for irrigation: total,2002,61.1646666667,I
304,Area equipped for irrigation: total,2007,76.912,I
305,Area equipped for irrigation: total,2012,90.56,I
306,Area equipped for irrigation: total,2017,90.56,I
307,Area equipped for irrigation: total,2018,90.56,I
308,% of agricultural GVA produced by irrigated agriculture,1992,1.7535063676,E
309,% of agricultural GVA produced by irrigated agriculture,1997,2.3561191614,E
310,% of agricultural GVA produced by irrigated agriculture,2002,2.6500649775,E
311,% of agricultural GVA produced by irrigated agriculture,2007,2.5199132215,E
312,% of agricultural GVA produced by irrigated agriculture,2012,2.1173721036,E
313,% of agricultural GVA produced by irrigated agriculture,2017,2.0813530316,E
314,% of agricultural GVA produced by irrigated agriculture,2018,2.0813530316,E
315,Ratio between rainfed and irrigated yields,1962,1.359,E
316,Ratio between rainfed and irrigated yields,1967,1.359,E
317,Ratio between rainfed and irrigated yields,1972,1.359,E
318,Ratio between rainfed and irrigated yields,1977,1.359,E
319,Ratio between rainfed and irrigated yields,1982,1.359,E
320,Ratio between rainfed and irrigated yields,1987,1.359,E
321,Ratio between rainfed and irrigated yields,1992,1.359,E
322,Ratio between rainfed and irrigated yields,1997,1.359,E
323,Ratio between rainfed and irrigated yields,2002,1.359,E
324,Ratio between rainfed and irrigated yields,2007,1.359,I
325,Ratio between rainfed and irrigated yields,2012,1.359,E
326,Ratio between rainfed and irrigated yields,2017,1.359,I
327,Ratio between rainfed and irrigated yields,2018,1.359,I
328,Agricultural water withdrawal as % of total renewable water resources,1997,5.4564525463,I
329,Agricultural water withdrawal as % of total renewable water resources,2002,6.7476851852,E
330,Agricultural water withdrawal as % of total renewable water resources,2007,6.7476851852,I
331,Agricultural water withdrawal as % of total renewable water resources,2012,6.7476851852,I
332,Agricultural water withdrawal as % of total renewable water resources,2017,6.7476851852,I
333,Agricultural water withdrawal as % of total renewable water resources,2018,6.7476851852,I
334,Agricultural water withdrawal,1997,0.942875,I
335,Agricultural water withdrawal,2001,1.121375,I
336,Agricultural water withdrawal,2007,1.166,I
337,Agricultural water withdrawal,2012,1.166,I
338,Agricultural water withdrawal,2017,1.166,I
339,Agricultural water withdrawal,2018,1.166,I
340,Irrigation water requirement,2002,0.3098,E
341,Irrigation water requirement,2007,0.3098,I
342,Irrigation water requirement,2012,0.3098,I
343,Irrigation water requirement,2017,0.3098,I
344,Irrigation water requirement,2018,0.3098,I
345,Irrigation water withdrawal,2002,1.166,E
346,Irrigation water withdrawal,2007,1.166,I
347,Irrigation water withdrawal,2012,1.166,I
348,Irrigation water withdrawal,2017,1.166,I
349,Irrigation water withdrawal,2018,1.166,I
350,Municipal water withdrawal,1987,0.06312,I
351,Municipal water withdrawal,1992,0.0859,I
352,Municipal water withdrawal,1997,0.1073,I
353,Municipal water withdrawal,2002,0.129,I
354,Municipal water withdrawal,2007,0.1431,I
355,Municipal water withdrawal,2012,0.1431,I
356,Municipal water withdrawal,2017,0.1431,I
357,Municipal water withdrawal,2018,0.1431,I
358,Industrial water withdrawal,1987,0.02812,I
359,Industrial water withdrawal,1992,0.0309,I
360,Industrial water withdrawal,1997,0.03595,I
361,Industrial water withdrawal,2002,0.04302,I
362,Industrial water withdrawal,2007,0.0477,I
363,Industrial water withdrawal,2012,0.0477,I
364,Industrial water withdrawal,2017,0.0477,I
365,Industrial water withdrawal,2018,0.0477,I
366,Total water withdrawal,1997,1.086125,E
367,Total water withdrawal,2002,1.33802,E
368,Total water withdrawal,2007,1.3568,I
369,Total water withdrawal,2012,1.3568,I
370,Total water withdrawal,2017,1.3568,I
371,Total water withdrawal,2018,1.3568,I
372,Total freshwater withdrawal,1997,1.086125,E
373,Total freshwater withdrawal,2002,1.33802,E
374,Total freshwater withdrawal,2007,1.3568,I
375,Total freshwater withdrawal,2012,1.3568,I
376,Total freshwater withdrawal,2017,1.3568,I
377,Total freshwater withdrawal,2018,1.3568,I
390,SDG 6.4.2. Water Stress,1997,14.0127080377,E
391,SDG 6.4.2. Water Stress,2002,17.2625467682,E
392,SDG 6.4.2. Water Stress,2007,17.5048380854,E
393,SDG 6.4.2. Water Stress,2012,17.5048380854,E
394,SDG 6.4.2. Water Stress,2017,17.5048380854,E
395,SDG 6.4.2. Water Stress,2018,17.5048380854,E
396,SDG 6.4.1. Water Use Efficiency,1997,1.840176785,I
397,SDG 6.4.1. Water Use Efficiency,2001,1.3853309858,I
398,SDG 6.4.1. Water Use Efficiency,2005,1.543578768,I
399,SDG 6.4.1. Water Use Efficiency,2017,3.1015137279,I
400,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.025775655,E
401,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2001,0.0274499889,E
402,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2005,0.0248034138,E
403,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2017,0.0349479925,E
404,SDG 6.4.1. Industrial Water Use Efficiency,1987,22.2213145476,E
405,SDG 6.4.1. Industrial Water Use Efficiency,1988,20.981084804,E
406,SDG 6.4.1. Industrial Water Use Efficiency,1997,15.8518260915,E
407,SDG 6.4.1. Industrial Water Use Efficiency,2001,12.2442730016,E
408,SDG 6.4.1. Industrial Water Use Efficiency,2005,10.7381042697,E
409,SDG 6.4.1. Industrial Water Use Efficiency,2017,18.6501543033,E
410,SDG 6.4.1. Services Water Use Efficiency,1987,8.1077500561,E
411,SDG 6.4.1. Services Water Use Efficiency,1988,7.6246161427,E
412,SDG 6.4.1. Services Water Use Efficiency,1997,13.0893349664,E
413,SDG 6.4.1. Services Water Use Efficiency,2001,10.0135052982,E
414,SDG 6.4.1. Services Water Use Efficiency,2005,10.8539435238,E
415,SDG 6.4.1. Services Water Use Efficiency,2017,22.9054654543,E
416,Harvested irrigated temporary crop area: Rice,1992,7.5,OF
417,Harvested irrigated temporary crop area: Rice,1997,6.95,I
418,Harvested irrigated temporary crop area: Rice,2002,6.4,E
419,Harvested irrigated temporary crop area: Rice,2007,6.4,I
420,Harvested irrigated temporary crop area: Rice,2012,6.4,I
421,Harvested irrigated temporary crop area: Rice,2017,6.4,I
422,Harvested irrigated temporary crop area: Rice,2018,6.4,I
423,Harvested irrigated temporary crop area: Maize,1992,2.0,OF
424,Harvested irrigated temporary crop area: Maize,1997,2.0,I
425,Harvested irrigated temporary crop area: Maize,2002,2.0,E
426,Harvested irrigated temporary crop area: Maize,2007,2.0,I
427,Harvested irrigated temporary crop area: Maize,2012,2.0,I
428,Harvested irrigated temporary crop area: Maize,2017,2.0,I
429,Harvested irrigated temporary crop area: Maize,2018,2.0,I
430,Harvested irrigated temporary crop area: Sugarcane,1992,15.0,OF
431,Harvested irrigated temporary crop area: Sugarcane,1997,19.175,I
432,Harvested irrigated temporary crop area: Sugarcane,2002,21.68,I
433,Harvested irrigated temporary crop area: Sugarcane,2007,21.68,I
434,Harvested irrigated temporary crop area: Sugarcane,2012,21.68,I
435,Harvested irrigated temporary crop area: Sugarcane,2017,21.68,I
436,Harvested irrigated temporary crop area: Sugarcane,2018,21.68,I
437,Harvested irrigated temporary crop area: Vegetables,1992,3.7,OF
438,Harvested irrigated temporary crop area: Vegetables,1997,2.85,I
439,Harvested irrigated temporary crop area: Vegetables,2002,2.0,E
440,Harvested irrigated temporary crop area: Vegetables,2007,2.0,I
441,Harvested irrigated temporary crop area: Vegetables,2012,2.0,I
442,Harvested irrigated temporary crop area: Vegetables,2017,2.0,I
443,Harvested irrigated temporary crop area: Vegetables,2018,2.0,I
444,Harvested irrigated permanent crop area: Coffee,2002,5.45,I
445,Harvested irrigated permanent crop area: Coffee,2007,5.45,I
446,Harvested irrigated permanent crop area: Coffee,2012,5.45,I
447,Harvested irrigated permanent crop area: Coffee,2017,5.45,I
448,Harvested irrigated permanent crop area: Coffee,2018,5.45,I
449,Harvested irrigated permanent crop area: Tea,2002,21.0,I
450,Harvested irrigated permanent crop area: Tea,2007,21.0,I
451,Harvested irrigated permanent crop area: Tea,2012,21.0,I
452,Harvested irrigated permanent crop area: Tea,2017,21.0,I
453,Harvested irrigated permanent crop area: Tea,2018,21.0,I
454,Harvested irrigated temporary crop area: Other crops,1992,1.65,OF
455,Harvested irrigated temporary crop area: Other crops,1997,1.65,I
456,Harvested irrigated temporary crop area: Other crops,2002,1.65,I
457,Harvested irrigated temporary crop area: Other crops,2007,1.65,I
458,Harvested irrigated temporary crop area: Other crops,2012,1.65,I
459,Harvested irrigated temporary crop area: Other crops,2017,1.65,I
460,Harvested irrigated temporary crop area: Other crops,2018,1.65,I
461,Harvested irrigated permanent crop area: Other crops,1992,1.65,OF
462,Harvested irrigated permanent crop area: Other crops,1997,1.65,I
463,Harvested irrigated permanent crop area: Other crops,2002,1.65,I
464,Harvested irrigated permanent crop area: Other crops,2007,1.65,I
465,Harvested irrigated permanent crop area: Other crops,2012,1.65,I
466,Harvested irrigated permanent crop area: Other crops,2017,1.65,I
467,Harvested irrigated permanent crop area: Other crops,2018,1.65,I
