Kazakhstan,Variable Name,Year,Value,Symbol
67,Prevalence of undernourishment (3-year average),2013,2.8,X
68,Total population with access to safe drinking-water (JMP),1992,94.1,X
69,Total population with access to safe drinking-water (JMP),1997,93.9,X
70,Total population with access to safe drinking-water (JMP),2002,93.7,X
71,Total population with access to safe drinking-water (JMP),2007,93.4,X
72,Total population with access to safe drinking-water (JMP),2012,93.1,X
73,Total population with access to safe drinking-water (JMP),2017,92.9,I
74,Total population with access to safe drinking-water (JMP),2018,92.9,I
75,Population affected by water related disease,2002,3.22,I
76,Population affected by water related disease,2007,3.22,I
77,Population affected by water related disease,2012,3.22,I
78,Population affected by water related disease,2017,3.22,I
79,Population affected by water related disease,2018,3.22,I
80,Long-term average annual precipitation in volume,1992,681.225,E
81,Long-term average annual precipitation in volume,1997,681.225,E
82,Long-term average annual precipitation in volume,2002,681.225,E
83,Long-term average annual precipitation in volume,2007,681.225,E
84,Long-term average annual precipitation in volume,2012,681.225,E
85,Long-term average annual precipitation in volume,2017,681.2255,E
86,Long-term average annual precipitation in volume,2018,681.2255,E
87,Interannual variability (WRI),2017,2.3,I
88,Interannual variability (WRI),2018,2.3,I
89,Seasonal variability (WRI),2017,3.1,I
90,Seasonal variability (WRI),2018,3.1,I
91,Flood occurrence (WRI),2017,1.7,I
92,Flood occurrence (WRI),2018,1.7,I
98,Surface water: entering the country (total),2017,72.04,OF
104,Surface water: leaving the country to other countries (total),2017,40.33,OF
105,Groundwater: entering the country (total),1992,0.0,OF
106,Groundwater: entering the country (total),1997,0.0,OF
107,Groundwater: entering the country (total),2002,0.0,OF
108,Groundwater: entering the country (total),2007,0.0,OF
109,Groundwater: entering the country (total),2012,0.0,OF
110,Groundwater: entering the country (total),2017,0.0,OF
111,Dependency ratio,1992,40.6420071949,E
112,Dependency ratio,1997,40.6420071949,E
113,Dependency ratio,2002,40.6420071949,E
114,Dependency ratio,2007,40.6420071949,E
115,Dependency ratio,2012,40.6420071949,E
116,Dependency ratio,2017,40.6420071949,E
117,Dependency ratio,2018,40.6420071949,E
118,Total internal renewable water resources (IRWR),1992,64.35,E
119,Total internal renewable water resources (IRWR),1997,64.35,E
120,Total internal renewable water resources (IRWR),2002,64.35,E
121,Total internal renewable water resources (IRWR),2007,64.35,E
122,Total internal renewable water resources (IRWR),2012,64.35,E
123,Total internal renewable water resources (IRWR),2017,64.35,E
124,Total internal renewable water resources (IRWR),2018,64.35,E
125,Total internal renewable water resources per capita,1992,3947.1732657556,E
126,Total internal renewable water resources per capita,1997,4176.9432344002,E
127,Total internal renewable water resources per capita,2002,4296.8210602057,E
128,Total internal renewable water resources per capita,2007,4098.1769067381,E
129,Total internal renewable water resources per capita,2012,3841.4413016128,E
130,Total internal renewable water resources per capita,2017,3559.1776756429,E
131,Total internal renewable water resources per capita,2018,3512.6278288117,E
132,Total renewable surface water,1992,100.56,E
133,Total renewable surface water,1997,100.56,E
134,Total renewable surface water,2002,100.56,E
135,Total renewable surface water,2007,100.56,E
136,Total renewable surface water,2012,100.56,E
137,Total renewable surface water,2017,100.56,E
138,Total renewable surface water,2018,100.56,E
139,Total renewable groundwater,1992,33.85,E
140,Total renewable groundwater,1997,33.85,E
141,Total renewable groundwater,2002,33.85,E
142,Total renewable groundwater,2007,33.85,E
143,Total renewable groundwater,2012,33.85,E
144,Total renewable groundwater,2017,33.85,E
145,Total renewable groundwater,2018,33.85,E
146,Water resources: total external renewable,1992,44.06,E
147,Water resources: total external renewable,1997,44.06,E
148,Water resources: total external renewable,2002,44.06,E
149,Water resources: total external renewable,2007,44.06,E
150,Water resources: total external renewable,2012,44.06,E
151,Water resources: total external renewable,2017,44.06,E
152,Water resources: total external renewable,2018,44.06,E
153,Total renewable water resources,1992,108.41,E
154,Total renewable water resources,1997,108.41,E
155,Total renewable water resources,2002,108.41,E
156,Total renewable water resources,2007,108.41,E
157,Total renewable water resources,2012,108.41,E
158,Total renewable water resources,2017,108.41,E
159,Total renewable water resources,2018,108.41,E
160,Total renewable water resources per capita,1992,6649.7755049039,E
161,Total renewable water resources per capita,1997,7036.8673821497,E
162,Total renewable water resources per capita,2002,7238.8247262922,E
163,Total renewable water resources per capita,2007,6904.1702946306,E
164,Total renewable water resources per capita,2012,6471.6495960816,E
165,Total renewable water resources per capita,2017,5996.1220173496,E
166,Total renewable water resources per capita,2018,5917.6998122996,E
167,Total agricultural water managed area,1997,3186.5993464052,E
168,Total agricultural water managed area,2002,1972.1,E
169,Total agricultural water managed area,2007,2156.0,E
170,Total agricultural water managed area,2010,2204.8,E
171,Area equipped for irrigation: total,1997,3186.5993464052,E
172,Area equipped for irrigation: total,2002,1972.1,E
173,Area equipped for irrigation: total,2007,2156.0,E
174,Area equipped for irrigation: total,2010,2204.8,E
175,% of agricultural GVA produced by irrigated agriculture,1997,10.615236518,E
176,% of agricultural GVA produced by irrigated agriculture,2002,10.227003361,E
177,% of agricultural GVA produced by irrigated agriculture,2007,8.2347459404,E
178,% of agricultural GVA produced by irrigated agriculture,2010,7.071391309,E
179,% of agricultural GVA produced by irrigated agriculture,2018,6.1432363336,E
181,Ratio between rainfed and irrigated yields,1996,1.778,I
182,Ratio between rainfed and irrigated yields,2001,1.778,I
183,Ratio between rainfed and irrigated yields,2007,1.778,I
184,Ratio between rainfed and irrigated yields,2011,1.778,I
185,Ratio between rainfed and irrigated yields,2017,1.778,I
186,Ratio between rainfed and irrigated yields,2018,1.778,I
187,Agricultural water withdrawal as % of total renewable water resources,1997,20.3357623835,I
188,Agricultural water withdrawal as % of total renewable water resources,2002,13.9931740614,E
189,Agricultural water withdrawal as % of total renewable water resources,2007,13.3382529287,E
190,Agricultural water withdrawal as % of total renewable water resources,2012,11.5210773914,E
191,Agricultural water withdrawal as % of total renewable water resources,2017,13.9470528549,E
192,Agricultural water withdrawal as % of total renewable water resources,2018,14.583525505,E
193,Agricultural water withdrawal,1997,22.046,I
194,Agricultural water withdrawal,2002,15.17,OF
195,Agricultural water withdrawal,2007,14.46,OF
196,Agricultural water withdrawal,2012,12.49,OF
197,Agricultural water withdrawal,2017,15.12,OF
198,Irrigation water requirement,2012,6.448,I
199,Irrigation water requirement,2017,6.448,I
200,Irrigation water requirement,2018,6.448,I
201,Irrigation water withdrawal,2012,11.32,OF
202,Irrigation water withdrawal,2017,12.125,I
203,Municipal water withdrawal,1997,1.2194,I
204,Municipal water withdrawal,2002,2.285,OF
205,Municipal water withdrawal,2007,2.542,OF
206,Municipal water withdrawal,2012,2.487,OF
207,Municipal water withdrawal,2017,2.347,OF
208,Industrial water withdrawal,1997,5.338,I
209,Industrial water withdrawal,2002,4.811,OF
210,Industrial water withdrawal,2007,5.807,OF
211,Industrial water withdrawal,2012,6.417,OF
212,Industrial water withdrawal,2017,6.984,OF
213,Total water withdrawal,1997,28.6034,I
214,Total water withdrawal,2002,22.266,E
215,Total water withdrawal,2007,22.809,E
216,Total water withdrawal,2012,21.394,E
217,Total water withdrawal,2017,24.451,E
218,Fresh surface water withdrawal,2002,21.1,OF
219,Fresh surface water withdrawal,2007,21.6,OF
220,Fresh surface water withdrawal,2012,21.46,OF
221,Fresh surface water withdrawal,2017,21.42,OF
222,Fresh groundwater withdrawal,2002,1.157,OF
223,Fresh groundwater withdrawal,2007,1.217,OF
224,Fresh groundwater withdrawal,2012,1.133,OF
225,Fresh groundwater withdrawal,2015,1.056,OF
226,Total freshwater withdrawal,1997,27.0054,E
227,Total freshwater withdrawal,2002,22.26,OF
228,Total freshwater withdrawal,2007,22.81,OF
229,Total freshwater withdrawal,2012,21.39,OF
230,Total freshwater withdrawal,2017,22.45,OF
231,Desalinated water produced,1997,1.328,I
232,Desalinated water produced,2002,0.64,OF
233,Desalinated water produced,2007,0.64,E
234,Desalinated water produced,2012,0.9665,I
235,Desalinated water produced,2016,1.25,OF
236,Direct use of treated municipal wastewater,2002,0.15,OF
237,Direct use of treated municipal wastewater,2007,0.1775,I
238,Direct use of treated municipal wastewater,2010,0.194,OF
239,Produced municipal wastewater,2012,0.33,I
240,Produced municipal wastewater,2017,0.33,I
241,Produced municipal wastewater,2018,0.33,I
242,Treated municipal wastewater,1993,0.274,OF
249,SDG 6.4.2. Water Stress,1997,37.4554785021,E
250,SDG 6.4.2. Water Stress,2002,30.8737864078,E
251,SDG 6.4.2. Water Stress,2007,31.6366158114,E
252,SDG 6.4.2. Water Stress,2012,29.6671289875,E
253,SDG 6.4.2. Water Stress,2017,31.1373092926,E
254,SDG 6.4.2. Water Stress,2018,32.6518723994,E
255,SDG 6.4.1. Industrial Water Use Efficiency,2015,8.7100345224,E
256,SDG 6.4.1. Services Water Use Efficiency,2015,48.7796976242,E
257,Area salinized by irrigation,1997,280.1882352941,I
258,Area salinized by irrigation,2002,327.9235294118,I
259,Area salinized by irrigation,2007,375.6588235294,I
260,Area salinized by irrigation,2010,404.3,OF
261,Harvested irrigated temporary crop area: Wheat,1997,123.2705882353,I
262,Harvested irrigated temporary crop area: Wheat,2002,155.8588235294,I
263,Harvested irrigated temporary crop area: Wheat,2007,188.4470588235,I
264,Harvested irrigated temporary crop area: Wheat,2012,208.0,I
265,Harvested irrigated temporary crop area: Wheat,2017,208.0,I
266,Harvested irrigated temporary crop area: Wheat,2018,208.0,I
267,Harvested irrigated temporary crop area: Rice,1997,107.3058823529,I
268,Harvested irrigated temporary crop area: Rice,2002,102.1882352941,I
269,Harvested irrigated temporary crop area: Rice,2007,97.0705882353,I
270,Harvested irrigated temporary crop area: Rice,2012,94.0,I
271,Harvested irrigated temporary crop area: Rice,2017,94.0,I
272,Harvested irrigated temporary crop area: Rice,2018,94.0,I
273,Harvested irrigated temporary crop area: Barley,1997,95.0588235294,I
274,Harvested irrigated temporary crop area: Barley,2002,93.8823529412,I
275,Harvested irrigated temporary crop area: Barley,2007,92.7058823529,I
276,Harvested irrigated temporary crop area: Barley,2012,92.0,I
277,Harvested irrigated temporary crop area: Barley,2017,92.0,I
278,Harvested irrigated temporary crop area: Barley,2018,92.0,I
279,Harvested irrigated temporary crop area: Maize,1997,112.7294117647,I
280,Harvested irrigated temporary crop area: Maize,2002,106.1411764706,I
281,Harvested irrigated temporary crop area: Maize,2007,99.5529411765,I
282,Harvested irrigated temporary crop area: Maize,2012,95.6,I
283,Harvested irrigated temporary crop area: Maize,2017,95.6,I
284,Harvested irrigated temporary crop area: Maize,2018,95.6,I
285,Harvested irrigated temporary crop area: Other cereals,1997,200.0,I
286,Harvested irrigated temporary crop area: Other cereals,2002,200.0,I
287,Harvested irrigated temporary crop area: Other cereals,2007,200.0,I
288,Harvested irrigated temporary crop area: Other cereals,2012,200.0,I
289,Harvested irrigated temporary crop area: Other cereals,2017,200.0,I
290,Harvested irrigated temporary crop area: Other cereals,2018,200.0,I
291,Harvested irrigated temporary crop area: Potatoes,2012,60.0,I
292,Harvested irrigated temporary crop area: Potatoes,2017,60.0,I
293,Harvested irrigated temporary crop area: Potatoes,2018,60.0,I
294,Harvested irrigated temporary crop area: Other roots and tubers,1997,69.0,I
295,Harvested irrigated temporary crop area: Other roots and tubers,2002,69.0,I
296,Harvested irrigated temporary crop area: Other roots and tubers,2007,69.0,I
297,Harvested irrigated temporary crop area: Other roots and tubers,2012,69.0,I
298,Harvested irrigated temporary crop area: Other roots and tubers,2017,69.0,I
299,Harvested irrigated temporary crop area: Other roots and tubers,2018,69.0,I
300,Harvested irrigated temporary crop area: Sugar beet,2012,8.72,I
301,Harvested irrigated temporary crop area: Sugar beet,2017,8.72,I
302,Harvested irrigated temporary crop area: Sugar beet,2018,8.72,I
303,Harvested irrigated temporary crop area: Leguminous crops,1997,14.3,I
304,Harvested irrigated temporary crop area: Leguminous crops,2002,14.3,I
305,Harvested irrigated temporary crop area: Leguminous crops,2007,14.3,I
306,Harvested irrigated temporary crop area: Leguminous crops,2012,14.3,I
307,Harvested irrigated temporary crop area: Leguminous crops,2017,14.3,I
308,Harvested irrigated temporary crop area: Leguminous crops,2018,14.3,I
309,Harvested irrigated temporary crop area: Vegetables,1997,65.5235294118,I
310,Harvested irrigated temporary crop area: Vegetables,2002,110.5529411765,I
311,Harvested irrigated temporary crop area: Vegetables,2007,155.5823529412,I
312,Harvested irrigated temporary crop area: Vegetables,2012,182.6,I
313,Harvested irrigated temporary crop area: Vegetables,2017,182.6,I
314,Harvested irrigated temporary crop area: Vegetables,2018,182.6,I
315,Harvested irrigated temporary crop area: Tobacco,2012,1.6,I
316,Harvested irrigated temporary crop area: Tobacco,2017,1.6,I
317,Harvested irrigated temporary crop area: Tobacco,2018,1.6,I
318,Harvested irrigated temporary crop area: Cotton,1997,116.1529411765,I
319,Harvested irrigated temporary crop area: Cotton,2002,123.0941176471,I
320,Harvested irrigated temporary crop area: Cotton,2007,130.0352941176,I
321,Harvested irrigated temporary crop area: Cotton,2012,134.2,I
322,Harvested irrigated temporary crop area: Cotton,2017,134.2,I
323,Harvested irrigated temporary crop area: Cotton,2018,134.2,I
324,Harvested irrigated temporary crop area: Fodder,1997,1007.0,I
325,Harvested irrigated temporary crop area: Fodder,2002,1007.0,I
326,Harvested irrigated temporary crop area: Fodder,2007,1007.0,I
327,Harvested irrigated temporary crop area: Fodder,2012,1007.0,I
328,Harvested irrigated temporary crop area: Fodder,2017,1007.0,I
329,Harvested irrigated temporary crop area: Fodder,2018,1007.0,I
330,Harvested irrigated permanent crop area: Oil palm,1997,80.0,I
331,Harvested irrigated permanent crop area: Oil palm,2002,80.0,I
332,Harvested irrigated permanent crop area: Oil palm,2007,80.0,I
333,Harvested irrigated permanent crop area: Oil palm,2012,80.0,I
334,Harvested irrigated permanent crop area: Oil palm,2017,80.0,I
335,Harvested irrigated permanent crop area: Oil palm,2018,80.0,I
336,Harvested irrigated temporary crop area: Sunflower,2012,40.0,I
337,Harvested irrigated temporary crop area: Sunflower,2017,40.0,I
338,Harvested irrigated temporary crop area: Sunflower,2018,40.0,I
339,Harvested irrigated temporary crop area: Other crops,1997,114.6952941176,I
340,Harvested irrigated temporary crop area: Other crops,2002,72.4394117647,I
341,Harvested irrigated temporary crop area: Other crops,2007,30.1835294118,I
342,Harvested irrigated temporary crop area: Other crops,2012,4.83,I
343,Harvested irrigated temporary crop area: Other crops,2017,4.83,I
344,Harvested irrigated temporary crop area: Other crops,2018,4.83,I
345,Harvested irrigated permanent crop area: Other crops,2012,54.0,I
346,Harvested irrigated permanent crop area: Other crops,2017,54.0,I
347,Harvested irrigated permanent crop area: Other crops,2018,54.0,I
