Lithuania,Variable Name,Year,Value,Symbol
85,Groundwater: entering the country (total),2017,0.0,E
86,Dependency ratio,1992,36.8979591837,E
87,Dependency ratio,1997,36.8979591837,E
88,Dependency ratio,2002,36.8979591837,E
89,Dependency ratio,2007,36.8979591837,E
90,Dependency ratio,2012,36.8979591837,E
91,Dependency ratio,2017,36.8979591837,E
92,Dependency ratio,2018,36.8979591837,E
93,Total internal renewable water resources (IRWR),1992,15.46,E
94,Total internal renewable water resources (IRWR),1997,15.46,E
95,Total internal renewable water resources (IRWR),2002,15.46,E
96,Total internal renewable water resources (IRWR),2007,15.46,E
97,Total internal renewable water resources (IRWR),2012,15.46,E
98,Total internal renewable water resources (IRWR),2017,15.46,E
99,Total internal renewable water resources (IRWR),2018,15.46,E
100,Total internal renewable water resources per capita,1992,4191.853487942,E
101,Total internal renewable water resources per capita,1997,4318.5443209466,E
102,Total internal renewable water resources per capita,2002,4487.9720317479,E
103,Total internal renewable water resources per capita,2007,4743.8155496505,E
104,Total internal renewable water resources per capita,2012,5076.2404693257,E
105,Total internal renewable water resources per capita,2017,5433.3042573067,E
106,Total internal renewable water resources per capita,2018,5518.9371655081,E
107,Total renewable surface water,1992,24.4,E
108,Total renewable surface water,1997,24.4,E
109,Total renewable surface water,2002,24.4,E
110,Total renewable surface water,2007,24.4,E
111,Total renewable surface water,2012,24.4,E
112,Total renewable surface water,2017,24.4,E
113,Total renewable surface water,2018,24.4,E
114,Total renewable groundwater,1992,1.1,E
115,Total renewable groundwater,1997,1.1,E
116,Total renewable groundwater,2002,1.1,E
117,Total renewable groundwater,2007,1.1,E
118,Total renewable groundwater,2012,1.1,E
119,Total renewable groundwater,2017,1.1,E
120,Total renewable groundwater,2018,1.1,E
121,Water resources: total external renewable,1992,9.04,E
122,Water resources: total external renewable,1997,9.04,E
123,Water resources: total external renewable,2002,9.04,E
124,Water resources: total external renewable,2007,9.04,E
125,Water resources: total external renewable,2012,9.04,E
126,Water resources: total external renewable,2017,9.04,E
127,Water resources: total external renewable,2018,9.04,E
128,Total renewable water resources,1992,24.5,E
129,Total renewable water resources,1997,24.5,E
130,Total renewable water resources,2002,24.5,E
131,Total renewable water resources,2007,24.5,E
132,Total renewable water resources,2012,24.5,E
133,Total renewable water resources,2017,24.5,E
134,Total renewable water resources,2018,24.5,E
135,Total renewable water resources per capita,1992,6642.976096674,E
136,Total renewable water resources per capita,1997,6843.7474685118,E
137,Total renewable water resources per capita,2002,7112.2454578152,E
138,Total renewable water resources per capita,2007,7517.6895838575,E
139,Total renewable water resources per capita,2012,8044.494922282,E
140,Total renewable water resources per capita,2017,8610.3463327305,E
141,Total renewable water resources per capita,2018,8746.0517823383,E
142,Total agricultural water managed area,1997,8.9945454545,I
143,Total agricultural water managed area,2002,6.1354545455,I
144,Total agricultural water managed area,2007,4.464,E
145,Total agricultural water managed area,2012,4.44,E
146,Total agricultural water managed area,2017,4.49,I
147,Total agricultural water managed area,2018,4.49,I
148,Area equipped for irrigation: total,1997,8.9945454545,I
149,Area equipped for irrigation: total,2002,6.1354545455,I
150,Area equipped for irrigation: total,2007,4.464,E
151,Area equipped for irrigation: total,2012,4.44,E
152,Area equipped for irrigation: total,2017,4.49,I
153,Area equipped for irrigation: total,2018,4.49,I
154,% of agricultural GVA produced by irrigated agriculture,2007,0.0952698365,E
155,% of agricultural GVA produced by irrigated agriculture,2012,0.1187663233,E
156,% of agricultural GVA produced by irrigated agriculture,2017,0.1272615545,E
157,% of agricultural GVA produced by irrigated agriculture,2018,0.1265638071,E
159,Ratio between rainfed and irrigated yields,1996,1.778,I
160,Ratio between rainfed and irrigated yields,2001,1.778,I
161,Ratio between rainfed and irrigated yields,2007,1.778,I
162,Ratio between rainfed and irrigated yields,2011,1.778,I
163,Ratio between rainfed and irrigated yields,2017,1.778,I
164,Ratio between rainfed and irrigated yields,2018,1.778,I
165,Agricultural water withdrawal as % of total renewable water resources,1997,0.052244898,I
166,Agricultural water withdrawal as % of total renewable water resources,2002,0.28,I
167,Agricultural water withdrawal as % of total renewable water resources,2007,0.333877551,E
168,Agricultural water withdrawal as % of total renewable water resources,2012,0.2606122449,I
169,Agricultural water withdrawal as % of total renewable water resources,2017,0.2404081633,E
170,Agricultural water withdrawal as % of total renewable water resources,2018,0.2332244898,E
171,Agricultural water withdrawal,1997,0.0128,I
172,Agricultural water withdrawal,2002,0.0686,I
173,Agricultural water withdrawal,2006,0.0829,X
174,Agricultural water withdrawal,2012,0.06385,I
175,Agricultural water withdrawal,2017,0.0589,OF
176,Irrigation water requirement,2012,0.0014,I
177,Irrigation water requirement,2017,0.0014,I
178,Irrigation water requirement,2018,0.0014,I
179,Irrigation water withdrawal,2006,0.0018,X
180,Irrigation water withdrawal,2012,0.0009,I
181,Irrigation water withdrawal,2017,0.0005,OF
182,Municipal water withdrawal,1997,0.194,I
183,Municipal water withdrawal,2002,0.165825,I
184,Municipal water withdrawal,2007,0.13495,I
185,Municipal water withdrawal,2012,0.104075,I
186,Municipal water withdrawal,2017,0.1304,OF
187,Industrial water withdrawal,1997,3.607,I
188,Industrial water withdrawal,2002,2.3602384615,I
189,Industrial water withdrawal,2007,1.4464307692,I
190,Industrial water withdrawal,2012,0.5326230769,I
191,Industrial water withdrawal,2017,0.0697,OF
192,Total water withdrawal,1997,3.8138,E
193,Total water withdrawal,2002,2.5946634615,E
194,Total water withdrawal,2007,2.269,X
195,Total water withdrawal,2012,0.7005480769,E
196,Total water withdrawal,2014,0.3576,E
197,Fresh surface water withdrawal,2006,2.146,I
198,Fresh surface water withdrawal,2012,0.3734333333,I
199,Fresh surface water withdrawal,2017,0.1186,OF
200,Fresh groundwater withdrawal,1992,0.3802,I
201,Fresh groundwater withdrawal,1997,0.19548,I
202,Fresh groundwater withdrawal,2002,0.17168,I
203,Fresh groundwater withdrawal,2007,0.1754,X
204,Fresh groundwater withdrawal,2012,0.1633666667,I
205,Fresh groundwater withdrawal,2017,0.1404,OF
206,Total freshwater withdrawal,1995,4.3472,E
207,Total freshwater withdrawal,2006,2.3122,I
208,Total freshwater withdrawal,2012,0.5368,I
209,Total freshwater withdrawal,2017,0.259,OF
210,Direct use of treated municipal wastewater,1997,0.0048285714,I
211,Direct use of treated municipal wastewater,2002,0.0049,I
212,Direct use of treated municipal wastewater,2007,0.0049714286,I
213,Direct use of treated municipal wastewater,2009,0.005,OF
214,Produced municipal wastewater,2017,0.2466,OF
215,Collected municipal wastewater,2017,0.2288,OF
216,Treated municipal wastewater,1997,0.0850571429,I
217,Treated municipal wastewater,2002,0.10295,I
218,Treated municipal wastewater,2007,0.1208428571,I
219,Treated municipal wastewater,2012,0.14372,I
220,Treated municipal wastewater,2017,0.1901,OF
221,Treated municipal wastewater discharged (secondary water),1997,0.0802285714,I
222,Treated municipal wastewater discharged (secondary water),2002,0.09805,I
223,Treated municipal wastewater discharged (secondary water),2007,0.1158714286,I
224,Treated municipal wastewater discharged (secondary water),2012,0.123,I
225,Treated municipal wastewater discharged (secondary water),2017,0.123,I
226,Treated municipal wastewater discharged (secondary water),2018,0.123,I
233,SDG 6.4.2. Water Stress,1995,31.3424657534,E
234,SDG 6.4.2. Water Stress,2007,16.322999279,E
235,SDG 6.4.2. Water Stress,2012,3.870223504,E
236,SDG 6.4.2. Water Stress,2017,1.8673395818,E
237,SDG 6.4.2. Water Stress,2018,1.8341023792,E
238,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.0284355058,E
239,SDG 6.4.1. Industrial Water Use Efficiency,2015,52.8066537566,E
240,SDG 6.4.1. Services Water Use Efficiency,2015,197.0514058949,E
241,Harvested irrigated temporary crop area: Potatoes,2012,0.642,I
242,Harvested irrigated temporary crop area: Potatoes,2017,0.642,I
243,Harvested irrigated temporary crop area: Potatoes,2018,0.642,I
244,Harvested irrigated temporary crop area: Vegetables,2012,0.615,I
245,Harvested irrigated temporary crop area: Vegetables,2017,0.615,I
246,Harvested irrigated temporary crop area: Vegetables,2018,0.615,I
247,Harvested irrigated temporary crop area: Other crops,2012,0.101,I
248,Harvested irrigated temporary crop area: Other crops,2017,0.101,I
249,Harvested irrigated temporary crop area: Other crops,2018,0.101,I
