,,Value,Symbol
Population affected by water related disease,Burkina Faso,6172.0,I
Total population with access to safe drinking-water (JMP),Burundi,75.9,I
Total population with access to safe drinking-water (JMP),Cabo Verde,91.7,I
Total population with access to safe drinking-water (JMP),Cambodia,75.5,I
Population affected by water related disease,Cambodia,507.0,I
Total population with access to safe drinking-water (JMP),Cameroon,75.6,I
Total population with access to safe drinking-water (JMP),Canada,99.8,I
Total population with access to safe drinking-water (JMP),Central African Republic,68.5,I
Total population with access to safe drinking-water (JMP),Chad,50.8,I
Number of people undernourished (3-year average),Chile,600.0,X
Total population with access to safe drinking-water (JMP),Chile,99.0,I
Number of people undernourished (3-year average),China,122400.0,X
Prevalence of undernourishment (3-year average),China,8.5,X
Total population with access to safe drinking-water (JMP),China,95.5,I
Total population with access to safe drinking-water (JMP),Colombia,91.4,I
Population affected by water related disease,Colombia,7.089,I
Total population with access to safe drinking-water (JMP),Comoros,90.1,I
Total population with access to safe drinking-water (JMP),Congo,76.5,I
Population affected by water related disease,Congo,175.2,I
Total population with access to safe drinking-water (JMP),Cook Islands,99.9,I
Number of people undernourished (3-year average),Costa Rica,200.0,X
Total population with access to safe drinking-water (JMP),Costa Rica,97.8,I
Population affected by water related disease,Costa Rica,315.9,I
Number of people undernourished (3-year average),Croatia,100.0,I
Prevalence of undernourishment (3-year average),Croatia,2.5,I
Total population with access to safe drinking-water (JMP),Croatia,99.6,I
Number of people undernourished (3-year average),Cuba,300.0,I
Prevalence of undernourishment (3-year average),Cuba,2.8,I
Total population with access to safe drinking-water (JMP),Cuba,94.9,I
Population affected by water related disease,Cuba,1033.0,I
Prevalence of undernourishment (3-year average),Cyprus,7.1,X
Total population with access to safe drinking-water (JMP),Cyprus,100.0,I
Total population with access to safe drinking-water (JMP),Czechia,100.0,I
Total population with access to safe drinking-water (JMP),Côte d’Ivoire,81.9,I
Population affected by water related disease,Côte d’Ivoire,1423.0,I
Total population with access to safe drinking-water (JMP),Democratic People's Republic of Korea,99.7,I
Total population with access to safe drinking-water (JMP),Democratic Republic of the Congo,52.4,I
Total population with access to safe drinking-water (JMP),Denmark,100.0,I
Number of people undernourished (3-year average),Djibouti,200.0,X
Total population with access to safe drinking-water (JMP),Djibouti,90.0,I
Total population with access to safe drinking-water (JMP),Dominica,94.4,I
Total population with access to safe drinking-water (JMP),Dominican Republic,84.7,I
Total population with access to safe drinking-water (JMP),Ecuador,86.9,I
Population affected by water related disease,Ecuador,8.57,I
Total population with access to safe drinking-water (JMP),Egypt,99.4,I
Number of people undernourished (3-year average),El Salvador,600.0,X
Total population with access to safe drinking-water (JMP),El Salvador,93.8,I
Population affected by water related disease,El Salvador,12.0,I
Total population with access to safe drinking-water (JMP),Equatorial Guinea,47.9,I
Total population with access to safe drinking-water (JMP),Eritrea,57.8,I
Prevalence of undernourishment (3-year average),Estonia,2.9,X
Total population with access to safe drinking-water (JMP),Estonia,99.6,I
Total population with access to safe drinking-water (JMP),Eswatini,74.1,I
Population affected by water related disease,Eswatini,2.926,I
Total population with access to safe drinking-water (JMP),Ethiopia,57.3,I
Total population with access to safe drinking-water (JMP),Fiji,95.7,I
Total population with access to safe drinking-water (JMP),Finland,100.0,I
Total population with access to safe drinking-water (JMP),France,100.0,I
Number of people undernourished (3-year average),Gabon,300.0,X
Total population with access to safe drinking-water (JMP),Gabon,93.2,I
Number of people undernourished (3-year average),Gambia,300.0,X
Total population with access to safe drinking-water (JMP),Gambia,90.2,I
Number of people undernourished (3-year average),Georgia,300.0,X
Total population with access to safe drinking-water (JMP),Georgia,100.0,I
Total population with access to safe drinking-water (JMP),Germany,100.0,I
Total population with access to safe drinking-water (JMP),Ghana,88.7,I
Total population with access to safe drinking-water (JMP),Greece,100.0,I
Total population with access to safe drinking-water (JMP),Grenada,96.6,I
Total population with access to safe drinking-water (JMP),Guatemala,92.8,I
Population affected by water related disease,Guatemala,1880.0,I
Number of people undernourished (3-year average),Guinea,2100.0,X
Prevalence of undernourishment (3-year average),Guinea,16.5,X
Total population with access to safe drinking-water (JMP),Guinea,76.8,I
Number of people undernourished (3-year average),Guinea-Bissau,500.0,X
Prevalence of undernourishment (3-year average),Guinea-Bissau,28.0,X
Total population with access to safe drinking-water (JMP),Guinea-Bissau,79.3,I
Number of people undernourished (3-year average),Guyana,100.0,I
Prevalence of undernourishment (3-year average),Guyana,6.0,X
Total population with access to safe drinking-water (JMP),Guyana,98.3,I
Number of people undernourished (3-year average),Haiti,5300.0,X
Total population with access to safe drinking-water (JMP),Haiti,57.7,I
Total population with access to safe drinking-water (JMP),Honduras,91.2,I
Total population with access to safe drinking-water (JMP),Hungary,100.0,I
Total population with access to safe drinking-water (JMP),Iceland,100.0,I
Total population with access to safe drinking-water (JMP),India,94.1,I
Population affected by water related disease,India,44000.0,I
Total population with access to safe drinking-water (JMP),Indonesia,87.4,I
Population affected by water related disease,Indonesia,5.111,I
Total population with access to safe drinking-water (JMP),Iran (Islamic Republic of),96.2,I
Total population with access to safe drinking-water (JMP),Iraq,86.6,I
Total population with access to safe drinking-water (JMP),Ireland,97.9,I
Total population with access to safe drinking-water (JMP),Israel,100.0,I
Total population with access to safe drinking-water (JMP),Italy,100.0,I
Number of people undernourished (3-year average),Jamaica,300.0,X
Total population with access to safe drinking-water (JMP),Jamaica,93.8,I
Prevalence of undernourishment (3-year average),Japan,2.7,I
Total population with access to safe drinking-water (JMP),Japan,100.0,I
Number of people undernourished (3-year average),Jordan,800.0,X
Total population with access to safe drinking-water (JMP),Jordan,96.9,I
Total population with access to safe drinking-water (JMP),Kazakhstan,92.9,I
Population affected by water related disease,Kazakhstan,3.22,I
Total population with access to safe drinking-water (JMP),Kenya,63.2,I
Total population with access to safe drinking-water (JMP),Kiribati,66.9,I
Number of people undernourished (3-year average),Kuwait,100.0,X
Prevalence of undernourishment (3-year average),Kuwait,2.8,X
Total population with access to safe drinking-water (JMP),Kuwait,99.0,I
Total population with access to safe drinking-water (JMP),Kyrgyzstan,90.0,I
Population affected by water related disease,Kyrgyzstan,122.8,I
Total population with access to safe drinking-water (JMP),Lao People's Democratic Republic,75.7,I
Number of people undernourished (3-year average),Latvia,100.0,I
Prevalence of undernourishment (3-year average),Latvia,2.8,I
Total population with access to safe drinking-water (JMP),Latvia,99.3,I
Total population with access to safe drinking-water (JMP),Lebanon,99.0,I
Total population with access to safe drinking-water (JMP),Lesotho,81.8,I
Total population with access to safe drinking-water (JMP),Liberia,75.6,I
Total population with access to safe drinking-water (JMP),Libya,71.2,I
Total population with access to safe drinking-water (JMP),Lithuania,96.6,I
Total population with access to safe drinking-water (JMP),Luxembourg,100.0,I
Total population with access to safe drinking-water (JMP),Madagascar,51.5,I
Total population with access to safe drinking-water (JMP),Malawi,90.2,I
Total population with access to safe drinking-water (JMP),Malaysia,98.2,I
Population affected by water related disease,Malaysia,7.0,I
Prevalence of undernourishment (3-year average),Maldives,10.3,X
Total population with access to safe drinking-water (JMP),Maldives,98.6,I
Total population with access to safe drinking-water (JMP),Mali,77.0,I
Population affected by water related disease,Mali,2291.0,I
Total population with access to safe drinking-water (JMP),Malta,100.0,I
Total population with access to safe drinking-water (JMP),Marshall Islands,94.6,I
Total population with access to safe drinking-water (JMP),Mauritania,57.9,I
Population affected by water related disease,Mauritania,111.6,I
Total population with access to safe drinking-water (JMP),Mauritius,99.9,I
Population affected by water related disease,Mauritius,0.0,I
Total population with access to safe drinking-water (JMP),Mexico,96.1,I
Total population with access to safe drinking-water (JMP),Micronesia (Federated States of),89.0,I
Total population with access to safe drinking-water (JMP),Monaco,100.0,I
Total population with access to safe drinking-water (JMP),Mongolia,64.4,I
Total population with access to safe drinking-water (JMP),Montenegro,99.7,I
Total population with access to safe drinking-water (JMP),Morocco,85.4,I
Total population with access to safe drinking-water (JMP),Mozambique,51.1,I
Total population with access to safe drinking-water (JMP),Myanmar,80.6,I
Total population with access to safe drinking-water (JMP),Namibia,91.0,I
Total population with access to safe drinking-water (JMP),Nauru,96.5,I
Total population with access to safe drinking-water (JMP),Nepal,91.6,I
Total population with access to safe drinking-water (JMP),Netherlands,100.0,I
Total population with access to safe drinking-water (JMP),New Zealand,100.0,I
Number of people undernourished (3-year average),Nicaragua,1100.0,X
Total population with access to safe drinking-water (JMP),Nicaragua,87.0,I
Population affected by water related disease,Nicaragua,214.0,I
Number of people undernourished (3-year average),Niger,3600.0,X
Prevalence of undernourishment (3-year average),Niger,16.5,X
Total population with access to safe drinking-water (JMP),Niger,58.2,I
Population affected by water related disease,Niger,3143.0,I
Total population with access to safe drinking-water (JMP),Nigeria,68.5,I
Total population with access to safe drinking-water (JMP),Niue,98.5,I
Number of people undernourished (3-year average),North Macedonia,100.0,I
Total population with access to safe drinking-water (JMP),North Macedonia,99.4,I
Total population with access to safe drinking-water (JMP),Norway,100.0,I
Number of people undernourished (3-year average),Oman,400.0,X
Total population with access to safe drinking-water (JMP),Oman,93.4,I
Total population with access to safe drinking-water (JMP),Pakistan,91.4,I
Total population with access to safe drinking-water (JMP),Palau,95.3,I
Number of people undernourished (3-year average),Panama,300.0,X
Total population with access to safe drinking-water (JMP),Panama,94.7,I
Population affected by water related disease,Panama,313.7,I
Total population with access to safe drinking-water (JMP),Papua New Guinea,40.0,I
Total population with access to safe drinking-water (JMP),Paraguay,98.0,I
Total population with access to safe drinking-water (JMP),Peru,86.7,I
Population affected by water related disease,Peru,600.2,I
Total population with access to safe drinking-water (JMP),Philippines,91.8,I
Population affected by water related disease,Philippines,866.4,I
Total population with access to safe drinking-water (JMP),Poland,98.3,I
Total population with access to safe drinking-water (JMP),Portugal,100.0,I
Total population with access to safe drinking-water (JMP),Puerto Rico,93.6,I
Total population with access to safe drinking-water (JMP),Qatar,100.0,I
Number of people undernourished (3-year average),Republic of Korea,1200.0,I
Prevalence of undernourishment (3-year average),Republic of Korea,2.5,I
Total population with access to safe drinking-water (JMP),Republic of Korea,97.6,I
Total population with access to safe drinking-water (JMP),Republic of Moldova,88.4,I
Number of people undernourished (3-year average),Republic of Serbia,400.0,X
Total population with access to safe drinking-water (JMP),Republic of Serbia,99.2,I
Total population with access to safe drinking-water (JMP),Romania,100.0,I
Number of people undernourished (3-year average),Russian Federation,3700.0,I
Prevalence of undernourishment (3-year average),Russian Federation,2.6,I
Total population with access to safe drinking-water (JMP),Russian Federation,96.9,I
Total population with access to safe drinking-water (JMP),Rwanda,76.1,I
Total population with access to safe drinking-water (JMP),Saint Kitts and Nevis,98.3,I
Total population with access to safe drinking-water (JMP),Saint Lucia,96.3,I
Total population with access to safe drinking-water (JMP),Saint Vincent and the Grenadines,95.1,I
Total population with access to safe drinking-water (JMP),Samoa,99.0,I
Total population with access to safe drinking-water (JMP),Sao Tome and Principe,97.1,I
Total population with access to safe drinking-water (JMP),Saudi Arabia,97.0,I
Total population with access to safe drinking-water (JMP),Senegal,78.5,I
Total population with access to safe drinking-water (JMP),Seychelles,95.7,I
Number of people undernourished (3-year average),Sierra Leone,2000.0,X
Total population with access to safe drinking-water (JMP),Sierra Leone,62.6,I
Total population with access to safe drinking-water (JMP),Singapore,100.0,I
Total population with access to safe drinking-water (JMP),Slovakia,100.0,I
Total population with access to safe drinking-water (JMP),Slovenia,99.5,I
Total population with access to safe drinking-water (JMP),Solomon Islands,80.8,I
Total population with access to safe drinking-water (JMP),Somalia,31.7,I
Number of people undernourished (3-year average),South Africa,3100.0,X
Prevalence of undernourishment (3-year average),South Africa,5.5,X
Total population with access to safe drinking-water (JMP),South Africa,93.2,I
Total population with access to safe drinking-water (JMP),South Sudan,58.7,I
Total population with access to safe drinking-water (JMP),Spain,100.0,I
Total population with access to safe drinking-water (JMP),Sri Lanka,95.6,I
Population affected by water related disease,Sri Lanka,120.0,I
Total population with access to safe drinking-water (JMP),State of Palestine,58.4,I
Total population with access to safe drinking-water (JMP),Sudan,55.5,I
Prevalence of undernourishment (3-year average),Suriname,8.4,X
Total population with access to safe drinking-water (JMP),Suriname,94.8,I
Total population with access to safe drinking-water (JMP),Sweden,100.0,I
Total population with access to safe drinking-water (JMP),Switzerland,100.0,I
Total population with access to safe drinking-water (JMP),Syrian Arab Republic,90.1,I
Number of people undernourished (3-year average),Tajikistan,2900.0,I
Prevalence of undernourishment (3-year average),Tajikistan,33.2,I
Total population with access to safe drinking-water (JMP),Tajikistan,73.8,I
Total population with access to safe drinking-water (JMP),Thailand,97.8,I
Population affected by water related disease,Thailand,960.0,I
Total population with access to safe drinking-water (JMP),Timor-Leste,71.9,I
Number of people undernourished (3-year average),Togo,1600.0,X
Total population with access to safe drinking-water (JMP),Togo,63.1,I
Total population with access to safe drinking-water (JMP),Tokelau,100.0,I
Total population with access to safe drinking-water (JMP),Tonga,99.6,I
Number of people undernourished (3-year average),Trinidad and Tobago,100.0,I
Total population with access to safe drinking-water (JMP),Trinidad and Tobago,95.1,I
Number of people undernourished (3-year average),Tunisia,500.0,X
Prevalence of undernourishment (3-year average),Tunisia,4.3,X
Total population with access to safe drinking-water (JMP),Tunisia,97.7,I
Total population with access to safe drinking-water (JMP),Turkey,100.0,I
Number of people undernourished (3-year average),Turkmenistan,200.0,X
Total population with access to safe drinking-water (JMP),Turkmenistan,60.4,I
Population affected by water related disease,Turkmenistan,12.29,I
Total population with access to safe drinking-water (JMP),Tuvalu,97.7,I
Number of people undernourished (3-year average),Uganda,17600.0,X
Prevalence of undernourishment (3-year average),Uganda,41.0,X
Total population with access to safe drinking-water (JMP),Uganda,79.0,I
Number of people undernourished (3-year average),Ukraine,1500.0,X
Prevalence of undernourishment (3-year average),Ukraine,3.3,X
Total population with access to safe drinking-water (JMP),Ukraine,96.2,I
Number of people undernourished (3-year average),United Arab Emirates,300.0,X
Total population with access to safe drinking-water (JMP),United Arab Emirates,99.6,I
Total population with access to safe drinking-water (JMP),United Kingdom of Great Britain and Northern Ireland,100.0,I
Total population with access to safe drinking-water (JMP),United Republic of Tanzania,55.6,I
Total population with access to safe drinking-water (JMP),United States of America,99.2,I
Number of people undernourished (3-year average),Uruguay,100.0,I
Prevalence of undernourishment (3-year average),Uruguay,2.7,I
Total population with access to safe drinking-water (JMP),Uruguay,99.7,I
Number of people undernourished (3-year average),Uzbekistan,900.0,X
Prevalence of undernourishment (3-year average),Uzbekistan,2.8,X
Total population with access to safe drinking-water (JMP),Uzbekistan,87.3,I
Population affected by water related disease,Uzbekistan,271.8,I
Total population with access to safe drinking-water (JMP),Vanuatu,94.5,I
Total population with access to safe drinking-water (JMP),Venezuela (Bolivarian Republic of),93.1,I
Population affected by water related disease,Venezuela (Bolivarian Republic of),22.06,I
Total population with access to safe drinking-water (JMP),Viet Nam,97.6,I
Population affected by water related disease,Viet Nam,177.6,I
Total population with access to safe drinking-water (JMP),Yemen,54.9,I
Number of people undernourished (3-year average),Zambia,8000.0,X
Prevalence of undernourishment (3-year average),Zambia,46.7,X
Total population with access to safe drinking-water (JMP),Zambia,65.4,I
Number of people undernourished (3-year average),Zimbabwe,8500.0,X
Prevalence of undernourishment (3-year average),Zimbabwe,51.3,X
Total population with access to safe drinking-water (JMP),Zimbabwe,76.9,I
