,,Year,Value,Symbol
Prevalence of undernourishment (3-year average),Belarus,2002,2.6,X
Prevalence of undernourishment (3-year average),Belarus,2007,3.0,I
Prevalence of undernourishment (3-year average),Belarus,2012,3.0,I
Prevalence of undernourishment (3-year average),Belarus,2017,3.0,I
Prevalence of undernourishment (3-year average),Belarus,2018,3.0,I
Total population with access to safe drinking-water (JMP),Belarus,1997,99.5,X
Total population with access to safe drinking-water (JMP),Belarus,2002,99.5,X
Total population with access to safe drinking-water (JMP),Belarus,2007,99.6,X
Total population with access to safe drinking-water (JMP),Belarus,2012,99.7,X
Total population with access to safe drinking-water (JMP),Belarus,2017,99.7,I
Total population with access to safe drinking-water (JMP),Belarus,2018,99.7,I
Total population with access to safe drinking-water (JMP),Belgium,1997,100.0,X
Total population with access to safe drinking-water (JMP),Belgium,2002,100.0,X
Total population with access to safe drinking-water (JMP),Belgium,2007,100.0,X
Total population with access to safe drinking-water (JMP),Belgium,2012,100.0,X
Total population with access to safe drinking-water (JMP),Belgium,2017,100.0,I
Total population with access to safe drinking-water (JMP),Belgium,2018,100.0,I
Prevalence of undernourishment (3-year average),Belize,1997,6.7,X
Total population with access to safe drinking-water (JMP),Belize,1997,81.4,X
Total population with access to safe drinking-water (JMP),Belize,2002,87.5,X
Total population with access to safe drinking-water (JMP),Belize,2007,93.5,X
Total population with access to safe drinking-water (JMP),Belize,2012,99.3,X
Total population with access to safe drinking-water (JMP),Belize,2017,99.5,I
Total population with access to safe drinking-water (JMP),Belize,2018,99.5,I
Number of people undernourished (3-year average),Benin,1997,1600.0,X
Number of people undernourished (3-year average),Benin,2002,1200.0,X
Number of people undernourished (3-year average),Benin,2007,900.0,X
Number of people undernourished (3-year average),Benin,2012,800.0,X
Number of people undernourished (3-year average),Benin,2017,800.0,X
Number of people undernourished (3-year average),Benin,2018,800.0,X
Prevalence of undernourishment (3-year average),Benin,1997,26.3,X
Total population with access to safe drinking-water (JMP),Benin,1997,63.4,X
Total population with access to safe drinking-water (JMP),Benin,2002,67.7,X
Total population with access to safe drinking-water (JMP),Benin,2007,72.0,X
Total population with access to safe drinking-water (JMP),Benin,2012,76.2,X
Total population with access to safe drinking-water (JMP),Benin,2017,77.9,I
Total population with access to safe drinking-water (JMP),Benin,2018,77.9,I
Total population with access to safe drinking-water (JMP),Bhutan,1997,79.8,X
Total population with access to safe drinking-water (JMP),Bhutan,2002,86.6,X
Total population with access to safe drinking-water (JMP),Bhutan,2007,92.7,X
Total population with access to safe drinking-water (JMP),Bhutan,2012,98.0,X
Total population with access to safe drinking-water (JMP),Bhutan,2017,100.0,I
Total population with access to safe drinking-water (JMP),Bhutan,2018,100.0,I
Number of people undernourished (3-year average),Bolivia (Plurinational State of),1997,2600.0,X
Number of people undernourished (3-year average),Bolivia (Plurinational State of),2002,2400.0,X
Number of people undernourished (3-year average),Bolivia (Plurinational State of),2007,2300.0,X
Prevalence of undernourishment (3-year average),Bolivia (Plurinational State of),1997,33.7,X
Prevalence of undernourishment (3-year average),Bolivia (Plurinational State of),2002,27.9,X
Total population with access to safe drinking-water (JMP),Bolivia (Plurinational State of),1997,75.8,X
Total population with access to safe drinking-water (JMP),Bolivia (Plurinational State of),2002,80.3,X
Total population with access to safe drinking-water (JMP),Bolivia (Plurinational State of),2007,84.6,X
Total population with access to safe drinking-water (JMP),Bolivia (Plurinational State of),2012,88.5,X
Total population with access to safe drinking-water (JMP),Bolivia (Plurinational State of),2017,90.0,I
Total population with access to safe drinking-water (JMP),Bolivia (Plurinational State of),2018,90.0,I
Number of people undernourished (3-year average),Bosnia and Herzegovina,2002,100.0,X
Number of people undernourished (3-year average),Bosnia and Herzegovina,2007,100.0,X
Number of people undernourished (3-year average),Bosnia and Herzegovina,2012,100.0,I
Number of people undernourished (3-year average),Bosnia and Herzegovina,2017,100.0,I
Number of people undernourished (3-year average),Bosnia and Herzegovina,2018,100.0,I
Prevalence of undernourishment (3-year average),Bosnia and Herzegovina,2002,3.2,X
Prevalence of undernourishment (3-year average),Bosnia and Herzegovina,2007,2.9,X
Prevalence of undernourishment (3-year average),Bosnia and Herzegovina,2012,2.6,I
Prevalence of undernourishment (3-year average),Bosnia and Herzegovina,2017,2.6,I
Prevalence of undernourishment (3-year average),Bosnia and Herzegovina,2018,2.6,I
Total population with access to safe drinking-water (JMP),Bosnia and Herzegovina,1997,97.1,X
Total population with access to safe drinking-water (JMP),Bosnia and Herzegovina,2002,97.8,X
Total population with access to safe drinking-water (JMP),Bosnia and Herzegovina,2007,98.7,X
Total population with access to safe drinking-water (JMP),Bosnia and Herzegovina,2012,99.5,X
Total population with access to safe drinking-water (JMP),Bosnia and Herzegovina,2017,99.9,I
Total population with access to safe drinking-water (JMP),Bosnia and Herzegovina,2018,99.9,I
Number of people undernourished (3-year average),Botswana,1997,500.0,X
Number of people undernourished (3-year average),Botswana,2002,400.0,X
Prevalence of undernourishment (3-year average),Botswana,1997,29.6,X
Total population with access to safe drinking-water (JMP),Botswana,1997,94.1,X
Total population with access to safe drinking-water (JMP),Botswana,2002,95.0,X
Total population with access to safe drinking-water (JMP),Botswana,2007,95.5,X
Total population with access to safe drinking-water (JMP),Botswana,2012,96.1,X
Total population with access to safe drinking-water (JMP),Botswana,2017,96.2,I
Total population with access to safe drinking-water (JMP),Botswana,2018,96.2,I
Number of people undernourished (3-year average),Brazil,1997,22300.0,X
Prevalence of undernourishment (3-year average),Brazil,1997,13.6,X
Total population with access to safe drinking-water (JMP),Brazil,1997,92.1,X
Total population with access to safe drinking-water (JMP),Brazil,2002,94.2,X
Total population with access to safe drinking-water (JMP),Brazil,2007,95.9,X
Total population with access to safe drinking-water (JMP),Brazil,2012,97.5,X
Total population with access to safe drinking-water (JMP),Brazil,2017,98.1,I
Total population with access to safe drinking-water (JMP),Brazil,2018,98.1,I
Prevalence of undernourishment (3-year average),Brunei Darussalam,2002,2.6,X
Prevalence of undernourishment (3-year average),Brunei Darussalam,2007,2.6833333333,I
Prevalence of undernourishment (3-year average),Brunei Darussalam,2012,2.9,X
Prevalence of undernourishment (3-year average),Brunei Darussalam,2017,3.1,X
Prevalence of undernourishment (3-year average),Brunei Darussalam,2018,3.2,X
Number of people undernourished (3-year average),Bulgaria,2002,300.0,X
Number of people undernourished (3-year average),Bulgaria,2007,400.0,X
Number of people undernourished (3-year average),Bulgaria,2012,300.0,X
Number of people undernourished (3-year average),Bulgaria,2018,200.0,X
Prevalence of undernourishment (3-year average),Bulgaria,2002,4.0,X
Prevalence of undernourishment (3-year average),Bulgaria,2007,5.1,X
Prevalence of undernourishment (3-year average),Bulgaria,2018,3.1,X
Total population with access to safe drinking-water (JMP),Bulgaria,1997,99.8,X
Total population with access to safe drinking-water (JMP),Bulgaria,2002,99.7,X
Total population with access to safe drinking-water (JMP),Bulgaria,2007,99.6,X
Total population with access to safe drinking-water (JMP),Bulgaria,2012,99.5,X
Total population with access to safe drinking-water (JMP),Bulgaria,2017,99.4,I
Total population with access to safe drinking-water (JMP),Bulgaria,2018,99.4,I
Number of people undernourished (3-year average),Burkina Faso,1997,2200.0,X
Prevalence of undernourishment (3-year average),Burkina Faso,1997,20.9,X
Total population with access to safe drinking-water (JMP),Burkina Faso,1997,54.3,X
Total population with access to safe drinking-water (JMP),Burkina Faso,2002,63.6,X
Total population with access to safe drinking-water (JMP),Burkina Faso,2007,72.8,X
Total population with access to safe drinking-water (JMP),Burkina Faso,2012,81.7,X
Total population with access to safe drinking-water (JMP),Burkina Faso,2017,82.3,I
Total population with access to safe drinking-water (JMP),Burkina Faso,2018,82.3,I
Population affected by water related disease,Burkina Faso,2002,1206.7,I
Population affected by water related disease,Burkina Faso,2007,3965.2,I
Population affected by water related disease,Burkina Faso,2012,6172.0,I
Population affected by water related disease,Burkina Faso,2017,6172.0,I
Population affected by water related disease,Burkina Faso,2018,6172.0,I
Total population with access to safe drinking-water (JMP),Burundi,1997,70.9,X
Total population with access to safe drinking-water (JMP),Burundi,2002,72.4,X
Total population with access to safe drinking-water (JMP),Burundi,2007,73.8,X
Total population with access to safe drinking-water (JMP),Burundi,2012,75.3,X
Total population with access to safe drinking-water (JMP),Burundi,2017,75.9,I
Total population with access to safe drinking-water (JMP),Burundi,2018,75.9,I
Prevalence of undernourishment (3-year average),Cabo Verde,1997,17.0,X
Total population with access to safe drinking-water (JMP),Cabo Verde,1997,80.5,X
Total population with access to safe drinking-water (JMP),Cabo Verde,2002,83.7,X
Total population with access to safe drinking-water (JMP),Cabo Verde,2007,86.9,X
Total population with access to safe drinking-water (JMP),Cabo Verde,2012,90.3,X
Total population with access to safe drinking-water (JMP),Cabo Verde,2017,91.7,I
Total population with access to safe drinking-water (JMP),Cabo Verde,2018,91.7,I
Number of people undernourished (3-year average),Cambodia,1997,3500.0,X
Number of people undernourished (3-year average),Cambodia,2002,2900.0,X
Number of people undernourished (3-year average),Cambodia,2007,2100.0,X
Prevalence of undernourishment (3-year average),Cambodia,1997,31.9,X
Total population with access to safe drinking-water (JMP),Cambodia,1997,34.8,X
Total population with access to safe drinking-water (JMP),Cambodia,2002,46.1,X
Total population with access to safe drinking-water (JMP),Cambodia,2007,57.4,X
Total population with access to safe drinking-water (JMP),Cambodia,2012,68.8,X
Total population with access to safe drinking-water (JMP),Cambodia,2017,75.5,I
Total population with access to safe drinking-water (JMP),Cambodia,2018,75.5,I
Population affected by water related disease,Cambodia,1997,507.0,I
Population affected by water related disease,Cambodia,2002,507.0,I
Population affected by water related disease,Cambodia,2007,507.0,I
Population affected by water related disease,Cambodia,2012,507.0,I
Population affected by water related disease,Cambodia,2017,507.0,I
Population affected by water related disease,Cambodia,2018,507.0,I
Number of people undernourished (3-year average),Cameroon,1997,5400.0,X
Number of people undernourished (3-year average),Cameroon,2007,2600.0,X
Prevalence of undernourishment (3-year average),Cameroon,1997,38.0,X
Total population with access to safe drinking-water (JMP),Cameroon,1997,58.6,X
Total population with access to safe drinking-water (JMP),Cameroon,2002,63.8,X
Total population with access to safe drinking-water (JMP),Cameroon,2007,69.0,X
Total population with access to safe drinking-water (JMP),Cameroon,2012,74.1,X
Total population with access to safe drinking-water (JMP),Cameroon,2017,75.6,I
Total population with access to safe drinking-water (JMP),Cameroon,2018,75.6,I
Total population with access to safe drinking-water (JMP),Canada,1997,99.8,X
Total population with access to safe drinking-water (JMP),Canada,2002,99.8,X
Total population with access to safe drinking-water (JMP),Canada,2007,99.8,X
Total population with access to safe drinking-water (JMP),Canada,2012,99.8,X
Total population with access to safe drinking-water (JMP),Canada,2017,99.8,I
Total population with access to safe drinking-water (JMP),Canada,2018,99.8,I
Number of people undernourished (3-year average),Central African Republic,1997,1700.0,X
Number of people undernourished (3-year average),Central African Republic,2007,1600.0,X
Prevalence of undernourishment (3-year average),Central African Republic,1997,49.4,X
Total population with access to safe drinking-water (JMP),Central African Republic,1997,61.1,X
Total population with access to safe drinking-water (JMP),Central African Republic,2002,63.4,X
Total population with access to safe drinking-water (JMP),Central African Republic,2007,65.7,X
Total population with access to safe drinking-water (JMP),Central African Republic,2012,68.2,X
Total population with access to safe drinking-water (JMP),Central African Republic,2017,68.5,I
Total population with access to safe drinking-water (JMP),Central African Republic,2018,68.5,I
Number of people undernourished (3-year average),Chad,1997,3700.0,X
Number of people undernourished (3-year average),Chad,2002,3400.0,X
Number of people undernourished (3-year average),Chad,2007,4000.0,X
Prevalence of undernourishment (3-year average),Chad,1997,50.9,X
Total population with access to safe drinking-water (JMP),Chad,1997,43.3,X
Total population with access to safe drinking-water (JMP),Chad,2002,45.7,X
Total population with access to safe drinking-water (JMP),Chad,2007,48.2,X
Total population with access to safe drinking-water (JMP),Chad,2012,50.7,X
Total population with access to safe drinking-water (JMP),Chad,2017,50.8,I
Total population with access to safe drinking-water (JMP),Chad,2018,50.8,I
Number of people undernourished (3-year average),Chile,1997,800.0,X
Number of people undernourished (3-year average),Chile,2002,500.0,X
Number of people undernourished (3-year average),Chile,2007,500.0,X
Number of people undernourished (3-year average),Chile,2012,600.0,X
Number of people undernourished (3-year average),Chile,2017,600.0,X
Number of people undernourished (3-year average),Chile,2018,600.0,X
Prevalence of undernourishment (3-year average),Chile,1997,5.5,X
Total population with access to safe drinking-water (JMP),Chile,1997,93.6,X
Total population with access to safe drinking-water (JMP),Chile,2002,95.6,X
Total population with access to safe drinking-water (JMP),Chile,2007,97.3,X
Total population with access to safe drinking-water (JMP),Chile,2012,98.7,X
Total population with access to safe drinking-water (JMP),Chile,2017,99.0,I
Total population with access to safe drinking-water (JMP),Chile,2018,99.0,I
Number of people undernourished (3-year average),China,1997,236100.0,X
Number of people undernourished (3-year average),China,2012,155000.0,X
Number of people undernourished (3-year average),China,2017,123100.0,X
Number of people undernourished (3-year average),China,2018,122400.0,X
Prevalence of undernourishment (3-year average),China,1997,18.5,X
Prevalence of undernourishment (3-year average),China,2012,11.1,X
Prevalence of undernourishment (3-year average),China,2017,8.6,X
Prevalence of undernourishment (3-year average),China,2018,8.5,X
Total population with access to safe drinking-water (JMP),China,1997,76.5,X
Total population with access to safe drinking-water (JMP),China,2002,82.8,X
Total population with access to safe drinking-water (JMP),China,2007,88.5,X
Total population with access to safe drinking-water (JMP),China,2012,93.2,X
Total population with access to safe drinking-water (JMP),China,2017,95.5,I
Total population with access to safe drinking-water (JMP),China,2018,95.5,I
Number of people undernourished (3-year average),Colombia,1997,3800.0,X
Number of people undernourished (3-year average),Colombia,2002,3500.0,X
Prevalence of undernourishment (3-year average),Colombia,1997,10.2,X
Total population with access to safe drinking-water (JMP),Colombia,1997,89.5,X
Total population with access to safe drinking-water (JMP),Colombia,2002,90.1,X
Total population with access to safe drinking-water (JMP),Colombia,2007,90.7,X
Total population with access to safe drinking-water (JMP),Colombia,2012,91.2,X
Total population with access to safe drinking-water (JMP),Colombia,2017,91.4,I
Total population with access to safe drinking-water (JMP),Colombia,2018,91.4,I
Population affected by water related disease,Colombia,1997,42.2338,I
Population affected by water related disease,Colombia,2002,27.5901333333,I
Population affected by water related disease,Colombia,2007,12.9464666667,I
Population affected by water related disease,Colombia,2012,7.089,I
Population affected by water related disease,Colombia,2017,7.089,I
Population affected by water related disease,Colombia,2018,7.089,I
Total population with access to safe drinking-water (JMP),Comoros,1997,90.1,X
Total population with access to safe drinking-water (JMP),Comoros,2002,90.1,X
Total population with access to safe drinking-water (JMP),Comoros,2007,90.1,X
Total population with access to safe drinking-water (JMP),Comoros,2012,90.1,X
Total population with access to safe drinking-water (JMP),Comoros,2017,90.1,I
Total population with access to safe drinking-water (JMP),Comoros,2018,90.1,I
Number of people undernourished (3-year average),Congo,1997,1300.0,X
Number of people undernourished (3-year average),Congo,2002,900.0,X
Number of people undernourished (3-year average),Congo,2007,1400.0,X
Prevalence of undernourishment (3-year average),Congo,1997,45.4,X
Total population with access to safe drinking-water (JMP),Congo,1997,68.3,X
Total population with access to safe drinking-water (JMP),Congo,2002,70.1,X
Total population with access to safe drinking-water (JMP),Congo,2007,72.8,X
Total population with access to safe drinking-water (JMP),Congo,2012,75.3,X
Total population with access to safe drinking-water (JMP),Congo,2017,76.5,I
Total population with access to safe drinking-water (JMP),Congo,2018,76.5,I
Population affected by water related disease,Congo,2002,175.2,OF
Population affected by water related disease,Congo,2007,175.2,I
Population affected by water related disease,Congo,2012,175.2,I
Population affected by water related disease,Congo,2017,175.2,I
Population affected by water related disease,Congo,2018,175.2,I
Total population with access to safe drinking-water (JMP),Cook Islands,1997,99.9,X
Total population with access to safe drinking-water (JMP),Cook Islands,2002,99.9,X
Total population with access to safe drinking-water (JMP),Cook Islands,2007,99.9,X
Total population with access to safe drinking-water (JMP),Cook Islands,2012,99.9,X
Total population with access to safe drinking-water (JMP),Cook Islands,2017,99.9,I
Total population with access to safe drinking-water (JMP),Cook Islands,2018,99.9,I
Number of people undernourished (3-year average),Costa Rica,1997,200.0,X
Number of people undernourished (3-year average),Costa Rica,2002,200.0,X
Number of people undernourished (3-year average),Costa Rica,2007,200.0,X
Number of people undernourished (3-year average),Costa Rica,2012,200.0,X
Number of people undernourished (3-year average),Costa Rica,2017,200.0,X
Number of people undernourished (3-year average),Costa Rica,2018,200.0,X
Prevalence of undernourishment (3-year average),Costa Rica,1997,5.6,X
Total population with access to safe drinking-water (JMP),Costa Rica,1997,94.4,X
Total population with access to safe drinking-water (JMP),Costa Rica,2002,95.5,X
Total population with access to safe drinking-water (JMP),Costa Rica,2007,96.6,X
Total population with access to safe drinking-water (JMP),Costa Rica,2012,97.5,X
Total population with access to safe drinking-water (JMP),Costa Rica,2017,97.8,I
Total population with access to safe drinking-water (JMP),Costa Rica,2018,97.8,I
Population affected by water related disease,Costa Rica,2012,315.9,OF
Population affected by water related disease,Costa Rica,2017,315.9,I
Population affected by water related disease,Costa Rica,2018,315.9,I
Number of people undernourished (3-year average),Croatia,2002,300.0,X
Number of people undernourished (3-year average),Croatia,2007,100.0,I
Number of people undernourished (3-year average),Croatia,2012,100.0,X
Number of people undernourished (3-year average),Croatia,2017,100.0,I
Number of people undernourished (3-year average),Croatia,2018,100.0,I
Prevalence of undernourishment (3-year average),Croatia,2007,2.82,I
Prevalence of undernourishment (3-year average),Croatia,2012,2.6,X
Prevalence of undernourishment (3-year average),Croatia,2017,2.5,I
Prevalence of undernourishment (3-year average),Croatia,2018,2.5,I
Total population with access to safe drinking-water (JMP),Croatia,1997,98.3,X
Total population with access to safe drinking-water (JMP),Croatia,2002,98.4,X
Total population with access to safe drinking-water (JMP),Croatia,2007,98.9,X
Total population with access to safe drinking-water (JMP),Croatia,2012,99.4,X
Total population with access to safe drinking-water (JMP),Croatia,2017,99.6,I
Total population with access to safe drinking-water (JMP),Croatia,2018,99.6,I
Number of people undernourished (3-year average),Cuba,1997,2200.0,X
Number of people undernourished (3-year average),Cuba,2002,300.0,X
Number of people undernourished (3-year average),Cuba,2007,300.0,I
Number of people undernourished (3-year average),Cuba,2012,300.0,I
Number of people undernourished (3-year average),Cuba,2017,300.0,I
Number of people undernourished (3-year average),Cuba,2018,300.0,I
Prevalence of undernourishment (3-year average),Cuba,1997,20.1,X
Prevalence of undernourishment (3-year average),Cuba,2002,2.8,X
Prevalence of undernourishment (3-year average),Cuba,2007,2.8,I
Prevalence of undernourishment (3-year average),Cuba,2012,2.8,I
Prevalence of undernourishment (3-year average),Cuba,2017,2.8,I
Prevalence of undernourishment (3-year average),Cuba,2018,2.8,I
Total population with access to safe drinking-water (JMP),Cuba,1997,89.8,X
Total population with access to safe drinking-water (JMP),Cuba,2002,91.2,X
