,,Year,Value,Symbol
Total area of the country (excl. coastal water),Australia,2012,774122.0,X
Total area of the country (excl. coastal water),Australia,2017,774122.0,E
Total area of the country (excl. coastal water),Australia,2018,774122.0,E
Cultivated area (arable land + permanent crops),Australia,1997,21133.0,X
Cultivated area (arable land + permanent crops),Australia,2002,24060.0,X
Cultivated area (arable land + permanent crops),Australia,2007,23530.0,X
Cultivated area (arable land + permanent crops),Australia,2012,31993.0,X
Cultivated area (arable land + permanent crops),Australia,2017,31074.0,X
Cultivated area (arable land + permanent crops),Australia,2018,31306.0,X
Total population,Australia,1997,18387.214,X
Total population,Australia,2002,19401.368,X
Total population,Australia,2007,20916.344,X
Total population,Australia,2012,22903.948,X
Total population,Australia,2017,24584.62,X
Total population,Australia,2018,24898.152,X
Rural population,Australia,1997,2837.374,X
Rural population,Australia,2002,3072.827,X
Rural population,Australia,2007,3179.302,X
Rural population,Australia,2012,3331.639,X
Rural population,Australia,2017,3446.638,X
Rural population,Australia,2018,3465.207,X
Urban population,Australia,1997,15630.214,X
Urban population,Australia,2002,16402.364,X
Urban population,Australia,2007,17767.362,X
Urban population,Australia,2012,19490.21,X
Urban population,Australia,2017,21003.923,X
Urban population,Australia,2018,21307.04,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Australia,2002,0.1504,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Australia,2007,0.137,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Australia,2012,0.12,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Australia,2017,0.1101,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Australia,2018,0.1101,I
Gross Domestic Product (GDP),Australia,1997,436474491235.0,X
Gross Domestic Product (GDP),Australia,2002,435171313118.0,X
Gross Domestic Product (GDP),Australia,2007,985139395309.0,X
Gross Domestic Product (GDP),Australia,2012,1590707559043.0,X
GDP per capita,Australia,1997,23634.623603,X
GDP per capita,Australia,2002,22344.906046,X
GDP per capita,Australia,2007,47030.849175,X
GDP per capita,Australia,2012,69701.081584,X
GDP per capita,Australia,2017,57917.093685,X
GDP per capita,Australia,2018,58689.490194,X
"Agriculture, value added (% GDP)",Australia,1997,3.038954,X
"Agriculture, value added (% GDP)",Australia,2002,2.888534,X
"Agriculture, value added (% GDP)",Australia,2007,2.33863,X
"Agriculture, value added (% GDP)",Australia,2012,2.278906,X
Total area of the country (excl. coastal water),Austria,1997,8388.0,X
Total area of the country (excl. coastal water),Austria,2002,8388.0,X
Total area of the country (excl. coastal water),Austria,2007,8388.0,X
Total area of the country (excl. coastal water),Austria,2012,8388.0,X
Total area of the country (excl. coastal water),Austria,2017,8387.9,E
Total area of the country (excl. coastal water),Austria,2018,8387.9,E
Cultivated area (arable land + permanent crops),Austria,1997,1479.0,X
Cultivated area (arable land + permanent crops),Austria,2002,1456.0,X
Cultivated area (arable land + permanent crops),Austria,2007,1444.0,X
Cultivated area (arable land + permanent crops),Austria,2012,1420.4,X
Cultivated area (arable land + permanent crops),Austria,2017,1395.81,X
Cultivated area (arable land + permanent crops),Austria,2018,1394.02,X
Total population,Austria,1997,8032.876,X
Total population,Austria,2002,8134.412,X
Total population,Austria,2007,8313.737,X
Total population,Austria,2012,8502.227,X
Total population,Austria,2017,8819.901,X
Total population,Austria,2018,8891.388,X
Rural population,Austria,1997,3129.222,X
Rural population,Austria,2002,3281.833,X
Rural population,Austria,2007,3470.218,X
Rural population,Austria,2012,3650.043,X
Rural population,Austria,2017,3660.707,X
Rural population,Austria,2018,3649.748,X
Urban population,Austria,1997,4903.654,X
Urban population,Austria,2002,4852.579,X
Urban population,Austria,2007,4841.565,X
Urban population,Austria,2012,4867.505,X
Urban population,Austria,2017,5074.746,X
Urban population,Austria,2018,5102.072,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Austria,2002,0.1476,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Austria,2007,0.1258,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Austria,2012,0.0776666667,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Austria,2017,0.0528,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Austria,2018,0.0528,I
Gross Domestic Product (GDP),Austria,1997,212786266750.0,X
Gross Domestic Product (GDP),Austria,2002,213387477629.0,X
Gross Domestic Product (GDP),Austria,2007,388671495783.0,X
Gross Domestic Product (GDP),Austria,2012,409425234155.0,X
GDP per capita,Austria,1997,26489.425051,X
GDP per capita,Austria,2002,26232.686226,X
GDP per capita,Austria,2007,46761.506621,X
GDP per capita,Austria,2012,48068.438729,X
GDP per capita,Austria,2017,47887.17438,X
GDP per capita,Austria,2018,52047.260459,X
"Agriculture, value added (% GDP)",Austria,2012,1.348551,X
Total area of the country (excl. coastal water),Azerbaijan,1997,8660.0,X
Total area of the country (excl. coastal water),Azerbaijan,2002,8660.0,X
Total area of the country (excl. coastal water),Azerbaijan,2007,8660.0,X
Total area of the country (excl. coastal water),Azerbaijan,2012,8660.0,X
Total area of the country (excl. coastal water),Azerbaijan,2017,8660.0,E
Total area of the country (excl. coastal water),Azerbaijan,2018,8660.0,E
Cultivated area (arable land + permanent crops),Azerbaijan,1997,2062.0,X
Cultivated area (arable land + permanent crops),Azerbaijan,2002,2063.2,X
Cultivated area (arable land + permanent crops),Azerbaijan,2007,2078.7,X
Cultivated area (arable land + permanent crops),Azerbaijan,2012,2127.7,X
Cultivated area (arable land + permanent crops),Azerbaijan,2017,2341.3,X
Cultivated area (arable land + permanent crops),Azerbaijan,2018,2352.9,X
Total population,Azerbaijan,1997,7925.668,X
Total population,Azerbaijan,2002,8277.061,X
Total population,Azerbaijan,2007,8724.243,X
Total population,Azerbaijan,2012,9264.692,X
Total population,Azerbaijan,2017,9845.32,X
Total population,Azerbaijan,2018,9949.537,X
Rural population,Azerbaijan,1997,3837.012,X
Rural population,Azerbaijan,2002,3990.569,X
Rural population,Azerbaijan,2007,4118.78,X
Rural population,Azerbaijan,2012,4272.681,X
Rural population,Azerbaijan,2017,4388.663,X
Rural population,Azerbaijan,2018,4398.268,X
Urban population,Azerbaijan,1997,4088.657,X
Urban population,Azerbaijan,2002,4286.446,X
Urban population,Azerbaijan,2007,4605.524,X
Urban population,Azerbaijan,2012,4992.236,X
Urban population,Azerbaijan,2017,5438.926,X
Urban population,Azerbaijan,2018,5525.646,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Azerbaijan,2017,0.303,I
Gender Inequality Index (GII) [equality = 0; inequality = 1),Azerbaijan,2018,0.303,I
Gross Domestic Product (GDP),Azerbaijan,1997,3962337296.0,X
Gross Domestic Product (GDP),Azerbaijan,2007,33049426816.0,X
Gross Domestic Product (GDP),Azerbaijan,2012,69679913510.0,X
Gross Domestic Product (GDP),Azerbaijan,2017,40866632048.0,X
GDP per capita,Azerbaijan,1997,499.937267,X
GDP per capita,Azerbaijan,2002,753.417207,X
GDP per capita,Azerbaijan,2007,3788.202109,X
GDP per capita,Azerbaijan,2012,7520.835158,X
GDP per capita,Azerbaijan,2017,4158.357869,X
GDP per capita,Azerbaijan,2018,4729.900727,X
"Agriculture, value added (% GDP)",Azerbaijan,2012,5.13977,X
"Agriculture, value added (% GDP)",Azerbaijan,2017,5.607369,X
Total area of the country (excl. coastal water),Bahamas,1997,1388.0,X
Total area of the country (excl. coastal water),Bahamas,2002,1388.0,X
Total area of the country (excl. coastal water),Bahamas,2007,1388.0,X
Total area of the country (excl. coastal water),Bahamas,2012,1388.0,X
Total area of the country (excl. coastal water),Bahamas,2017,1388.0,E
Total area of the country (excl. coastal water),Bahamas,2018,1388.0,E
Cultivated area (arable land + permanent crops),Bahamas,1997,10.0,X
Cultivated area (arable land + permanent crops),Bahamas,2002,11.0,X
Cultivated area (arable land + permanent crops),Bahamas,2007,11.0,X
Cultivated area (arable land + permanent crops),Bahamas,2012,12.0,X
Cultivated area (arable land + permanent crops),Bahamas,2017,12.0,X
Cultivated area (arable land + permanent crops),Bahamas,2018,12.0,X
Total population,Bahamas,1997,287.358,X
Total population,Bahamas,2002,307.66,X
Total population,Bahamas,2007,337.389,X
Total population,Bahamas,2012,363.584,X
Total population,Bahamas,2017,381.755,X
Total population,Bahamas,2018,385.637,X
Rural population,Bahamas,1997,53.388,X
Rural population,Bahamas,2002,55.365,X
Rural population,Bahamas,2007,60.587,X
