Area,Item,Element,Year,Unit,Value
436175,World,Agriculture total,Emissions (CO2eq) from CH4,2001,gigagrams,2683811.6254
436176,World,Agriculture total,Emissions (CO2eq) from CH4,2002,gigagrams,2695597.3062
436177,World,Agriculture total,Emissions (CO2eq) from CH4,2003,gigagrams,2689623.1294
436178,World,Agriculture total,Emissions (CO2eq) from CH4,2004,gigagrams,2734113.5978
436179,World,Agriculture total,Emissions (CO2eq) from CH4,2005,gigagrams,2757575.8263
436180,World,Agriculture total,Emissions (CO2eq) from CH4,2006,gigagrams,2779722.414
436181,World,Agriculture total,Emissions (CO2eq) from CH4,2007,gigagrams,2807676.2797
436182,World,Agriculture total,Emissions (CO2eq) from CH4,2008,gigagrams,2820463.9623
436183,World,Agriculture total,Emissions (CO2eq) from CH4,2009,gigagrams,2815381.2931
436184,World,Agriculture total,Emissions (CO2eq) from CH4,2010,gigagrams,2841323.8376
436185,World,Agriculture total,Emissions (CO2eq) from CH4,2011,gigagrams,2888846.3129
436186,World,Agriculture total,Emissions (CO2eq) from CH4,2012,gigagrams,2897286.5951
436187,World,Agriculture total,Emissions (CO2eq) from CH4,2013,gigagrams,2867287.0455
436188,World,Agriculture total,Emissions (CO2eq) from CH4,2014,gigagrams,2884606.1098
436189,World,Agriculture total,Emissions (CO2eq) from CH4,2015,gigagrams,2918762.0254
436190,World,Agriculture total,Emissions (CO2eq) from CH4,2016,gigagrams,2948135.6817
436191,World,Agriculture total,Emissions (CO2eq) from CH4,2017,gigagrams,2984194.2117
436194,World,Agriculture total,Emissions (CO2eq) from N2O,1961,gigagrams,847780.8603
436195,World,Agriculture total,Emissions (CO2eq) from N2O,1962,gigagrams,872520.487
436196,World,Agriculture total,Emissions (CO2eq) from N2O,1963,gigagrams,893027.5037
436197,World,Agriculture total,Emissions (CO2eq) from N2O,1964,gigagrams,918314.9933
436198,World,Agriculture total,Emissions (CO2eq) from N2O,1965,gigagrams,951485.875
436199,World,Agriculture total,Emissions (CO2eq) from N2O,1966,gigagrams,991735.7469
436200,World,Agriculture total,Emissions (CO2eq) from N2O,1967,gigagrams,1025180.9032
436201,World,Agriculture total,Emissions (CO2eq) from N2O,1968,gigagrams,1053909.479
436202,World,Agriculture total,Emissions (CO2eq) from N2O,1969,gigagrams,1073515.4925
436203,World,Agriculture total,Emissions (CO2eq) from N2O,1970,gigagrams,1102573.9651
436204,World,Agriculture total,Emissions (CO2eq) from N2O,1971,gigagrams,1136038.0746
436205,World,Agriculture total,Emissions (CO2eq) from N2O,1972,gigagrams,1164460.376
436206,World,Agriculture total,Emissions (CO2eq) from N2O,1973,gigagrams,1201610.1742
436207,World,Agriculture total,Emissions (CO2eq) from N2O,1974,gigagrams,1213992.6651
436208,World,Agriculture total,Emissions (CO2eq) from N2O,1975,gigagrams,1269927.2096
436209,World,Agriculture total,Emissions (CO2eq) from N2O,1976,gigagrams,1288216.8376
436210,World,Agriculture total,Emissions (CO2eq) from N2O,1977,gigagrams,1316794.0483
436211,World,Agriculture total,Emissions (CO2eq) from N2O,1978,gigagrams,1362941.0686
436212,World,Agriculture total,Emissions (CO2eq) from N2O,1979,gigagrams,1388501.8886
436213,World,Agriculture total,Emissions (CO2eq) from N2O,1980,gigagrams,1426413.6915
436214,World,Agriculture total,Emissions (CO2eq) from N2O,1981,gigagrams,1437192.4405
436215,World,Agriculture total,Emissions (CO2eq) from N2O,1982,gigagrams,1455499.0095
436216,World,Agriculture total,Emissions (CO2eq) from N2O,1983,gigagrams,1495823.7198
436217,World,Agriculture total,Emissions (CO2eq) from N2O,1984,gigagrams,1534567.4808
436218,World,Agriculture total,Emissions (CO2eq) from N2O,1985,gigagrams,1538809.0699
436219,World,Agriculture total,Emissions (CO2eq) from N2O,1986,gigagrams,1565115.9335
436220,World,Agriculture total,Emissions (CO2eq) from N2O,1987,gigagrams,1588438.1698
436221,World,Agriculture total,Emissions (CO2eq) from N2O,1988,gigagrams,1618710.46
436222,World,Agriculture total,Emissions (CO2eq) from N2O,1989,gigagrams,1639796.4459
436223,World,Agriculture total,Emissions (CO2eq) from N2O,1990,gigagrams,1925934.9697
436224,World,Agriculture total,Emissions (CO2eq) from N2O,1991,gigagrams,1913560.7607
436225,World,Agriculture total,Emissions (CO2eq) from N2O,1992,gigagrams,1906887.1608
436226,World,Agriculture total,Emissions (CO2eq) from N2O,1993,gigagrams,1893255.2735
436227,World,Agriculture total,Emissions (CO2eq) from N2O,1994,gigagrams,1908214.8302
436228,World,Agriculture total,Emissions (CO2eq) from N2O,1995,gigagrams,1950691.6981
436229,World,Agriculture total,Emissions (CO2eq) from N2O,1996,gigagrams,1965007.7653
436230,World,Agriculture total,Emissions (CO2eq) from N2O,1997,gigagrams,1938740.2195
436231,World,Agriculture total,Emissions (CO2eq) from N2O,1998,gigagrams,1972897.1489
436232,World,Agriculture total,Emissions (CO2eq) from N2O,1999,gigagrams,1997512.0691
436233,World,Agriculture total,Emissions (CO2eq) from N2O,2000,gigagrams,1987008.1644
436234,World,Agriculture total,Emissions (CO2eq) from N2O,2001,gigagrams,2033624.1412
436235,World,Agriculture total,Emissions (CO2eq) from N2O,2002,gigagrams,2057541.8864
436236,World,Agriculture total,Emissions (CO2eq) from N2O,2003,gigagrams,2055632.5215
436237,World,Agriculture total,Emissions (CO2eq) from N2O,2004,gigagrams,2113555.1192
436238,World,Agriculture total,Emissions (CO2eq) from N2O,2005,gigagrams,2123198.2843
436239,World,Agriculture total,Emissions (CO2eq) from N2O,2006,gigagrams,2146695.6417
436240,World,Agriculture total,Emissions (CO2eq) from N2O,2007,gigagrams,2202992.8794
436241,World,Agriculture total,Emissions (CO2eq) from N2O,2008,gigagrams,2200781.5135
436242,World,Agriculture total,Emissions (CO2eq) from N2O,2009,gigagrams,2200877.7136
436243,World,Agriculture total,Emissions (CO2eq) from N2O,2010,gigagrams,2247460.9667
436244,World,Agriculture total,Emissions (CO2eq) from N2O,2011,gigagrams,2329200.5175
436245,World,Agriculture total,Emissions (CO2eq) from N2O,2012,gigagrams,2334696.5648
436246,World,Agriculture total,Emissions (CO2eq) from N2O,2013,gigagrams,2309129.4891
436247,World,Agriculture total,Emissions (CO2eq) from N2O,2014,gigagrams,2334456.3711
436248,World,Agriculture total,Emissions (CO2eq) from N2O,2015,gigagrams,2359041.3829
436249,World,Agriculture total,Emissions (CO2eq) from N2O,2016,gigagrams,2377866.5836
436250,World,Agriculture total,Emissions (CO2eq) from N2O,2017,gigagrams,2426282.7744
436253,World,Agriculture total,Emissions (N2O),1961,gigagrams,2734.777
436254,World,Agriculture total,Emissions (N2O),1962,gigagrams,2814.5822
436255,World,Agriculture total,Emissions (N2O),1963,gigagrams,2880.7339
436256,World,Agriculture total,Emissions (N2O),1964,gigagrams,2962.3064
436257,World,Agriculture total,Emissions (N2O),1965,gigagrams,3069.3093
436258,World,Agriculture total,Emissions (N2O),1966,gigagrams,3199.1476
436259,World,Agriculture total,Emissions (N2O),1967,gigagrams,3307.0352
436260,World,Agriculture total,Emissions (N2O),1968,gigagrams,3399.708
436261,World,Agriculture total,Emissions (N2O),1969,gigagrams,3462.9532
436262,World,Agriculture total,Emissions (N2O),1970,gigagrams,3556.6902
436263,World,Agriculture total,Emissions (N2O),1971,gigagrams,3664.639
436264,World,Agriculture total,Emissions (N2O),1972,gigagrams,3756.3238
436265,World,Agriculture total,Emissions (N2O),1973,gigagrams,3876.1619
436266,World,Agriculture total,Emissions (N2O),1974,gigagrams,3916.1054
436267,World,Agriculture total,Emissions (N2O),1975,gigagrams,4096.5394
436268,World,Agriculture total,Emissions (N2O),1976,gigagrams,4155.5382
436269,World,Agriculture total,Emissions (N2O),1977,gigagrams,4247.7227
436270,World,Agriculture total,Emissions (N2O),1978,gigagrams,4396.5841
436271,World,Agriculture total,Emissions (N2O),1979,gigagrams,4479.0384
436272,World,Agriculture total,Emissions (N2O),1980,gigagrams,4601.3345
436273,World,Agriculture total,Emissions (N2O),1981,gigagrams,4636.1046
436274,World,Agriculture total,Emissions (N2O),1982,gigagrams,4695.1581
436275,World,Agriculture total,Emissions (N2O),1983,gigagrams,4825.2378
436276,World,Agriculture total,Emissions (N2O),1984,gigagrams,4950.2177
436277,World,Agriculture total,Emissions (N2O),1985,gigagrams,4963.9002
436278,World,Agriculture total,Emissions (N2O),1986,gigagrams,5048.7611
436279,World,Agriculture total,Emissions (N2O),1987,gigagrams,5123.9941
436280,World,Agriculture total,Emissions (N2O),1988,gigagrams,5221.6466
436281,World,Agriculture total,Emissions (N2O),1989,gigagrams,5289.666
436282,World,Agriculture total,Emissions (N2O),1990,gigagrams,6212.6935
436283,World,Agriculture total,Emissions (N2O),1991,gigagrams,6172.7766
436284,World,Agriculture total,Emissions (N2O),1992,gigagrams,6151.2489
436285,World,Agriculture total,Emissions (N2O),1993,gigagrams,6107.2751
436286,World,Agriculture total,Emissions (N2O),1994,gigagrams,6155.5317
436287,World,Agriculture total,Emissions (N2O),1995,gigagrams,6292.5539
436288,World,Agriculture total,Emissions (N2O),1996,gigagrams,6338.7347
436289,World,Agriculture total,Emissions (N2O),1997,gigagrams,6254.0007
436290,World,Agriculture total,Emissions (N2O),1998,gigagrams,6364.1844
436291,World,Agriculture total,Emissions (N2O),1999,gigagrams,6443.5873
436292,World,Agriculture total,Emissions (N2O),2000,gigagrams,6409.7038
436293,World,Agriculture total,Emissions (N2O),2001,gigagrams,6560.0779
436294,World,Agriculture total,Emissions (N2O),2002,gigagrams,6637.2319
436295,World,Agriculture total,Emissions (N2O),2003,gigagrams,6631.0727
436296,World,Agriculture total,Emissions (N2O),2004,gigagrams,6817.9197
436297,World,Agriculture total,Emissions (N2O),2005,gigagrams,6849.0267
436298,World,Agriculture total,Emissions (N2O),2006,gigagrams,6924.8247
436299,World,Agriculture total,Emissions (N2O),2007,gigagrams,7106.4286
436300,World,Agriculture total,Emissions (N2O),2008,gigagrams,7099.2952
436301,World,Agriculture total,Emissions (N2O),2009,gigagrams,7099.6055
436302,World,Agriculture total,Emissions (N2O),2010,gigagrams,7249.8741
436303,World,Agriculture total,Emissions (N2O),2011,gigagrams,7513.5501
436304,World,Agriculture total,Emissions (N2O),2012,gigagrams,7531.2792
436305,World,Agriculture total,Emissions (N2O),2013,gigagrams,7448.8048
436306,World,Agriculture total,Emissions (N2O),2014,gigagrams,7530.5044
436307,World,Agriculture total,Emissions (N2O),2015,gigagrams,7609.8109
436308,World,Agriculture total,Emissions (N2O),2016,gigagrams,7670.5374
436309,World,Agriculture total,Emissions (N2O),2017,gigagrams,7826.7186
