,Area,Item,Element,Year,Unit,Value
816989,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,2010,Gigagrams,7314410.8817
816990,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,1990,Gigagrams,532982.7354
816991,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,1991,Gigagrams,516593.3095
816992,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,1992,Gigagrams,515127.6729
816993,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,1993,Gigagrams,501273.665
816994,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,1994,Gigagrams,498247.1355
816995,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,1995,Gigagrams,509071.895
816996,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,1996,Gigagrams,527490.0073
816997,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,1997,Gigagrams,533934.237
816998,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,1998,Gigagrams,521906.8104
816999,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,1999,Gigagrams,510653.0669
817000,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,2000,Gigagrams,518007.2176
817001,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,2001,Gigagrams,527656.665
817002,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,2002,Gigagrams,522872.3514
817003,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,2003,Gigagrams,515906.5062
817004,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,2004,Gigagrams,509253.8292
817005,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,2005,Gigagrams,496281.3152
817006,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,2006,Gigagrams,497226.7967
817007,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,2007,Gigagrams,499366.0255
817008,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,2008,Gigagrams,501381.0099
817009,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,2009,Gigagrams,494286.216
817010,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CH4,2010,Gigagrams,496704.8451
817011,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,1990,Gigagrams,74909.1027
817012,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,1991,Gigagrams,77634.8318
817013,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,1992,Gigagrams,79929.9756
817014,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,1993,Gigagrams,84193.3677
817015,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,1994,Gigagrams,87151.2947
817016,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,1995,Gigagrams,88298.6762
817017,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,1996,Gigagrams,90940.328
817018,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,1997,Gigagrams,93600.1981
817019,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,1998,Gigagrams,96187.9053
817020,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,1999,Gigagrams,98251.3905
817021,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,2000,Gigagrams,114451.8439
817022,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,2001,Gigagrams,112505.6846
817023,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,2002,Gigagrams,110903.8008
817024,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,2003,Gigagrams,109736.316
817025,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,2004,Gigagrams,106635.2883
817026,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,2005,Gigagrams,103501.298
817027,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,2006,Gigagrams,103272.8844
817028,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,2007,Gigagrams,102952.9421
817029,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,2008,Gigagrams,97293.0564
817030,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,2009,Gigagrams,93038.1174
817031,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from N2O,2010,Gigagrams,95878.6782
817032,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,1990,Gigagrams,0.0
817033,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,1991,Gigagrams,0.0
817034,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,1992,Gigagrams,0.0
817035,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,1993,Gigagrams,0.0
817036,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,1994,Gigagrams,0.0
817037,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,1995,Gigagrams,0.0
817038,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,1996,Gigagrams,0.0
817039,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,1997,Gigagrams,0.0
817040,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,1998,Gigagrams,0.0
817041,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,1999,Gigagrams,0.0
817042,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,2000,Gigagrams,0.0
817043,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,2001,Gigagrams,0.0
817044,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,2002,Gigagrams,0.0
817045,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,2003,Gigagrams,0.0
817046,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,2004,Gigagrams,0.0
817047,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,2005,Gigagrams,0.0
817048,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,2006,Gigagrams,0.0
817049,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,2007,Gigagrams,0.0
817050,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,2008,Gigagrams,0.0
817051,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,2009,Gigagrams,0.0
817052,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from F-gases,2010,Gigagrams,0.0
817053,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,1990,%,46.9839
817054,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,1991,%,46.7717
817055,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,1992,%,46.7123
817056,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,1993,%,46.6986
817057,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,1994,%,46.9197
817058,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,1995,%,46.6543
817059,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,1996,%,46.7465
817060,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,1997,%,47.4911
817061,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,1998,%,47.6576
817062,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,1999,%,47.4037
817063,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,2000,%,48.2334
817064,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,2001,%,47.8826
817065,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,2002,%,47.6396
817066,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,2003,%,47.7488
817067,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,2004,%,47.6476
817068,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,2005,%,47.7567
817069,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,2006,%,47.4439
817070,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,2007,%,47.7421
817071,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,2008,%,47.7491
817072,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,2009,%,46.5252
817073,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total emissions,2010,%,47.1795
817074,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,1990,%,53.2783
817075,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,1991,%,53.0103
817076,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,1992,%,52.8238
817077,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,1993,%,52.7722
817078,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,1994,%,53.0226
817079,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,1995,%,52.6504
817080,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,1996,%,52.536
817081,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,1997,%,53.2769
817082,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,1998,%,53.5091
817083,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,1999,%,53.1391
817084,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,2000,%,53.7786
817085,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,2001,%,53.2475
817086,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,2002,%,53.0101
817087,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,2003,%,53.0144
817088,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,2004,%,53.0275
817089,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,2005,%,53.177
817090,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,2006,%,52.9665
817091,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,2007,%,53.3754
817092,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,2008,%,53.3877
817093,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,2009,%,52.3478
817094,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CO2 emissions,2010,%,53.1617
817095,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,1990,%,30.6644
817096,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,1991,%,30.2282
817097,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,1992,%,30.3334
817098,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,1993,%,29.7481
817099,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,1994,%,29.6971
817100,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,1995,%,30.3715
817101,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,1996,%,31.546
817102,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,1997,%,32.2881
817103,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,1998,%,31.5932
817104,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,1999,%,31.4178
817105,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,2000,%,32.1878
817106,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,2001,%,33.0923
817107,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,2002,%,32.6147
817108,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,2003,%,32.7965
817109,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,2004,%,32.4571
817110,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,2005,%,32.242
817111,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,2006,%,31.9518
817112,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,2007,%,31.9708
817113,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,2008,%,32.8202
817114,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,2009,%,32.8519
817115,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total CH4 emissions,2010,%,32.8682
817116,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,1990,%,7.8058
817117,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,1991,%,8.1434
817118,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,1992,%,8.3753
817119,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,1993,%,8.7129
817120,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,1994,%,8.82
817121,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,1995,%,8.8782
817122,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,1996,%,9.0233
817123,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,1997,%,9.3153
817124,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,1998,%,9.7241
817125,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,1999,%,10.1528
817126,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,2000,%,11.6424
817127,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,2001,%,11.6818
817128,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,2002,%,11.6287
817129,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,2003,%,11.809
817130,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,2004,%,11.354
817131,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,2005,%,11.3653
817132,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,2006,%,11.2977
817133,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,2007,%,11.1849
817134,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,2008,%,11.1774
817135,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,2009,%,10.955
817136,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total N2O emissions,2010,%,11.4101
817137,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,1990,Gigagrams,0.0
817138,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,1991,Gigagrams,0.0
817139,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,1992,Gigagrams,0.0
817140,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,1993,Gigagrams,0.0
817141,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,1994,Gigagrams,0.0
817142,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,1995,Gigagrams,0.0
817143,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,1996,Gigagrams,0.0
817144,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,1997,Gigagrams,0.0
817145,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,1998,Gigagrams,0.0
817146,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,1999,Gigagrams,0.0
817147,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,2000,Gigagrams,0.0
817148,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,2001,Gigagrams,0.0
817149,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,2002,Gigagrams,0.0
817150,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,2003,Gigagrams,0.0
817151,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,2004,Gigagrams,0.0
817152,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,2005,Gigagrams,0.0
817153,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,2006,Gigagrams,0.0
817154,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,2007,Gigagrams,0.0
817155,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,2008,Gigagrams,0.0
817156,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,2009,Gigagrams,0.0
817157,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of sector in total F-gases emissions,2010,Gigagrams,0.0
817158,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of CO2 in sector emissions,1990,%,91.2792
817159,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of CO2 in sector emissions,1991,%,91.4437
817160,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of CO2 in sector emissions,1992,%,91.4733
817161,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of CO2 in sector emissions,1993,%,91.7799
817162,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of CO2 in sector emissions,1994,%,91.938
817163,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of CO2 in sector emissions,1995,%,91.814
817164,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of CO2 in sector emissions,1996,%,91.7294
817165,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of CO2 in sector emissions,1997,%,91.8015
817166,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of CO2 in sector emissions,1998,%,92.0285
817167,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of CO2 in sector emissions,1999,%,92.1224
817168,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of CO2 in sector emissions,2000,%,92.0676
817169,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Share of CO2 in sector emissions,2001,%,91.8909
