Country,Lat,Long,Classification
Costa Rica,9.78333,-84.8,Eutrophic
Côte d'Ivoire,5.221,-4.7,Hypoxic
Cuba,23.13417,-82.34197,Eutrophic
Denmark,55.028049,9.632616,Hypoxic
Denmark,56.04,10.56,Hypoxic
Denmark,55.5,11,Hypoxic
Denmark,54.831,9.788,Hypoxic
Denmark,57.509,10.84,Hypoxic
Denmark,56.139,11.516,Hypoxic
Denmark,55.502,12.363,Hypoxic
Denmark,56.942,9.074,Hypoxic
Denmark,55.005,10.083,Hypoxic
Denmark,56.654,9.95,Hypoxic
Denmark,56.309,8.262,Hypoxic
Denmark,56.016,12.623,Hypoxic
Denmark,56.1,7.2,Hypoxic
Denmark,55.506,10.554,Hypoxic
Denmark,55.027,10.438,Hypoxic
Denmark,56.047,8.213,Hypoxic
Denmark,55.946,11.984,Hypoxic
Denmark,56.617,9.083,Hypoxic
Denmark,55.702,9.676,Hypoxic
Ecuador,-3,-80.5,Eutrophic
Egypt,31.16833,29.85778,Hypoxic
Egypt,31.47639,30.85972,Eutrophic
Egypt,31.23472,30.20722,Hypoxic
Egypt,31.1828,32.0709,Eutrophic
Egypt,31.1575,29.89889,Eutrophic
El Salvador,13.23333,-88.55,Eutrophic
UK,50.790336,-4.562671,Hypoxic
UK,50.8,-0.91667,Hypoxic
UK,50.73333,-2,Hypoxic
UK,53.667,-0.199,Hypoxic
UK,50.81667,-1,Hypoxic
UK,55.68333,-1.78333,Eutrophic
UK,53.35,-2.9,Improved
UK,58.25,11.45,Hypoxic
UK,51.08333,-4.21667,Hypoxic
UK,54.63333,-1.15,Hypoxic
UK,51.501,0.079,Improved
UK,50.17028,-5.02972,Eutrophic
UK,57.317022,-1.989052,Hypoxic
"Estonia, Latvia",57.6256,23.5847,Hypoxic
Finland,60.289154,21.993434,Hypoxic
Finland,59.82,25.5,Hypoxic
Finland,60.349167,20.044722,Hypoxic
Russia,59.932692,30.152958,Hypoxic
France,48.6,-2.21667,Eutrophic
France,50.36667,1.58333,Eutrophic
France,48.109884,-4.334102,Hypoxic
France,48.637969,-2.294611,Eutrophic
France,48.731479,-3.555318,Hypoxic
France,48.654292,-3.877254,Eutrophic
France,48.63333,-2.66667,Hypoxic
France,47.5,-2.45,Hypoxic
France,44.7,-1.15,Hypoxic
France,49.382955,-1.100046,Eutrophic
France,50.730124,1.573992,Eutrophic
France,48.33333,-4.5,Eutrophic
France,50.96139,1.845,Eutrophic
France,50.55,1.55,Eutrophic
France,51.05,2.36667,Eutrophic
France,43.45,5.133,Hypoxic
France,47.2,-1.9,Hypoxic
France,47.68333,-3.38333,Eutrophic
France,43.527,3.914,Hypoxic
France,49.437379,0.233466,Hypoxic
France,50.22761,1.555351,Hypoxic
France,43.403,3.609,Hypoxic
Germany,54.5,10,Hypoxic
Germany,53.8,9.1,Improved
Germany,54.7,7,Hypoxic
Germany,54.33,10.703,Hypoxic
Germany,54.44,10.395,Hypoxic
Germany,54.566764,10.667408,Hypoxic
Germany,54.03,10.883,Hypoxic
Germany,54.2,11.2,Hypoxic
Germany,54.3,14,Hypoxic
Germany,51.829,6.284,Improved
Germany,54,11.5,Hypoxic
"Germany, Netherlands",53.422317,6.955161,Hypoxic
"Germany, Netherlands",53.3333,8.56667,Eutrophic
"Germany, Poland",53.786113,14.3,Hypoxic
"Germany, Sweden, Finland",55.050353,15.213575,Hypoxic
Ghana,5.633,0.017,Hypoxic
Ghana,5.1075,-1.2581,Hypoxic
Ghana,5.535,-0.2195,Hypoxic
Nigeria,6.4025,3.3988,Eutrophic
Greece,40.365,22.64,Hypoxic
Greece,38.0176,23.5335,Hypoxic
Greece,36.97,21.67,Hypoxic
Greece,40.87,24.65,Hypoxic
Greece,41.007,25.145,Hypoxic
Honduras,13.2,-87.4,Hypoxic
India,8.616567,76.817303,Hypoxic
India,15.5,73.7,Hypoxic
Indonesia,-6.05806,106.80889,Eutrophic
Iran,37.357,53.908,Hypoxic
Ireland,53.467,-10,Hypoxic
Ireland,51.64556,-8.76778,Eutrophic
Ireland,51.67306,-8.50333,Eutrophic
Ireland,52.23583,-6.96,Improved
Ireland,52.42583,-6.31556,Eutrophic
Ireland,53.716667,-6.231389,eutrophic
Ireland,53.4652,-6.165596,Eutrophic
Ireland,52.48,-9.65722,Improved
Ireland,53.985,-6.22056,Eutrophic
Ireland,52.10444,-7.63667,Improved
Ireland,52.635425,-9.005614,Eutrophic
Ireland,54.554,-8.506,Improved
Ireland,52.06806,-7.57806,Eutrophic
Ireland,52.7011,-9.00167,Eutrophic
Ireland,54.63333,-8.43333,Improved
Ireland,52.27833,-9.93139,Eutrophic
Ireland,53.342,-6.196,Improved
Ireland,51.503591,-9.30293,Hypoxic
Ireland,51.882,-8.354,Improved
Ireland,52.655555,-8.956944,Eutrophic
Ireland,51.86667,-8.2,Eutrophic
Ireland,53.5,-6.11667,Eutrophic
Ireland,52.33806,-6.45306,Eutrophic
Ireland,52.44444,-9.62389,Improved
Ireland,52.27333,-6.99556,Improved
Ireland,52.33833,-6.40417,Eutrophic
Israel,29.3505,34.8693,Hypoxic
Italy,45.308,12.866,Hypoxic
Italy,44.8236,12.305,Hypoxic
Italy,42.44,11.2,Hypoxic
Italy,45.5,12.42,Hypoxic
Italy,45.3847,12.2967,Hypoxic
"Italy, Slovenia, Croatia",45.622,13.519,Hypoxic
Jamaica,17.95,-76.78333,Eutrophic
Japan,34.294,136.834,Hypoxic
Japan,32.95,130.25,Hypoxic
Japan,33.303,131.54,Hypoxic
Japan,33.883,130.8,Hypoxic
Japan,42.333,140.667,Hypoxic
Japan,34.317,136.667,Hypoxic
Japan,33.6,130.3,Hypoxic
Japan,34.6,134.531,Hypoxic
Japan,34.083,132.333,Hypoxic
Japan,34,133.5,Hypoxic
Japan,34.66,136.75,Hypoxic
Japan,35.633,134.912,Hypoxic
Japan,35.467,133.2,Hypoxic
Japan,44.155,143.756,Hypoxic
Japan,35.5,133,Hypoxic
Japan,34.724453,137.084356,Hypoxic
Japan,32.967,129.883,Hypoxic
Japan,34.578686,135.275944,Hypoxic
Japan,33.72,132.45,Hypoxic
Japan,33.851,131.167,Hypoxic
Japan,35.587,140,Hypoxic
Japan,32.528378,130.038264,Hypoxic
Korea,34.87,127.66,Eutrophic
Korea,36.504925,126.442611,Hypoxic
Korea,35.127325,128.686619,Hypoxic
Korea,34.68,127.67,Hypoxic
Korea,35.169,128.592,Hypoxic
Korea,34.789578,126.353072,Hypoxic
Mauritius,-20.137475,57.462739,Hypoxic
Mexico,21.125,-86.758,Hypoxic
Mexico,18.5,-91.77,Hypoxic
Netherlands,53.5,5.5,Hypoxic
Netherlands,53.82,7.67,Hypoxic
Netherlands,53.550737,6.668853,Eutrophic
Netherlands,51.4,3.55,Hypoxic
New Zealand,-46.92,168,Hypoxic
Nigeria,4.71667,7.06667,Eutrophic
Norway,58.179722,8.057222,Improved 
Norway,58.46028,8.76667,Improved
Norway,57.977222,7.617778,Eutrophic
Norway,59.632,10.42,Hypoxic
Norway,58.36667,8.677778,Eutrophic
Norway,58.543333,8.951944,Eutrophic
Norway,59.1,9.61667,Hypoxic
Norway,58.31667,8.6,Eutrophic
Norway,58.043611,7.621389,Eutrophic
Norway,58.025833,7.336667,Eutrophic
Norway,58.27222,8.4275,Hypoxic
Norway,58.85,9.46667,Hypoxic
Norway,58.1,8.033333,Eutrophic
Norway,59.01667,10.06667,Eutrophic
Norway,58.248611,8.474722,Eutrophic
Norway,58.63139,9.15167,Eutrophic
Norway,57.98333,7.466667,Eutrophic
Norway,59.390851,10.57892,Hypoxic
Norway,58.6938,9.12095,Hypoxic
Norway,59.0833,10.2391,Hypoxic
Norway,59.08333,11.11667,Eutrophic
Norway,58.23028,8.372778,Eutrophic
Norway,58.036715,7.428941,Eutrophic
Norway,58.73333,9.15,Hypoxic
Norway,59.144722,10.662222,Eutrophic
Norway,58.2,8.31667,Eutrophic
Norway,58.914444,9.593611,Eutrophic
Norway,59.195,10.34917,Eutrophic
Norway,58.15,8.05,Improved
Norway,58.48778,8.85944,Eutrophic
Norway,68.417709,16.981649,Hypoxic
Panama,8.83333,-79.25,Eutrophic
Peru,-12,-77.25,Eutrophic
Peru,-9.12306,-78.59194,Eutrophic
Peru,-17.61667,-71.4,Eutrophic
Peru,-5.0725,-81.10889,Eutrophic
Peru,-13.8206,-76.2769,Hypoxic
Philippines,14.519,120.77,Hypoxic
Poland,55,19.25,Hypoxic
Poland,54.583,18.75,Hypoxic
Portugal,40.14084,-8.822522,Hypoxic
Portugal,40.647024,-8.822522,Hypoxic
Portugal,37.03,-7.78,Hypoxic
Puerto Rico,17.948931,-66.197619,Hypoxic
Puerto Rico,18.448,-66.10794,Eutrophic
Russia,45.95345,49.012019,Hypoxic
"Russia, Iran, Azerbaijan, Turkmenistan",41.83,51.08,Hypoxic
"Russia, Ukraine",46.2,37,Hypoxic
Saudi Arabia,21.491,39.169,Hypoxic
UK,55.889,-4.392,Improved
UK,55.7,-4.95,Hypoxic
UK,56.01066,-3.339275,Improved
UK,56.25,-5.74,Hypoxic
UK,57.3,-5.5,Hypoxic
UK,60.450014,-1.298763,Hypoxic
Senegal,16.0422,-16.495,Eutrophic
Senegal,14.71667,-17.41667,Eutrophic
South Africa,-32.76667,18.15,Eutrophic
South Africa,-33.009,17.968,Hypoxic
South Africa,-28.3837,32.4217,Hypoxic
Spain,43.332362,-3.020819,Improved
Spain,43.4,-8.4,Hypoxic
Spain,36.53333,-6.26667,Eutrophic
Spain,43.410415,-4.02702,Hypoxic
Sweden,54.936,13.833,Hypoxic
Sweden,59.03,11.22,Hypoxic
Sweden,57.5,20.1,Hypoxic
Sweden,58.9,20.5,Hypoxic
Sweden,58.33,11.33,Hypoxic
Sweden,58.298,11.766,Hypoxic
Sweden,59,17.717,Improved
Sweden,58.25,11.583,Hypoxic
Sweden,56.54,12.81,Hypoxic
Sweden,58.405,16.746,Hypoxic
Sweden,58.092,11.642,Hypoxic
Sweden,59.47,18.78,Hypoxic
"Sweden, Denmark",56.86,11.46,Hypoxic
"Sweden, Norway",59.3,11.1,Improved
Taiwan,25.176283,121.403033,Hypoxic
Taiwan,22.856017,120.206644,Hypoxic
Thailand,9.283,99.283,Hypoxic
Thailand,7.484,100.307,Hypoxic
Thailand,8.409811,100.136975,Hypoxic
Thailand,13.527,100.265,Hypoxic
Tunisia,36.819,10.247,Improved
Turkey,41.031,28.957,Improved
Turkey,40.732,29.756,Hypoxic
Turkey,40.72,28.21,Hypoxic
UK,54.26667,-4.66667,Eutrophic
UK,50.76667,-0.75,Eutrophic
UK,50.81667,-1.11667,Eutrophic
UK,54.662529,-5.852552,Hypoxic
UK,54.353376,-5.699665,Eutrophic
UK,54.486943,-5.582652,Eutrophic
UK,50.616111,-2.519722,Eutrophic
UK,51.66139,-4.08222,Eutrophic
"Ukraine, Romania, Bulgaria",45.5,30.3,Improved
United Arab Emirates,25.259722,55.312186,Hypoxic
Argentina/Uruguay,-34.861231,-57.190164,Hypoxic
Uruguay,-34.917,-56.217,Hypoxic
US Virgin Islands,17.69081,-64.74931,Eutrophic
US,30.177,-88.101,Hypoxic
US,30.3,-87.88,Hypoxic
US,30.46,-88,Hypoxic
US,30.4005,-87.830414,Hypoxic
US,30.3128834,-87.5915,Hypoxic
US,55.417,-131.731,Hypoxic
US,33.754,-118.113,Hypoxic
US,33.734272,-118.09215,Eutrophic
US,36.848,-121.755,Hypoxic
US,38.6474,-122.3857,Eutrophic
US,37.467,-122,Hypoxic
US,36.814,-121.764,Hypoxic
US,33.7539,-118.1776,Improved
US,33.7171,-118.2653,Improved
US,36.79,-121.904,Hypoxic
US,33.622,-117.893,Hypoxic
US,37.63,-122.176,Hypoxic
US,32.671,-117.141,Hypoxic
US,37.969,-121.372,Hypoxic
US,33.935,-118.466,Hypoxic
US,37.56,-122.178,Improved
US,32.559,-117.128,Improved
US,41.2902,-72.347834,Hypoxic
US,41.397,-72.45,Hypoxic
US,41.35,-72.3,Hypoxic
US,38.696,-75.1,Hypoxic
US,39.084,-75.456,Hypoxic
US,38.518,-75.061,Hypoxic
US,39.87,-75.09,Improved
US,39.058,-75.397,Hypoxic
US,38.564,-75.205,Hypoxic
US,38.666,-75.104,Hypoxic
US,27.858,-82.38,Hypoxic
US,26.105,-81.522,Hypoxic
US,30.675,-81.468,Hypoxic
US,29.935,-84.019,Improved
US,29.6718,-85.0026,Improved
US,30.404,-87.259,Hypoxic
US,30.435,-87.319,Hypoxic
US,30.32,-87.355,Hypoxic
US,25.566,-80.216,Hypoxic
US,26.616,-81.902,Hypoxic
US,26.848,-80.066,Hypoxic
US,30.278,-81.74,Hypoxic
US,26.763,-82.128,Hypoxic
US,30.447,-86.316,Improved
US,27.274,-82.528,Hypoxic
US,27.828,-82.743,Hypoxic
US,27.943,-82.412,Hypoxic
US,30.444,-87.018,Improved
US,26.095,-80.231,Hypoxic
US,30.054,-83.912,Improved
US,30.47,-87.367,Hypoxic
US,30.545,-87.157,Hypoxic
US,26.273,-81.729,Hypoxic
US,29.996,-83.778,Improved
US,25.04,-80.732,Hypoxic
US,26.146,-81.787,Hypoxic
US,27.701,-80.695,Hypoxic
US,29.169,-80.997,Hypoxic
US,29.396,-81.447,Hypoxic
US,26.327,-80.194,Improved
US,28.111,-80.602,Improved
US,28.217,-83.333,Hypoxic
US,30.406,-87.257,Improved
US,30.28,-83.845,Hypoxic
US,27.826,-82.768,Hypoxic
US,25.831,-80.295,Hypoxic
US,30.548,-87.107,Hypoxic
US,30.435,-84.154,Hypoxic
US,27.057,-82.303,Hypoxic
US,26.124,-81.791,Hypoxic
US,25.953,-80.191,Hypoxic
US,30.746,-81.535,Hypoxic
US,29.8,-85.03,Hypoxic
US,30.246,-81.71,Hypoxic
US,27.053,-81.993,Hypoxic
US,30.4161,-87.1324,Hypoxic
US,30.375,-87.442,Hypoxic
US,30.509,-87.493,Hypoxic
US,27.327,-82.535,Hypoxic
US,30.321,-81.6,Hypoxic
US,30.397,-81.691,Hypoxic
US,29.701,-81.66,Hypoxic
US,26.028337,-81.744512,Hypoxic
US,27.32,-82.567,Improved
US,27.838,-80.499,Hypoxic
US,27.65,-80.39,Hypoxic
US,30.162,-85.701,Improved
US,29.799,-84.691,Hypoxic
US,30.5,-81.5,Hypoxic
US,29.794,-85.355,Hypoxic
US,27.207938,-80.242387,Hypoxic
US,30.751,-81.484,Hypoxic
US,28.405,-80.693,Hypoxic
US,27.741,-82.505,Hypoxic
US,25.724,-81.378,Hypoxic
US,27.411,-80.351,Hypoxic
US,30.396,-81.66,Hypoxic
US,30.359,-82.08,Hypoxic
US,26.661,-82.213,Hypoxic
US,30.1524,-85.640276,Hypoxic
US,27.544,-82.602,Hypoxic
US,26.854,-80.48,Hypoxic
US,27.354,-82.548,Hypoxic
US,31.331,-81.353,Eutrophic
US,30.791,-81.487,Hypoxic
US,31.711,-81.147,Eutrophic
US,31.415,-81.296,Hypoxic
US,30.964,-81.508,Hypoxic
US,32.038686,-80.924715,Hypoxic
US,31.116,-81.486,Hypoxic
US,21.288,-158.007,Hypoxic
US,30.298,-90.56,Hypoxic
US,29.67482,-91.87561,Hypoxic
US,29.398,-88.993,Hypoxic
US,29.39468,-89.94399,Hypoxic
US,29.50077,-89.25061,Hypoxic
US,30.02197,-93.30738,Hypoxic
US,29.945,-89.037,Hypoxic
US,29.037,-89.122,Hypoxic
US,29.367,-89.369,Hypoxic
US,29.838,-90.229,Hypoxic
US,30.1,-90,Hypoxic
US,28.678,-91.633,Hypoxic
US,29.19693,-90.53844,Eutrophic
US,29.599,-91.419,Hypoxic
US,29.67,-93.5,Hypoxic
US,44.257,-68.346,Hypoxic
US,44.03476,-69.80126,Hypoxic
US,43.50224,-70.3779,Hypoxic
US,43.321,-70.56,Hypoxic
US,38.407,-75.089,Hypoxic
US,39.275,-76.454,Hypoxic
US,39.283,-76.61,Hypoxic
US,39.134,-76.436,Hypoxic
US,38.249,-76.26,Hypoxic
US,39.2,-76.1,Hypoxic
US,38.69,-76.269,Hypoxic
US,39.087,-76.156,Hypoxic
US,38.3142,-75.1172,Hypoxic
US,38.367,-75.098,Hypoxic
US,38.768,-76.699,Hypoxic
US,39.074,-76.474,Hypoxic
US,39.2,-76.5,Hypoxic
US,38.385,-76.512,Hypoxic
US,38.396,-77.094,Hypoxic
US,39.016,-76.519,Hypoxic
US,38.42,-76.488,Hypoxic
US,42.33983,-70.975718,Improved
US,41.7,-70.7,Hypoxic
US,41.88762,-70.35328,Hypoxic
US,42.38,-71.04,Improved
US,42.3241,-71.028771,Improved
US,42.24,-70.96,Hypoxic
US,41.925,-70.058,Hypoxic
US,42.35373,-70.79083,Eutrophic
US,42.815581,-70.871074,Hypoxic
US,41.608,-70.9,Hypoxic
US,41.7,-71.183,Hypoxic
US,41.562619,-70.522075,Hypoxic
US,30.428,-88.912,Hypoxic
US,30.3352,-88.512791,Hypoxic
US,30.42,-88.975,Hypoxic
US,30.35072,-88.35675,Improved
US,30.4222,-88.560778,Hypoxic
US,30.126,-88.736,Hypoxic
US,30.35053,-88.602418,Hypoxic
US,30.26194,-89.02313,Hypoxic
US,43.070993,-70.873981,Hypoxic
US,39.77,-74.09,Hypoxic
US,39.3,-74.63,Hypoxic
US,39.498,-74.318,Hypoxic
US,39.544408,-74.40765,Hypoxic
US,40.474,-74.181,Improved
US,40.494,-74.28,Hypoxic
US,39.12,-74.71,Hypoxic
US,40.503,-74.258,Hypoxic
US,40.654,-73.822,Hypoxic
US,40.77,-72.89,Hypoxic
US,40.8,-73.917,Improved
US,40.63,-73.81,Hypoxic
US,40.635,-73.79,Hypoxic
US,40.708,-73.049,Improved
US,40.783,-73.939,Hypoxic
US,41.535,-73.991,Improved
US,40.645,-74.06,Hypoxic
US,41.083,-72.883,Hypoxic
US,40.603,-73.907,Hypoxic
US,40.627,-74.057,Hypoxic
US,39.96,-73.56,Hypoxic
US,40.67,-73.98,Improved
US,40.739,-73.951,Hypoxic
US,40.601,-73.772,Hypoxic
US,40.75,-73.017,Hypoxic
US,40.585,-73.922,Hypoxic
US,40.75,-73.998,Hypoxic
US,42.033,-73.922,Hypoxic
US,32.558,-80.446,Hypoxic
US,36.064,-76.02,Hypoxic
US,34.159,-77.932,Hypoxic
US,34.376,-78.083,Hypoxic
US,34.22,-77.954,Hypoxic
US,34.028,-77.914,Hypoxic
US,36.167,-76.7,Hypoxic
US,34.303,-77.752,Hypoxic
US,34.946,-78.383,Hypoxic
US,34.384,-78.25,Hypoxic
US,34.191,-77.855,Hypoxic
US,34.15611111,-77.84972222,Hypoxic
US,34.131,-77.915,Hypoxic
US,34.994,-76.91,Hypoxic
US,34.642,-77.343,Hypoxic
US,34.313,-77.956,Hypoxic
US,34.281,-77.794,Hypoxic
US,35.424,-76.766,Hypoxic
US,35.4,-75.7,Hypoxic
US,34.53,-78.263,Hypoxic
US,34.256,-77.937,Hypoxic
US,42.423,-124.428,Hypoxic
US,43.324,-124.321,Hypoxic
US,44.62,-124.03,Hypoxic
US,41.674,-71.414,Hypoxic
US,41.68,-71.21,Hypoxic
US,41.677,-71.329,Hypoxic
US,41.456,-71.451,Hypoxic
US,41.579,-71.321,Hypoxic
US,41.814,-71.401,Hypoxic
US,32.898,-79.89,Hypoxic
US,32.399,-80.717,Improved
US,32.826,-80.019,Hypoxic
US,32.905,-79.95,Improved
US,32.925,-79.769,Hypoxic
US,32.815,-79.961,Hypoxic
US,32.862,-79.858,Hypoxic
US,32.76,-79.943,Hypoxic
US,33.62,-78.88,Hypoxic
US,32.325,-80.917,Hypoxic
US,32.819,-79.937,Hypoxic
US,33.35,-79.191,Hypoxic
US,32.306,-80.927,Hypoxic
US,32.806,-79.977,Hypoxic
US,32.859,-79.886,Hypoxic
US,32.793,-79.882,Hypoxic
US,32.478539,-80.443778,Hypoxic
US,32.63907,-80.03159,Hypoxic
US,32.639,-80.032,Hypoxic
US,26.355,-97.374,Hypoxic
US,27.323,-97.531,Hypoxic
US,28.973,-95.378,Hypoxic
US,25.955,-97.39,Hypoxic
US,28.9,-95,Hypoxic
US,29.73,-94.937,Hypoxic
US,27.749,-97.293,Hypoxic
US,29.453,-94.997,Hypoxic
US,29.527,-94.62,Hypoxic
US,28.95,-95.31,Hypoxic
US,28.598023,-96.524976,Hypoxic
US,26.42264,-97.36166,Hypoxic
US,28.435,-96.335,Hypoxic
US,28.164,-97.171,Hypoxic
US,27.851,-97.42,Hypoxic
US,29.278,-94.849,Hypoxic
US,28.3,-96.7,Hypoxic
US,28.879,-95.468,Hypoxic
US,28.37,-94.68,Hypoxic
US,29.685,-94.981,Hypoxic
US,27.26039,-97.39444,Hypoxic
US,37.574,-76.138,Hypoxic
US,36.838,-76.251,Hypoxic
US,37.219,-76.396,Hypoxic
US,37.65,-76.892,Hypoxic
US,37.338,-76.378,Hypoxic
US,36.856,-76.514,Hypoxic
US,37.71,-75.76,Hypoxic
US,37.6,-76.35,Hypoxic
US,37.414,-76.713,Hypoxic
US,37.236,-76.468,Hypoxic
US,48.748177,-122.565224,Hypoxic
US,47.1,-122.91,Hypoxic
US,48.018,-122.847,Hypoxic
US,47.599818,-122.361792,Hypoxic
US,47.64,-122.812,Hypoxic
US,47.436,-122.851,Hypoxic
US,48.536483,-122.529527,Hypoxic
US,48.231,-122.674,Hypoxic
US,48,-122.25,Improved
US,48.113,-122.39,Hypoxic
US,48.108,-122.49,Hypoxic
US,48.05,-123.018,Eutrophic
US,48.3,-122.44,Hypoxic
US,47.224,-122.812,Hypoxic
US,47.663703,-122.429236,Hypoxic
US,46.686,-123.75,Hypoxic
Venezuela,10.823,-68.269,Hypoxic
Venezuela,9.2054,-60.9146,Eutrophic
UK,51.620051,-2.658211,Hypoxic
Croatia,43.7193,15.8487,Hypoxic
Israel,32.82265,35.022753,eutrophic
Turkey,38.4529,27.1461,Eutrophic
Ireland,52.340546,-6.457581,Eutrophic
Venezuela,10.0965,-71.5967,Eutrophic
Australia,-33.092319,151.572256,improved
Kuwait ,29.3959,47.9344,Eutrophic
Fiji,-18.141258,178.493108,Eutrophic
Albania/Montenegro,41.567378,19.389356,Eutrophic
Egypt ,31.375653,30.195225,eutrophic
Egypt ,31.152606,29.837325,eutrophic
Egypt ,31.264967,32.323197,eutrophic
Spain,37.718592,-0.797361,Eutrophic
France,43.57705,4.027747,eutrophic
Greece,37.808161,23.518647,eutrophic
Greece,40.185108,22.894486,eutrophic
India,19.737222,85.299722,Eutrophic
India,9.978947,76.266489,Eutrophic 
India,18.935,72.807222,eutrophic
India,11.706456,79.779892,Eutrophic
Iraq,29.808303,48.611714,Eutrophic
Italy,37.201475,15.209103,Eutrophic
Italy ,44.413706,12.315094,eutrophic
Italy ,43.933786,12.92675,eutrophic
Italy,45.787042,13.540611,Hypoxic
Italy,45.724681,13.1574,eutrophic
Italy,40.728267,14.467467,eutrophic
Italy,43.735981,10.267811,eutrophic
Lebanon,33.917042,35.578136,eutrophic
Lebanon,33.879153,35.476003,eutrophic
Lebanon,33.563206,35.365403,eutrophic
Malaysia,3.01,101.348089,Hypoxic
Malta,35.968106,14.335831,Eutrophic
Mexico,23.219119,-106.431444,Eutrophic
Mexico,21.318353,-89.714325,Eutrophic
Morocco,35.163678,-2.850972,eutrophic
New Zealand,-43.548992,172.727139,Eutrophic
New Zealand,-46.343269,168.000883,Eutrophic
New Zealand,-43.780306,172.449297,Eutrophic
New Zealand,-46.565986,168.585731,Eutrophic
Pakistan,24.721758,67.076567,Eutrophic
Palestine,31.467428,34.3722,eutrophic
Philippines,10.328128,124.017336,Eutrophic
Philippines,15.522258,119.941392,Eutrophic
Philippines,16.290464,120.183814,Hypoxic
Slovenia,45.558,13.742,eutrophic
Slovenia,45.483292,13.581928,eutrophic
Sri Lanka,7.663753,79.8025,eutrophic
Tunisia,37.189356,9.847019,eutrophic
Turkey,36.793969,34.642803,Eutrophic
China,36.132442,120.225108,Eutrophic
Belize,18.368378,-88.386425,Eutrophic
Argentina,-42.744939,-64.995136,Eutrophic
Tunisia,37.146358,10.181031,Eutrophic
Bangladesh,21.595631,89.052269,Hypoxic
Korea,33.432489,126.919241,eutrophic
Australia ,-19.103797,148.526911,eutrophic
Vietnam ,9.379525,106.347736,eutrophic
Vietnam ,19.546292,107.431436,eutrophic
US,48.808,-122.953,Eutrophic
US,47.549,-122.609,Eutrophic
US,48.606,-122.516,Eutrophic
