,,Value,Symbol
Total area of the country (excl. coastal water),Azerbaijan,8660.0,E
Cultivated area (arable land + permanent crops),Azerbaijan,2341.3,X
Total population,Azerbaijan,9845.32,X
Rural population,Azerbaijan,4388.663,X
Urban population,Azerbaijan,5438.926,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Azerbaijan,0.303,I
Gross Domestic Product (GDP),Azerbaijan,40866632048.0,X
GDP per capita,Azerbaijan,4158.357869,X
"Agriculture, value added (% GDP)",Azerbaijan,5.607369,X
Total area of the country (excl. coastal water),Bahamas,1388.0,E
Cultivated area (arable land + permanent crops),Bahamas,12.0,X
Total population,Bahamas,381.755,X
Rural population,Bahamas,67.508,X
Urban population,Bahamas,327.853,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Bahamas,0.2979,I
GDP per capita,Bahamas,30732.419232,X
Total area of the country (excl. coastal water),Bahrain,78.0,E
Cultivated area (arable land + permanent crops),Bahrain,4.6,X
Total population,Bahrain,1494.076,X
Rural population,Bahrain,161.409,X
Urban population,Bahrain,1331.175,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Bahrain,0.2649,I
GDP per capita,Bahrain,23739.143918,X
Total area of the country (excl. coastal water),Bangladesh,14797.7,E
Cultivated area (arable land + permanent crops),Bangladesh,8587.33,X
Total population,Bangladesh,159685.424,X
Rural population,Bangladesh,105622.933,X
Urban population,Bangladesh,59046.818,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Bangladesh,0.5034,I
Gross Domestic Product (GDP),Bangladesh,245633488923.0,X
GDP per capita,Bangladesh,1491.67341,X
"Agriculture, value added (% GDP)",Bangladesh,13.413465,X
Total area of the country (excl. coastal water),Barbados,43.0,E
Cultivated area (arable land + permanent crops),Barbados,8.0,X
Total population,Barbados,286.232,X
Rural population,Barbados,196.693,X
Urban population,Barbados,89.026,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Barbados,0.357,I
GDP per capita,Barbados,17423.251128,X
Total area of the country (excl. coastal water),Belarus,20760.0,E
Cultivated area (arable land + permanent crops),Belarus,5841.0,X
Total population,Belarus,9450.231,X
Rural population,Belarus,2070.383,X
Urban population,Belarus,7397.955,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Belarus,0.1507,I
Gross Domestic Product (GDP),Belarus,54725418814.0,X
GDP per capita,Belarus,5779.833675,X
"Agriculture, value added (% GDP)",Belarus,7.565833,X
Total area of the country (excl. coastal water),Belgium,3053.0,E
Cultivated area (arable land + permanent crops),Belgium,859.0,X
Total population,Belgium,11419.748,X
Rural population,Belgium,233.097,X
Urban population,Belgium,11196.239,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Belgium,0.0633,I
GDP per capita,Belgium,44118.925664,X
Total area of the country (excl. coastal water),Belize,2297.0,E
Cultivated area (arable land + permanent crops),Belize,122.0,X
Total population,Belize,375.769,X
Rural population,Belize,203.824,X
Urban population,Belize,170.857,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Belize,0.4257,I
Gross Domestic Product (GDP),Belize,1836593466.0,X
GDP per capita,Belize,4901.752333,X
"Agriculture, value added (% GDP)",Belize,11.204338,X
Total area of the country (excl. coastal water),Benin,11476.0,E
Cultivated area (arable land + permanent crops),Benin,3400.0,X
Total population,Benin,11175.198,X
Rural population,Benin,5949.046,X
Urban population,Benin,5226.646,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Benin,0.6143,I
GDP per capita,Benin,829.419035,X
Total area of the country (excl. coastal water),Bhutan,3839.4,E
Cultivated area (arable land + permanent crops),Bhutan,100.0,X
Total population,Bhutan,745.563,X
Rural population,Bhutan,483.217,X
Urban population,Bhutan,324.393,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Bhutan,0.4574,I
GDP per capita,Bhutan,3130.235119,X
Total area of the country (excl. coastal water),Bolivia (Plurinational State of),109858.0,E
Cultivated area (arable land + permanent crops),Bolivia (Plurinational State of),4488.0,X
Total population,Bolivia (Plurinational State of),11192.855,X
Rural population,Bolivia (Plurinational State of),3417.155,X
Urban population,Bolivia (Plurinational State of),7634.445,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Bolivia (Plurinational State of),0.4443,I
Gross Domestic Product (GDP),Bolivia (Plurinational State of),37508683068.0,X
GDP per capita,Bolivia (Plurinational State of),3393.959523,X
"Agriculture, value added (% GDP)",Bolivia (Plurinational State of),11.589328,X
Total area of the country (excl. coastal water),Bosnia and Herzegovina,5121.0,E
Cultivated area (arable land + permanent crops),Bosnia and Herzegovina,1167.0,X
Total population,Bosnia and Herzegovina,3351.525,X
Rural population,Bosnia and Herzegovina,1828.006,X
Urban population,Bosnia and Herzegovina,1679.011,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Bosnia and Herzegovina,0.2007,I
Gross Domestic Product (GDP),Bosnia and Herzegovina,18080610875.0,X
GDP per capita,Bosnia and Herzegovina,5155.552675,X
"Agriculture, value added (% GDP)",Bosnia and Herzegovina,5.601858,X
Total area of the country (excl. coastal water),Botswana,58173.0,E
Cultivated area (arable land + permanent crops),Botswana,261.6,X
Total population,Botswana,2205.08,X
Rural population,Botswana,717.29,X
Urban population,Botswana,1574.371,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Botswana,0.4801,I
GDP per capita,Botswana,7595.147598,X
Total area of the country (excl. coastal water),Brazil,851577.0,E
Cultivated area (arable land + permanent crops),Brazil,63517.8,X
Total population,Brazil,207833.823,X
Rural population,Brazil,28654.406,X
Urban population,Brazil,180633.872,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Brazil,0.4569,I
GDP per capita,Brazil,9812.31098,X
Total area of the country (excl. coastal water),Brunei Darussalam,577.0,E
Total population,Brunei Darussalam,424.473,X
Rural population,Brunei Darussalam,97.263,X
Urban population,Brunei Darussalam,331.434,X
Gross Domestic Product (GDP),Brunei Darussalam,12128166606.0,X
GDP per capita,Brunei Darussalam,28290.766219,X
"Agriculture, value added (% GDP)",Brunei Darussalam,1.086451,X
Total area of the country (excl. coastal water),Bulgaria,11095.0,E
Cultivated area (arable land + permanent crops),Bulgaria,3637.17,X
Total population,Bulgaria,7102.444,X
Rural population,Bulgaria,1794.614,X
Urban population,Bulgaria,5289.957,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Bulgaria,0.2116,I
Gross Domestic Product (GDP),Bulgaria,58951516170.0,X
GDP per capita,Bulgaria,8321.113046,X
"Agriculture, value added (% GDP)",Bulgaria,4.036052,X
Total area of the country (excl. coastal water),Burkina Faso,27422.0,E
Cultivated area (arable land + permanent crops),Burkina Faso,6100.0,X
Total population,Burkina Faso,19193.234,X
Rural population,Burkina Faso,13676.652,X
Urban population,Burkina Faso,5516.73,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Burkina Faso,0.6313,I
GDP per capita,Burkina Faso,738.274757,X
Total area of the country (excl. coastal water),Burundi,2783.0,E
Cultivated area (arable land + permanent crops),Burundi,1550.0,X
Total population,Burundi,10827.019,X
Rural population,Burundi,9483.827,X
Urban population,Burundi,1380.418,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Burundi,0.4916,I
Gross Domestic Product (GDP),Burundi,3217016810.0,X
GDP per capita,Burundi,296.110481,X
"Agriculture, value added (% GDP)",Burundi,37.279454,X
Total area of the country (excl. coastal water),Cabo Verde,403.0,E
Cultivated area (arable land + permanent crops),Cabo Verde,54.0,X
Total population,Cabo Verde,537.498,X
Rural population,Cabo Verde,189.808,X
Urban population,Cabo Verde,356.58,X
Gross Domestic Product (GDP),Cabo Verde,1769786532.0,X
GDP per capita,Cabo Verde,3239.065521,X
"Agriculture, value added (% GDP)",Cabo Verde,6.73869,X
Total area of the country (excl. coastal water),Cambodia,18104.0,E
Cultivated area (arable land + permanent crops),Cambodia,4066.0,X
Total population,Cambodia,16009.409,X
Rural population,Cambodia,12327.338,X
Urban population,Cambodia,3678.035,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Cambodia,0.4775,I
GDP per capita,Cambodia,1385.609732,X
"Agriculture, value added (% GDP)",Cambodia,23.36144,X
Total area of the country (excl. coastal water),Cameroon,47544.0,E
Cultivated area (arable land + permanent crops),Cameroon,7750.0,X
Total population,Cameroon,24566.073,X
Rural population,Cameroon,10637.19,X
Urban population,Cameroon,13416.537,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Cameroon,0.5873,I
Gross Domestic Product (GDP),Cameroon,35009259798.0,X
GDP per capita,Cameroon,1455.460927,X
"Agriculture, value added (% GDP)",Cameroon,14.372215,X
Total area of the country (excl. coastal water),Canada,987975.0,E
Cultivated area (arable land + permanent crops),Canada,38682.0,X
Total population,Canada,36732.095,X
Rural population,Canada,6830.253,X
Urban population,Canada,29793.946,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Canada,0.1292,I
GDP per capita,Canada,45057.287226,X
Total area of the country (excl. coastal water),Central African Republic,62298.0,E
Cultivated area (arable land + permanent crops),Central African Republic,1880.0,X
Total population,Central African Republic,4596.023,X
Rural population,Central African Republic,2749.797,X
Urban population,Central African Republic,1909.283,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Central African Republic,0.6549,I
GDP per capita,Central African Republic,428.701433,X
Total area of the country (excl. coastal water),Chad,128400.0,E
Cultivated area (arable land + permanent crops),Chad,5238.0,X
Total population,Chad,15016.753,X
Rural population,Chad,11494.121,X
Urban population,Chad,3405.873,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Chad,0.7065,I
Gross Domestic Product (GDP),Chad,10394020227.0,X
GDP per capita,Chad,697.585531,X
"Agriculture, value added (% GDP)",Chad,34.045337,X
Total area of the country (excl. coastal water),Chile,75609.6,E
Cultivated area (arable land + permanent crops),Chile,1742.0,X
Total population,Chile,18470.439,X
Rural population,Chile,2258.558,X
Urban population,Chile,15796.168,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Chile,0.3376,I
GDP per capita,Chile,15383.587714,X
Total area of the country (excl. coastal water),China,960001.08,E
Total population,China,1452625.244,X
Rural population,China,597816.52,X
Urban population,China,843314.783,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),China,0.1907,I
GDP per capita,China,8843.579277,X
Total area of the country (excl. coastal water),Colombia,114174.9,E
Cultivated area (arable land + permanent crops),Colombia,9892.0,X
Total population,Colombia,48909.839,X
Rural population,Colombia,9594.518,X
Urban population,Colombia,39471.097,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Colombia,0.4285,I
GDP per capita,Colombia,6354.5494,X
Total area of the country (excl. coastal water),Comoros,186.1,E
Cultivated area (arable land + permanent crops),Comoros,116.0,X
Total population,Comoros,813.892,X
Rural population,Comoros,579.639,X
Urban population,Comoros,234.273,X
GDP per capita,Comoros,1308.519021,X
Total area of the country (excl. coastal water),Congo,34200.0,E
Cultivated area (arable land + permanent crops),Congo,628.0,X
Total population,Congo,5110.695,X
Rural population,Congo,1764.522,X
Urban population,Congo,3496.228,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Congo,0.5934,I
GDP per capita,Congo,2086.959331,X
Total area of the country (excl. coastal water),Cook Islands,24.0,E
Cultivated area (arable land + permanent crops),Cook Islands,1.5,X
Total population,Cook Islands,17.507,X
Rural population,Cook Islands,4.374,X
Urban population,Cook Islands,13.006,X
Gross Domestic Product (GDP),Cook Islands,345608995.0,X
GDP per capita,Cook Islands,19885.442765,X
"Agriculture, value added (% GDP)",Cook Islands,2.921271,X
Total area of the country (excl. coastal water),Costa Rica,5110.0,E
Cultivated area (arable land + permanent crops),Costa Rica,579.5,X
Total population,Costa Rica,4949.954,X
Rural population,Costa Rica,1051.813,X
Urban population,Costa Rica,3853.956,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Costa Rica,0.3492,I
GDP per capita,Costa Rica,11858.39574,X
Cultivated area (arable land + permanent crops),Croatia,889.0,X
Total population,Croatia,4182.857,X
Rural population,Croatia,1815.373,X
Urban population,Croatia,2373.98,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Croatia,0.1489,I
Gross Domestic Product (GDP),Croatia,55319365464.0,X
GDP per capita,Croatia,13204.751536,X
"Agriculture, value added (% GDP)",Croatia,2.935786,X
Total area of the country (excl. coastal water),Cuba,10988.0,E
Cultivated area (arable land + permanent crops),Cuba,3561.6,X
Total population,Cuba,11339.254,X
Rural population,Cuba,2644.108,X
Urban population,Cuba,8840.528,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Cuba,0.3559,I
Gross Domestic Product (GDP),Cuba,96851000000.0,X
GDP per capita,Cuba,8433.092699,X
"Agriculture, value added (% GDP)",Cuba,3.800684,X
Total area of the country (excl. coastal water),Cyprus,925.0,E
Cultivated area (arable land + permanent crops),Cyprus,119.77,X
Total population,Cyprus,1179.678,X
Rural population,Cyprus,391.192,X
Urban population,Cyprus,788.359,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Cyprus,0.1239,I
Gross Domestic Product (GDP),Cyprus,22638471872.0,X
GDP per capita,Cyprus,26473.007605,X
"Agriculture, value added (% GDP)",Cyprus,2.020489,X
Total area of the country (excl. coastal water),Czechia,7887.0,E
Cultivated area (arable land + permanent crops),Czechia,2543.0,X
Total population,Czechia,10641.034,X
Rural population,Czechia,2795.276,X
Urban population,Czechia,7823.027,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Czechia,0.0914,I
GDP per capita,Czechia,20334.091525,X
Total area of the country (excl. coastal water),Côte d’Ivoire,32246.0,E
Cultivated area (arable land + permanent crops),Côte d’Ivoire,8000.0,X
Total population,Côte d’Ivoire,24437.47,X
Rural population,Côte d’Ivoire,12068.187,X
Urban population,Côte d’Ivoire,12226.563,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Côte d’Ivoire,0.6789,I
GDP per capita,Côte d’Ivoire,1570.209076,X
Total area of the country (excl. coastal water),Democratic People's Republic of Korea,12054.0,E
Cultivated area (arable land + permanent crops),Democratic People's Republic of Korea,2580.0,X
Total population,Democratic People's Republic of Korea,25429.825,X
Rural population,Democratic People's Republic of Korea,9768.556,X
Urban population,Democratic People's Republic of Korea,15722.409,X
Gross Domestic Product (GDP),Democratic People's Republic of Korea,17364724931.0,X
GDP per capita,Democratic People's Republic of Korea,684.600808,X
"Agriculture, value added (% GDP)",Democratic People's Republic of Korea,22.825973,X
Total area of the country (excl. coastal water),Democratic Republic of the Congo,234486.0,E
Cultivated area (arable land + permanent crops),Democratic Republic of the Congo,13300.0,X
Total population,Democratic Republic of the Congo,81398.764,X
Rural population,Democratic Republic of the Congo,45647.604,X
Urban population,Democratic Republic of the Congo,35692.384,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Democratic Republic of the Congo,0.673,I
Gross Domestic Product (GDP),Democratic Republic of the Congo,37642464497.0,X
GDP per capita,Democratic Republic of the Congo,462.779322,X
"Agriculture, value added (% GDP)",Democratic Republic of the Congo,19.893042,X
Total area of the country (excl. coastal water),Denmark,4292.0,E
Total population,Denmark,5732.274,X
Rural population,Denmark,701.971,X
Urban population,Denmark,5031.58,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Denmark,0.0484,I
GDP per capita,Denmark,57454.289221,X
Total area of the country (excl. coastal water),Djibouti,2320.0,E
Cultivated area (arable land + permanent crops),Djibouti,2.0,X
Total population,Djibouti,944.099,X
Rural population,Djibouti,213.906,X
Urban population,Djibouti,743.079,X
Gross Domestic Product (GDP),Djibouti,2766868072.0,X
GDP per capita,Djibouti,2891.234525,X
"Agriculture, value added (% GDP)",Djibouti,1.428002,X
Total area of the country (excl. coastal water),Dominica,75.0,E
Cultivated area (arable land + permanent crops),Dominica,23.0,X
Total population,Dominica,71.458,X
Rural population,Dominica,22.044,X
Urban population,Dominica,51.881,X
GDP per capita,Dominica,7031.951803,X
Total area of the country (excl. coastal water),Dominican Republic,4867.0,E
Cultivated area (arable land + permanent crops),Dominican Republic,1232.0,X
Total population,Dominican Republic,10513.104,X
Rural population,Dominican Republic,2123.575,X
Urban population,Dominican Republic,8643.423,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Dominican Republic,0.4773,I
GDP per capita,Dominican Republic,7059.653433,X
Total area of the country (excl. coastal water),Ecuador,25637.0,E
Cultivated area (arable land + permanent crops),Ecuador,2464.0,X
Total population,Ecuador,16785.361,X
Rural population,Ecuador,6039.811,X
Urban population,Ecuador,10585.047,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Ecuador,0.4073,I
Gross Domestic Product (GDP),Ecuador,104295862000.0,X
GDP per capita,Ecuador,6273.488892,X
"Agriculture, value added (% GDP)",Ecuador,9.329259,X
Total area of the country (excl. coastal water),Egypt,100145.0,E
Cultivated area (arable land + permanent crops),Egypt,3835.9688,X
Total population,Egypt,96442.591,X
Rural population,Egypt,55893.406,X
Urban population,Egypt,41659.745,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Egypt,0.5726,I
Gross Domestic Product (GDP),Egypt,195135299313.0,X
GDP per capita,Egypt,2000.297246,X
"Agriculture, value added (% GDP)",Egypt,11.485285,X
Total area of the country (excl. coastal water),El Salvador,2104.0,E
Total population,El Salvador,6388.126,X
Rural population,El Salvador,1832.049,X
Urban population,El Salvador,4545.804,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),El Salvador,0.4269,I
GDP per capita,El Salvador,3908.521206,X
Total area of the country (excl. coastal water),Equatorial Guinea,2805.0,E
Cultivated area (arable land + permanent crops),Equatorial Guinea,180.0,X
Total population,Equatorial Guinea,1262.002,X
Rural population,Equatorial Guinea,359.435,X
Urban population,Equatorial Guinea,908.254,X
GDP per capita,Equatorial Guinea,9874.401949,X
Cultivated area (arable land + permanent crops),Eritrea,692.0,X
Total population,Eritrea,3412.893,X
Rural population,Eritrea,3069.11,X
Urban population,Eritrea,1999.721,X
GDP per capita,Eritrea,1169.565874,X
Total area of the country (excl. coastal water),Estonia,4534.0,E
Cultivated area (arable land + permanent crops),Estonia,688.0,X
Total population,Estonia,1319.39,X
Rural population,Estonia,409.687,X
Urban population,Estonia,899.945,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Estonia,0.1638,I
GDP per capita,Estonia,20508.891852,X
Total area of the country (excl. coastal water),Eswatini,1736.0,E
Cultivated area (arable land + permanent crops),Eswatini,190.0,X
Total population,Eswatini,1124.805,X
Rural population,Eswatini,1044.238,X
Urban population,Eswatini,323.016,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Eswatini,0.5572,I
GDP per capita,Eswatini,3251.938239,X
Cultivated area (arable land + permanent crops),Ethiopia,17540.1,X
Total population,Ethiopia,106399.924,X
Rural population,Ethiopia,83640.582,X
Urban population,Ethiopia,21316.856,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Ethiopia,0.5583,I
GDP per capita,Ethiopia,731.580209,X
Total area of the country (excl. coastal water),Faroe Islands,139.6,E
Cultivated area (arable land + permanent crops),Faroe Islands,3.0,X
Total population,Faroe Islands,48.331,X
Rural population,Faroe Islands,28.63,X
Urban population,Faroe Islands,20.66,X
Gross Domestic Product (GDP),Faroe Islands,2613458942.0,I
Total area of the country (excl. coastal water),Fiji,1827.0,E
Cultivated area (arable land + permanent crops),Fiji,250.0,X
Total population,Fiji,877.459,X
Rural population,Fiji,400.76,X
Urban population,Fiji,504.742,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Fiji,0.4181,I
GDP per capita,Fiji,5912.155229,X
Total area of the country (excl. coastal water),Finland,33845.0,E
Cultivated area (arable land + permanent crops),Finland,2245.0,X
Total population,Finland,5511.371,X
Rural population,Finland,810.547,X
Urban population,Finland,4712.684,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Finland,0.0747,I
GDP per capita,Finland,46180.40861,X
Total area of the country (excl. coastal water),France,54908.7,E
Cultivated area (arable land + permanent crops),France,19463.775,X
Total population,France,64842.509,X
Rural population,France,12879.012,X
Urban population,France,52100.536,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),France,0.0884,I
GDP per capita,France,38566.566085,X
Total area of the country (excl. coastal water),Gabon,26767.0,E
Cultivated area (arable land + permanent crops),Gabon,495.0,X
Total population,Gabon,2064.823,X
Rural population,Gabon,223.245,X
Urban population,Gabon,1801.892,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Gabon,0.5137,I
Gross Domestic Product (GDP),Gabon,14929474265.0,X
GDP per capita,Gabon,7372.081131,X
"Agriculture, value added (% GDP)",Gabon,5.264797,X
Total area of the country (excl. coastal water),Gambia,1130.0,E
Cultivated area (arable land + permanent crops),Gambia,445.0,X
Total population,Gambia,2213.889,X
Rural population,Gambia,827.654,X
Urban population,Gambia,1272.914,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Gambia,0.6224,I
Gross Domestic Product (GDP),Gambia,1504954083.0,X
GDP per capita,Gambia,716.451019,X
"Agriculture, value added (% GDP)",Gambia,21.001895,X
Total area of the country (excl. coastal water),Georgia,6970.0,E
Cultivated area (arable land + permanent crops),Georgia,444.8,X
Total population,Georgia,4008.716,X
Rural population,Georgia,1634.019,X
Urban population,Georgia,2278.042,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Georgia,0.3816,I
Gross Domestic Product (GDP),Georgia,16242672516.0,X
GDP per capita,Georgia,4151.94766,X
"Agriculture, value added (% GDP)",Georgia,6.240133,X
Total area of the country (excl. coastal water),Germany,35725.0,E
Cultivated area (arable land + permanent crops),Germany,11971.0,X
Total population,Germany,82658.409,X
Rural population,Germany,18672.1,X
Urban population,Germany,63442.124,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Germany,0.0407,I
GDP per capita,Germany,44642.742052,X
Total area of the country (excl. coastal water),Ghana,23854.0,E
Total population,Ghana,29121.465,X
Rural population,Ghana,12857.864,X
Urban population,Ghana,15975.765,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Ghana,0.5537,I
Gross Domestic Product (GDP),Ghana,58994855221.0,X
GDP per capita,Ghana,2046.043362,X
"Agriculture, value added (% GDP)",Ghana,19.696155,X
Total area of the country (excl. coastal water),Greece,13196.0,E
Cultivated area (arable land + permanent crops),Greece,3220.0,X
Total population,Greece,10569.45,X
Rural population,Greece,2374.332,X
Urban population,Greece,8785.441,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Greece,0.1464,I
GDP per capita,Greece,18243.102459,X
Total area of the country (excl. coastal water),Grenada,34.0,E
Cultivated area (arable land + permanent crops),Grenada,7.0,X
Total population,Grenada,110.874,X
Rural population,Grenada,68.831,X
Urban population,Grenada,38.994,X
Gross Domestic Product (GDP),Grenada,1125685613.0,X
GDP per capita,Grenada,10439.931494,X
"Agriculture, value added (% GDP)",Grenada,5.37153,X
Total area of the country (excl. coastal water),Guatemala,10889.0,E
Cultivated area (arable land + permanent crops),Guatemala,2045.0,X
Total population,Guatemala,16914.97,X
Rural population,Guatemala,8341.671,X
Urban population,Guatemala,8571.832,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Guatemala,0.5332,I
GDP per capita,Guatemala,4470.96539,X
Total area of the country (excl. coastal water),Guinea,24586.0,E
Cultivated area (arable land + permanent crops),Guinea,3800.0,X
Total population,Guinea,12067.519,X
Rural population,Guinea,8165.321,X
Urban population,Guinea,4551.855,X
GDP per capita,Guinea,779.651277,X
Total area of the country (excl. coastal water),Guinea-Bissau,3613.0,E
Cultivated area (arable land + permanent crops),Guinea-Bissau,550.0,X
Total population,Guinea-Bissau,1828.145,X
Rural population,Guinea-Bissau,1061.947,X
Urban population,Guinea-Bissau,799.336,X
Gross Domestic Product (GDP),Guinea-Bissau,1350177012.0,X
GDP per capita,Guinea-Bissau,725.401249,X
"Agriculture, value added (% GDP)",Guinea-Bissau,49.157808,X
Total area of the country (excl. coastal water),Guyana,21497.0,E
Cultivated area (arable land + permanent crops),Guyana,470.0,X
Total population,Guyana,775.222,X
Rural population,Guyana,571.434,X
Urban population,Guyana,206.425,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Guyana,0.5153,I
GDP per capita,Guyana,4570.504571,X
Total area of the country (excl. coastal water),Haiti,2775.0,E
Cultivated area (arable land + permanent crops),Haiti,1350.0,X
Total population,Haiti,10982.366,X
Rural population,Haiti,5013.421,X
Urban population,Haiti,5967.808,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Haiti,0.6026,I
