,,Value,Symbol
Total population with access to safe drinking-water (JMP),Grenada,96.6,X
Number of people undernourished (3-year average),Guatemala,2400.0,X
Total population with access to safe drinking-water (JMP),Guatemala,88.7,X
Population affected by water related disease,Guatemala,1880.0,I
Number of people undernourished (3-year average),Guinea,2000.0,X
Prevalence of undernourishment (3-year average),Guinea,20.2,X
Total population with access to safe drinking-water (JMP),Guinea,69.8,X
Number of people undernourished (3-year average),Guinea-Bissau,300.0,X
Prevalence of undernourishment (3-year average),Guinea-Bissau,24.1,X
Total population with access to safe drinking-water (JMP),Guinea-Bissau,64.3,X
Number of people undernourished (3-year average),Guyana,100.0,I
Total population with access to safe drinking-water (JMP),Guyana,91.8,X
Number of people undernourished (3-year average),Haiti,5100.0,X
Prevalence of undernourishment (3-year average),Haiti,54.2,X
Total population with access to safe drinking-water (JMP),Haiti,60.2,X
Number of people undernourished (3-year average),Honduras,1700.0,X
Total population with access to safe drinking-water (JMP),Honduras,85.9,X
Total population with access to safe drinking-water (JMP),Hungary,99.7,X
Total population with access to safe drinking-water (JMP),Iceland,100.0,X
Total population with access to safe drinking-water (JMP),India,87.4,X
Population affected by water related disease,India,44000.0,I
Total population with access to safe drinking-water (JMP),Indonesia,82.6,X
Population affected by water related disease,Indonesia,5.111,I
Number of people undernourished (3-year average),Iran (Islamic Republic of),3900.0,X
Prevalence of undernourishment (3-year average),Iran (Islamic Republic of),5.5,X
Total population with access to safe drinking-water (JMP),Iran (Islamic Republic of),95.4,X
Number of people undernourished (3-year average),Iraq,6900.0,X
Total population with access to safe drinking-water (JMP),Iraq,83.7,X
Total population with access to safe drinking-water (JMP),Ireland,97.1,X
Total population with access to safe drinking-water (JMP),Israel,100.0,X
Total population with access to safe drinking-water (JMP),Italy,100.0,X
Number of people undernourished (3-year average),Jamaica,200.0,X
Total population with access to safe drinking-water (JMP),Jamaica,93.7,X
Total population with access to safe drinking-water (JMP),Japan,100.0,X
Number of people undernourished (3-year average),Jordan,300.0,X
Total population with access to safe drinking-water (JMP),Jordan,96.9,X
Number of people undernourished (3-year average),Kazakhstan,1000.0,X
Total population with access to safe drinking-water (JMP),Kazakhstan,93.4,X
Population affected by water related disease,Kazakhstan,3.22,I
Total population with access to safe drinking-water (JMP),Kenya,57.7,X
Total population with access to safe drinking-water (JMP),Kiribati,63.5,X
Number of people undernourished (3-year average),Kuwait,147.619047619,I
Total population with access to safe drinking-water (JMP),Kuwait,99.0,X
Number of people undernourished (3-year average),Kyrgyzstan,500.0,X
Total population with access to safe drinking-water (JMP),Kyrgyzstan,83.8,X
Population affected by water related disease,Kyrgyzstan,122.8,I
Total population with access to safe drinking-water (JMP),Lao People's Democratic Republic,61.2,X
Number of people undernourished (3-year average),Latvia,100.0,I
Prevalence of undernourishment (3-year average),Latvia,2.8,I
Total population with access to safe drinking-water (JMP),Latvia,98.7,X
Number of people undernourished (3-year average),Lebanon,500.0,X
Total population with access to safe drinking-water (JMP),Lebanon,94.1,X
Number of people undernourished (3-year average),Lesotho,300.0,X
Total population with access to safe drinking-water (JMP),Lesotho,80.3,X
Number of people undernourished (3-year average),Liberia,1200.0,X
Prevalence of undernourishment (3-year average),Liberia,35.3,X
Total population with access to safe drinking-water (JMP),Liberia,68.5,X
Total population with access to safe drinking-water (JMP),Libya,71.2,I
Total population with access to safe drinking-water (JMP),Lithuania,93.8,X
Total population with access to safe drinking-water (JMP),Luxembourg,100.0,X
Number of people undernourished (3-year average),Madagascar,5900.0,X
Total population with access to safe drinking-water (JMP),Madagascar,44.0,X
Number of people undernourished (3-year average),Malawi,2700.0,X
Total population with access to safe drinking-water (JMP),Malawi,75.5,X
Number of people undernourished (3-year average),Malaysia,900.0,X
Total population with access to safe drinking-water (JMP),Malaysia,96.4,X
Population affected by water related disease,Malaysia,7.0,I
Prevalence of undernourishment (3-year average),Maldives,18.1,X
Total population with access to safe drinking-water (JMP),Maldives,97.5,X
Number of people undernourished (3-year average),Mali,1600.0,X
Total population with access to safe drinking-water (JMP),Mali,60.8,X
Total population with access to safe drinking-water (JMP),Malta,100.0,X
Total population with access to safe drinking-water (JMP),Marshall Islands,93.9,X
Number of people undernourished (3-year average),Mauritania,300.0,X
Total population with access to safe drinking-water (JMP),Mauritania,50.7,X
Population affected by water related disease,Mauritania,111.6,I
Prevalence of undernourishment (3-year average),Mauritius,5.0,X
Total population with access to safe drinking-water (JMP),Mauritius,99.6,X
Population affected by water related disease,Mauritius,0.0,I
Prevalence of undernourishment (3-year average),Mexico,4.1,X
Total population with access to safe drinking-water (JMP),Mexico,92.5,X
Total population with access to safe drinking-water (JMP),Micronesia (Federated States of),89.5,X
Total population with access to safe drinking-water (JMP),Monaco,100.0,X
Number of people undernourished (3-year average),Mongolia,700.0,X
Total population with access to safe drinking-water (JMP),Mongolia,61.5,X
Total population with access to safe drinking-water (JMP),Montenegro,98.3,X
Total population with access to safe drinking-water (JMP),Morocco,81.9,X
Total population with access to safe drinking-water (JMP),Mozambique,46.3,X
Total population with access to safe drinking-water (JMP),Myanmar,74.6,X
Total population with access to safe drinking-water (JMP),Namibia,84.8,X
Total population with access to safe drinking-water (JMP),Nauru,94.9,X
Number of people undernourished (3-year average),Nepal,4200.0,X
Total population with access to safe drinking-water (JMP),Nepal,84.1,X
Total population with access to safe drinking-water (JMP),Netherlands,100.0,X
Total population with access to safe drinking-water (JMP),New Zealand,100.0,X
Number of people undernourished (3-year average),Nicaragua,1200.0,X
Total population with access to safe drinking-water (JMP),Nicaragua,83.1,X
Population affected by water related disease,Nicaragua,214.0,OF
Number of people undernourished (3-year average),Niger,2000.0,X
Prevalence of undernourishment (3-year average),Niger,14.4,X
Total population with access to safe drinking-water (JMP),Niger,50.8,X
Total population with access to safe drinking-water (JMP),Nigeria,60.1,X
Total population with access to safe drinking-water (JMP),Niue,98.7,X
Number of people undernourished (3-year average),North Macedonia,100.0,X
Total population with access to safe drinking-water (JMP),North Macedonia,99.3,X
Total population with access to safe drinking-water (JMP),Norway,100.0,X
Total population with access to safe drinking-water (JMP),Oman,89.4,X
Total population with access to safe drinking-water (JMP),Pakistan,89.9,X
Total population with access to safe drinking-water (JMP),Palau,94.8,X
Number of people undernourished (3-year average),Panama,600.0,X
Total population with access to safe drinking-water (JMP),Panama,92.1,X
Total population with access to safe drinking-water (JMP),Papua New Guinea,37.9,X
Number of people undernourished (3-year average),Paraguay,600.0,X
Total population with access to safe drinking-water (JMP),Paraguay,85.4,X
Total population with access to safe drinking-water (JMP),Peru,83.3,X
Population affected by water related disease,Peru,600.2,I
Total population with access to safe drinking-water (JMP),Philippines,89.2,X
Population affected by water related disease,Philippines,866.4,I
Total population with access to safe drinking-water (JMP),Poland,97.1,X
Total population with access to safe drinking-water (JMP),Portugal,99.1,X
Total population with access to safe drinking-water (JMP),Puerto Rico,93.6,I
Total population with access to safe drinking-water (JMP),Qatar,99.9,X
Number of people undernourished (3-year average),Republic of Korea,1200.0,I
Prevalence of undernourishment (3-year average),Republic of Korea,2.5,I
Total population with access to safe drinking-water (JMP),Republic of Korea,97.1,X
Total population with access to safe drinking-water (JMP),Republic of Moldova,86.7,X
Number of people undernourished (3-year average),Republic of Serbia,500.0,X
Prevalence of undernourishment (3-year average),Republic of Serbia,6.0,X
Total population with access to safe drinking-water (JMP),Republic of Serbia,99.3,X
Total population with access to safe drinking-water (JMP),Romania,93.5,X
Number of people undernourished (3-year average),Russian Federation,3700.0,I
Prevalence of undernourishment (3-year average),Russian Federation,2.6,I
Total population with access to safe drinking-water (JMP),Russian Federation,95.9,X
Number of people undernourished (3-year average),Rwanda,3000.0,X
Total population with access to safe drinking-water (JMP),Rwanda,71.1,X
Total population with access to safe drinking-water (JMP),Saint Kitts and Nevis,98.3,X
Total population with access to safe drinking-water (JMP),Saint Lucia,95.2,X
Total population with access to safe drinking-water (JMP),Saint Vincent and the Grenadines,95.1,X
Total population with access to safe drinking-water (JMP),Samoa,96.3,X
Total population with access to safe drinking-water (JMP),Sao Tome and Principe,90.4,X
Number of people undernourished (3-year average),Saudi Arabia,1100.0,X
Total population with access to safe drinking-water (JMP),Saudi Arabia,97.0,X
Number of people undernourished (3-year average),Senegal,1800.0,X
Total population with access to safe drinking-water (JMP),Senegal,72.6,X
Total population with access to safe drinking-water (JMP),Seychelles,95.7,X
Number of people undernourished (3-year average),Sierra Leone,2500.0,X
Total population with access to safe drinking-water (JMP),Sierra Leone,54.3,X
Total population with access to safe drinking-water (JMP),Singapore,100.0,X
Number of people undernourished (3-year average),Slovakia,300.0,X
Total population with access to safe drinking-water (JMP),Slovakia,99.9,X
Total population with access to safe drinking-water (JMP),Slovenia,99.6,X
Total population with access to safe drinking-water (JMP),Solomon Islands,80.2,X
Total population with access to safe drinking-water (JMP),Somalia,30.7,X
Number of people undernourished (3-year average),South Africa,1700.0,X
Prevalence of undernourishment (3-year average),South Africa,3.5,X
Total population with access to safe drinking-water (JMP),South Africa,89.8,X
Total population with access to safe drinking-water (JMP),Spain,100.0,X
Number of people undernourished (3-year average),Sri Lanka,2800.0,X
Total population with access to safe drinking-water (JMP),Sri Lanka,87.6,X
Population affected by water related disease,Sri Lanka,120.0,I
Total population with access to safe drinking-water (JMP),State of Palestine,76.0,X
Total population with access to safe drinking-water (JMP),Suriname,92.6,X
Total population with access to safe drinking-water (JMP),Sweden,100.0,X
Total population with access to safe drinking-water (JMP),Switzerland,100.0,X
Total population with access to safe drinking-water (JMP),Syrian Arab Republic,89.1,X
Number of people undernourished (3-year average),Tajikistan,2800.0,X
Prevalence of undernourishment (3-year average),Tajikistan,40.5,X
Total population with access to safe drinking-water (JMP),Tajikistan,66.6,X
Number of people undernourished (3-year average),Thailand,7000.0,X
Total population with access to safe drinking-water (JMP),Thailand,95.2,X
Population affected by water related disease,Thailand,960.0,I
Number of people undernourished (3-year average),Timor-Leste,300.0,X
Total population with access to safe drinking-water (JMP),Timor-Leste,63.8,X
Number of people undernourished (3-year average),Togo,1600.0,X
Total population with access to safe drinking-water (JMP),Togo,57.9,X
Total population with access to safe drinking-water (JMP),Tokelau,97.4,X
Total population with access to safe drinking-water (JMP),Tonga,98.9,X
Number of people undernourished (3-year average),Trinidad and Tobago,100.0,X
Total population with access to safe drinking-water (JMP),Trinidad and Tobago,94.5,X
Number of people undernourished (3-year average),Tunisia,400.0,X
Prevalence of undernourishment (3-year average),Tunisia,4.3,X
Total population with access to safe drinking-water (JMP),Tunisia,94.1,X
Total population with access to safe drinking-water (JMP),Turkey,96.9,X
Number of people undernourished (3-year average),Turkmenistan,200.0,X
Prevalence of undernourishment (3-year average),Turkmenistan,4.0,X
Total population with access to safe drinking-water (JMP),Turkmenistan,60.4,I
Population affected by water related disease,Turkmenistan,12.29,I
Total population with access to safe drinking-water (JMP),Tuvalu,96.9,X
Number of people undernourished (3-year average),Uganda,7600.0,X
Prevalence of undernourishment (3-year average),Uganda,25.8,X
Total population with access to safe drinking-water (JMP),Uganda,67.7,X
Number of people undernourished (3-year average),Ukraine,1369.2307692308,I
Prevalence of undernourishment (3-year average),Ukraine,2.8,I
Total population with access to safe drinking-water (JMP),Ukraine,97.0,X
Number of people undernourished (3-year average),United Arab Emirates,500.0,X
Total population with access to safe drinking-water (JMP),United Arab Emirates,99.6,X
Total population with access to safe drinking-water (JMP),United Kingdom of Great Britain and Northern Ireland,100.0,X
Total population with access to safe drinking-water (JMP),United Republic of Tanzania,54.9,X
Total population with access to safe drinking-water (JMP),United States of America,99.0,X
Number of people undernourished (3-year average),Uruguay,100.0,X
Prevalence of undernourishment (3-year average),Uruguay,3.7,X
Total population with access to safe drinking-water (JMP),Uruguay,98.4,X
Number of people undernourished (3-year average),Uzbekistan,3400.0,X
Total population with access to safe drinking-water (JMP),Uzbekistan,87.5,X
Population affected by water related disease,Uzbekistan,271.8,I
Total population with access to safe drinking-water (JMP),Vanuatu,84.7,X
Number of people undernourished (3-year average),Venezuela (Bolivarian Republic of),1900.0,X
Total population with access to safe drinking-water (JMP),Venezuela (Bolivarian Republic of),92.2,X
Population affected by water related disease,Venezuela (Bolivarian Republic of),22.06,I
Total population with access to safe drinking-water (JMP),Viet Nam,87.3,X
Population affected by water related disease,Viet Nam,177.6,I
Total population with access to safe drinking-water (JMP),Yemen,55.0,X
Number of people undernourished (3-year average),Zambia,6500.0,X
Prevalence of undernourishment (3-year average),Zambia,52.6,X
Total population with access to safe drinking-water (JMP),Zambia,59.0,X
Number of people undernourished (3-year average),Zimbabwe,5500.0,X
Prevalence of undernourishment (3-year average),Zimbabwe,42.1,X
Total population with access to safe drinking-water (JMP),Zimbabwe,78.4,X
